English Word	Valence	Arousal	Dominance	Haitian-Creole Word
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	konnen
acquaintance	0.656	0.290	0.670	konesans
acquainted	0.906	0.358	0.632	konnen
acquiescence	0.542	0.480	0.554	akize
acquire	0.833	0.468	0.700	jwenn
acquiring	0.735	0.510	0.817	akizisyon
acquisition	0.698	0.509	0.736	akizisyon
acquisitions	0.773	0.660	0.790	akizisyon
acquit	0.583	0.571	0.611	akite
acquittal	0.760	0.497	0.700	akite
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	sipèfisi
acres	0.510	0.363	0.500	kawo tè
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	Acrylic
act	0.656	0.704	0.735	aji
acting	0.698	0.643	0.500	aji
action	0.760	0.898	0.802	aksyon
action figure	0.615	0.774	0.611	figi aksyon
actionable	0.673	0.702	0.613	aksyonab
activate	0.764	0.650	0.806	aktive
activation	0.781	0.800	0.754	aktivasyon
active	0.847	0.730	0.731	aktif
activist	0.531	0.653	0.877	aktivis
activity	0.701	0.660	0.807	aktivite
actor	0.653	0.561	0.629	aktè
actress	0.633	0.556	0.596	aktris
actual	0.729	0.400	0.716	aktyèl
actuality	0.750	0.464	0.600	aktyalite
actuary	0.510	0.404	0.491	aktuarya
acuity	0.469	0.378	0.741	akwite
acumen	0.564	0.660	0.679	kouraj
acupuncture	0.531	0.324	0.549	akuponktur
acute	0.427	0.652	0.534	egi
acutely	0.417	0.543	0.491	byen klè
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	diman
adapt	0.740	0.355	0.551	adapte
adaptable	0.735	0.423	0.641	adaptab
adaptation	0.663	0.365	0.609	adaptasyon
add	0.728	0.490	0.554	ajoute
added	0.562	0.405	0.509	te ajoute
addendum	0.392	0.370	0.418	adisyon
adder	0.388	0.461	0.588	vipère
addict	0.075	0.696	0.327	adikte
addicted	0.156	0.712	0.483	dejwe
addiction	0.180	0.806	0.420	dejwe
addictive	0.302	0.683	0.472	depandans
addition	0.562	0.373	0.471	adisyon
additional	0.673	0.462	0.526	adisyonèl
additive	0.561	0.633	0.691	aditif
address	0.650	0.327	0.567	adrès
addressee	0.622	0.382	0.538	destinataire
addresses	0.510	0.354	0.450	adrès
adept	0.594	0.539	0.789	abil
adequacy	0.615	0.435	0.702	konpetans
adequate	0.854	0.264	0.705	adekwat
adhere	0.633	0.339	0.554	respekte
adherence	0.760	0.307	0.630	aderans
adherent	0.561	0.385	0.555	aderan
adhering	0.612	0.561	0.537	adhérant
adhesion	0.521	0.445	0.586	adezyon
adhesive	0.604	0.350	0.413	adezif
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipoz
adjacency	0.365	0.417	0.375	adjasans
adjacent	0.645	0.276	0.536	adjasan
adjective	0.570	0.316	0.569	adjektif
adjoining	0.520	0.400	0.393	vwazin
adjourn	0.385	0.456	0.475	ranvwaye
adjournment	0.438	0.510	0.370	ajounman
adjudicate	0.559	0.520	0.683	jije
adjudication	0.551	0.462	0.691	jijman
adjunct	0.459	0.440	0.426	adjwen
adjust	0.647	0.327	0.638	ajiste
adjuster	0.510	0.540	0.760	ajistè
adjustment	0.590	0.520	0.661	ajisteman
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	administre
administration	0.625	0.404	0.786	administrasyon
administrative	0.542	0.415	0.579	administratif
administrator	0.538	0.480	0.902	administratè
admirable	0.929	0.600	0.870	admirab
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralite
admiration	0.969	0.583	0.726	admirasyon
admire	0.867	0.692	0.704	admire
admired	0.917	0.560	0.815	admire
admirer	0.796	0.720	0.650	admirateur
admiring	0.867	0.578	0.629	admire
admissibility	0.802	0.580	0.602	admisibilite
admissible	0.780	0.528	0.642	admisib
admission	0.802	0.415	0.732	admisyon
admit	0.538	0.423	0.667	admèt
admittance	0.690	0.451	0.598	admisyon
admitted	0.720	0.490	0.767	admèt
admitting	0.620	0.500	0.546	admèt
admixture	0.450	0.375	0.438	melanj
admonition	0.357	0.606	0.455	avètisman
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolesans
adolescent	0.781	0.680	0.509	adolesan
adopt	0.694	0.612	0.701	adopte
adoption	0.625	0.566	0.589	adopsyon
adoptive	0.531	0.469	0.520	adoptif
adorable	0.969	0.519	0.457	adorabl
adoration	0.885	0.699	0.708	adorasyon
adore	0.854	0.438	0.657	adore
adoring	0.885	0.620	0.717	adore
adorn	0.910	0.424	0.482	dekore
adornment	0.918	0.373	0.377	dekorasyon
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	derive
adult	0.815	0.491	0.787	granmoun
adulterated	0.188	0.865	0.370	adiltè
adulterer	0.229	0.814	0.407	adiltè
adultery	0.120	0.922	0.510	adiltè
adulthood	0.541	0.454	0.652	adilt
advance	0.673	0.472	0.858	avanse
advanced	0.844	0.623	0.797	avanse
advancement	0.776	0.650	0.839	avansman
advancing	0.929	0.608	0.812	avanse
advantage	0.917	0.548	0.859	avantaj
advantageous	0.837	0.640	0.789	avantaje
advent	0.665	0.560	0.627	lavenman
adventure	0.917	0.857	0.710	avanti
adventurer	0.781	0.839	0.868	avanturyé
adventures	0.812	0.764	0.749	avantur
adventurous	0.969	0.898	0.722	avantur
adversary	0.349	0.777	0.457	advèsè
adverse	0.323	0.610	0.385	negatif
adversity	0.276	0.760	0.538	advèsite
advertise	0.500	0.529	0.580	fè piblisite
advertisement	0.600	0.566	0.539	reklam
advertising	0.622	0.608	0.632	piblisite
adverts	0.551	0.500	0.595	piblisite
advice	0.698	0.408	0.688	konsèy
advisable	0.867	0.480	0.510	konseye
advise	0.760	0.393	0.705	konseye
advised	0.823	0.330	0.509	konseye
advisement	0.698	0.235	0.655	konsèy
adviser	0.745	0.362	0.705	konseye
advisor	0.646	0.350	0.689	konseye
advisory	0.656	0.429	0.633	konsiltatif
advocacy	0.500	0.646	0.731	defans
advocate	0.551	0.530	0.818	avoka
aegis	0.490	0.439	0.462	ejis
aeration	0.550	0.500	0.433	aere
aerial	0.615	0.461	0.463	ayeryen
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	aerodrom
aerodynamic	0.561	0.724	0.728	aerodinamik
aerodynamics	0.590	0.663	0.722	aerodinamik
aeronautics	0.551	0.633	0.688	aéronautique
aeroplane	0.714	0.642	0.644	avyon
aerospace	0.643	0.520	0.779	ayewospasyal
aesthetic	0.708	0.442	0.526	ayestetik
aesthetics	0.847	0.327	0.549	estetik
aetiology	0.480	0.398	0.615	etyoloji
afar	0.396	0.373	0.358	byen lwen
affable	0.704	0.380	0.452	afab
affair	0.520	0.459	0.657	zafè
affect	0.458	0.569	0.578	afekte
affecting	0.350	0.574	0.394	ki afekte
affection	0.898	0.559	0.696	afeksyon
affectionate	0.949	0.422	0.550	afeksyon
affections	0.760	0.547	0.655	afeksyon
affiche	0.479	0.265	0.402	afich
affidavit	0.469	0.584	0.526	afidavi
affiliated	0.673	0.519	0.535	afilye
affiliation	0.615	0.594	0.500	afilyasyon
affinity	0.800	0.500	0.537	afinite
affirm	0.745	0.509	0.731	afime
affirmation	0.750	0.500	0.689	afimasyon
affirmative	0.854	0.589	0.816	afimatif
affirmatively	0.908	0.500	0.811	afimativman
affix	0.438	0.335	0.411	apoze
afflict	0.302	0.555	0.293	aflije
afflicted	0.271	0.500	0.167	aflije
affliction	0.294	0.635	0.392	afliksyon
affluence	0.663	0.618	0.722	richès
affluent	0.756	0.388	0.477	rich
afford	0.571	0.580	0.575	peye
affordable	0.840	0.398	0.493	abòdab
affront	0.327	0.740	0.547	afwont
affronted	0.385	0.750	0.527	afwonte
afield	0.594	0.370	0.373	lwen
afire	0.367	0.904	0.675	yon dife
afloat	0.602	0.427	0.444	ap flote
afore	0.500	0.337	0.382	avan
aforementioned	0.490	0.316	0.408	mansyone pi wo a
aforesaid	0.531	0.358	0.478	susmande
afraid	0.010	0.775	0.245	pè
afresh	0.643	0.521	0.480	ankò
aft	0.480	0.417	0.518	dèyè
afterlife	0.571	0.567	0.568	apre lavi
aftermath	0.312	0.449	0.444	konsekans
afternoon	0.533	0.388	0.339	apremidi
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	gou
afterthought	0.396	0.392	0.349	apre panse
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	laj
aged	0.135	0.365	0.236	ki gen laj
agency	0.460	0.296	0.583	ajans
agenda	0.531	0.296	0.553	ajanda
agent	0.480	0.439	0.755	ajan
agglomeration	0.450	0.765	0.509	aglomerasyon
aggravate	0.224	0.770	0.464	agrave
aggravated	0.079	0.760	0.430	agrave
aggravates	0.108	0.778	0.357	agrave
aggravating	0.257	0.794	0.640	agrave
aggravation	0.071	0.784	0.613	agravasyon
aggregate	0.730	0.378	0.556	total
aggregation	0.583	0.517	0.694	agrégation
aggresive	0.059	0.971	0.639	agresif
aggression	0.094	0.929	0.533	agresyon
aggressive	0.125	0.949	0.648	agresif
aggressively	0.250	0.926	0.688	agresif
aggressiveness	0.077	0.913	0.648	agresif
aggressor	0.146	0.948	0.823	agresè
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	sezi
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	ajil
agility	0.720	0.702	0.815	ladrès
aging	0.214	0.255	0.284	aje
agitate	0.300	0.796	0.593	ajite
agitated	0.444	0.882	0.491	ajite
agitation	0.240	0.931	0.447	ajitasyon
aglow	0.780	0.510	0.797	briyan
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	de sa
agonizing	0.083	0.800	0.340	agonizan
agony	0.083	0.775	0.393	agoni
agoraphobia	0.127	0.712	0.438	agorafobi
agree	0.906	0.260	0.545	dakò
agreeable	0.906	0.500	0.696	agreyab
agreed	0.797	0.449	0.574	te dakò
agreeing	0.854	0.480	0.557	dakò
agreement	0.760	0.440	0.736	akò
agressive	0.083	0.918	0.751	agresif
agricultural	0.686	0.321	0.473	agrikòl
agriculture	0.640	0.357	0.465	agrikilti
aground	0.333	0.340	0.445	achou
agua	0.598	0.180	0.436	dlo
ahead	0.708	0.520	0.673	devan
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	èd
aide	0.724	0.342	0.434	èd
aiding	0.643	0.533	0.569	ede
aids	0.561	0.480	0.500	èd
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	malad
ailment	0.146	0.734	0.277	maladi
aim	0.481	0.569	0.567	vize
aimless	0.150	0.267	0.183	san objektif
air	0.708	0.163	0.427	lè
airbag	0.510	0.402	0.433	èrbag
airborne	0.542	0.519	0.385	ayeryèn
aircraft	0.646	0.644	0.691	avyon
aircraft carrier	0.490	0.740	0.727	transpòtè avyon
airfield	0.601	0.650	0.645	tèren avyon
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	avyon
airline	0.650	0.482	0.688	avyon
airliner	0.667	0.777	0.647	avyon
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	avyon
airplane	0.719	0.702	0.708	avyon
airport	0.729	0.684	0.682	ayewopò
airs	0.583	0.196	0.370	lè
airship	0.542	0.472	0.529	dirijabl
airspace	0.562	0.510	0.640	espas aeryen
airspeed	0.583	0.780	0.544	vitès lè
airstrip	0.550	0.690	0.649	aterisaj
airtight	0.479	0.381	0.570	byen fèmen
airway	0.638	0.585	0.482	Airway
aisle	0.438	0.222	0.283	koulwa
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	bouche
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	analogue
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	alam
alarm clock	0.542	0.727	0.642	revèy alam
alarmed	0.188	0.822	0.492	alame
alarming	0.204	0.890	0.585	alarmant
alas	0.571	0.310	0.279	Ay
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchimi
alcohol	0.323	0.667	0.377	alkòl
alcoholic	0.153	0.688	0.361	alkòl
alcoholism	0.061	0.779	0.407	alkòl
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alèt
alertness	0.375	0.875	0.750	vijilans
alerts	0.337	0.804	0.673	alèt
alfalfa	0.546	0.250	0.311	Alfalfa
algebra	0.440	0.340	0.565	aljèb
algebraic	0.531	0.412	0.441	aljebrik
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alyas
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	etranje
alienate	0.247	0.500	0.523	alyene
alienated	0.410	0.423	0.559	alyene
alienation	0.378	0.530	0.462	izolman
alight	0.667	0.657	0.605	limen
align	0.656	0.364	0.627	aliman
aligned	0.583	0.275	0.553	aliyen
alignment	0.643	0.412	0.683	aliyman
alike	0.653	0.173	0.444	menm jan
alimentation	0.781	0.551	0.602	alimantasyon
alimony	0.612	0.477	0.464	pansyon alimantè
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	vivan
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkalwa
allay	0.417	0.406	0.398	soulaje
allegation	0.578	0.578	0.608	akizasyon
allege	0.418	0.482	0.587	akize
alleged	0.365	0.522	0.520	swadizan
allegiance	0.917	0.398	0.750	fidelite
allegorical	0.517	0.558	0.598	alegorik
allegory	0.615	0.580	0.509	alegori
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alèjik
allergy	0.296	0.606	0.389	alèji
alleviate	0.869	0.270	0.528	soulaje
alleviation	0.735	0.200	0.491	soulajman
alley	0.347	0.500	0.355	ale
alleyway	0.357	0.471	0.382	ale
alliance	0.696	0.473	0.769	alyans
allied	0.714	0.245	0.642	alye
alligator	0.354	0.704	0.645	Kayiman
allocate	0.673	0.462	0.672	asiyen
allocation	0.604	0.388	0.679	alokasyon
allot	0.622	0.481	0.616	lot
allotment	0.600	0.390	0.640	alokasyon
allow	0.698	0.429	0.538	pèmèt
allowable	0.698	0.500	0.561	akseptab
allowance	0.673	0.382	0.591	alokasyon
allowed	0.730	0.360	0.655	pèmèt
alloy	0.583	0.443	0.593	alyaj
allsmiles	0.786	0.528	0.430	tout souri
allure	0.804	0.585	0.686	atiran
alluring	0.837	0.745	0.843	atiran
allusion	0.440	0.308	0.462	alizyon
alluvial	0.323	0.490	0.491	alluvion
ally	0.792	0.320	0.688	alye
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	ki gen tout pouvwa
almond	0.698	0.183	0.314	zanmann
aloft	0.771	0.373	0.700	anlè
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	pou kont li
alongside	0.458	0.333	0.347	ansanm
aloof	0.189	0.423	0.302	lwen
aloud	0.458	0.713	0.750	byen fò
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabè
alphabetical	0.537	0.296	0.535	alfabetik
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	dejayyyy
altar	0.724	0.387	0.635	lotèl
altar boy	0.434	0.206	0.350	ti gason lotèl la
alter	0.333	0.694	0.654	chanje
alteration	0.167	0.798	0.609	chanjman
altercation	0.170	0.806	0.500	diskisyon
altered	0.255	0.765	0.500	chanje
alternate	0.625	0.363	0.589	altène
alternating	0.480	0.494	0.542	altène
alternative	0.628	0.373	0.631	altènatif
altimeter	0.615	0.510	0.580	altimèt
altitude	0.708	0.482	0.736	altitid
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	tout ansanm
aluminum	0.449	0.280	0.434	aliminyòm
alumnus	0.633	0.368	0.422	ansyen elèv
alveolar	0.469	0.481	0.367	alveolè
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	amalgamasyon
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	rasanble
amateur	0.469	0.500	0.409	amatè
amaze	0.896	0.843	0.783	sezi
amazed	0.796	0.779	0.533	sezi
amazedness	0.827	0.872	0.510	sezi
amazement	0.750	0.800	0.639	sezi
amazing	0.906	0.837	0.849	etonan
amazingly	0.918	0.765	0.920	etonan
ambassador	0.651	0.529	0.917	anbasadè
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	anbyans
ambient	0.625	0.360	0.582	anbyen
ambiguity	0.164	0.460	0.370	anbigwite
ambiguous	0.265	0.462	0.358	anbigwi
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	Anbisyon
ambitious	0.484	0.821	0.717	anbisye
ambivalent	0.510	0.404	0.482	anbivalan
ambrosia	0.571	0.452	0.480	anbrozi
ambulance	0.500	0.750	0.609	anbilans
ambush	0.281	0.830	0.500	anbiskad
ameliorate	0.770	0.548	0.747	amelyore
amen	0.781	0.182	0.542	amèn
amenable	0.448	0.410	0.406	aseptab
amend	0.688	0.406	0.658	amande
amendment	0.531	0.459	0.606	amannman
amends	0.640	0.366	0.517	amann
amenity	0.750	0.327	0.574	ekipman
amethyst	0.622	0.406	0.517	ametis
amiable	0.847	0.290	0.483	amyab
amicable	0.875	0.330	0.507	amikal
amid	0.510	0.340	0.256	nan mitan
amidst	0.480	0.330	0.316	nan mitan
amino	0.551	0.402	0.433	amine
ammo	0.323	0.765	0.621	minisyon
ammonia	0.292	0.587	0.409	amonyak
ammonium	0.354	0.396	0.368	amonyòm
ammunition	0.338	0.635	0.667	minisyon
amnesia	0.296	0.330	0.308	amnésie
amnesty	0.551	0.451	0.814	amnisti
amorous	0.844	0.670	0.636	amou
amorphous	0.327	0.402	0.349	amorphe
amortization	0.592	0.491	0.522	amortissement
amount	0.562	0.422	0.649	kantite lajan
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	anfetamin
amphibian	0.427	0.357	0.474	anfibyen
amphibious	0.479	0.346	0.445	anfibi
amphitheater	0.653	0.480	0.545	anfiteyat
ample	0.744	0.349	0.719	ase
amplification	0.690	0.677	0.810	anplifikasyon
amplify	0.677	0.735	0.827	anplifye
amplitude	0.694	0.439	0.692	anplitid
amply	0.781	0.431	0.766	anpil
amputate	0.092	0.660	0.509	anpute
amputation	0.100	0.755	0.483	anpitasyon
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	Hamlet
amuse	0.812	0.684	0.664	amize
amused	0.942	0.847	0.596	amize
amusement	0.929	0.837	0.803	amizman
amusing	0.960	0.829	0.632	amizan
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestezi
anaesthetic	0.449	0.268	0.509	anestezi
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	nan dèyè
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	analòg
analogue	0.570	0.320	0.446	analòg
analogy	0.510	0.367	0.509	analoji
analysis	0.729	0.448	0.705	analiz
analyst	0.604	0.415	0.755	analis
analytic	0.665	0.521	0.634	analitik
analytical	0.625	0.324	0.800	analyse
analyze	0.667	0.462	0.710	analize
analyzer	0.625	0.556	0.854	analizeur
anaphylactic	0.378	0.588	0.500	anafilaktik
anarchism	0.125	0.804	0.623	anachis
anarchist	0.204	0.700	0.759	anachis
anarchy	0.146	0.755	0.620	anachi
anastomosis	0.375	0.470	0.490	anastomoz
anathema	0.286	0.490	0.519	anatem
anatomic	0.562	0.442	0.546	anatomik
anatomy	0.562	0.390	0.571	anatomi
ancestor	0.592	0.388	0.594	zansèt
ancestral	0.640	0.481	0.750	zansèt
ancestry	0.708	0.519	0.717	zansèt
anchor	0.520	0.284	0.564	jete lank
anchorage	0.500	0.325	0.639	anchorage
ancient	0.420	0.217	0.439	ansyen
ancillary	0.449	0.442	0.278	oksilyè
androgen	0.255	0.523	0.527	androjèn
android	0.663	0.436	0.500	android
anecdote	0.583	0.529	0.500	anekdot
anemia	0.188	0.327	0.310	anemi
anemic	0.167	0.279	0.155	anemi
anemone	0.552	0.538	0.327	anemòn
anesthesia	0.365	0.216	0.394	anestezi
anesthesiologist	0.419	0.224	0.526	anestezi
anesthetic	0.350	0.264	0.482	anestezi
