English Word	Valence	Arousal	Dominance	Czech Word
acknowledgment	0.796	0.528	0.777	potvrzení
acme	0.408	0.435	0.375	vrchol
acne	0.167	0.474	0.308	akné
acorn	0.448	0.198	0.192	žalud
acoustic	0.542	0.462	0.536	akustický
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	seznámit
acquaintance	0.656	0.290	0.670	známost
acquainted	0.906	0.358	0.632	obeznámený
acquiescence	0.542	0.480	0.554	souhlas
acquire	0.833	0.468	0.700	získat
acquiring	0.735	0.510	0.817	získávání
acquisition	0.698	0.509	0.736	získávání
acquisitions	0.773	0.660	0.790	akvizice
acquit	0.583	0.571	0.611	osvobodit
acquittal	0.760	0.497	0.700	osvobození
acre	0.583	0.387	0.423	akr
acreage	0.741	0.450	0.528	výměra
acres	0.510	0.363	0.500	akrů
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akryl
act	0.656	0.704	0.735	akt
acting	0.698	0.643	0.500	herectví
action	0.760	0.898	0.802	akce
action figure	0.615	0.774	0.611	akční figurka
actionable	0.673	0.702	0.613	akceschopný
activate	0.764	0.650	0.806	aktivovat
activation	0.781	0.800	0.754	aktivace
active	0.847	0.730	0.731	aktivní
activist	0.531	0.653	0.877	aktivista
activity	0.701	0.660	0.807	aktivita
actor	0.653	0.561	0.629	herec
actress	0.633	0.556	0.596	herečka
actual	0.729	0.400	0.716	aktuální
actuality	0.750	0.464	0.600	skutečnost
actuary	0.510	0.404	0.491	pojistný matematik
acuity	0.469	0.378	0.741	ostrost
acumen	0.564	0.660	0.679	prozíravost
acupuncture	0.531	0.324	0.549	akupunktura
acute	0.427	0.652	0.534	akutní
acutely	0.417	0.543	0.491	akutně
ad	0.521	0.705	0.558	inzerát
adage	0.517	0.415	0.566	pořekadlo
adamant	0.344	0.529	0.575	neoblomný
adapt	0.740	0.355	0.551	přizpůsobit se
adaptable	0.735	0.423	0.641	adaptabilní
adaptation	0.663	0.365	0.609	přizpůsobování
add	0.728	0.490	0.554	přidat
added	0.562	0.405	0.509	přidal
addendum	0.392	0.370	0.418	dodatek
adder	0.388	0.461	0.588	zmije
addict	0.075	0.696	0.327	narkoman
addicted	0.156	0.712	0.483	závislý
addiction	0.180	0.806	0.420	závislost
addictive	0.302	0.683	0.472	návykový
addition	0.562	0.373	0.471	přidání
additional	0.673	0.462	0.526	další
additive	0.561	0.633	0.691	přísada
address	0.650	0.327	0.567	adresa
addressee	0.622	0.382	0.538	adresát
addresses	0.510	0.354	0.450	adresy
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	přiměřenost
adequate	0.854	0.264	0.705	adekvátní
adhere	0.633	0.339	0.554	dodržovat
adherence	0.760	0.307	0.630	dodržování
adherent	0.561	0.385	0.555	přichycený
adhering	0.612	0.561	0.537	přilnavý
adhesion	0.521	0.445	0.586	přilnavost
adhesive	0.604	0.350	0.413	lepidlo
adieu	0.250	0.471	0.342	sbohem
adipose	0.333	0.350	0.391	tukové
adjacency	0.365	0.417	0.375	sousedství
adjacent	0.645	0.276	0.536	přilehlý
adjective	0.570	0.316	0.569	přídavné jméno
adjoining	0.520	0.400	0.393	sousedící
adjourn	0.385	0.456	0.475	odložit
adjournment	0.438	0.510	0.370	odročení
adjudicate	0.559	0.520	0.683	rozhodnout
adjudication	0.551	0.462	0.691	rozhodnutí
adjunct	0.459	0.440	0.426	doplněk
adjust	0.647	0.327	0.638	upravit
adjuster	0.510	0.540	0.760	seřizovač
adjustment	0.590	0.520	0.661	nastavení
adjuvant	0.510	0.500	0.456	adjuvans
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	spravovat
administration	0.625	0.404	0.786	správa
administrative	0.542	0.415	0.579	správní
administrator	0.538	0.480	0.902	správce
admirable	0.929	0.600	0.870	obdivuhodný
admiral	0.844	0.490	0.847	admirál
admiralty	0.594	0.547	0.733	admiralita
admiration	0.969	0.583	0.726	obdiv
admire	0.867	0.692	0.704	obdivovat
admired	0.917	0.560	0.815	obdivovaný
admirer	0.796	0.720	0.650	obdivovatel
admiring	0.867	0.578	0.629	obdivující
admissibility	0.802	0.580	0.602	přípustnost
admissible	0.780	0.528	0.642	přípustné
admission	0.802	0.415	0.732	přijetí
admit	0.538	0.423	0.667	připustit
admittance	0.690	0.451	0.598	vstup
admitted	0.720	0.490	0.767	připustil
admitting	0.620	0.500	0.546	přiznávající
admixture	0.450	0.375	0.438	přísada
admonition	0.357	0.606	0.455	napomenutí
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	dospívání
adolescent	0.781	0.680	0.509	puberťák
adopt	0.694	0.612	0.701	přijmout
adoption	0.625	0.566	0.589	přijetí
adoptive	0.531	0.469	0.520	adoptivní
adorable	0.969	0.519	0.457	rozkošný
adoration	0.885	0.699	0.708	adorace
adore	0.854	0.438	0.657	uctívat
adoring	0.885	0.620	0.717	zamilovaný
adorn	0.910	0.424	0.482	ozdobit
adornment	0.918	0.373	0.377	ozdoba
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	unášení
adult	0.815	0.491	0.787	dospělý
adulterated	0.188	0.865	0.370	falšované
adulterer	0.229	0.814	0.407	cizoložník
adultery	0.120	0.922	0.510	cizoložství
adulthood	0.541	0.454	0.652	dospělost
advance	0.673	0.472	0.858	záloha
advanced	0.844	0.623	0.797	pokročilý
advancement	0.776	0.650	0.839	pokrok
advancing	0.929	0.608	0.812	postupující
advantage	0.917	0.548	0.859	výhoda
advantageous	0.837	0.640	0.789	výhodný
advent	0.665	0.560	0.627	příchod
adventure	0.917	0.857	0.710	dobrodružství
adventurer	0.781	0.839	0.868	dobrodruh
adventures	0.812	0.764	0.749	Dobrodružství
adventurous	0.969	0.898	0.722	dobrodružný
adversary	0.349	0.777	0.457	protivník
adverse	0.323	0.610	0.385	nepříznivý
adversity	0.276	0.760	0.538	nepřízeň osudu
advertise	0.500	0.529	0.580	inzerovat
advertisement	0.600	0.566	0.539	reklama
advertising	0.622	0.608	0.632	reklamní
adverts	0.551	0.500	0.595	reklamy
advice	0.698	0.408	0.688	Rada
advisable	0.867	0.480	0.510	vhodné
advise	0.760	0.393	0.705	radit, podat zprávu
advised	0.823	0.330	0.509	poradil
advisement	0.698	0.235	0.655	poradenství
adviser	0.745	0.362	0.705	poradce
advisor	0.646	0.350	0.689	poradce
advisory	0.656	0.429	0.633	poradní
advocacy	0.500	0.646	0.731	obhajoba
advocate	0.551	0.530	0.818	zastánce
aegis	0.490	0.439	0.462	záštita
aeration	0.550	0.500	0.433	provzdušňování
aerial	0.615	0.461	0.463	letecký
aerobics	0.708	0.771	0.627	aerobik
aerodrome	0.541	0.740	0.678	letiště
aerodynamic	0.561	0.724	0.728	aerodynamický
aerodynamics	0.590	0.663	0.722	aerodynamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	letoun
aerospace	0.643	0.520	0.779	letectví a kosmonautiky
aesthetic	0.708	0.442	0.526	estetický
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologie
afar	0.396	0.373	0.358	daleko
affable	0.704	0.380	0.452	přívětivý
affair	0.520	0.459	0.657	aféra
affect	0.458	0.569	0.578	postihnout
affecting	0.350	0.574	0.394	ovlivňující
affection	0.898	0.559	0.696	náklonnost
affectionate	0.949	0.422	0.550	láskyplný
affections	0.760	0.547	0.655	náklonnosti
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	přísežné prohlášení
affiliated	0.673	0.519	0.535	přidružený
affiliation	0.615	0.594	0.500	příslušnost
affinity	0.800	0.500	0.537	afinita
affirm	0.745	0.509	0.731	potvrdit
affirmation	0.750	0.500	0.689	afirmace
affirmative	0.854	0.589	0.816	kladný
affirmatively	0.908	0.500	0.811	kladně
affix	0.438	0.335	0.411	připevnit
afflict	0.302	0.555	0.293	postihnout
afflicted	0.271	0.500	0.167	postižený
affliction	0.294	0.635	0.392	utrpení
affluence	0.663	0.618	0.722	blahobyt
affluent	0.756	0.388	0.477	blahobytný
afford	0.571	0.580	0.575	si dovolit
affordable	0.840	0.398	0.493	cenově dostupné
affront	0.327	0.740	0.547	urážka
affronted	0.385	0.750	0.527	uražen
afield	0.594	0.370	0.373	v zahraničí
afire	0.367	0.904	0.675	požár
afloat	0.602	0.427	0.444	na vodě
afore	0.500	0.337	0.382	předem
aforementioned	0.490	0.316	0.408	výše
aforesaid	0.531	0.358	0.478	výše řečeno
afraid	0.010	0.775	0.245	strach
afresh	0.643	0.521	0.480	znovu
aft	0.480	0.417	0.518	na zádi
afterlife	0.571	0.567	0.568	posmrtný život
aftermath	0.312	0.449	0.444	následky
afternoon	0.533	0.388	0.339	odpoledne
aftershave	0.406	0.384	0.415	voda po holení
aftertaste	0.354	0.362	0.455	pachuť
afterthought	0.396	0.392	0.349	dodatečný nápad
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agapé
agate	0.540	0.377	0.483	achát
age	0.561	0.226	0.498	stáří
aged	0.135	0.365	0.236	letitý
agency	0.460	0.296	0.583	agentura
agenda	0.531	0.296	0.553	denní program
agent	0.480	0.439	0.755	činidlo
agglomeration	0.450	0.765	0.509	aglomerace
aggravate	0.224	0.770	0.464	zhoršit
aggravated	0.079	0.760	0.430	zhoršené
aggravates	0.108	0.778	0.357	zhoršuje
aggravating	0.257	0.794	0.640	přitěžující
aggravation	0.071	0.784	0.613	zhoršení
aggregate	0.730	0.378	0.556	agregát
aggregation	0.583	0.517	0.694	agregace
aggresive	0.059	0.971	0.639	agresivní
aggression	0.094	0.929	0.533	agrese
aggressive	0.125	0.949	0.648	agresivní
aggressively	0.250	0.926	0.688	agresivně
aggressiveness	0.077	0.913	0.648	agresivita
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	zděšený
aghhh	0.281	0.635	0.243	ahhh
agile	0.800	0.657	0.775	agilní
agility	0.720	0.702	0.815	hbitost
aging	0.214	0.255	0.284	stárnutí
agitate	0.300	0.796	0.593	agitovat
agitated	0.444	0.882	0.491	rozrušený
agitation	0.240	0.931	0.447	míchání
aglow	0.780	0.510	0.797	planoucí
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	před
agonizing	0.083	0.800	0.340	agonizující
agony	0.083	0.775	0.393	muka
agoraphobia	0.127	0.712	0.438	agorafobie
agree	0.906	0.260	0.545	souhlasit
agreeable	0.906	0.500	0.696	příjemný
agreed	0.797	0.449	0.574	souhlasil
agreeing	0.854	0.480	0.557	souhlasit
agreement	0.760	0.440	0.736	dohoda
agressive	0.083	0.918	0.751	agresivní
agricultural	0.686	0.321	0.473	zemědělský
agriculture	0.640	0.357	0.465	zemědělství
aground	0.333	0.340	0.445	na mělčině
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	vpřed
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	Ahoj
aid	0.796	0.491	0.541	pomoc
aide	0.724	0.342	0.434	pobočník
aiding	0.643	0.533	0.569	pomáhání
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	churavějící
ailment	0.146	0.734	0.277	indispozice
aim	0.481	0.569	0.567	cíl
aimless	0.150	0.267	0.183	bezcílný
air	0.708	0.163	0.427	vzduch
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	ve vzduchu
aircraft	0.646	0.644	0.691	letadlo
aircraft carrier	0.490	0.740	0.727	letadlová loď
airfield	0.601	0.650	0.645	letiště
airhead	0.271	0.481	0.276	vzduchová hlavice
airlift	0.573	0.622	0.642	leteckou přepravu
airline	0.650	0.482	0.688	letecká linka
airliner	0.667	0.777	0.647	dopravní letadlo
airlock	0.398	0.520	0.447	vzduchová komora
airman	0.587	0.716	0.721	letec
airplane	0.719	0.702	0.708	letoun
airport	0.729	0.684	0.682	LETIŠTĚ
airs	0.583	0.196	0.370	vysílá
airship	0.542	0.472	0.529	vzducholoď
airspace	0.562	0.510	0.640	vzdušný prostor
airspeed	0.583	0.780	0.544	rychlost vzduchu
airstrip	0.550	0.690	0.649	přistávací dráha
airtight	0.479	0.381	0.570	vzduchotěsný
airway	0.638	0.585	0.482	dýchacích cest
aisle	0.438	0.222	0.283	ulička
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	pootevřený
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	podobný
alabaster	0.542	0.404	0.445	alabastr
alarm	0.241	0.882	0.698	poplach
alarm clock	0.542	0.727	0.642	budík
alarmed	0.188	0.822	0.492	znepokojený
alarming	0.204	0.890	0.585	alarmující
alas	0.571	0.310	0.279	Běda
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albín
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchymie
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholik
alcoholism	0.061	0.779	0.407	alkoholismus
alcove	0.490	0.340	0.356	výklenek
alderman	0.550	0.459	0.691	radní
ale	0.530	0.450	0.358	pivo
alert	0.479	0.820	0.648	upozornění
alertness	0.375	0.875	0.750	ostražitost
alerts	0.337	0.804	0.673	upozornění
alfalfa	0.546	0.250	0.311	vojtěška
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraický
algorithm	0.448	0.394	0.559	algoritmus
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	mimozemšťan
alienate	0.247	0.500	0.523	odcizit
alienated	0.410	0.423	0.559	odcizený
alienation	0.378	0.530	0.462	odcizení
alight	0.667	0.657	0.605	vystoupit
align	0.656	0.364	0.627	zarovnat
aligned	0.583	0.275	0.553	zarovnaný
alignment	0.643	0.412	0.683	zarovnání
alike	0.653	0.173	0.444	podobně
alimentation	0.781	0.551	0.602	stravování
alimony	0.612	0.477	0.464	výživné
aliquot	0.440	0.310	0.404	alikvotně
alive	0.816	0.637	0.731	naživu
alkali	0.490	0.350	0.408	alkálie
alkaloids	0.433	0.562	0.402	alkaloidy
allay	0.417	0.406	0.398	zmírnit
allegation	0.578	0.578	0.608	tvrzení
allege	0.418	0.482	0.587	tvrdit
alleged	0.365	0.522	0.520	údajný
allegiance	0.917	0.398	0.750	věrnost
allegorical	0.517	0.558	0.598	alegorický
allegory	0.615	0.580	0.509	alegorie
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergický
allergy	0.296	0.606	0.389	alergie
alleviate	0.869	0.270	0.528	zmírnit
alleviation	0.735	0.200	0.491	zmírnění
alley	0.347	0.500	0.355	alej
alleyway	0.357	0.471	0.382	ulička
alliance	0.696	0.473	0.769	aliance
allied	0.714	0.245	0.642	spojenecký
alligator	0.354	0.704	0.645	aligátor
allocate	0.673	0.462	0.672	přidělit
allocation	0.604	0.388	0.679	přidělení
allot	0.622	0.481	0.616	přidělovat
allotment	0.600	0.390	0.640	přidělování
allow	0.698	0.429	0.538	dovolit
allowable	0.698	0.500	0.561	přípustné
allowance	0.673	0.382	0.591	příspěvek
allowed	0.730	0.360	0.655	povoleno
alloy	0.583	0.443	0.593	slitina
allsmiles	0.786	0.528	0.430	všechny úsměvy
allure	0.804	0.585	0.686	lákat
alluring	0.837	0.745	0.843	svůdný
allusion	0.440	0.308	0.462	narážka
alluvial	0.323	0.490	0.491	aluviální
ally	0.792	0.320	0.688	spojenec
almanac	0.688	0.190	0.412	almanach
almighty	0.938	0.874	0.958	všemohoucí
almond	0.698	0.183	0.314	mandle
aloft	0.771	0.373	0.700	nahoře
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sám
alongside	0.458	0.333	0.347	vedle
aloof	0.189	0.423	0.302	rezervovaný
aloud	0.458	0.713	0.750	nahlas
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	abeceda
alphabetical	0.537	0.296	0.535	abecední
alpine	0.594	0.337	0.474	vysokohorský
alreadyyyyy	0.592	0.717	0.351	užyyyy
altar	0.724	0.387	0.635	oltář
altar boy	0.434	0.206	0.350	oltářník
alter	0.333	0.694	0.654	změnit
alteration	0.167	0.798	0.609	změna
altercation	0.170	0.806	0.500	hádka
altered	0.255	0.765	0.500	změněno
alternate	0.625	0.363	0.589	střídat
alternating	0.480	0.494	0.542	střídavé
alternative	0.628	0.373	0.631	alternativní
altimeter	0.615	0.510	0.580	výškoměr
altitude	0.708	0.482	0.736	nadmořská výška
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	celkem
aluminum	0.449	0.280	0.434	hliník
alumnus	0.633	0.368	0.422	absolvent
alveolar	0.469	0.481	0.367	alveolární
alzheimers	0.194	0.518	0.319	alzheimerů
amalgam	0.438	0.333	0.510	amalgám
amalgamation	0.406	0.470	0.531	sloučení
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	hromadit
amateur	0.469	0.500	0.409	amatér
amaze	0.896	0.843	0.783	ohromit
amazed	0.796	0.779	0.533	ohromen
amazedness	0.827	0.872	0.510	úžas
amazement	0.750	0.800	0.639	ohromení
amazing	0.906	0.837	0.849	úžasný
amazingly	0.918	0.765	0.920	úžasně
ambassador	0.651	0.529	0.917	velvyslanec
amber	0.635	0.308	0.369	jantar
ambience	0.735	0.356	0.426	prostředí
ambient	0.625	0.360	0.582	okolní
ambiguity	0.164	0.460	0.370	dvojznačnost
ambiguous	0.265	0.462	0.358	dvojznačný
ambit	0.479	0.380	0.386	ambitu
ambition	0.510	0.804	0.661	ctižádost
ambitious	0.484	0.821	0.717	ambiciózní
ambivalent	0.510	0.404	0.482	ambivalentní
ambrosia	0.571	0.452	0.480	ambrózie
ambulance	0.500	0.750	0.609	záchranná služba
ambush	0.281	0.830	0.500	přepadení
ameliorate	0.770	0.548	0.747	zlepšit
amen	0.781	0.182	0.542	Amen
amenable	0.448	0.410	0.406	přístupný
amend	0.688	0.406	0.658	upravit
amendment	0.531	0.459	0.606	pozměňovací návrh
amends	0.640	0.366	0.517	opravuje
amenity	0.750	0.327	0.574	S vybavením
amethyst	0.622	0.406	0.517	ametyst
amiable	0.847	0.290	0.483	přívětivý
amicable	0.875	0.330	0.507	přátelské
amid	0.510	0.340	0.256	uprostřed
amidst	0.480	0.330	0.316	uprostřed
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munice
ammonia	0.292	0.587	0.409	amoniak
ammonium	0.354	0.396	0.368	amonium
ammunition	0.338	0.635	0.667	munice
amnesia	0.296	0.330	0.308	amnézie
amnesty	0.551	0.451	0.814	amnestie
amorous	0.844	0.670	0.636	zamilovaný
amorphous	0.327	0.402	0.349	amorfní
amortization	0.592	0.491	0.522	amortizace
amount	0.562	0.422	0.649	množství
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminy
amphibian	0.427	0.357	0.474	obojživelník
amphibious	0.479	0.346	0.445	obojživelný
amphitheater	0.653	0.480	0.545	amfiteátr
ample	0.744	0.349	0.719	dostatek
amplification	0.690	0.677	0.810	zesílení
amplify	0.677	0.735	0.827	zesilovat
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	bohatě
amputate	0.092	0.660	0.509	amputovat
amputation	0.100	0.755	0.483	amputace
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	bavit
amused	0.942	0.847	0.596	pobavený
amusement	0.929	0.837	0.803	pobavení
amusing	0.960	0.829	0.632	zábavný
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestézie
anaesthetic	0.449	0.268	0.509	anestetikum
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anální
analgesic	0.417	0.321	0.441	analgetikum
analogous	0.531	0.270	0.500	analogický
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogie
analysis	0.729	0.448	0.705	analýza
analyst	0.604	0.415	0.755	analytik
analytic	0.665	0.521	0.634	analytický
analytical	0.625	0.324	0.800	analytický
analyze	0.667	0.462	0.710	analyzovat
analyzer	0.625	0.556	0.854	analyzátor
anaphylactic	0.378	0.588	0.500	anafylaktický
anarchism	0.125	0.804	0.623	anarchismus
anarchist	0.204	0.700	0.759	anarchista
anarchy	0.146	0.755	0.620	anarchie
anastomosis	0.375	0.470	0.490	anastomóza
anathema	0.286	0.490	0.519	anathema
anatomic	0.562	0.442	0.546	anatomický
anatomy	0.562	0.390	0.571	anatomie
ancestor	0.592	0.388	0.594	předek
ancestral	0.640	0.481	0.750	rodový
