English Word	Valence	Arousal	Dominance	Irish Word
absentee	0.235	0.330	0.279	neamhláithreachta
absenteeism	0.404	0.273	0.357	neamhláithreacht
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	iomlán
absolution	0.715	0.500	0.664	fuadach
absolve	0.684	0.449	0.660	absalóideach
absorb	0.469	0.558	0.670	ionsú
absorbed	0.490	0.471	0.519	shúite
absorbent	0.552	0.394	0.718	ionsúiteach
absorbing	0.490	0.490	0.578	ag ionsú
absorption	0.609	0.422	0.446	ionsúite
abstain	0.385	0.385	0.427	staonadh
abstention	0.271	0.264	0.509	staonadh
abstinence	0.260	0.392	0.429	staonadh
abstract	0.438	0.292	0.444	teibí
abstraction	0.469	0.439	0.525	astarraingt
absurd	0.188	0.656	0.284	áiféiseach
absurdity	0.115	0.528	0.227	áiféiseach
abundance	0.812	0.690	0.852	raidhse
abundant	0.958	0.590	0.760	flúirseach
abuse	0.071	0.873	0.469	mí-úsáid
abused	0.021	0.874	0.235	mí-úsáid
abusive	0.125	0.903	0.567	maslach
abutment	0.500	0.265	0.616	taca
aby	0.385	0.452	0.368	duibheagán
abysmal	0.250	0.710	0.598	aimhreasach
abyss	0.353	0.725	0.296	duibheagán
academic	0.781	0.420	0.812	acadúil
academy	0.704	0.473	0.792	Acadamh
accede	0.698	0.510	0.537	aontú
accelerant	0.643	0.844	0.802	luasaire
accelerate	0.615	0.902	0.759	dlús a chur
accelerated	0.610	0.812	0.682	luathaithe
acceleration	0.704	0.905	0.843	luasghéarú
accelerator	0.593	0.830	0.812	luasaire
accent	0.598	0.357	0.509	accent
accentuate	0.673	0.556	0.667	accentuate
accept	0.847	0.286	0.565	glacadh
acceptable	0.812	0.286	0.583	inghlactha
acceptance	0.833	0.287	0.755	glacadh
acceptances	0.847	0.413	0.648	glactha
access	0.714	0.472	0.567	rochtain
accessible	0.796	0.410	0.645	inrochtana
accession	0.612	0.383	0.636	aontachas
accessory	0.562	0.292	0.445	cúlpháirtí
accident	0.125	0.908	0.336	timpiste
accidental	0.319	0.784	0.307	thaisme
accidentally	0.333	0.741	0.333	de thaisme
acclaim	0.562	0.809	0.718	moladh
accolade	0.688	0.591	0.775	gradam
accommodate	0.844	0.375	0.566	freastal
accommodation	0.817	0.415	0.587	lóistín
accompaniment	0.740	0.479	0.695	tionlacan
accompany	0.833	0.406	0.585	in éineacht
accompanying	0.787	0.460	0.582	in éineacht le
accomplice	0.408	0.580	0.510	comhchoirí
accomplish	0.929	0.673	0.816	chur i gcrích
accomplished	0.870	0.520	0.798	i gcrích
accomplishment	0.917	0.694	0.888	éacht
accord	0.898	0.264	0.382	de réir
accordance	0.659	0.349	0.600	de réir
accordion	0.604	0.490	0.361	bosca ceoil
account	0.531	0.347	0.472	cuntas
accountability	0.755	0.537	0.833	cuntasacht
accountable	0.709	0.282	0.777	cuntasach
accountant	0.625	0.450	0.639	cuntasóir
accounting	0.552	0.390	0.677	cuntasaíochta
accounts	0.592	0.340	0.471	cuntais
accredited	0.669	0.479	0.768	creidiúnaithe
accretion	0.448	0.519	0.672	accreation
accrue	0.520	0.481	0.602	fabhrú
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	charnadh
accumulation	0.479	0.527	0.600	carnadh
accuracy	0.604	0.481	0.802	cruinneas
accurate	0.743	0.360	0.737	cruinn
accursed	0.135	0.745	0.345	fabhraithe
accusation	0.073	0.718	0.564	cúisimh
accusative	0.198	0.755	0.482	cúisitheach
accuse	0.133	0.752	0.500	cúisigh
accused	0.130	0.670	0.420	cúisithe
accuser	0.122	0.779	0.615	cúisitheoir
accusing	0.156	0.745	0.324	accusing
accustomed	0.542	0.365	0.441	i dtaithí
ace	0.643	0.481	0.546	acas
acetic	0.333	0.420	0.519	aicéiteach
acetylene	0.306	0.469	0.509	aicéitiléine
ache	0.146	0.760	0.312	pian
achieve	0.816	0.545	0.843	bhaint amach
achieved	0.896	0.519	0.775	bainte amach
achievement	0.896	0.808	0.759	éacht
aching	0.053	0.880	0.348	pian
achy	0.167	0.840	0.373	achaidh
acid	0.265	0.642	0.566	aigéad
acidity	0.156	0.663	0.360	aigéadacht
acknowledge	0.786	0.370	0.661	admháil
acknowledged	0.714	0.443	0.765	admhaigh
acknowledgement	0.819	0.539	0.830	admháil
acknowledgment	0.796	0.528	0.777	admháil
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	dearcán
acoustic	0.542	0.462	0.536	fuaimiúil
acoustics	0.611	0.330	0.509	fuaimíocht
acquaint	0.646	0.491	0.639	aithne
acquaintance	0.656	0.290	0.670	aithne
acquainted	0.906	0.358	0.632	aithne
acquiescence	0.542	0.480	0.554	comhaontas
acquire	0.833	0.468	0.700	fháil
acquiring	0.735	0.510	0.817	ag fáil
acquisition	0.698	0.509	0.736	éadáil
acquisitions	0.773	0.660	0.790	éadálacha
acquit	0.583	0.571	0.611	éigiont
acquittal	0.760	0.497	0.700	éigiontú
acre	0.583	0.387	0.423	acra
acreage	0.741	0.450	0.528	acraíocht
acres	0.510	0.363	0.500	acra
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	aicrileach
act	0.656	0.704	0.735	acht
acting	0.698	0.643	0.500	ag aisteoireacht
action	0.760	0.898	0.802	gníomh
action figure	0.615	0.774	0.611	figiúr gníomhaíochta
actionable	0.673	0.702	0.613	inghníomhaithe
activate	0.764	0.650	0.806	ghníomhacht
activation	0.781	0.800	0.754	gníomhachtaithe
active	0.847	0.730	0.731	gníomhach
activist	0.531	0.653	0.877	gníomhaí
activity	0.701	0.660	0.807	ghníomhaíocht
actor	0.653	0.561	0.629	aisteoir
actress	0.633	0.556	0.596	aisteoir
actual	0.729	0.400	0.716	iarbhír
actuality	0.750	0.464	0.600	iarbhír
actuary	0.510	0.404	0.491	achtúire
acuity	0.469	0.378	0.741	géire
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	géarmhíochaine
acutely	0.417	0.543	0.491	go géar
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	daingean
adapt	0.740	0.355	0.551	oiriúnú
adaptable	0.735	0.423	0.641	inoiriúnaithe
adaptation	0.663	0.365	0.609	oiriúnú
add	0.728	0.490	0.554	cuir
added	0.562	0.405	0.509	curtha leis
addendum	0.392	0.370	0.418	aguisín
adder	0.388	0.461	0.588	nathair
addict	0.075	0.696	0.327	andúileach
addicted	0.156	0.712	0.483	andúile
addiction	0.180	0.806	0.420	andúil
addictive	0.302	0.683	0.472	andúileach
addition	0.562	0.373	0.471	bhreis
additional	0.673	0.462	0.526	breise
additive	0.561	0.633	0.691	breiseán
address	0.650	0.327	0.567	seoladh
addressee	0.622	0.382	0.538	seolaí
addresses	0.510	0.354	0.450	seoltaí
adept	0.594	0.539	0.789	oilte
adequacy	0.615	0.435	0.702	leordhóthanacht
adequate	0.854	0.264	0.705	leordhóthanach
adhere	0.633	0.339	0.554	cloí
adherence	0.760	0.307	0.630	cloí
adherent	0.561	0.385	0.555	cloíte
adhering	0.612	0.561	0.537	ag cloí
adhesion	0.521	0.445	0.586	greamaitheacht
adhesive	0.604	0.350	0.413	ghreamaitheacha
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	géag
adjacency	0.365	0.417	0.375	cóngaracht
adjacent	0.645	0.276	0.536	in aice
adjective	0.570	0.316	0.569	aidiacht
adjoining	0.520	0.400	0.393	tadhlach
adjourn	0.385	0.456	0.475	ar athló
adjournment	0.438	0.510	0.370	ar atráth
adjudicate	0.559	0.520	0.683	moltóireacht
adjudication	0.551	0.462	0.691	breithiúnas
adjunct	0.459	0.440	0.426	aguisín
adjust	0.647	0.327	0.638	coigeartú
adjuster	0.510	0.540	0.760	coigeartóir
adjustment	0.590	0.520	0.661	coigeartú
adjuvant	0.510	0.500	0.456	aidiúvach
admin	0.688	0.420	0.854	riarthoir
administer	0.635	0.425	0.860	riar
administration	0.625	0.404	0.786	riaradh
administrative	0.542	0.415	0.579	riaracháin
administrator	0.538	0.480	0.902	riarthóir
admirable	0.929	0.600	0.870	ionmholta
admiral	0.844	0.490	0.847	aimiréal
admiralty	0.594	0.547	0.733	aimiréalachta
admiration	0.969	0.583	0.726	meas
admire	0.867	0.692	0.704	admire
admired	0.917	0.560	0.815	meas
admirer	0.796	0.720	0.650	admirer
admiring	0.867	0.578	0.629	admiring
admissibility	0.802	0.580	0.602	inghlacthacht
admissible	0.780	0.528	0.642	inghlactha
admission	0.802	0.415	0.732	ligean isteach
admit	0.538	0.423	0.667	admháil
admittance	0.690	0.451	0.598	ligean isteach
admitted	0.720	0.490	0.767	admhaigh
admitting	0.620	0.500	0.546	ag ligean isteach
admixture	0.450	0.375	0.438	mheascán
admonition	0.357	0.606	0.455	aireachais
ado	0.520	0.423	0.385	maith
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ógántacht
adolescent	0.781	0.680	0.509	ógánach
adopt	0.694	0.612	0.701	ghlacadh
adoption	0.625	0.566	0.589	uchtáil
adoptive	0.531	0.469	0.520	uchtach
adorable	0.969	0.519	0.457	gleoite
adoration	0.885	0.699	0.708	adhradh
adore	0.854	0.438	0.657	adhair
adoring	0.885	0.620	0.717	ag adhradh
adorn	0.910	0.424	0.482	mhaisigh
adornment	0.918	0.373	0.377	maisiúchán
adrenalin	0.865	0.920	0.786	aidréanailín
adrenaline	0.765	0.965	0.825	aidréanailín
adrift	0.398	0.486	0.230	sruth
adult	0.815	0.491	0.787	fásta
adulterated	0.188	0.865	0.370	truailligh
adulterer	0.229	0.814	0.407	adhaltranach
adultery	0.120	0.922	0.510	adhaltranas
adulthood	0.541	0.454	0.652	fásta
advance	0.673	0.472	0.858	airleacan
advanced	0.844	0.623	0.797	chun cinn
advancement	0.776	0.650	0.839	dul chun cinn
advancing	0.929	0.608	0.812	ag dul chun cinn
advantage	0.917	0.548	0.859	buntáiste
advantageous	0.837	0.640	0.789	buntáisteach
advent	0.665	0.560	0.627	teacht
adventure	0.917	0.857	0.710	eachtra
adventurer	0.781	0.839	0.868	eachtránaí
adventures	0.812	0.764	0.749	eachtraí
adventurous	0.969	0.898	0.722	eachtrúil
adversary	0.349	0.777	0.457	namhaid
adverse	0.323	0.610	0.385	díobhálach
adversity	0.276	0.760	0.538	aimhreas
advertise	0.500	0.529	0.580	fhógairt
advertisement	0.600	0.566	0.539	fógra
advertising	0.622	0.608	0.632	fógraíocht
adverts	0.551	0.500	0.595	fógraí
advice	0.698	0.408	0.688	comhairle
advisable	0.867	0.480	0.510	inmholta
advise	0.760	0.393	0.705	comhairle
advised	0.823	0.330	0.509	comhairle
advisement	0.698	0.235	0.655	comhairle
adviser	0.745	0.362	0.705	comhairleoir
advisor	0.646	0.350	0.689	comhairleoir
advisory	0.656	0.429	0.633	comhairleacha
advocacy	0.500	0.646	0.731	Abhcóideacht
advocate	0.551	0.530	0.818	Abhcóide
aegis	0.490	0.439	0.462	faoi choimirce
aeration	0.550	0.500	0.433	aeraithe
aerial	0.615	0.461	0.463	aeróg
aerobics	0.708	0.771	0.627	aeróbaice
aerodrome	0.541	0.740	0.678	aeradróm
aerodynamic	0.561	0.724	0.728	aerdinimiciúil
aerodynamics	0.590	0.663	0.722	aeraidinimic
aeronautics	0.551	0.633	0.688	aerloingseoireacht
aeroplane	0.714	0.642	0.644	eitleán
aerospace	0.643	0.520	0.779	aeraspáis
aesthetic	0.708	0.442	0.526	aeistéitiúil
aesthetics	0.847	0.327	0.549	aeistéitic
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	i gcéin
affable	0.704	0.380	0.452	suarach
affair	0.520	0.459	0.657	cleamhnas
affect	0.458	0.569	0.578	difear
affecting	0.350	0.574	0.394	ag cur isteach
affection	0.898	0.559	0.696	gean
affectionate	0.949	0.422	0.550	geanúil
affections	0.760	0.547	0.655	gean
affiche	0.479	0.265	0.402	aifís
affidavit	0.469	0.584	0.526	mionnscríbhinn
affiliated	0.673	0.519	0.535	cleamhnaithe
affiliation	0.615	0.594	0.500	cleamhnas
affinity	0.800	0.500	0.537	cleamhnas
affirm	0.745	0.509	0.731	dhaingniú
affirmation	0.750	0.500	0.689	dearbhú
affirmative	0.854	0.589	0.816	dearfach
affirmatively	0.908	0.500	0.811	go dearfach
affix	0.438	0.335	0.411	ghreamú
afflict	0.302	0.555	0.293	aimhreas
afflicted	0.271	0.500	0.167	cráite
affliction	0.294	0.635	0.392	aimhreas
affluence	0.663	0.618	0.722	saibhreas
affluent	0.756	0.388	0.477	saibhir
afford	0.571	0.580	0.575	acmhainn
affordable	0.840	0.398	0.493	inacmhainne
affront	0.327	0.740	0.547	achrann
affronted	0.385	0.750	0.527	achrann
afield	0.594	0.370	0.373	i gcéin
afire	0.367	0.904	0.675	tine
afloat	0.602	0.427	0.444	ar snámh
afore	0.500	0.337	0.382	roimhe
aforementioned	0.490	0.316	0.408	thuasluaite
aforesaid	0.531	0.358	0.478	a dúradh
afraid	0.010	0.775	0.245	eaglach
afresh	0.643	0.521	0.480	as an nua
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	saol eile
aftermath	0.312	0.449	0.444	tar éis
afternoon	0.533	0.388	0.339	tráthnóna
aftershave	0.406	0.384	0.415	i ndiaidh bearradh
aftertaste	0.354	0.362	0.455	iarbhlais
afterthought	0.396	0.392	0.349	iarsmaoineamh
aga	0.542	0.327	0.398	ága
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agaid
age	0.561	0.226	0.498	aois
aged	0.135	0.365	0.236	d'aois
agency	0.460	0.296	0.583	gníomhaireacht
agenda	0.531	0.296	0.553	clár oibre
agent	0.480	0.439	0.755	gníomhaire
agglomeration	0.450	0.765	0.509	ceirtleáil
aggravate	0.224	0.770	0.464	ag dul in olcas
aggravated	0.079	0.760	0.430	géaraithe
aggravates	0.108	0.778	0.357	ag dul in olcas
aggravating	0.257	0.794	0.640	ag dul in olcas
aggravation	0.071	0.784	0.613	géarú
aggregate	0.730	0.378	0.556	comhiomlán
aggregation	0.583	0.517	0.694	comhiomlán
aggresive	0.059	0.971	0.639	ionsaitheach
aggression	0.094	0.929	0.533	ionsaí
aggressive	0.125	0.949	0.648	ionsaitheach
aggressively	0.250	0.926	0.688	go ionsaitheach
aggressiveness	0.077	0.913	0.648	ionsaitheacht
aggressor	0.146	0.948	0.823	ionsaitheoir
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	suarach
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	lúfar
agility	0.720	0.702	0.815	aclaíocht
aging	0.214	0.255	0.284	ag dul in aois
agitate	0.300	0.796	0.593	corraigh
agitated	0.444	0.882	0.491	corraithe
agitation	0.240	0.931	0.447	agas
aglow	0.780	0.510	0.797	lag
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	ó shin
agonizing	0.083	0.800	0.340	cráiteach
agony	0.083	0.775	0.393	cráite
agoraphobia	0.127	0.712	0.438	oscailtafóibe
agree	0.906	0.260	0.545	aontú
agreeable	0.906	0.500	0.696	sásta
agreed	0.797	0.449	0.574	aontaithe
agreeing	0.854	0.480	0.557	aontú
agreement	0.760	0.440	0.736	comhaontú
agressive	0.083	0.918	0.751	ionsaitheach
agricultural	0.686	0.321	0.473	talmhaiochta
agriculture	0.640	0.357	0.465	talmhaiocht
aground	0.333	0.340	0.445	ar talamh
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	romhainn
ahhh	0.562	0.517	0.241	achh
ahhhhhhhh	0.552	0.649	0.288	achhhhhhh
ahoy	0.500	0.497	0.380	aoidh
aid	0.796	0.491	0.541	cabhair
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	ag cabhrú
aids	0.561	0.480	0.500	áiseanna
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	tinn
ailment	0.146	0.734	0.277	tinneas
aim	0.481	0.569	0.567	aidhm
aimless	0.150	0.267	0.183	gan aidhm
air	0.708	0.163	0.427	aer
airbag	0.510	0.402	0.433	mála aeir
airborne	0.542	0.519	0.385	aerbheirthe
aircraft	0.646	0.644	0.691	aerárthach
aircraft carrier	0.490	0.740	0.727	iompróir aerárthaigh
airfield	0.601	0.650	0.645	aerpháirc
airhead	0.271	0.481	0.276	ceann aeir
airlift	0.573	0.622	0.642	aerárthach
airline	0.650	0.482	0.688	aerlíne
airliner	0.667	0.777	0.647	aerlíne
airlock	0.398	0.520	0.447	aerghlas
airman	0.587	0.716	0.721	eitleoir
airplane	0.719	0.702	0.708	eitleán
airport	0.729	0.684	0.682	aerfort
airs	0.583	0.196	0.370	airs
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	aerspás
airspeed	0.583	0.780	0.544	aerluas
airstrip	0.550	0.690	0.649	aerstráice
airtight	0.479	0.381	0.570	aerdhíonach
airway	0.638	0.585	0.482	aerbhealach
aisle	0.438	0.222	0.283	aisle
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	cosúil
alabaster	0.542	0.404	0.445	alabastair
alarm	0.241	0.882	0.698	aláram
alarm clock	0.542	0.727	0.642	clog aláraim
alarmed	0.188	0.822	0.492	scanraithe
alarming	0.204	0.890	0.585	scanrúil
alas	0.571	0.310	0.279	faraor
alb	0.521	0.380	0.427	alba
albatross	0.500	0.445	0.527	albatras
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albam
alchemy	0.541	0.583	0.693	ailceimic
alcohol	0.323	0.667	0.377	alcól
alcoholic	0.153	0.688	0.361	alcólach
alcoholism	0.061	0.779	0.407	alcólacht
alcove	0.490	0.340	0.356	alcabh
alderman	0.550	0.459	0.691	seanóir
ale	0.530	0.450	0.358	leann
alert	0.479	0.820	0.648	airdeall
alertness	0.375	0.875	0.750	airdeall
alerts	0.337	0.804	0.673	foláirimh
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	ailgéabar
algebraic	0.531	0.412	0.441	ailgéabrach
algorithm	0.448	0.394	0.559	algartam
alias	0.541	0.353	0.333	ailias
alibi	0.396	0.528	0.556	ailibí
alien	0.410	0.615	0.491	eachtrannach
alienate	0.247	0.500	0.523	coimhthíos
alienated	0.410	0.423	0.559	coimhthithe
alienation	0.378	0.530	0.462	coimhthiú
alight	0.667	0.657	0.605	tuirlingt
align	0.656	0.364	0.627	ailíniú
aligned	0.583	0.275	0.553	ailínithe
alignment	0.643	0.412	0.683	ailíniú
alike	0.653	0.173	0.444	araon
alimentation	0.781	0.551	0.602	biatas
alimony	0.612	0.477	0.464	ailiúnais
aliquot	0.440	0.310	0.404	slán
alive	0.816	0.637	0.731	beo
alkali	0.490	0.350	0.408	alcaile
alkaloids	0.433	0.562	0.402	alcalóidigh
allay	0.417	0.406	0.398	aimhleas
allegation	0.578	0.578	0.608	líomhain
allege	0.418	0.482	0.587	líomhain
alleged	0.365	0.522	0.520	líomhnaithe
allegiance	0.917	0.398	0.750	dílseacht
allegorical	0.517	0.558	0.598	alegorical
allegory	0.615	0.580	0.509	allegory
allegro	0.635	0.627	0.453	allegró
allergic	0.135	0.549	0.273	ailléirgeach
allergy	0.296	0.606	0.389	ailléirge
alleviate	0.869	0.270	0.528	mhaolú
alleviation	0.735	0.200	0.491	mhaolú
alley	0.347	0.500	0.355	alley
alleyway	0.357	0.471	0.382	cosán
alliance	0.696	0.473	0.769	Comhar
allied	0.714	0.245	0.642	comhghuaillithe
alligator	0.354	0.704	0.645	ailigéadar
allocate	0.673	0.462	0.672	leithroinnt
allocation	0.604	0.388	0.679	leithroinnt
allot	0.622	0.481	0.616	leithroinnt
allotment	0.600	0.390	0.640	leithroinnt
allow	0.698	0.429	0.538	ceadaigh
allowable	0.698	0.500	0.561	incheadaithe
allowance	0.673	0.382	0.591	liúntas
allowed	0.730	0.360	0.655	ceadaithe
alloy	0.583	0.443	0.593	cóimhiotal
allsmiles	0.786	0.528	0.430	aoibh gháire
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	alluring
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	glárach
ally	0.792	0.320	0.688	comhghuaillithe
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	uilechumhachtach
almond	0.698	0.183	0.314	almond
aloft	0.771	0.373	0.700	ard
aloha	0.698	0.440	0.441	aló
alone	0.333	0.167	0.216	ina aonar
alongside	0.458	0.333	0.347	taobh le
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	os ard
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	aibítir
alphabetical	0.537	0.296	0.535	aibítre
alpine	0.594	0.337	0.474	alpach
alreadyyyyy	0.592	0.717	0.351	cheanayyyy
altar	0.724	0.387	0.635	altóir
altar boy	0.434	0.206	0.350	buachaill altóir
alter	0.333	0.694	0.654	athrú
alteration	0.167	0.798	0.609	athrú
altercation	0.170	0.806	0.500	altrú
altered	0.255	0.765	0.500	athraigh
alternate	0.625	0.363	0.589	malartach
alternating	0.480	0.494	0.542	malartach
alternative	0.628	0.373	0.631	mhalairt
altimeter	0.615	0.510	0.580	altiméadar
altitude	0.708	0.482	0.736	airde
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	ar fad
aluminum	0.449	0.280	0.434	alúmanam
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	ailbheolach
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	cónascadh
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	amas
amateur	0.469	0.500	0.409	amaitéarach
amaze	0.896	0.843	0.783	iontas
amazed	0.796	0.779	0.533	ionadh
amazedness	0.827	0.872	0.510	iontas
amazement	0.750	0.800	0.639	iontas
amazing	0.906	0.837	0.849	iontach
amazingly	0.918	0.765	0.920	go hiontach
ambassador	0.651	0.529	0.917	ambasadóir
amber	0.635	0.308	0.369	ómra
ambience	0.735	0.356	0.426	timpeallacht
ambient	0.625	0.360	0.582	comhthimpeallach
ambiguity	0.164	0.460	0.370	athbhrí
ambiguous	0.265	0.462	0.358	débhríoch
ambit	0.479	0.380	0.386	raon
ambition	0.510	0.804	0.661	uaillmhian
ambitious	0.484	0.821	0.717	uaillmhianach
ambivalent	0.510	0.404	0.482	débhríoch
ambrosia	0.571	0.452	0.480	ambróis
ambulance	0.500	0.750	0.609	otharcharr
ambush	0.281	0.830	0.500	luíochán
ameliorate	0.770	0.548	0.747	feabhas
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	inchúisithe
amend	0.688	0.406	0.658	leasaigh
amendment	0.531	0.459	0.606	leasú
amends	0.640	0.366	0.517	leasaíonn
amenity	0.750	0.327	0.574	taitneamhacht
amethyst	0.622	0.406	0.517	aimitis
amiable	0.847	0.290	0.483	cairdiúil
amicable	0.875	0.330	0.507	cairdiúil
amid	0.510	0.340	0.256	ina measc
amidst	0.480	0.330	0.316	ina measc
amino	0.551	0.402	0.433	aimín
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	amóinia
ammonium	0.354	0.396	0.368	amóiniam
ammunition	0.338	0.635	0.667	lón lámhaigh
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	ollmhaithiúnas
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	éagruthach
amortization	0.592	0.491	0.522	amúchadh
amount	0.562	0.422	0.649	méid
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfataimíní
amphibian	0.427	0.357	0.474	amfaibiach
amphibious	0.479	0.346	0.445	amphibeach
amphitheater	0.653	0.480	0.545	amphitheatre
ample	0.744	0.349	0.719	fairsing
amplification	0.690	0.677	0.810	aimpliú
amplify	0.677	0.735	0.827	ampligh
amplitude	0.694	0.439	0.692	aimplitiúid
amply	0.781	0.431	0.766	go leor
amputate	0.092	0.660	0.509	theascadh
amputation	0.100	0.755	0.483	theascadh
amuck	0.385	0.602	0.321	amuc
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	amus
amused	0.942	0.847	0.596	amus
amusement	0.929	0.837	0.803	siamsa
amusing	0.960	0.829	0.632	amaideach
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	ainéistéise
anaesthetic	0.449	0.268	0.509	ainéistéiseach
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgánach
analogous	0.531	0.270	0.500	analógach
analogue	0.570	0.320	0.446	analógach
analogy	0.510	0.367	0.509	analaí
analysis	0.729	0.448	0.705	anailís
analyst	0.604	0.415	0.755	anailísí
