English Word	Valence	Arousal	Dominance	Filipino Word
absence	0.153	0.235	0.266	kawalan
absent	0.177	0.221	0.116	wala
absentee	0.235	0.330	0.279	lumiban
absenteeism	0.404	0.273	0.357	pagliban
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	ganap
absolution	0.715	0.500	0.664	pagpapatawad
absolve	0.684	0.449	0.660	pawalang-sala
absorb	0.469	0.558	0.670	sumipsip
absorbed	0.490	0.471	0.519	hinihigop
absorbent	0.552	0.394	0.718	sumisipsip
absorbing	0.490	0.490	0.578	sumisipsip
absorption	0.609	0.422	0.446	pagsipsip
abstain	0.385	0.385	0.427	umiwas
abstention	0.271	0.264	0.509	abstention
abstinence	0.260	0.392	0.429	pag-iwas
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	walang katotohanan
absurdity	0.115	0.528	0.227	kahangalan
abundance	0.812	0.690	0.852	kasaganaan
abundant	0.958	0.590	0.760	sagana
abuse	0.071	0.873	0.469	pang-aabuso
abused	0.021	0.874	0.235	inabuso
abusive	0.125	0.903	0.567	mapang-abuso
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	bangin
academic	0.781	0.420	0.812	akademiko
academy	0.704	0.473	0.792	akademya
accede	0.698	0.510	0.537	pumayag
accelerant	0.643	0.844	0.802	nagpapabilis
accelerate	0.615	0.902	0.759	pabilisin
accelerated	0.610	0.812	0.682	pinabilis
acceleration	0.704	0.905	0.843	acceleration
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	impit
accentuate	0.673	0.556	0.667	magpatingkad
accept	0.847	0.286	0.565	tanggapin
acceptable	0.812	0.286	0.583	katanggap-tanggap
acceptance	0.833	0.287	0.755	pagtanggap
acceptances	0.847	0.413	0.648	mga pagtanggap
access	0.714	0.472	0.567	access
accessible	0.796	0.410	0.645	naa-access
accession	0.612	0.383	0.636	pag-akyat
accessory	0.562	0.292	0.445	accessory
accident	0.125	0.908	0.336	aksidente
accidental	0.319	0.784	0.307	hindi sinasadya
accidentally	0.333	0.741	0.333	hindi sinasadya
acclaim	0.562	0.809	0.718	pagbubunyi
accolade	0.688	0.591	0.775	parangal
accommodate	0.844	0.375	0.566	mapaunlakan
accommodation	0.817	0.415	0.587	tirahan
accompaniment	0.740	0.479	0.695	saliw
accompany	0.833	0.406	0.585	samahan
accompanying	0.787	0.460	0.582	sinasamahan
accomplice	0.408	0.580	0.510	kasabwat
accomplish	0.929	0.673	0.816	matupad
accomplished	0.870	0.520	0.798	nagawa
accomplishment	0.917	0.694	0.888	tagumpay
accord	0.898	0.264	0.382	kasunduan
accordance	0.659	0.349	0.600	alinsunod
accordion	0.604	0.490	0.361	akurdyon
account	0.531	0.347	0.472	account
accountability	0.755	0.537	0.833	pananagutan
accountable	0.709	0.282	0.777	may pananagutan
accountant	0.625	0.450	0.639	accountant
accounting	0.552	0.390	0.677	accounting
accounts	0.592	0.340	0.471	mga account
accredited	0.669	0.479	0.768	akreditado
accretion	0.448	0.519	0.672	pagdaragdag
accrue	0.520	0.481	0.602	mag-ipon nang
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	makaipon
accumulation	0.479	0.527	0.600	akumulasyon
accuracy	0.604	0.481	0.802	katumpakan
accurate	0.743	0.360	0.737	tumpak
accursed	0.135	0.745	0.345	isinumpa
accusation	0.073	0.718	0.564	paratang
accusative	0.198	0.755	0.482	accusative
accuse	0.133	0.752	0.500	akusahan
accused	0.130	0.670	0.420	inakusahan
accuser	0.122	0.779	0.615	nag-aakusa
accusing	0.156	0.745	0.324	nag-aakusa
accustomed	0.542	0.365	0.441	nakasanayan na
ace	0.643	0.481	0.546	alas
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	sakit
achieve	0.816	0.545	0.843	makamit
achieved	0.896	0.519	0.775	nakamit
achievement	0.896	0.808	0.759	tagumpay
aching	0.053	0.880	0.348	masakit
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	kaasiman
acknowledge	0.786	0.370	0.661	kilalanin
acknowledged	0.714	0.443	0.765	kinilala
acknowledgement	0.819	0.539	0.830	pagkilala
acknowledgment	0.796	0.528	0.777	pagkilala
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	kilalanin
acquaintance	0.656	0.290	0.670	kakilala
acquainted	0.906	0.358	0.632	magkakilala
acquiescence	0.542	0.480	0.554	pagsang-ayon
acquire	0.833	0.468	0.700	makuha
acquiring	0.735	0.510	0.817	pagkuha
acquisition	0.698	0.509	0.736	pagkuha
acquisitions	0.773	0.660	0.790	mga acquisition
acquit	0.583	0.571	0.611	pawalang-sala
acquittal	0.760	0.497	0.700	pagpapawalang-sala
acre	0.583	0.387	0.423	ektarya
acreage	0.741	0.450	0.528	ektarya
acres	0.510	0.363	0.500	ektarya
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	kumilos
acting	0.698	0.643	0.500	kumikilos
action	0.760	0.898	0.802	aksyon
action figure	0.615	0.774	0.611	Laruan
actionable	0.673	0.702	0.613	naaaksyunan
activate	0.764	0.650	0.806	buhayin
activation	0.781	0.800	0.754	pag-activate
active	0.847	0.730	0.731	aktibo
activist	0.531	0.653	0.877	aktibista
activity	0.701	0.660	0.807	aktibidad
actor	0.653	0.561	0.629	aktor
actress	0.633	0.556	0.596	artista
actual	0.729	0.400	0.716	aktuwal
actuality	0.750	0.464	0.600	aktuwalidad
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	katalinuhan
acumen	0.564	0.660	0.679	katalinuhan
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	talamak
acutely	0.417	0.543	0.491	talamak
ad	0.521	0.705	0.558	Ad
adage	0.517	0.415	0.566	kasabihan
adamant	0.344	0.529	0.575	matatag
adapt	0.740	0.355	0.551	umangkop
adaptable	0.735	0.423	0.641	madaling ibagay
adaptation	0.663	0.365	0.609	pagbagay
add	0.728	0.490	0.554	idagdag
added	0.562	0.405	0.509	idinagdag
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	pandagdag
addict	0.075	0.696	0.327	adik
addicted	0.156	0.712	0.483	adik
addiction	0.180	0.806	0.420	pagkagumon
addictive	0.302	0.683	0.472	nakakahumaling
addition	0.562	0.373	0.471	karagdagan
additional	0.673	0.462	0.526	karagdagang
additive	0.561	0.633	0.691	pandagdag
address	0.650	0.327	0.567	address
addressee	0.622	0.382	0.538	addressee
addresses	0.510	0.354	0.450	mga address
adept	0.594	0.539	0.789	sanay
adequacy	0.615	0.435	0.702	kasapatan
adequate	0.854	0.264	0.705	sapat
adhere	0.633	0.339	0.554	sumunod
adherence	0.760	0.307	0.630	pagsunod
adherent	0.561	0.385	0.555	masunurin
adhering	0.612	0.561	0.537	pagsunod
adhesion	0.521	0.445	0.586	pagdirikit
adhesive	0.604	0.350	0.413	pandikit
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	katabi
adjacent	0.645	0.276	0.536	katabi
adjective	0.570	0.316	0.569	pang-uri
adjoining	0.520	0.400	0.393	kadugtong
adjourn	0.385	0.456	0.475	ipagpaliban
adjournment	0.438	0.510	0.370	pagpapaliban
adjudicate	0.559	0.520	0.683	humatol
adjudication	0.551	0.462	0.691	paghatol
adjunct	0.459	0.440	0.426	pandagdag
adjust	0.647	0.327	0.638	ayusin
adjuster	0.510	0.540	0.760	tagapag-ayos
adjustment	0.590	0.520	0.661	pagsasaayos
adjuvant	0.510	0.500	0.456	pantulong
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	mangasiwa
administration	0.625	0.404	0.786	pangangasiwa
administrative	0.542	0.415	0.579	administratibo
administrator	0.538	0.480	0.902	tagapangasiwa
admirable	0.929	0.600	0.870	kahanga-hanga
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	paghanga
admiration	0.969	0.583	0.726	paghanga
admire	0.867	0.692	0.704	humanga
admired	0.917	0.560	0.815	hinahangaan ng
admirer	0.796	0.720	0.650	tagahanga
admiring	0.867	0.578	0.629	humahanga
admissibility	0.802	0.580	0.602	pagiging matanggap
admissible	0.780	0.528	0.642	matanggap
admission	0.802	0.415	0.732	pagpasok
admit	0.538	0.423	0.667	umamin
admittance	0.690	0.451	0.598	pagpasok
admitted	0.720	0.490	0.767	inamin
admitting	0.620	0.500	0.546	umaamin
admixture	0.450	0.375	0.438	pinaghalo
admonition	0.357	0.606	0.455	paalala
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	pagdadalaga
adolescent	0.781	0.680	0.509	nagbibinata
adopt	0.694	0.612	0.701	magpatibay
adoption	0.625	0.566	0.589	pag-aampon
adoptive	0.531	0.469	0.520	adoptive
adorable	0.969	0.519	0.457	kaibig-ibig
adoration	0.885	0.699	0.708	pagsamba
adore	0.854	0.438	0.657	sambahin
adoring	0.885	0.620	0.717	sumasamba
adorn	0.910	0.424	0.482	magpalamuti
adornment	0.918	0.373	0.377	palamuti
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	naaanod
adult	0.815	0.491	0.787	nasa hustong gulang
adulterated	0.188	0.865	0.370	hinaluan
adulterer	0.229	0.814	0.407	mangangalunya
adultery	0.120	0.922	0.510	pangangalunya
adulthood	0.541	0.454	0.652	pagtanda
advance	0.673	0.472	0.858	advance
advanced	0.844	0.623	0.797	advanced
advancement	0.776	0.650	0.839	pagsulong
advancing	0.929	0.608	0.812	sumusulong
advantage	0.917	0.548	0.859	kalamangan
advantageous	0.837	0.640	0.789	may pakinabang
advent	0.665	0.560	0.627	pagdating
adventure	0.917	0.857	0.710	pakikipagsapalaran
adventurer	0.781	0.839	0.868	adventurer
adventures	0.812	0.764	0.749	mga pakikipagsapalaran
adventurous	0.969	0.898	0.722	malakas ang loob
adversary	0.349	0.777	0.457	kalaban
adverse	0.323	0.610	0.385	salungat
adversity	0.276	0.760	0.538	kahirapan
advertise	0.500	0.529	0.580	mag-advertise
advertisement	0.600	0.566	0.539	patalastas
advertising	0.622	0.608	0.632	advertising
adverts	0.551	0.500	0.595	mga patalastas
advice	0.698	0.408	0.688	payo
advisable	0.867	0.480	0.510	ipinapayong
advise	0.760	0.393	0.705	payuhan
advised	0.823	0.330	0.509	pinayuhan
advisement	0.698	0.235	0.655	payo
adviser	0.745	0.362	0.705	tagapayo
advisor	0.646	0.350	0.689	tagapayo
advisory	0.656	0.429	0.633	pagpapayo
advocacy	0.500	0.646	0.731	adbokasiya
advocate	0.551	0.530	0.818	tagapagtaguyod
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	panghimpapawid
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	eroplano
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	Aesthetic
aesthetics	0.847	0.327	0.549	aesthetics
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	malayo
affable	0.704	0.380	0.452	magiliw
affair	0.520	0.459	0.657	kapakanan
affect	0.458	0.569	0.578	makakaapekto
affecting	0.350	0.574	0.394	nakakaapekto
affection	0.898	0.559	0.696	pagmamahal
affectionate	0.949	0.422	0.550	mapagmahal
affections	0.760	0.547	0.655	mga pagmamahal
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	affidavit
affiliated	0.673	0.519	0.535	kaakibat
affiliation	0.615	0.594	0.500	pagkakaugnay
affinity	0.800	0.500	0.537	pagkakaugnay
affirm	0.745	0.509	0.731	pagtibayin
affirmation	0.750	0.500	0.689	paninindigan
affirmative	0.854	0.589	0.816	sang-ayon
affirmatively	0.908	0.500	0.811	affirmatively
affix	0.438	0.335	0.411	panlapi
afflict	0.302	0.555	0.293	pahirapan
afflicted	0.271	0.500	0.167	naghihirap
affliction	0.294	0.635	0.392	paghihirap
affluence	0.663	0.618	0.722	kasaganaan
affluent	0.756	0.388	0.477	mayaman
afford	0.571	0.580	0.575	kayang bayaran
affordable	0.840	0.398	0.493	abot-kaya
affront	0.327	0.740	0.547	pagsuway
affronted	0.385	0.750	0.527	inaasar
afield	0.594	0.370	0.373	nasa malayo
afire	0.367	0.904	0.675	apoy
afloat	0.602	0.427	0.444	nakalutang
afore	0.500	0.337	0.382	nauna
aforementioned	0.490	0.316	0.408	nabanggit
aforesaid	0.531	0.358	0.478	nabanggit
afraid	0.010	0.775	0.245	takot
afresh	0.643	0.521	0.480	muli
aft	0.480	0.417	0.518	nasa likuran
afterlife	0.571	0.567	0.568	kabilang buhay
aftermath	0.312	0.449	0.444	resulta
afternoon	0.533	0.388	0.339	hapon
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	pag-iisip
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agata
age	0.561	0.226	0.498	edad
aged	0.135	0.365	0.236	may edad na
agency	0.460	0.296	0.583	ahensya
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	ahente
agglomeration	0.450	0.765	0.509	pagsasama-sama
aggravate	0.224	0.770	0.464	magpapalala
aggravated	0.079	0.760	0.430	pinalala
aggravates	0.108	0.778	0.357	nagpapalubha
aggravating	0.257	0.794	0.640	nagpapalubha
aggravation	0.071	0.784	0.613	paglala
aggregate	0.730	0.378	0.556	pinagsama-sama
aggregation	0.583	0.517	0.694	pagsasama-sama
aggresive	0.059	0.971	0.639	agresibo
aggression	0.094	0.929	0.533	pagsalakay
aggressive	0.125	0.949	0.648	agresibo
aggressively	0.250	0.926	0.688	agresibo
aggressiveness	0.077	0.913	0.648	pagiging agresibo
aggressor	0.146	0.948	0.823	aggressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	sindak
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	maliksi
agility	0.720	0.702	0.815	liksi
aging	0.214	0.255	0.284	pagtanda
agitate	0.300	0.796	0.593	pukawin
agitated	0.444	0.882	0.491	nabalisa
agitation	0.240	0.931	0.447	pagkabalisa
aglow	0.780	0.510	0.797	maningning
agnostic	0.306	0.396	0.574	agnostiko
ago	0.317	0.280	0.404	kanina
agonizing	0.083	0.800	0.340	naghihirap
agony	0.083	0.775	0.393	paghihirap
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	sumang-ayon
agreeable	0.906	0.500	0.696	kasundo
agreed	0.797	0.449	0.574	sumang-ayon
agreeing	0.854	0.480	0.557	sumasang-ayon
agreement	0.760	0.440	0.736	kasunduan
agressive	0.083	0.918	0.751	agresibo
agricultural	0.686	0.321	0.473	agrikultural
agriculture	0.640	0.357	0.465	agrikultura
aground	0.333	0.340	0.445	sumadsad
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	sa unahan
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	tulong
aide	0.724	0.342	0.434	katulong
aiding	0.643	0.533	0.569	pagtulong
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	may sakit
ailment	0.146	0.734	0.277	karamdaman
aim	0.481	0.569	0.567	pakay
aimless	0.150	0.267	0.183	walang layunin
air	0.708	0.163	0.427	hangin
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	nasa eruplano
aircraft	0.646	0.644	0.691	sasakyang panghimpapawid
aircraft carrier	0.490	0.740	0.727	carrier ng sasakyang panghimpapawid
airfield	0.601	0.650	0.645	paliparan
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	airline
airliner	0.667	0.777	0.647	airliner
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	airman
airplane	0.719	0.702	0.708	eroplano
airport	0.729	0.684	0.682	paliparan
airs	0.583	0.196	0.370	nagpapalabas
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	airspace
airspeed	0.583	0.780	0.544	bilis ng hangin
airstrip	0.550	0.690	0.649	paliparan
airtight	0.479	0.381	0.570	hindi tinatablan ng hangin
airway	0.638	0.585	0.482	daluyan ng hangin
aisle	0.438	0.222	0.283	pasilyo
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	nakaawang
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	katulad
alabaster	0.542	0.404	0.445	alabastro
alarm	0.241	0.882	0.698	alarma
alarm clock	0.542	0.727	0.642	alarm clock
alarmed	0.188	0.822	0.492	naalarma
alarming	0.204	0.890	0.585	nakakaalarma
alas	0.571	0.310	0.279	Naku
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	alak
alcoholic	0.153	0.688	0.361	alkoholiko
alcoholism	0.061	0.779	0.407	alkoholismo
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerto
alertness	0.375	0.875	0.750	pagiging alerto
alerts	0.337	0.804	0.673	mga alerto
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alyas
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	alien
alienate	0.247	0.500	0.523	ihiwalay
alienated	0.410	0.423	0.559	nakahiwalay
alienation	0.378	0.530	0.462	alienation
alight	0.667	0.657	0.605	bumaba
align	0.656	0.364	0.627	ihanay
aligned	0.583	0.275	0.553	nakahanay
alignment	0.643	0.412	0.683	pagkakahanay
alike	0.653	0.173	0.444	magkatulad
alimentation	0.781	0.551	0.602	pagkain
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	buhay
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloid
allay	0.417	0.406	0.398	magpakalma
allegation	0.578	0.578	0.608	paratang
allege	0.418	0.482	0.587	paratang
alleged	0.365	0.522	0.520	diumano
allegiance	0.917	0.398	0.750	katapatan
allegorical	0.517	0.558	0.598	alegoriko
allegory	0.615	0.580	0.509	alegorya
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergic
allergy	0.296	0.606	0.389	allergy
alleviate	0.869	0.270	0.528	magpapagaan
alleviation	0.735	0.200	0.491	pagpapagaan
alley	0.347	0.500	0.355	eskinita
alleyway	0.357	0.471	0.382	eskinita
alliance	0.696	0.473	0.769	alyansa
allied	0.714	0.245	0.642	kaalyado
alligator	0.354	0.704	0.645	buwaya
allocate	0.673	0.462	0.672	maglaan
allocation	0.604	0.388	0.679	alokasyon
allot	0.622	0.481	0.616	maglaan
allotment	0.600	0.390	0.640	paglalaan
allow	0.698	0.429	0.538	payagan
allowable	0.698	0.500	0.561	pinapayagan
allowance	0.673	0.382	0.591	allowance
allowed	0.730	0.360	0.655	pinapayagan
alloy	0.583	0.443	0.593	haluang metal
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	pang-akit
alluring	0.837	0.745	0.843	nakakaakit
allusion	0.440	0.308	0.462	parunggit
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	kakampi
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	makapangyarihan sa lahat
almond	0.698	0.183	0.314	pili
aloft	0.771	0.373	0.700	nasa taas
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	mag-isa
alongside	0.458	0.333	0.347	sa tabi
aloof	0.189	0.423	0.302	malayo
aloud	0.458	0.713	0.750	malakas
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alpabeto
alphabetical	0.537	0.296	0.535	ayon sa alpabeto
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	nayyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	batang altar
alter	0.333	0.694	0.654	baguhin
alteration	0.167	0.798	0.609	pagbabago
altercation	0.170	0.806	0.500	alitan
altered	0.255	0.765	0.500	binago
alternate	0.625	0.363	0.589	kahalili
alternating	0.480	0.494	0.542	papalit-palit
alternative	0.628	0.373	0.631	alternatibo
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	altitude
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	sama-sama
aluminum	0.449	0.280	0.434	aluminyo
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	mga Alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	pagsasama-sama
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	tipunin
amateur	0.469	0.500	0.409	baguhan
amaze	0.896	0.843	0.783	humanga
amazed	0.796	0.779	0.533	namangha
amazedness	0.827	0.872	0.510	pagkamangha
amazement	0.750	0.800	0.639	pagkamangha
amazing	0.906	0.837	0.849	nakakamangha
amazingly	0.918	0.765	0.920	kamangha-mangha
ambassador	0.651	0.529	0.917	ambasador
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	kapaligiran
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	kalabuan
ambiguous	0.265	0.462	0.358	malabo
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambisyon
ambitious	0.484	0.821	0.717	ambisyoso
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulansya
ambush	0.281	0.830	0.500	ambush
ameliorate	0.770	0.548	0.747	pagbutihin
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	pumapayag
amend	0.688	0.406	0.658	baguhin
amendment	0.531	0.459	0.606	susog
amends	0.640	0.366	0.517	nagbabago
amenity	0.750	0.327	0.574	amenity
amethyst	0.622	0.406	0.517	amatista
amiable	0.847	0.290	0.483	mabait
amicable	0.875	0.330	0.507	matulungin
amid	0.510	0.340	0.256	sa gitna
amidst	0.480	0.330	0.316	sa gitna
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	bala
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	bala
amnesia	0.296	0.330	0.308	nagka amnesia
amnesty	0.551	0.451	0.814	amnestiya
amorous	0.844	0.670	0.636	mapagmahal
amorphous	0.327	0.402	0.349	walang hugis
amortization	0.592	0.491	0.522	amortisasyon
amount	0.562	0.422	0.649	halaga
amour	0.865	0.480	0.652	pagmamahalan
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	mga amphetamine
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	ampiteatro
ample	0.744	0.349	0.719	sapat
amplification	0.690	0.677	0.810	pagpapalakas
amplify	0.677	0.735	0.827	palakasin
amplitude	0.694	0.439	0.692	malawak
amply	0.781	0.431	0.766	sagana
amputate	0.092	0.660	0.509	putulin
amputation	0.100	0.755	0.483	amputation
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	anting-anting
amuse	0.812	0.684	0.664	magpatawa
amused	0.942	0.847	0.596	nalilibang
amusement	0.929	0.837	0.803	libangan
amusing	0.960	0.829	0.632	nakakatuwa
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	kawalan ng pakiramdam
anaesthetic	0.449	0.268	0.509	pampamanhid
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	kahalintulad
analogue	0.570	0.320	0.446	analogue
analogy	0.510	0.367	0.509	pagkakatulad
analysis	0.729	0.448	0.705	pagsusuri
analyst	0.604	0.415	0.755	analyst
