English Word	Valence	Arousal	Dominance	Uzbek Word
absence	0.153	0.235	0.266	yo'qligi
absent	0.177	0.221	0.116	yo'q
absentee	0.235	0.330	0.279	qatnashmagan
absenteeism	0.404	0.273	0.357	absenteizm
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	mutlaq
absolution	0.715	0.500	0.664	kechirish
absolve	0.684	0.449	0.660	kechirmoq
absorb	0.469	0.558	0.670	singdirish
absorbed	0.490	0.471	0.519	so'riladi
absorbent	0.552	0.394	0.718	changni yutish
absorbing	0.490	0.490	0.578	singdiruvchi
absorption	0.609	0.422	0.446	singdirish
abstain	0.385	0.385	0.427	tiyilish
abstention	0.271	0.264	0.509	betaraf
abstinence	0.260	0.392	0.429	tiyilish
abstract	0.438	0.292	0.444	mavhum
abstraction	0.469	0.439	0.525	abstraksiya
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurdlik
abundance	0.812	0.690	0.852	mo'l-ko'llik
abundant	0.958	0.590	0.760	mo'l
abuse	0.071	0.873	0.469	suiiste'mol qilish
abused	0.021	0.874	0.235	suiiste'mol qilingan
abusive	0.125	0.903	0.567	haqoratli
abutment	0.500	0.265	0.616	tayanch
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	tubsiz
abyss	0.353	0.725	0.296	tubsizlik
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	akademiyasi
accede	0.698	0.510	0.537	qo'shilish
accelerant	0.643	0.844	0.802	tezlatuvchi
accelerate	0.615	0.902	0.759	tezlashtirmoq
accelerated	0.610	0.812	0.682	tezlashtirilgan
acceleration	0.704	0.905	0.843	tezlashuv
accelerator	0.593	0.830	0.812	tezlatkich
accent	0.598	0.357	0.509	urg'u
accentuate	0.673	0.556	0.667	urg'u berish
accept	0.847	0.286	0.565	qabul qilish
acceptable	0.812	0.286	0.583	qabul qilinadi
acceptance	0.833	0.287	0.755	qabul qilish
acceptances	0.847	0.413	0.648	qabullar
access	0.714	0.472	0.567	kirish
accessible	0.796	0.410	0.645	foydalanish mumkin
accession	0.612	0.383	0.636	qo'shilish
accessory	0.562	0.292	0.445	aksessuar
accident	0.125	0.908	0.336	baxtsiz hodisa
accidental	0.319	0.784	0.307	tasodifiy
accidentally	0.333	0.741	0.333	tasodifan
acclaim	0.562	0.809	0.718	olqishlash
accolade	0.688	0.591	0.775	maqtov
accommodate	0.844	0.375	0.566	joylashtirmoq
accommodation	0.817	0.415	0.587	turar joy
accompaniment	0.740	0.479	0.695	hamrohlik
accompany	0.833	0.406	0.585	hamrohlik qilish
accompanying	0.787	0.460	0.582	hamroh
accomplice	0.408	0.580	0.510	sherik
accomplish	0.929	0.673	0.816	bajarish
accomplished	0.870	0.520	0.798	bajarilgan
accomplishment	0.917	0.694	0.888	muvaffaqiyat
accord	0.898	0.264	0.382	kelishuv
accordance	0.659	0.349	0.600	muvofiq
accordion	0.604	0.490	0.361	akkordeon
account	0.531	0.347	0.472	hisob
accountability	0.755	0.537	0.833	javobgarlik
accountable	0.709	0.282	0.777	javobgar
accountant	0.625	0.450	0.639	hisobchi
accounting	0.552	0.390	0.677	buxgalteriya hisobi
accounts	0.592	0.340	0.471	hisoblar
accredited	0.669	0.479	0.768	akkreditatsiya qilingan
accretion	0.448	0.519	0.672	to'planish
accrue	0.520	0.481	0.602	yig'iladi
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	to'plash
accumulation	0.479	0.527	0.600	to'planishi
accuracy	0.604	0.481	0.802	aniqlik
accurate	0.743	0.360	0.737	aniq
accursed	0.135	0.745	0.345	la'nati
accusation	0.073	0.718	0.564	ayblov
accusative	0.198	0.755	0.482	ayblovchi
accuse	0.133	0.752	0.500	ayblash
accused	0.130	0.670	0.420	ayblanuvchi
accuser	0.122	0.779	0.615	ayblovchi
accusing	0.156	0.745	0.324	ayblash
accustomed	0.542	0.365	0.441	odatlangan
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	sirka
acetylene	0.306	0.469	0.509	asetilen
ache	0.146	0.760	0.312	og'riq
achieve	0.816	0.545	0.843	erishish
achieved	0.896	0.519	0.775	erishilgan
achievement	0.896	0.808	0.759	muvaffaqiyat
aching	0.053	0.880	0.348	og'riyapti
achy	0.167	0.840	0.373	og'riqli
acid	0.265	0.642	0.566	kislota
acidity	0.156	0.663	0.360	kislotalilik
acknowledge	0.786	0.370	0.661	tan olmoq
acknowledged	0.714	0.443	0.765	tan olingan
acknowledgement	0.819	0.539	0.830	tan olish
acknowledgment	0.796	0.528	0.777	tan olish
acme	0.408	0.435	0.375	akme
acne	0.167	0.474	0.308	akne
acorn	0.448	0.198	0.192	boshoq
acoustic	0.542	0.462	0.536	akustik
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	tanishish
acquaintance	0.656	0.290	0.670	tanishlik
acquainted	0.906	0.358	0.632	tanishgan
acquiescence	0.542	0.480	0.554	rozilik
acquire	0.833	0.468	0.700	egallash
acquiring	0.735	0.510	0.817	egallash
acquisition	0.698	0.509	0.736	sotib olish
acquisitions	0.773	0.660	0.790	sotib olishlar
acquit	0.583	0.571	0.611	oqlash
acquittal	0.760	0.497	0.700	oqlash
acre	0.583	0.387	0.423	akr
acreage	0.741	0.450	0.528	yer maydoni
acres	0.510	0.363	0.500	gektar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akril
act	0.656	0.704	0.735	harakat
acting	0.698	0.643	0.500	aktyorlik
action	0.760	0.898	0.802	harakat
action figure	0.615	0.774	0.611	harakat figurasi
actionable	0.673	0.702	0.613	harakatga yaroqli
activate	0.764	0.650	0.806	faollashtirish
activation	0.781	0.800	0.754	faollashtirish
active	0.847	0.730	0.731	faol
activist	0.531	0.653	0.877	faol
activity	0.701	0.660	0.807	faoliyat
actor	0.653	0.561	0.629	aktyor
actress	0.633	0.556	0.596	aktrisa
actual	0.729	0.400	0.716	haqiqiy
actuality	0.750	0.464	0.600	haqiqat
actuary	0.510	0.404	0.491	aktuariy
acuity	0.469	0.378	0.741	keskinlik
acumen	0.564	0.660	0.679	ziyraklik
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	o'tkir
acutely	0.417	0.543	0.491	keskin
ad	0.521	0.705	0.558	reklama
adage	0.517	0.415	0.566	maqol
adamant	0.344	0.529	0.575	qat'iy
adapt	0.740	0.355	0.551	moslashish
adaptable	0.735	0.423	0.641	moslashuvchan
adaptation	0.663	0.365	0.609	moslashish
add	0.728	0.490	0.554	qo'shish
added	0.562	0.405	0.509	qo'shildi
addendum	0.392	0.370	0.418	qo'shimcha
adder	0.388	0.461	0.588	qo'shuvchi
addict	0.075	0.696	0.327	giyohvand
addicted	0.156	0.712	0.483	qaram
addiction	0.180	0.806	0.420	giyohvandlik
addictive	0.302	0.683	0.472	qo'shadi
addition	0.562	0.373	0.471	qo'shimcha
additional	0.673	0.462	0.526	qo'shimcha
additive	0.561	0.633	0.691	qo'shimcha
address	0.650	0.327	0.567	manzil
addressee	0.622	0.382	0.538	qabul qiluvchi
addresses	0.510	0.354	0.450	manzillar
adept	0.594	0.539	0.789	mohir
adequacy	0.615	0.435	0.702	adekvatlik
adequate	0.854	0.264	0.705	adekvat
adhere	0.633	0.339	0.554	rioya qilish
adherence	0.760	0.307	0.630	rioya qilish
adherent	0.561	0.385	0.555	amal qiluvchi
adhering	0.612	0.561	0.537	amal qilish
adhesion	0.521	0.445	0.586	yopishqoqlik
adhesive	0.604	0.350	0.413	yopishtiruvchi
adieu	0.250	0.471	0.342	xayr
adipose	0.333	0.350	0.391	yog'li
adjacency	0.365	0.417	0.375	qo'shnilik
adjacent	0.645	0.276	0.536	qo'shni
adjective	0.570	0.316	0.569	sifatdosh
adjoining	0.520	0.400	0.393	qo'shni
adjourn	0.385	0.456	0.475	tanaffus qilish
adjournment	0.438	0.510	0.370	tanaffus
adjudicate	0.559	0.520	0.683	hukm qilmoq
adjudication	0.551	0.462	0.691	hukm chiqarish
adjunct	0.459	0.440	0.426	yordamchi
adjust	0.647	0.327	0.638	sozlash
adjuster	0.510	0.540	0.760	sozlagich
adjustment	0.590	0.520	0.661	moslashish
adjuvant	0.510	0.500	0.456	yordamchi
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	boshqarmoq
administration	0.625	0.404	0.786	boshqaruv
administrative	0.542	0.415	0.579	ma'muriy
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	tahsinga sazovor
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admirallik
admiration	0.969	0.583	0.726	hayrat
admire	0.867	0.692	0.704	qoyil qolish
admired	0.917	0.560	0.815	hayratga tushgan
admirer	0.796	0.720	0.650	muxlis
admiring	0.867	0.578	0.629	hayratda
admissibility	0.802	0.580	0.602	qabul qilinishi
admissible	0.780	0.528	0.642	joizdir
admission	0.802	0.415	0.732	qabul qilish
admit	0.538	0.423	0.667	tan olish
admittance	0.690	0.451	0.598	kirish
admitted	0.720	0.490	0.767	tan olingan
admitting	0.620	0.500	0.546	tan olish
admixture	0.450	0.375	0.438	aralashma
admonition	0.357	0.606	0.455	nasihat
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	Yoshlik
adolescent	0.781	0.680	0.509	o'smir
adopt	0.694	0.612	0.701	qabul qilish
adoption	0.625	0.566	0.589	asrab olish
adoptive	0.531	0.469	0.520	asrab oluvchi
adorable	0.969	0.519	0.457	yoqimli
adoration	0.885	0.699	0.708	sajda qilish
adore	0.854	0.438	0.657	sevaman
adoring	0.885	0.620	0.717	sajda qilish
adorn	0.910	0.424	0.482	bezash
adornment	0.918	0.373	0.377	bezak
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	suzmoq
adult	0.815	0.491	0.787	kattalar
adulterated	0.188	0.865	0.370	soxtalashtirilgan
adulterer	0.229	0.814	0.407	zinokor
adultery	0.120	0.922	0.510	zino
adulthood	0.541	0.454	0.652	voyaga yetganlik
advance	0.673	0.472	0.858	avans
advanced	0.844	0.623	0.797	rivojlangan
advancement	0.776	0.650	0.839	taraqqiyot
advancing	0.929	0.608	0.812	oldinga siljish
advantage	0.917	0.548	0.859	afzallik
advantageous	0.837	0.640	0.789	foydali
advent	0.665	0.560	0.627	kelishi
adventure	0.917	0.857	0.710	sarguzasht
adventurer	0.781	0.839	0.868	sarguzashtchi
adventures	0.812	0.764	0.749	sarguzashtlar
adventurous	0.969	0.898	0.722	sarguzashtli
adversary	0.349	0.777	0.457	raqib
adverse	0.323	0.610	0.385	salbiy
adversity	0.276	0.760	0.538	musibat
advertise	0.500	0.529	0.580	reklama qilish
advertisement	0.600	0.566	0.539	reklama
advertising	0.622	0.608	0.632	reklama
adverts	0.551	0.500	0.595	reklamalar
advice	0.698	0.408	0.688	maslahat
advisable	0.867	0.480	0.510	tavsiya etiladi
advise	0.760	0.393	0.705	maslahat bering
advised	0.823	0.330	0.509	maslahat berdi
advisement	0.698	0.235	0.655	maslahat
adviser	0.745	0.362	0.705	maslahatchi
advisor	0.646	0.350	0.689	maslahatchi
advisory	0.656	0.429	0.633	maslahat
advocacy	0.500	0.646	0.731	himoya qilish
advocate	0.551	0.530	0.818	himoyachi
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	shamollatish
aerial	0.615	0.461	0.463	havo
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	aerodrom
aerodynamic	0.561	0.724	0.728	aerodinamik
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronavtika
aeroplane	0.714	0.642	0.644	samolyot
aerospace	0.643	0.520	0.779	aerokosmik
aesthetic	0.708	0.442	0.526	estetik
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologiya
afar	0.396	0.373	0.358	uzoqdan
affable	0.704	0.380	0.452	mehribon
affair	0.520	0.459	0.657	ish
affect	0.458	0.569	0.578	ta'sir qilish
affecting	0.350	0.574	0.394	ta'sir
affection	0.898	0.559	0.696	mehr
affectionate	0.949	0.422	0.550	mehribon
affections	0.760	0.547	0.655	mehr-muhabbat
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	tasdiqnoma
affiliated	0.673	0.519	0.535	bog'langan
affiliation	0.615	0.594	0.500	mansublik
affinity	0.800	0.500	0.537	qarindoshlik
affirm	0.745	0.509	0.731	tasdiqlamoq
affirmation	0.750	0.500	0.689	tasdiqlash
affirmative	0.854	0.589	0.816	tasdiqlovchi
affirmatively	0.908	0.500	0.811	tasdiqlovchi
affix	0.438	0.335	0.411	affiks
afflict	0.302	0.555	0.293	qiynamoq
afflicted	0.271	0.500	0.167	qiynalgan
affliction	0.294	0.635	0.392	musibat
affluence	0.663	0.618	0.722	farovonlik
affluent	0.756	0.388	0.477	badavlat
afford	0.571	0.580	0.575	imkoniyatiga ega
affordable	0.840	0.398	0.493	hamyonbop
affront	0.327	0.740	0.547	haqorat qilish
affronted	0.385	0.750	0.527	haqorat qilgan
afield	0.594	0.370	0.373	uzoqda
afire	0.367	0.904	0.675	olov
afloat	0.602	0.427	0.444	suzuvchi
afore	0.500	0.337	0.382	oldin
aforementioned	0.490	0.316	0.408	yuqorida aytib o'tilgan
aforesaid	0.531	0.358	0.478	yuqorida aytilgan
afraid	0.010	0.775	0.245	qo'rqib
afresh	0.643	0.521	0.480	yana
aft	0.480	0.417	0.518	orqa
afterlife	0.571	0.567	0.568	keyingi hayot
aftermath	0.312	0.449	0.444	keyin
afternoon	0.533	0.388	0.339	tushdan keyin
aftershave	0.406	0.384	0.415	soqoldan keyin
aftertaste	0.354	0.362	0.455	ta'midan keyin
afterthought	0.396	0.392	0.349	keyin o'ylash
aga	0.542	0.327	0.398	og'a
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	yoshi
aged	0.135	0.365	0.236	yoshi
agency	0.460	0.296	0.583	agentlik
agenda	0.531	0.296	0.553	kun tartibi
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomeratsiya
aggravate	0.224	0.770	0.464	og'irlashtirmoq
aggravated	0.079	0.760	0.430	og'irlashgan
aggravates	0.108	0.778	0.357	og'irlashtiradi
aggravating	0.257	0.794	0.640	og'irlashtiruvchi
aggravation	0.071	0.784	0.613	kuchayishi
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	yig'ish
aggresive	0.059	0.971	0.639	tajovuzkor
aggression	0.094	0.929	0.533	tajovuz
aggressive	0.125	0.949	0.648	tajovuzkor
aggressively	0.250	0.926	0.688	agressiv tarzda
aggressiveness	0.077	0.913	0.648	tajovuzkorlik
aggressor	0.146	0.948	0.823	tajovuzkor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	vahima
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	epchil
agility	0.720	0.702	0.815	chaqqonlik
aging	0.214	0.255	0.284	qarish
agitate	0.300	0.796	0.593	qo'zg'atmoq
agitated	0.444	0.882	0.491	hayajonlangan
agitation	0.240	0.931	0.447	qo'zg'alish
aglow	0.780	0.510	0.797	porlash
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	oldin
agonizing	0.083	0.800	0.340	azobli
agony	0.083	0.775	0.393	azob
agoraphobia	0.127	0.712	0.438	agorafobiya
agree	0.906	0.260	0.545	rozi
agreeable	0.906	0.500	0.696	rozi
agreed	0.797	0.449	0.574	kelishilgan
agreeing	0.854	0.480	0.557	rozi bo'lish
agreement	0.760	0.440	0.736	kelishuv
agressive	0.083	0.918	0.751	tajovuzkor
agricultural	0.686	0.321	0.473	qishloq xo'jaligi
agriculture	0.640	0.357	0.465	qishloq xo'jaligi
aground	0.333	0.340	0.445	quruqlikda
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	oldinda
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	hoy
aid	0.796	0.491	0.541	yordam
aide	0.724	0.342	0.434	yordamchi
aiding	0.643	0.533	0.569	yordam berish
aids	0.561	0.480	0.500	yordamlar
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	kasal
ailment	0.146	0.734	0.277	kasallik
aim	0.481	0.569	0.567	maqsad
aimless	0.150	0.267	0.183	maqsadsiz
air	0.708	0.163	0.427	havo
airbag	0.510	0.402	0.433	havo yostig'i
airborne	0.542	0.519	0.385	havoda
aircraft	0.646	0.644	0.691	samolyot
aircraft carrier	0.490	0.740	0.727	samolyot tashuvchisi
airfield	0.601	0.650	0.645	aerodrom
airhead	0.271	0.481	0.276	havo boshi
airlift	0.573	0.622	0.642	havo ko'tarish
airline	0.650	0.482	0.688	aviakompaniya
airliner	0.667	0.777	0.647	samolyot
airlock	0.398	0.520	0.447	havo qulfi
airman	0.587	0.716	0.721	havochi
airplane	0.719	0.702	0.708	samolyot
airport	0.729	0.684	0.682	aeroport
airs	0.583	0.196	0.370	havo beradi
airship	0.542	0.472	0.529	havo kemasi
airspace	0.562	0.510	0.640	havo maydoni
airspeed	0.583	0.780	0.544	havo tezligi
airstrip	0.550	0.690	0.649	havo yo'lagi
airtight	0.479	0.381	0.570	havo o'tkazmaydigan
airway	0.638	0.585	0.482	havo yo'li
aisle	0.438	0.222	0.283	qator
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ochiq
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	qarindosh
alabaster	0.542	0.404	0.445	alebastr
alarm	0.241	0.882	0.698	signal
alarm clock	0.542	0.727	0.642	budilnik
alarmed	0.188	0.822	0.492	xavotirga tushdi
alarming	0.204	0.890	0.585	xavotirli
alas	0.571	0.310	0.279	afsuski
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albinos
album	0.635	0.349	0.453	albom
alchemy	0.541	0.583	0.693	alkimyo
alcohol	0.323	0.667	0.377	spirtli ichimliklar
alcoholic	0.153	0.688	0.361	spirtli
alcoholism	0.061	0.779	0.407	alkogolizm
alcove	0.490	0.340	0.356	bo'shliq
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	ogohlantirish
alertness	0.375	0.875	0.750	hushyorlik
alerts	0.337	0.804	0.673	ogohlantirishlar
alfalfa	0.546	0.250	0.311	beda
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraik
algorithm	0.448	0.394	0.559	algoritm
alias	0.541	0.353	0.333	taxallus
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	begona
alienate	0.247	0.500	0.523	begonalashtirish
alienated	0.410	0.423	0.559	begonalashgan
alienation	0.378	0.530	0.462	begonalashish
alight	0.667	0.657	0.605	yonmoq
align	0.656	0.364	0.627	tekislash
aligned	0.583	0.275	0.553	tekislangan
alignment	0.643	0.412	0.683	tekislash
alike	0.653	0.173	0.444	o'xshash
alimentation	0.781	0.551	0.602	oziqlantirish
alimony	0.612	0.477	0.464	aliment
aliquot	0.440	0.310	0.404	alikot
alive	0.816	0.637	0.731	tirik
alkali	0.490	0.350	0.408	gidroksidi
alkaloids	0.433	0.562	0.402	alkaloidlar
allay	0.417	0.406	0.398	tinchlantirish
allegation	0.578	0.578	0.608	da'vo
allege	0.418	0.482	0.587	da'vo qilish
alleged	0.365	0.522	0.520	da'vo qilingan
allegiance	0.917	0.398	0.750	sadoqat
allegorical	0.517	0.558	0.598	allegorik
allegory	0.615	0.580	0.509	allegoriya
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergik
allergy	0.296	0.606	0.389	allergiya
alleviate	0.869	0.270	0.528	yengillatmoq
alleviation	0.735	0.200	0.491	yengillashtirish
alley	0.347	0.500	0.355	xiyobon
alleyway	0.357	0.471	0.382	xiyobon
alliance	0.696	0.473	0.769	ittifoq
allied	0.714	0.245	0.642	ittifoqdosh
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	ajratish
allocation	0.604	0.388	0.679	ajratish
allot	0.622	0.481	0.616	ajratmoq
allotment	0.600	0.390	0.640	ajratish
allow	0.698	0.429	0.538	ruxsat berish
allowable	0.698	0.500	0.561	ruxsat etilgan
allowance	0.673	0.382	0.591	nafaqa
allowed	0.730	0.360	0.655	ruxsat berilgan
alloy	0.583	0.443	0.593	qotishma
allsmiles	0.786	0.528	0.430	tabassum
allure	0.804	0.585	0.686	jozibali
alluring	0.837	0.745	0.843	jozibali
allusion	0.440	0.308	0.462	ishora
alluvial	0.323	0.490	0.491	allyuvial
ally	0.792	0.320	0.688	ittifoqdosh
almanac	0.688	0.190	0.412	almanax
almighty	0.938	0.874	0.958	qudratli
almond	0.698	0.183	0.314	bodom
aloft	0.771	0.373	0.700	yuqorida
aloha	0.698	0.440	0.441	assalomu alaykum
alone	0.333	0.167	0.216	yolg'iz
alongside	0.458	0.333	0.347	yonida
aloof	0.189	0.423	0.302	uzoqda
aloud	0.458	0.713	0.750	baland ovozda
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alifbo
alphabetical	0.537	0.296	0.535	alifbo tartibida
alpine	0.594	0.337	0.474	alp tog'lari
alreadyyyyy	0.592	0.717	0.351	allaqachonyyyy
altar	0.724	0.387	0.635	qurbongoh
altar boy	0.434	0.206	0.350	qurbongoh bolasi
alter	0.333	0.694	0.654	o'zgartirish
alteration	0.167	0.798	0.609	o'zgartirish
altercation	0.170	0.806	0.500	janjal
altered	0.255	0.765	0.500	o'zgartirilgan
alternate	0.625	0.363	0.589	muqobil
alternating	0.480	0.494	0.542	muqobil
alternative	0.628	0.373	0.631	muqobil
altimeter	0.615	0.510	0.580	altimetr
altitude	0.708	0.482	0.736	balandlik
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	birgalikda
aluminum	0.449	0.280	0.434	alyuminiy
alumnus	0.633	0.368	0.422	bitiruvchisi
alveolar	0.469	0.481	0.367	alveolyar
alzheimers	0.194	0.518	0.319	altsgeymerlar
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	birikma
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	to'plash
amateur	0.469	0.500	0.409	havaskor
amaze	0.896	0.843	0.783	hayratga solmoq
amazed	0.796	0.779	0.533	hayratda qoldi
amazedness	0.827	0.872	0.510	hayrat
amazement	0.750	0.800	0.639	hayrat
amazing	0.906	0.837	0.849	ajoyib
amazingly	0.918	0.765	0.920	hayratlanarli darajada
ambassador	0.651	0.529	0.917	elchi
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	muhit
ambient	0.625	0.360	0.582	muhit
ambiguity	0.164	0.460	0.370	noaniqlik
ambiguous	0.265	0.462	0.358	noaniq
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambitsiya
ambitious	0.484	0.821	0.717	ambitsiyali
ambivalent	0.510	0.404	0.482	ikki tomonlama
ambrosia	0.571	0.452	0.480	ambrosiya
ambulance	0.500	0.750	0.609	tez yordam mashinasi
ambush	0.281	0.830	0.500	pistirma
ameliorate	0.770	0.548	0.747	yaxshilash
amen	0.781	0.182	0.542	omin
amenable	0.448	0.410	0.406	mos keladigan
amend	0.688	0.406	0.658	tuzatish
amendment	0.531	0.459	0.606	tuzatish
amends	0.640	0.366	0.517	tuzatadi
amenity	0.750	0.327	0.574	qulaylik
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	mehribon
amicable	0.875	0.330	0.507	do'stona
amid	0.510	0.340	0.256	orasida
amidst	0.480	0.330	0.316	orasida
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	o'q-dorilar
ammonia	0.292	0.587	0.409	ammiak
ammonium	0.354	0.396	0.368	ammoniy
ammunition	0.338	0.635	0.667	o'q-dorilar
amnesia	0.296	0.330	0.308	amneziya
amnesty	0.551	0.451	0.814	amnistiya
amorous	0.844	0.670	0.636	ishqiboz
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortizatsiya
amount	0.562	0.422	0.649	miqdori
amour	0.865	0.480	0.652	ishqiboz
amp	0.439	0.393	0.375	amper
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminlar
amphibian	0.427	0.357	0.474	amfibiya
amphibious	0.479	0.346	0.445	amfibiya
amphitheater	0.653	0.480	0.545	amfiteatr
ample	0.744	0.349	0.719	keng
amplification	0.690	0.677	0.810	kuchaytirish
amplify	0.677	0.735	0.827	kuchaytirmoq
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	ko'p
amputate	0.092	0.660	0.509	amputatsiya
amputation	0.100	0.755	0.483	amputatsiya
amuck	0.385	0.602	0.321	ahmoq
amulet	0.781	0.260	0.630	tumor
