English Word	Valence	Arousal	Dominance	Kannada Word
abolish	0.448	0.615	0.529	ರದ್ದುಪಡಿಸಿ
abolition	0.323	0.690	0.529	ನಿರ್ಮೂಲನೆ
abominable	0.120	0.731	0.482	ಅಸಹ್ಯಕರ
abominate	0.198	0.788	0.366	ಅಸಹ್ಯಕರ
abomination	0.078	0.755	0.518	ಅಸಹ್ಯ
aboriginal	0.448	0.427	0.542	ಮೂಲನಿವಾಸಿ
abort	0.153	0.686	0.429	ಸ್ಥಗಿತಗೊಳಿಸು
abortion	0.082	0.770	0.283	ಗರ್ಭಪಾತ
abortive	0.090	0.776	0.280	ಗರ್ಭಪಾತ
abound	0.704	0.490	0.681	ಹೇರಳವಾಗಿದೆ
abovementioned	0.541	0.298	0.509	ಮೇಲೆ ತಿಳಿಸಿದ
abracadabra	0.673	0.632	0.434	ಅಬ್ರಕಾಡಾಬ್ರಾ
abrasion	0.406	0.592	0.441	ಸವೆತ
abrasive	0.392	0.610	0.593	ಅಪಘರ್ಷಕ
abreast	0.635	0.380	0.519	ಪಕ್ಕದಲ್ಲಿ
abroad	0.677	0.596	0.561	ವಿದೇಶದಲ್ಲಿ
abrogate	0.327	0.510	0.594	ರದ್ದುಗೊಳಿಸು
abrupt	0.271	0.819	0.545	ಥಟ್ಟನೆ
abruptly	0.250	0.808	0.556	ಥಟ್ಟನೆ
abscess	0.154	0.451	0.349	ಬಾವು
absence	0.153	0.235	0.266	ಅನುಪಸ್ಥಿತಿ
absent	0.177	0.221	0.116	ಗೈರು
absentee	0.235	0.330	0.279	ಗೈರುಹಾಜರಿ
absenteeism	0.404	0.273	0.357	ಗೈರುಹಾಜರಿ
absinthe	0.481	0.510	0.462	ಅಬ್ಸಿಂತೆ
absolute	0.526	0.510	0.827	ಸಂಪೂರ್ಣ
absolution	0.715	0.500	0.664	ವಿಮೋಚನೆ
absolve	0.684	0.449	0.660	ಮುಕ್ತಿಗೊಳಿಸು
absorb	0.469	0.558	0.670	ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
absorbed	0.490	0.471	0.519	ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟಿತು
absorbent	0.552	0.394	0.718	ಹೀರಿಕೊಳ್ಳುವ
absorbing	0.490	0.490	0.578	ಹೀರಿಕೊಳ್ಳುವ
absorption	0.609	0.422	0.446	ಹೀರಿಕೊಳ್ಳುವಿಕೆ
abstain	0.385	0.385	0.427	ದೂರವಿರಿ
abstention	0.271	0.264	0.509	ಗೈರುಹಾಜರಿ
abstinence	0.260	0.392	0.429	ಇಂದ್ರಿಯನಿಗ್ರಹ
abstract	0.438	0.292	0.444	ಅಮೂರ್ತ
abstraction	0.469	0.439	0.525	ಅಮೂರ್ತತೆ
absurd	0.188	0.656	0.284	ಅಸಂಬದ್ಧ
absurdity	0.115	0.528	0.227	ಅಸಂಬದ್ಧತೆ
abundance	0.812	0.690	0.852	ಸಮೃದ್ಧಿ
abundant	0.958	0.590	0.760	ಹೇರಳವಾಗಿ
abuse	0.071	0.873	0.469	ನಿಂದನೆ
abused	0.021	0.874	0.235	ನಿಂದಿಸಿದ್ದಾರೆ
abusive	0.125	0.903	0.567	ನಿಂದನೀಯ
abutment	0.500	0.265	0.616	ತಳಹದಿ
aby	0.385	0.452	0.368	ಅಬಿ
abysmal	0.250	0.710	0.598	ಪ್ರಪಾತ
abyss	0.353	0.725	0.296	ಪ್ರಪಾತ
academic	0.781	0.420	0.812	ಶೈಕ್ಷಣಿಕ
academy	0.704	0.473	0.792	ಅಕಾಡೆಮಿ
accede	0.698	0.510	0.537	ಒಪ್ಪಿಕೊಳ್ಳಿ
accelerant	0.643	0.844	0.802	ವೇಗವರ್ಧಕ
accelerate	0.615	0.902	0.759	ವೇಗವನ್ನು
accelerated	0.610	0.812	0.682	ವೇಗವರ್ಧಿತ
acceleration	0.704	0.905	0.843	ವೇಗವರ್ಧನೆ
accelerator	0.593	0.830	0.812	ವೇಗವರ್ಧಕ
accent	0.598	0.357	0.509	ಉಚ್ಚಾರಣೆ
accentuate	0.673	0.556	0.667	ಎದ್ದುಕಾಣುತ್ತವೆ
accept	0.847	0.286	0.565	ಒಪ್ಪಿಕೊಳ್ಳಿ
acceptable	0.812	0.286	0.583	ಸ್ವೀಕಾರಾರ್ಹ
acceptance	0.833	0.287	0.755	ಸ್ವೀಕಾರ
acceptances	0.847	0.413	0.648	ಸ್ವೀಕಾರಗಳು
access	0.714	0.472	0.567	ಪ್ರವೇಶ
accessible	0.796	0.410	0.645	ಪ್ರವೇಶಿಸಬಹುದಾಗಿದೆ
accession	0.612	0.383	0.636	ಸೇರ್ಪಡೆ
accessory	0.562	0.292	0.445	ಪರಿಕರ
accident	0.125	0.908	0.336	ಅಪಘಾತ
accidental	0.319	0.784	0.307	ಆಕಸ್ಮಿಕ
accidentally	0.333	0.741	0.333	ಆಕಸ್ಮಿಕವಾಗಿ
acclaim	0.562	0.809	0.718	ಮೆಚ್ಚುಗೆ
accolade	0.688	0.591	0.775	ಪುರಸ್ಕಾರ
accommodate	0.844	0.375	0.566	ಅವಕಾಶ ಕಲ್ಪಿಸಿಕೊಡುತ್ತವೆ
accommodation	0.817	0.415	0.587	ವಸತಿ
accompaniment	0.740	0.479	0.695	ಪಕ್ಕವಾದ್ಯ
accompany	0.833	0.406	0.585	ಜೊತೆಯಲ್ಲಿ
accompanying	0.787	0.460	0.582	ಜೊತೆಯಲ್ಲಿ
accomplice	0.408	0.580	0.510	ಜೊತೆಗಾರ
accomplish	0.929	0.673	0.816	ಸಾಧಿಸಲು
accomplished	0.870	0.520	0.798	ಸಾಧಿಸಲಾಗಿದೆ
accomplishment	0.917	0.694	0.888	ಸಾಧನೆ
accord	0.898	0.264	0.382	ಒಪ್ಪಂದ
accordance	0.659	0.349	0.600	ಅನುಗುಣವಾಗಿ
accordion	0.604	0.490	0.361	ಅಕಾರ್ಡಿಯನ್
account	0.531	0.347	0.472	ಖಾತೆ
accountability	0.755	0.537	0.833	ಹೊಣೆಗಾರಿಕೆ
accountable	0.709	0.282	0.777	ಜವಾಬ್ದಾರಿಯುತ
accountant	0.625	0.450	0.639	ಲೆಕ್ಕಿಗ
accounting	0.552	0.390	0.677	ಲೆಕ್ಕಪತ್ರ
accounts	0.592	0.340	0.471	ಖಾತೆಗಳು
accredited	0.669	0.479	0.768	ಮಾನ್ಯತೆ ಪಡೆದಿದೆ
accretion	0.448	0.519	0.672	ಸಂಚಯ
accrue	0.520	0.481	0.602	ಸೇರಿಕೊಳ್ಳುತ್ತವೆ
accueil	0.450	0.451	0.470	ಹೆಚ್ಚಿಸಿ
accumulate	0.573	0.536	0.607	ಸಂಗ್ರಹಿಸು
accumulation	0.479	0.527	0.600	ಶೇಖರಣೆ
accuracy	0.604	0.481	0.802	ನಿಖರತೆ
accurate	0.743	0.360	0.737	ನಿಖರವಾದ
accursed	0.135	0.745	0.345	ಶಾಪಗ್ರಸ್ತ
accusation	0.073	0.718	0.564	ಆರೋಪ
accusative	0.198	0.755	0.482	ಆರೋಪಿಸುವ
accuse	0.133	0.752	0.500	ಆರೋಪಿಸುತ್ತಾರೆ
accused	0.130	0.670	0.420	ಆರೋಪಿ
accuser	0.122	0.779	0.615	ಆರೋಪಿ
accusing	0.156	0.745	0.324	ಆರೋಪಿಸುತ್ತಿದ್ದಾರೆ
accustomed	0.542	0.365	0.441	ಒಗ್ಗಿಕೊಂಡಿರುತ್ತಾರೆ
ace	0.643	0.481	0.546	ಎಕ್ಕ
acetic	0.333	0.420	0.519	ಅಸಿಟಿಕ್
acetylene	0.306	0.469	0.509	ಅಸಿಟಿಲೀನ್
ache	0.146	0.760	0.312	ನೋವು
achieve	0.816	0.545	0.843	ಸಾಧಿಸುತ್ತಾರೆ
achieved	0.896	0.519	0.775	ಸಾಧಿಸಿದೆ
achievement	0.896	0.808	0.759	ಸಾಧನೆ
aching	0.053	0.880	0.348	ನೋಯುತ್ತಿದೆ
achy	0.167	0.840	0.373	ನೋವು
acid	0.265	0.642	0.566	ಆಮ್ಲ
acidity	0.156	0.663	0.360	ಆಮ್ಲೀಯತೆ
acknowledge	0.786	0.370	0.661	ಅಂಗೀಕರಿಸು
acknowledged	0.714	0.443	0.765	ಒಪ್ಪಿಕೊಂಡಿದ್ದಾರೆ
acknowledgement	0.819	0.539	0.830	ಸ್ವೀಕೃತಿ
acknowledgment	0.796	0.528	0.777	ಸ್ವೀಕೃತಿ
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ಮೊಡವೆ
acorn	0.448	0.198	0.192	ಓಕ್
acoustic	0.542	0.462	0.536	ಅಕೌಸ್ಟಿಕ್
acoustics	0.611	0.330	0.509	ಅಕೌಸ್ಟಿಕ್ಸ್
acquaint	0.646	0.491	0.639	ಪರಿಚಯ
acquaintance	0.656	0.290	0.670	ಪರಿಚಯ
acquainted	0.906	0.358	0.632	ಪರಿಚಯವಾಯಿತು
acquiescence	0.542	0.480	0.554	ಒಪ್ಪಿಗೆ
acquire	0.833	0.468	0.700	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
acquiring	0.735	0.510	0.817	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುತ್ತಿದೆ
acquisition	0.698	0.509	0.736	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
acquisitions	0.773	0.660	0.790	ಸ್ವಾಧೀನಗಳು
acquit	0.583	0.571	0.611	ಖುಲಾಸೆಗೊಳಿಸು
acquittal	0.760	0.497	0.700	ಖುಲಾಸೆ
acre	0.583	0.387	0.423	ಎಕರೆ
acreage	0.741	0.450	0.528	ವಿಸ್ತೀರ್ಣ
acres	0.510	0.363	0.500	ಎಕರೆ
acrobat	0.708	0.828	0.602	ಅಕ್ರೋಬ್ಯಾಟ್
acrylic	0.582	0.279	0.420	ಅಕ್ರಿಲಿಕ್
act	0.656	0.704	0.735	ಕಾರ್ಯ
acting	0.698	0.643	0.500	ನಟನೆ
action	0.760	0.898	0.802	ಕ್ರಮ
action figure	0.615	0.774	0.611	ಆಕ್ಷನ್ ಫಿಗರ್
actionable	0.673	0.702	0.613	ಕಾರ್ಯಸಾಧ್ಯ
activate	0.764	0.650	0.806	ಸಕ್ರಿಯಗೊಳಿಸಿ
activation	0.781	0.800	0.754	ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
active	0.847	0.730	0.731	ಸಕ್ರಿಯ
activist	0.531	0.653	0.877	ಕಾರ್ಯಕರ್ತ
activity	0.701	0.660	0.807	ಚಟುವಟಿಕೆ
actor	0.653	0.561	0.629	ನಟ
actress	0.633	0.556	0.596	ನಟಿ
actual	0.729	0.400	0.716	ನಿಜವಾದ
actuality	0.750	0.464	0.600	ವಾಸ್ತವಿಕತೆ
actuary	0.510	0.404	0.491	ವಿಮಾಗಣಕ
acuity	0.469	0.378	0.741	ತೀಕ್ಷ್ಣತೆ
acumen	0.564	0.660	0.679	ಕುಶಾಗ್ರಮತಿ
acupuncture	0.531	0.324	0.549	ಅಕ್ಯುಪಂಕ್ಚರ್
acute	0.427	0.652	0.534	ತೀವ್ರ
acutely	0.417	0.543	0.491	ತೀವ್ರವಾಗಿ
ad	0.521	0.705	0.558	ಜಾಹೀರಾತು
adage	0.517	0.415	0.566	ಗಾದೆ
adamant	0.344	0.529	0.575	ಅಚಲ
adapt	0.740	0.355	0.551	ಹೊಂದಿಕೊಳ್ಳುತ್ತವೆ
adaptable	0.735	0.423	0.641	ಹೊಂದಿಕೊಳ್ಳಬಲ್ಲ
adaptation	0.663	0.365	0.609	ರೂಪಾಂತರ
add	0.728	0.490	0.554	ಸೇರಿಸಿ
added	0.562	0.405	0.509	ಸೇರಿಸಲಾಗಿದೆ
addendum	0.392	0.370	0.418	ಅನುಬಂಧ
adder	0.388	0.461	0.588	ಸೇರಿಸುವವನು
addict	0.075	0.696	0.327	ವ್ಯಸನಿ
addicted	0.156	0.712	0.483	ಗೀಳು
addiction	0.180	0.806	0.420	ಚಟ
addictive	0.302	0.683	0.472	ಚಟ
addition	0.562	0.373	0.471	ಜೊತೆಗೆ
additional	0.673	0.462	0.526	ಹೆಚ್ಚುವರಿ
additive	0.561	0.633	0.691	ಸಂಯೋಜಕ
address	0.650	0.327	0.567	ವಿಳಾಸ
addressee	0.622	0.382	0.538	ವಿಳಾಸದಾರ
addresses	0.510	0.354	0.450	ವಿಳಾಸಗಳು
adept	0.594	0.539	0.789	ಪ್ರವೀಣ
adequacy	0.615	0.435	0.702	ಸಮರ್ಪಕತೆ
adequate	0.854	0.264	0.705	ಸಮರ್ಪಕ
adhere	0.633	0.339	0.554	ಅಂಟಿಕೊಳ್ಳುತ್ತವೆ
adherence	0.760	0.307	0.630	ಅನುಸರಣೆ
adherent	0.561	0.385	0.555	ಅಂಟಿಕೊಳ್ಳುವ
adhering	0.612	0.561	0.537	ಅಂಟಿಕೊಂಡಿದೆ
adhesion	0.521	0.445	0.586	ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
adhesive	0.604	0.350	0.413	ಅಂಟು
adieu	0.250	0.471	0.342	ವಿದಾಯ
adipose	0.333	0.350	0.391	ಅಡಿಪೋಸ್
adjacency	0.365	0.417	0.375	ಪಕ್ಕದ
adjacent	0.645	0.276	0.536	ಪಕ್ಕದ
adjective	0.570	0.316	0.569	ವಿಶೇಷಣ
adjoining	0.520	0.400	0.393	ಪಕ್ಕದ
adjourn	0.385	0.456	0.475	ಮುಂದೂಡು
adjournment	0.438	0.510	0.370	ಮುಂದೂಡಿಕೆ
adjudicate	0.559	0.520	0.683	ತೀರ್ಪು ನೀಡಿ
adjudication	0.551	0.462	0.691	ತೀರ್ಪು
adjunct	0.459	0.440	0.426	ಸಹಾಯಕ
adjust	0.647	0.327	0.638	ಸರಿಹೊಂದಿಸಿ
adjuster	0.510	0.540	0.760	ಹೊಂದಾಣಿಕೆ
adjustment	0.590	0.520	0.661	ಹೊಂದಾಣಿಕೆ
adjuvant	0.510	0.500	0.456	ಸಹಾಯಕ
admin	0.688	0.420	0.854	ನಿರ್ವಾಹಕ
administer	0.635	0.425	0.860	ಆಡಳಿತ
administration	0.625	0.404	0.786	ಆಡಳಿತ
administrative	0.542	0.415	0.579	ಆಡಳಿತಾತ್ಮಕ
administrator	0.538	0.480	0.902	ನಿರ್ವಾಹಕ
admirable	0.929	0.600	0.870	ಪ್ರಶಂಸನೀಯ
admiral	0.844	0.490	0.847	ಅಡ್ಮಿರಲ್
admiralty	0.594	0.547	0.733	ಅಡ್ಮಿರಾಲ್ಟಿ
admiration	0.969	0.583	0.726	ಅಭಿಮಾನ
admire	0.867	0.692	0.704	ಅಚ್ಚುಮೆಚ್ಚು
admired	0.917	0.560	0.815	ಮೆಚ್ಚಿಕೊಂಡರು
admirer	0.796	0.720	0.650	ಅಭಿಮಾನಿ
admiring	0.867	0.578	0.629	ಮೆಚ್ಚಿಕೊಳ್ಳುತ್ತಿದ್ದಾರೆ
admissibility	0.802	0.580	0.602	ಸ್ವೀಕಾರಾರ್ಹತೆ
admissible	0.780	0.528	0.642	ಸ್ವೀಕಾರಾರ್ಹ
admission	0.802	0.415	0.732	ಪ್ರವೇಶ
admit	0.538	0.423	0.667	ಒಪ್ಪಿಕೊಳ್ಳಿ
admittance	0.690	0.451	0.598	ಪ್ರವೇಶ
admitted	0.720	0.490	0.767	ಒಪ್ಪಿಕೊಂಡರು
admitting	0.620	0.500	0.546	ಒಪ್ಪಿಕೊಳ್ಳುವುದು
admixture	0.450	0.375	0.438	ಮಿಶ್ರಣ
admonition	0.357	0.606	0.455	ಉಪದೇಶ
ado	0.520	0.423	0.385	ಅಡೋ
adobe	0.500	0.319	0.328	ಅಡೋಬ್
adolescence	0.487	0.694	0.444	ಹದಿಹರೆಯ
adolescent	0.781	0.680	0.509	ಹರೆಯದ
adopt	0.694	0.612	0.701	ಅಳವಡಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
adoption	0.625	0.566	0.589	ದತ್ತು
adoptive	0.531	0.469	0.520	ದತ್ತು ಪಡೆದ
adorable	0.969	0.519	0.457	ಆರಾಧ್ಯ
adoration	0.885	0.699	0.708	ಆರಾಧನೆ
adore	0.854	0.438	0.657	ಆರಾಧಿಸುತ್ತಾರೆ
adoring	0.885	0.620	0.717	ಆರಾಧಿಸುತ್ತಿದ್ದಾರೆ
adorn	0.910	0.424	0.482	ಅಲಂಕರಿಸಲು
adornment	0.918	0.373	0.377	ಅಲಂಕಾರ
adrenalin	0.865	0.920	0.786	ಅಡ್ರಿನಾಲಿನ್
adrenaline	0.765	0.965	0.825	ಅಡ್ರಿನಾಲಿನ್
adrift	0.398	0.486	0.230	ಅಲೆಯುವ
adult	0.815	0.491	0.787	ವಯಸ್ಕ
adulterated	0.188	0.865	0.370	ಕಲಬೆರಕೆ
adulterer	0.229	0.814	0.407	ವ್ಯಭಿಚಾರಿ
adultery	0.120	0.922	0.510	ವ್ಯಭಿಚಾರ
adulthood	0.541	0.454	0.652	ಪ್ರೌಢಾವಸ್ಥೆ
advance	0.673	0.472	0.858	ಮುನ್ನಡೆ
advanced	0.844	0.623	0.797	ಮುಂದುವರಿದ
advancement	0.776	0.650	0.839	ಪ್ರಗತಿ
advancing	0.929	0.608	0.812	ಮುನ್ನಡೆಯುತ್ತಿದೆ
advantage	0.917	0.548	0.859	ಅನುಕೂಲ
advantageous	0.837	0.640	0.789	ಅನುಕೂಲಕರ
advent	0.665	0.560	0.627	ಆಗಮನ
adventure	0.917	0.857	0.710	ಸಾಹಸ
adventurer	0.781	0.839	0.868	ಸಾಹಸಿ
adventures	0.812	0.764	0.749	ಸಾಹಸಗಳು
adventurous	0.969	0.898	0.722	ಸಾಹಸಮಯ
adversary	0.349	0.777	0.457	ಎದುರಾಳಿ
adverse	0.323	0.610	0.385	ಪ್ರತಿಕೂಲ
adversity	0.276	0.760	0.538	ಪ್ರತಿಕೂಲತೆ
advertise	0.500	0.529	0.580	ಜಾಹೀರಾತು
advertisement	0.600	0.566	0.539	ಜಾಹೀರಾತು
advertising	0.622	0.608	0.632	ಜಾಹೀರಾತು
adverts	0.551	0.500	0.595	ಜಾಹೀರಾತುಗಳು
advice	0.698	0.408	0.688	ಸಲಹೆ
advisable	0.867	0.480	0.510	ಸಲಹೆ
advise	0.760	0.393	0.705	ಸಲಹೆ
advised	0.823	0.330	0.509	ಸಲಹೆ ನೀಡಿದರು
advisement	0.698	0.235	0.655	ಸಲಹೆ
adviser	0.745	0.362	0.705	ಸಲಹೆಗಾರ
advisor	0.646	0.350	0.689	ಸಲಹೆಗಾರ
advisory	0.656	0.429	0.633	ಸಲಹಾ
advocacy	0.500	0.646	0.731	ವಕಾಲತ್ತು
advocate	0.551	0.530	0.818	ವಕೀಲ
aegis	0.490	0.439	0.462	ಏಜಿಸ್
aeration	0.550	0.500	0.433	ಗಾಳಿಯಾಡುವಿಕೆ
aerial	0.615	0.461	0.463	ವೈಮಾನಿಕ
aerobics	0.708	0.771	0.627	ಏರೋಬಿಕ್ಸ್
aerodrome	0.541	0.740	0.678	ಏರೋಡ್ರೋಮ್
aerodynamic	0.561	0.724	0.728	ವಾಯುಬಲವೈಜ್ಞಾನಿಕ
aerodynamics	0.590	0.663	0.722	ವಾಯುಬಲವಿಜ್ಞಾನ
aeronautics	0.551	0.633	0.688	ಏರೋನಾಟಿಕ್ಸ್
aeroplane	0.714	0.642	0.644	ವಿಮಾನ
aerospace	0.643	0.520	0.779	ಅಂತರಿಕ್ಷಯಾನ
aesthetic	0.708	0.442	0.526	ಸೌಂದರ್ಯದ
aesthetics	0.847	0.327	0.549	ಸೌಂದರ್ಯಶಾಸ್ತ್ರ
aetiology	0.480	0.398	0.615	ರೋಗಶಾಸ್ತ್ರ
afar	0.396	0.373	0.358	ದೂರದ
affable	0.704	0.380	0.452	ಸೌಹಾರ್ದಯುತ
affair	0.520	0.459	0.657	ಸಂಬಂಧ
affect	0.458	0.569	0.578	ಪರಿಣಾಮ ಬೀರುತ್ತವೆ
affecting	0.350	0.574	0.394	ಪರಿಣಾಮ ಬೀರುತ್ತಿದೆ
affection	0.898	0.559	0.696	ವಾತ್ಸಲ್ಯ
affectionate	0.949	0.422	0.550	ಪ್ರೀತಿಯ
affections	0.760	0.547	0.655	ವಾತ್ಸಲ್ಯಗಳು
affiche	0.479	0.265	0.402	ಅಫಿಚೆ
affidavit	0.469	0.584	0.526	ಅಫಿಡವಿಟ್
affiliated	0.673	0.519	0.535	ಸಂಯೋಜಿತ
affiliation	0.615	0.594	0.500	ಬಾಂಧವ್ಯ
affinity	0.800	0.500	0.537	ಬಾಂಧವ್ಯ
affirm	0.745	0.509	0.731	ದೃಢೀಕರಿಸಿ
affirmation	0.750	0.500	0.689	ದೃಢೀಕರಣ
affirmative	0.854	0.589	0.816	ದೃಢವಾದ
affirmatively	0.908	0.500	0.811	ದೃಢವಾಗಿ
affix	0.438	0.335	0.411	ಅಂಟಿಸು
afflict	0.302	0.555	0.293	ಬಾಧಿಸುತ್ತವೆ
afflicted	0.271	0.500	0.167	ಪೀಡಿತ
affliction	0.294	0.635	0.392	ಸಂಕಟ
affluence	0.663	0.618	0.722	ಶ್ರೀಮಂತಿಕೆ
affluent	0.756	0.388	0.477	ಶ್ರೀಮಂತ
afford	0.571	0.580	0.575	ನಿಭಾಯಿಸುತ್ತೇನೆ
affordable	0.840	0.398	0.493	ಕೈಗೆಟುಕುವ
affront	0.327	0.740	0.547	ಮುಖಭಂಗ
affronted	0.385	0.750	0.527	ಮುಖಭಂಗವಾಯಿತು
afield	0.594	0.370	0.373	ದೂರದಲ್ಲಿ
afire	0.367	0.904	0.675	ಬೆಂಕಿ
afloat	0.602	0.427	0.444	ತೇಲುತ್ತವೆ
afore	0.500	0.337	0.382	ಮೊದಲು
aforementioned	0.490	0.316	0.408	ಮೇಲೆ ತಿಳಿಸಿದ
aforesaid	0.531	0.358	0.478	ಮೇಲೆ ಹೇಳಿದ
afraid	0.010	0.775	0.245	ಹೆದರುತ್ತಾರೆ
afresh	0.643	0.521	0.480	ಹೊಸದಾಗಿ
aft	0.480	0.417	0.518	ಹಿಂದೆ
afterlife	0.571	0.567	0.568	ಮರಣಾನಂತರದ ಜೀವನ
aftermath	0.312	0.449	0.444	ನಂತರದ ಪರಿಣಾಮ
afternoon	0.533	0.388	0.339	ಮಧ್ಯಾಹ್ನ
aftershave	0.406	0.384	0.415	ಕ್ಷೌರದ ನಂತರ
aftertaste	0.354	0.362	0.455	ನಂತರದ ರುಚಿ
afterthought	0.396	0.392	0.349	ನಂತರದ ಚಿಂತನೆ
aga	0.542	0.327	0.398	ಆಗಾ
agape	0.612	0.529	0.464	ಅಗಾಪೆ
agate	0.540	0.377	0.483	ಅಗೇಟ್
age	0.561	0.226	0.498	ವಯಸ್ಸು
aged	0.135	0.365	0.236	ವಯಸ್ಸಾದ
agency	0.460	0.296	0.583	ಸಂಸ್ಥೆ
agenda	0.531	0.296	0.553	ಕಾರ್ಯಸೂಚಿ
agent	0.480	0.439	0.755	ಏಜೆಂಟ್
agglomeration	0.450	0.765	0.509	ಒಟ್ಟುಗೂಡುವಿಕೆ
aggravate	0.224	0.770	0.464	ಉಲ್ಬಣಗೊಳಿಸು
aggravated	0.079	0.760	0.430	ಉಲ್ಬಣಗೊಂಡಿದೆ
aggravates	0.108	0.778	0.357	ಉಲ್ಬಣಗೊಳಿಸುತ್ತದೆ
aggravating	0.257	0.794	0.640	ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
aggravation	0.071	0.784	0.613	ಉಲ್ಬಣಗೊಳ್ಳುವಿಕೆ
aggregate	0.730	0.378	0.556	ಒಟ್ಟು
aggregation	0.583	0.517	0.694	ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
aggresive	0.059	0.971	0.639	ಆಕ್ರಮಣಕಾರಿ
aggression	0.094	0.929	0.533	ಆಕ್ರಮಣಶೀಲತೆ
aggressive	0.125	0.949	0.648	ಆಕ್ರಮಣಕಾರಿ
aggressively	0.250	0.926	0.688	ಆಕ್ರಮಣಕಾರಿಯಾಗಿ
aggressiveness	0.077	0.913	0.648	ಆಕ್ರಮಣಶೀಲತೆ
aggressor	0.146	0.948	0.823	ಆಕ್ರಮಣಕಾರಿ
agh	0.260	0.500	0.400	ಆಹ್
aghast	0.133	0.865	0.464	ಗಾಬರಿಯಾದ
aghhh	0.281	0.635	0.243	ಆಹ್ಹ್ಹ್
agile	0.800	0.657	0.775	ಚಾಣಾಕ್ಷ
agility	0.720	0.702	0.815	ಚುರುಕುತನ
aging	0.214	0.255	0.284	ವಯಸ್ಸಾಗುತ್ತಿದೆ
agitate	0.300	0.796	0.593	ಕ್ಷೋಭೆಗೊಳಿಸು
agitated	0.444	0.882	0.491	ತಳಮಳಗೊಂಡರು
agitation	0.240	0.931	0.447	ತಳಮಳ
aglow	0.780	0.510	0.797	ಪ್ರಜ್ವಲಿಸುವ
agnostic	0.306	0.396	0.574	ಅಜ್ಞೇಯತಾವಾದಿ
ago	0.317	0.280	0.404	ಹಿಂದೆ
