English Word	Valence	Arousal	Dominance	Sindhi Word
absorbing	0.490	0.490	0.578	جذب ڪرڻ
absorption	0.609	0.422	0.446	جذب ڪرڻ
abstain	0.385	0.385	0.427	پرهيز ڪرڻ
abstention	0.271	0.264	0.509	اجتناب
abstinence	0.260	0.392	0.429	پرهيز
abstract	0.438	0.292	0.444	خلاصو
abstraction	0.469	0.439	0.525	خلاصو
absurd	0.188	0.656	0.284	بيوقوف
absurdity	0.115	0.528	0.227	بيوقوفي
abundance	0.812	0.690	0.852	گهڻائي
abundant	0.958	0.590	0.760	گهڻائي
abuse	0.071	0.873	0.469	بدسلوڪي
abused	0.021	0.874	0.235	بدسلوڪي
abusive	0.125	0.903	0.567	بدسلوڪي ڪندڙ
abutment	0.500	0.265	0.616	ختم ڪرڻ
aby	0.385	0.452	0.368	ابي
abysmal	0.250	0.710	0.598	انتهائي
abyss	0.353	0.725	0.296	پاتال
academic	0.781	0.420	0.812	تعليمي
academy	0.704	0.473	0.792	اڪيڊمي
accede	0.698	0.510	0.537	قبول ڪرڻ
accelerant	0.643	0.844	0.802	تيز ڪندڙ
accelerate	0.615	0.902	0.759	تيز ڪرڻ
accelerated	0.610	0.812	0.682	تيز
acceleration	0.704	0.905	0.843	تيزي
accelerator	0.593	0.830	0.812	تيز ڪندڙ
accent	0.598	0.357	0.509	تلفظ
accentuate	0.673	0.556	0.667	زور ڏيڻ
accept	0.847	0.286	0.565	قبول ڪرڻ
acceptable	0.812	0.286	0.583	قابل قبول
acceptance	0.833	0.287	0.755	قبوليت
acceptances	0.847	0.413	0.648	قبوليتون
access	0.714	0.472	0.567	پهچ
accessible	0.796	0.410	0.645	رسائي لائق
accession	0.612	0.383	0.636	الحاق
accessory	0.562	0.292	0.445	لوازمات
accident	0.125	0.908	0.336	حادثو
accidental	0.319	0.784	0.307	حادثاتي
accidentally	0.333	0.741	0.333	اتفاقي طور
acclaim	0.562	0.809	0.718	تعريف ڪرڻ
accolade	0.688	0.591	0.775	اعزاز
accommodate	0.844	0.375	0.566	جاءِ ڏيڻ
accommodation	0.817	0.415	0.587	رهائش
accompaniment	0.740	0.479	0.695	سنگت
accompany	0.833	0.406	0.585	گڏ ڪرڻ
accompanying	0.787	0.460	0.582	گڏ ڪرڻ
accomplice	0.408	0.580	0.510	ساٿي
accomplish	0.929	0.673	0.816	پورو ڪرڻ
accomplished	0.870	0.520	0.798	مڪمل
accomplishment	0.917	0.694	0.888	ڪاميابي
accord	0.898	0.264	0.382	اتفاق
accordance	0.659	0.349	0.600	مطابق
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	اڪائونٽ
accountability	0.755	0.537	0.833	احتساب
accountable	0.709	0.282	0.777	احتسابي
accountant	0.625	0.450	0.639	اڪائونٽنٽ
accounting	0.552	0.390	0.677	اڪائونٽنگ
accounts	0.592	0.340	0.471	اڪائونٽس
accredited	0.669	0.479	0.768	تصديق ٿيل
accretion	0.448	0.519	0.672	واڌارو
accrue	0.520	0.481	0.602	جمع ڪرڻ
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	جمع ڪرڻ
accumulation	0.479	0.527	0.600	جمع ڪرڻ
accuracy	0.604	0.481	0.802	درستگي
accurate	0.743	0.360	0.737	درست
accursed	0.135	0.745	0.345	ملعون
accusation	0.073	0.718	0.564	الزام
accusative	0.198	0.755	0.482	الزام لڳائڻ وارو
accuse	0.133	0.752	0.500	الزام لڳائڻ
accused	0.130	0.670	0.420	الزام
accuser	0.122	0.779	0.615	الزام لڳائيندڙ
accusing	0.156	0.745	0.324	الزام لڳائڻ
accustomed	0.542	0.365	0.441	عادي
ace	0.643	0.481	0.546	ايڪو
acetic	0.333	0.420	0.519	ايڪٽڪ
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	درد
achieve	0.816	0.545	0.843	حاصل ڪرڻ
achieved	0.896	0.519	0.775	حاصل ڪيو
achievement	0.896	0.808	0.759	ڪاميابي
aching	0.053	0.880	0.348	تڪليف ڏيڻ
achy	0.167	0.840	0.373	درد
acid	0.265	0.642	0.566	تيزاب
acidity	0.156	0.663	0.360	تيزابيت
acknowledge	0.786	0.370	0.661	مڃڻ
acknowledged	0.714	0.443	0.765	تسليم ڪيو
acknowledgement	0.819	0.539	0.830	اعتراف
acknowledgment	0.796	0.528	0.777	اعتراف
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	مٽي
acorn	0.448	0.198	0.192	ٻج
acoustic	0.542	0.462	0.536	صوتي
acoustics	0.611	0.330	0.509	صوتيات
acquaint	0.646	0.491	0.639	واقف ڪرڻ
acquaintance	0.656	0.290	0.670	واقفيت
acquainted	0.906	0.358	0.632	واقف
acquiescence	0.542	0.480	0.554	قبوليت
acquire	0.833	0.468	0.700	حاصل ڪرڻ
acquiring	0.735	0.510	0.817	حاصل ڪرڻ
acquisition	0.698	0.509	0.736	حصول
acquisitions	0.773	0.660	0.790	حاصلات
acquit	0.583	0.571	0.611	بري ڪرڻ
acquittal	0.760	0.497	0.700	بريت
acre	0.583	0.387	0.423	ايڪڙ
acreage	0.741	0.450	0.528	ايڪڙ
acres	0.510	0.363	0.500	ايڪڙ
acrobat	0.708	0.828	0.602	اکروبيٽ
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	عمل
acting	0.698	0.643	0.500	اداڪاري
action	0.760	0.898	0.802	عمل
action figure	0.615	0.774	0.611	عمل جي شڪل
actionable	0.673	0.702	0.613	قابل عمل
activate	0.764	0.650	0.806	چالو ڪرڻ
activation	0.781	0.800	0.754	چالو ڪرڻ
active	0.847	0.730	0.731	سرگرم
activist	0.531	0.653	0.877	سرگرم
activity	0.701	0.660	0.807	سرگرمي
actor	0.653	0.561	0.629	اداڪار
actress	0.633	0.556	0.596	اداڪار
actual	0.729	0.400	0.716	حقيقي
actuality	0.750	0.464	0.600	حقيقت
actuary	0.510	0.404	0.491	عملدار
acuity	0.469	0.378	0.741	تڪڙ
acumen	0.564	0.660	0.679	هوشيار
acupuncture	0.531	0.324	0.549	ايڪوپنڪچر
acute	0.427	0.652	0.534	شديد
acutely	0.417	0.543	0.491	تيزيءَ سان
ad	0.521	0.705	0.558	اشتهار
adage	0.517	0.415	0.566	چوڻي
adamant	0.344	0.529	0.575	ثابت قدم
adapt	0.740	0.355	0.551	موافقت ڪرڻ
adaptable	0.735	0.423	0.641	موافقت لائق
adaptation	0.663	0.365	0.609	موافقت
add	0.728	0.490	0.554	شامل ڪريو
added	0.562	0.405	0.509	شامل ڪيو ويو
addendum	0.392	0.370	0.418	اضافو
adder	0.388	0.461	0.588	شامل ڪندڙ
addict	0.075	0.696	0.327	عادي
addicted	0.156	0.712	0.483	عادي
addiction	0.180	0.806	0.420	لت
addictive	0.302	0.683	0.472	لت وارو
addition	0.562	0.373	0.471	اضافو
additional	0.673	0.462	0.526	اضافي
additive	0.561	0.633	0.691	اضافو
address	0.650	0.327	0.567	پتو
addressee	0.622	0.382	0.538	پتو ڏيڻ وارو
addresses	0.510	0.354	0.450	ايڊريس
adept	0.594	0.539	0.789	ماهر
adequacy	0.615	0.435	0.702	ڪافيت
adequate	0.854	0.264	0.705	ڪافي
adhere	0.633	0.339	0.554	پيروي ڪرڻ
adherence	0.760	0.307	0.630	تابعداري
adherent	0.561	0.385	0.555	تابعدار
adhering	0.612	0.561	0.537	پيروي ڪرڻ
adhesion	0.521	0.445	0.586	آسن
adhesive	0.604	0.350	0.413	چپڪندڙ
adieu	0.250	0.471	0.342	الوداع
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	ڀرسان
adjacent	0.645	0.276	0.536	ڀرسان
adjective	0.570	0.316	0.569	صفت
adjoining	0.520	0.400	0.393	ڀرسان
adjourn	0.385	0.456	0.475	ملتوي ڪرڻ
adjournment	0.438	0.510	0.370	ملتوي
adjudicate	0.559	0.520	0.683	فيصلو ڪرڻ
adjudication	0.551	0.462	0.691	فيصلو
adjunct	0.459	0.440	0.426	ملندڙ
adjust	0.647	0.327	0.638	ترتيب ڏيڻ
adjuster	0.510	0.540	0.760	ترتيب ڏيڻ وارو
adjustment	0.590	0.520	0.661	ترتيب ڏيڻ
adjuvant	0.510	0.500	0.456	مددگار
admin	0.688	0.420	0.854	منتظم
administer	0.635	0.425	0.860	انتظام ڪرڻ
administration	0.625	0.404	0.786	انتظاميه
administrative	0.542	0.415	0.579	انتظامي
administrator	0.538	0.480	0.902	منتظم
admirable	0.929	0.600	0.870	قابل تعريف
admiral	0.844	0.490	0.847	ايڊمرل
admiralty	0.594	0.547	0.733	ايڊمرلٽي
admiration	0.969	0.583	0.726	تعريف
admire	0.867	0.692	0.704	تعريف ڪرڻ
admired	0.917	0.560	0.815	ساراهيو
admirer	0.796	0.720	0.650	مداح
admiring	0.867	0.578	0.629	تعريف ڪرڻ
admissibility	0.802	0.580	0.602	قبوليت
admissible	0.780	0.528	0.642	قابل قبول
admission	0.802	0.415	0.732	داخلا
admit	0.538	0.423	0.667	تسليم ڪرڻ
admittance	0.690	0.451	0.598	داخلا
admitted	0.720	0.490	0.767	تسليم ڪيو
admitting	0.620	0.500	0.546	تسليم ڪرڻ
admixture	0.450	0.375	0.438	ملاوٽ
admonition	0.357	0.606	0.455	نصيحت
ado	0.520	0.423	0.385	ادو
adobe	0.500	0.319	0.328	ايڊوب
adolescence	0.487	0.694	0.444	جوانيءَ
adolescent	0.781	0.680	0.509	نوجوان
adopt	0.694	0.612	0.701	اپنائڻ
adoption	0.625	0.566	0.589	اپنائڻ
adoptive	0.531	0.469	0.520	اپنائڻ وارو
adorable	0.969	0.519	0.457	پيارو
adoration	0.885	0.699	0.708	عبادت
adore	0.854	0.438	0.657	پيار ڪرڻ
adoring	0.885	0.620	0.717	پيار ڪرڻ
adorn	0.910	0.424	0.482	سينگار
adornment	0.918	0.373	0.377	زينت
adrenalin	0.865	0.920	0.786	ايڊينالن
adrenaline	0.765	0.965	0.825	ايڊينالائن
adrift	0.398	0.486	0.230	اڳتي وڌڻ
adult	0.815	0.491	0.787	بالغ
adulterated	0.188	0.865	0.370	ملاوٽ ٿيل
adulterer	0.229	0.814	0.407	زنا ڪندڙ
adultery	0.120	0.922	0.510	زنا
adulthood	0.541	0.454	0.652	بالغ ٿيڻ
advance	0.673	0.472	0.858	اڳواٽ
advanced	0.844	0.623	0.797	ترقي يافته
advancement	0.776	0.650	0.839	ترقي
advancing	0.929	0.608	0.812	اڳتي وڌڻ
advantage	0.917	0.548	0.859	فائدو
advantageous	0.837	0.640	0.789	فائدي وارو
advent	0.665	0.560	0.627	آمد
adventure	0.917	0.857	0.710	ايڊونچر
adventurer	0.781	0.839	0.868	سياح
adventures	0.812	0.764	0.749	ايڊونچر
adventurous	0.969	0.898	0.722	بہادر
adversary	0.349	0.777	0.457	مخالف
adverse	0.323	0.610	0.385	ناڪاري
adversity	0.276	0.760	0.538	مشڪلات
advertise	0.500	0.529	0.580	اشتهار ڏيڻ
advertisement	0.600	0.566	0.539	اشتهار
advertising	0.622	0.608	0.632	اشتهار
adverts	0.551	0.500	0.595	اشتهار
advice	0.698	0.408	0.688	صلاح
advisable	0.867	0.480	0.510	صلاح ڏيڻ وارو
advise	0.760	0.393	0.705	صلاح ڏيڻ
advised	0.823	0.330	0.509	صلاح ڏني
advisement	0.698	0.235	0.655	صلاح
adviser	0.745	0.362	0.705	صلاحڪار
advisor	0.646	0.350	0.689	صلاحڪار
advisory	0.656	0.429	0.633	مشوري
advocacy	0.500	0.646	0.731	وکالت
advocate	0.551	0.530	0.818	وڪيل
aegis	0.490	0.439	0.462	ايجاد
aeration	0.550	0.500	0.433	هوا
aerial	0.615	0.461	0.463	هوائي
aerobics	0.708	0.771	0.627	ايروبڪس
aerodrome	0.541	0.740	0.678	هوائي اڏي
aerodynamic	0.561	0.724	0.728	ايروڊينامڪ
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	هوائي جهاز
aeroplane	0.714	0.642	0.644	هوائي جهاز
aerospace	0.643	0.520	0.779	فضائي خلا
aesthetic	0.708	0.442	0.526	جمالياتي
aesthetics	0.847	0.327	0.549	جمالياتي
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	پري
affable	0.704	0.380	0.452	ملندڙ
affair	0.520	0.459	0.657	معاملو
affect	0.458	0.569	0.578	اثر ڪرڻ
affecting	0.350	0.574	0.394	متاثر ڪرڻ
affection	0.898	0.559	0.696	پيار
affectionate	0.949	0.422	0.550	پيار ڪندڙ
affections	0.760	0.547	0.655	پيار
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	حلف نامو
affiliated	0.673	0.519	0.535	لاڳاپيل
affiliation	0.615	0.594	0.500	وابستگي
affinity	0.800	0.500	0.537	لاڳاپو
affirm	0.745	0.509	0.731	تصديق ڪرڻ
affirmation	0.750	0.500	0.689	تصديق
affirmative	0.854	0.589	0.816	هاڪاري
affirmatively	0.908	0.500	0.811	مثبت طور تي
affix	0.438	0.335	0.411	لڳائڻ
afflict	0.302	0.555	0.293	تڪليف ڏيڻ
afflicted	0.271	0.500	0.167	ڏکايل
affliction	0.294	0.635	0.392	مصيبت
affluence	0.663	0.618	0.722	دولتمندي
affluent	0.756	0.388	0.477	دولتمند
afford	0.571	0.580	0.575	برداشت ڪرڻ
affordable	0.840	0.398	0.493	سستي
affront	0.327	0.740	0.547	مخالفت
affronted	0.385	0.750	0.527	بدنام ڪيو ويو
afield	0.594	0.370	0.373	پري
afire	0.367	0.904	0.675	باهه
afloat	0.602	0.427	0.444	هلندي
afore	0.500	0.337	0.382	اڳ
aforementioned	0.490	0.316	0.408	مٿي ذڪر ڪيل
aforesaid	0.531	0.358	0.478	مٿي بيان ڪيل
afraid	0.010	0.775	0.245	ڊڄڻ
afresh	0.643	0.521	0.480	نئون
aft	0.480	0.417	0.518	پوئتي
afterlife	0.571	0.567	0.568	بعد جي زندگي
aftermath	0.312	0.449	0.444	بعد ۾
afternoon	0.533	0.388	0.339	منجهند
aftershave	0.406	0.384	0.415	آفٽر شيو
aftertaste	0.354	0.362	0.455	بعد جو ذائقو
afterthought	0.396	0.392	0.349	بعد ۾ سوچڻ
aga	0.542	0.327	0.398	آغا
agape	0.612	0.529	0.464	اگاپ
agate	0.540	0.377	0.483	عقيق
age	0.561	0.226	0.498	عمر
aged	0.135	0.365	0.236	پوڙهو
agency	0.460	0.296	0.583	ايجنسي
agenda	0.531	0.296	0.553	ايجنڊا
agent	0.480	0.439	0.755	ايجنٽ
agglomeration	0.450	0.765	0.509	جمع
aggravate	0.224	0.770	0.464	بگاڙڻ
aggravated	0.079	0.760	0.430	وڌيل
aggravates	0.108	0.778	0.357	وڌي ٿو
aggravating	0.257	0.794	0.640	بگاڙيندڙ
aggravation	0.071	0.784	0.613	بگاڙ
aggregate	0.730	0.378	0.556	مجموعي
aggregation	0.583	0.517	0.694	گڏ ڪرڻ
aggresive	0.059	0.971	0.639	جارحاڻي
aggression	0.094	0.929	0.533	جارحيت
aggressive	0.125	0.949	0.648	جارحاڻي
aggressively	0.250	0.926	0.688	جارحيت سان
aggressiveness	0.077	0.913	0.648	جارحيت
aggressor	0.146	0.948	0.823	حملو ڪندڙ
agh	0.260	0.500	0.400	آھ
aghast	0.133	0.865	0.464	حيران
aghhh	0.281	0.635	0.243	آھ
agile	0.800	0.657	0.775	چست
agility	0.720	0.702	0.815	چست
aging	0.214	0.255	0.284	عمر وڌڻ
agitate	0.300	0.796	0.593	حرڪت ڪرڻ
agitated	0.444	0.882	0.491	مشتعل
agitation	0.240	0.931	0.447	تحريڪ
aglow	0.780	0.510	0.797	چمڪندڙ
agnostic	0.306	0.396	0.574	اڻڄاڻ
ago	0.317	0.280	0.404	اڳ
agonizing	0.083	0.800	0.340	ڏکوئيندڙ
agony	0.083	0.775	0.393	اذيت
agoraphobia	0.127	0.712	0.438	ايگورفوبيا
agree	0.906	0.260	0.545	متفق
agreeable	0.906	0.500	0.696	قابل قبول
agreed	0.797	0.449	0.574	اتفاق ڪيو
agreeing	0.854	0.480	0.557	اتفاق ڪرڻ
agreement	0.760	0.440	0.736	معاهدو
agressive	0.083	0.918	0.751	جارحاڻي
agricultural	0.686	0.321	0.473	زرعي
agriculture	0.640	0.357	0.465	زراعت
aground	0.333	0.340	0.445	زمين تي
agua	0.598	0.180	0.436	اگوا
ahead	0.708	0.520	0.673	اڳيان
ahhh	0.562	0.517	0.241	آهه
ahhhhhhhh	0.552	0.649	0.288	ههههههههههه
ahoy	0.500	0.497	0.380	اڙي
aid	0.796	0.491	0.541	امداد
aide	0.724	0.342	0.434	مددگار
aiding	0.643	0.533	0.569	مدد ڪرڻ
aids	0.561	0.480	0.500	امداد
ail	0.375	0.434	0.385	بيمار
ailing	0.094	0.518	0.153	بيمار
ailment	0.146	0.734	0.277	بيماري
aim	0.481	0.569	0.567	مقصد
aimless	0.150	0.267	0.183	بي مقصد
air	0.708	0.163	0.427	هوا
airbag	0.510	0.402	0.433	ايئر بيگ
airborne	0.542	0.519	0.385	هوائي
aircraft	0.646	0.644	0.691	جهاز
aircraft carrier	0.490	0.740	0.727	جهاز ڪيريئر
airfield	0.601	0.650	0.645	هوائي ميدان
airhead	0.271	0.481	0.276	هوائي سر
airlift	0.573	0.622	0.642	هوائي اڏي
airline	0.650	0.482	0.688	ايئر لائن
airliner	0.667	0.777	0.647	هوائي جهاز
airlock	0.398	0.520	0.447	هوائي تالا
airman	0.587	0.716	0.721	هوائي جهاز
airplane	0.719	0.702	0.708	هوائي جهاز
airport	0.729	0.684	0.682	ايئرپورٽ
airs	0.583	0.196	0.370	هوا
airship	0.542	0.472	0.529	هوائي جهاز
airspace	0.562	0.510	0.640	فضائي حد
airspeed	0.583	0.780	0.544	هوائي رفتار
airstrip	0.550	0.690	0.649	هوائي پٽي
airtight	0.479	0.381	0.570	هوا بند
airway	0.638	0.585	0.482	هوائي رستو
aisle	0.438	0.222	0.283	aisle
ait	0.385	0.390	0.402	ايٽ
ajar	0.460	0.413	0.446	اجايو
aka	0.459	0.358	0.351	عرف
akin	0.639	0.343	0.523	هڪ جهڙو
alabaster	0.542	0.404	0.445	الابسٽر
alarm	0.241	0.882	0.698	الارم
alarm clock	0.542	0.727	0.642	الارم ڪلاڪ
alarmed	0.188	0.822	0.492	پريشان
alarming	0.204	0.890	0.585	خطرناڪ
alas	0.571	0.310	0.279	افسوس
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	البينو
album	0.635	0.349	0.453	البم
alchemy	0.541	0.583	0.693	ڪيميا
alcohol	0.323	0.667	0.377	شراب
alcoholic	0.153	0.688	0.361	شرابي
alcoholism	0.061	0.779	0.407	شراب نوشي
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	ايلڊرمين
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	خبردار
alertness	0.375	0.875	0.750	خبرداري
alerts	0.337	0.804	0.673	خبرداري
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	الجبرا
algebraic	0.531	0.412	0.441	الجبري
algorithm	0.448	0.394	0.559	الگورتھم
alias	0.541	0.353	0.333	عرف
alibi	0.396	0.528	0.556	عليبي
alien	0.410	0.615	0.491	اجنبي
alienate	0.247	0.500	0.523	ڌار ڪرڻ
alienated	0.410	0.423	0.559	ڌار ٿيل
alienation	0.378	0.530	0.462	اجنبي
alight	0.667	0.657	0.605	اُٿڻ
align	0.656	0.364	0.627	ترتيب ڏيڻ
aligned	0.583	0.275	0.553	ترتيب ڏنل
alignment	0.643	0.412	0.683	ترتيب ڏيڻ
alike	0.653	0.173	0.444	هڪجهڙو
alimentation	0.781	0.551	0.602	غذائيت
alimony	0.612	0.477	0.464	ڀاڳ
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	زنده
alkali	0.490	0.350	0.408	الڪلي
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	الائي
allegation	0.578	0.578	0.608	الزام
allege	0.418	0.482	0.587	الزام لڳائڻ
alleged	0.365	0.522	0.520	الزام
allegiance	0.917	0.398	0.750	وفاداري
allegorical	0.517	0.558	0.598	تمثيل وارو
allegory	0.615	0.580	0.509	تمثيل
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	الرجڪ
allergy	0.296	0.606	0.389	الرجي
alleviate	0.869	0.270	0.528	گھٽائڻ
alleviation	0.735	0.200	0.491	خاتمو
alley	0.347	0.500	0.355	گهٽي
alleyway	0.357	0.471	0.382	گهٽي
alliance	0.696	0.473	0.769	اتحاد
allied	0.714	0.245	0.642	اتحادي
alligator	0.354	0.704	0.645	مڇر
allocate	0.673	0.462	0.672	مختص ڪرڻ
allocation	0.604	0.388	0.679	مختص ڪرڻ
allot	0.622	0.481	0.616	الاٽ
allotment	0.600	0.390	0.640	مختص ڪرڻ
allow	0.698	0.429	0.538	اجازت ڏيڻ
allowable	0.698	0.500	0.561	قابل اجازت
allowance	0.673	0.382	0.591	الائونس
allowed	0.730	0.360	0.655	اجازت
alloy	0.583	0.443	0.593	مصرع
allsmiles	0.786	0.528	0.430	تمام مسڪرائيندڙ
allure	0.804	0.585	0.686	رغبت
alluring	0.837	0.745	0.843	دلڪش
allusion	0.440	0.308	0.462	اشارو
alluvial	0.323	0.490	0.491	جلندڙ
ally	0.792	0.320	0.688	اتحادي
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	قادر مطلق
almond	0.698	0.183	0.314	بادام
aloft	0.771	0.373	0.700	مٿي
aloha	0.698	0.440	0.441	الاهو
alone	0.333	0.167	0.216	اڪيلو
alongside	0.458	0.333	0.347	گڏو گڏ
aloof	0.189	0.423	0.302	پري
aloud	0.458	0.713	0.750	زور سان
alpha	0.708	0.340	0.755	الفا
alphabet	0.562	0.204	0.672	الفابيٽ
alphabetical	0.537	0.296	0.535	الفابيٽيڪل
alpine	0.594	0.337	0.474	الپائن
alreadyyyyy	0.592	0.717	0.351	اڳ ۾ ئي
altar	0.724	0.387	0.635	قربان گاهه
altar boy	0.434	0.206	0.350	قربان ڇوڪرو
alter	0.333	0.694	0.654	تبديل ڪرڻ
alteration	0.167	0.798	0.609	تبديلي
altercation	0.170	0.806	0.500	تڪرار
altered	0.255	0.765	0.500	تبديل ٿيل
alternate	0.625	0.363	0.589	متبادل
alternating	0.480	0.494	0.542	متبادل
alternative	0.628	0.373	0.631	متبادل
altimeter	0.615	0.510	0.580	الٽيميٽر
altitude	0.708	0.482	0.736	اونچائي
alto	0.656	0.404	0.730	آلٽو
altogether	0.833	0.324	0.644	مجموعي طور تي
aluminum	0.449	0.280	0.434	المونيم
alumnus	0.633	0.368	0.422	اڳوڻو شاگرد
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	الزائمر
amalgam	0.438	0.333	0.510	ضم
amalgamation	0.406	0.470	0.531	ضم ٿيڻ
amaretto	0.543	0.551	0.375	اميريٽو
amass	0.552	0.465	0.465	گڏ ڪرڻ
amateur	0.469	0.500	0.409	شوقين
amaze	0.896	0.843	0.783	حيران ڪرڻ
amazed	0.796	0.779	0.533	حيران
amazedness	0.827	0.872	0.510	حيرت
amazement	0.750	0.800	0.639	حيرت
amazing	0.906	0.837	0.849	حيرت انگيز
amazingly	0.918	0.765	0.920	حيرت انگيز طور
ambassador	0.651	0.529	0.917	سفير
amber	0.635	0.308	0.369	امبر
ambience	0.735	0.356	0.426	ماحول
ambient	0.625	0.360	0.582	ماحول
ambiguity	0.164	0.460	0.370	ابهام
ambiguous	0.265	0.462	0.358	ابهام وارو
ambit	0.479	0.380	0.386	دائرو
ambition	0.510	0.804	0.661	آرزو
ambitious	0.484	0.821	0.717	امڪاني
ambivalent	0.510	0.404	0.482	متضاد
ambrosia	0.571	0.452	0.480	امبروسيا
ambulance	0.500	0.750	0.609	ايمبولينس
ambush	0.281	0.830	0.500	گھات
ameliorate	0.770	0.548	0.747	بهتر ڪرڻ
amen	0.781	0.182	0.542	آمين
amenable	0.448	0.410	0.406	قابل قبول
amend	0.688	0.406	0.658	ترميم
amendment	0.531	0.459	0.606	ترميم
amends	0.640	0.366	0.517	ترميم ڪري ٿو
amenity	0.750	0.327	0.574	سهولت
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	ملنسار
amicable	0.875	0.330	0.507	ملنسار
