English Word	Valence	Arousal	Dominance	Bengali Word
accountant	0.625	0.450	0.639	হিসাবরক্ষক
accounting	0.552	0.390	0.677	অ্যাকাউন্টিং
accounts	0.592	0.340	0.471	হিসাব
accredited	0.669	0.479	0.768	স্বীকৃত
accretion	0.448	0.519	0.672	বৃদ্ধি
accrue	0.520	0.481	0.602	জমা
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	জমা করা
accumulation	0.479	0.527	0.600	সঞ্চয়
accuracy	0.604	0.481	0.802	সঠিকতা
accurate	0.743	0.360	0.737	সঠিক
accursed	0.135	0.745	0.345	অভিশপ্ত
accusation	0.073	0.718	0.564	অভিযোগ
accusative	0.198	0.755	0.482	অভিযুক্ত
accuse	0.133	0.752	0.500	অভিযুক্ত করা
accused	0.130	0.670	0.420	অভিযুক্ত
accuser	0.122	0.779	0.615	অভিযুক্ত
accusing	0.156	0.745	0.324	অভিযুক্ত
accustomed	0.542	0.365	0.441	অভ্যস্ত
ace	0.643	0.481	0.546	টেক্কা
acetic	0.333	0.420	0.519	অ্যাসিটিক
acetylene	0.306	0.469	0.509	অ্যাসিটিলিন
ache	0.146	0.760	0.312	ব্যথা
achieve	0.816	0.545	0.843	অর্জন
achieved	0.896	0.519	0.775	অর্জন
achievement	0.896	0.808	0.759	অর্জন
aching	0.053	0.880	0.348	ধরা
achy	0.167	0.840	0.373	ব্যথা
acid	0.265	0.642	0.566	অ্যাসিড
acidity	0.156	0.663	0.360	অম্লতা
acknowledge	0.786	0.370	0.661	স্বীকার
acknowledged	0.714	0.443	0.765	স্বীকৃত
acknowledgement	0.819	0.539	0.830	স্বীকৃতি
acknowledgment	0.796	0.528	0.777	স্বীকৃতি
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ব্রণ
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	শাব্দিক
acoustics	0.611	0.330	0.509	ধ্বনিবিদ্যা
acquaint	0.646	0.491	0.639	পরিচিত
acquaintance	0.656	0.290	0.670	পরিচিতি
acquainted	0.906	0.358	0.632	পরিচিত
acquiescence	0.542	0.480	0.554	সম্মতি
acquire	0.833	0.468	0.700	অর্জন
acquiring	0.735	0.510	0.817	অর্জন
acquisition	0.698	0.509	0.736	অধিগ্রহণ
acquisitions	0.773	0.660	0.790	অধিগ্রহণ
acquit	0.583	0.571	0.611	খালাস
acquittal	0.760	0.497	0.700	খালাস
acre	0.583	0.387	0.423	একর
acreage	0.741	0.450	0.528	একরজ
acres	0.510	0.363	0.500	একর
acrobat	0.708	0.828	0.602	অ্যাক্রোব্যাট
acrylic	0.582	0.279	0.420	এক্রাইলিক
act	0.656	0.704	0.735	আইন
acting	0.698	0.643	0.500	অভিনয়
action	0.760	0.898	0.802	কর্ম
action figure	0.615	0.774	0.611	কর্ম চিত্র
actionable	0.673	0.702	0.613	কর্মযোগ্য
activate	0.764	0.650	0.806	সক্রিয় করা
activation	0.781	0.800	0.754	সক্রিয়করণ
active	0.847	0.730	0.731	সক্রিয়
activist	0.531	0.653	0.877	কর্মী
activity	0.701	0.660	0.807	কার্যকলাপ
actor	0.653	0.561	0.629	অভিনেতা
actress	0.633	0.556	0.596	অভিনেত্রী
actual	0.729	0.400	0.716	আসল
actuality	0.750	0.464	0.600	বাস্তবতা
actuary	0.510	0.404	0.491	অ্যাকচুয়ারি
acuity	0.469	0.378	0.741	তীক্ষ্ণতা
acumen	0.564	0.660	0.679	কুশলতা
acupuncture	0.531	0.324	0.549	আকুপাংচার
acute	0.427	0.652	0.534	তীব্র
acutely	0.417	0.543	0.491	তীব্রভাবে
ad	0.521	0.705	0.558	বিজ্ঞাপন
adage	0.517	0.415	0.566	প্রবাদ
adamant	0.344	0.529	0.575	অনমনীয়
adapt	0.740	0.355	0.551	মানিয়ে নেওয়া
adaptable	0.735	0.423	0.641	অভিযোজিত
adaptation	0.663	0.365	0.609	অভিযোজন
add	0.728	0.490	0.554	যোগ করুন
added	0.562	0.405	0.509	যোগ করা হয়েছে
addendum	0.392	0.370	0.418	সংযোজন
adder	0.388	0.461	0.588	যোগকারী
addict	0.075	0.696	0.327	আসক্ত
addicted	0.156	0.712	0.483	আসক্ত
addiction	0.180	0.806	0.420	অনুরতি
addictive	0.302	0.683	0.472	আসক্ত
addition	0.562	0.373	0.471	সংযোজন
additional	0.673	0.462	0.526	অতিরিক্ত
additive	0.561	0.633	0.691	সংযোজনকারী
address	0.650	0.327	0.567	ঠিকানা
addressee	0.622	0.382	0.538	ঠিকানা
addresses	0.510	0.354	0.450	ঠিকানা
adept	0.594	0.539	0.789	পারদর্শী
adequacy	0.615	0.435	0.702	পর্যাপ্ততা
adequate	0.854	0.264	0.705	পর্যাপ্ত
adhere	0.633	0.339	0.554	মেনে চলা
adherence	0.760	0.307	0.630	আনুগত্য
adherent	0.561	0.385	0.555	অনুগত
adhering	0.612	0.561	0.537	adhering
adhesion	0.521	0.445	0.586	আনুগত্য
adhesive	0.604	0.350	0.413	আঠালো
adieu	0.250	0.471	0.342	বিদায়
adipose	0.333	0.350	0.391	চর্বিযুক্ত
adjacency	0.365	0.417	0.375	সংলগ্নতা
adjacent	0.645	0.276	0.536	সংলগ্ন
adjective	0.570	0.316	0.569	বিশেষণ
adjoining	0.520	0.400	0.393	সংলগ্ন
adjourn	0.385	0.456	0.475	স্থগিত করা
adjournment	0.438	0.510	0.370	স্থগিত
adjudicate	0.559	0.520	0.683	বিচার করা
adjudication	0.551	0.462	0.691	বিচার
adjunct	0.459	0.440	0.426	সংযোজন
adjust	0.647	0.327	0.638	সামঞ্জস্য করা
adjuster	0.510	0.540	0.760	সমন্বয়কারী
adjustment	0.590	0.520	0.661	সমন্বয়
adjuvant	0.510	0.500	0.456	সহায়ক
admin	0.688	0.420	0.854	অ্যাডমিন
administer	0.635	0.425	0.860	পরিচালনা
administration	0.625	0.404	0.786	প্রশাসন
administrative	0.542	0.415	0.579	প্রশাসনিক
administrator	0.538	0.480	0.902	প্রশাসক
admirable	0.929	0.600	0.870	প্রশংসনীয়
admiral	0.844	0.490	0.847	অ্যাডমিরাল
admiralty	0.594	0.547	0.733	অ্যাডমিরালটি
admiration	0.969	0.583	0.726	প্রশংসা
admire	0.867	0.692	0.704	প্রশংসা করা
admired	0.917	0.560	0.815	প্রশংসিত
admirer	0.796	0.720	0.650	প্রশংসক
admiring	0.867	0.578	0.629	admiring
admissibility	0.802	0.580	0.602	গ্রহণযোগ্যতা
admissible	0.780	0.528	0.642	গ্রহণযোগ্য
admission	0.802	0.415	0.732	ভর্তি
admit	0.538	0.423	0.667	স্বীকার করা
admittance	0.690	0.451	0.598	ভর্তি
admitted	0.720	0.490	0.767	ভর্তি
admitting	0.620	0.500	0.546	স্বীকার
admixture	0.450	0.375	0.438	মিশ্রণ
admonition	0.357	0.606	0.455	উপদেশ
ado	0.520	0.423	0.385	আড্ডা
adobe	0.500	0.319	0.328	অ্যাডোব
adolescence	0.487	0.694	0.444	কৈশোর
adolescent	0.781	0.680	0.509	কিশোর
adopt	0.694	0.612	0.701	গ্রহণ
adoption	0.625	0.566	0.589	দত্তক
adoptive	0.531	0.469	0.520	দত্তক
adorable	0.969	0.519	0.457	আরাধ্য
adoration	0.885	0.699	0.708	আরাধনা
adore	0.854	0.438	0.657	পূজা
adoring	0.885	0.620	0.717	adoring
adorn	0.910	0.424	0.482	শোভা
adornment	0.918	0.373	0.377	অলঙ্করণ
adrenalin	0.865	0.920	0.786	অ্যাড্রেনালিন
adrenaline	0.765	0.965	0.825	অ্যাড্রেনালিন
adrift	0.398	0.486	0.230	প্রবাহিত
adult	0.815	0.491	0.787	প্রাপ্তবয়স্ক
adulterated	0.188	0.865	0.370	ভেজাল
adulterer	0.229	0.814	0.407	ব্যভিচারী
adultery	0.120	0.922	0.510	ব্যভিচার
adulthood	0.541	0.454	0.652	যৌবন
advance	0.673	0.472	0.858	অগ্রিম
advanced	0.844	0.623	0.797	উন্নত
advancement	0.776	0.650	0.839	অগ্রগতি
advancing	0.929	0.608	0.812	অগ্রসর
advantage	0.917	0.548	0.859	সুবিধা
advantageous	0.837	0.640	0.789	সুবিধাজনক
advent	0.665	0.560	0.627	আবির্ভাব
adventure	0.917	0.857	0.710	অ্যাডভেঞ্চার
adventurer	0.781	0.839	0.868	দুঃসাহসিক
adventures	0.812	0.764	0.749	অ্যাডভেঞ্চার
adventurous	0.969	0.898	0.722	দুঃসাহসিক
adversary	0.349	0.777	0.457	প্রতিপক্ষ
adverse	0.323	0.610	0.385	প্রতিকূল
adversity	0.276	0.760	0.538	প্রতিকূলতা
advertise	0.500	0.529	0.580	বিজ্ঞাপন
advertisement	0.600	0.566	0.539	বিজ্ঞাপন
advertising	0.622	0.608	0.632	বিজ্ঞাপন
adverts	0.551	0.500	0.595	বিজ্ঞাপন
advice	0.698	0.408	0.688	উপদেশ
advisable	0.867	0.480	0.510	পরামর্শযোগ্য
advise	0.760	0.393	0.705	পরামর্শ
advised	0.823	0.330	0.509	পরামর্শ
advisement	0.698	0.235	0.655	পরামর্শ
adviser	0.745	0.362	0.705	উপদেষ্টা
advisor	0.646	0.350	0.689	উপদেষ্টা
advisory	0.656	0.429	0.633	উপদেশ
advocacy	0.500	0.646	0.731	ওকালতি
advocate	0.551	0.530	0.818	উকিল
aegis	0.490	0.439	0.462	এজিস
aeration	0.550	0.500	0.433	বায়ুচলাচল
aerial	0.615	0.461	0.463	বায়বীয়
aerobics	0.708	0.771	0.627	এরোবিকস
aerodrome	0.541	0.740	0.678	এরোড্রম
aerodynamic	0.561	0.724	0.728	এরোডাইনামিক
aerodynamics	0.590	0.663	0.722	বায়ুগতিবিদ্যা
aeronautics	0.551	0.633	0.688	বৈমানিক
aeroplane	0.714	0.642	0.644	বিমান
aerospace	0.643	0.520	0.779	মহাকাশ
aesthetic	0.708	0.442	0.526	নান্দনিক
aesthetics	0.847	0.327	0.549	নান্দনিকতা
aetiology	0.480	0.398	0.615	এটিওলজি
afar	0.396	0.373	0.358	দূরে
affable	0.704	0.380	0.452	সহানুভূতিশীল
affair	0.520	0.459	0.657	ব্যাপার
affect	0.458	0.569	0.578	প্রভাবিত
affecting	0.350	0.574	0.394	প্রভাবিত
affection	0.898	0.559	0.696	স্নেহ
affectionate	0.949	0.422	0.550	স্নেহপূর্ণ
affections	0.760	0.547	0.655	অনুরাগ
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	হলফনামা
affiliated	0.673	0.519	0.535	সম্বন্ধযুক্ত
affiliation	0.615	0.594	0.500	অধিভুক্তি
affinity	0.800	0.500	0.537	সম্বন্ধ
affirm	0.745	0.509	0.731	নিশ্চিত করা
affirmation	0.750	0.500	0.689	নিশ্চিতকরণ
affirmative	0.854	0.589	0.816	ইতিবাচক
affirmatively	0.908	0.500	0.811	ইতিবাচকভাবে
affix	0.438	0.335	0.411	সংযুক্ত করা
afflict	0.302	0.555	0.293	কষ্ট
afflicted	0.271	0.500	0.167	পীড়িত
affliction	0.294	0.635	0.392	দুঃখ
affluence	0.663	0.618	0.722	সমৃদ্ধি
affluent	0.756	0.388	0.477	সমৃদ্ধ
afford	0.571	0.580	0.575	সামর্থ্য
affordable	0.840	0.398	0.493	সাশ্রয়ী মূল্যের
affront	0.327	0.740	0.547	অপমান
affronted	0.385	0.750	0.527	অপমানিত
afield	0.594	0.370	0.373	দূরে
afire	0.367	0.904	0.675	আগুন
afloat	0.602	0.427	0.444	ভাসমান
afore	0.500	0.337	0.382	আগে
aforementioned	0.490	0.316	0.408	পূর্বোক্ত
aforesaid	0.531	0.358	0.478	পূর্বোক্ত
afraid	0.010	0.775	0.245	ভয়
afresh	0.643	0.521	0.480	নতুন করে
aft	0.480	0.417	0.518	পিছনে
afterlife	0.571	0.567	0.568	পরকাল
aftermath	0.312	0.449	0.444	পরবর্তী
afternoon	0.533	0.388	0.339	বিকেল
aftershave	0.406	0.384	0.415	আফটারশেভ
aftertaste	0.354	0.362	0.455	আফটারটেস্ট
afterthought	0.396	0.392	0.349	পরে চিন্তা
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	বয়স
aged	0.135	0.365	0.236	বুড়া
agency	0.460	0.296	0.583	সংস্থা
agenda	0.531	0.296	0.553	আলোচ্যসূচি
agent	0.480	0.439	0.755	প্রতিনিধি
agglomeration	0.450	0.765	0.509	জমাট
aggravate	0.224	0.770	0.464	উত্তেজিত করা
aggravated	0.079	0.760	0.430	উত্তেজিত
aggravates	0.108	0.778	0.357	বাড়িয়ে তোলে
aggravating	0.257	0.794	0.640	উত্তেজক
aggravation	0.071	0.784	0.613	উত্তেজনা
aggregate	0.730	0.378	0.556	সমষ্টি
aggregation	0.583	0.517	0.694	সমষ্টি
aggresive	0.059	0.971	0.639	আক্রমণাত্মক
aggression	0.094	0.929	0.533	আগ্রাসন
aggressive	0.125	0.949	0.648	আক্রমণাত্মক
aggressively	0.250	0.926	0.688	আক্রমণাত্মকভাবে
aggressiveness	0.077	0.913	0.648	আক্রমনাত্মকতা
aggressor	0.146	0.948	0.823	আক্রমণকারী
agh	0.260	0.500	0.400	আহ
aghast	0.133	0.865	0.464	আতঙ্কগ্রস্ত
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	কর্মতত্পর
agility	0.720	0.702	0.815	তত্পরতা
aging	0.214	0.255	0.284	বার্ধক্য
agitate	0.300	0.796	0.593	উত্তেজিত করা
agitated	0.444	0.882	0.491	উত্তেজিত
agitation	0.240	0.931	0.447	আন্দোলন
aglow	0.780	0.510	0.797	চকচকে
agnostic	0.306	0.396	0.574	অজ্ঞেয়বাদী
ago	0.317	0.280	0.404	আগে
agonizing	0.083	0.800	0.340	যন্ত্রণাদায়ক
agony	0.083	0.775	0.393	যন্ত্রণা
agoraphobia	0.127	0.712	0.438	অ্যাগোরাফোবিয়া
agree	0.906	0.260	0.545	একমত
agreeable	0.906	0.500	0.696	সম্মত
agreed	0.797	0.449	0.574	সম্মত
agreeing	0.854	0.480	0.557	সম্মত
agreement	0.760	0.440	0.736	চুক্তি
agressive	0.083	0.918	0.751	আক্রমণাত্মক
agricultural	0.686	0.321	0.473	কৃষি
agriculture	0.640	0.357	0.465	কৃষি
aground	0.333	0.340	0.445	আশেপাশে
agua	0.598	0.180	0.436	আগুয়া
ahead	0.708	0.520	0.673	এগিয়ে
ahhh	0.562	0.517	0.241	আহহহ
ahhhhhhhh	0.552	0.649	0.288	আহহহহহহহ
ahoy	0.500	0.497	0.380	আহয়
aid	0.796	0.491	0.541	সাহায্য
aide	0.724	0.342	0.434	সহায়
aiding	0.643	0.533	0.569	সাহায্যকারী
aids	0.561	0.480	0.500	এইডস
ail	0.375	0.434	0.385	অসুস্থ
ailing	0.094	0.518	0.153	অসুস্থ
ailment	0.146	0.734	0.277	অসুস্থতা
aim	0.481	0.569	0.567	লক্ষ্য
aimless	0.150	0.267	0.183	লক্ষ্যহীন
air	0.708	0.163	0.427	বায়ু
airbag	0.510	0.402	0.433	এয়ারব্যাগ
airborne	0.542	0.519	0.385	বায়ুবাহিত
aircraft	0.646	0.644	0.691	বিমান
aircraft carrier	0.490	0.740	0.727	বিমান বাহক
airfield	0.601	0.650	0.645	এয়ারফিল্ড
airhead	0.271	0.481	0.276	এয়ারহেড
airlift	0.573	0.622	0.642	এয়ারলিফট
airline	0.650	0.482	0.688	এয়ারলাইন
airliner	0.667	0.777	0.647	বিমান
airlock	0.398	0.520	0.447	এয়ারলক
airman	0.587	0.716	0.721	এয়ারম্যান
airplane	0.719	0.702	0.708	বিমান
airport	0.729	0.684	0.682	বিমানবন্দর
airs	0.583	0.196	0.370	বায়ু
airship	0.542	0.472	0.529	আকাশযান
airspace	0.562	0.510	0.640	আকাশসীমা
airspeed	0.583	0.780	0.544	বায়ুগতি
airstrip	0.550	0.690	0.649	এয়ারস্ট্রিপ
airtight	0.479	0.381	0.570	বায়ুরোধী
airway	0.638	0.585	0.482	শ্বাসনালী
aisle	0.438	0.222	0.283	করিডোর
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	আজার
aka	0.459	0.358	0.351	ওরফে
akin	0.639	0.343	0.523	সদৃশ
alabaster	0.542	0.404	0.445	আলাবাস্টার
alarm	0.241	0.882	0.698	এলার্ম
alarm clock	0.542	0.727	0.642	অ্যালার্মঘড়ি
alarmed	0.188	0.822	0.492	শঙ্কিত
alarming	0.204	0.890	0.585	উদ্বেগজনক
alas	0.571	0.310	0.279	হায়
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	আলবাট্রস
albino	0.500	0.240	0.358	অ্যালবিনো
album	0.635	0.349	0.453	অ্যালবাম
alchemy	0.541	0.583	0.693	রসায়ন
alcohol	0.323	0.667	0.377	অ্যালকোহল
alcoholic	0.153	0.688	0.361	মদ্যপ
alcoholism	0.061	0.779	0.407	মদ্যপান
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	এল্ডারম্যান
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	সতর্ক
alertness	0.375	0.875	0.750	সতর্কতা
alerts	0.337	0.804	0.673	সতর্কতা
alfalfa	0.546	0.250	0.311	আলফালফা
algebra	0.440	0.340	0.565	বীজগণিত
algebraic	0.531	0.412	0.441	বীজগণিত
algorithm	0.448	0.394	0.559	অ্যালগরিদম
alias	0.541	0.353	0.333	উপনাম
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	পরক
alienate	0.247	0.500	0.523	বিচ্ছিন্ন করা
alienated	0.410	0.423	0.559	বিচ্ছিন্ন
alienation	0.378	0.530	0.462	বিচ্ছিন্নতা
alight	0.667	0.657	0.605	অবতরণ
align	0.656	0.364	0.627	সারিবদ্ধ
aligned	0.583	0.275	0.553	সারিবদ্ধ
alignment	0.643	0.412	0.683	প্রান্তিককরণ
alike	0.653	0.173	0.444	একইভাবে
alimentation	0.781	0.551	0.602	খাওয়ানো
alimony	0.612	0.477	0.464	ভরণপোষণ
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	জীবিত
alkali	0.490	0.350	0.408	ক্ষার
alkaloids	0.433	0.562	0.402	অ্যালকালয়েড
allay	0.417	0.406	0.398	আলয়
allegation	0.578	0.578	0.608	অভিযোগ
allege	0.418	0.482	0.587	অভিযোগ
alleged	0.365	0.522	0.520	অভিযুক্ত
allegiance	0.917	0.398	0.750	আনুগত্য
allegorical	0.517	0.558	0.598	রূপক
allegory	0.615	0.580	0.509	রূপক
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	এলার্জি
allergy	0.296	0.606	0.389	এলার্জি
alleviate	0.869	0.270	0.528	উপশম করা
alleviation	0.735	0.200	0.491	উপশম
alley	0.347	0.500	0.355	গলি
alleyway	0.357	0.471	0.382	গলিপথ
alliance	0.696	0.473	0.769	জোট
allied	0.714	0.245	0.642	মিত্র
alligator	0.354	0.704	0.645	অ্যালিগেটর
allocate	0.673	0.462	0.672	বরাদ্দ
allocation	0.604	0.388	0.679	বরাদ্দ
allot	0.622	0.481	0.616	বরাদ্দ
allotment	0.600	0.390	0.640	বরাদ্দ
allow	0.698	0.429	0.538	অনুমতি
allowable	0.698	0.500	0.561	অনুমোদিত
allowance	0.673	0.382	0.591	ভাতা
allowed	0.730	0.360	0.655	অনুমোদিত
alloy	0.583	0.443	0.593	খাদ
allsmiles	0.786	0.528	0.430	সব হাসি
allure	0.804	0.585	0.686	মোহন
alluring	0.837	0.745	0.843	লোভনীয়
allusion	0.440	0.308	0.462	ইঙ্গিত
alluvial	0.323	0.490	0.491	পলিমাটি
ally	0.792	0.320	0.688	মিত্র
almanac	0.688	0.190	0.412	পঞ্জিকা
almighty	0.938	0.874	0.958	সর্বশক্তিমান
almond	0.698	0.183	0.314	বাদাম
aloft	0.771	0.373	0.700	aloft
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	একা
alongside	0.458	0.333	0.347	এর পাশাপাশি
aloof	0.189	0.423	0.302	নির্লিপ্ত
aloud	0.458	0.713	0.750	সশব্দে
alpha	0.708	0.340	0.755	আলফা
alphabet	0.562	0.204	0.672	বর্ণমালা
alphabetical	0.537	0.296	0.535	বর্ণানুক্রমিক
alpine	0.594	0.337	0.474	আলপাইন
alreadyyyyy	0.592	0.717	0.351	ইতিমধ্যেই
altar	0.724	0.387	0.635	বেদী
altar boy	0.434	0.206	0.350	বেদি ছেলে
alter	0.333	0.694	0.654	পরিবর্তন
alteration	0.167	0.798	0.609	পরিবর্তন
altercation	0.170	0.806	0.500	ঝগড়া
altered	0.255	0.765	0.500	পরিবর্তিত
alternate	0.625	0.363	0.589	বিকল্প
alternating	0.480	0.494	0.542	পর্যায়ক্রমে
alternative	0.628	0.373	0.631	বিকল্প
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	উচ্চতা
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	সব মিলিয়ে
aluminum	0.449	0.280	0.434	অ্যালুমিনিয়াম
alumnus	0.633	0.368	0.422	প্রাক্তন ছাত্র
alveolar	0.469	0.481	0.367	অ্যালভিওলার
alzheimers	0.194	0.518	0.319	আলঝাইমার
amalgam	0.438	0.333	0.510	অ্যামলগাম
amalgamation	0.406	0.470	0.531	একত্রিতকরণ
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	সংগ্রহ করা
