English Word	Valence	Arousal	Dominance	Sesotho Word
absence	0.153	0.235	0.266	bosieo
absent	0.177	0.221	0.116	absent
absentee	0.235	0.330	0.279	sieo
absenteeism	0.404	0.273	0.357	ho ba sieo mosebetsing
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	feletseng
absolution	0.715	0.500	0.664	absolution
absolve	0.684	0.449	0.660	hlakola
absorb	0.469	0.558	0.670	monyela
absorbed	0.490	0.471	0.519	monyela
absorbent	0.552	0.394	0.718	monyetla
absorbing	0.490	0.490	0.578	monya
absorption	0.609	0.422	0.446	ho monya
abstain	0.385	0.385	0.427	ila
abstention	0.271	0.264	0.509	ho ila
abstinence	0.260	0.392	0.429	ho ila
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	bohlanya
absurdity	0.115	0.528	0.227	bohlanya
abundance	0.812	0.690	0.852	bongata
abundant	0.958	0.590	0.760	a mangata
abuse	0.071	0.873	0.469	tlhekefetso
abused	0.021	0.874	0.235	hlekefetsoa
abusive	0.125	0.903	0.567	hlekefetsa
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	nyatsehang
abyss	0.353	0.725	0.296	mohohlo
academic	0.781	0.420	0.812	thuto
academy	0.704	0.473	0.792	akatemi
accede	0.698	0.510	0.537	kena
accelerant	0.643	0.844	0.802	e potlakisang
accelerate	0.615	0.902	0.759	potlakisa
accelerated	0.610	0.812	0.682	potlakisitsoe
acceleration	0.704	0.905	0.843	potlakiso
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	puo ya puo
accentuate	0.673	0.556	0.667	toboketsa
accept	0.847	0.286	0.565	amohela
acceptable	0.812	0.286	0.583	amohelehile
acceptance	0.833	0.287	0.755	kamohelo
acceptances	0.847	0.413	0.648	likamohelo
access	0.714	0.472	0.567	phihlello
accessible	0.796	0.410	0.645	fihlella
accession	0.612	0.383	0.636	ho kena
accessory	0.562	0.292	0.445	tlatsetso
accident	0.125	0.908	0.336	kotsi
accidental	0.319	0.784	0.307	ka phoso
accidentally	0.333	0.741	0.333	ka phoso
acclaim	0.562	0.809	0.718	thoholetsa
accolade	0.688	0.591	0.775	thoholetsa
accommodate	0.844	0.375	0.566	amohela
accommodation	0.817	0.415	0.587	bodulo
accompaniment	0.740	0.479	0.695	felehetsa
accompany	0.833	0.406	0.585	felehetsa
accompanying	0.787	0.460	0.582	e tsamaeang le
accomplice	0.408	0.580	0.510	tlatselletsa
accomplish	0.929	0.673	0.816	finyella
accomplished	0.870	0.520	0.798	phethile
accomplishment	0.917	0.694	0.888	phihlello
accord	0.898	0.264	0.382	tumellano
accordance	0.659	0.349	0.600	tumellanong
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	akhaonte
accountability	0.755	0.537	0.833	boikarabello
accountable	0.709	0.282	0.777	ikarabellang
accountant	0.625	0.450	0.639	rakhaonto
accounting	0.552	0.390	0.677	accounting
accounts	0.592	0.340	0.471	litlaleho
accredited	0.669	0.479	0.768	amohetsoe
accretion	0.448	0.519	0.672	accretion
accrue	0.520	0.481	0.602	eketsa
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	bokella
accumulation	0.479	0.527	0.600	pokeletso
accuracy	0.604	0.481	0.802	nepahalo
accurate	0.743	0.360	0.737	e nepahetseng
accursed	0.135	0.745	0.345	rohakiloe
accusation	0.073	0.718	0.564	qoso
accusative	0.198	0.755	0.482	qosa
accuse	0.133	0.752	0.500	qosa
accused	0.130	0.670	0.420	qosoa
accuser	0.122	0.779	0.615	moqosi
accusing	0.156	0.745	0.324	qosa
accustomed	0.542	0.365	0.441	tlwaetse
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	bohloko
achieve	0.816	0.545	0.843	finyella
achieved	0.896	0.519	0.775	fihlelletsoe
achievement	0.896	0.808	0.759	phihlello
aching	0.053	0.880	0.348	bohloko
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	asiti
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	amohela
acknowledged	0.714	0.443	0.765	ananetsoe
acknowledgement	0.819	0.539	0.830	kananelo
acknowledgment	0.796	0.528	0.777	kananelo
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	makhopho
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	tloaelana
acquaintance	0.656	0.290	0.670	tloaelano
acquainted	0.906	0.358	0.632	tloaelane
acquiescence	0.542	0.480	0.554	kamohelo
acquire	0.833	0.468	0.700	fumana
acquiring	0.735	0.510	0.817	ho fumana
acquisition	0.698	0.509	0.736	ho fumana
acquisitions	0.773	0.660	0.790	kamohelo
acquit	0.583	0.571	0.611	lokolla
acquittal	0.760	0.497	0.700	ho lokoloha
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	lihekthere
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	ketso
acting	0.698	0.643	0.500	ho etsa
action	0.760	0.898	0.802	ketso
action figure	0.615	0.774	0.611	setšoantšo sa ketso
actionable	0.673	0.702	0.613	ka sebetsa
activate	0.764	0.650	0.806	kenya tshebetsong
activation	0.781	0.800	0.754	kenya tshebetsong
active	0.847	0.730	0.731	mafolofolo
activist	0.531	0.653	0.877	moitseki
activity	0.701	0.660	0.807	mosebetsi
actor	0.653	0.561	0.629	sebapali
actress	0.633	0.556	0.596	setšoantšisi
actual	0.729	0.400	0.716	ea sebele
actuality	0.750	0.464	0.600	nnete
actuary	0.510	0.404	0.491	setsebi
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	ho hlaba ka linalete
acute	0.427	0.652	0.534	e hlobaetsang
acutely	0.417	0.543	0.491	ka bohale
ad	0.521	0.705	0.558	papatso
adage	0.517	0.415	0.566	maele
adamant	0.344	0.529	0.575	tsietsing
adapt	0.740	0.355	0.551	ikamahanya le maemo
adaptable	0.735	0.423	0.641	tenyetsehang
adaptation	0.663	0.365	0.609	ho ikamahanya le maemo
add	0.728	0.490	0.554	eketsa
added	0.562	0.405	0.509	eketsoe
addendum	0.392	0.370	0.418	tlatsetso
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	lemalla
addicted	0.156	0.712	0.483	lemalletse
addiction	0.180	0.806	0.420	ho lemalla
addictive	0.302	0.683	0.472	lemalla
addition	0.562	0.373	0.471	tlatsetso
additional	0.673	0.462	0.526	tlatsetso
additive	0.561	0.633	0.691	tlatsetso
address	0.650	0.327	0.567	aterese
addressee	0.622	0.382	0.538	addressee
addresses	0.510	0.354	0.450	liaterese
adept	0.594	0.539	0.789	hloahloa
adequacy	0.615	0.435	0.702	lekane
adequate	0.854	0.264	0.705	lekaneng
adhere	0.633	0.339	0.554	khomarela
adherence	0.760	0.307	0.630	ho khomarela
adherent	0.561	0.385	0.555	adherent
adhering	0.612	0.561	0.537	ho khomarela
adhesion	0.521	0.445	0.586	ho khomarela
adhesive	0.604	0.350	0.413	sekgomaretsi
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	haufi
adjacent	0.645	0.276	0.536	haufi
adjective	0.570	0.316	0.569	lehlalosi
adjoining	0.520	0.400	0.393	e kopaneng
adjourn	0.385	0.456	0.475	khefutsa
adjournment	0.438	0.510	0.370	khefutso
adjudicate	0.559	0.520	0.683	ahlola
adjudication	0.551	0.462	0.691	kahlolo
adjunct	0.459	0.440	0.426	tlatsetso
adjust	0.647	0.327	0.638	lokisa
adjuster	0.510	0.540	0.760	mofetoheli
adjustment	0.590	0.520	0.661	tokiso
adjuvant	0.510	0.500	0.456	motlatsi
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	tsamaisa
administration	0.625	0.404	0.786	tsamaiso
administrative	0.542	0.415	0.579	tsamaiso
administrator	0.538	0.480	0.902	motsamaisi
admirable	0.929	0.600	0.870	ya babatsehang
admiral	0.844	0.490	0.847	moemeli
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	ho hlolloa
admire	0.867	0.692	0.704	hlolla
admired	0.917	0.560	0.815	hlolloa
admirer	0.796	0.720	0.650	motho ya ratang
admiring	0.867	0.578	0.629	ho babatsa
admissibility	0.802	0.580	0.602	kamohelo
admissible	0.780	0.528	0.642	amohelehile
admission	0.802	0.415	0.732	kamohelo
admit	0.538	0.423	0.667	dumela
admittance	0.690	0.451	0.598	kamohelo
admitted	0.720	0.490	0.767	amohetsoe
admitting	0.620	0.500	0.546	ho dumela
admixture	0.450	0.375	0.438	motsoako
admonition	0.357	0.606	0.455	keletso
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	bocha
adolescent	0.781	0.680	0.509	mocha
adopt	0.694	0.612	0.701	amohela
adoption	0.625	0.566	0.589	ho nkeloa ka lapeng
adoptive	0.531	0.469	0.520	amohela
adorable	0.969	0.519	0.457	ratehang
adoration	0.885	0.699	0.708	khumamelo
adore	0.854	0.438	0.657	khumamela
adoring	0.885	0.620	0.717	adoring
adorn	0.910	0.424	0.482	kgabisa
adornment	0.918	0.373	0.377	mokgabo
adrenalin	0.865	0.920	0.786	adrenaline
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	motho e moholo
adulterated	0.188	0.865	0.370	feditsoe
adulterer	0.229	0.814	0.407	mofebi
adultery	0.120	0.922	0.510	bofebe
adulthood	0.541	0.454	0.652	motho e moholo
advance	0.673	0.472	0.858	tsoelo-pele
advanced	0.844	0.623	0.797	e tsoetseng pele
advancement	0.776	0.650	0.839	tsoelopele
advancing	0.929	0.608	0.812	kgatelopele
advantage	0.917	0.548	0.859	molemo
advantageous	0.837	0.640	0.789	molemo
advent	0.665	0.560	0.627	ho fihla
adventure	0.917	0.857	0.710	boithatelo
adventurer	0.781	0.839	0.868	mohahlauli
adventures	0.812	0.764	0.749	maiphihlelo
adventurous	0.969	0.898	0.722	mahlahahlaha
adversary	0.349	0.777	0.457	mohanyetsi
adverse	0.323	0.610	0.385	e mpe
adversity	0.276	0.760	0.538	tsietsi
advertise	0.500	0.529	0.580	bapatsa
advertisement	0.600	0.566	0.539	papatso
advertising	0.622	0.608	0.632	papatso
adverts	0.551	0.500	0.595	lipapatso
advice	0.698	0.408	0.688	keletso
advisable	0.867	0.480	0.510	bohlale
advise	0.760	0.393	0.705	eletsa
advised	0.823	0.330	0.509	eletsa
advisement	0.698	0.235	0.655	keletso
adviser	0.745	0.362	0.705	moeletsi
advisor	0.646	0.350	0.689	moeletsi
advisory	0.656	0.429	0.633	keletso
advocacy	0.500	0.646	0.731	bobuelli
advocate	0.551	0.530	0.818	buella
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	moeeng
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	boema-fofane
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	tsa sefofane
aeroplane	0.714	0.642	0.644	sefofane
aerospace	0.643	0.520	0.779	sefofane
aesthetic	0.708	0.442	0.526	botle bo botle
aesthetics	0.847	0.327	0.549	botle ba botle
aetiology	0.480	0.398	0.615	aetiology
afar	0.396	0.373	0.358	hole
affable	0.704	0.380	0.452	tshoanyehang
affair	0.520	0.459	0.657	taba
affect	0.458	0.569	0.578	ama
affecting	0.350	0.574	0.394	amang
affection	0.898	0.559	0.696	lerato
affectionate	0.949	0.422	0.550	lerato
affections	0.760	0.547	0.655	maikutlo a lerato
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	afidaviti
affiliated	0.673	0.519	0.535	kopanetsoe
affiliation	0.615	0.594	0.500	kamano
affinity	0.800	0.500	0.537	kamano
affirm	0.745	0.509	0.731	tiisa
affirmation	0.750	0.500	0.689	tiisetso
affirmative	0.854	0.589	0.816	e tiisang
affirmatively	0.908	0.500	0.811	ka tieo
affix	0.438	0.335	0.411	khomaretsa
afflict	0.302	0.555	0.293	hlokofatsa
afflicted	0.271	0.500	0.167	hlomohile
affliction	0.294	0.635	0.392	mahlomola
affluence	0.663	0.618	0.722	letlotlo
affluent	0.756	0.388	0.477	morui
afford	0.571	0.580	0.575	khona
affordable	0.840	0.398	0.493	theko e tlaase
affront	0.327	0.740	0.547	nyefola
affronted	0.385	0.750	0.527	hlabehile
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	tukang
afloat	0.602	0.427	0.444	phaphametse
afore	0.500	0.337	0.382	pele
aforementioned	0.490	0.316	0.408	boletsoeng ka holimo
aforesaid	0.531	0.358	0.478	boletsoeng ka holimo
afraid	0.010	0.775	0.245	tshoha
afresh	0.643	0.521	0.480	bocha
aft	0.480	0.417	0.518	ka morao
afterlife	0.571	0.567	0.568	ka mora bophelo
aftermath	0.312	0.449	0.444	kamorao
afternoon	0.533	0.388	0.339	thapama
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	kamorao
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	lilemo
aged	0.135	0.365	0.236	tsofetseng
agency	0.460	0.296	0.583	mokhatlo
agenda	0.531	0.296	0.553	lenaneo
agent	0.480	0.439	0.755	moemeli
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	mpefatsa
aggravated	0.079	0.760	0.430	mpefalitsoe
aggravates	0.108	0.778	0.357	mpefatsa
aggravating	0.257	0.794	0.640	mpefatsa
aggravation	0.071	0.784	0.613	aggravation
aggregate	0.730	0.378	0.556	aggregate
aggregation	0.583	0.517	0.694	kopanelo
aggresive	0.059	0.971	0.639	e mabifi
aggression	0.094	0.929	0.533	tlhekefetso
aggressive	0.125	0.949	0.648	e mabifi
aggressively	0.250	0.926	0.688	ka mabifi
aggressiveness	0.077	0.913	0.648	mabifi
aggressor	0.146	0.948	0.823	mohlasedi
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	tshotleha
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	e malala-a-laotsoe
agility	0.720	0.702	0.815	matjato
aging	0.214	0.255	0.284	botsofali
agitate	0.300	0.796	0.593	hlohlelletsa
agitated	0.444	0.882	0.491	ferekantse
agitation	0.240	0.931	0.447	pherekano
aglow	0.780	0.510	0.797	cheseha
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	fetileng
agonizing	0.083	0.800	0.340	hlabang pelo
agony	0.083	0.775	0.393	bohloko
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	dumelana
agreeable	0.906	0.500	0.696	amohelehile
agreed	0.797	0.449	0.574	dumelana
agreeing	0.854	0.480	0.557	ho dumellana
agreement	0.760	0.440	0.736	tumellano
agressive	0.083	0.918	0.751	e mabifi
agricultural	0.686	0.321	0.473	temothuo
agriculture	0.640	0.357	0.465	temothuo
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	pele
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	thuso
aide	0.724	0.342	0.434	mothusi
aiding	0.643	0.533	0.569	ho thusa
aids	0.561	0.480	0.500	lithuso
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	ho kula
ailment	0.146	0.734	0.277	ho kula
aim	0.481	0.569	0.567	sepheo
aimless	0.150	0.267	0.183	e se nang sepheo
air	0.708	0.163	0.427	moea
airbag	0.510	0.402	0.433	mokotla oa moea
airborne	0.542	0.519	0.385	sefofane
aircraft	0.646	0.644	0.691	sefofane
aircraft carrier	0.490	0.740	0.727	sepalangoang sa sefofane
airfield	0.601	0.650	0.645	lebala la lifofane
airhead	0.271	0.481	0.276	hlooho ea moea
airlift	0.573	0.622	0.642	sefofane sa sefofane
airline	0.650	0.482	0.688	sefofane
airliner	0.667	0.777	0.647	sefofane
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	motho ea sebetsang moeeng
airplane	0.719	0.702	0.708	sefofane
airport	0.729	0.684	0.682	boema-fofane
airs	0.583	0.196	0.370	moea
airship	0.542	0.472	0.529	sefofane
airspace	0.562	0.510	0.640	sebaka sa moea
airspeed	0.583	0.780	0.544	lebelo la moya
airstrip	0.550	0.690	0.649	lebala la sefofane
airtight	0.479	0.381	0.570	e se nang moea
airway	0.638	0.585	0.482	tsela ya moya
aisle	0.438	0.222	0.283	tsela
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	e tšoana le
alabaster	0.542	0.404	0.445	alabastera
alarm	0.241	0.882	0.698	alamo
alarm clock	0.542	0.727	0.642	alamo oache
alarmed	0.188	0.822	0.492	tshohile
alarming	0.204	0.890	0.585	tshosang
alas	0.571	0.310	0.279	oho
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	alebamo
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	joala
alcoholic	0.153	0.688	0.361	lekhoba la tahi
alcoholism	0.061	0.779	0.407	bokhoba ba tahi
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	fadimehile
alertness	0.375	0.875	0.750	ho falimeha
alerts	0.337	0.804	0.673	litlhokomeliso
alfalfa	0.546	0.250	0.311	lesere
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	mojaki
alienate	0.247	0.500	0.523	aliennate
alienated	0.410	0.423	0.559	kgethile
alienation	0.378	0.530	0.462	bojaki
alight	0.667	0.657	0.605	alight
align	0.656	0.364	0.627	ikamahanya
aligned	0.583	0.275	0.553	tsepamisitse
alignment	0.643	0.412	0.683	ho tsamaisana
alike	0.653	0.173	0.444	ka ho tshoana
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	phela
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	li-alkaloids
allay	0.417	0.406	0.398	allay
allegation	0.578	0.578	0.608	qoso
allege	0.418	0.482	0.587	qosa
alleged	0.365	0.522	0.520	qosoa
allegiance	0.917	0.398	0.750	botshepehi
allegorical	0.517	0.558	0.598	tšupiso
allegory	0.615	0.580	0.509	papiso
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alejiki
allergy	0.296	0.606	0.389	allergy
alleviate	0.869	0.270	0.528	fokotsa
alleviation	0.735	0.200	0.491	phokotso
alley	0.347	0.500	0.355	tselana
alleyway	0.357	0.471	0.382	Alleyway
alliance	0.696	0.473	0.769	selekane
allied	0.714	0.245	0.642	selekaneng
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	abela
allocation	0.604	0.388	0.679	kabo
allot	0.622	0.481	0.616	kabelo
allotment	0.600	0.390	0.640	kabo
allow	0.698	0.429	0.538	lumella
allowable	0.698	0.500	0.561	dumelletsoeng
allowance	0.673	0.382	0.591	tumello
allowed	0.730	0.360	0.655	lumelloa
alloy	0.583	0.443	0.593	motsoako
allsmiles	0.786	0.528	0.430	allmiles
allure	0.804	0.585	0.686	hohela
alluring	0.837	0.745	0.843	hohela
allusion	0.440	0.308	0.462	tshehetso
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	motsoalle
almanac	0.688	0.190	0.412	almanaka
almighty	0.938	0.874	0.958	ya matla ohle
almond	0.698	0.183	0.314	almonde
aloft	0.771	0.373	0.700	hodimo
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	feela
alongside	0.458	0.333	0.347	pela
aloof	0.189	0.423	0.302	ka thoko
aloud	0.458	0.713	0.750	ka lentsoe le phahameng
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alfabeta
alphabetical	0.537	0.296	0.535	ka alfabeta
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	alreadyyyy
altar	0.724	0.387	0.635	aletare
altar boy	0.434	0.206	0.350	moshanyana oa aletareng
alter	0.333	0.694	0.654	fetola
alteration	0.167	0.798	0.609	phetoho
altercation	0.170	0.806	0.500	qabang
altered	0.255	0.765	0.500	fetotsoe
alternate	0.625	0.363	0.589	fapanyetsana
alternating	0.480	0.494	0.542	ho fapanyetsana
alternative	0.628	0.373	0.631	mofuta o mong
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	bophahamo
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	ka botlalo
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	li-alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	kopanyo
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	bokella
amateur	0.469	0.500	0.409	motho ya se nang phihlelo
amaze	0.896	0.843	0.783	makalla
amazed	0.796	0.779	0.533	hlolloa
amazedness	0.827	0.872	0.510	ho hlolla
amazement	0.750	0.800	0.639	makatso
amazing	0.906	0.837	0.849	hlollang
amazingly	0.918	0.765	0.920	ka tsela e makatsang
ambassador	0.651	0.529	0.917	lenqosa
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	ho hlaka
ambiguous	0.265	0.462	0.358	qaka
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	tjantjello
ambitious	0.484	0.821	0.717	tjantjello
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulense
ambush	0.281	0.830	0.500	laletse
ameliorate	0.770	0.548	0.747	matlafatsa
amen	0.781	0.182	0.542	amene
amenable	0.448	0.410	0.406	amenable
amend	0.688	0.406	0.658	lokisa
amendment	0.531	0.459	0.606	tokiso
amends	0.640	0.366	0.517	lokisa
amenity	0.750	0.327	0.574	thuso
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	ratehang
amicable	0.875	0.330	0.507	botsoalle
amid	0.510	0.340	0.256	hara
amidst	0.480	0.330	0.316	hara
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	lihlomo
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	tshoarelo
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	chelete
amour	0.865	0.480	0.652	lerato
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	li-amphetamine
amphibian	0.427	0.357	0.474	liphoofolo tse phelang metsing
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	lebala la lipapali
ample	0.744	0.349	0.719	lekaneng
amplification	0.690	0.677	0.810	matlafatso
amplify	0.677	0.735	0.827	hōlisa
amplitude	0.694	0.439	0.692	bophahamo
amply	0.781	0.431	0.766	ka matla
amputate	0.092	0.660	0.509	kgaola
amputation	0.100	0.755	0.483	ho kgaola setho
amuck	0.385	0.602	0.321	khahleha
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	qabola
amused	0.942	0.847	0.596	qabola
amusement	0.929	0.837	0.803	boithabiso
amusing	0.960	0.829	0.632	qabolang
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	sethethefatsi
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	ho kokobetsa bohloko
analogous	0.531	0.270	0.500	tshoanang
analogue	0.570	0.320	0.446	analogue
analogy	0.510	0.367	0.509	papiso
analysis	0.729	0.448	0.705	tlhatlhobo
