English Word	Valence	Arousal	Dominance	Dutch Word
acknowledged	0.714	0.443	0.765	erkend
acknowledgement	0.819	0.539	0.830	erkenning
acknowledgment	0.796	0.528	0.777	erkenning
acme	0.408	0.435	0.375	toppunt
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	eikel
acoustic	0.542	0.462	0.536	akoestisch
acoustics	0.611	0.330	0.509	akoestiek
acquaint	0.646	0.491	0.639	kennismaken
acquaintance	0.656	0.290	0.670	kennis
acquainted	0.906	0.358	0.632	kennis gemaakt
acquiescence	0.542	0.480	0.554	berusting
acquire	0.833	0.468	0.700	verwerven
acquiring	0.735	0.510	0.817	verwerven
acquisition	0.698	0.509	0.736	acquisitie
acquisitions	0.773	0.660	0.790	aanwinsten
acquit	0.583	0.571	0.611	vrijspreken
acquittal	0.760	0.497	0.700	vrijspraak
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	areaal
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	acrobaat
acrylic	0.582	0.279	0.420	acryl
act	0.656	0.704	0.735	handelen
acting	0.698	0.643	0.500	acteren
action	0.760	0.898	0.802	actie
action figure	0.615	0.774	0.611	actiefiguur
actionable	0.673	0.702	0.613	uitvoerbaar
activate	0.764	0.650	0.806	activeren
activation	0.781	0.800	0.754	activering
active	0.847	0.730	0.731	actief
activist	0.531	0.653	0.877	activist
activity	0.701	0.660	0.807	werkzaamheid
actor	0.653	0.561	0.629	acteur
actress	0.633	0.556	0.596	actrice
actual	0.729	0.400	0.716	feitelijk
actuality	0.750	0.464	0.600	actualiteit
actuary	0.510	0.404	0.491	actuaris
acuity	0.469	0.378	0.741	scherpte
acumen	0.564	0.660	0.679	inzicht
acupuncture	0.531	0.324	0.549	acupunctuur
acute	0.427	0.652	0.534	acuut
acutely	0.417	0.543	0.491	acuut
ad	0.521	0.705	0.558	advertentie
adage	0.517	0.415	0.566	gezegde
adamant	0.344	0.529	0.575	onbuigzaam
adapt	0.740	0.355	0.551	aanpassen
adaptable	0.735	0.423	0.641	aanpasbaar
adaptation	0.663	0.365	0.609	aanpassing
add	0.728	0.490	0.554	toevoegen
added	0.562	0.405	0.509	toegevoegd
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	verslaafde
addicted	0.156	0.712	0.483	verslaafd
addiction	0.180	0.806	0.420	verslaving
addictive	0.302	0.683	0.472	verslavend
addition	0.562	0.373	0.471	toevoeging
additional	0.673	0.462	0.526	aanvullend
additive	0.561	0.633	0.691	additief
address	0.650	0.327	0.567	adres
addressee	0.622	0.382	0.538	geadresseerde
addresses	0.510	0.354	0.450	adressen
adept	0.594	0.539	0.789	bedreven
adequacy	0.615	0.435	0.702	geschiktheid
adequate	0.854	0.264	0.705	adequaat
adhere	0.633	0.339	0.554	naleven
adherence	0.760	0.307	0.630	aanhankelijkheid
adherent	0.561	0.385	0.555	aanhanger
adhering	0.612	0.561	0.537	aanhangen
adhesion	0.521	0.445	0.586	adhesie
adhesive	0.604	0.350	0.413	Zelfklevend
adieu	0.250	0.471	0.342	Adieu
adipose	0.333	0.350	0.391	vet
adjacency	0.365	0.417	0.375	nabijheid
adjacent	0.645	0.276	0.536	aangrenzend
adjective	0.570	0.316	0.569	adjectief
adjoining	0.520	0.400	0.393	aangrenzend
adjourn	0.385	0.456	0.475	verdagen
adjournment	0.438	0.510	0.370	verdaging
adjudicate	0.559	0.520	0.683	oordelen
adjudication	0.551	0.462	0.691	arbitrage
adjunct	0.459	0.440	0.426	adjunct
adjust	0.647	0.327	0.638	aanpassen
adjuster	0.510	0.540	0.760	afsteller
adjustment	0.590	0.520	0.661	aanpassing
adjuvant	0.510	0.500	0.456	adjuvans
admin	0.688	0.420	0.854	beheerder
administer	0.635	0.425	0.860	beheren
administration	0.625	0.404	0.786	administratie
administrative	0.542	0.415	0.579	administratief
administrator	0.538	0.480	0.902	beheerder
admirable	0.929	0.600	0.870	bewonderenswaardig
admiral	0.844	0.490	0.847	admiraal
admiralty	0.594	0.547	0.733	admiraliteit
admiration	0.969	0.583	0.726	bewondering
admire	0.867	0.692	0.704	bewonderen
admired	0.917	0.560	0.815	bewonderd
admirer	0.796	0.720	0.650	bewonderaar
admiring	0.867	0.578	0.629	bewonderen
admissibility	0.802	0.580	0.602	toelaatbaarheid
admissible	0.780	0.528	0.642	toelaatbaar
admission	0.802	0.415	0.732	erkenning
admit	0.538	0.423	0.667	geef toe
admittance	0.690	0.451	0.598	toelating
admitted	0.720	0.490	0.767	toegelaten
admitting	0.620	0.500	0.546	toegeven
admixture	0.450	0.375	0.438	bijmenging
admonition	0.357	0.606	0.455	vermaning
ado	0.520	0.423	0.385	gedoe
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescentie
adolescent	0.781	0.680	0.509	puber
adopt	0.694	0.612	0.701	adopteren
adoption	0.625	0.566	0.589	adoptie
adoptive	0.531	0.469	0.520	adoptief
adorable	0.969	0.519	0.457	schattig
adoration	0.885	0.699	0.708	aanbidding
adore	0.854	0.438	0.657	dol zijn op
adoring	0.885	0.620	0.717	aanbidden
adorn	0.910	0.424	0.482	sieren
adornment	0.918	0.373	0.377	versiering
adrenalin	0.865	0.920	0.786	adrenaline
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	op drift
adult	0.815	0.491	0.787	volwassen
adulterated	0.188	0.865	0.370	vervalst
adulterer	0.229	0.814	0.407	overspelige
adultery	0.120	0.922	0.510	overspel
adulthood	0.541	0.454	0.652	volwassenheid
advance	0.673	0.472	0.858	voorschot
advanced	0.844	0.623	0.797	Geavanceerd
advancement	0.776	0.650	0.839	vooruitgang
advancing	0.929	0.608	0.812	voortschrijdend
advantage	0.917	0.548	0.859	voordeel
advantageous	0.837	0.640	0.789	voordelig
advent	0.665	0.560	0.627	komst
adventure	0.917	0.857	0.710	avontuur
adventurer	0.781	0.839	0.868	avonturier
adventures	0.812	0.764	0.749	avonturen
adventurous	0.969	0.898	0.722	avontuurlijk
adversary	0.349	0.777	0.457	tegenstander
adverse	0.323	0.610	0.385	nadelig
adversity	0.276	0.760	0.538	tegenslag
advertise	0.500	0.529	0.580	reclame maken
advertisement	0.600	0.566	0.539	advertentie
advertising	0.622	0.608	0.632	reclame
adverts	0.551	0.500	0.595	advertenties
advice	0.698	0.408	0.688	het advies
advisable	0.867	0.480	0.510	aan te raden
advise	0.760	0.393	0.705	adviseren
advised	0.823	0.330	0.509	geadviseerd
advisement	0.698	0.235	0.655	advies
adviser	0.745	0.362	0.705	adviseur
advisor	0.646	0.350	0.689	adviseur
advisory	0.656	0.429	0.633	adviserend
advocacy	0.500	0.646	0.731	belangenbehartiging
advocate	0.551	0.530	0.818	pleiten voor
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	beluchting
aerial	0.615	0.461	0.463	antenne
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	luchtvaartterrein
aerodynamic	0.561	0.724	0.728	aerodynamisch
aerodynamics	0.590	0.663	0.722	aërodynamica
aeronautics	0.551	0.633	0.688	luchtvaart
aeroplane	0.714	0.642	0.644	vliegtuig
aerospace	0.643	0.520	0.779	ruimtevaart
aesthetic	0.708	0.442	0.526	stijlvol
aesthetics	0.847	0.327	0.549	esthetiek
aetiology	0.480	0.398	0.615	etiologie
afar	0.396	0.373	0.358	ver weg
affable	0.704	0.380	0.452	minzaam
affair	0.520	0.459	0.657	affaire
affect	0.458	0.569	0.578	beïnvloeden
affecting	0.350	0.574	0.394	beïnvloeden
affection	0.898	0.559	0.696	affectie
affectionate	0.949	0.422	0.550	geliefd
affections	0.760	0.547	0.655	genegenheid
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	verklaring
affiliated	0.673	0.519	0.535	aangesloten
affiliation	0.615	0.594	0.500	verbondenheid
affinity	0.800	0.500	0.537	affiniteit
affirm	0.745	0.509	0.731	bevestigen
affirmation	0.750	0.500	0.689	bevestiging
affirmative	0.854	0.589	0.816	bevestigend
affirmatively	0.908	0.500	0.811	bevestigend
affix	0.438	0.335	0.411	bevestigen
afflict	0.302	0.555	0.293	kwellen
afflicted	0.271	0.500	0.167	gekweld
affliction	0.294	0.635	0.392	kwelling
affluence	0.663	0.618	0.722	welvaart
affluent	0.756	0.388	0.477	rijk
afford	0.571	0.580	0.575	veroorloven
affordable	0.840	0.398	0.493	betaalbaar
affront	0.327	0.740	0.547	belediging
affronted	0.385	0.750	0.527	beledigd
afield	0.594	0.370	0.373	ver weg
afire	0.367	0.904	0.675	een vuur
afloat	0.602	0.427	0.444	drijvend
afore	0.500	0.337	0.382	eerder
aforementioned	0.490	0.316	0.408	voornoemd
aforesaid	0.531	0.358	0.478	voornoemd
afraid	0.010	0.775	0.245	bang
afresh	0.643	0.521	0.480	opnieuw
aft	0.480	0.417	0.518	achter
afterlife	0.571	0.567	0.568	hiernamaals
aftermath	0.312	0.449	0.444	nasleep
afternoon	0.533	0.388	0.339	middag
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	nasmaak
afterthought	0.396	0.392	0.349	bijzaak
aga	0.542	0.327	0.398	weer
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agaat
age	0.561	0.226	0.498	leeftijd
aged	0.135	0.365	0.236	oud
agency	0.460	0.296	0.583	bureau
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	tussenpersoon
agglomeration	0.450	0.765	0.509	agglomeratie
aggravate	0.224	0.770	0.464	verergeren
aggravated	0.079	0.760	0.430	verergerd
aggravates	0.108	0.778	0.357	verergert
aggravating	0.257	0.794	0.640	verzwarend
aggravation	0.071	0.784	0.613	verergering
aggregate	0.730	0.378	0.556	totaal
aggregation	0.583	0.517	0.694	aggregatie
aggresive	0.059	0.971	0.639	agressief
aggression	0.094	0.929	0.533	agressie
aggressive	0.125	0.949	0.648	agressief
aggressively	0.250	0.926	0.688	agressief
aggressiveness	0.077	0.913	0.648	agressiviteit
aggressor	0.146	0.948	0.823	agressor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	verbijsterd
aghhh	0.281	0.635	0.243	ahhhh
agile	0.800	0.657	0.775	weerbaar
agility	0.720	0.702	0.815	wendbaarheid
aging	0.214	0.255	0.284	veroudering
agitate	0.300	0.796	0.593	agiteren
agitated	0.444	0.882	0.491	opgewonden
agitation	0.240	0.931	0.447	agitatie
aglow	0.780	0.510	0.797	gloeiend
agnostic	0.306	0.396	0.574	agnostisch
ago	0.317	0.280	0.404	geleden
agonizing	0.083	0.800	0.340	kwellend
agony	0.083	0.775	0.393	nood
agoraphobia	0.127	0.712	0.438	agorafobie
agree	0.906	0.260	0.545	mee eens zijn
agreeable	0.906	0.500	0.696	aangenaam
agreed	0.797	0.449	0.574	overeengekomen
agreeing	0.854	0.480	0.557	akkoord gaan
agreement	0.760	0.440	0.736	overeenkomst
agressive	0.083	0.918	0.751	agressief
agricultural	0.686	0.321	0.473	agrarisch
agriculture	0.640	0.357	0.465	landbouw
aground	0.333	0.340	0.445	aan de grond
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	vooruit
ahhh	0.562	0.517	0.241	ahh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoi
aid	0.796	0.491	0.541	hulp
aide	0.724	0.342	0.434	assistent
aiding	0.643	0.533	0.569	helpen
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	ziekelijk
ailment	0.146	0.734	0.277	aandoening
aim	0.481	0.569	0.567	doel
aimless	0.150	0.267	0.183	doelloos
air	0.708	0.163	0.427	lucht
airbag	0.510	0.402	0.433	luchtkussen
airborne	0.542	0.519	0.385	in de lucht
aircraft	0.646	0.644	0.691	vliegtuigen
aircraft carrier	0.490	0.740	0.727	vliegdekschip
airfield	0.601	0.650	0.645	vliegveld
airhead	0.271	0.481	0.276	luchthoofd
airlift	0.573	0.622	0.642	luchtbrug
airline	0.650	0.482	0.688	luchtvaartmaatschappij
airliner	0.667	0.777	0.647	vliegtuig
airlock	0.398	0.520	0.447	luchtsluis
airman	0.587	0.716	0.721	vlieger
airplane	0.719	0.702	0.708	vliegtuig
airport	0.729	0.684	0.682	luchthaven
airs	0.583	0.196	0.370	uitgezonden
airship	0.542	0.472	0.529	luchtschip
airspace	0.562	0.510	0.640	luchtruim
airspeed	0.583	0.780	0.544	luchtsnelheid
airstrip	0.550	0.690	0.649	landingsbaan
airtight	0.479	0.381	0.570	luchtdicht
airway	0.638	0.585	0.482	luchtwegen
aisle	0.438	0.222	0.283	gangpad
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	op een kier
aka	0.459	0.358	0.351	oftewel
akin	0.639	0.343	0.523	verwant
alabaster	0.542	0.404	0.445	albast
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	wekker
alarmed	0.188	0.822	0.492	gealarmeerd
alarming	0.204	0.890	0.585	alarmerend
alas	0.571	0.310	0.279	Helaas
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchimie
alcohol	0.323	0.667	0.377	alcohol
alcoholic	0.153	0.688	0.361	alcoholisch
alcoholism	0.061	0.779	0.407	alcoholisme
alcove	0.490	0.340	0.356	prieel
alderman	0.550	0.459	0.691	wethouder
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alarmeren
alertness	0.375	0.875	0.750	alertheid
alerts	0.337	0.804	0.673	waarschuwingen
alfalfa	0.546	0.250	0.311	luzerne
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraïsch
algorithm	0.448	0.394	0.559	algoritme
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	buitenaards wezen
alienate	0.247	0.500	0.523	vervreemden
alienated	0.410	0.423	0.559	vervreemd
alienation	0.378	0.530	0.462	vervreemding
alight	0.667	0.657	0.605	uitstappen
align	0.656	0.364	0.627	uitlijnen
aligned	0.583	0.275	0.553	uitgelijnd
alignment	0.643	0.412	0.683	uitlijning
alike	0.653	0.173	0.444	gelijk
alimentation	0.781	0.551	0.602	voeding
alimony	0.612	0.477	0.464	alimentatie
aliquot	0.440	0.310	0.404	portie
alive	0.816	0.637	0.731	in leven
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloïden
allay	0.417	0.406	0.398	wegnemen
allegation	0.578	0.578	0.608	bewering
allege	0.418	0.482	0.587	beweren
alleged	0.365	0.522	0.520	zogenaamd
allegiance	0.917	0.398	0.750	loyaliteit
allegorical	0.517	0.558	0.598	allegorisch
allegory	0.615	0.580	0.509	allegorie
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergisch
allergy	0.296	0.606	0.389	allergie
alleviate	0.869	0.270	0.528	verlichten
alleviation	0.735	0.200	0.491	verlichting
alley	0.347	0.500	0.355	steeg
alleyway	0.357	0.471	0.382	steegje
alliance	0.696	0.473	0.769	alliantie
allied	0.714	0.245	0.642	bondgenoot
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	toewijzen
allocation	0.604	0.388	0.679	toewijzing
allot	0.622	0.481	0.616	toewijzen
allotment	0.600	0.390	0.640	toewijzing
allow	0.698	0.429	0.538	toestaan
allowable	0.698	0.500	0.561	toelaatbaar
allowance	0.673	0.382	0.591	zakgeld
allowed	0.730	0.360	0.655	toegestaan
alloy	0.583	0.443	0.593	legering
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	verleiden
alluring	0.837	0.745	0.843	verleidelijk
allusion	0.440	0.308	0.462	toespeling
alluvial	0.323	0.490	0.491	alluviaal
ally	0.792	0.320	0.688	steeg
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	almachtig
almond	0.698	0.183	0.314	amandel
aloft	0.771	0.373	0.700	omhoog
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	alleen
alongside	0.458	0.333	0.347	naast
aloof	0.189	0.423	0.302	terughoudend
aloud	0.458	0.713	0.750	hardop
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabetisch
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	alyyyy
altar	0.724	0.387	0.635	altaar
altar boy	0.434	0.206	0.350	misdienaar
alter	0.333	0.694	0.654	wijzigen
alteration	0.167	0.798	0.609	wijziging
altercation	0.170	0.806	0.500	woordenwisseling
altered	0.255	0.765	0.500	gewijzigd
alternate	0.625	0.363	0.589	afwisselend
alternating	0.480	0.494	0.542	afwisselend
alternative	0.628	0.373	0.631	alternatief
altimeter	0.615	0.510	0.580	hoogtemeter
altitude	0.708	0.482	0.736	hoogte
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	allemaal samen
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolair
alzheimers	0.194	0.518	0.319	alzheimer
amalgam	0.438	0.333	0.510	amalgaam
amalgamation	0.406	0.470	0.531	samensmelting
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	vergaren
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	verbazen
amazed	0.796	0.779	0.533	versteld staan
amazedness	0.827	0.872	0.510	verbazing
amazement	0.750	0.800	0.639	verbazing
amazing	0.906	0.837	0.849	geweldig
amazingly	0.918	0.765	0.920	verbazingwekkend
ambassador	0.651	0.529	0.917	ambassadeur
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	sfeer
ambient	0.625	0.360	0.582	omgeving
ambiguity	0.164	0.460	0.370	meerduidigheid
ambiguous	0.265	0.462	0.358	dubbelzinnig
ambit	0.479	0.380	0.386	strekking
ambition	0.510	0.804	0.661	ambitie
ambitious	0.484	0.821	0.717	ambitieus
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrozijn
ambulance	0.500	0.750	0.609	ambulance
ambush	0.281	0.830	0.500	hinderlaag
ameliorate	0.770	0.548	0.747	verbeteren
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	ontvankelijk
amend	0.688	0.406	0.658	wijzigen
amendment	0.531	0.459	0.606	wijziging
amends	0.640	0.366	0.517	verbetert
amenity	0.750	0.327	0.574	voorziening
amethyst	0.622	0.406	0.517	amethist
amiable	0.847	0.290	0.483	beminnelijk
amicable	0.875	0.330	0.507	vriendschappelijk
amid	0.510	0.340	0.256	te midden van
amidst	0.480	0.330	0.316	temidden van
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munitie
ammonia	0.292	0.587	0.409	ammoniak
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	munitie
amnesia	0.296	0.330	0.308	geheugenverlies
amnesty	0.551	0.451	0.814	amnestie
amorous	0.844	0.670	0.636	verliefd
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	afschrijvingen
amount	0.562	0.422	0.649	hoeveelheid
amour	0.865	0.480	0.652	verliefdheid
amp	0.439	0.393	0.375	versterker
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminen
amphibian	0.427	0.357	0.474	amfibie
amphibious	0.479	0.346	0.445	amfibisch
amphitheater	0.653	0.480	0.545	amfitheater
ample	0.744	0.349	0.719	uitgebreid
amplification	0.690	0.677	0.810	versterking
amplify	0.677	0.735	0.827	versterken
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	ruimschoots
amputate	0.092	0.660	0.509	amputeren
amputation	0.100	0.755	0.483	amputatie
amuck	0.385	0.602	0.321	amok
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	amuseren
amused	0.942	0.847	0.596	geamuseerd
amusement	0.929	0.837	0.803	amusement
amusing	0.960	0.829	0.632	grappig
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesie
anaesthetic	0.449	0.268	0.509	verdoving
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anaal
analgesic	0.417	0.321	0.441	pijnstillend
analogous	0.531	0.270	0.500	analoog
analogue	0.570	0.320	0.446	analoog
analogy	0.510	0.367	0.509	analogie
analysis	0.729	0.448	0.705	analyse
analyst	0.604	0.415	0.755	analist
analytic	0.665	0.521	0.634	analytisch
analytical	0.625	0.324	0.800	analytisch
analyze	0.667	0.462	0.710	analyseren
analyzer	0.625	0.556	0.854	analysator
anaphylactic	0.378	0.588	0.500	anafylactisch
anarchism	0.125	0.804	0.623	anarchisme
