English Word	Valence	Arousal	Dominance	Armenian Word
advance	0.673	0.472	0.858	կանխավճար
advanced	0.844	0.623	0.797	առաջադեմ
advancement	0.776	0.650	0.839	առաջխաղացում
advancing	0.929	0.608	0.812	առաջ տանելով
advantage	0.917	0.548	0.859	առավելություն
advantageous	0.837	0.640	0.789	շահավետ
advent	0.665	0.560	0.627	գալուստը
adventure	0.917	0.857	0.710	արկած
adventurer	0.781	0.839	0.868	արկածախնդիր
adventures	0.812	0.764	0.749	արկածներ
adventurous	0.969	0.898	0.722	արկածախնդիր
adversary	0.349	0.777	0.457	հակառակորդ
adverse	0.323	0.610	0.385	անբարենպաստ
adversity	0.276	0.760	0.538	դժբախտություն
advertise	0.500	0.529	0.580	գովազդել
advertisement	0.600	0.566	0.539	գովազդ
advertising	0.622	0.608	0.632	գովազդ
adverts	0.551	0.500	0.595	գովազդներ
advice	0.698	0.408	0.688	խորհուրդ
advisable	0.867	0.480	0.510	նպատակահարմար է
advise	0.760	0.393	0.705	խորհուրդ տալ
advised	0.823	0.330	0.509	խորհուրդ տվեց
advisement	0.698	0.235	0.655	խորհուրդ
adviser	0.745	0.362	0.705	խորհրդական
advisor	0.646	0.350	0.689	խորհրդական
advisory	0.656	0.429	0.633	խորհրդատվական
advocacy	0.500	0.646	0.731	փաստաբանություն
advocate	0.551	0.530	0.818	փաստաբան
aegis	0.490	0.439	0.462	էգիս
aeration	0.550	0.500	0.433	օդափոխություն
aerial	0.615	0.461	0.463	օդային
aerobics	0.708	0.771	0.627	աերոբիկա
aerodrome	0.541	0.740	0.678	աերոդրոմ
aerodynamic	0.561	0.724	0.728	աերոդինամիկ
aerodynamics	0.590	0.663	0.722	աերոդինամիկա
aeronautics	0.551	0.633	0.688	ավիացիոն
aeroplane	0.714	0.642	0.644	ինքնաթիռ
aerospace	0.643	0.520	0.779	օդատիեզերական
aesthetic	0.708	0.442	0.526	գեղագիտական
aesthetics	0.847	0.327	0.549	էսթետիկա
aetiology	0.480	0.398	0.615	էթոլոգիա
afar	0.396	0.373	0.358	հեռու
affable	0.704	0.380	0.452	բարեհամբույր
affair	0.520	0.459	0.657	գործ
affect	0.458	0.569	0.578	ազդել
affecting	0.350	0.574	0.394	ազդող
affection	0.898	0.559	0.696	ջերմություն
affectionate	0.949	0.422	0.550	քնքուշ
affections	0.760	0.547	0.655	ջերմություններ
affiche	0.479	0.265	0.402	աֆիշե
affidavit	0.469	0.584	0.526	հավատարմագիր
affiliated	0.673	0.519	0.535	փոխկապակցված
affiliation	0.615	0.594	0.500	պատկանելությունը
affinity	0.800	0.500	0.537	մերձավորություն
affirm	0.745	0.509	0.731	հաստատել
affirmation	0.750	0.500	0.689	հաստատում
affirmative	0.854	0.589	0.816	հաստատական
affirmatively	0.908	0.500	0.811	դրականորեն
affix	0.438	0.335	0.411	ամրացնել
afflict	0.302	0.555	0.293	տառապել
afflicted	0.271	0.500	0.167	տառապյալ
affliction	0.294	0.635	0.392	տառապանք
affluence	0.663	0.618	0.722	հարստություն
affluent	0.756	0.388	0.477	հարուստ
afford	0.571	0.580	0.575	թույլ տալ
affordable	0.840	0.398	0.493	մատչելի
affront	0.327	0.740	0.547	վիրավորանք
affronted	0.385	0.750	0.527	վիրավորված
afield	0.594	0.370	0.373	հեռավորության վրա
afire	0.367	0.904	0.675	կրակ
afloat	0.602	0.427	0.444	ջրի երեսին
afore	0.500	0.337	0.382	առաջ
aforementioned	0.490	0.316	0.408	վերը նշված
aforesaid	0.531	0.358	0.478	վերը նշված
afraid	0.010	0.775	0.245	վախեցած
afresh	0.643	0.521	0.480	նորից
aft	0.480	0.417	0.518	հետնամասում
afterlife	0.571	0.567	0.568	հետմահու
aftermath	0.312	0.449	0.444	հետեւանքները
afternoon	0.533	0.388	0.339	կեսօրից հետո
aftershave	0.406	0.384	0.415	սափրվելուց հետո
aftertaste	0.354	0.362	0.455	հետհամ
afterthought	0.396	0.392	0.349	հետո մտածողություն
aga	0.542	0.327	0.398	աղա
agape	0.612	0.529	0.464	ագապե
agate	0.540	0.377	0.483	ագատ
age	0.561	0.226	0.498	Տարիք
aged	0.135	0.365	0.236	ծերացած
agency	0.460	0.296	0.583	գործակալություն
agenda	0.531	0.296	0.553	օրակարգ
agent	0.480	0.439	0.755	գործակալ
agglomeration	0.450	0.765	0.509	ագլոմերացիա
aggravate	0.224	0.770	0.464	սրել
aggravated	0.079	0.760	0.430	սրվել
aggravates	0.108	0.778	0.357	ծանրացնում է
aggravating	0.257	0.794	0.640	ծանրացնող
aggravation	0.071	0.784	0.613	սրացում
aggregate	0.730	0.378	0.556	ագրեգատ
aggregation	0.583	0.517	0.694	ագրեգացիա
aggresive	0.059	0.971	0.639	ագրեսիվ
aggression	0.094	0.929	0.533	ագրեսիա
aggressive	0.125	0.949	0.648	ագրեսիվ
aggressively	0.250	0.926	0.688	ագրեսիվ կերպով
aggressiveness	0.077	0.913	0.648	ագրեսիվություն
aggressor	0.146	0.948	0.823	ագրեսոր
agh	0.260	0.500	0.400	աղ
aghast	0.133	0.865	0.464	ապշած
aghhh	0.281	0.635	0.243	աղհհհ
agile	0.800	0.657	0.775	արագաշարժ
agility	0.720	0.702	0.815	ճարպկություն
aging	0.214	0.255	0.284	ծերացումը
agitate	0.300	0.796	0.593	գրգռել
agitated	0.444	0.882	0.491	գրգռված
agitation	0.240	0.931	0.447	գրգռում
aglow	0.780	0.510	0.797	բոցավառ
agnostic	0.306	0.396	0.574	ագնոստիկ
ago	0.317	0.280	0.404	առաջ
agonizing	0.083	0.800	0.340	տանջող
agony	0.083	0.775	0.393	տառապանք
agoraphobia	0.127	0.712	0.438	ագրաֆոբիա
agree	0.906	0.260	0.545	համաձայնվել
agreeable	0.906	0.500	0.696	հաճելի
agreed	0.797	0.449	0.574	համաձայնեցին
agreeing	0.854	0.480	0.557	համաձայնելով
agreement	0.760	0.440	0.736	համաձայնագիր
agressive	0.083	0.918	0.751	ագրեսիվ
agricultural	0.686	0.321	0.473	գյուղատնտեսական
agriculture	0.640	0.357	0.465	գյուղատնտեսություն
aground	0.333	0.340	0.445	գետնին ընկած
agua	0.598	0.180	0.436	ագուա
ahead	0.708	0.520	0.673	առաջ
ahhh	0.562	0.517	0.241	ախհհ
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ախոյ
aid	0.796	0.491	0.541	օգնություն
aide	0.724	0.342	0.434	օգնական
aiding	0.643	0.533	0.569	օգնելով
aids	0.561	0.480	0.500	օժանդակ միջոցներ
ail	0.375	0.434	0.385	հիվանդ
ailing	0.094	0.518	0.153	հիվանդ
ailment	0.146	0.734	0.277	հիվանդություն
aim	0.481	0.569	0.567	նպատակ
aimless	0.150	0.267	0.183	աննպատակ
air	0.708	0.163	0.427	օդ
airbag	0.510	0.402	0.433	անվտանգության բարձիկ
airborne	0.542	0.519	0.385	օդակաթիլային
aircraft	0.646	0.644	0.691	Ինքնաթիռ
aircraft carrier	0.490	0.740	0.727	ավիակիր
airfield	0.601	0.650	0.645	օդանավակայան
airhead	0.271	0.481	0.276	օդագլուխ
airlift	0.573	0.622	0.642	ավիափոխադրում
airline	0.650	0.482	0.688	ավիաընկերություն
airliner	0.667	0.777	0.647	ինքնաթիռ
airlock	0.398	0.520	0.447	օդախցիկ
airman	0.587	0.716	0.721	օդաչու
airplane	0.719	0.702	0.708	ինքնաթիռ
airport	0.729	0.684	0.682	օդանավակայան
airs	0.583	0.196	0.370	եթերում
airship	0.542	0.472	0.529	օդանավ
airspace	0.562	0.510	0.640	օդային տարածք
airspeed	0.583	0.780	0.544	օդային արագություն
airstrip	0.550	0.690	0.649	թռիչքուղի
airtight	0.479	0.381	0.570	հերմետիկ
airway	0.638	0.585	0.482	շնչուղի
aisle	0.438	0.222	0.283	միջանցք
ait	0.385	0.390	0.402	էթ
ajar	0.460	0.413	0.446	կիսաբաց
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	ազգական
alabaster	0.542	0.404	0.445	ալաբաստր
alarm	0.241	0.882	0.698	ահազանգ
alarm clock	0.542	0.727	0.642	Զարթուցիչ
alarmed	0.188	0.822	0.492	տագնապած
alarming	0.204	0.890	0.585	տագնապալի
alas	0.571	0.310	0.279	ավաղ
alb	0.521	0.380	0.427	ալբ
albatross	0.500	0.445	0.527	ալբատրոս
albino	0.500	0.240	0.358	ալբինոս
album	0.635	0.349	0.453	ալբոմ
alchemy	0.541	0.583	0.693	ալքիմիա
alcohol	0.323	0.667	0.377	ալկոհոլ
alcoholic	0.153	0.688	0.361	ալկոհոլային
alcoholism	0.061	0.779	0.407	ալկոհոլիզմ
alcove	0.490	0.340	0.356	խորշ
alderman	0.550	0.459	0.691	ավագանի
ale	0.530	0.450	0.358	ալե
alert	0.479	0.820	0.648	զգոն
alertness	0.375	0.875	0.750	զգոնություն
alerts	0.337	0.804	0.673	ահազանգեր
alfalfa	0.546	0.250	0.311	առվույտ
algebra	0.440	0.340	0.565	հանրահաշիվ
algebraic	0.531	0.412	0.441	հանրահաշվական
algorithm	0.448	0.394	0.559	ալգորիթմ
alias	0.541	0.353	0.333	կեղծանունը
alibi	0.396	0.528	0.556	ալիբի
alien	0.410	0.615	0.491	այլմոլորակային
alienate	0.247	0.500	0.523	օտարել
alienated	0.410	0.423	0.559	օտարված
alienation	0.378	0.530	0.462	օտարում
alight	0.667	0.657	0.605	վառվել
align	0.656	0.364	0.627	շարել
aligned	0.583	0.275	0.553	հավասարեցված
alignment	0.643	0.412	0.683	հավասարեցում
alike	0.653	0.173	0.444	միանման
alimentation	0.781	0.551	0.602	սնուցում
alimony	0.612	0.477	0.464	ալիմենտ
aliquot	0.440	0.310	0.404	ալիկոտ
alive	0.816	0.637	0.731	կենդանի
alkali	0.490	0.350	0.408	ալկալի
alkaloids	0.433	0.562	0.402	ալկալոիդներ
allay	0.417	0.406	0.398	մեղմել
allegation	0.578	0.578	0.608	պնդում
allege	0.418	0.482	0.587	պնդում
alleged	0.365	0.522	0.520	ենթադրյալ
allegiance	0.917	0.398	0.750	հավատարմություն
allegorical	0.517	0.558	0.598	այլաբանական
allegory	0.615	0.580	0.509	այլաբանություն
allegro	0.635	0.627	0.453	ալեգրո
allergic	0.135	0.549	0.273	ալերգիկ
allergy	0.296	0.606	0.389	ալերգիա
alleviate	0.869	0.270	0.528	մեղմացնել
alleviation	0.735	0.200	0.491	մեղմացում
alley	0.347	0.500	0.355	նրբանցք
alleyway	0.357	0.471	0.382	նրբանցք
alliance	0.696	0.473	0.769	դաշինք
allied	0.714	0.245	0.642	դաշնակից
alligator	0.354	0.704	0.645	ալիգատոր
allocate	0.673	0.462	0.672	հատկացնել
allocation	0.604	0.388	0.679	հատկացում
allot	0.622	0.481	0.616	հատկացնել
allotment	0.600	0.390	0.640	հատկացում
allow	0.698	0.429	0.538	թույլ տալ
allowable	0.698	0.500	0.561	թույլատրելի
allowance	0.673	0.382	0.591	նպաստ
allowed	0.730	0.360	0.655	թույլատրվում է
alloy	0.583	0.443	0.593	խառնուրդ
allsmiles	0.786	0.528	0.430	ժպիտներ
allure	0.804	0.585	0.686	գրավչություն
alluring	0.837	0.745	0.843	գրավիչ
allusion	0.440	0.308	0.462	ակնարկ
alluvial	0.323	0.490	0.491	ալյուվիալ
ally	0.792	0.320	0.688	դաշնակից
almanac	0.688	0.190	0.412	ալմանախ
almighty	0.938	0.874	0.958	ամենակարող
almond	0.698	0.183	0.314	նուշ
aloft	0.771	0.373	0.700	վերևում
aloha	0.698	0.440	0.441	ալոհա
alone	0.333	0.167	0.216	միայնակ
alongside	0.458	0.333	0.347	կողքին
aloof	0.189	0.423	0.302	հեռու
aloud	0.458	0.713	0.750	բարձրաձայն
alpha	0.708	0.340	0.755	ալֆա
alphabet	0.562	0.204	0.672	Այբուբեն
alphabetical	0.537	0.296	0.535	այբբենական
alpine	0.594	0.337	0.474	ալպիական
alreadyyyyy	0.592	0.717	0.351	արդեն եեեե
altar	0.724	0.387	0.635	զոհասեղան
altar boy	0.434	0.206	0.350	զոհասեղանի տղա
alter	0.333	0.694	0.654	փոխել
alteration	0.167	0.798	0.609	փոփոխություն
altercation	0.170	0.806	0.500	վիճաբանություն
altered	0.255	0.765	0.500	փոփոխված
alternate	0.625	0.363	0.589	այլընտրանքային
alternating	0.480	0.494	0.542	փոփոխվող
alternative	0.628	0.373	0.631	այլընտրանք
altimeter	0.615	0.510	0.580	բարձրաչափ
altitude	0.708	0.482	0.736	բարձրությունը
alto	0.656	0.404	0.730	ալտ
altogether	0.833	0.324	0.644	ընդհանրապես
aluminum	0.449	0.280	0.434	ալյումինե
alumnus	0.633	0.368	0.422	շրջանավարտ
alveolar	0.469	0.481	0.367	ալվեոլային
alzheimers	0.194	0.518	0.319	ալցհայմեր
amalgam	0.438	0.333	0.510	ամալգամ
amalgamation	0.406	0.470	0.531	միաձուլում
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	կուտակել
amateur	0.469	0.500	0.409	սիրողական
amaze	0.896	0.843	0.783	զարմացնել
amazed	0.796	0.779	0.533	զարմացած
amazedness	0.827	0.872	0.510	զարմանք
amazement	0.750	0.800	0.639	զարմանք
amazing	0.906	0.837	0.849	զարմանալի
amazingly	0.918	0.765	0.920	զարմանալիորեն
ambassador	0.651	0.529	0.917	Դեսպան
amber	0.635	0.308	0.369	սաթ
ambience	0.735	0.356	0.426	մթնոլորտ
ambient	0.625	0.360	0.582	շրջապատող
ambiguity	0.164	0.460	0.370	անորոշություն
ambiguous	0.265	0.462	0.358	երկիմաստ
ambit	0.479	0.380	0.386	ամբիցիա
ambition	0.510	0.804	0.661	փառասիրություն
ambitious	0.484	0.821	0.717	հավակնոտ
ambivalent	0.510	0.404	0.482	երկիմաստ
ambrosia	0.571	0.452	0.480	ամբրոզիա
ambulance	0.500	0.750	0.609	շտապօգնություն
ambush	0.281	0.830	0.500	դարանակալել
ameliorate	0.770	0.548	0.747	բարելավել
amen	0.781	0.182	0.542	ամեն
amenable	0.448	0.410	0.406	ենթարկվող
amend	0.688	0.406	0.658	փոփոխել
amendment	0.531	0.459	0.606	փոփոխություն
amends	0.640	0.366	0.517	ուղղում է
amenity	0.750	0.327	0.574	հարմարավետություն
amethyst	0.622	0.406	0.517	ամեթիստ
amiable	0.847	0.290	0.483	սիրալիր
amicable	0.875	0.330	0.507	բարեկամական
amid	0.510	0.340	0.256	մեջտեղում
amidst	0.480	0.330	0.316	մեջտեղում
amino	0.551	0.402	0.433	ամին
ammo	0.323	0.765	0.621	զինամթերք
ammonia	0.292	0.587	0.409	ամոնիակ
ammonium	0.354	0.396	0.368	ամոնիում
