English Word	Valence	Arousal	Dominance	Sundanese Word
absent	0.177	0.221	0.116	bolos
absentee	0.235	0.330	0.279	absen
absenteeism	0.404	0.273	0.357	absén
absinthe	0.481	0.510	0.462	absinté
absolute	0.526	0.510	0.827	mutlak
absolution	0.715	0.500	0.664	pangampura
absolve	0.684	0.449	0.660	ngabebaskeun
absorb	0.469	0.558	0.670	nyerep
absorbed	0.490	0.471	0.519	diserep
absorbent	0.552	0.394	0.718	nyerep
absorbing	0.490	0.490	0.578	nyerep
absorption	0.609	0.422	0.446	nyerep
abstain	0.385	0.385	0.427	ngajauhan
abstention	0.271	0.264	0.509	absen
abstinence	0.260	0.392	0.429	pantang-pantang
abstract	0.438	0.292	0.444	abstrak
abstraction	0.469	0.439	0.525	abstraksi
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurditas
abundance	0.812	0.690	0.852	kaayaanana
abundant	0.958	0.590	0.760	loba pisan
abuse	0.071	0.873	0.469	nyiksa
abused	0.021	0.874	0.235	disalahgunakeun
abusive	0.125	0.903	0.567	nyiksa
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	jurang
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	ngaku
accelerant	0.643	0.844	0.802	akselerasi
accelerate	0.615	0.902	0.759	ngagancangkeun
accelerated	0.610	0.812	0.682	digancangan
acceleration	0.704	0.905	0.843	gagancangan
accelerator	0.593	0.830	0.812	akselerator
accent	0.598	0.357	0.509	aksen
accentuate	0.673	0.556	0.667	accentuate
accept	0.847	0.286	0.565	narima
acceptable	0.812	0.286	0.583	bisa ditarima
acceptance	0.833	0.287	0.755	panarimaan
acceptances	0.847	0.413	0.648	acceptances
access	0.714	0.472	0.567	aksés
accessible	0.796	0.410	0.645	diaksés
accession	0.612	0.383	0.636	digentos
accessory	0.562	0.292	0.445	aksésori
accident	0.125	0.908	0.336	kacilakaan
accidental	0.319	0.784	0.307	teu kahaja
accidentally	0.333	0.741	0.333	ngahaja
acclaim	0.562	0.809	0.718	pujian
accolade	0.688	0.591	0.775	panghargaan
accommodate	0.844	0.375	0.566	nampung
accommodation	0.817	0.415	0.587	panginepan
accompaniment	0.740	0.479	0.695	iringan
accompany	0.833	0.406	0.585	ngiringan
accompanying	0.787	0.460	0.582	ngaréncangan
accomplice	0.408	0.580	0.510	antek
accomplish	0.929	0.673	0.816	ngalengkepan
accomplished	0.870	0.520	0.798	dilaksanakeun
accomplishment	0.917	0.694	0.888	prestasi
accord	0.898	0.264	0.382	akur
accordance	0.659	0.349	0.600	saluyu
accordion	0.604	0.490	0.361	akordion
account	0.531	0.347	0.472	akun
accountability	0.755	0.537	0.833	tanggung jawab
accountable	0.709	0.282	0.777	tanggung jawab
accountant	0.625	0.450	0.639	akuntan
accounting	0.552	0.390	0.677	akuntansi
accounts	0.592	0.340	0.471	rekening
accredited	0.669	0.479	0.768	akreditasi
accretion	0.448	0.519	0.672	akresi
accrue	0.520	0.481	0.602	nambahan
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ngumpulkeun
accumulation	0.479	0.527	0.600	akumulasi
accuracy	0.604	0.481	0.802	akurasi
accurate	0.743	0.360	0.737	akurat
accursed	0.135	0.745	0.345	dikutuk
accusation	0.073	0.718	0.564	tuduh
accusative	0.198	0.755	0.482	akusatif
accuse	0.133	0.752	0.500	nuduh
accused	0.130	0.670	0.420	dituduh
accuser	0.122	0.779	0.615	panuduh
accusing	0.156	0.745	0.324	nuduh
accustomed	0.542	0.365	0.441	biasa
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	asétat
acetylene	0.306	0.469	0.509	asetilena
ache	0.146	0.760	0.312	nyeri
achieve	0.816	0.545	0.843	ngahontal
achieved	0.896	0.519	0.775	kahontal
achievement	0.896	0.808	0.759	prestasi
aching	0.053	0.880	0.348	nyeri
achy	0.167	0.840	0.373	nyeri
acid	0.265	0.642	0.566	asam
acidity	0.156	0.663	0.360	kaasaman
acknowledge	0.786	0.370	0.661	ngaku
acknowledged	0.714	0.443	0.765	ngaku
acknowledgement	0.819	0.539	0.830	pangakuan
acknowledgment	0.796	0.528	0.777	pangakuan
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	jarawat
acorn	0.448	0.198	0.192	tangkal ek
acoustic	0.542	0.462	0.536	akustik
acoustics	0.611	0.330	0.509	akustik
acquaint	0.646	0.491	0.639	wawuh
acquaintance	0.656	0.290	0.670	kenalan
acquainted	0.906	0.358	0.632	wawuh
acquiescence	0.542	0.480	0.554	akur
acquire	0.833	0.468	0.700	acquire
acquiring	0.735	0.510	0.817	meunangkeun
acquisition	0.698	0.509	0.736	akuisisi
acquisitions	0.773	0.660	0.790	akuisisi
acquit	0.583	0.571	0.611	ngabébaskeun
acquittal	0.760	0.497	0.700	ngabébaskeun
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	hektar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akrilik
act	0.656	0.704	0.735	kalakuan
acting	0.698	0.643	0.500	akting
action	0.760	0.898	0.802	tindakan
action figure	0.615	0.774	0.611	inohong aksi
actionable	0.673	0.702	0.613	actionable
activate	0.764	0.650	0.806	ngaktipkeun
activation	0.781	0.800	0.754	aktivasina
active	0.847	0.730	0.731	aktip
activist	0.531	0.653	0.877	aktivis
activity	0.701	0.660	0.807	kagiatan
actor	0.653	0.561	0.629	aktor
actress	0.633	0.556	0.596	aktris
actual	0.729	0.400	0.716	sabenerna
actuality	0.750	0.464	0.600	aktualitas
actuary	0.510	0.404	0.491	aktuaris
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	kapinteran
acupuncture	0.531	0.324	0.549	akupungtur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	sacara akut
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	paribasa
adamant	0.344	0.529	0.575	panceg
adapt	0.740	0.355	0.551	adaptasi
adaptable	0.735	0.423	0.641	bisa adaptasi
adaptation	0.663	0.365	0.609	adaptasi
add	0.728	0.490	0.554	nambahan
added	0.562	0.405	0.509	ditambahkeun
addendum	0.392	0.370	0.418	tambihan
adder	0.388	0.461	0.588	panambih
addict	0.075	0.696	0.327	kacanduan
addicted	0.156	0.712	0.483	kacanduan
addiction	0.180	0.806	0.420	kacanduan
addictive	0.302	0.683	0.472	adiktif
addition	0.562	0.373	0.471	tambihan
additional	0.673	0.462	0.526	tambahan
additive	0.561	0.633	0.691	aditif
address	0.650	0.327	0.567	alamat
addressee	0.622	0.382	0.538	alamatna
addresses	0.510	0.354	0.450	alamat
adept	0.594	0.539	0.789	mahér
adequacy	0.615	0.435	0.702	kacukupan
adequate	0.854	0.264	0.705	nyukupan
adhere	0.633	0.339	0.554	taat
adherence	0.760	0.307	0.630	kataatan
adherent	0.561	0.385	0.555	patuh
adhering	0.612	0.561	0.537	adhering
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	napel
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adiposa
adjacency	0.365	0.417	0.375	padeukeut
adjacent	0.645	0.276	0.536	padeukeut
adjective	0.570	0.316	0.569	kecap sipat
adjoining	0.520	0.400	0.393	padeukeut
adjourn	0.385	0.456	0.475	nunda
adjournment	0.438	0.510	0.370	panundaan
adjudicate	0.559	0.520	0.683	ngahukum
adjudication	0.551	0.462	0.691	adjudikasi
adjunct	0.459	0.440	0.426	panambah
adjust	0.647	0.327	0.638	nyaluyukeun
adjuster	0.510	0.540	0.760	adjuster
adjustment	0.590	0.520	0.661	pangaluyuan
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	nguruskeun
administration	0.625	0.404	0.786	administrasi
administrative	0.542	0.415	0.579	administratif
administrator	0.538	0.480	0.902	pangurus
admirable	0.929	0.600	0.870	endah pisan
admiral	0.844	0.490	0.847	laksamana
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	reueus
admire	0.867	0.692	0.704	muji
admired	0.917	0.560	0.815	dikagumi
admirer	0.796	0.720	0.650	admirer
admiring	0.867	0.578	0.629	admiring
admissibility	0.802	0.580	0.602	bisa ditarima
admissible	0.780	0.528	0.642	bisa ditarima
admission	0.802	0.415	0.732	pangakuan
admit	0.538	0.423	0.667	ngaku
admittance	0.690	0.451	0.598	pangakuan
admitted	0.720	0.490	0.767	ngaku
admitting	0.620	0.500	0.546	ngaku
admixture	0.450	0.375	0.438	campuran
admonition	0.357	0.606	0.455	pépéling
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	rumaja
adolescent	0.781	0.680	0.509	rumaja
adopt	0.694	0.612	0.701	ngadopsi
adoption	0.625	0.566	0.589	nyoko
adoptive	0.531	0.469	0.520	nyoko
adorable	0.969	0.519	0.457	pikaresepeun
adoration	0.885	0.699	0.708	pamujaan
adore	0.854	0.438	0.657	muja
adoring	0.885	0.620	0.717	adoring
adorn	0.910	0.424	0.482	ngahias
adornment	0.918	0.373	0.377	hiasan
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrénal
adrift	0.398	0.486	0.230	ngapung
adult	0.815	0.491	0.787	sawawa
adulterated	0.188	0.865	0.370	dipalsukan
adulterer	0.229	0.814	0.407	tukang zinah
adultery	0.120	0.922	0.510	zinah
adulthood	0.541	0.454	0.652	déwasa
advance	0.673	0.472	0.858	sateuacanna
advanced	0.844	0.623	0.797	maju
advancement	0.776	0.650	0.839	kamajuan
advancing	0.929	0.608	0.812	maju
advantage	0.917	0.548	0.859	Kauntungannana
advantageous	0.837	0.640	0.789	nguntungkeun
advent	0.665	0.560	0.627	kadatangan
adventure	0.917	0.857	0.710	pangumbaraan
adventurer	0.781	0.839	0.868	petualang
adventures	0.812	0.764	0.749	petualangan
adventurous	0.969	0.898	0.722	petualang
adversary	0.349	0.777	0.457	musuh
adverse	0.323	0.610	0.385	ngarugikeun
adversity	0.276	0.760	0.538	kasangsaraan
advertise	0.500	0.529	0.580	ngareklameukeun
advertisement	0.600	0.566	0.539	iklan
advertising	0.622	0.608	0.632	iklan
adverts	0.551	0.500	0.595	iklan
advice	0.698	0.408	0.688	naséhat
advisable	0.867	0.480	0.510	sasaena
advise	0.760	0.393	0.705	mamatahan
advised	0.823	0.330	0.509	dipepelingan
advisement	0.698	0.235	0.655	piwuruk
adviser	0.745	0.362	0.705	panaséhat
advisor	0.646	0.350	0.689	panaséhat
advisory	0.656	0.429	0.633	piwuruk
advocacy	0.500	0.646	0.731	advokasi
advocate	0.551	0.530	0.818	ngajengkeun
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aerasi
aerial	0.615	0.461	0.463	hawa
aerobics	0.708	0.771	0.627	aérobik
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aérodinamika
aerodynamics	0.590	0.663	0.722	aérodinamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	kapal terbang
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	kaendahan
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	étiologi
afar	0.396	0.373	0.358	jauh
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	salingkuh
affect	0.458	0.569	0.578	mangaruhan
affecting	0.350	0.574	0.394	mangaruhan
affection	0.898	0.559	0.696	kaasih
affectionate	0.949	0.422	0.550	kaasih
affections	0.760	0.547	0.655	kaasih
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	surat pernyataan
affiliated	0.673	0.519	0.535	pakait
affiliation	0.615	0.594	0.500	karaketan
affinity	0.800	0.500	0.537	pangirut
affirm	0.745	0.509	0.731	negeskeun
affirmation	0.750	0.500	0.689	negeskeun
affirmative	0.854	0.589	0.816	negeskeun
affirmatively	0.908	0.500	0.811	affirmatively
affix	0.438	0.335	0.411	afiks
afflict	0.302	0.555	0.293	sangsara
afflicted	0.271	0.500	0.167	sangsara
affliction	0.294	0.635	0.392	kasangsaraan
affluence	0.663	0.618	0.722	kamakmuran
affluent	0.756	0.388	0.477	makmur
afford	0.571	0.580	0.575	mampuh
affordable	0.840	0.398	0.493	affordable
affront	0.327	0.740	0.547	ngahina
affronted	0.385	0.750	0.527	disanghareupan
afield	0.594	0.370	0.373	kajauhan
afire	0.367	0.904	0.675	kahuruan
afloat	0.602	0.427	0.444	ngambang
afore	0.500	0.337	0.382	sateuacanna
aforementioned	0.490	0.316	0.408	disebut tadi
aforesaid	0.531	0.358	0.478	disebut tadi
afraid	0.010	0.775	0.245	sieun
afresh	0.643	0.521	0.480	deui
aft	0.480	0.417	0.518	tukangeun
afterlife	0.571	0.567	0.568	alam baka
aftermath	0.312	0.449	0.444	saatosna
afternoon	0.533	0.388	0.339	soré
aftershave	0.406	0.384	0.415	sanggeus cukur
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	saurna
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	batu akik
age	0.561	0.226	0.498	umur
aged	0.135	0.365	0.236	sepuh
agency	0.460	0.296	0.583	agénsi
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agén
agglomeration	0.450	0.765	0.509	aglomerasi
aggravate	0.224	0.770	0.464	nganyenyerikeun hate
aggravated	0.079	0.760	0.430	diperparah
aggravates	0.108	0.778	0.357	ngaheureuykeun
aggravating	0.257	0.794	0.640	ngaheureuykeun
aggravation	0.071	0.784	0.613	kakeuheul
aggregate	0.730	0.378	0.556	agrégat
aggregation	0.583	0.517	0.694	aggregation
aggresive	0.059	0.971	0.639	agrésif
aggression	0.094	0.929	0.533	agresi
aggressive	0.125	0.949	0.648	agrésif
aggressively	0.250	0.926	0.688	sacara agrésif
aggressiveness	0.077	0.913	0.648	agrésif
aggressor	0.146	0.948	0.823	panyerang
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	reuwas
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	lincah
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	sepuh
agitate	0.300	0.796	0.593	ngaganggu
agitated	0.444	0.882	0.491	guligah
agitation	0.240	0.931	0.447	guligah
aglow	0.780	0.510	0.797	herang
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	baheula
agonizing	0.083	0.800	0.340	kanyeri
agony	0.083	0.775	0.393	kanyeri
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	satuju
agreeable	0.906	0.500	0.696	satuju
agreed	0.797	0.449	0.574	sapuk
agreeing	0.854	0.480	0.557	satuju
agreement	0.760	0.440	0.736	perjangjian
agressive	0.083	0.918	0.751	agrésif
agricultural	0.686	0.321	0.473	tatanén
agriculture	0.640	0.357	0.465	tatanén
aground	0.333	0.340	0.445	kandaraan
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	payuneun
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	heuh
aid	0.796	0.491	0.541	bantuan
aide	0.724	0.342	0.434	ajudan
aiding	0.643	0.533	0.569	nulungan
aids	0.561	0.480	0.500	bantuan
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	gering
ailment	0.146	0.734	0.277	panyakit
aim	0.481	0.569	0.567	tujuan
aimless	0.150	0.267	0.183	teu boga tujuan
air	0.708	0.163	0.427	hawa
airbag	0.510	0.402	0.433	kantong hawa
airborne	0.542	0.519	0.385	hawa
aircraft	0.646	0.644	0.691	pesawat
aircraft carrier	0.490	0.740	0.727	pamawa pesawat
airfield	0.601	0.650	0.645	lapangan udara
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	angkutan udara
airline	0.650	0.482	0.688	maskapai
airliner	0.667	0.777	0.647	kapal udara
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	juru udara
airplane	0.719	0.702	0.708	kapal terbang
airport	0.729	0.684	0.682	bandara
airs	0.583	0.196	0.370	hawana
airship	0.542	0.472	0.529	kapal udara
airspace	0.562	0.510	0.640	ruang udara
airspeed	0.583	0.780	0.544	laju hawa
airstrip	0.550	0.690	0.649	lapangan terbang
airtight	0.479	0.381	0.570	kedap udara
airway	0.638	0.585	0.482	jalan napas
aisle	0.438	0.222	0.283	lorong
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	alias
akin	0.639	0.343	0.523	sami
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	alarem
alarm clock	0.542	0.727	0.642	jam alarem
alarmed	0.188	0.822	0.492	pikahariwangeun
alarming	0.204	0.890	0.585	pikahariwangeun
alas	0.571	0.310	0.279	aduh
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albeum
alchemy	0.541	0.583	0.693	alkimia
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkohol
alcoholism	0.061	0.779	0.407	alkoholismeu
alcove	0.490	0.340	0.356	lolongkrang
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	waspada
alertness	0.375	0.875	0.750	kaparigelan
alerts	0.337	0.804	0.673	panggeuing
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	aljabar
algebraic	0.531	0.412	0.441	aljabar
algorithm	0.448	0.394	0.559	algoritma
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	alien
alienate	0.247	0.500	0.523	ngasingkeun
alienated	0.410	0.423	0.559	terasing
alienation	0.378	0.530	0.462	ngasingkeun
alight	0.667	0.657	0.605	turun
align	0.656	0.364	0.627	ngajajar
aligned	0.583	0.275	0.553	dijajarkeun
alignment	0.643	0.412	0.683	alignment
alike	0.653	0.173	0.444	sarua
alimentation	0.781	0.551	0.602	dahareun
alimony	0.612	0.477	0.464	nafkah
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	hirup
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloid
allay	0.417	0.406	0.398	nyangsang
allegation	0.578	0.578	0.608	sangkaan
allege	0.418	0.482	0.587	ngaduga
alleged	0.365	0.522	0.520	disangka
allegiance	0.917	0.398	0.750	kasatiaan
allegorical	0.517	0.558	0.598	alegoris
allegory	0.615	0.580	0.509	alégori
allegro	0.635	0.627	0.453	alégro
allergic	0.135	0.549	0.273	alérgi
allergy	0.296	0.606	0.389	alergi
alleviate	0.869	0.270	0.528	ngurangan
alleviation	0.735	0.200	0.491	ngurangan
alley	0.347	0.500	0.355	gang
alleyway	0.357	0.471	0.382	gang
alliance	0.696	0.473	0.769	aliansi
allied	0.714	0.245	0.642	sekutu
alligator	0.354	0.704	0.645	buaya
allocate	0.673	0.462	0.672	alokasi
allocation	0.604	0.388	0.679	alokasi
allot	0.622	0.481	0.616	ngabagikeun
allotment	0.600	0.390	0.640	jatah
allow	0.698	0.429	0.538	ngidinan
allowable	0.698	0.500	0.561	diwenangkeun
allowance	0.673	0.382	0.591	sangu
allowed	0.730	0.360	0.655	diwenangkeun
alloy	0.583	0.443	0.593	alloy
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	pikabitaeun
alluring	0.837	0.745	0.843	pikabitaeun
allusion	0.440	0.308	0.462	sindiran
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	babaturan deukeut
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	maha kawasa
almond	0.698	0.183	0.314	badami
aloft	0.771	0.373	0.700	luhur-luhur
aloha	0.698	0.440	0.441	heueuh
alone	0.333	0.167	0.216	nyalira
alongside	0.458	0.333	0.347	barengan
aloof	0.189	0.423	0.302	ngajauhan
aloud	0.458	0.713	0.750	nyaring
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabét
alphabetical	0.537	0.296	0.535	abjad
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	geusyyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	budak altar
alter	0.333	0.694	0.654	ngarobah
alteration	0.167	0.798	0.609	parobahan
altercation	0.170	0.806	0.500	pertengkaran
altered	0.255	0.765	0.500	dirobah
alternate	0.625	0.363	0.589	silih ganti
alternating	0.480	0.494	0.542	bolak-balik
alternative	0.628	0.373	0.631	alternatif
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	luhurna
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	sakabehna
aluminum	0.449	0.280	0.434	alumunium
alumnus	0.633	0.368	0.422	alumni
alveolar	0.469	0.481	0.367	alvéolar
alzheimers	0.194	0.518	0.319	panyawat Alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	amalgamasi
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	ngumpulkeun
amateur	0.469	0.500	0.409	amatir
amaze	0.896	0.843	0.783	pikaheraneun
amazed	0.796	0.779	0.533	reuwas
amazedness	0.827	0.872	0.510	kaheranan
amazement	0.750	0.800	0.639	kaheranan
amazing	0.906	0.837	0.849	endah pisan
amazingly	0.918	0.765	0.920	luar biasa
ambassador	0.651	0.529	0.917	duta
amber	0.635	0.308	0.369	ambar
ambience	0.735	0.356	0.426	suasana
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	ambiguitas
ambiguous	0.265	0.462	0.358	ambigu
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	ambisi
ambitious	0.484	0.821	0.717	ambisius
ambivalent	0.510	0.404	0.482	ambivalén
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulan
ambush	0.281	0.830	0.500	tewak
ameliorate	0.770	0.548	0.747	ningkatkeun
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	amenable
amend	0.688	0.406	0.658	ngarobah
amendment	0.531	0.459	0.606	amandemen
amends	0.640	0.366	0.517	amends
amenity	0.750	0.327	0.574	kasenangan
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	marahmay
amicable	0.875	0.330	0.507	silaturahmi
amid	0.510	0.340	0.256	ditengah
amidst	0.480	0.330	0.316	ditengah
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	amunisi
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	amonium
ammunition	0.338	0.635	0.667	amunisi
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	pangampunan
amorous	0.844	0.670	0.636	asmara
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortisasi
amount	0.562	0.422	0.649	jumlah
amour	0.865	0.480	0.652	asmara
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamin
amphibian	0.427	0.357	0.474	amfibi
amphibious	0.479	0.346	0.445	amfibi
amphitheater	0.653	0.480	0.545	amfitéater
ample	0.744	0.349	0.719	nyatu
amplification	0.690	0.677	0.810	amplifikasi
amplify	0.677	0.735	0.827	ngagedékeun
amplitude	0.694	0.439	0.692	amplitudo
amply	0.781	0.431	0.766	ngalobaan
amputate	0.092	0.660	0.509	amputasi
amputation	0.100	0.755	0.483	amputasi
amuck	0.385	0.602	0.321	ambek
amulet	0.781	0.260	0.630	jimat
amuse	0.812	0.684	0.664	ngahibur
amused	0.942	0.847	0.596	ngahibur
amusement	0.929	0.837	0.803	hiburan
amusing	0.960	0.829	0.632	pikaseurieun
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	ubar keur ngabius
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesik
analogous	0.531	0.270	0.500	analogi
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogi
analysis	0.729	0.448	0.705	analisis
analyst	0.604	0.415	0.755	analis
analytic	0.665	0.521	0.634	analitik
analytical	0.625	0.324	0.800	analitik
analyze	0.667	0.462	0.710	nganalisis
analyzer	0.625	0.556	0.854	analis
anaphylactic	0.378	0.588	0.500	anafilaksis
anarchism	0.125	0.804	0.623	anarkisme
anarchist	0.204	0.700	0.759	anarkis
anarchy	0.146	0.755	0.620	anarki
anastomosis	0.375	0.470	0.490	anastomosis
