English Word	Valence	Arousal	Dominance	Tamil Word
abrasive	0.392	0.610	0.593	சிராய்ப்பு
abreast	0.635	0.380	0.519	அருகில்
abroad	0.677	0.596	0.561	வெளிநாட்டில்
abrogate	0.327	0.510	0.594	ரத்து செய்
abrupt	0.271	0.819	0.545	திடீர்
abruptly	0.250	0.808	0.556	திடீரென்று
abscess	0.154	0.451	0.349	சீழ்
absence	0.153	0.235	0.266	இல்லாமை
absent	0.177	0.221	0.116	இல்லாத
absentee	0.235	0.330	0.279	வராதவர்
absenteeism	0.404	0.273	0.357	வருகையின்மை
absinthe	0.481	0.510	0.462	அப்சிந்தே
absolute	0.526	0.510	0.827	அறுதி
absolution	0.715	0.500	0.664	பாவமன்னிப்பு
absolve	0.684	0.449	0.660	மன்னிக்க
absorb	0.469	0.558	0.670	உறிஞ்சி
absorbed	0.490	0.471	0.519	உறிஞ்சப்பட்டது
absorbent	0.552	0.394	0.718	உறிஞ்சக்கூடியது
absorbing	0.490	0.490	0.578	உறிஞ்சும்
absorption	0.609	0.422	0.446	உறிஞ்சுதல்
abstain	0.385	0.385	0.427	தவிர்க்கவும்
abstention	0.271	0.264	0.509	புறக்கணிப்பு
abstinence	0.260	0.392	0.429	மதுவிலக்கு
abstract	0.438	0.292	0.444	சுருக்கம்
abstraction	0.469	0.439	0.525	சுருக்கம்
absurd	0.188	0.656	0.284	அபத்தமான
absurdity	0.115	0.528	0.227	அபத்தம்
abundance	0.812	0.690	0.852	மிகுதியாக
abundant	0.958	0.590	0.760	ஏராளமான
abuse	0.071	0.873	0.469	முறைகேடு
abused	0.021	0.874	0.235	துஷ்பிரயோகம்
abusive	0.125	0.903	0.567	தவறான
abutment	0.500	0.265	0.616	அடிவாங்கல்
aby	0.385	0.452	0.368	அபி
abysmal	0.250	0.710	0.598	படுமோசமான
abyss	0.353	0.725	0.296	பள்ளம்
academic	0.781	0.420	0.812	கல்விசார்
academy	0.704	0.473	0.792	கலைக்கூடம்
accede	0.698	0.510	0.537	ஒப்புக்கொள்
accelerant	0.643	0.844	0.802	முடுக்கி
accelerate	0.615	0.902	0.759	முடுக்கி
accelerated	0.610	0.812	0.682	துரிதப்படுத்தப்பட்டது
acceleration	0.704	0.905	0.843	முடுக்கம்
accelerator	0.593	0.830	0.812	முடுக்கி
accent	0.598	0.357	0.509	உச்சரிப்பு
accentuate	0.673	0.556	0.667	வலியுறுத்து
accept	0.847	0.286	0.565	ஏற்றுக்கொள்
acceptable	0.812	0.286	0.583	ஏற்றுக்கொள்ளக்கூடியது
acceptance	0.833	0.287	0.755	ஏற்றுக்கொள்ளுதல்
acceptances	0.847	0.413	0.648	ஏற்புகள்
access	0.714	0.472	0.567	அணுகல்
accessible	0.796	0.410	0.645	அணுகக்கூடியது
accession	0.612	0.383	0.636	சேருதல்
accessory	0.562	0.292	0.445	துணை
accident	0.125	0.908	0.336	விபத்து
accidental	0.319	0.784	0.307	தற்செயலான
accidentally	0.333	0.741	0.333	தற்செயலாக
acclaim	0.562	0.809	0.718	பாராட்டுதல்
accolade	0.688	0.591	0.775	பாராட்டு
accommodate	0.844	0.375	0.566	இடமளிக்க
accommodation	0.817	0.415	0.587	தங்குமிடம்
accompaniment	0.740	0.479	0.695	துணை
accompany	0.833	0.406	0.585	உடன்
accompanying	0.787	0.460	0.582	உடன்
accomplice	0.408	0.580	0.510	உடந்தை
accomplish	0.929	0.673	0.816	சாதிக்க
accomplished	0.870	0.520	0.798	நிறைவேற்றப்பட்டது
accomplishment	0.917	0.694	0.888	சாதனை
accord	0.898	0.264	0.382	உடன்பாடு
accordance	0.659	0.349	0.600	ஏற்ப
accordion	0.604	0.490	0.361	துருத்தி
account	0.531	0.347	0.472	கணக்கு
accountability	0.755	0.537	0.833	பொறுப்புக்கூறல்
accountable	0.709	0.282	0.777	பொறுப்பான
accountant	0.625	0.450	0.639	கணக்காளர்
accounting	0.552	0.390	0.677	கணக்கியல்
accounts	0.592	0.340	0.471	கணக்குகள்
accredited	0.669	0.479	0.768	அங்கீகாரம் பெற்றது
accretion	0.448	0.519	0.672	திரட்டுதல்
accrue	0.520	0.481	0.602	சேரும்
accueil	0.450	0.451	0.470	திரட்டுதல்
accumulate	0.573	0.536	0.607	குவிக்க
accumulation	0.479	0.527	0.600	திரட்சி
accuracy	0.604	0.481	0.802	துல்லியம்
accurate	0.743	0.360	0.737	துல்லியமானது
accursed	0.135	0.745	0.345	சபிக்கப்பட்ட
accusation	0.073	0.718	0.564	குற்றச்சாட்டு
accusative	0.198	0.755	0.482	குற்றச்சாட்டு
accuse	0.133	0.752	0.500	குற்றம் சாட்டுகின்றனர்
accused	0.130	0.670	0.420	குற்றம் சாட்டினார்
accuser	0.122	0.779	0.615	குற்றம் சாட்டுபவர்
accusing	0.156	0.745	0.324	குற்றம் சாட்டுகிறது
accustomed	0.542	0.365	0.441	பழகிவிட்டது
ace	0.643	0.481	0.546	சீட்டு
acetic	0.333	0.420	0.519	அசிட்டிக்
acetylene	0.306	0.469	0.509	அசிட்டிலீன்
ache	0.146	0.760	0.312	வலி
achieve	0.816	0.545	0.843	அடைய
achieved	0.896	0.519	0.775	சாதித்தது
achievement	0.896	0.808	0.759	சாதனை
aching	0.053	0.880	0.348	வலிக்கிறது
achy	0.167	0.840	0.373	வலி
acid	0.265	0.642	0.566	அமிலம்
acidity	0.156	0.663	0.360	அமிலத்தன்மை
acknowledge	0.786	0.370	0.661	ஒப்புக்கொள்
acknowledged	0.714	0.443	0.765	ஒப்புக்கொள்ளப்பட்டது
acknowledgement	0.819	0.539	0.830	ஒப்புகை
acknowledgment	0.796	0.528	0.777	ஒப்புகை
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	முகப்பரு
acorn	0.448	0.198	0.192	ஏகோர்ன்
acoustic	0.542	0.462	0.536	ஒலியியல்
acoustics	0.611	0.330	0.509	ஒலியியல்
acquaint	0.646	0.491	0.639	அறிமுகம்
acquaintance	0.656	0.290	0.670	அறிமுகம்
acquainted	0.906	0.358	0.632	அறிமுகமானார்
acquiescence	0.542	0.480	0.554	ஒப்புக்கொள்ளுதல்
acquire	0.833	0.468	0.700	பெற
acquiring	0.735	0.510	0.817	பெறுதல்
acquisition	0.698	0.509	0.736	கையகப்படுத்தல்
acquisitions	0.773	0.660	0.790	கையகப்படுத்துதல்
acquit	0.583	0.571	0.611	விடுதலை
acquittal	0.760	0.497	0.700	விடுதலை
acre	0.583	0.387	0.423	ஏக்கர்
acreage	0.741	0.450	0.528	ஏக்கர் பரப்பளவு
acres	0.510	0.363	0.500	ஏக்கர்
acrobat	0.708	0.828	0.602	அக்ரோபேட்
acrylic	0.582	0.279	0.420	அக்ரிலிக்
act	0.656	0.704	0.735	நாடகம்
acting	0.698	0.643	0.500	நடிப்பு
action	0.760	0.898	0.802	நடவடிக்கை
action figure	0.615	0.774	0.611	செயல் உருவம்
actionable	0.673	0.702	0.613	செயல்படக்கூடியது
activate	0.764	0.650	0.806	செயல்படுத்த
activation	0.781	0.800	0.754	செயல்படுத்துதல்
active	0.847	0.730	0.731	செயலில்
activist	0.531	0.653	0.877	ஆர்வலர்
activity	0.701	0.660	0.807	செயல்பாடு
actor	0.653	0.561	0.629	நடிகர்
actress	0.633	0.556	0.596	நடிகை
actual	0.729	0.400	0.716	உண்மையான
actuality	0.750	0.464	0.600	உண்மை
actuary	0.510	0.404	0.491	ஆக்சுவரி
acuity	0.469	0.378	0.741	கூர்மை
acumen	0.564	0.660	0.679	புத்திசாலித்தனம்
acupuncture	0.531	0.324	0.549	குத்தூசி மருத்துவம்
acute	0.427	0.652	0.534	கடுமையான
acutely	0.417	0.543	0.491	தீவிரமாக
ad	0.521	0.705	0.558	விளம்பரம்
adage	0.517	0.415	0.566	பழமொழி
adamant	0.344	0.529	0.575	பிடிவாதமாக
adapt	0.740	0.355	0.551	ஏற்ப
adaptable	0.735	0.423	0.641	ஏற்புடையது
adaptation	0.663	0.365	0.609	தழுவல்
add	0.728	0.490	0.554	கூட்டு
added	0.562	0.405	0.509	சேர்க்கப்பட்டது
addendum	0.392	0.370	0.418	சேர்க்கை
adder	0.388	0.461	0.588	சேர்ப்பான்
addict	0.075	0.696	0.327	அடிமை
addicted	0.156	0.712	0.483	அடிமையான
addiction	0.180	0.806	0.420	போதை
addictive	0.302	0.683	0.472	போதை
addition	0.562	0.373	0.471	கூடுதலாக
additional	0.673	0.462	0.526	கூடுதல்
additive	0.561	0.633	0.691	சேர்க்கை
address	0.650	0.327	0.567	முகவரி
addressee	0.622	0.382	0.538	முகவரியாளர்
addresses	0.510	0.354	0.450	முகவரிகள்
adept	0.594	0.539	0.789	திறமையான
adequacy	0.615	0.435	0.702	போதுமான அளவு
adequate	0.854	0.264	0.705	போதுமானது
adhere	0.633	0.339	0.554	கடைபிடிக்கின்றன
adherence	0.760	0.307	0.630	கடைபிடித்தல்
adherent	0.561	0.385	0.555	பின்பற்றுபவர்
adhering	0.612	0.561	0.537	ஒட்டிக்கொண்டிருக்கிறது
adhesion	0.521	0.445	0.586	ஒட்டுதல்
adhesive	0.604	0.350	0.413	பிசின்
adieu	0.250	0.471	0.342	விடைபெறு
adipose	0.333	0.350	0.391	கொழுப்பு
adjacency	0.365	0.417	0.375	அடுத்துள்ள
adjacent	0.645	0.276	0.536	அருகில்
adjective	0.570	0.316	0.569	பெயரடை
adjoining	0.520	0.400	0.393	அருகில்
adjourn	0.385	0.456	0.475	ஒத்திவைக்க
adjournment	0.438	0.510	0.370	ஒத்திவைப்பு
adjudicate	0.559	0.520	0.683	தீர்ப்பளிக்கவும்
adjudication	0.551	0.462	0.691	தீர்ப்பு
adjunct	0.459	0.440	0.426	துணை
adjust	0.647	0.327	0.638	சரிசெய்ய
adjuster	0.510	0.540	0.760	சரிசெய்யும்
adjustment	0.590	0.520	0.661	சரிசெய்தல்
adjuvant	0.510	0.500	0.456	துணை
admin	0.688	0.420	0.854	நிர்வாகம்
administer	0.635	0.425	0.860	நிர்வாகி
administration	0.625	0.404	0.786	நிர்வாகம்
administrative	0.542	0.415	0.579	நிர்வாக
administrator	0.538	0.480	0.902	நிர்வாகி
admirable	0.929	0.600	0.870	போற்றத்தக்கது
admiral	0.844	0.490	0.847	அட்மிரல்
admiralty	0.594	0.547	0.733	அட்மிரல்டி
admiration	0.969	0.583	0.726	போற்றுதல்
admire	0.867	0.692	0.704	ரசிக்கிறது
admired	0.917	0.560	0.815	பாராட்டப்படும்
admirer	0.796	0.720	0.650	அபிமானி
admiring	0.867	0.578	0.629	போற்றும்
admissibility	0.802	0.580	0.602	ஏற்றுக்கொள்ளக்கூடிய தன்மை
admissible	0.780	0.528	0.642	ஏற்றுக்கொள்ளத்தக்கது
admission	0.802	0.415	0.732	சேர்க்கை
admit	0.538	0.423	0.667	ஒப்புக்கொள்
admittance	0.690	0.451	0.598	சேர்க்கை
admitted	0.720	0.490	0.767	ஒப்புக்கொண்டார்
admitting	0.620	0.500	0.546	ஒப்புக்கொள்கிறேன்
admixture	0.450	0.375	0.438	கலவை
admonition	0.357	0.606	0.455	அறிவுரை
ado	0.520	0.423	0.385	அதோ
adobe	0.500	0.319	0.328	அடோப்
adolescence	0.487	0.694	0.444	இளமைப் பருவம்
adolescent	0.781	0.680	0.509	பருவ வயது
adopt	0.694	0.612	0.701	தத்தெடுக்க
adoption	0.625	0.566	0.589	தத்தெடுப்பு
adoptive	0.531	0.469	0.520	தத்தெடுக்கப்பட்ட
adorable	0.969	0.519	0.457	அபிமானமானது
adoration	0.885	0.699	0.708	வழிபாடு
adore	0.854	0.438	0.657	வணங்கு
adoring	0.885	0.620	0.717	வணங்கும்
adorn	0.910	0.424	0.482	அலங்கரிக்க
adornment	0.918	0.373	0.377	அலங்காரம்
adrenalin	0.865	0.920	0.786	அட்ரினலின்
adrenaline	0.765	0.965	0.825	அட்ரினலின்
adrift	0.398	0.486	0.230	அலைந்து திரிதல்
adult	0.815	0.491	0.787	வயது வந்தோர்
adulterated	0.188	0.865	0.370	கலப்படம்
adulterer	0.229	0.814	0.407	விபச்சாரம் செய்பவர்
adultery	0.120	0.922	0.510	விபச்சாரம்
adulthood	0.541	0.454	0.652	முதிர்வயது
advance	0.673	0.472	0.858	முன்கூட்டியே
advanced	0.844	0.623	0.797	மேம்படுத்தபட்ட
advancement	0.776	0.650	0.839	முன்னேற்றம்
advancing	0.929	0.608	0.812	முன்னேறுகிறது
advantage	0.917	0.548	0.859	நன்மை
advantageous	0.837	0.640	0.789	அனுகூலமான
advent	0.665	0.560	0.627	வருகை
adventure	0.917	0.857	0.710	சாகசம்
adventurer	0.781	0.839	0.868	சாகசக்காரர்
adventures	0.812	0.764	0.749	சாகசங்கள்
adventurous	0.969	0.898	0.722	துணிச்சலான
adversary	0.349	0.777	0.457	எதிரி
adverse	0.323	0.610	0.385	பாதகமான
adversity	0.276	0.760	0.538	துன்பம்
advertise	0.500	0.529	0.580	விளம்பரம்
advertisement	0.600	0.566	0.539	விளம்பரம்
advertising	0.622	0.608	0.632	விளம்பரம்
adverts	0.551	0.500	0.595	விளம்பரங்கள்
advice	0.698	0.408	0.688	ஆலோசனை
advisable	0.867	0.480	0.510	அறிவுறுத்தப்படுகிறது
advise	0.760	0.393	0.705	ஆலோசனை
advised	0.823	0.330	0.509	அறிவுறுத்தினார்
advisement	0.698	0.235	0.655	ஆலோசனை
adviser	0.745	0.362	0.705	ஆலோசகர்
advisor	0.646	0.350	0.689	ஆலோசகர்
advisory	0.656	0.429	0.633	ஆலோசனை
advocacy	0.500	0.646	0.731	வக்காலத்து
advocate	0.551	0.530	0.818	வழக்கறிஞர்
aegis	0.490	0.439	0.462	ஏஜிஸ்
aeration	0.550	0.500	0.433	காற்றோட்டம்
aerial	0.615	0.461	0.463	வான்வழி
aerobics	0.708	0.771	0.627	ஏரோபிக்ஸ்
aerodrome	0.541	0.740	0.678	விமான நிலையம்
aerodynamic	0.561	0.724	0.728	காற்றியக்கவியல்
aerodynamics	0.590	0.663	0.722	காற்றியக்கவியல்
aeronautics	0.551	0.633	0.688	ஏரோநாட்டிக்ஸ்
aeroplane	0.714	0.642	0.644	விமானம்
aerospace	0.643	0.520	0.779	விண்வெளி
aesthetic	0.708	0.442	0.526	அழகியல்
aesthetics	0.847	0.327	0.549	அழகியல்
aetiology	0.480	0.398	0.615	நோய்க்குறியியல்
afar	0.396	0.373	0.358	தொலைவில்
affable	0.704	0.380	0.452	அன்பான
affair	0.520	0.459	0.657	விவகாரம்
affect	0.458	0.569	0.578	பாதிக்கும்
affecting	0.350	0.574	0.394	பாதிக்கும்
affection	0.898	0.559	0.696	பாசம்
affectionate	0.949	0.422	0.550	பாசமுள்ள
affections	0.760	0.547	0.655	பாசங்கள்
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	வாக்குமூலம்
affiliated	0.673	0.519	0.535	இணைந்த
affiliation	0.615	0.594	0.500	இணைப்பு
affinity	0.800	0.500	0.537	தொடர்பு
affirm	0.745	0.509	0.731	உறுதிபடுத்தவும்
affirmation	0.750	0.500	0.689	உறுதிமொழி
affirmative	0.854	0.589	0.816	உறுதியான
affirmatively	0.908	0.500	0.811	உறுதியுடன்
affix	0.438	0.335	0.411	இணைப்பு
afflict	0.302	0.555	0.293	துன்புறுத்துகின்றன
afflicted	0.271	0.500	0.167	பாதிக்கப்பட்ட
affliction	0.294	0.635	0.392	துன்பம்
affluence	0.663	0.618	0.722	செல்வச் செழிப்பு
affluent	0.756	0.388	0.477	வசதி படைத்த
afford	0.571	0.580	0.575	வாங்க
affordable	0.840	0.398	0.493	மலிவு
affront	0.327	0.740	0.547	அவமதிப்பு
affronted	0.385	0.750	0.527	அவமானப்படுத்தப்பட்டது
afield	0.594	0.370	0.373	வெளியில்
afire	0.367	0.904	0.675	தீ
afloat	0.602	0.427	0.444	மிதக்கும்
afore	0.500	0.337	0.382	முன்
aforementioned	0.490	0.316	0.408	மேற்கூறிய
aforesaid	0.531	0.358	0.478	மேற்கூறிய
afraid	0.010	0.775	0.245	பயம்
afresh	0.643	0.521	0.480	புதிதாக
aft	0.480	0.417	0.518	பின்
afterlife	0.571	0.567	0.568	மறுவாழ்வு
aftermath	0.312	0.449	0.444	பின்விளைவு
afternoon	0.533	0.388	0.339	பிற்பகல்
aftershave	0.406	0.384	0.415	ஷேவ் செய்தபின்
aftertaste	0.354	0.362	0.455	பின் சுவை
afterthought	0.396	0.392	0.349	பின் சிந்தனை
aga	0.542	0.327	0.398	ஆகா
agape	0.612	0.529	0.464	அகபே
agate	0.540	0.377	0.483	அகேட்
age	0.561	0.226	0.498	வயது
aged	0.135	0.365	0.236	வயதான
agency	0.460	0.296	0.583	நிறுவனம்
agenda	0.531	0.296	0.553	நிகழ்ச்சி நிரல்
agent	0.480	0.439	0.755	முகவர்
agglomeration	0.450	0.765	0.509	திரட்டுதல்
aggravate	0.224	0.770	0.464	மோசமாக்கும்
aggravated	0.079	0.760	0.430	மோசமடைந்தது
aggravates	0.108	0.778	0.357	மோசமாக்குகிறது
aggravating	0.257	0.794	0.640	மோசமாக்கும்
aggravation	0.071	0.784	0.613	தீவிரமடைதல்
aggregate	0.730	0.378	0.556	மதிப்பீட்டு
aggregation	0.583	0.517	0.694	திரட்டுதல்
aggresive	0.059	0.971	0.639	ஆக்கிரமிப்பு
aggression	0.094	0.929	0.533	ஆக்கிரமிப்பு
aggressive	0.125	0.949	0.648	முரட்டுத்தனமான
aggressively	0.250	0.926	0.688	ஆக்ரோஷமாக
aggressiveness	0.077	0.913	0.648	ஆக்கிரமிப்பு
aggressor	0.146	0.948	0.823	ஆக்கிரமிப்பாளர்
agh	0.260	0.500	0.400	ஆஹா
aghast	0.133	0.865	0.464	திகைப்பு
aghhh	0.281	0.635	0.243	ஆஹ்ஹ்ஹ்
agile	0.800	0.657	0.775	சுறுசுறுப்பான
agility	0.720	0.702	0.815	சுறுசுறுப்பு
aging	0.214	0.255	0.284	முதுமை
agitate	0.300	0.796	0.593	கிளர்ந்தெழ
agitated	0.444	0.882	0.491	கிளர்ந்தெழுந்தார்
agitation	0.240	0.931	0.447	கிளர்ச்சி
aglow	0.780	0.510	0.797	எரியும்
agnostic	0.306	0.396	0.574	அஞ்ஞானவாதி
ago	0.317	0.280	0.404	முன்பு
agonizing	0.083	0.800	0.340	வேதனையளிக்கிறது
agony	0.083	0.775	0.393	வேதனை
agoraphobia	0.127	0.712	0.438	அகோராபோபியா
agree	0.906	0.260	0.545	ஒப்புக்கொள்
agreeable	0.906	0.500	0.696	ஏற்றுக்கொள்ளத்தக்கது
agreed	0.797	0.449	0.574	ஒப்புக்கொண்டார்
agreeing	0.854	0.480	0.557	ஒப்புக்கொள்கிறேன்
agreement	0.760	0.440	0.736	உடன்பாடு
agressive	0.083	0.918	0.751	ஆக்கிரமிப்பு
agricultural	0.686	0.321	0.473	விவசாய
agriculture	0.640	0.357	0.465	வேளாண்மை
aground	0.333	0.340	0.445	நிலத்தடி
agua	0.598	0.180	0.436	அகுவா
ahead	0.708	0.520	0.673	முன்னால்
ahhh	0.562	0.517	0.241	ஆஹ்ஹ்ஹ்
ahhhhhhhh	0.552	0.649	0.288	அஹ்ஹ்ஹ்ஹ்ஹ்ஹ்ஹ்
ahoy	0.500	0.497	0.380	ஐயோ
aid	0.796	0.491	0.541	உதவி
aide	0.724	0.342	0.434	உதவியாளர்
aiding	0.643	0.533	0.569	உதவி
aids	0.561	0.480	0.500	உதவிகள்
ail	0.375	0.434	0.385	நோய்
ailing	0.094	0.518	0.153	நோய்வாய்ப்பட்ட
ailment	0.146	0.734	0.277	நோய்
aim	0.481	0.569	0.567	நோக்கம்
aimless	0.150	0.267	0.183	இலக்கற்ற
air	0.708	0.163	0.427	காற்று
airbag	0.510	0.402	0.433	காற்றுப்பை
airborne	0.542	0.519	0.385	வான்வழி
aircraft	0.646	0.644	0.691	விமானம்
aircraft carrier	0.490	0.740	0.727	விமானம் தாங்கி
airfield	0.601	0.650	0.645	விமானநிலையம்
airhead	0.271	0.481	0.276	காற்றோட்டம்
airlift	0.573	0.622	0.642	விமானம்
airline	0.650	0.482	0.688	விமான நிறுவனம்
airliner	0.667	0.777	0.647	விமானம்
airlock	0.398	0.520	0.447	காற்றோட்டம்
airman	0.587	0.716	0.721	விமானப்படை வீரர்
airplane	0.719	0.702	0.708	விமானம்
airport	0.729	0.684	0.682	விமான நிலையம்
airs	0.583	0.196	0.370	ஒளிபரப்பு
airship	0.542	0.472	0.529	ஆகாய கப்பல்
airspace	0.562	0.510	0.640	வான்வெளி
airspeed	0.583	0.780	0.544	காற்றின் வேகம்
airstrip	0.550	0.690	0.649	விமான ஓடுதளம்
airtight	0.479	0.381	0.570	காற்று புகாத
airway	0.638	0.585	0.482	காற்றுப்பாதை
aisle	0.438	0.222	0.283	இடைகழி
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	அஜர்
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	ஒத்த
alabaster	0.542	0.404	0.445	அலபாஸ்டர்
alarm	0.241	0.882	0.698	எச்சரிக்கை
alarm clock	0.542	0.727	0.642	அலாரம் கடிகாரம்
alarmed	0.188	0.822	0.492	எச்சரிக்கை மணி
alarming	0.204	0.890	0.585	எச்சரிக்கை
alas	0.571	0.310	0.279	ஐயோ
alb	0.521	0.380	0.427	ஆல்ப்
albatross	0.500	0.445	0.527	அல்பட்ராஸ்
albino	0.500	0.240	0.358	இயற்கை நிறத்தை இழந்தவர்
album	0.635	0.349	0.453	ஆல்பம்
alchemy	0.541	0.583	0.693	ரசவாதம்
alcohol	0.323	0.667	0.377	மது
alcoholic	0.153	0.688	0.361	குடிப்பழக்கம்
alcoholism	0.061	0.779	0.407	மதுப்பழக்கம்
alcove	0.490	0.340	0.356	அல்கோவ்
alderman	0.550	0.459	0.691	முதியவர்
ale	0.530	0.450	0.358	அலே
alert	0.479	0.820	0.648	எச்சரிக்கை
alertness	0.375	0.875	0.750	எச்சரிக்கை
alerts	0.337	0.804	0.673	எச்சரிக்கைகள்
alfalfa	0.546	0.250	0.311	பாசிப்பருப்பு
algebra	0.440	0.340	0.565	இயற்கணிதம்
algebraic	0.531	0.412	0.441	இயற்கணிதம்
algorithm	0.448	0.394	0.559	அல்காரிதம்
alias	0.541	0.353	0.333	மாற்றுப்பெயர்
alibi	0.396	0.528	0.556	அலிபி
alien	0.410	0.615	0.491	அன்னிய
alienate	0.247	0.500	0.523	அந்நியப்படுத்த
alienated	0.410	0.423	0.559	அந்நியப்படுத்தப்பட்டது
alienation	0.378	0.530	0.462	அந்நியப்படுதல்
alight	0.667	0.657	0.605	இறங்கு
align	0.656	0.364	0.627	சீரமைக்க
aligned	0.583	0.275	0.553	சீரமைக்கப்பட்டது
alignment	0.643	0.412	0.683	சீரமைப்பு
alike	0.653	0.173	0.444	ஒரே மாதிரியாக
alimentation	0.781	0.551	0.602	உணவூட்டல்
alimony	0.612	0.477	0.464	ஜீவனாம்சம்
aliquot	0.440	0.310	0.404	அலிகோட்
alive	0.816	0.637	0.731	உயிருடன்
alkali	0.490	0.350	0.408	காரம்
alkaloids	0.433	0.562	0.402	ஆல்கலாய்டுகள்
allay	0.417	0.406	0.398	குறைக்க
allegation	0.578	0.578	0.608	குற்றச்சாட்டு
allege	0.418	0.482	0.587	குற்றம் சாட்டுகின்றனர்
alleged	0.365	0.522	0.520	கூறப்படும்
allegiance	0.917	0.398	0.750	விசுவாசம்
allegorical	0.517	0.558	0.598	உருவகமான
allegory	0.615	0.580	0.509	உருவகம்
allegro	0.635	0.627	0.453	அலெக்ரோ
allergic	0.135	0.549	0.273	ஒவ்வாமை
allergy	0.296	0.606	0.389	ஒவ்வாமை
alleviate	0.869	0.270	0.528	தணிக்க
alleviation	0.735	0.200	0.491	தணிப்பு
alley	0.347	0.500	0.355	சந்து
alleyway	0.357	0.471	0.382	சந்து
alliance	0.696	0.473	0.769	கூட்டணி
allied	0.714	0.245	0.642	கூட்டணி
alligator	0.354	0.704	0.645	முதலை
allocate	0.673	0.462	0.672	ஒதுக்கீடு
allocation	0.604	0.388	0.679	ஒதுக்கீடு
allot	0.622	0.481	0.616	ஒதுக்கீடு
allotment	0.600	0.390	0.640	ஒதுக்கீடு
allow	0.698	0.429	0.538	அனுமதிக்க
allowable	0.698	0.500	0.561	அனுமதிக்கக்கூடியது
allowance	0.673	0.382	0.591	கொடுப்பனவு
allowed	0.730	0.360	0.655	அனுமதிக்கப்பட்டது
alloy	0.583	0.443	0.593	கலவை
allsmiles	0.786	0.528	0.430	புன்னகைக்கிறார்
allure	0.804	0.585	0.686	கவர்ச்சி
alluring	0.837	0.745	0.843	வசீகரிக்கும்
allusion	0.440	0.308	0.462	குறிப்பு
alluvial	0.323	0.490	0.491	வண்டல்
ally	0.792	0.320	0.688	கூட்டாளி
almanac	0.688	0.190	0.412	பஞ்சாங்கம்
almighty	0.938	0.874	0.958	எல்லாம் வல்ல
almond	0.698	0.183	0.314	பாதம் கொட்டை
aloft	0.771	0.373	0.700	உயரமான
aloha	0.698	0.440	0.441	அலோஹா
