English Word	Valence	Arousal	Dominance	Shona Word
addiction	0.180	0.806	0.420	kupindwa muropa
addictive	0.302	0.683	0.472	kupindwa muropa
addition	0.562	0.373	0.471	kuwedzera
additional	0.673	0.462	0.526	kuwedzera
additive	0.561	0.633	0.691	additive
address	0.650	0.327	0.567	kero
addressee	0.622	0.382	0.538	addressee
addresses	0.510	0.354	0.450	kero
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	kukwana
adequate	0.854	0.264	0.705	zvakakwana
adhere	0.633	0.339	0.554	adhere
adherence	0.760	0.307	0.630	kutevedza
adherent	0.561	0.385	0.555	adherent
adhering	0.612	0.561	0.537	kunamatira
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	adhesive
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	pedyo
adjacent	0.645	0.276	0.536	pedyo
adjective	0.570	0.316	0.569	adjective
adjoining	0.520	0.400	0.393	adjoining
adjourn	0.385	0.456	0.475	adjourn
adjournment	0.438	0.510	0.370	kumiswa
adjudicate	0.559	0.520	0.683	kutonga
adjudication	0.551	0.462	0.691	kutonga
adjunct	0.459	0.440	0.426	adjunct
adjust	0.647	0.327	0.638	gadzirisa
adjuster	0.510	0.540	0.760	adjuster
adjustment	0.590	0.520	0.661	kugadzirisa
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	admin
administration	0.625	0.404	0.786	administration
administrative	0.542	0.415	0.579	administrative
administrator	0.538	0.480	0.902	administrator
admirable	0.929	0.600	0.870	zvinoyemurika
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	kuyemura
admire	0.867	0.692	0.704	kuyemura
admired	0.917	0.560	0.815	kuyemurwa
admirer	0.796	0.720	0.650	admirer
admiring	0.867	0.578	0.629	kuyemura
admissibility	0.802	0.580	0.602	kubvumirwa
admissible	0.780	0.528	0.642	zvinotenderwa
admission	0.802	0.415	0.732	kubvumirwa
admit	0.538	0.423	0.667	bvuma
admittance	0.690	0.451	0.598	kubvuma
admitted	0.720	0.490	0.767	akabvuma
admitting	0.620	0.500	0.546	kubvuma
admixture	0.450	0.375	0.438	musanganiswa
admonition	0.357	0.606	0.455	yambiro
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	kuyaruka
adolescent	0.781	0.680	0.509	kuyaruka
adopt	0.694	0.612	0.701	adopt
adoption	0.625	0.566	0.589	kugamuchirwa
adoptive	0.531	0.469	0.520	adoptive
adorable	0.969	0.519	0.457	anoyevedza
adoration	0.885	0.699	0.708	kunamata
adore	0.854	0.438	0.657	adore
adoring	0.885	0.620	0.717	kunamata
adorn	0.910	0.424	0.482	shongedza
adornment	0.918	0.373	0.377	chishongo
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	mukuru
adulterated	0.188	0.865	0.370	upombwe
adulterer	0.229	0.814	0.407	mhombwe
adultery	0.120	0.922	0.510	upombwe
adulthood	0.541	0.454	0.652	kukura
advance	0.673	0.472	0.858	advance
advanced	0.844	0.623	0.797	advanced
advancement	0.776	0.650	0.839	kufambira mberi
advancing	0.929	0.608	0.812	kufambira mberi
advantage	0.917	0.548	0.859	advantage
advantageous	0.837	0.640	0.789	zvinobatsira
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	adventure
adventurer	0.781	0.839	0.868	adventurer
adventures	0.812	0.764	0.749	adventures
adventurous	0.969	0.898	0.722	adventurous
adversary	0.349	0.777	0.457	muvengi
adverse	0.323	0.610	0.385	adverse
adversity	0.276	0.760	0.538	nhamo
advertise	0.500	0.529	0.580	shambadza
advertisement	0.600	0.566	0.539	kushambadzira
advertising	0.622	0.608	0.632	advertising
adverts	0.551	0.500	0.595	adverts
advice	0.698	0.408	0.688	zano
advisable	0.867	0.480	0.510	zvinokurudzirwa
advise	0.760	0.393	0.705	advise
advised	0.823	0.330	0.509	advised
advisement	0.698	0.235	0.655	advice
adviser	0.745	0.362	0.705	mubatsiri
advisor	0.646	0.350	0.689	mubatsiri
advisory	0.656	0.429	0.633	kuraira
advocacy	0.500	0.646	0.731	Advocacy
advocate	0.551	0.530	0.818	murevereri
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	aerial
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	ndege
aerospace	0.643	0.520	0.779	aerospace
aesthetic	0.708	0.442	0.526	aesthetic
aesthetics	0.847	0.327	0.549	aesthetics
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	kure
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	nyaya
affect	0.458	0.569	0.578	affect
affecting	0.350	0.574	0.394	zvinokanganisa
affection	0.898	0.559	0.696	rudo
affectionate	0.949	0.422	0.550	rudo
affections	0.760	0.547	0.655	rudo
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	afidaviti
affiliated	0.673	0.519	0.535	affiliated
affiliation	0.615	0.594	0.500	kubatana
affinity	0.800	0.500	0.537	hukama
affirm	0.745	0.509	0.731	simbisa
affirmation	0.750	0.500	0.689	kusimbisa
affirmative	0.854	0.589	0.816	affirmative
affirmatively	0.908	0.500	0.811	zvinosimbisa
affix	0.438	0.335	0.411	afix
afflict	0.302	0.555	0.293	tambudza
afflicted	0.271	0.500	0.167	kutambudzika
affliction	0.294	0.635	0.392	kutambudzika
affluence	0.663	0.618	0.722	upfumi
affluent	0.756	0.388	0.477	vapfumi
afford	0.571	0.580	0.575	afford
affordable	0.840	0.398	0.493	inokwanisika
affront	0.327	0.740	0.547	kuzvidza
affronted	0.385	0.750	0.527	kushungurudzwa
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	moto
afloat	0.602	0.427	0.444	afloat
afore	0.500	0.337	0.382	pamberi
aforementioned	0.490	0.316	0.408	ambotaurwa
aforesaid	0.531	0.358	0.478	zvataurwa
afraid	0.010	0.775	0.245	kutya
afresh	0.643	0.521	0.480	zvakare
aft	0.480	0.417	0.518	aft
afterlife	0.571	0.567	0.568	mushure mekufa
aftermath	0.312	0.449	0.444	aftermath
afternoon	0.533	0.388	0.339	masikati
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	aftertaste
afterthought	0.396	0.392	0.349	pashure
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	age
aged	0.135	0.365	0.236	aged
agency	0.460	0.296	0.583	agency
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	mumiririri
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	kuwedzera
aggravated	0.079	0.760	0.430	aggravated
aggravates	0.108	0.778	0.357	aggravates
aggravating	0.257	0.794	0.640	aggravating
aggravation	0.071	0.784	0.613	aggravation
aggregate	0.730	0.378	0.556	aggregate
aggregation	0.583	0.517	0.694	aggregation
aggresive	0.059	0.971	0.639	ane hasha
aggression	0.094	0.929	0.533	hutsinye
aggressive	0.125	0.949	0.648	ane hasha
aggressively	0.250	0.926	0.688	nehasha
aggressiveness	0.077	0.913	0.648	hukasha
aggressor	0.146	0.948	0.823	murwi
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	aghast
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	kuchembera
agitate	0.300	0.796	0.593	kunetsa
agitated	0.444	0.882	0.491	agitated
agitation	0.240	0.931	0.447	kushushikana
aglow	0.780	0.510	0.797	aglow
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	ago
agonizing	0.083	0.800	0.340	agonizing
agony	0.083	0.775	0.393	kurwadziwa
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	bvuma
agreeable	0.906	0.500	0.696	zvinogamuchirika
agreed	0.797	0.449	0.574	vakabvuma
agreeing	0.854	0.480	0.557	vachibvumirana
agreement	0.760	0.440	0.736	chibvumirano
agressive	0.083	0.918	0.751	ane hasha
agricultural	0.686	0.321	0.473	zvokurima
agriculture	0.640	0.357	0.465	kurima
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	mberi
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	rubatsiro
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	aiding
aids	0.561	0.480	0.500	aids
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	achirwara
ailment	0.146	0.734	0.277	chirwere
aim	0.481	0.569	0.567	chinangwa
aimless	0.150	0.267	0.183	vasina chinangwa
air	0.708	0.163	0.427	mhepo
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	airborne
aircraft	0.646	0.644	0.691	ndege
aircraft carrier	0.490	0.740	0.727	mutakuri wendege
airfield	0.601	0.650	0.645	airport
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	ndege
airliner	0.667	0.777	0.647	airliner
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	airman
airplane	0.719	0.702	0.708	ndege
airport	0.729	0.684	0.682	airport
airs	0.583	0.196	0.370	airs
airship	0.542	0.472	0.529	airship
airspace	0.562	0.510	0.640	airspace
airspeed	0.583	0.780	0.544	airspeed
airstrip	0.550	0.690	0.649	nhandare yendege
airtight	0.479	0.381	0.570	airtight
airway	0.638	0.585	0.482	airway
aisle	0.438	0.222	0.283	aisle
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	alarm wachi
alarmed	0.188	0.822	0.492	alarmed
alarming	0.204	0.890	0.585	zvinotyisa
alas	0.571	0.310	0.279	maiwe
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	doro
alcoholic	0.153	0.688	0.361	chidhakwa
alcoholism	0.061	0.779	0.407	udhakwa
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alert
alertness	0.375	0.875	0.750	kungwarira
alerts	0.337	0.804	0.673	alerts
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	mutorwa
alienate	0.247	0.500	0.523	alienate
alienated	0.410	0.423	0.559	alienated
alienation	0.378	0.530	0.462	Alienation
alight	0.667	0.657	0.605	alight
align	0.656	0.364	0.627	align
aligned	0.583	0.275	0.553	zvakaenzanirana
alignment	0.643	0.412	0.683	kururamisa
alike	0.653	0.173	0.444	zvakafanana
alimentation	0.781	0.551	0.602	Alimentation
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	mupenyu
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	allay
allegation	0.578	0.578	0.608	mhosva
allege	0.418	0.482	0.587	allege
alleged	0.365	0.522	0.520	anonzi
allegiance	0.917	0.398	0.750	kuvimbika
allegorical	0.517	0.558	0.598	zvedimikira
allegory	0.615	0.580	0.509	fananidzo
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergic
allergy	0.296	0.606	0.389	allergies
alleviate	0.869	0.270	0.528	kuderedza
alleviation	0.735	0.200	0.491	kuderedza
alley	0.347	0.500	0.355	alley
alleyway	0.357	0.471	0.382	alleyway
alliance	0.696	0.473	0.769	mubatanidzwa
allied	0.714	0.245	0.642	allied
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	allocate
allocation	0.604	0.388	0.679	mugove
allot	0.622	0.481	0.616	allot
allotment	0.600	0.390	0.640	mugove
allow	0.698	0.429	0.538	bvumira
allowable	0.698	0.500	0.561	zvinotenderwa
allowance	0.673	0.382	0.591	mvumo
allowed	0.730	0.360	0.655	kubvumidzwa
alloy	0.583	0.443	0.593	alloy
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	allure
alluring	0.837	0.745	0.843	zvinokwezva
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	ally
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	wamasimba ose
almond	0.698	0.183	0.314	almond
aloft	0.771	0.373	0.700	mudenga
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	ndega
alongside	0.458	0.333	0.347	parutivi
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	zvinonzwika
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alphabet
alphabetical	0.537	0.296	0.535	alfabheti
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	alreadyyyy
altar	0.724	0.387	0.635	atari
altar boy	0.434	0.206	0.350	mukomana wearitari
alter	0.333	0.694	0.654	alter
alteration	0.167	0.798	0.609	alteration
altercation	0.170	0.806	0.500	kupopotedzana
altered	0.255	0.765	0.500	altered
alternate	0.625	0.363	0.589	alternate
alternating	0.480	0.494	0.542	alternating
alternative	0.628	0.373	0.631	imwe nzira
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	altitude
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	pamwe chete
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	Alzheimer's
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	kusangana
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	unganidza
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	shamisa
amazed	0.796	0.779	0.533	vakashamisika
amazedness	0.827	0.872	0.510	kushamisika
amazement	0.750	0.800	0.639	kushamisika
amazing	0.906	0.837	0.849	zvinoshamisa
amazingly	0.918	0.765	0.920	zvinoshamisa
ambassador	0.651	0.529	0.917	ambassador
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	kusanzwisisika
ambiguous	0.265	0.462	0.358	ambiguous
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	vavariro
ambitious	0.484	0.821	0.717	ambitious
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	amburenzi
ambush	0.281	0.830	0.500	kuvandira
ameliorate	0.770	0.548	0.747	ameliorate
amen	0.781	0.182	0.542	ameni
amenable	0.448	0.410	0.406	amenable
amend	0.688	0.406	0.658	amend
amendment	0.531	0.459	0.606	kugadzirisa
amends	0.640	0.366	0.517	anogadzirisa
amenity	0.750	0.327	0.574	amenity
amethyst	0.622	0.406	0.517	ametisi
amiable	0.847	0.290	0.483	anofadza
amicable	0.875	0.330	0.507	ane hukama
amid	0.510	0.340	0.256	pakati
amidst	0.480	0.330	0.316	pakati
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	zvombo
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	ruregerero
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	mari
amour	0.865	0.480	0.652	rudo
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	amphitheatre
ample	0.744	0.349	0.719	yakakwana
amplification	0.690	0.677	0.810	amplification
amplify	0.677	0.735	0.827	amplify
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	zvakakwana
amputate	0.092	0.660	0.509	gura
amputation	0.100	0.755	0.483	kudimburwa
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	amuse
amused	0.942	0.847	0.596	amused
amusement	0.929	0.837	0.803	amusement
amusing	0.960	0.829	0.632	amusing
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	anesthetic
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	akafanana
analogue	0.570	0.320	0.446	analogue
analogy	0.510	0.367	0.509	fananidzo
analysis	0.729	0.448	0.705	kuongorora
analyst	0.604	0.415	0.755	muongorori
analytic	0.665	0.521	0.634	analytic
analytical	0.625	0.324	0.800	analytical
analyze	0.667	0.462	0.710	analyze
analyzer	0.625	0.556	0.854	analyzer
anaphylactic	0.378	0.588	0.500	anaphylactic
anarchism	0.125	0.804	0.623	anarchism
anarchist	0.204	0.700	0.759	anarchist
anarchy	0.146	0.755	0.620	nyonganyonga
anastomosis	0.375	0.470	0.490	anastomosis
anathema	0.286	0.490	0.519	anathema
anatomic	0.562	0.442	0.546	anatomic
anatomy	0.562	0.390	0.571	anatomy
ancestor	0.592	0.388	0.594	tateguru
ancestral	0.640	0.481	0.750	madzitateguru
