English Word	Valence	Arousal	Dominance	Kyrgyz Word
adjunct	0.459	0.440	0.426	кошумча
adjust	0.647	0.327	0.638	тууралоо
adjuster	0.510	0.540	0.760	жөндөөчү
adjustment	0.590	0.520	0.661	тууралоо
adjuvant	0.510	0.500	0.456	адъювант
admin	0.688	0.420	0.854	админ
administer	0.635	0.425	0.860	башкаруу
administration	0.625	0.404	0.786	администрация
administrative	0.542	0.415	0.579	административдик
administrator	0.538	0.480	0.902	администратор
admirable	0.929	0.600	0.870	суктанарлык
admiral	0.844	0.490	0.847	адмирал
admiralty	0.594	0.547	0.733	адмиралт
admiration	0.969	0.583	0.726	суктануу
admire	0.867	0.692	0.704	суктануу
admired	0.917	0.560	0.815	суктанган
admirer	0.796	0.720	0.650	сүйүүчү
admiring	0.867	0.578	0.629	суктануу
admissibility	0.802	0.580	0.602	жол берилиши
admissible	0.780	0.528	0.642	жол берилген
admission	0.802	0.415	0.732	кабыл алуу
admit	0.538	0.423	0.667	моюнга алуу
admittance	0.690	0.451	0.598	кабыл алуу
admitted	0.720	0.490	0.767	мойнуна алды
admitting	0.620	0.500	0.546	моюнга алуу
admixture	0.450	0.375	0.438	аралашма
admonition	0.357	0.606	0.455	насаат
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	өспүрүм курак
adolescent	0.781	0.680	0.509	өспүрүм
adopt	0.694	0.612	0.701	кабыл алуу
adoption	0.625	0.566	0.589	асырап алуу
adoptive	0.531	0.469	0.520	асырап алуучу
adorable	0.969	0.519	0.457	сүйкүмдүү
adoration	0.885	0.699	0.708	сыйынуу
adore	0.854	0.438	0.657	сүйөм
adoring	0.885	0.620	0.717	суйуу
adorn	0.910	0.424	0.482	кооздоо
adornment	0.918	0.373	0.377	жасалгалоо
adrenalin	0.865	0.920	0.786	адреналин
adrenaline	0.765	0.965	0.825	адреналин
adrift	0.398	0.486	0.230	тентек
adult	0.815	0.491	0.787	бойго жеткен
adulterated	0.188	0.865	0.370	бурмаланган
adulterer	0.229	0.814	0.407	ойнош
adultery	0.120	0.922	0.510	ойноштук
adulthood	0.541	0.454	0.652	бойго жеткендик
advance	0.673	0.472	0.858	алдын ала
advanced	0.844	0.623	0.797	өнүккөн
advancement	0.776	0.650	0.839	прогресс
advancing	0.929	0.608	0.812	алдыга
advantage	0.917	0.548	0.859	артыкчылыгы
advantageous	0.837	0.640	0.789	пайдалуу
advent	0.665	0.560	0.627	келиши
adventure	0.917	0.857	0.710	приключение
adventurer	0.781	0.839	0.868	авантюрист
adventures	0.812	0.764	0.749	укмуштуу окуялар
adventurous	0.969	0.898	0.722	авантюрист
adversary	0.349	0.777	0.457	душман
adverse	0.323	0.610	0.385	терс
adversity	0.276	0.760	0.538	кыйынчылык
advertise	0.500	0.529	0.580	жарнамалоо
advertisement	0.600	0.566	0.539	жарнама
advertising	0.622	0.608	0.632	жарнама
adverts	0.551	0.500	0.595	жарнамалар
advice	0.698	0.408	0.688	кеңеш
advisable	0.867	0.480	0.510	максатка ылайыктуу
advise	0.760	0.393	0.705	кеңеш берүү
advised	0.823	0.330	0.509	кеңеш берди
advisement	0.698	0.235	0.655	кеңеш
adviser	0.745	0.362	0.705	кеңешчи
advisor	0.646	0.350	0.689	кеңешчи
advisory	0.656	0.429	0.633	кеңеш берүү
advocacy	0.500	0.646	0.731	жактоо
advocate	0.551	0.530	0.818	жактоочу
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	аэрация
aerial	0.615	0.461	0.463	аба
aerobics	0.708	0.771	0.627	аэробика
aerodrome	0.541	0.740	0.678	аэродром
aerodynamic	0.561	0.724	0.728	аэродинамикалык
aerodynamics	0.590	0.663	0.722	аэродинамика
aeronautics	0.551	0.633	0.688	аэронавтика
aeroplane	0.714	0.642	0.644	учак
aerospace	0.643	0.520	0.779	аэрокосмостук
aesthetic	0.708	0.442	0.526	эстетикалык
aesthetics	0.847	0.327	0.549	эстетика
aetiology	0.480	0.398	0.615	этиологиясы
afar	0.396	0.373	0.358	алыс
affable	0.704	0.380	0.452	боорукер
affair	0.520	0.459	0.657	иш
affect	0.458	0.569	0.578	таасир этет
affecting	0.350	0.574	0.394	таасир этүүчү
affection	0.898	0.559	0.696	сүйүү
affectionate	0.949	0.422	0.550	мээримдүү
affections	0.760	0.547	0.655	сезимдер
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	тастыктама
affiliated	0.673	0.519	0.535	туунду
affiliation	0.615	0.594	0.500	тиешелүүлүгү
affinity	0.800	0.500	0.537	жакындык
affirm	0.745	0.509	0.731	ырастоо
affirmation	0.750	0.500	0.689	ырастоо
affirmative	0.854	0.589	0.816	ырастоочу
affirmatively	0.908	0.500	0.811	ырастап
affix	0.438	0.335	0.411	аффикс
afflict	0.302	0.555	0.293	кыйналуу
afflicted	0.271	0.500	0.167	жапа чеккен
affliction	0.294	0.635	0.392	азап
affluence	0.663	0.618	0.722	байлык
affluent	0.756	0.388	0.477	бай
afford	0.571	0.580	0.575	берем
affordable	0.840	0.398	0.493	жеткиликтүү
affront	0.327	0.740	0.547	кордоо
affronted	0.385	0.750	0.527	таарынган
afield	0.594	0.370	0.373	алыс
afire	0.367	0.904	0.675	күйүп
afloat	0.602	0.427	0.444	сүзүү
afore	0.500	0.337	0.382	мурда
aforementioned	0.490	0.316	0.408	жогоруда айтылган
aforesaid	0.531	0.358	0.478	жогоруда айтылган
afraid	0.010	0.775	0.245	коркуп
afresh	0.643	0.521	0.480	кайра
aft	0.480	0.417	0.518	арткы
afterlife	0.571	0.567	0.568	кийинки жашоо
aftermath	0.312	0.449	0.444	кийин
afternoon	0.533	0.388	0.339	түштөн кийин
aftershave	0.406	0.384	0.415	сакалдан кийин
aftertaste	0.354	0.362	0.455	даамдан кийин
afterthought	0.396	0.392	0.349	кийин ойлогон
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	жашы
aged	0.135	0.365	0.236	жаштагы
agency	0.460	0.296	0.583	агентство
agenda	0.531	0.296	0.553	күн тартиби
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агломерация
aggravate	0.224	0.770	0.464	курчутуу
aggravated	0.079	0.760	0.430	күчөгөн
aggravates	0.108	0.778	0.357	оорлотот
aggravating	0.257	0.794	0.640	оорлотуучу
aggravation	0.071	0.784	0.613	курчутуу
aggregate	0.730	0.378	0.556	агрегат
aggregation	0.583	0.517	0.694	топтоо
aggresive	0.059	0.971	0.639	агрессивдүү
aggression	0.094	0.929	0.533	агрессия
aggressive	0.125	0.949	0.648	агрессивдүү
aggressively	0.250	0.926	0.688	агрессивдүү
aggressiveness	0.077	0.913	0.648	агрессивдүүлүк
aggressor	0.146	0.948	0.823	агрессор
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	үрөй учурарлык
aghhh	0.281	0.635	0.243	аххх
agile	0.800	0.657	0.775	шамдагай
agility	0.720	0.702	0.815	шамдагайлык
aging	0.214	0.255	0.284	каруу
agitate	0.300	0.796	0.593	козгоо
agitated	0.444	0.882	0.491	козголду
agitation	0.240	0.931	0.447	агитация
aglow	0.780	0.510	0.797	жаркырап
agnostic	0.306	0.396	0.574	агностик
ago	0.317	0.280	0.404	мурун
agonizing	0.083	0.800	0.340	азаптуу
agony	0.083	0.775	0.393	азап
agoraphobia	0.127	0.712	0.438	агорафобия
agree	0.906	0.260	0.545	макул
agreeable	0.906	0.500	0.696	макул
agreed	0.797	0.449	0.574	макулдашты
agreeing	0.854	0.480	0.557	макул болуу
agreement	0.760	0.440	0.736	макулдашуу
agressive	0.083	0.918	0.751	агрессивдүү
agricultural	0.686	0.321	0.473	айыл чарба
agriculture	0.640	0.357	0.465	айыл чарбасы
aground	0.333	0.340	0.445	жерде калуу
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	алдыда
ahhh	0.562	0.517	0.241	аахх
ahhhhhhhh	0.552	0.649	0.288	аахххххх
ahoy	0.500	0.497	0.380	оой
aid	0.796	0.491	0.541	жардам
aide	0.724	0.342	0.434	жардамчы
aiding	0.643	0.533	0.569	жардам берүү
aids	0.561	0.480	0.500	жардам берет
ail	0.375	0.434	0.385	айыл
ailing	0.094	0.518	0.153	оорулуу
ailment	0.146	0.734	0.277	оору
aim	0.481	0.569	0.567	максат
aimless	0.150	0.267	0.183	максатсыз
air	0.708	0.163	0.427	аба
airbag	0.510	0.402	0.433	аба жаздыкчасы
airborne	0.542	0.519	0.385	абадан
aircraft	0.646	0.644	0.691	учак
aircraft carrier	0.490	0.740	0.727	учак конуучу кеме
airfield	0.601	0.650	0.645	аэродром
airhead	0.271	0.481	0.276	аба баш
airlift	0.573	0.622	0.642	аба жүктөө
airline	0.650	0.482	0.688	авиакомпания
airliner	0.667	0.777	0.647	авиалайнер
airlock	0.398	0.520	0.447	аба кулпу
airman	0.587	0.716	0.721	абачы
airplane	0.719	0.702	0.708	учак
airport	0.729	0.684	0.682	аэропорт
airs	0.583	0.196	0.370	аба
airship	0.542	0.472	0.529	дирижабль
airspace	0.562	0.510	0.640	аба мейкиндиги
airspeed	0.583	0.780	0.544	аба ылдамдыгы
airstrip	0.550	0.690	0.649	аэродром
airtight	0.479	0.381	0.570	аба өткөрбөйт
airway	0.638	0.585	0.482	аба жолу
aisle	0.438	0.222	0.283	өтмөк
ait	0.385	0.390	0.402	айт
ajar	0.460	0.413	0.446	жар
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	акин
alabaster	0.542	0.404	0.445	алебастр
alarm	0.241	0.882	0.698	сигнализация
alarm clock	0.542	0.727	0.642	ойготкуч саат
alarmed	0.188	0.822	0.492	тынчсызданды
alarming	0.204	0.890	0.585	коркунучтуу
alas	0.571	0.310	0.279	аттиң
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	альбатрос
albino	0.500	0.240	0.358	альбинос
album	0.635	0.349	0.453	альбом
alchemy	0.541	0.583	0.693	алхимия
alcohol	0.323	0.667	0.377	спирт
alcoholic	0.153	0.688	0.361	алкоголдук
alcoholism	0.061	0.779	0.407	аракечтик
alcove	0.490	0.340	0.356	оюк
alderman	0.550	0.459	0.691	аксакал
ale	0.530	0.450	0.358	але
alert	0.479	0.820	0.648	эскертүү
alertness	0.375	0.875	0.750	сергектик
alerts	0.337	0.804	0.673	эскертүүлөр
alfalfa	0.546	0.250	0.311	беде
algebra	0.440	0.340	0.565	алгебра
algebraic	0.531	0.412	0.441	алгебралык
algorithm	0.448	0.394	0.559	алгоритм
alias	0.541	0.353	0.333	лакап ат
alibi	0.396	0.528	0.556	алиби
alien	0.410	0.615	0.491	келгин
alienate	0.247	0.500	0.523	ажыратуу
alienated	0.410	0.423	0.559	ажыратылган
alienation	0.378	0.530	0.462	ээликтен ажыратуу
alight	0.667	0.657	0.605	күйүү
align	0.656	0.364	0.627	тегиздөө
aligned	0.583	0.275	0.553	тегизделген
alignment	0.643	0.412	0.683	тегиздөө
alike	0.653	0.173	0.444	окшош
alimentation	0.781	0.551	0.602	тамактануу
alimony	0.612	0.477	0.464	алимент
aliquot	0.440	0.310	0.404	аликот
alive	0.816	0.637	0.731	тирүү
alkali	0.490	0.350	0.408	щелоч
alkaloids	0.433	0.562	0.402	алкалоиддер
allay	0.417	0.406	0.398	тынчтандыруу
allegation	0.578	0.578	0.608	айыптоо
allege	0.418	0.482	0.587	далилдөө
alleged	0.365	0.522	0.520	болжолдонгон
allegiance	0.917	0.398	0.750	берилгендик
allegorical	0.517	0.558	0.598	аллегориялык
allegory	0.615	0.580	0.509	аллегория
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	аллергиялык
allergy	0.296	0.606	0.389	аллергия
alleviate	0.869	0.270	0.528	жеңилдетүү
alleviation	0.735	0.200	0.491	жеңилдетүү
alley	0.347	0.500	0.355	аллея
alleyway	0.357	0.471	0.382	аллея
alliance	0.696	0.473	0.769	союз
allied	0.714	0.245	0.642	союздаш
alligator	0.354	0.704	0.645	аллигатор
allocate	0.673	0.462	0.672	бөлүү
allocation	0.604	0.388	0.679	бөлүштүрүү
allot	0.622	0.481	0.616	бөлүү
allotment	0.600	0.390	0.640	бөлүштүрүү
allow	0.698	0.429	0.538	уруксат берүү
allowable	0.698	0.500	0.561	уруксат берилген
allowance	0.673	0.382	0.591	пособие
allowed	0.730	0.360	0.655	уруксат
alloy	0.583	0.443	0.593	эритме
allsmiles	0.786	0.528	0.430	жылмайып
allure	0.804	0.585	0.686	тартуу
alluring	0.837	0.745	0.843	жагымдуу
allusion	0.440	0.308	0.462	ишарат
alluvial	0.323	0.490	0.491	аллювий
ally	0.792	0.320	0.688	союздаш
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	кудуреттүү
almond	0.698	0.183	0.314	бадам
aloft	0.771	0.373	0.700	бийикте
aloha	0.698	0.440	0.441	аллох
alone	0.333	0.167	0.216	жалгыз
alongside	0.458	0.333	0.347	жанында
aloof	0.189	0.423	0.302	алыс
aloud	0.458	0.713	0.750	үн чыгарып
alpha	0.708	0.340	0.755	альфа
alphabet	0.562	0.204	0.672	алфавит
alphabetical	0.537	0.296	0.535	алфавиттик
alpine	0.594	0.337	0.474	альп
alreadyyyyy	0.592	0.717	0.351	уже аааааа
altar	0.724	0.387	0.635	курмандык чалынуучу жай
altar boy	0.434	0.206	0.350	курмандык чалынуучу бала
alter	0.333	0.694	0.654	өзгөртүү
alteration	0.167	0.798	0.609	өзгөртүү
altercation	0.170	0.806	0.500	уруш
altered	0.255	0.765	0.500	өзгөртүлгөн
alternate	0.625	0.363	0.589	кезектешип
alternating	0.480	0.494	0.542	кезектешип
alternative	0.628	0.373	0.631	альтернатива
altimeter	0.615	0.510	0.580	бийиктик өлчөгүч
altitude	0.708	0.482	0.736	бийиктик
alto	0.656	0.404	0.730	альто
altogether	0.833	0.324	0.644	толугу менен
aluminum	0.449	0.280	0.434	алюминий
alumnus	0.633	0.368	0.422	бүтүрүүчү
alveolar	0.469	0.481	0.367	альвеолярдык
alzheimers	0.194	0.518	0.319	альцгеймер
amalgam	0.438	0.333	0.510	амальгам
amalgamation	0.406	0.470	0.531	бириктирүү
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	топтоо
amateur	0.469	0.500	0.409	ышкыбоз
amaze	0.896	0.843	0.783	таң калтыруу
amazed	0.796	0.779	0.533	таң калды
amazedness	0.827	0.872	0.510	таң калуу
amazement	0.750	0.800	0.639	таң калуу
amazing	0.906	0.837	0.849	укмуш
amazingly	0.918	0.765	0.920	укмуштуудай
ambassador	0.651	0.529	0.917	элчи
amber	0.635	0.308	0.369	янтарь
ambience	0.735	0.356	0.426	атмосфера
ambient	0.625	0.360	0.582	чөйрө
ambiguity	0.164	0.460	0.370	түшүнүксүздүк
ambiguous	0.265	0.462	0.358	түшүнүксүз
ambit	0.479	0.380	0.386	амбит
ambition	0.510	0.804	0.661	амбиция
ambitious	0.484	0.821	0.717	амбициялуу
ambivalent	0.510	0.404	0.482	эки жактуу
ambrosia	0.571	0.452	0.480	амброзия
ambulance	0.500	0.750	0.609	тез жардам
ambush	0.281	0.830	0.500	буктурма
ameliorate	0.770	0.548	0.747	жакшыртуу
amen	0.781	0.182	0.542	омин
amenable	0.448	0.410	0.406	ылайыктуу
amend	0.688	0.406	0.658	түзөтүү
amendment	0.531	0.459	0.606	түзөтүү
amends	0.640	0.366	0.517	түзөтөт
amenity	0.750	0.327	0.574	ыңгайлуулук
amethyst	0.622	0.406	0.517	аметист
amiable	0.847	0.290	0.483	мээримдүү
amicable	0.875	0.330	0.507	ынтымактуу
amid	0.510	0.340	0.256	ортосунда
amidst	0.480	0.330	0.316	арасында
amino	0.551	0.402	0.433	амино
ammo	0.323	0.765	0.621	ок-дары
ammonia	0.292	0.587	0.409	аммиак
ammonium	0.354	0.396	0.368	аммоний
ammunition	0.338	0.635	0.667	ок-дары
amnesia	0.296	0.330	0.308	амнезия
amnesty	0.551	0.451	0.814	амнистия
amorous	0.844	0.670	0.636	ашыктык
amorphous	0.327	0.402	0.349	аморфтук
amortization	0.592	0.491	0.522	амортизация
amount	0.562	0.422	0.649	сумма
amour	0.865	0.480	0.652	сүйүү
amp	0.439	0.393	0.375	амп
ampersand	0.480	0.448	0.483	амперсант
amphetamines	0.133	0.667	0.526	амфетаминдер
amphibian	0.427	0.357	0.474	амфибия
amphibious	0.479	0.346	0.445	амфибия
amphitheater	0.653	0.480	0.545	амфитеатр
ample	0.744	0.349	0.719	кенен
amplification	0.690	0.677	0.810	күчөтүү
amplify	0.677	0.735	0.827	күчөтүү
amplitude	0.694	0.439	0.692	амплитудасы
amply	0.781	0.431	0.766	көп
amputate	0.092	0.660	0.509	ампутация
amputation	0.100	0.755	0.483	ампутация
amuck	0.385	0.602	0.321	амук
amulet	0.781	0.260	0.630	тумар
amuse	0.812	0.684	0.664	көңүл ачуу
amused	0.942	0.847	0.596	тамашалады
amusement	0.929	0.837	0.803	көңүл ачуу
amusing	0.960	0.829	0.632	кызыктуу
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	Анаконда
anaesthesia	0.350	0.217	0.473	анестезия
anaesthetic	0.449	0.268	0.509	анестетик
