English Word	Valence	Arousal	Dominance	Persian Word
accomplishment	0.917	0.694	0.888	دستاورد
accord	0.898	0.264	0.382	توافق
accordance	0.659	0.349	0.600	مطابقت
accordion	0.604	0.490	0.361	آکاردئون
account	0.531	0.347	0.472	حساب
accountability	0.755	0.537	0.833	مسئوليت
accountable	0.709	0.282	0.777	پاسخگو
accountant	0.625	0.450	0.639	حسابدار
accounting	0.552	0.390	0.677	حسابداری
accounts	0.592	0.340	0.471	حساب ها
accredited	0.669	0.479	0.768	معتبر
accretion	0.448	0.519	0.672	برافزایش
accrue	0.520	0.481	0.602	تعلق می گیرد
accueil	0.450	0.451	0.470	تصدیق کردن
accumulate	0.573	0.536	0.607	انباشتن
accumulation	0.479	0.527	0.600	انباشت
accuracy	0.604	0.481	0.802	دقت
accurate	0.743	0.360	0.737	دقیق
accursed	0.135	0.745	0.345	نفرین شده
accusation	0.073	0.718	0.564	اتهام
accusative	0.198	0.755	0.482	اتهامی
accuse	0.133	0.752	0.500	متهم کردن
accused	0.130	0.670	0.420	متهم
accuser	0.122	0.779	0.615	متهم کننده
accusing	0.156	0.745	0.324	متهم کردن
accustomed	0.542	0.365	0.441	عادت کرده
ace	0.643	0.481	0.546	آس
acetic	0.333	0.420	0.519	استیک
acetylene	0.306	0.469	0.509	استیلن
ache	0.146	0.760	0.312	درد
achieve	0.816	0.545	0.843	رسیدن
achieved	0.896	0.519	0.775	به دست آورد
achievement	0.896	0.808	0.759	دستاورد
aching	0.053	0.880	0.348	دردناک
achy	0.167	0.840	0.373	دردناک
acid	0.265	0.642	0.566	اسید
acidity	0.156	0.663	0.360	اسیدیته
acknowledge	0.786	0.370	0.661	اذعان
acknowledged	0.714	0.443	0.765	تصدیق کرد
acknowledgement	0.819	0.539	0.830	تصدیق
acknowledgment	0.796	0.528	0.777	تصدیق
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	آکنه
acorn	0.448	0.198	0.192	بلوط
acoustic	0.542	0.462	0.536	آکوستیک
acoustics	0.611	0.330	0.509	آکوستیک
acquaint	0.646	0.491	0.639	آشنا کردن
acquaintance	0.656	0.290	0.670	آشنایی
acquainted	0.906	0.358	0.632	آشنا شد
acquiescence	0.542	0.480	0.554	رضایت
acquire	0.833	0.468	0.700	بدست آوردن
acquiring	0.735	0.510	0.817	بدست آوردن
acquisition	0.698	0.509	0.736	تحصیل
acquisitions	0.773	0.660	0.790	اکتساب ها
acquit	0.583	0.571	0.611	تبرئه
acquittal	0.760	0.497	0.700	تبرئه
acre	0.583	0.387	0.423	هکتار
acreage	0.741	0.450	0.528	سطح زیر کشت
acres	0.510	0.363	0.500	هکتار
acrobat	0.708	0.828	0.602	آکروبات
acrylic	0.582	0.279	0.420	اکریلیک
act	0.656	0.704	0.735	عمل کنید
acting	0.698	0.643	0.500	بازیگری
action	0.760	0.898	0.802	عمل
action figure	0.615	0.774	0.611	شکل عمل
actionable	0.673	0.702	0.613	قابل اجرا
activate	0.764	0.650	0.806	فعال کردن
activation	0.781	0.800	0.754	فعال سازی
active	0.847	0.730	0.731	فعال
activist	0.531	0.653	0.877	فعال
activity	0.701	0.660	0.807	فعالیت
actor	0.653	0.561	0.629	بازیگر
actress	0.633	0.556	0.596	بازیگر
actual	0.729	0.400	0.716	واقعی
actuality	0.750	0.464	0.600	واقعی بودن
actuary	0.510	0.404	0.491	آکچوئری
acuity	0.469	0.378	0.741	دقت
acumen	0.564	0.660	0.679	تیزفهمی
acupuncture	0.531	0.324	0.549	طب سوزنی
acute	0.427	0.652	0.534	حاد
acutely	0.417	0.543	0.491	به صورت حاد
ad	0.521	0.705	0.558	آگهی
adage	0.517	0.415	0.566	ضرب المثل
adamant	0.344	0.529	0.575	تزلزل ناپذیر
adapt	0.740	0.355	0.551	سازگار شدن
adaptable	0.735	0.423	0.641	سازگار
adaptation	0.663	0.365	0.609	انطباق
add	0.728	0.490	0.554	اضافه کردن
added	0.562	0.405	0.509	اضافه
addendum	0.392	0.370	0.418	الحاقیه
adder	0.388	0.461	0.588	جمع کننده
addict	0.075	0.696	0.327	معتاد
addicted	0.156	0.712	0.483	معتاد
addiction	0.180	0.806	0.420	اعتیاد
addictive	0.302	0.683	0.472	اعتیاد آور
addition	0.562	0.373	0.471	علاوه بر این
additional	0.673	0.462	0.526	اضافی
additive	0.561	0.633	0.691	افزودنی
address	0.650	0.327	0.567	نشانی
addressee	0.622	0.382	0.538	مخاطب
addresses	0.510	0.354	0.450	آدرس ها
adept	0.594	0.539	0.789	ماهر
adequacy	0.615	0.435	0.702	کفایت
adequate	0.854	0.264	0.705	کافی است
adhere	0.633	0.339	0.554	پایبند
adherence	0.760	0.307	0.630	تبعیت
adherent	0.561	0.385	0.555	وابسته
adhering	0.612	0.561	0.537	پایبندی
adhesion	0.521	0.445	0.586	چسبندگی
adhesive	0.604	0.350	0.413	چسب
adieu	0.250	0.471	0.342	خداحافظ
adipose	0.333	0.350	0.391	چربی
adjacency	0.365	0.417	0.375	مجاورت
adjacent	0.645	0.276	0.536	مجاور
adjective	0.570	0.316	0.569	صفت
adjoining	0.520	0.400	0.393	مجاور
adjourn	0.385	0.456	0.475	به تعویق انداختن
adjournment	0.438	0.510	0.370	تعویق
adjudicate	0.559	0.520	0.683	قضاوت کند
adjudication	0.551	0.462	0.691	قضاوت
adjunct	0.459	0.440	0.426	کمکی
adjust	0.647	0.327	0.638	تنظیم کنید
adjuster	0.510	0.540	0.760	تنظیم کننده
adjustment	0.590	0.520	0.661	تنظیم
adjuvant	0.510	0.500	0.456	کمکی
admin	0.688	0.420	0.854	مدیر
administer	0.635	0.425	0.860	اداره کند
administration	0.625	0.404	0.786	مدیریت
administrative	0.542	0.415	0.579	اداری
administrator	0.538	0.480	0.902	مدیر
admirable	0.929	0.600	0.870	قابل تحسین
admiral	0.844	0.490	0.847	دریاسالار
admiralty	0.594	0.547	0.733	دریاسالاری
admiration	0.969	0.583	0.726	تحسین
admire	0.867	0.692	0.704	تحسین
admired	0.917	0.560	0.815	تحسین شده
admirer	0.796	0.720	0.650	ستایشگر
admiring	0.867	0.578	0.629	تحسین کردن
admissibility	0.802	0.580	0.602	قابل پذیرش بودن
admissible	0.780	0.528	0.642	قابل قبول
admission	0.802	0.415	0.732	پذیرش
admit	0.538	0.423	0.667	اقرار کردن
admittance	0.690	0.451	0.598	پذیرش
admitted	0.720	0.490	0.767	پذیرفته
admitting	0.620	0.500	0.546	اعتراف کردن
admixture	0.450	0.375	0.438	مخلوط
admonition	0.357	0.606	0.455	پند
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	خشتی
adolescence	0.487	0.694	0.444	بلوغ
adolescent	0.781	0.680	0.509	نوجوان
adopt	0.694	0.612	0.701	اتخاذ کردن
adoption	0.625	0.566	0.589	فرزندخواندگی
adoptive	0.531	0.469	0.520	پذیرنده
adorable	0.969	0.519	0.457	شایان ستایش
adoration	0.885	0.699	0.708	پرستش
adore	0.854	0.438	0.657	عشق ورزیدن
adoring	0.885	0.620	0.717	پرستش کردن
adorn	0.910	0.424	0.482	آراستن
adornment	0.918	0.373	0.377	زینت
adrenalin	0.865	0.920	0.786	آدرنالین
adrenaline	0.765	0.965	0.825	آدرنالین
adrift	0.398	0.486	0.230	سرگردان
adult	0.815	0.491	0.787	بالغ
adulterated	0.188	0.865	0.370	تقلبی
adulterer	0.229	0.814	0.407	زناکار
adultery	0.120	0.922	0.510	زنا
adulthood	0.541	0.454	0.652	بزرگسالی
advance	0.673	0.472	0.858	پیشرفت
advanced	0.844	0.623	0.797	پیشرفته
advancement	0.776	0.650	0.839	پیشرفت
advancing	0.929	0.608	0.812	پیشبرد
advantage	0.917	0.548	0.859	مزیت - فایده - سود - منفعت
advantageous	0.837	0.640	0.789	با صرفه
advent	0.665	0.560	0.627	ظهور
adventure	0.917	0.857	0.710	ماجرا
adventurer	0.781	0.839	0.868	ماجراجو
adventures	0.812	0.764	0.749	ماجراهای
adventurous	0.969	0.898	0.722	پرماجرا
adversary	0.349	0.777	0.457	حریف
adverse	0.323	0.610	0.385	نامطلوب
adversity	0.276	0.760	0.538	ناملایمات
advertise	0.500	0.529	0.580	تبلیغات
advertisement	0.600	0.566	0.539	تبلیغات
advertising	0.622	0.608	0.632	تبلیغات
adverts	0.551	0.500	0.595	تبلیغات
advice	0.698	0.408	0.688	مشاوره
advisable	0.867	0.480	0.510	قابل توصیه
advise	0.760	0.393	0.705	توصیه
advised	0.823	0.330	0.509	توصیه کرد
advisement	0.698	0.235	0.655	نصیحت
adviser	0.745	0.362	0.705	مشاور
advisor	0.646	0.350	0.689	مشاور
advisory	0.656	0.429	0.633	مشاوره ای
advocacy	0.500	0.646	0.731	دفاع
advocate	0.551	0.530	0.818	مدافع
aegis	0.490	0.439	0.462	eegis
aeration	0.550	0.500	0.433	هوادهی
aerial	0.615	0.461	0.463	هوایی
aerobics	0.708	0.771	0.627	ایروبیک
aerodrome	0.541	0.740	0.678	فرودگاه
aerodynamic	0.561	0.724	0.728	آیرودینامیک
aerodynamics	0.590	0.663	0.722	آیرودینامیک
aeronautics	0.551	0.633	0.688	هوانوردی
aeroplane	0.714	0.642	0.644	هواپیما
aerospace	0.643	0.520	0.779	هوافضا
aesthetic	0.708	0.442	0.526	زیبایی شناختی
aesthetics	0.847	0.327	0.549	زیبایی شناسی
aetiology	0.480	0.398	0.615	اتیولوژی
afar	0.396	0.373	0.358	دور
affable	0.704	0.380	0.452	دوست داشتنی
affair	0.520	0.459	0.657	امر
affect	0.458	0.569	0.578	تاثیر می گذارد
affecting	0.350	0.574	0.394	موثر بر
affection	0.898	0.559	0.696	محبت
affectionate	0.949	0.422	0.550	محبت آمیز
affections	0.760	0.547	0.655	محبت ها
affiche	0.479	0.265	0.402	دلبستگی
affidavit	0.469	0.584	0.526	سوگندنامه
affiliated	0.673	0.519	0.535	وابسته
affiliation	0.615	0.594	0.500	وابستگی
affinity	0.800	0.500	0.537	قرابت
affirm	0.745	0.509	0.731	تایید کردن
affirmation	0.750	0.500	0.689	تایید
affirmative	0.854	0.589	0.816	مثبت
affirmatively	0.908	0.500	0.811	مثبت
affix	0.438	0.335	0.411	چسباندن
afflict	0.302	0.555	0.293	مبتلا شدن
afflicted	0.271	0.500	0.167	مصیبت زده
affliction	0.294	0.635	0.392	مصیبت
affluence	0.663	0.618	0.722	ثروتمندی
affluent	0.756	0.388	0.477	فراوان
afford	0.571	0.580	0.575	استطاعت داشتن
affordable	0.840	0.398	0.493	مقرون به صرفه
affront	0.327	0.740	0.547	توهین
affronted	0.385	0.750	0.527	مورد آزار قرار گرفته است
afield	0.594	0.370	0.373	دوردست
afire	0.367	0.904	0.675	آتش سوزی
afloat	0.602	0.427	0.444	شناور
afore	0.500	0.337	0.382	پیش از این
aforementioned	0.490	0.316	0.408	فوق الذکر
aforesaid	0.531	0.358	0.478	پیش گفته شد
afraid	0.010	0.775	0.245	می ترسد
afresh	0.643	0.521	0.480	تازه
aft	0.480	0.417	0.518	پشت
afterlife	0.571	0.567	0.568	زندگی پس از مرگ
aftermath	0.312	0.449	0.444	عواقب
afternoon	0.533	0.388	0.339	بعد از ظهر
aftershave	0.406	0.384	0.415	پس از اصلاح
aftertaste	0.354	0.362	0.455	مزه مزه
afterthought	0.396	0.392	0.349	بعد فکر
aga	0.542	0.327	0.398	آگا
agape	0.612	0.529	0.464	آگاپ
agate	0.540	0.377	0.483	عقیق
age	0.561	0.226	0.498	سن
aged	0.135	0.365	0.236	سن
agency	0.460	0.296	0.583	آژانس
agenda	0.531	0.296	0.553	دستور جلسه
agent	0.480	0.439	0.755	عامل
agglomeration	0.450	0.765	0.509	تراکم
aggravate	0.224	0.770	0.464	تشدید - مشدد
aggravated	0.079	0.760	0.430	تشدید شد
aggravates	0.108	0.778	0.357	تشدید می کند
aggravating	0.257	0.794	0.640	تشدید کننده
aggravation	0.071	0.784	0.613	تشدید
aggregate	0.730	0.378	0.556	تجمیع
aggregation	0.583	0.517	0.694	تجمع
aggresive	0.059	0.971	0.639	تهاجمی
aggression	0.094	0.929	0.533	پرخاشگری
aggressive	0.125	0.949	0.648	خشونت آمیز
aggressively	0.250	0.926	0.688	به صورت تهاجمی
aggressiveness	0.077	0.913	0.648	پرخاشگری
aggressor	0.146	0.948	0.823	متجاوز
agh	0.260	0.500	0.400	آخ
aghast	0.133	0.865	0.464	مبهوت
aghhh	0.281	0.635	0.243	آخه
agile	0.800	0.657	0.775	چابک
agility	0.720	0.702	0.815	چابکی
aging	0.214	0.255	0.284	سالخورده
agitate	0.300	0.796	0.593	به هم زدن
agitated	0.444	0.882	0.491	آشفته
agitation	0.240	0.931	0.447	تحریک
aglow	0.780	0.510	0.797	درخشش
agnostic	0.306	0.396	0.574	اگنستیک
ago	0.317	0.280	0.404	پیش
agonizing	0.083	0.800	0.340	عذاب آور
agony	0.083	0.775	0.393	عذاب
agoraphobia	0.127	0.712	0.438	آگورافوبیا
agree	0.906	0.260	0.545	موافق
agreeable	0.906	0.500	0.696	قابل قبول
agreed	0.797	0.449	0.574	موافقت کرد
agreeing	0.854	0.480	0.557	موافق
agreement	0.760	0.440	0.736	توافق
agressive	0.083	0.918	0.751	تهاجمی
agricultural	0.686	0.321	0.473	کشاورزی
agriculture	0.640	0.357	0.465	کشاورزی
aground	0.333	0.340	0.445	زمین
agua	0.598	0.180	0.436	آگوا
ahead	0.708	0.520	0.673	در پیش
ahhh	0.562	0.517	0.241	آهان
ahhhhhhhh	0.552	0.649	0.288	آههههههه
ahoy	0.500	0.497	0.380	آهو
aid	0.796	0.491	0.541	کمک
aide	0.724	0.342	0.434	مشاور
aiding	0.643	0.533	0.569	کمک کردن
aids	0.561	0.480	0.500	ایدز
ail	0.375	0.434	0.385	بیماری
ailing	0.094	0.518	0.153	بیمار
ailment	0.146	0.734	0.277	ناراحتی
aim	0.481	0.569	0.567	هدف
aimless	0.150	0.267	0.183	بی هدف
air	0.708	0.163	0.427	هوا
airbag	0.510	0.402	0.433	کیسه هوا
airborne	0.542	0.519	0.385	هوابرد
aircraft	0.646	0.644	0.691	هواپیما
aircraft carrier	0.490	0.740	0.727	ناو هواپیما بر
airfield	0.601	0.650	0.645	فرودگاه
airhead	0.271	0.481	0.276	سر هوا
airlift	0.573	0.622	0.642	حمل و نقل هوایی
airline	0.650	0.482	0.688	شرکت هواپیمایی
airliner	0.667	0.777	0.647	هواپیمای مسافربری
airlock	0.398	0.520	0.447	قفل هوا
airman	0.587	0.716	0.721	خلبان
airplane	0.719	0.702	0.708	هواپیما
airport	0.729	0.684	0.682	فرودگاه
airs	0.583	0.196	0.370	هوا می گیرد
airship	0.542	0.472	0.529	کشتی هوایی
airspace	0.562	0.510	0.640	حریم هوایی
airspeed	0.583	0.780	0.544	سرعت هوا
airstrip	0.550	0.690	0.649	باند هوایی
airtight	0.479	0.381	0.570	هواگیر
airway	0.638	0.585	0.482	راه تنفسی
aisle	0.438	0.222	0.283	راهرو
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	نیمه باز
aka	0.459	0.358	0.351	موسوم به
akin	0.639	0.343	0.523	یکسان
alabaster	0.542	0.404	0.445	سنگ سنگی
alarm	0.241	0.882	0.698	زنگ خطر. هشدار
alarm clock	0.542	0.727	0.642	ساعت زنگدار
alarmed	0.188	0.822	0.492	هشدار داد
alarming	0.204	0.890	0.585	هشدار دهنده
alas	0.571	0.310	0.279	افسوس
alb	0.521	0.380	0.427	Alb
albatross	0.500	0.445	0.527	آلباتروس
albino	0.500	0.240	0.358	آلبینو
album	0.635	0.349	0.453	آلبوم
alchemy	0.541	0.583	0.693	کیمیاگری
alcohol	0.323	0.667	0.377	الکل
alcoholic	0.153	0.688	0.361	الکلی
alcoholism	0.061	0.779	0.407	اعتیاد به الکل
alcove	0.490	0.340	0.356	طاقچه
alderman	0.550	0.459	0.691	رئیس
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	هشدار
alertness	0.375	0.875	0.750	هوشیاری
alerts	0.337	0.804	0.673	هشدارها
alfalfa	0.546	0.250	0.311	یونجه
algebra	0.440	0.340	0.565	جبر
algebraic	0.531	0.412	0.441	جبری
algorithm	0.448	0.394	0.559	الگوریتم
alias	0.541	0.353	0.333	نام مستعار
alibi	0.396	0.528	0.556	عذرخواهی
alien	0.410	0.615	0.491	بیگانه
alienate	0.247	0.500	0.523	بیگانه کردن
alienated	0.410	0.423	0.559	بیگانه شده
alienation	0.378	0.530	0.462	بیگانگی
alight	0.667	0.657	0.605	شعله ور
align	0.656	0.364	0.627	تراز کردن
aligned	0.583	0.275	0.553	هم راستا
alignment	0.643	0.412	0.683	هم ترازی
alike	0.653	0.173	0.444	یکسان
alimentation	0.781	0.551	0.602	تغذیه
alimony	0.612	0.477	0.464	نفقه
aliquot	0.440	0.310	0.404	کسری
alive	0.816	0.637	0.731	زنده
alkali	0.490	0.350	0.408	قلیایی
alkaloids	0.433	0.562	0.402	آلکالوئیدها
allay	0.417	0.406	0.398	آرام کردن
allegation	0.578	0.578	0.608	ادعا
allege	0.418	0.482	0.587	ادعا کردن
alleged	0.365	0.522	0.520	ادعا شده است
allegiance	0.917	0.398	0.750	وفاداری
allegorical	0.517	0.558	0.598	تمثیلی
allegory	0.615	0.580	0.509	تمثیل
allegro	0.635	0.627	0.453	آلگرو
allergic	0.135	0.549	0.273	حساسیتی
allergy	0.296	0.606	0.389	آلرژی
alleviate	0.869	0.270	0.528	تخفیف دادن
alleviation	0.735	0.200	0.491	تخفیف
alley	0.347	0.500	0.355	کوچه
alleyway	0.357	0.471	0.382	کوچه
alliance	0.696	0.473	0.769	اتحاد
allied	0.714	0.245	0.642	متحد
alligator	0.354	0.704	0.645	تمساح
allocate	0.673	0.462	0.672	اختصاص دهد
allocation	0.604	0.388	0.679	تخصیص
allot	0.622	0.481	0.616	اختصاص دادن
allotment	0.600	0.390	0.640	تخصیص
allow	0.698	0.429	0.538	اجازه
allowable	0.698	0.500	0.561	مجاز
allowance	0.673	0.382	0.591	کمک هزینه
allowed	0.730	0.360	0.655	مجاز
alloy	0.583	0.443	0.593	آلیاژ
allsmiles	0.786	0.528	0.430	لبخند می زند
allure	0.804	0.585	0.686	جذابیت
alluring	0.837	0.745	0.843	جذاب
allusion	0.440	0.308	0.462	کنایه
alluvial	0.323	0.490	0.491	آبرفتی
ally	0.792	0.320	0.688	متحد
almanac	0.688	0.190	0.412	سالنامه
almighty	0.938	0.874	0.958	خداوند متعال
almond	0.698	0.183	0.314	بادام
aloft	0.771	0.373	0.700	بالا
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	تنها
alongside	0.458	0.333	0.347	در کنار
aloof	0.189	0.423	0.302	دور
aloud	0.458	0.713	0.750	با صدای بلند
alpha	0.708	0.340	0.755	آلفا
alphabet	0.562	0.204	0.672	الفبا
alphabetical	0.537	0.296	0.535	حروف الفبا
alpine	0.594	0.337	0.474	آلپی
alreadyyyyy	0.592	0.717	0.351	در حال حاضر yyyy
altar	0.724	0.387	0.635	محراب
altar boy	0.434	0.206	0.350	پسر محراب
alter	0.333	0.694	0.654	تغییر دهید
alteration	0.167	0.798	0.609	تغییر
altercation	0.170	0.806	0.500	درگیری
altered	0.255	0.765	0.500	تغییر یافته است
alternate	0.625	0.363	0.589	متناوب
alternating	0.480	0.494	0.542	متناوب
alternative	0.628	0.373	0.631	جایگزین
altimeter	0.615	0.510	0.580	ارتفاع سنج
altitude	0.708	0.482	0.736	ارتفاع
alto	0.656	0.404	0.730	آلتو
altogether	0.833	0.324	0.644	در مجموع
aluminum	0.449	0.280	0.434	آلومینیوم
alumnus	0.633	0.368	0.422	فارغ التحصیل
alveolar	0.469	0.481	0.367	آلوئولی
alzheimers	0.194	0.518	0.319	آلزایمرها
amalgam	0.438	0.333	0.510	آمالگام
amalgamation	0.406	0.470	0.531	ادغام
amaretto	0.543	0.551	0.375	آمارتو
amass	0.552	0.465	0.465	جمع کردن
amateur	0.469	0.500	0.409	آماتور
amaze	0.896	0.843	0.783	شگفت زده کردن
amazed	0.796	0.779	0.533	شگفت زده
amazedness	0.827	0.872	0.510	حیرت
amazement	0.750	0.800	0.639	شگفتی
amazing	0.906	0.837	0.849	شگفت انگيز
amazingly	0.918	0.765	0.920	شگفت آور
ambassador	0.651	0.529	0.917	سفیر
amber	0.635	0.308	0.369	کهربا
ambience	0.735	0.356	0.426	محیط
ambient	0.625	0.360	0.582	محیط
ambiguity	0.164	0.460	0.370	گنگ
ambiguous	0.265	0.462	0.358	مبهم
ambit	0.479	0.380	0.386	دامنه
ambition	0.510	0.804	0.661	هدف - آرزو
ambitious	0.484	0.821	0.717	جاه طلب
ambivalent	0.510	0.404	0.482	متضاد
ambrosia	0.571	0.452	0.480	شهد
ambulance	0.500	0.750	0.609	آمبولانس
ambush	0.281	0.830	0.500	کمین کردن
ameliorate	0.770	0.548	0.747	بهبود بخشد
amen	0.781	0.182	0.542	آمین
amenable	0.448	0.410	0.406	قابلیت
amend	0.688	0.406	0.658	اصلاح
amendment	0.531	0.459	0.606	اصلاحیه
amends	0.640	0.366	0.517	اصلاح می کند
amenity	0.750	0.327	0.574	تسهیلات، رفاه
amethyst	0.622	0.406	0.517	آمیتیست
amiable	0.847	0.290	0.483	دوست داشتنی
amicable	0.875	0.330	0.507	دوستانه
amid	0.510	0.340	0.256	در میان
amidst	0.480	0.330	0.316	در میان
amino	0.551	0.402	0.433	آمینو
ammo	0.323	0.765	0.621	مهمات
ammonia	0.292	0.587	0.409	آمونیاک
ammonium	0.354	0.396	0.368	آمونیوم
ammunition	0.338	0.635	0.667	مهمات
amnesia	0.296	0.330	0.308	فراموشی
amnesty	0.551	0.451	0.814	عفو
amorous	0.844	0.670	0.636	عاشقانه
amorphous	0.327	0.402	0.349	بی شکل
amortization	0.592	0.491	0.522	استهلاک
amount	0.562	0.422	0.649	میزان
amour	0.865	0.480	0.652	عشق
amp	0.439	0.393	0.375	آمپر
ampersand	0.480	0.448	0.483	آمپرسند
amphetamines	0.133	0.667	0.526	آمفتامین ها
amphibian	0.427	0.357	0.474	دوزیستان
amphibious	0.479	0.346	0.445	دوزیست
amphitheater	0.653	0.480	0.545	آمفی تئاتر
ample	0.744	0.349	0.719	کافی
amplification	0.690	0.677	0.810	تقویت
amplify	0.677	0.735	0.827	تقویت
amplitude	0.694	0.439	0.692	دامنه
