English Word	Valence	Arousal	Dominance	Turkish Word
acidity	0.156	0.663	0.360	asitlik
acknowledge	0.786	0.370	0.661	kabullenmek
acknowledged	0.714	0.443	0.765	kabul edildi
acknowledgement	0.819	0.539	0.830	teşekkür
acknowledgment	0.796	0.528	0.777	teşekkür
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	akne
acorn	0.448	0.198	0.192	meşe palamudu
acoustic	0.542	0.462	0.536	akustik
acoustics	0.611	0.330	0.509	akustik
acquaint	0.646	0.491	0.639	tanışmak
acquaintance	0.656	0.290	0.670	tanıdık
acquainted	0.906	0.358	0.632	haberdar olma
acquiescence	0.542	0.480	0.554	rıza
acquire	0.833	0.468	0.700	elde etmek
acquiring	0.735	0.510	0.817	edinme
acquisition	0.698	0.509	0.736	kazanma
acquisitions	0.773	0.660	0.790	satın almalar
acquit	0.583	0.571	0.611	beraat
acquittal	0.760	0.497	0.700	beraat
acre	0.583	0.387	0.423	dönüm
acreage	0.741	0.450	0.528	dönüm
acres	0.510	0.363	0.500	dönüm
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akrilik
act	0.656	0.704	0.735	davranmak
acting	0.698	0.643	0.500	oyunculuk
action	0.760	0.898	0.802	eylem
action figure	0.615	0.774	0.611	aksiyon figürü
actionable	0.673	0.702	0.613	harekete geçirilebilir
activate	0.764	0.650	0.806	etkinleştirmek
activation	0.781	0.800	0.754	aktivasyon
active	0.847	0.730	0.731	aktif
activist	0.531	0.653	0.877	eylemci
activity	0.701	0.660	0.807	aktivite
actor	0.653	0.561	0.629	aktör
actress	0.633	0.556	0.596	aktris
actual	0.729	0.400	0.716	gerçek
actuality	0.750	0.464	0.600	gerçeklik
actuary	0.510	0.404	0.491	aktüer
acuity	0.469	0.378	0.741	keskinlik
acumen	0.564	0.660	0.679	zeka
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	akut olarak
ad	0.521	0.705	0.558	reklam
adage	0.517	0.415	0.566	atasözü
adamant	0.344	0.529	0.575	kararlı
adapt	0.740	0.355	0.551	adapte olmak
adaptable	0.735	0.423	0.641	uyarlanabilir
adaptation	0.663	0.365	0.609	adaptasyon
add	0.728	0.490	0.554	Ekle
added	0.562	0.405	0.509	katma
addendum	0.392	0.370	0.418	zeyilname
adder	0.388	0.461	0.588	toplayıcı
addict	0.075	0.696	0.327	bağımlı
addicted	0.156	0.712	0.483	bağımlı
addiction	0.180	0.806	0.420	bağımlılık
addictive	0.302	0.683	0.472	bağımlılık yapan
addition	0.562	0.373	0.471	ilave
additional	0.673	0.462	0.526	ek olarak
additive	0.561	0.633	0.691	katkı
address	0.650	0.327	0.567	adres
addressee	0.622	0.382	0.538	muhatap
addresses	0.510	0.354	0.450	adresler
adept	0.594	0.539	0.789	usta
adequacy	0.615	0.435	0.702	yeterlilik
adequate	0.854	0.264	0.705	yeterli
adhere	0.633	0.339	0.554	bağlı kalmak
adherence	0.760	0.307	0.630	bağlılık
adherent	0.561	0.385	0.555	bağlı
adhering	0.612	0.561	0.537	bağlı kalmak
adhesion	0.521	0.445	0.586	yapışma
adhesive	0.604	0.350	0.413	yapıştırıcı
adieu	0.250	0.471	0.342	elveda
adipose	0.333	0.350	0.391	yağ
adjacency	0.365	0.417	0.375	komşuluk
adjacent	0.645	0.276	0.536	bitişik
adjective	0.570	0.316	0.569	sıfat
adjoining	0.520	0.400	0.393	bitişik
adjourn	0.385	0.456	0.475	ertelemek
adjournment	0.438	0.510	0.370	erteleme
adjudicate	0.559	0.520	0.683	hüküm vermek
adjudication	0.551	0.462	0.691	hüküm
adjunct	0.459	0.440	0.426	ek
adjust	0.647	0.327	0.638	ayarlamak
adjuster	0.510	0.540	0.760	ayarlayıcı
adjustment	0.590	0.520	0.661	ayar
adjuvant	0.510	0.500	0.456	adjuvan
admin	0.688	0.420	0.854	yönetici
administer	0.635	0.425	0.860	yönetmek
administration	0.625	0.404	0.786	yönetim
administrative	0.542	0.415	0.579	Yönetim
administrator	0.538	0.480	0.902	yönetici
admirable	0.929	0.600	0.870	takdire şayan
admiral	0.844	0.490	0.847	amiral
admiralty	0.594	0.547	0.733	amirallik
admiration	0.969	0.583	0.726	hayranlık
admire	0.867	0.692	0.704	beğenmek
admired	0.917	0.560	0.815	hayran
admirer	0.796	0.720	0.650	hayran
admiring	0.867	0.578	0.629	hayran olmak
admissibility	0.802	0.580	0.602	kabul edilebilirlik
admissible	0.780	0.528	0.642	kabul edilebilir
admission	0.802	0.415	0.732	kabul
admit	0.538	0.423	0.667	Kabul et
admittance	0.690	0.451	0.598	kabul
admitted	0.720	0.490	0.767	kabul edilmiş
admitting	0.620	0.500	0.546	kabul etmek
admixture	0.450	0.375	0.438	katkı
admonition	0.357	0.606	0.455	öğüt
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	Gençlik
adolescent	0.781	0.680	0.509	ergen
adopt	0.694	0.612	0.701	evlat edinmek
adoption	0.625	0.566	0.589	Benimseme
adoptive	0.531	0.469	0.520	evlat edinen
adorable	0.969	0.519	0.457	sevimli
adoration	0.885	0.699	0.708	hayranlık
adore	0.854	0.438	0.657	hayranlık duymak
adoring	0.885	0.620	0.717	tapan
adorn	0.910	0.424	0.482	süslemek
adornment	0.918	0.373	0.377	süsleme
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	sürüklenmek
adult	0.815	0.491	0.787	yetişkin
adulterated	0.188	0.865	0.370	tahrif edilmiş
adulterer	0.229	0.814	0.407	zina yapan
adultery	0.120	0.922	0.510	zina
adulthood	0.541	0.454	0.652	yetişkinlik
advance	0.673	0.472	0.858	ilerlemek
advanced	0.844	0.623	0.797	ileri
advancement	0.776	0.650	0.839	ilerleme
advancing	0.929	0.608	0.812	ilerleyen
advantage	0.917	0.548	0.859	avantaj
advantageous	0.837	0.640	0.789	avantajlı
advent	0.665	0.560	0.627	gelişi
adventure	0.917	0.857	0.710	macera
adventurer	0.781	0.839	0.868	maceracı
adventures	0.812	0.764	0.749	maceralar
adventurous	0.969	0.898	0.722	maceracı
adversary	0.349	0.777	0.457	düşman
adverse	0.323	0.610	0.385	olumsuz
adversity	0.276	0.760	0.538	sıkıntı
advertise	0.500	0.529	0.580	reklam yapmak
advertisement	0.600	0.566	0.539	reklamcılık
advertising	0.622	0.608	0.632	reklam
adverts	0.551	0.500	0.595	reklamlar
advice	0.698	0.408	0.688	tavsiye
advisable	0.867	0.480	0.510	uygun
advise	0.760	0.393	0.705	öğüt vermek
advised	0.823	0.330	0.509	tavsiye
advisement	0.698	0.235	0.655	tavsiye
adviser	0.745	0.362	0.705	danışman
advisor	0.646	0.350	0.689	danışman
advisory	0.656	0.429	0.633	danışma
advocacy	0.500	0.646	0.731	savunuculuk
advocate	0.551	0.530	0.818	savunucu
aegis	0.490	0.439	0.462	kalkan
aeration	0.550	0.500	0.433	havalandırma
aerial	0.615	0.461	0.463	havadan
aerobics	0.708	0.771	0.627	aerobik
aerodrome	0.541	0.740	0.678	havaalanı
aerodynamic	0.561	0.724	0.728	aerodinamik
aerodynamics	0.590	0.663	0.722	aerodinamik
aeronautics	0.551	0.633	0.688	havacılık
aeroplane	0.714	0.642	0.644	uçak
aerospace	0.643	0.520	0.779	havacılık
aesthetic	0.708	0.442	0.526	estetik
aesthetics	0.847	0.327	0.549	estetik
aetiology	0.480	0.398	0.615	etiyoloji
afar	0.396	0.373	0.358	uzaktan
affable	0.704	0.380	0.452	nazik
affair	0.520	0.459	0.657	mesele
affect	0.458	0.569	0.578	etkilemek
affecting	0.350	0.574	0.394	etkileyen
affection	0.898	0.559	0.696	alaka
affectionate	0.949	0.422	0.550	sevecen
affections	0.760	0.547	0.655	sevgiler
affiche	0.479	0.265	0.402	Afiş
affidavit	0.469	0.584	0.526	beyanname
affiliated	0.673	0.519	0.535	bağlı
affiliation	0.615	0.594	0.500	üyelik
affinity	0.800	0.500	0.537	yakınlık
affirm	0.745	0.509	0.731	onaylamak
affirmation	0.750	0.500	0.689	onaylama
affirmative	0.854	0.589	0.816	olumlu
affirmatively	0.908	0.500	0.811	olumlu olarak
affix	0.438	0.335	0.411	takmak
afflict	0.302	0.555	0.293	ıstırap çekmek
afflicted	0.271	0.500	0.167	tutulmuş
affliction	0.294	0.635	0.392	ızdırap
affluence	0.663	0.618	0.722	zenginlik
affluent	0.756	0.388	0.477	zengin
afford	0.571	0.580	0.575	parası yetmek
affordable	0.840	0.398	0.493	ekonomik
affront	0.327	0.740	0.547	hakaret
affronted	0.385	0.750	0.527	hakaret
afield	0.594	0.370	0.373	uzakta
afire	0.367	0.904	0.675	bir ateş
afloat	0.602	0.427	0.444	su üstünde
afore	0.500	0.337	0.382	önce
aforementioned	0.490	0.316	0.408	bahsi geçen
aforesaid	0.531	0.358	0.478	yukarıda bahsedilen
afraid	0.010	0.775	0.245	korkmuş
afresh	0.643	0.521	0.480	yeniden
aft	0.480	0.417	0.518	kıç
afterlife	0.571	0.567	0.568	öbür dünya
aftermath	0.312	0.449	0.444	sonrası
afternoon	0.533	0.388	0.339	öğleden sonra
aftershave	0.406	0.384	0.415	tıraş sonrası
aftertaste	0.354	0.362	0.455	ağızda kalan tat
afterthought	0.396	0.392	0.349	sonradan düşünülmüş
aga	0.542	0.327	0.398	ağa
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	akik
age	0.561	0.226	0.498	yaş
aged	0.135	0.365	0.236	yaşlı
agency	0.460	0.296	0.583	Ajans
agenda	0.531	0.296	0.553	Gündem
agent	0.480	0.439	0.755	ajan
agglomeration	0.450	0.765	0.509	yığılma
aggravate	0.224	0.770	0.464	ağırlaştırmak
aggravated	0.079	0.760	0.430	ağırlaştırılmış
aggravates	0.108	0.778	0.357	ağırlaştırır
aggravating	0.257	0.794	0.640	ağırlaştırıcı
aggravation	0.071	0.784	0.613	ağırlaştırma
aggregate	0.730	0.378	0.556	agrega
aggregation	0.583	0.517	0.694	toplama
aggresive	0.059	0.971	0.639	agresif
aggression	0.094	0.929	0.533	saldırganlık
aggressive	0.125	0.949	0.648	agresif
aggressively	0.250	0.926	0.688	agresif bir şekilde
aggressiveness	0.077	0.913	0.648	saldırganlık
aggressor	0.146	0.948	0.823	saldırgan
agh	0.260	0.500	0.400	ah
aghast	0.133	0.865	0.464	dehşete düşmek
aghhh	0.281	0.635	0.243	ahhh
agile	0.800	0.657	0.775	atik
agility	0.720	0.702	0.815	çeviklik
aging	0.214	0.255	0.284	yaşlanma
agitate	0.300	0.796	0.593	çalkalamak
agitated	0.444	0.882	0.491	tedirgin
agitation	0.240	0.931	0.447	çalkalama
aglow	0.780	0.510	0.797	kıpkırmızı
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	evvel
agonizing	0.083	0.800	0.340	acı verici
agony	0.083	0.775	0.393	ızdırap
agoraphobia	0.127	0.712	0.438	agorafobi
agree	0.906	0.260	0.545	Katılıyorum
agreeable	0.906	0.500	0.696	hoş
agreed	0.797	0.449	0.574	kabul
agreeing	0.854	0.480	0.557	anlaşmak
agreement	0.760	0.440	0.736	anlaşma
agressive	0.083	0.918	0.751	agresif
agricultural	0.686	0.321	0.473	tarımsal
agriculture	0.640	0.357	0.465	tarım
aground	0.333	0.340	0.445	karaya oturmak
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ilerde
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	aho
aid	0.796	0.491	0.541	yardım
aide	0.724	0.342	0.434	yardımcı
aiding	0.643	0.533	0.569	yardım
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	her şey
ailing	0.094	0.518	0.153	hasta
ailment	0.146	0.734	0.277	rahatsızlık
aim	0.481	0.569	0.567	amaç
aimless	0.150	0.267	0.183	amaçsız
air	0.708	0.163	0.427	hava
airbag	0.510	0.402	0.433	hava yastığı
airborne	0.542	0.519	0.385	havadan
aircraft	0.646	0.644	0.691	uçak
aircraft carrier	0.490	0.740	0.727	uçak gemisi
airfield	0.601	0.650	0.645	hava alanı
airhead	0.271	0.481	0.276	havalı kafa
airlift	0.573	0.622	0.642	hava ikmali
airline	0.650	0.482	0.688	havayolu
airliner	0.667	0.777	0.647	uçak
airlock	0.398	0.520	0.447	hava kilidi
airman	0.587	0.716	0.721	havacı
airplane	0.719	0.702	0.708	uçak
airport	0.729	0.684	0.682	havalimanı
airs	0.583	0.196	0.370	fiyaka
airship	0.542	0.472	0.529	zeplin
airspace	0.562	0.510	0.640	hava boşluğu
airspeed	0.583	0.780	0.544	hava hızı
airstrip	0.550	0.690	0.649	uçak pisti
airtight	0.479	0.381	0.570	hava geçirmez
airway	0.638	0.585	0.482	hava yolu
aisle	0.438	0.222	0.283	koridor
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	aralık
aka	0.459	0.358	0.351	diğer adıyla
akin	0.639	0.343	0.523	benzer
alabaster	0.542	0.404	0.445	kaymaktaşı
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	alarm saati
alarmed	0.188	0.822	0.492	alarma geçmiş
alarming	0.204	0.890	0.585	endişe verici
alas	0.571	0.310	0.279	ne yazık ki
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albüm
alchemy	0.541	0.583	0.693	simya
alcohol	0.323	0.667	0.377	alkol
alcoholic	0.153	0.688	0.361	alkollü
alcoholism	0.061	0.779	0.407	alkolizm
alcove	0.490	0.340	0.356	oyuk
alderman	0.550	0.459	0.691	meclis üyesi
ale	0.530	0.450	0.358	bira
alert	0.479	0.820	0.648	Alarm
alertness	0.375	0.875	0.750	uyanıklık
alerts	0.337	0.804	0.673	uyarılar
alfalfa	0.546	0.250	0.311	yonca
algebra	0.440	0.340	0.565	cebir
algebraic	0.531	0.412	0.441	cebirsel
algorithm	0.448	0.394	0.559	algoritma
alias	0.541	0.353	0.333	takma ad
alibi	0.396	0.528	0.556	mazeret
alien	0.410	0.615	0.491	yabancı
alienate	0.247	0.500	0.523	yabancılaştırmak
alienated	0.410	0.423	0.559	yabancılaşmış
alienation	0.378	0.530	0.462	yabancılaşma
alight	0.667	0.657	0.605	inmek
align	0.656	0.364	0.627	hizalamak
aligned	0.583	0.275	0.553	hizalı
alignment	0.643	0.412	0.683	hizalama
alike	0.653	0.173	0.444	benzer
alimentation	0.781	0.551	0.602	beslenme
alimony	0.612	0.477	0.464	nafaka
aliquot	0.440	0.310	0.404	alikot
alive	0.816	0.637	0.731	canlı
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkoloidler
allay	0.417	0.406	0.398	yatıştırmak
allegation	0.578	0.578	0.608	iddia
allege	0.418	0.482	0.587	iddia etmek
alleged	0.365	0.522	0.520	iddia edilen
allegiance	0.917	0.398	0.750	bağlılık
allegorical	0.517	0.558	0.598	alegorik
allegory	0.615	0.580	0.509	alegori
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alerjik
allergy	0.296	0.606	0.389	alerji
alleviate	0.869	0.270	0.528	hafifletmek
alleviation	0.735	0.200	0.491	hafifletme
alley	0.347	0.500	0.355	sokak
alleyway	0.357	0.471	0.382	ara sokak
alliance	0.696	0.473	0.769	ittifak
allied	0.714	0.245	0.642	müttefik
alligator	0.354	0.704	0.645	timsah
allocate	0.673	0.462	0.672	tahsis etmek
allocation	0.604	0.388	0.679	tahsis
allot	0.622	0.481	0.616	tahsis etmek
allotment	0.600	0.390	0.640	tahsis
allow	0.698	0.429	0.538	izin vermek
allowable	0.698	0.500	0.561	izin verilebilir
allowance	0.673	0.382	0.591	ödenek
allowed	0.730	0.360	0.655	izin verilmiş
alloy	0.583	0.443	0.593	alaşım
allsmiles	0.786	0.528	0.430	gülücükler
allure	0.804	0.585	0.686	cazibe
alluring	0.837	0.745	0.843	çekici
allusion	0.440	0.308	0.462	ima
alluvial	0.323	0.490	0.491	alüvyon
ally	0.792	0.320	0.688	müttefik
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	her şeye kadir
almond	0.698	0.183	0.314	badem
aloft	0.771	0.373	0.700	havada
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	yalnız
alongside	0.458	0.333	0.347	yanında
aloof	0.189	0.423	0.302	uzak
aloud	0.458	0.713	0.750	yüksek sesle
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabe
alphabetical	0.537	0.296	0.535	alfabetik
alpine	0.594	0.337	0.474	alp
alreadyyyyy	0.592	0.717	0.351	zatenyyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	sunak çocuğu
alter	0.333	0.694	0.654	değiştirmek
alteration	0.167	0.798	0.609	değişiklik
altercation	0.170	0.806	0.500	tartışma
altered	0.255	0.765	0.500	değiştirilmiş
alternate	0.625	0.363	0.589	alternatif
alternating	0.480	0.494	0.542	dönüşümlü
alternative	0.628	0.373	0.631	alternatif
altimeter	0.615	0.510	0.580	altimetre
altitude	0.708	0.482	0.736	yükseklik
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	tamamen
aluminum	0.449	0.280	0.434	alüminyum
alumnus	0.633	0.368	0.422	mezun
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	birleşme
amaretto	0.543	0.551	0.375	Amaretto
amass	0.552	0.465	0.465	yığmak
amateur	0.469	0.500	0.409	amatör
amaze	0.896	0.843	0.783	şaşırtmak
amazed	0.796	0.779	0.533	hayret
amazedness	0.827	0.872	0.510	hayret
amazement	0.750	0.800	0.639	şaşkınlık
amazing	0.906	0.837	0.849	Harika
amazingly	0.918	0.765	0.920	inanılmaz
ambassador	0.651	0.529	0.917	büyükelçi
amber	0.635	0.308	0.369	kehribar
ambience	0.735	0.356	0.426	ortam
ambient	0.625	0.360	0.582	ortam
ambiguity	0.164	0.460	0.370	belirsizlik
ambiguous	0.265	0.462	0.358	belirsiz
ambit	0.479	0.380	0.386	ambiyans
ambition	0.510	0.804	0.661	hırs
ambitious	0.484	0.821	0.717	hırslı
ambivalent	0.510	0.404	0.482	kararsız
ambrosia	0.571	0.452	0.480	çok lezzetli yemek
ambulance	0.500	0.750	0.609	ambulans
ambush	0.281	0.830	0.500	pusu
ameliorate	0.770	0.548	0.747	düzeltmek
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	uygun
amend	0.688	0.406	0.658	değiştirmek
amendment	0.531	0.459	0.606	değişiklik
amends	0.640	0.366	0.517	düzeltir
amenity	0.750	0.327	0.574	kolaylık
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	sevimli
amicable	0.875	0.330	0.507	dostane
amid	0.510	0.340	0.256	ortasında
amidst	0.480	0.330	0.316	ortasında
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	cephane
ammonia	0.292	0.587	0.409	amonyak
ammonium	0.354	0.396	0.368	amonyum
ammunition	0.338	0.635	0.667	mühimmat
amnesia	0.296	0.330	0.308	amnezi
amnesty	0.551	0.451	0.814	af
amorous	0.844	0.670	0.636	aşık
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortisman
amount	0.562	0.422	0.649	tutar
amour	0.865	0.480	0.652	aşk
amp	0.439	0.393	0.375	amfi
ampersand	0.480	0.448	0.483	ve işareti
amphetamines	0.133	0.667	0.526	amfetaminler
amphibian	0.427	0.357	0.474	amfibi
amphibious	0.479	0.346	0.445	amfibi
amphitheater	0.653	0.480	0.545	amfitiyatro
ample	0.744	0.349	0.719	bol
amplification	0.690	0.677	0.810	amplifikasyon
amplify	0.677	0.735	0.827	büyütmek
amplitude	0.694	0.439	0.692	genlik
amply	0.781	0.431	0.766	fazlasıyla
amputate	0.092	0.660	0.509	ampute etmek
amputation	0.100	0.755	0.483	ampütasyon
amuck	0.385	0.602	0.321	serseri
amulet	0.781	0.260	0.630	muska
amuse	0.812	0.684	0.664	eğlendirmek
amused	0.942	0.847	0.596	eğlenmek
amusement	0.929	0.837	0.803	eğlence
amusing	0.960	0.829	0.632	eğlenceli
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestezi
anaesthetic	0.449	0.268	0.509	anestezik
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analjezik
analogous	0.531	0.270	0.500	benzer
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analoji
analysis	0.729	0.448	0.705	analiz
analyst	0.604	0.415	0.755	analist
analytic	0.665	0.521	0.634	analitik
