English Word	Valence	Arousal	Dominance	French Word
absinthe	0.481	0.510	0.462	Absinthe
absolute	0.526	0.510	0.827	absolu
absolution	0.715	0.500	0.664	absolution
absolve	0.684	0.449	0.660	absoudre
absorb	0.469	0.558	0.670	absorber
absorbed	0.490	0.471	0.519	absorbé
absorbent	0.552	0.394	0.718	absorbant
absorbing	0.490	0.490	0.578	absorbant
absorption	0.609	0.422	0.446	absorption
abstain	0.385	0.385	0.427	abstention
abstention	0.271	0.264	0.509	abstention
abstinence	0.260	0.392	0.429	abstinence
abstract	0.438	0.292	0.444	abstrait
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	absurde
absurdity	0.115	0.528	0.227	absurdité
abundance	0.812	0.690	0.852	abondance
abundant	0.958	0.590	0.760	abondant
abuse	0.071	0.873	0.469	abuser de
abused	0.021	0.874	0.235	abusé
abusive	0.125	0.903	0.567	injurieux
abutment	0.500	0.265	0.616	butée
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	épouvantable
abyss	0.353	0.725	0.296	abîme
academic	0.781	0.420	0.812	académique
academy	0.704	0.473	0.792	académie
accede	0.698	0.510	0.537	adhérer
accelerant	0.643	0.844	0.802	accélérateur
accelerate	0.615	0.902	0.759	accélérer
accelerated	0.610	0.812	0.682	accéléré
acceleration	0.704	0.905	0.843	accélération
accelerator	0.593	0.830	0.812	accélérateur
accent	0.598	0.357	0.509	accent
accentuate	0.673	0.556	0.667	accentuer
accept	0.847	0.286	0.565	J'accepte
acceptable	0.812	0.286	0.583	acceptable
acceptance	0.833	0.287	0.755	acceptation
acceptances	0.847	0.413	0.648	acceptations
access	0.714	0.472	0.567	accéder
accessible	0.796	0.410	0.645	accessible
accession	0.612	0.383	0.636	accession
accessory	0.562	0.292	0.445	accessoire
accident	0.125	0.908	0.336	accident
accidental	0.319	0.784	0.307	accidentel
accidentally	0.333	0.741	0.333	accidentellement
acclaim	0.562	0.809	0.718	acclamer
accolade	0.688	0.591	0.775	accolade
accommodate	0.844	0.375	0.566	accommoder
accommodation	0.817	0.415	0.587	logement
accompaniment	0.740	0.479	0.695	accompagnement
accompany	0.833	0.406	0.585	accompagner
accompanying	0.787	0.460	0.582	accompagnement
accomplice	0.408	0.580	0.510	complice
accomplish	0.929	0.673	0.816	accomplir
accomplished	0.870	0.520	0.798	réalisé
accomplishment	0.917	0.694	0.888	accomplissement
accord	0.898	0.264	0.382	accord
accordance	0.659	0.349	0.600	conformité
accordion	0.604	0.490	0.361	accordéon
account	0.531	0.347	0.472	Compte
accountability	0.755	0.537	0.833	responsabilité
accountable	0.709	0.282	0.777	redevable
accountant	0.625	0.450	0.639	comptable
accounting	0.552	0.390	0.677	comptabilité
accounts	0.592	0.340	0.471	comptes
accredited	0.669	0.479	0.768	accrédité
accretion	0.448	0.519	0.672	accumulation
accrue	0.520	0.481	0.602	s'accumuler
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	accumuler
accumulation	0.479	0.527	0.600	accumulation
accuracy	0.604	0.481	0.802	précision
accurate	0.743	0.360	0.737	exact
accursed	0.135	0.745	0.345	maudit
accusation	0.073	0.718	0.564	accusation
accusative	0.198	0.755	0.482	accusatif
accuse	0.133	0.752	0.500	accuser
accused	0.130	0.670	0.420	accusé
accuser	0.122	0.779	0.615	accusateur
accusing	0.156	0.745	0.324	accuser
accustomed	0.542	0.365	0.441	habitué
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	acétique
acetylene	0.306	0.469	0.509	acétylène
ache	0.146	0.760	0.312	mal
achieve	0.816	0.545	0.843	atteindre
achieved	0.896	0.519	0.775	atteint
achievement	0.896	0.808	0.759	réalisation
aching	0.053	0.880	0.348	douloureux
achy	0.167	0.840	0.373	douloureux
acid	0.265	0.642	0.566	acide
acidity	0.156	0.663	0.360	acidité
acknowledge	0.786	0.370	0.661	reconnaître
acknowledged	0.714	0.443	0.765	reconnu
acknowledgement	0.819	0.539	0.830	reconnaissance
acknowledgment	0.796	0.528	0.777	reconnaissance
acme	0.408	0.435	0.375	acmé
acne	0.167	0.474	0.308	acné
acorn	0.448	0.198	0.192	gland
acoustic	0.542	0.462	0.536	acoustique
acoustics	0.611	0.330	0.509	acoustique
acquaint	0.646	0.491	0.639	informer
acquaintance	0.656	0.290	0.670	connaissance
acquainted	0.906	0.358	0.632	connaissance
acquiescence	0.542	0.480	0.554	consentement
acquire	0.833	0.468	0.700	acquérir
acquiring	0.735	0.510	0.817	acquérir
acquisition	0.698	0.509	0.736	acquisition
acquisitions	0.773	0.660	0.790	acquisitions
acquit	0.583	0.571	0.611	acquitter
acquittal	0.760	0.497	0.700	acquittement
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	superficie
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	acrobate
acrylic	0.582	0.279	0.420	acrylique
act	0.656	0.704	0.735	loi
acting	0.698	0.643	0.500	agissant
action	0.760	0.898	0.802	action
action figure	0.615	0.774	0.611	figurine
actionable	0.673	0.702	0.613	exploitable
activate	0.764	0.650	0.806	Activer
activation	0.781	0.800	0.754	Activation
active	0.847	0.730	0.731	actif
activist	0.531	0.653	0.877	activiste
activity	0.701	0.660	0.807	activité
actor	0.653	0.561	0.629	acteur de cinéma
actress	0.633	0.556	0.596	actrice
actual	0.729	0.400	0.716	réel
actuality	0.750	0.464	0.600	actualité
actuary	0.510	0.404	0.491	actuaire
acuity	0.469	0.378	0.741	acuité
acumen	0.564	0.660	0.679	perspicacité
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	aigu
acutely	0.417	0.543	0.491	intensément
ad	0.521	0.705	0.558	un d
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	catégorique
adapt	0.740	0.355	0.551	adapter
adaptable	0.735	0.423	0.641	adaptable
adaptation	0.663	0.365	0.609	adaptation
add	0.728	0.490	0.554	ajouter
added	0.562	0.405	0.509	ajoutée
addendum	0.392	0.370	0.418	Addenda
adder	0.388	0.461	0.588	additionneur
addict	0.075	0.696	0.327	toxicomane
addicted	0.156	0.712	0.483	dépendant
addiction	0.180	0.806	0.420	dépendance
addictive	0.302	0.683	0.472	addictif
addition	0.562	0.373	0.471	ajout
additional	0.673	0.462	0.526	Additionnel
additive	0.561	0.633	0.691	additif
address	0.650	0.327	0.567	adresse
addressee	0.622	0.382	0.538	destinataire
addresses	0.510	0.354	0.450	adresses
adept	0.594	0.539	0.789	expert
adequacy	0.615	0.435	0.702	adéquation
adequate	0.854	0.264	0.705	adéquat
adhere	0.633	0.339	0.554	adhérer
adherence	0.760	0.307	0.630	adhérence
adherent	0.561	0.385	0.555	adhérent
adhering	0.612	0.561	0.537	adhérer
adhesion	0.521	0.445	0.586	adhésion
adhesive	0.604	0.350	0.413	adhésif
adieu	0.250	0.471	0.342	Adieu
adipose	0.333	0.350	0.391	adipeux
adjacency	0.365	0.417	0.375	proximité
adjacent	0.645	0.276	0.536	adjacent
adjective	0.570	0.316	0.569	adjectif
adjoining	0.520	0.400	0.393	attenant
adjourn	0.385	0.456	0.475	ajourner
adjournment	0.438	0.510	0.370	ajournement
adjudicate	0.559	0.520	0.683	juger
adjudication	0.551	0.462	0.691	arbitrage
adjunct	0.459	0.440	0.426	auxiliaire
adjust	0.647	0.327	0.638	régler
adjuster	0.510	0.540	0.760	ajusteur
adjustment	0.590	0.520	0.661	ajustement
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	administrateur
administer	0.635	0.425	0.860	administrer
administration	0.625	0.404	0.786	administration
administrative	0.542	0.415	0.579	administratif
administrator	0.538	0.480	0.902	administrateur
admirable	0.929	0.600	0.870	admirable
admiral	0.844	0.490	0.847	amiral
admiralty	0.594	0.547	0.733	amirauté
admiration	0.969	0.583	0.726	admiration
admire	0.867	0.692	0.704	admirer
admired	0.917	0.560	0.815	admiré
admirer	0.796	0.720	0.650	admirateur
admiring	0.867	0.578	0.629	admiratif
admissibility	0.802	0.580	0.602	recevabilité
admissible	0.780	0.528	0.642	admissible
admission	0.802	0.415	0.732	admission
admit	0.538	0.423	0.667	admettre
admittance	0.690	0.451	0.598	admission
admitted	0.720	0.490	0.767	admis
admitting	0.620	0.500	0.546	admettant
admixture	0.450	0.375	0.438	mélange
admonition	0.357	0.606	0.455	admonition
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescence
adolescent	0.781	0.680	0.509	adolescente
adopt	0.694	0.612	0.701	adopter
adoption	0.625	0.566	0.589	adoption
adoptive	0.531	0.469	0.520	adoptif
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	adoration
adore	0.854	0.438	0.657	adorer
adoring	0.885	0.620	0.717	adorer
adorn	0.910	0.424	0.482	orner
adornment	0.918	0.373	0.377	ornement
adrenalin	0.865	0.920	0.786	adrénaline
adrenaline	0.765	0.965	0.825	adrénaline
adrift	0.398	0.486	0.230	à la dérive
adult	0.815	0.491	0.787	adulte
adulterated	0.188	0.865	0.370	frelaté
adulterer	0.229	0.814	0.407	adultère
adultery	0.120	0.922	0.510	adultère
adulthood	0.541	0.454	0.652	l'âge adulte
advance	0.673	0.472	0.858	avance
advanced	0.844	0.623	0.797	Avancée
advancement	0.776	0.650	0.839	avancement
advancing	0.929	0.608	0.812	avancer
advantage	0.917	0.548	0.859	avantage
advantageous	0.837	0.640	0.789	avantageux
advent	0.665	0.560	0.627	avènement
adventure	0.917	0.857	0.710	aventure
adventurer	0.781	0.839	0.868	aventurier
adventures	0.812	0.764	0.749	aventures
adventurous	0.969	0.898	0.722	aventureux
adversary	0.349	0.777	0.457	adversaire
adverse	0.323	0.610	0.385	négatif
adversity	0.276	0.760	0.538	adversité
advertise	0.500	0.529	0.580	afficher
advertisement	0.600	0.566	0.539	publicité
advertising	0.622	0.608	0.632	La publicité
adverts	0.551	0.500	0.595	Annonces
advice	0.698	0.408	0.688	conseils
advisable	0.867	0.480	0.510	conseillé
advise	0.760	0.393	0.705	conseiller
advised	0.823	0.330	0.509	informé
advisement	0.698	0.235	0.655	avis
adviser	0.745	0.362	0.705	conseiller
advisor	0.646	0.350	0.689	conseiller
advisory	0.656	0.429	0.633	consultatif
advocacy	0.500	0.646	0.731	plaidoyer
advocate	0.551	0.530	0.818	avocat
aegis	0.490	0.439	0.462	égide
aeration	0.550	0.500	0.433	aération
aerial	0.615	0.461	0.463	aérien
aerobics	0.708	0.771	0.627	aérobie
aerodrome	0.541	0.740	0.678	aérodrome
aerodynamic	0.561	0.724	0.728	aérodynamique
aerodynamics	0.590	0.663	0.722	aérodynamique
aeronautics	0.551	0.633	0.688	aéronautiques
aeroplane	0.714	0.642	0.644	avion
aerospace	0.643	0.520	0.779	aérospatial
aesthetic	0.708	0.442	0.526	esthétique
aesthetics	0.847	0.327	0.549	esthétique
aetiology	0.480	0.398	0.615	étiologie
afar	0.396	0.373	0.358	au loin
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	aventure
affect	0.458	0.569	0.578	affecter
affecting	0.350	0.574	0.394	affectant
affection	0.898	0.559	0.696	affection
affectionate	0.949	0.422	0.550	affectueux
affections	0.760	0.547	0.655	affections
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	déclaration sous serment
affiliated	0.673	0.519	0.535	affilié
affiliation	0.615	0.594	0.500	affiliation
affinity	0.800	0.500	0.537	affinité
affirm	0.745	0.509	0.731	affirmer
affirmation	0.750	0.500	0.689	affirmation
affirmative	0.854	0.589	0.816	affirmative
affirmatively	0.908	0.500	0.811	affirmativement
affix	0.438	0.335	0.411	affixe
afflict	0.302	0.555	0.293	affliger
afflicted	0.271	0.500	0.167	affligé
affliction	0.294	0.635	0.392	affliction
affluence	0.663	0.618	0.722	richesse
affluent	0.756	0.388	0.477	affluent
afford	0.571	0.580	0.575	s'offrir
affordable	0.840	0.398	0.493	abordable
affront	0.327	0.740	0.547	affront
affronted	0.385	0.750	0.527	offensé
afield	0.594	0.370	0.373	un champ
afire	0.367	0.904	0.675	un feu
afloat	0.602	0.427	0.444	à flot
afore	0.500	0.337	0.382	avant
aforementioned	0.490	0.316	0.408	susmentionné
aforesaid	0.531	0.358	0.478	précité
afraid	0.010	0.775	0.245	peur
afresh	0.643	0.521	0.480	de nouveau
aft	0.480	0.417	0.518	à l'arrière
afterlife	0.571	0.567	0.568	vie après la mort
aftermath	0.312	0.449	0.444	conséquences
afternoon	0.533	0.388	0.339	après midi
aftershave	0.406	0.384	0.415	après-rasage
aftertaste	0.354	0.362	0.455	arrière-goût
afterthought	0.396	0.392	0.349	après coup
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	bouche bée
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	âge
aged	0.135	0.365	0.236	vieilli
agency	0.460	0.296	0.583	agence
agenda	0.531	0.296	0.553	ordre du jour
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	une agglomération
aggravate	0.224	0.770	0.464	aggraver
aggravated	0.079	0.760	0.430	aggravé
aggravates	0.108	0.778	0.357	aggrave
aggravating	0.257	0.794	0.640	aggravant
aggravation	0.071	0.784	0.613	aggravation
aggregate	0.730	0.378	0.556	agrégat
aggregation	0.583	0.517	0.694	agrégation
aggresive	0.059	0.971	0.639	agressif
aggression	0.094	0.929	0.533	agression
aggressive	0.125	0.949	0.648	agressif
aggressively	0.250	0.926	0.688	agressivement
aggressiveness	0.077	0.913	0.648	agressivité
aggressor	0.146	0.948	0.823	agresseur
agh	0.260	0.500	0.400	ah
aghast	0.133	0.865	0.464	atterré
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	agilité
aging	0.214	0.255	0.284	vieillissement
agitate	0.300	0.796	0.593	agiter
agitated	0.444	0.882	0.491	agité
agitation	0.240	0.931	0.447	agitation
aglow	0.780	0.510	0.797	embrasé
agnostic	0.306	0.396	0.574	agnostique
ago	0.317	0.280	0.404	depuis
agonizing	0.083	0.800	0.340	angoissant
agony	0.083	0.775	0.393	agonie
agoraphobia	0.127	0.712	0.438	agoraphobie
agree	0.906	0.260	0.545	Je suis d'accord
agreeable	0.906	0.500	0.696	agréable
agreed	0.797	0.449	0.574	convenu
agreeing	0.854	0.480	0.557	être d'accord
agreement	0.760	0.440	0.736	accord
agressive	0.083	0.918	0.751	agressif
agricultural	0.686	0.321	0.473	agricole
agriculture	0.640	0.357	0.465	agriculture
aground	0.333	0.340	0.445	échoué
agua	0.598	0.180	0.436	eau
ahead	0.708	0.520	0.673	en avant
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	oh
aid	0.796	0.491	0.541	aide
aide	0.724	0.342	0.434	aide
aiding	0.643	0.533	0.569	aider
aids	0.561	0.480	0.500	sida
ail	0.375	0.434	0.385	tout
ailing	0.094	0.518	0.153	malade
ailment	0.146	0.734	0.277	maladie
aim	0.481	0.569	0.567	objectif
aimless	0.150	0.267	0.183	sans but
air	0.708	0.163	0.427	air
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	aéroporté
aircraft	0.646	0.644	0.691	avion
aircraft carrier	0.490	0.740	0.727	porte-avions
airfield	0.601	0.650	0.645	aérodrome
airhead	0.271	0.481	0.276	tête de pont
airlift	0.573	0.622	0.642	pont aérien
airline	0.650	0.482	0.688	Compagnie aérienne
airliner	0.667	0.777	0.647	avion de ligne
airlock	0.398	0.520	0.447	sas
airman	0.587	0.716	0.721	aviateur
airplane	0.719	0.702	0.708	avion
airport	0.729	0.684	0.682	aéroport
airs	0.583	0.196	0.370	des airs
airship	0.542	0.472	0.529	dirigeable
airspace	0.562	0.510	0.640	espace aérien
airspeed	0.583	0.780	0.544	vitesse
airstrip	0.550	0.690	0.649	piste d'atterrissage
airtight	0.479	0.381	0.570	hermétique
airway	0.638	0.585	0.482	voies aériennes
aisle	0.438	0.222	0.283	allée
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	entrouvert
aka	0.459	0.358	0.351	alias
akin	0.639	0.343	0.523	proche
alabaster	0.542	0.404	0.445	albâtre
alarm	0.241	0.882	0.698	alarme
alarm clock	0.542	0.727	0.642	réveil
alarmed	0.188	0.822	0.492	alarmé
alarming	0.204	0.890	0.585	alarmant
alas	0.571	0.310	0.279	Hélas
alb	0.521	0.380	0.427	aube
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albinos
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchimie
alcohol	0.323	0.667	0.377	de l'alcool
alcoholic	0.153	0.688	0.361	alcoolique
alcoholism	0.061	0.779	0.407	alcoolisme
alcove	0.490	0.340	0.356	alcôve
alderman	0.550	0.459	0.691	échevin
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alerte
alertness	0.375	0.875	0.750	vigilance
alerts	0.337	0.804	0.673	alertes
alfalfa	0.546	0.250	0.311	luzerne
algebra	0.440	0.340	0.565	algèbre
algebraic	0.531	0.412	0.441	algébrique
algorithm	0.448	0.394	0.559	algorithme
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	extraterrestre
alienate	0.247	0.500	0.523	aliéner
alienated	0.410	0.423	0.559	aliéné
alienation	0.378	0.530	0.462	aliénation
alight	0.667	0.657	0.605	une lumière
align	0.656	0.364	0.627	aligner
aligned	0.583	0.275	0.553	aligné
alignment	0.643	0.412	0.683	alignement
alike	0.653	0.173	0.444	ressemblent
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	pension
aliquot	0.440	0.310	0.404	aliquote
alive	0.816	0.637	0.731	vivant
alkali	0.490	0.350	0.408	alcali
alkaloids	0.433	0.562	0.402	alcaloïdes
allay	0.417	0.406	0.398	apaiser
allegation	0.578	0.578	0.608	allégation
allege	0.418	0.482	0.587	alléguer
alleged	0.365	0.522	0.520	allégué
allegiance	0.917	0.398	0.750	allégeance
allegorical	0.517	0.558	0.598	allégorique
allegory	0.615	0.580	0.509	allégorie
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allergique
allergy	0.296	0.606	0.389	allergie
alleviate	0.869	0.270	0.528	soulager
alleviation	0.735	0.200	0.491	allégement
alley	0.347	0.500	0.355	ruelle
alleyway	0.357	0.471	0.382	ruelle
alliance	0.696	0.473	0.769	Alliance
allied	0.714	0.245	0.642	allié
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	allouer
allocation	0.604	0.388	0.679	allocation
allot	0.622	0.481	0.616	attribuer
allotment	0.600	0.390	0.640	attribution
allow	0.698	0.429	0.538	Autoriser
allowable	0.698	0.500	0.561	admissible
allowance	0.673	0.382	0.591	allocation
allowed	0.730	0.360	0.655	autorisé
alloy	0.583	0.443	0.593	alliage
allsmiles	0.786	0.528	0.430	tout sourire
allure	0.804	0.585	0.686	séduire
alluring	0.837	0.745	0.843	séduisant
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	allié
almanac	0.688	0.190	0.412	almanach
almighty	0.938	0.874	0.958	tout-puissant
almond	0.698	0.183	0.314	amande
aloft	0.771	0.373	0.700	en haut
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	seul
alongside	0.458	0.333	0.347	aux côtés de
aloof	0.189	0.423	0.302	distant
aloud	0.458	0.713	0.750	à haute voix
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	alphabet
alphabetical	0.537	0.296	0.535	alphabétique
alpine	0.594	0.337	0.474	alpin
alreadyyyyy	0.592	0.717	0.351	déjàiiiiii
altar	0.724	0.387	0.635	autel
altar boy	0.434	0.206	0.350	garçon de chœur
alter	0.333	0.694	0.654	modifier
alteration	0.167	0.798	0.609	altération
altercation	0.170	0.806	0.500	altercation
altered	0.255	0.765	0.500	altéré
alternate	0.625	0.363	0.589	alterner
alternating	0.480	0.494	0.542	en alternance
alternative	0.628	0.373	0.631	alternative
altimeter	0.615	0.510	0.580	altimètre
altitude	0.708	0.482	0.736	altitude
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	tout à fait
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	ancien élève
alveolar	0.469	0.481	0.367	alvéolaire
alzheimers	0.194	0.518	0.319	les alzheimers
amalgam	0.438	0.333	0.510	amalgame
amalgamation	0.406	0.470	0.531	fusion
amaretto	0.543	0.551	0.375	Amaretto
amass	0.552	0.465	0.465	amasser
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	étonner
amazed	0.796	0.779	0.533	étonné
amazedness	0.827	0.872	0.510	étonnement
amazement	0.750	0.800	0.639	stupéfaction
amazing	0.906	0.837	0.849	étonnante
amazingly	0.918	0.765	0.920	étonnamment
ambassador	0.651	0.529	0.917	ambassadeur
amber	0.635	0.308	0.369	ambre
ambience	0.735	0.356	0.426	ambiance
ambient	0.625	0.360	0.582	ambiant
ambiguity	0.164	0.460	0.370	ambiguïté
ambiguous	0.265	0.462	0.358	ambiguë
ambit	0.479	0.380	0.386	portée
ambition	0.510	0.804	0.661	ambition
ambitious	0.484	0.821	0.717	ambitieux
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambroisie
ambulance	0.500	0.750	0.609	ambulance
ambush	0.281	0.830	0.500	embuscade
ameliorate	0.770	0.548	0.747	améliorer
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	docile
amend	0.688	0.406	0.658	modifier
amendment	0.531	0.459	0.606	amendement
amends	0.640	0.366	0.517	amende
amenity	0.750	0.327	0.574	aménité
amethyst	0.622	0.406	0.517	améthyste
amiable	0.847	0.290	0.483	aimable
amicable	0.875	0.330	0.507	amical
amid	0.510	0.340	0.256	parmi
amidst	0.480	0.330	0.316	au milieu de
amino	0.551	0.402	0.433	aminé
ammo	0.323	0.765	0.621	munitions
ammonia	0.292	0.587	0.409	ammoniac
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	munition
amnesia	0.296	0.330	0.308	amnésie
amnesty	0.551	0.451	0.814	amnistie
amorous	0.844	0.670	0.636	amoureux
amorphous	0.327	0.402	0.349	amorphe
amortization	0.592	0.491	0.522	amortissement
amount	0.562	0.422	0.649	montant
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	ampli
ampersand	0.480	0.448	0.483	esperluette
amphetamines	0.133	0.667	0.526	amphétamines
amphibian	0.427	0.357	0.474	amphibie
amphibious	0.479	0.346	0.445	amphibie
amphitheater	0.653	0.480	0.545	amphithéâtre
ample	0.744	0.349	0.719	ample
amplification	0.690	0.677	0.810	amplification
amplify	0.677	0.735	0.827	amplifier
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	amplement
amputate	0.092	0.660	0.509	amputer
amputation	0.100	0.755	0.483	amputation
amuck	0.385	0.602	0.321	amok
amulet	0.781	0.260	0.630	amulette
amuse	0.812	0.684	0.664	amuser
amused	0.942	0.847	0.596	amusé
amusement	0.929	0.837	0.803	amusement
amusing	0.960	0.829	0.632	amusant
ana	0.541	0.300	0.314	Ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthésie
anaesthetic	0.449	0.268	0.509	anesthésique
anagram	0.552	0.327	0.449	anagramme
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgésique
analogous	0.531	0.270	0.500	analogue
analogue	0.570	0.320	0.446	analogue
analogy	0.510	0.367	0.509	analogie
analysis	0.729	0.448	0.705	une analyse
analyst	0.604	0.415	0.755	analyste
analytic	0.665	0.521	0.634	analytique
analytical	0.625	0.324	0.800	analytique
analyze	0.667	0.462	0.710	analyser
analyzer	0.625	0.556	0.854	analyseur
anaphylactic	0.378	0.588	0.500	anaphylactique
anarchism	0.125	0.804	0.623	anarchisme
anarchist	0.204	0.700	0.759	anarchiste
anarchy	0.146	0.755	0.620	anarchie
anastomosis	0.375	0.470	0.490	anastomose
anathema	0.286	0.490	0.519	anathème
anatomic	0.562	0.442	0.546	anatomique
anatomy	0.562	0.390	0.571	anatomie
ancestor	0.592	0.388	0.594	ancêtre
ancestral	0.640	0.481	0.750	ancestral
ancestry	0.708	0.519	0.717	ascendance
anchor	0.520	0.284	0.564	ancre
anchorage	0.500	0.325	0.639	ancrage
ancient	0.420	0.217	0.439	ancien
ancillary	0.449	0.442	0.278	auxiliaire
androgen	0.255	0.523	0.527	androgène
android	0.663	0.436	0.500	Android
anecdote	0.583	0.529	0.500	anecdote
anemia	0.188	0.327	0.310	anémie
anemic	0.167	0.279	0.155	anémique
anemone	0.552	0.538	0.327	anémone
anesthesia	0.365	0.216	0.394	anesthésie
anesthesiologist	0.419	0.224	0.526	anesthésiste
anesthetic	0.350	0.264	0.482	anesthésique
aneurysm	0.115	0.690	0.536	anévrisme
anew	0.771	0.358	0.385	un nouveau
angel	0.906	0.158	0.704	ange
angelic	0.927	0.298	0.668	angélique
