English Word	Valence	Arousal	Dominance	Slovak Word
acknowledge	0.786	0.370	0.661	potvrdiť
acknowledged	0.714	0.443	0.765	uznávaný
acknowledgement	0.819	0.539	0.830	uznanie
acknowledgment	0.796	0.528	0.777	uznanie
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	akné
acorn	0.448	0.198	0.192	žaluď
acoustic	0.542	0.462	0.536	akustické
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	zoznámiť
acquaintance	0.656	0.290	0.670	známosť
acquainted	0.906	0.358	0.632	zoznámil
acquiescence	0.542	0.480	0.554	súhlas
acquire	0.833	0.468	0.700	získať
acquiring	0.735	0.510	0.817	získavanie
acquisition	0.698	0.509	0.736	akvizície
acquisitions	0.773	0.660	0.790	akvizícií
acquit	0.583	0.571	0.611	oslobodiť spod obžaloby
acquittal	0.760	0.497	0.700	oslobodzujúci rozsudok
acre	0.583	0.387	0.423	aker
acreage	0.741	0.450	0.528	výmery
acres	0.510	0.363	0.500	akrov
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akryl
act	0.656	0.704	0.735	konať
acting	0.698	0.643	0.500	herectvo
action	0.760	0.898	0.802	akcie
action figure	0.615	0.774	0.611	akčná figúrka
actionable	0.673	0.702	0.613	hodnotný
activate	0.764	0.650	0.806	Aktivovať
activation	0.781	0.800	0.754	aktivácia
active	0.847	0.730	0.731	aktívny
activist	0.531	0.653	0.877	aktivista
activity	0.701	0.660	0.807	činnosť
actor	0.653	0.561	0.629	herec
actress	0.633	0.556	0.596	herečka
actual	0.729	0.400	0.716	skutočné
actuality	0.750	0.464	0.600	aktuálnosť
actuary	0.510	0.404	0.491	poistný matematik
acuity	0.469	0.378	0.741	ostrosť
acumen	0.564	0.660	0.679	bystrosť
acupuncture	0.531	0.324	0.549	akupunktúra
acute	0.427	0.652	0.534	akútna
acutely	0.417	0.543	0.491	akútne
ad	0.521	0.705	0.558	inzerát
adage	0.517	0.415	0.566	príslovie
adamant	0.344	0.529	0.575	neoblomný
adapt	0.740	0.355	0.551	prispôsobiť sa
adaptable	0.735	0.423	0.641	prispôsobivý
adaptation	0.663	0.365	0.609	prispôsobenie
add	0.728	0.490	0.554	pridať
added	0.562	0.405	0.509	pridané
addendum	0.392	0.370	0.418	dodatok
adder	0.388	0.461	0.588	sčítačka
addict	0.075	0.696	0.327	narkoman
addicted	0.156	0.712	0.483	závislý
addiction	0.180	0.806	0.420	závislosť
addictive	0.302	0.683	0.472	návykový
addition	0.562	0.373	0.471	prídavok
additional	0.673	0.462	0.526	dodatočné
additive	0.561	0.633	0.691	aditívum
address	0.650	0.327	0.567	adresu
addressee	0.622	0.382	0.538	adresát
addresses	0.510	0.354	0.450	adresy
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	primeranosť
adequate	0.854	0.264	0.705	primerané
adhere	0.633	0.339	0.554	dodržiavať
adherence	0.760	0.307	0.630	dodržiavanie
adherent	0.561	0.385	0.555	prívrženec
adhering	0.612	0.561	0.537	priľnavý
adhesion	0.521	0.445	0.586	priľnavosť
adhesive	0.604	0.350	0.413	lepidlo
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	tukový
adjacency	0.365	0.417	0.375	susedstvo
adjacent	0.645	0.276	0.536	priľahlé
adjective	0.570	0.316	0.569	prídavné meno
adjoining	0.520	0.400	0.393	priľahlé
adjourn	0.385	0.456	0.475	odročiť
adjournment	0.438	0.510	0.370	odročenie
adjudicate	0.559	0.520	0.683	súdiť
adjudication	0.551	0.462	0.691	rozsudok
adjunct	0.459	0.440	0.426	prídavok
adjust	0.647	0.327	0.638	upraviť
adjuster	0.510	0.540	0.760	nastavovač
adjustment	0.590	0.520	0.661	úprava
adjuvant	0.510	0.500	0.456	adjuvans
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	spravovať
administration	0.625	0.404	0.786	administratívy
administrative	0.542	0.415	0.579	administratívne
administrator	0.538	0.480	0.902	správca
admirable	0.929	0.600	0.870	obdivuhodný
admiral	0.844	0.490	0.847	admirál
admiralty	0.594	0.547	0.733	admirality
admiration	0.969	0.583	0.726	obdiv
admire	0.867	0.692	0.704	obdivovať
admired	0.917	0.560	0.815	obdivoval
admirer	0.796	0.720	0.650	obdivovateľ
admiring	0.867	0.578	0.629	obdivovať
admissibility	0.802	0.580	0.602	prípustnosť
admissible	0.780	0.528	0.642	prípustné
admission	0.802	0.415	0.732	vstupné
admit	0.538	0.423	0.667	pripustiť
admittance	0.690	0.451	0.598	prijímanie
admitted	0.720	0.490	0.767	priznal
admitting	0.620	0.500	0.546	priznávajúc
admixture	0.450	0.375	0.438	prímesou
admonition	0.357	0.606	0.455	napomenutie
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	dospievania
adolescent	0.781	0.680	0.509	dospievajúci
adopt	0.694	0.612	0.701	adoptovať
adoption	0.625	0.566	0.589	adopcia
adoptive	0.531	0.469	0.520	adoptívny
adorable	0.969	0.519	0.457	rozkošný
adoration	0.885	0.699	0.708	adorácia
adore	0.854	0.438	0.657	zbožňovať
adoring	0.885	0.620	0.717	zbožňujúci
adorn	0.910	0.424	0.482	zdobiť
adornment	0.918	0.373	0.377	ozdoba
adrenalin	0.865	0.920	0.786	adrenalín
adrenaline	0.765	0.965	0.825	adrenalín
adrift	0.398	0.486	0.230	unášaný
adult	0.815	0.491	0.787	dospelý
adulterated	0.188	0.865	0.370	falšované
adulterer	0.229	0.814	0.407	cudzoložník
adultery	0.120	0.922	0.510	cudzoložstvo
adulthood	0.541	0.454	0.652	dospelosti
advance	0.673	0.472	0.858	vopred
advanced	0.844	0.623	0.797	pokročilé
advancement	0.776	0.650	0.839	pokrok
advancing	0.929	0.608	0.812	napredovanie
advantage	0.917	0.548	0.859	výhodu
advantageous	0.837	0.640	0.789	výhodný
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	dobrodružstvo
adventurer	0.781	0.839	0.868	dobrodruh
adventures	0.812	0.764	0.749	dobrodružstvá
adventurous	0.969	0.898	0.722	dobrodružný
adversary	0.349	0.777	0.457	protivník
adverse	0.323	0.610	0.385	nepriaznivé
adversity	0.276	0.760	0.538	protivenstvo
advertise	0.500	0.529	0.580	inzerovať
advertisement	0.600	0.566	0.539	reklama
advertising	0.622	0.608	0.632	reklama
adverts	0.551	0.500	0.595	reklamy
advice	0.698	0.408	0.688	radu
advisable	0.867	0.480	0.510	vhodné
advise	0.760	0.393	0.705	poradiť
advised	0.823	0.330	0.509	poradil
advisement	0.698	0.235	0.655	poradenstvo
adviser	0.745	0.362	0.705	poradca
advisor	0.646	0.350	0.689	poradca
advisory	0.656	0.429	0.633	poradenské
advocacy	0.500	0.646	0.731	advokácie
advocate	0.551	0.530	0.818	obhajca
aegis	0.490	0.439	0.462	záštita
aeration	0.550	0.500	0.433	prevzdušňovanie
aerial	0.615	0.461	0.463	anténa
aerobics	0.708	0.771	0.627	aerobik
aerodrome	0.541	0.740	0.678	letisko
aerodynamic	0.561	0.724	0.728	aerodynamický
aerodynamics	0.590	0.663	0.722	aerodynamika
aeronautics	0.551	0.633	0.688	aeronautika
aeroplane	0.714	0.642	0.644	lietadlo
aerospace	0.643	0.520	0.779	kozmonautika
aesthetic	0.708	0.442	0.526	estetický
aesthetics	0.847	0.327	0.549	estetiky
aetiology	0.480	0.398	0.615	etiológie
afar	0.396	0.373	0.358	ďaleko
affable	0.704	0.380	0.452	prívetivý
affair	0.520	0.459	0.657	aféra
affect	0.458	0.569	0.578	ovplyvniť
affecting	0.350	0.574	0.394	ovplyvňujúce
affection	0.898	0.559	0.696	náklonnosť
affectionate	0.949	0.422	0.550	láskavý
affections	0.760	0.547	0.655	náklonnosti
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	čestné vyhlásenie
affiliated	0.673	0.519	0.535	pridružený
affiliation	0.615	0.594	0.500	príslušnosť
affinity	0.800	0.500	0.537	afinita
affirm	0.745	0.509	0.731	potvrdiť
affirmation	0.750	0.500	0.689	afirmácia
affirmative	0.854	0.589	0.816	kladný
affirmatively	0.908	0.500	0.811	kladne
affix	0.438	0.335	0.411	pripevniť
afflict	0.302	0.555	0.293	trápiť
afflicted	0.271	0.500	0.167	postihnutý
affliction	0.294	0.635	0.392	trápenie
affluence	0.663	0.618	0.722	bohatstva
affluent	0.756	0.388	0.477	zámožný
afford	0.571	0.580	0.575	dovoliť
affordable	0.840	0.398	0.493	cenovo dostupné
affront	0.327	0.740	0.547	uraziť
affronted	0.385	0.750	0.527	urazený
afield	0.594	0.370	0.373	v zahraničí
afire	0.367	0.904	0.675	požiar
afloat	0.602	0.427	0.444	nad vodou
afore	0.500	0.337	0.382	predtým
aforementioned	0.490	0.316	0.408	zhora
aforesaid	0.531	0.358	0.478	spomenuté
afraid	0.010	0.775	0.245	strach
afresh	0.643	0.521	0.480	nanovo
aft	0.480	0.417	0.518	zadný
afterlife	0.571	0.567	0.568	posmrtný život
aftermath	0.312	0.449	0.444	následky
afternoon	0.533	0.388	0.339	popoludnie
aftershave	0.406	0.384	0.415	voda po holení
aftertaste	0.354	0.362	0.455	dochuť
afterthought	0.396	0.392	0.349	dodatočný nápad
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agapé
agate	0.540	0.377	0.483	agát
age	0.561	0.226	0.498	Vek
aged	0.135	0.365	0.236	vo veku
agency	0.460	0.296	0.583	agentúra
agenda	0.531	0.296	0.553	agendy
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomerácie
aggravate	0.224	0.770	0.464	zhoršiť
aggravated	0.079	0.760	0.430	zhoršené
aggravates	0.108	0.778	0.357	zhoršuje
aggravating	0.257	0.794	0.640	priťažujúce
aggravation	0.071	0.784	0.613	zhoršenie
aggregate	0.730	0.378	0.556	agregát
aggregation	0.583	0.517	0.694	agregácia
aggresive	0.059	0.971	0.639	agresívny
aggression	0.094	0.929	0.533	agresivita
aggressive	0.125	0.949	0.648	agresívny
aggressively	0.250	0.926	0.688	agresívne
aggressiveness	0.077	0.913	0.648	agresivita
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	zdesený
aghhh	0.281	0.635	0.243	ahhh
agile	0.800	0.657	0.775	agilný
agility	0.720	0.702	0.815	obratnosť
aging	0.214	0.255	0.284	starnutie
agitate	0.300	0.796	0.593	agitovať
agitated	0.444	0.882	0.491	rozrušený
agitation	0.240	0.931	0.447	agitácia
aglow	0.780	0.510	0.797	žiariť
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	pred
agonizing	0.083	0.800	0.340	mučivý
agony	0.083	0.775	0.393	agónia
agoraphobia	0.127	0.712	0.438	agorafóbia
agree	0.906	0.260	0.545	súhlasiť
agreeable	0.906	0.500	0.696	príjemné
agreed	0.797	0.449	0.574	súhlasil
agreeing	0.854	0.480	0.557	súhlasiť
agreement	0.760	0.440	0.736	dohoda
agressive	0.083	0.918	0.751	agresívny
agricultural	0.686	0.321	0.473	poľnohospodárske
agriculture	0.640	0.357	0.465	poľnohospodárstvo
aground	0.333	0.340	0.445	na plytčine
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	dopredu
ahhh	0.562	0.517	0.241	aha
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	Ahoj
aid	0.796	0.491	0.541	pomoc
aide	0.724	0.342	0.434	pobočník
aiding	0.643	0.533	0.569	napomáhanie
aids	0.561	0.480	0.500	pomôcok
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	chorľavejúcu
ailment	0.146	0.734	0.277	neduhom
aim	0.481	0.569	0.567	cieľ
aimless	0.150	0.267	0.183	bezcieľne
air	0.708	0.163	0.427	vzduchu
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	vo vzduchu
aircraft	0.646	0.644	0.691	lietadla
aircraft carrier	0.490	0.740	0.727	lietadlová loď
airfield	0.601	0.650	0.645	letisko
airhead	0.271	0.481	0.276	vzduchová hlavica
airlift	0.573	0.622	0.642	letecká preprava
airline	0.650	0.482	0.688	letecká spoločnosť
airliner	0.667	0.777	0.647	dopravné lietadlo
airlock	0.398	0.520	0.447	vzduchová komora
airman	0.587	0.716	0.721	letec
airplane	0.719	0.702	0.708	lietadlo
airport	0.729	0.684	0.682	LETISKO
airs	0.583	0.196	0.370	vysiela
airship	0.542	0.472	0.529	vzducholoď
airspace	0.562	0.510	0.640	vzdušný priestor
airspeed	0.583	0.780	0.544	rýchlosť vzduchu
airstrip	0.550	0.690	0.649	pristávacia dráha
airtight	0.479	0.381	0.570	vzduchotesné
airway	0.638	0.585	0.482	dýchacích ciest
aisle	0.438	0.222	0.283	ulička
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	pootvorené
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	podobný
alabaster	0.542	0.404	0.445	alabastrový
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	budík
alarmed	0.188	0.822	0.492	znepokojený
alarming	0.204	0.890	0.585	alarmujúce
alas	0.571	0.310	0.279	žiaľ
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albín
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchýmia
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholik
alcoholism	0.061	0.779	0.407	alkoholizmus
alcove	0.490	0.340	0.356	výklenok
alderman	0.550	0.459	0.691	konšela
ale	0.530	0.450	0.358	pivo
alert	0.479	0.820	0.648	upozorniť
alertness	0.375	0.875	0.750	bdelosť
alerts	0.337	0.804	0.673	upozornenia
alfalfa	0.546	0.250	0.311	lucerna
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraické
algorithm	0.448	0.394	0.559	algoritmu
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibistické
alien	0.410	0.615	0.491	Votrelec
alienate	0.247	0.500	0.523	odcudziť
alienated	0.410	0.423	0.559	odcudzený
alienation	0.378	0.530	0.462	odcudzenie
alight	0.667	0.657	0.605	vystúpiť
align	0.656	0.364	0.627	zarovnať
aligned	0.583	0.275	0.553	zarovnané
alignment	0.643	0.412	0.683	zarovnanie
alike	0.653	0.173	0.444	podobne
alimentation	0.781	0.551	0.602	stravovanie
alimony	0.612	0.477	0.464	výživné
aliquot	0.440	0.310	0.404	alikvótne
alive	0.816	0.637	0.731	nažive
alkali	0.490	0.350	0.408	alkálie
alkaloids	0.433	0.562	0.402	alkaloidy
allay	0.417	0.406	0.398	zmierniť
allegation	0.578	0.578	0.608	obvinenie
allege	0.418	0.482	0.587	tvrdenie
alleged	0.365	0.522	0.520	údajný
allegiance	0.917	0.398	0.750	vernosť
allegorical	0.517	0.558	0.598	alegorický
allegory	0.615	0.580	0.509	alegória
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergický
allergy	0.296	0.606	0.389	alergie
alleviate	0.869	0.270	0.528	zmierniť
alleviation	0.735	0.200	0.491	zmiernenie
alley	0.347	0.500	0.355	alej
alleyway	0.357	0.471	0.382	ulička
alliance	0.696	0.473	0.769	aliancie
allied	0.714	0.245	0.642	spriaznený
alligator	0.354	0.704	0.645	aligátor
allocate	0.673	0.462	0.672	prideliť
allocation	0.604	0.388	0.679	pridelenie
allot	0.622	0.481	0.616	prideliť
allotment	0.600	0.390	0.640	prídel
allow	0.698	0.429	0.538	povoliť
allowable	0.698	0.500	0.561	prípustné
allowance	0.673	0.382	0.591	príspevok
allowed	0.730	0.360	0.655	povolený
alloy	0.583	0.443	0.593	zliatina
allsmiles	0.786	0.528	0.430	všetky úsmevy
allure	0.804	0.585	0.686	lákadlom
alluring	0.837	0.745	0.843	lákavý
allusion	0.440	0.308	0.462	narážka
alluvial	0.323	0.490	0.491	aluviálne
ally	0.792	0.320	0.688	spojenca
almanac	0.688	0.190	0.412	almanach
almighty	0.938	0.874	0.958	všemohúci
almond	0.698	0.183	0.314	mandľový
aloft	0.771	0.373	0.700	hore
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sám
alongside	0.458	0.333	0.347	vedľa
aloof	0.189	0.423	0.302	rezervovaný
aloud	0.458	0.713	0.750	nahlas
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	abeceda
alphabetical	0.537	0.296	0.535	abecedne
alpine	0.594	0.337	0.474	alpský
alreadyyyyy	0.592	0.717	0.351	užyyyy
altar	0.724	0.387	0.635	oltár
altar boy	0.434	0.206	0.350	oltárnik
alter	0.333	0.694	0.654	zmeniť
alteration	0.167	0.798	0.609	zmena
altercation	0.170	0.806	0.500	hádka
altered	0.255	0.765	0.500	pozmenené
alternate	0.625	0.363	0.589	striedať
alternating	0.480	0.494	0.542	striedavý
alternative	0.628	0.373	0.631	alternatíva
altimeter	0.615	0.510	0.580	výškomer
altitude	0.708	0.482	0.736	nadmorská výška
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	celkom
aluminum	0.449	0.280	0.434	hliník
alumnus	0.633	0.368	0.422	absolvent
alveolar	0.469	0.481	0.367	alveolárnych
alzheimers	0.194	0.518	0.319	alzheimerov
amalgam	0.438	0.333	0.510	amalgám
amalgamation	0.406	0.470	0.531	amalgamácia
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	hromadiť
amateur	0.469	0.500	0.409	amatérsky
amaze	0.896	0.843	0.783	ohromiť
amazed	0.796	0.779	0.533	ohromený
amazedness	0.827	0.872	0.510	údiv
amazement	0.750	0.800	0.639	úžas
amazing	0.906	0.837	0.849	úžasný
amazingly	0.918	0.765	0.920	úžasne
ambassador	0.651	0.529	0.917	veľvyslanec
amber	0.635	0.308	0.369	jantárová
ambience	0.735	0.356	0.426	atmosféru
ambient	0.625	0.360	0.582	okolité
ambiguity	0.164	0.460	0.370	nejednoznačnosť
ambiguous	0.265	0.462	0.358	nejednoznačný
ambit	0.479	0.380	0.386	ambitu
ambition	0.510	0.804	0.661	ambície
ambitious	0.484	0.821	0.717	ambiciózny
ambivalent	0.510	0.404	0.482	ambivalentný
ambrosia	0.571	0.452	0.480	ambrózia
ambulance	0.500	0.750	0.609	ambulancia
ambush	0.281	0.830	0.500	prepadnutie
ameliorate	0.770	0.548	0.747	zlepšiť
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	prístupný
amend	0.688	0.406	0.658	upraviť
amendment	0.531	0.459	0.606	novela
amends	0.640	0.366	0.517	upravuje
amenity	0.750	0.327	0.574	vybavenie
amethyst	0.622	0.406	0.517	ametyst
amiable	0.847	0.290	0.483	prívetivý
amicable	0.875	0.330	0.507	priateľský
amid	0.510	0.340	0.256	uprostred
amidst	0.480	0.330	0.316	uprostred
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	munícia
ammonia	0.292	0.587	0.409	amoniak
ammonium	0.354	0.396	0.368	amónny
ammunition	0.338	0.635	0.667	strelivo
amnesia	0.296	0.330	0.308	amnézia
amnesty	0.551	0.451	0.814	amnestie
amorous	0.844	0.670	0.636	zamilovaný
amorphous	0.327	0.402	0.349	amorfný
amortization	0.592	0.491	0.522	amortizácia
amount	0.562	0.422	0.649	čiastka
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamíny
amphibian	0.427	0.357	0.474	obojživelník
amphibious	0.479	0.346	0.445	obojživelné
amphitheater	0.653	0.480	0.545	amfiteátra
ample	0.744	0.349	0.719	dostatok
amplification	0.690	0.677	0.810	zosilnenie
amplify	0.677	0.735	0.827	zosilniť
amplitude	0.694	0.439	0.692	amplitúda
amply	0.781	0.431	0.766	bohato
amputate	0.092	0.660	0.509	amputovať
amputation	0.100	0.755	0.483	amputácia
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	pobaviť
amused	0.942	0.847	0.596	pobavený
amusement	0.929	0.837	0.803	zábavu
amusing	0.960	0.829	0.632	zábavný
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestézia
anaesthetic	0.449	0.268	0.509	anestetikum
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgetikum
analogous	0.531	0.270	0.500	analogický
analogue	0.570	0.320	0.446	analógový
analogy	0.510	0.367	0.509	analógia
analysis	0.729	0.448	0.705	analýza
analyst	0.604	0.415	0.755	analytik
analytic	0.665	0.521	0.634	analytický
analytical	0.625	0.324	0.800	analytické
analyze	0.667	0.462	0.710	analyzovať
analyzer	0.625	0.556	0.854	analyzátor
