English Word	Valence	Arousal	Dominance	Kurdish-Kurmanji Word
acknowledged	0.714	0.443	0.765	pejirand
acknowledgement	0.819	0.539	0.830	nasyarî
acknowledgment	0.796	0.528	0.777	nasyarî
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	pizik
acorn	0.448	0.198	0.192	bellot
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	nasdayin
acquaintance	0.656	0.290	0.670	nasî
acquainted	0.906	0.358	0.632	nas kirin
acquiescence	0.542	0.480	0.554	razîbûn
acquire	0.833	0.468	0.700	kirrîn
acquiring	0.735	0.510	0.817	bidestxistin
acquisition	0.698	0.509	0.736	bidestxistinî
acquisitions	0.773	0.660	0.790	destketiyên
acquit	0.583	0.571	0.611	azadaxaftin
acquittal	0.760	0.497	0.700	azadakir
acre	0.583	0.387	0.423	hektar
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	acres
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	ewlekarî
acting	0.698	0.643	0.500	lîstikvanî
action	0.760	0.898	0.802	çalakî
action figure	0.615	0.774	0.611	hejmara çalakiyê
actionable	0.673	0.702	0.613	çalakkirin
activate	0.764	0.650	0.806	çalak bike
activation	0.781	0.800	0.754	activation
active	0.847	0.730	0.731	jîr
activist	0.531	0.653	0.877	dilxwaz
activity	0.701	0.660	0.807	çalakî
actor	0.653	0.561	0.629	şanoger
actress	0.633	0.556	0.596	şanoger
actual	0.729	0.400	0.716	rast
actuality	0.750	0.464	0.600	rastî
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	akpûnktûr
acute	0.427	0.652	0.534	acîl
acutely	0.417	0.543	0.491	acutely
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	adage
adamant	0.344	0.529	0.575	serhişk
adapt	0.740	0.355	0.551	lihevanîn
adaptable	0.735	0.423	0.641	lihevtê
adaptation	0.663	0.365	0.609	adaptasyon
add	0.728	0.490	0.554	lêzêdekirin
added	0.562	0.405	0.509	zêde kirin
addendum	0.392	0.370	0.418	pêvek
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	peywend
addicted	0.156	0.712	0.483	tirşkirî
addiction	0.180	0.806	0.420	peywendî
addictive	0.302	0.683	0.472	addictive
addition	0.562	0.373	0.471	pitir
additional	0.673	0.462	0.526	biserre
additive	0.561	0.633	0.691	tiştênbiserre
address	0.650	0.327	0.567	navnîşan
addressee	0.622	0.382	0.538	muxatab
addresses	0.510	0.354	0.450	navnîşanan
adept	0.594	0.539	0.789	jêhatî
adequacy	0.615	0.435	0.702	têra xwe
adequate	0.854	0.264	0.705	gordil
adhere	0.633	0.339	0.554	pêbend bin
adherence	0.760	0.307	0.630	aderence
adherent	0.561	0.385	0.555	adherent
adhering	0.612	0.561	0.537	adhering
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	pêvzeliqî
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	cîrantî
adjacent	0.645	0.276	0.536	berde
adjective	0.570	0.316	0.569	navder
adjoining	0.520	0.400	0.393	cîran
adjourn	0.385	0.456	0.475	tarloqkirin
adjournment	0.438	0.510	0.370	taloqkirin
adjudicate	0.559	0.520	0.683	dadkirin
adjudication	0.551	0.462	0.691	darizandin
adjunct	0.459	0.440	0.426	pêvek
adjust	0.647	0.327	0.638	lihevanîn
adjuster	0.510	0.540	0.760	eyarker
adjustment	0.590	0.520	0.661	lêanî
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	birêvebirin
administration	0.625	0.404	0.786	birêvebirî
administrative	0.542	0.415	0.579	îdarî
administrator	0.538	0.480	0.902	birêvebir
admirable	0.929	0.600	0.870	qeşeng
admiral	0.844	0.490	0.847	amîral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	dilpêmayî
admire	0.867	0.692	0.704	lêşaşman
admired	0.917	0.560	0.815	heyranî kirin
admirer	0.796	0.720	0.650	heyrankar
admiring	0.867	0.578	0.629	heyran
admissibility	0.802	0.580	0.602	pejirandin
admissible	0.780	0.528	0.642	dibe
admission	0.802	0.415	0.732	mûkir
admit	0.538	0.423	0.667	qebûlkirin
admittance	0.690	0.451	0.598	berdana
admitted	0.720	0.490	0.767	qebûl kirin
admitting	0.620	0.500	0.546	qebûl kirin
admixture	0.450	0.375	0.438	tevlîhev
admonition	0.357	0.606	0.455	şîret
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	xortî
adolescent	0.781	0.680	0.509	ciwanan
adopt	0.694	0.612	0.701	xwerezarokgirtin
adoption	0.625	0.566	0.589	zarokgirtinî
adoptive	0.531	0.469	0.520	pejirandin
adorable	0.969	0.519	0.457	şahî
adoration	0.885	0.699	0.708	perizandin
adore	0.854	0.438	0.657	limêjkirin
adoring	0.885	0.620	0.717	diperizin
adorn	0.910	0.424	0.482	xemilandin
adornment	0.918	0.373	0.377	xemilandin
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalîn
adrift	0.398	0.486	0.230	tolazgerî
adult	0.815	0.491	0.787	gihîştî
adulterated	0.188	0.865	0.370	sexte kirin
adulterer	0.229	0.814	0.407	zînakar
adultery	0.120	0.922	0.510	marşikandinî
adulthood	0.541	0.454	0.652	mezinbûn
advance	0.673	0.472	0.858	pêşveçûn
advanced	0.844	0.623	0.797	pêşveçû
advancement	0.776	0.650	0.839	barkirin
advancing	0.929	0.608	0.812	pêşde diçin
advantage	0.917	0.548	0.859	berjewendî
advantageous	0.837	0.640	0.789	bi berjewendî
advent	0.665	0.560	0.627	hatina
adventure	0.917	0.857	0.710	serpêhatî
adventurer	0.781	0.839	0.868	maceraperest
adventures	0.812	0.764	0.749	serpêhatiyên
adventurous	0.969	0.898	0.722	maceraperest
adversary	0.349	0.777	0.457	neyar
adverse	0.323	0.610	0.385	neyare
adversity	0.276	0.760	0.538	dijwarî
advertise	0.500	0.529	0.580	gilîkirin
advertisement	0.600	0.566	0.539	gilî
advertising	0.622	0.608	0.632	reqlam
adverts	0.551	0.500	0.595	reklaman dike
advice	0.698	0.408	0.688	şêwr
advisable	0.867	0.480	0.510	pêşnîyarbar
advise	0.760	0.393	0.705	şêwirîn
advised	0.823	0.330	0.509	şîret kirin
advisement	0.698	0.235	0.655	şîret
adviser	0.745	0.362	0.705	şêwirvan
advisor	0.646	0.350	0.689	şêwirmend
advisory	0.656	0.429	0.633	şêwirmendî
advocacy	0.500	0.646	0.731	parêzvanî
advocate	0.551	0.530	0.818	pêşnîyarkirin
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	aeration
aerial	0.615	0.461	0.463	bi firrê
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodînamîka
aerodynamics	0.590	0.663	0.722	aerodînamîka
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	balafir
aerospace	0.643	0.520	0.779	asmanî
aesthetic	0.708	0.442	0.526	estetîk
aesthetics	0.847	0.327	0.549	estetîk
aetiology	0.480	0.398	0.615	etiology
afar	0.396	0.373	0.358	dûr
affable	0.704	0.380	0.452	affable
affair	0.520	0.459	0.657	karûbar
affect	0.458	0.569	0.578	raydakirin
affecting	0.350	0.574	0.394	bandor dike
affection	0.898	0.559	0.696	hezkirin
affectionate	0.949	0.422	0.550	dilane
affections	0.760	0.547	0.655	hezkirinên
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	beyana bi sond
affiliated	0.673	0.519	0.535	girêdayî
affiliation	0.615	0.594	0.500	affiliation
affinity	0.800	0.500	0.537	affinity
affirm	0.745	0.509	0.731	bawerdayin
affirmation	0.750	0.500	0.689	erêkirin
affirmative	0.854	0.589	0.816	pêgûmananîn
affirmatively	0.908	0.500	0.811	bi erêkirin
affix	0.438	0.335	0.411	pêvgirêdan
afflict	0.302	0.555	0.293	dilêşandin
afflicted	0.271	0.500	0.167	êşandin
affliction	0.294	0.635	0.392	dilêş
affluence	0.663	0.618	0.722	dewlemendî
affluent	0.756	0.388	0.477	dewlemed
afford	0.571	0.580	0.575	ji xwere kanîn
affordable	0.840	0.398	0.493	bi arzanî
affront	0.327	0.740	0.547	affront
affronted	0.385	0.750	0.527	aciz kirin
afield	0.594	0.370	0.373	dûr
afire	0.367	0.904	0.675	agire
afloat	0.602	0.427	0.444	ajnêwar
afore	0.500	0.337	0.382	berê
aforementioned	0.490	0.316	0.408	navborî
aforesaid	0.531	0.358	0.478	jor gotin
afraid	0.010	0.775	0.245	tirsane
afresh	0.643	0.521	0.480	ji nû ve
aft	0.480	0.417	0.518	paş
afterlife	0.571	0.567	0.568	jiyana axiretê
aftermath	0.312	0.449	0.444	paşê
afternoon	0.533	0.388	0.339	piştînîvroj
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	piştî tama
afterthought	0.396	0.392	0.349	piştî ramanê
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	kalbûn
aged	0.135	0.365	0.236	pîr bûye
agency	0.460	0.296	0.583	ajans
agenda	0.531	0.296	0.553	naverok
agent	0.480	0.439	0.755	casus
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	xirabkirin
aggravated	0.079	0.760	0.430	xera kirin
aggravates	0.108	0.778	0.357	giran dike
aggravating	0.257	0.794	0.640	acizker
aggravation	0.071	0.784	0.613	xirabbûyî
aggregate	0.730	0.378	0.556	aggregate
aggregation	0.583	0.517	0.694	kombûn
aggresive	0.059	0.971	0.639	êrîşkar
aggression	0.094	0.929	0.533	êrişbazî
aggressive	0.125	0.949	0.648	êrşişbaz
aggressively	0.250	0.926	0.688	bi awayekî êrîşkar
aggressiveness	0.077	0.913	0.648	aggressiveness
aggressor	0.146	0.948	0.823	êrişkir
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	aghast
aghhh	0.281	0.635	0.243	axhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	agility
aging	0.214	0.255	0.284	pîrbûn
agitate	0.300	0.796	0.593	acizkirin
agitated	0.444	0.882	0.491	aciz kirin
agitation	0.240	0.931	0.447	ajîtasyon
aglow	0.780	0.510	0.797	şewq
agnostic	0.306	0.396	0.574	agnostîk
ago	0.317	0.280	0.404	pêşî
agonizing	0.083	0.800	0.340	êşkêş
agony	0.083	0.775	0.393	êş
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	qebûlkirin
agreeable	0.906	0.500	0.696	xweş
agreed	0.797	0.449	0.574	lihevhati
agreeing	0.854	0.480	0.557	lihevhatin
agreement	0.760	0.440	0.736	lihevhatin
agressive	0.083	0.918	0.751	êrîşkar
agricultural	0.686	0.321	0.473	cotarî
agriculture	0.640	0.357	0.465	cotyarî
aground	0.333	0.340	0.445	aground
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	pêşve
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	alîkarî
aide	0.724	0.342	0.434	alîkar
aiding	0.643	0.533	0.569	alîkarî kirin
aids	0.561	0.480	0.500	alîkarî dike
ail	0.375	0.434	0.385	nexweş
ailing	0.094	0.518	0.153	nexweş
ailment	0.146	0.734	0.277	êş
aim	0.481	0.569	0.567	armanc
aimless	0.150	0.267	0.183	bê armanc
air	0.708	0.163	0.427	hewa
airbag	0.510	0.402	0.433	airbag
airborne	0.542	0.519	0.385	hewayî
aircraft	0.646	0.644	0.691	firrok
aircraft carrier	0.490	0.740	0.727	keştiya balafiran
airfield	0.601	0.650	0.645	balafirgeh
airhead	0.271	0.481	0.276	airhead
airlift	0.573	0.622	0.642	airlift
airline	0.650	0.482	0.688	şîrketa balafiran
airliner	0.667	0.777	0.647	firokevan
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	airman
airplane	0.719	0.702	0.708	balafir
airport	0.729	0.684	0.682	balafirgeh
airs	0.583	0.196	0.370	hewa dike
airship	0.542	0.472	0.529	hewayî
airspace	0.562	0.510	0.640	qada hewayî
airspeed	0.583	0.780	0.544	leza hewayê
airstrip	0.550	0.690	0.649	balafirgeh
airtight	0.479	0.381	0.570	hewayî
airway	0.638	0.585	0.482	rêya hewayê
aisle	0.438	0.222	0.283	fitêsa
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	hawar
alarm clock	0.542	0.727	0.642	demjimara şîyarker
alarmed	0.188	0.822	0.492	hişyar kirin
alarming	0.204	0.890	0.585	acizane
alas	0.571	0.310	0.279	alas
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albûm
alchemy	0.541	0.583	0.693	alkîmya
alcohol	0.323	0.667	0.377	alkol
alcoholic	0.153	0.688	0.361	alkolgir
alcoholism	0.061	0.779	0.407	alkolgirî
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	hişyar
alertness	0.375	0.875	0.750	hişyarbûn
alerts	0.337	0.804	0.673	alerts
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	cebra
algebraic	0.531	0.412	0.441	cebrî
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	navê dizî
alibi	0.396	0.528	0.556	delîl
alien	0.410	0.615	0.491	alien
alienate	0.247	0.500	0.523	xerîbkirin
alienated	0.410	0.423	0.559	biyanî kirin
alienation	0.378	0.530	0.462	xerîbbûyî
alight	0.667	0.657	0.605	daketin
align	0.656	0.364	0.627	berpêvekirin
aligned	0.583	0.275	0.553	li hev kirin
alignment	0.643	0.412	0.683	alignment
alike	0.653	0.173	0.444	nêzhev
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	debar
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	jînde
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	allay
allegation	0.578	0.578	0.608	îddîa
allege	0.418	0.482	0.587	îdîakirin
alleged	0.365	0.522	0.520	îdia kirin
allegiance	0.917	0.398	0.750	dilsozî
allegorical	0.517	0.558	0.598	alegorîk
allegory	0.615	0.580	0.509	alegorî
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alerjîk
allergy	0.296	0.606	0.389	alerjî
alleviate	0.869	0.270	0.528	sivik kirin
alleviation	0.735	0.200	0.491	sivikkirin
alley	0.347	0.500	0.355	kûçe
alleyway	0.357	0.471	0.382	alleyway
alliance	0.696	0.473	0.769	hevkarî
allied	0.714	0.245	0.642	hevkar
alligator	0.354	0.704	0.645	alîgator
allocate	0.673	0.462	0.672	pardan
allocation	0.604	0.388	0.679	pardayî
allot	0.622	0.481	0.616	belakirin
allotment	0.600	0.390	0.640	belakirinî
allow	0.698	0.429	0.538	destûrdan
allowable	0.698	0.500	0.561	destûr
allowance	0.673	0.382	0.591	heq
allowed	0.730	0.360	0.655	destûr kirin
alloy	0.583	0.443	0.593	astarê madenî
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	dilkişîn
alluring	0.837	0.745	0.843	balkêş
allusion	0.440	0.308	0.462	allusion
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	hevkar
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	kane
almond	0.698	0.183	0.314	beîv
aloft	0.771	0.373	0.700	li jor
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	tenê
alongside	0.458	0.333	0.347	li kêleka
aloof	0.189	0.423	0.302	aloof
aloud	0.458	0.713	0.750	gor
alpha	0.708	0.340	0.755	alpha
alphabet	0.562	0.204	0.672	elfabe
alphabetical	0.537	0.296	0.535	elfabeyî
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	jixweyyyy
altar	0.724	0.387	0.635	mêrab
altar boy	0.434	0.206	0.350	kurê gorîgehê
alter	0.333	0.694	0.654	gûherrandin
alteration	0.167	0.798	0.609	gûherte
altercation	0.170	0.806	0.500	pevçûn
altered	0.255	0.765	0.500	guhertin
alternate	0.625	0.363	0.589	dorbidor
alternating	0.480	0.494	0.542	alternatîf
alternative	0.628	0.373	0.631	şûndor
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	bilindayî
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	giştî
aluminum	0.449	0.280	0.434	elemyûn
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	amalgamation
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	komkirin
amateur	0.469	0.500	0.409	nekarbend
amaze	0.896	0.843	0.783	şaşman
amazed	0.796	0.779	0.533	matmayî man
amazedness	0.827	0.872	0.510	matmayîbûn
amazement	0.750	0.800	0.639	şaşmayî
amazing	0.906	0.837	0.849	êcêb
amazingly	0.918	0.765	0.920	ecêb
ambassador	0.651	0.529	0.917	sefîr
amber	0.635	0.308	0.369	aqût
ambience	0.735	0.356	0.426	ambience
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	nezelalî
ambiguous	0.265	0.462	0.358	nezelal
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	xîret
ambitious	0.484	0.821	0.717	xîretwar
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ereba nexweşan
ambush	0.281	0.830	0.500	paşî
ameliorate	0.770	0.548	0.747	başkirin
amen	0.781	0.182	0.542	amîn
amenable	0.448	0.410	0.406	amenable
amend	0.688	0.406	0.658	serrastkirin
amendment	0.531	0.459	0.606	gûhertinî
amends	0.640	0.366	0.517	diguherîne
amenity	0.750	0.327	0.574	amenity
amethyst	0.622	0.406	0.517	ametîst
amiable	0.847	0.290	0.483	amiable
amicable	0.875	0.330	0.507	dostane
amid	0.510	0.340	0.256	di nav
amidst	0.480	0.330	0.316	di nava
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	amonyak
ammonium	0.354	0.396	0.368	amonyum
ammunition	0.338	0.635	0.667	cebhane
amnesia	0.296	0.330	0.308	hişwendatî
amnesty	0.551	0.451	0.814	borîn
amorous	0.844	0.670	0.636	amorous
amorphous	0.327	0.402	0.349	amorf
amortization	0.592	0.491	0.522	amortîzasyon
amount	0.562	0.422	0.649	biha
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamîn
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	amphitheater
ample	0.744	0.349	0.719	gellek
amplification	0.690	0.677	0.810	amplification
amplify	0.677	0.735	0.827	xûrtkirin
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	berfireh
amputate	0.092	0.660	0.509	jêkirin
amputation	0.100	0.755	0.483	jêkirinî
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	kêfkirin
amused	0.942	0.847	0.596	amused
amusement	0.929	0.837	0.803	kêf
amusing	0.960	0.829	0.632	pêkene
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anesthesia
anaesthetic	0.449	0.268	0.509	jarepûç
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	analogous
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogy
analysis	0.729	0.448	0.705	lêkolîne
analyst	0.604	0.415	0.755	analyst
analytic	0.665	0.521	0.634	analîtîk
analytical	0.625	0.324	0.800	analîtîk
analyze	0.667	0.462	0.710	lêkolîn
analyzer	0.625	0.556	0.854	analyzer
