English Word	Valence	Arousal	Dominance	Malayalam Word
abortion	0.082	0.770	0.283	ഗർഭച്ഛിദ്രം
abortive	0.090	0.776	0.280	ഗർഭച്ഛിദ്രം
abound	0.704	0.490	0.681	ധാരാളം
abovementioned	0.541	0.298	0.509	മുകളിൽ സൂചിപ്പിച്ചത്
abracadabra	0.673	0.632	0.434	അബ്രകാഡബ്ര
abrasion	0.406	0.592	0.441	ഉരച്ചിലുകൾ
abrasive	0.392	0.610	0.593	ഉരച്ചിലുകൾ
abreast	0.635	0.380	0.519	അടുത്ത്
abroad	0.677	0.596	0.561	വിദേശത്ത്
abrogate	0.327	0.510	0.594	റദ്ദാക്കുക
abrupt	0.271	0.819	0.545	പെട്ടെന്നുള്ള
abruptly	0.250	0.808	0.556	പെട്ടെന്ന്
abscess	0.154	0.451	0.349	കുരു
absence	0.153	0.235	0.266	അഭാവം
absent	0.177	0.221	0.116	ഇല്ല
absentee	0.235	0.330	0.279	ഹാജരാകാത്തത്
absenteeism	0.404	0.273	0.357	ഹാജരാകാതിരിക്കൽ
absinthe	0.481	0.510	0.462	അബ്സിന്തെ
absolute	0.526	0.510	0.827	കേവല
absolution	0.715	0.500	0.664	ദണ്ഡവിമോചനം
absolve	0.684	0.449	0.660	മോചിപ്പിക്കുക
absorb	0.469	0.558	0.670	ആഗിരണം ചെയ്യുക
absorbed	0.490	0.471	0.519	ആഗിരണം
absorbent	0.552	0.394	0.718	ആഗിരണം ചെയ്യാവുന്ന
absorbing	0.490	0.490	0.578	ആഗിരണം ചെയ്യുന്നു
absorption	0.609	0.422	0.446	ആഗിരണം
abstain	0.385	0.385	0.427	വിട്ടുനിൽക്കുക
abstention	0.271	0.264	0.509	വിട്ടുനിൽക്കൽ
abstinence	0.260	0.392	0.429	മദ്യവർജ്ജനം
abstract	0.438	0.292	0.444	അമൂർത്തമായ
abstraction	0.469	0.439	0.525	അമൂർത്തീകരണം
absurd	0.188	0.656	0.284	അസംബന്ധം
absurdity	0.115	0.528	0.227	അസംബന്ധം
abundance	0.812	0.690	0.852	സമൃദ്ധി
abundant	0.958	0.590	0.760	സമൃദ്ധമായ
abuse	0.071	0.873	0.469	ദുരുപയോഗം
abused	0.021	0.874	0.235	ദുരുപയോഗം ചെയ്തു
abusive	0.125	0.903	0.567	ദുരുപയോഗം ചെയ്യുന്ന
abutment	0.500	0.265	0.616	അബട്ട്മെന്റ്
aby	0.385	0.452	0.368	എബി
abysmal	0.250	0.710	0.598	അഗാധമായ
abyss	0.353	0.725	0.296	അഗാധം
academic	0.781	0.420	0.812	അക്കാദമിക്
academy	0.704	0.473	0.792	അക്കാദമി
accede	0.698	0.510	0.537	അംഗീകരിക്കുക
accelerant	0.643	0.844	0.802	ത്വരിതപ്പെടുത്തുന്ന
accelerate	0.615	0.902	0.759	ത്വരിതപ്പെടുത്തുക
accelerated	0.610	0.812	0.682	ത്വരിതപ്പെടുത്തി
acceleration	0.704	0.905	0.843	ത്വരണം
accelerator	0.593	0.830	0.812	ആക്സിലറേറ്റർ
accent	0.598	0.357	0.509	ഉച്ചാരണം
accentuate	0.673	0.556	0.667	ഊന്നിപ്പറയുക
accept	0.847	0.286	0.565	സ്വീകരിക്കുക
acceptable	0.812	0.286	0.583	സ്വീകാര്യമായ
acceptance	0.833	0.287	0.755	സ്വീകാര്യത
acceptances	0.847	0.413	0.648	സ്വീകാര്യതകൾ
access	0.714	0.472	0.567	പ്രവേശനം
accessible	0.796	0.410	0.645	പ്രാപ്യമായ
accession	0.612	0.383	0.636	പ്രവേശനം
accessory	0.562	0.292	0.445	ഉപസാധനം
accident	0.125	0.908	0.336	അപകടം
accidental	0.319	0.784	0.307	ആകസ്മികമായ
accidentally	0.333	0.741	0.333	ആകസ്മികമായി
acclaim	0.562	0.809	0.718	പ്രശംസ
accolade	0.688	0.591	0.775	പ്രശംസ
accommodate	0.844	0.375	0.566	താമസിപ്പിക്കുക
accommodation	0.817	0.415	0.587	താമസം
accompaniment	0.740	0.479	0.695	അകമ്പടി
accompany	0.833	0.406	0.585	കൂടെപ്പോവുക
accompanying	0.787	0.460	0.582	അനുഗമിക്കൽ
accomplice	0.408	0.580	0.510	കൂട്ടാളി
accomplish	0.929	0.673	0.816	നിറവേറ്റുക
accomplished	0.870	0.520	0.798	സാധിച്ചു
accomplishment	0.917	0.694	0.888	നേട്ടം
accord	0.898	0.264	0.382	കരാർ
accordance	0.659	0.349	0.600	അനുസൃതമായി
accordion	0.604	0.490	0.361	അക്രോഡിയൻ
account	0.531	0.347	0.472	അക്കൗണ്ട്
accountability	0.755	0.537	0.833	ഉത്തരവാദിത്തം
accountable	0.709	0.282	0.777	ഉത്തരവാദിത്തമുള്ള
accountant	0.625	0.450	0.639	അക്കൗണ്ടന്റ്
accounting	0.552	0.390	0.677	അക്കൌണ്ടിംഗ്
accounts	0.592	0.340	0.471	അക്കൗണ്ടുകൾ
accredited	0.669	0.479	0.768	അംഗീകൃത
accretion	0.448	0.519	0.672	അക്രിഷൻ
accrue	0.520	0.481	0.602	ശേഖരിക്കുന്നു
accueil	0.450	0.451	0.470	ശേഖരിക്കുക
accumulate	0.573	0.536	0.607	കുന്നുകൂടുക
accumulation	0.479	0.527	0.600	ശേഖരണം
accuracy	0.604	0.481	0.802	കൃത്യത
accurate	0.743	0.360	0.737	കൃത്യമായ
accursed	0.135	0.745	0.345	ശപിക്കപ്പെട്ടവൻ
accusation	0.073	0.718	0.564	ആരോപണം
accusative	0.198	0.755	0.482	കുറ്റപ്പെടുത്തുന്ന
accuse	0.133	0.752	0.500	ബോധിപ്പിക്കുന്ന
accused	0.130	0.670	0.420	കുറ്റപ്പെടുത്തി
accuser	0.122	0.779	0.615	കുറ്റാരോപിതൻ
accusing	0.156	0.745	0.324	കുറ്റപ്പെടുത്തുന്നു
accustomed	0.542	0.365	0.441	ശീലിച്ചു
ace	0.643	0.481	0.546	ഏസ്
acetic	0.333	0.420	0.519	അസറ്റിക്
acetylene	0.306	0.469	0.509	അസറ്റിലീൻ
ache	0.146	0.760	0.312	വേദന
achieve	0.816	0.545	0.843	നേടിയെടുക്കാൻ
achieved	0.896	0.519	0.775	നേടിയത്
achievement	0.896	0.808	0.759	നേട്ടം
aching	0.053	0.880	0.348	വേദനിക്കുന്നു
achy	0.167	0.840	0.373	അച്ചി
acid	0.265	0.642	0.566	ആസിഡ്
acidity	0.156	0.663	0.360	അസിഡിറ്റി
acknowledge	0.786	0.370	0.661	അംഗീകരിക്കുക
acknowledged	0.714	0.443	0.765	അംഗീകരിച്ചു
acknowledgement	0.819	0.539	0.830	അംഗീകാരം
acknowledgment	0.796	0.528	0.777	അംഗീകാരം
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	മുഖക്കുരു
acorn	0.448	0.198	0.192	അക്രോൺ
acoustic	0.542	0.462	0.536	അക്കോസ്റ്റിക്
acoustics	0.611	0.330	0.509	ശബ്ദശാസ്ത്രം
acquaint	0.646	0.491	0.639	പരിചയപ്പെടുക
acquaintance	0.656	0.290	0.670	പരിചയം
acquainted	0.906	0.358	0.632	പരിചയപ്പെട്ടു
acquiescence	0.542	0.480	0.554	സമ്മതം
acquire	0.833	0.468	0.700	ഏറ്റെടുക്കുക
acquiring	0.735	0.510	0.817	ഏറ്റെടുക്കുന്നു
acquisition	0.698	0.509	0.736	കൈവശപ്പെടുത്തൽ
acquisitions	0.773	0.660	0.790	ഏറ്റെടുക്കലുകൾ
acquit	0.583	0.571	0.611	കുറ്റവിമുക്തനാക്കുക
acquittal	0.760	0.497	0.700	കുറ്റവിമുക്തനാകുന്നു
acre	0.583	0.387	0.423	ഏക്കർ
acreage	0.741	0.450	0.528	ഏക്കർ
acres	0.510	0.363	0.500	ഏക്കറുകൾ
acrobat	0.708	0.828	0.602	അക്രോബാറ്റ്
acrylic	0.582	0.279	0.420	അക്രിലിക്
act	0.656	0.704	0.735	പ്രവർത്തിക്കുക
acting	0.698	0.643	0.500	അഭിനയം
action	0.760	0.898	0.802	നടപടി
action figure	0.615	0.774	0.611	ആക്ഷൻ വ്യക്തിത്വമായി
actionable	0.673	0.702	0.613	പ്രവർത്തനക്ഷമമായ
activate	0.764	0.650	0.806	സജീവമാക്കുക
activation	0.781	0.800	0.754	സജീവമാക്കൽ
active	0.847	0.730	0.731	സജീവമാണ്
activist	0.531	0.653	0.877	പ്രവർത്തകൻ
activity	0.701	0.660	0.807	പ്രവർത്തനം
actor	0.653	0.561	0.629	നടൻ
actress	0.633	0.556	0.596	നടി
actual	0.729	0.400	0.716	യഥാർത്ഥമായ
actuality	0.750	0.464	0.600	യാഥാർത്ഥ്യം
actuary	0.510	0.404	0.491	ആക്ച്വറി
acuity	0.469	0.378	0.741	തീവ്രത
acumen	0.564	0.660	0.679	കുശാഗ്രബുദ്ധി
acupuncture	0.531	0.324	0.549	അക്യുപങ്ചർ
acute	0.427	0.652	0.534	നിശിതം
acutely	0.417	0.543	0.491	നിശിതമായി
ad	0.521	0.705	0.558	പരസ്യം
adage	0.517	0.415	0.566	പഴഞ്ചൊല്ല്
adamant	0.344	0.529	0.575	അചഞ്ചലമായ
adapt	0.740	0.355	0.551	പൊരുത്തപ്പെടുത്തുക
adaptable	0.735	0.423	0.641	പൊരുത്തപ്പെടാൻ കഴിയുന്ന
adaptation	0.663	0.365	0.609	പൊരുത്തപ്പെടുത്തൽ
add	0.728	0.490	0.554	ചേർക്കുക
added	0.562	0.405	0.509	കൂട്ടിച്ചേർത്തു
addendum	0.392	0.370	0.418	അനുബന്ധം
adder	0.388	0.461	0.588	ചേർക്കുന്നയാൾ
addict	0.075	0.696	0.327	ആസക്തി
addicted	0.156	0.712	0.483	അടിമയായി
addiction	0.180	0.806	0.420	ആസക്തി
addictive	0.302	0.683	0.472	ആസക്തി
addition	0.562	0.373	0.471	കൂട്ടിച്ചേർക്കൽ
additional	0.673	0.462	0.526	അധിക
additive	0.561	0.633	0.691	സങ്കലനം
address	0.650	0.327	0.567	വിലാസം
addressee	0.622	0.382	0.538	വിലാസക്കാരൻ
addresses	0.510	0.354	0.450	വിലാസങ്ങൾ
adept	0.594	0.539	0.789	പ്രഗത്ഭൻ
adequacy	0.615	0.435	0.702	പര്യാപ്തത
adequate	0.854	0.264	0.705	മതിയായ
adhere	0.633	0.339	0.554	മുറുകെ പിടിക്കുക
adherence	0.760	0.307	0.630	പാലിക്കൽ
adherent	0.561	0.385	0.555	അനുയായി
adhering	0.612	0.561	0.537	ഒട്ടിപ്പിടിക്കുന്നു
adhesion	0.521	0.445	0.586	അഡീഷൻ
adhesive	0.604	0.350	0.413	ഒട്ടിപ്പിടിക്കുന്ന
adieu	0.250	0.471	0.342	വിട
adipose	0.333	0.350	0.391	കൊഴുപ്പ്
adjacency	0.365	0.417	0.375	തൊട്ടടുത്ത്
adjacent	0.645	0.276	0.536	തൊട്ടടുത്തുള്ള
adjective	0.570	0.316	0.569	വിശേഷണം
adjoining	0.520	0.400	0.393	തൊട്ടടുത്തുള്ള
adjourn	0.385	0.456	0.475	മാറ്റിവെക്കുക
adjournment	0.438	0.510	0.370	മാറ്റിവയ്ക്കൽ
adjudicate	0.559	0.520	0.683	വിധിക്കുക
adjudication	0.551	0.462	0.691	ന്യായവിധി
adjunct	0.459	0.440	0.426	അനുബന്ധം
adjust	0.647	0.327	0.638	ക്രമീകരിക്കുക
adjuster	0.510	0.540	0.760	ക്രമീകരിക്കുന്നയാൾ
adjustment	0.590	0.520	0.661	ക്രമീകരിക്കൽ
adjuvant	0.510	0.500	0.456	സഹായകമായ
admin	0.688	0.420	0.854	അഡ്മിൻ
administer	0.635	0.425	0.860	ഭരണം നടത്തുക
administration	0.625	0.404	0.786	ഭരണകൂടം
administrative	0.542	0.415	0.579	ഭരണപരമായ
administrator	0.538	0.480	0.902	കാര്യനിർവാഹകൻ
admirable	0.929	0.600	0.870	പ്രശംസനീയം
admiral	0.844	0.490	0.847	അഡ്മിറൽ
admiralty	0.594	0.547	0.733	അഡ്മിറൽറ്റി
admiration	0.969	0.583	0.726	പ്രശംസ
admire	0.867	0.692	0.704	അഭിനന്ദിക്കുന്നു
admired	0.917	0.560	0.815	അഭിനന്ദിച്ചു
admirer	0.796	0.720	0.650	ആരാധകൻ
admiring	0.867	0.578	0.629	അഭിനന്ദിക്കുന്നു
admissibility	0.802	0.580	0.602	സ്വീകാര്യത
admissible	0.780	0.528	0.642	സ്വീകാര്യമായ
admission	0.802	0.415	0.732	പ്രവേശനം
admit	0.538	0.423	0.667	സമ്മതിക്കുക
admittance	0.690	0.451	0.598	പ്രവേശനം
admitted	0.720	0.490	0.767	പ്രവേശിപ്പിച്ചു
admitting	0.620	0.500	0.546	സമ്മതിക്കുന്നു
admixture	0.450	0.375	0.438	മിശ്രിതം
admonition	0.357	0.606	0.455	ഉപദേശം
ado	0.520	0.423	0.385	അഡോ
adobe	0.500	0.319	0.328	അഡോബ്
adolescence	0.487	0.694	0.444	കൗമാരം
adolescent	0.781	0.680	0.509	കൗമാരക്കാരൻ
adopt	0.694	0.612	0.701	സ്വീകരിക്കുക
adoption	0.625	0.566	0.589	ദത്തെടുക്കൽ
adoptive	0.531	0.469	0.520	ദത്തെടുക്കുന്ന
adorable	0.969	0.519	0.457	ആരാധ്യ
adoration	0.885	0.699	0.708	ആരാധന
adore	0.854	0.438	0.657	ആരാധിക്കുക
adoring	0.885	0.620	0.717	ആരാധിക്കുന്നു
adorn	0.910	0.424	0.482	അലങ്കരിക്കുന്നു
adornment	0.918	0.373	0.377	അലങ്കാരം
adrenalin	0.865	0.920	0.786	അഡ്രിനാലിൻ
adrenaline	0.765	0.965	0.825	അഡ്രിനാലിൻ
adrift	0.398	0.486	0.230	ഒഴുകിപ്പോകുന്നു
adult	0.815	0.491	0.787	മുതിർന്നവർ
adulterated	0.188	0.865	0.370	മായം കലർന്നത്
adulterer	0.229	0.814	0.407	വ്യഭിചാരി
adultery	0.120	0.922	0.510	വ്യഭിചാരം
adulthood	0.541	0.454	0.652	പ്രായപൂർത്തിയായവർ
advance	0.673	0.472	0.858	മുന്നേറുക
advanced	0.844	0.623	0.797	മുന്നേറി
advancement	0.776	0.650	0.839	പുരോഗതി
advancing	0.929	0.608	0.812	മുന്നേറുന്നു
advantage	0.917	0.548	0.859	നേട്ടം
advantageous	0.837	0.640	0.789	പ്രയോജനപ്രദമായ
advent	0.665	0.560	0.627	വരവ്
adventure	0.917	0.857	0.710	സാഹസികത
adventurer	0.781	0.839	0.868	സാഹസികൻ
adventures	0.812	0.764	0.749	സാഹസങ്ങൾ
adventurous	0.969	0.898	0.722	സാഹസിക
adversary	0.349	0.777	0.457	എതിരാളി
adverse	0.323	0.610	0.385	പ്രതികൂലമായ
adversity	0.276	0.760	0.538	പ്രതികൂലാവസ്ഥ
advertise	0.500	0.529	0.580	പരസ്യം ചെയ്യുക
advertisement	0.600	0.566	0.539	പരസ്യം
advertising	0.622	0.608	0.632	പരസ്യം ചെയ്യൽ
adverts	0.551	0.500	0.595	പരസ്യങ്ങൾ
advice	0.698	0.408	0.688	ഉപദേശം
advisable	0.867	0.480	0.510	ഉചിതം
advise	0.760	0.393	0.705	ഉപദേശിക്കുക
advised	0.823	0.330	0.509	ഉപദേശിച്ചു
advisement	0.698	0.235	0.655	ഉപദേശം
adviser	0.745	0.362	0.705	ഉപദേശകൻ
advisor	0.646	0.350	0.689	ഉപദേശകൻ
advisory	0.656	0.429	0.633	ഉപദേശം
advocacy	0.500	0.646	0.731	വാദിക്കൽ
advocate	0.551	0.530	0.818	അഭിഭാഷകൻ
aegis	0.490	0.439	0.462	ഏജിസ്
aeration	0.550	0.500	0.433	വായുസഞ്ചാരം
aerial	0.615	0.461	0.463	ഏരിയൽ
aerobics	0.708	0.771	0.627	എയ്റോബിക്സ്
aerodrome	0.541	0.740	0.678	എയറോഡ്രോം
aerodynamic	0.561	0.724	0.728	എയറോഡൈനാമിക്
aerodynamics	0.590	0.663	0.722	എയറോഡൈനാമിക്സ്
aeronautics	0.551	0.633	0.688	എയറോനോട്ടിക്സ്
aeroplane	0.714	0.642	0.644	വിമാനം
aerospace	0.643	0.520	0.779	ബഹിരാകാശം
aesthetic	0.708	0.442	0.526	സൗന്ദര്യാത്മകം
aesthetics	0.847	0.327	0.549	സൗന്ദര്യശാസ്ത്രം
aetiology	0.480	0.398	0.615	എറ്റിയോളജി
afar	0.396	0.373	0.358	ദൂരെ
affable	0.704	0.380	0.452	മാന്യമായ
affair	0.520	0.459	0.657	ബന്ധം
affect	0.458	0.569	0.578	സ്വാധീനിക്കുന്നു
affecting	0.350	0.574	0.394	ബാധിക്കുന്നു
affection	0.898	0.559	0.696	വാത്സല്യം
affectionate	0.949	0.422	0.550	വാത്സല്യമുള്ള
affections	0.760	0.547	0.655	സ്നേഹബന്ധങ്ങൾ
affiche	0.479	0.265	0.402	അഫിഷ്
affidavit	0.469	0.584	0.526	സത്യവാങ്മൂലം
affiliated	0.673	0.519	0.535	അഫിലിയേറ്റഡ്
affiliation	0.615	0.594	0.500	ബന്ധം
affinity	0.800	0.500	0.537	അടുപ്പം
affirm	0.745	0.509	0.731	ഉറപ്പുപറയുക
affirmation	0.750	0.500	0.689	സ്ഥിരീകരണം
affirmative	0.854	0.589	0.816	സ്ഥിരീകരിക്കുന്ന
affirmatively	0.908	0.500	0.811	ദൃഢമായി
affix	0.438	0.335	0.411	ഘടിപ്പിക്കുക
afflict	0.302	0.555	0.293	പീഡിപ്പിക്കുക
afflicted	0.271	0.500	0.167	പീഡിതൻ
affliction	0.294	0.635	0.392	കഷ്ടത
affluence	0.663	0.618	0.722	ഐശ്വര്യം
affluent	0.756	0.388	0.477	സമ്പന്നമായ
afford	0.571	0.580	0.575	താങ്ങാൻ
affordable	0.840	0.398	0.493	താങ്ങാവുന്ന വില
affront	0.327	0.740	0.547	അപമാനിക്കുക
affronted	0.385	0.750	0.527	അപമാനിച്ചു
afield	0.594	0.370	0.373	വയലിൽ
afire	0.367	0.904	0.675	തീ
afloat	0.602	0.427	0.444	പൊങ്ങിക്കിടക്കുന്നു
afore	0.500	0.337	0.382	മുമ്പ്
aforementioned	0.490	0.316	0.408	മേൽപ്പറഞ്ഞ
aforesaid	0.531	0.358	0.478	മുൻപറഞ്ഞ
afraid	0.010	0.775	0.245	ഭയപ്പെട്ടു
afresh	0.643	0.521	0.480	പുതുതായി
aft	0.480	0.417	0.518	പിന്നിൽ
afterlife	0.571	0.567	0.568	മരണാനന്തര ജീവിതം
aftermath	0.312	0.449	0.444	അനന്തരഫലം
afternoon	0.533	0.388	0.339	ഉച്ചകഴിഞ്ഞ്
aftershave	0.406	0.384	0.415	ഷേവ് ചെയ്ത ശേഷം
aftertaste	0.354	0.362	0.455	ശേഷം രുചി
afterthought	0.396	0.392	0.349	അനന്തര ചിന്ത
aga	0.542	0.327	0.398	ആഗ
agape	0.612	0.529	0.464	അഗാപെ
agate	0.540	0.377	0.483	അഗേറ്റ്
age	0.561	0.226	0.498	വയസ്സ്
aged	0.135	0.365	0.236	വയസ്സായ
agency	0.460	0.296	0.583	ഏജൻസി
agenda	0.531	0.296	0.553	അജണ്ട
agent	0.480	0.439	0.755	ഏജന്റ്
agglomeration	0.450	0.765	0.509	സമാഹരണം
aggravate	0.224	0.770	0.464	വഷളാക്കുക
aggravated	0.079	0.760	0.430	വഷളാക്കി
aggravates	0.108	0.778	0.357	വഷളാക്കുന്നു
aggravating	0.257	0.794	0.640	വഷളാക്കുന്നു
aggravation	0.071	0.784	0.613	തീവ്രത
aggregate	0.730	0.378	0.556	ആകെത്തുകയായുള്ള
aggregation	0.583	0.517	0.694	സമാഹരണം
aggresive	0.059	0.971	0.639	ആക്രമണാത്മക
aggression	0.094	0.929	0.533	ആക്രമണം
aggressive	0.125	0.949	0.648	ആക്രമണാത്മക
aggressively	0.250	0.926	0.688	ആക്രമണാത്മകമായി
aggressiveness	0.077	0.913	0.648	ആക്രമണാത്മകത
aggressor	0.146	0.948	0.823	അക്രമി
agh	0.260	0.500	0.400	ആഹ്
aghast	0.133	0.865	0.464	പരിഭ്രമം
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	ചടുലമായ
agility	0.720	0.702	0.815	ചടുലത
aging	0.214	0.255	0.284	വൃദ്ധരായ
agitate	0.300	0.796	0.593	ഇളക്കുക
agitated	0.444	0.882	0.491	ഇളകി
agitation	0.240	0.931	0.447	പ്രക്ഷോഭം
aglow	0.780	0.510	0.797	ജ്വലിക്കുന്നു
agnostic	0.306	0.396	0.574	അജ്ഞേയവാദി
ago	0.317	0.280	0.404	മുമ്പ്
agonizing	0.083	0.800	0.340	വേദനിപ്പിക്കുന്ന
agony	0.083	0.775	0.393	യാതന
agoraphobia	0.127	0.712	0.438	അഗോറാഫോബിയ
agree	0.906	0.260	0.545	സമ്മതിക്കുന്നു
agreeable	0.906	0.500	0.696	സമ്മതം
agreed	0.797	0.449	0.574	സമ്മതിച്ചു
agreeing	0.854	0.480	0.557	സമ്മതിക്കുന്നു
agreement	0.760	0.440	0.736	കരാർ
agressive	0.083	0.918	0.751	ആക്രമണാത്മക
agricultural	0.686	0.321	0.473	കാർഷിക
agriculture	0.640	0.357	0.465	കൃഷി
aground	0.333	0.340	0.445	കരയിൽ
agua	0.598	0.180	0.436	അഗ്വ
ahead	0.708	0.520	0.673	മുന്നോട്ട്
ahhh	0.562	0.517	0.241	ആഹ്ഹ്ഹ്
ahhhhhhhh	0.552	0.649	0.288	ആഹ്ഹ്ഹ്ഹ്ഹ്ഹ്ഹ്
ahoy	0.500	0.497	0.380	അയ്യോ
aid	0.796	0.491	0.541	സഹായം
aide	0.724	0.342	0.434	സഹായി
aiding	0.643	0.533	0.569	സഹായിക്കുന്നു
aids	0.561	0.480	0.500	സഹായങ്ങൾ
ail	0.375	0.434	0.385	അസുഖം
ailing	0.094	0.518	0.153	രോഗിയായ
ailment	0.146	0.734	0.277	അസുഖം
aim	0.481	0.569	0.567	ലക്ഷ്യം
aimless	0.150	0.267	0.183	ലക്ഷ്യമില്ലാത്ത
air	0.708	0.163	0.427	വായു
airbag	0.510	0.402	0.433	എയർ ബാഗ്
airborne	0.542	0.519	0.385	വായുവിലൂടെയുള്ള
aircraft	0.646	0.644	0.691	വിമാനം
aircraft carrier	0.490	0.740	0.727	വിമാനവാഹിനിക്കപ്പല്
airfield	0.601	0.650	0.645	എയർഫീൽഡ്
airhead	0.271	0.481	0.276	എയർഹെഡ്
airlift	0.573	0.622	0.642	എയർലിഫ്റ്റ്
airline	0.650	0.482	0.688	എയർലൈൻ
airliner	0.667	0.777	0.647	വിമാനം
airlock	0.398	0.520	0.447	എയർലോക്ക്
airman	0.587	0.716	0.721	എയർമാൻ
airplane	0.719	0.702	0.708	വിമാനം
airport	0.729	0.684	0.682	വിമാനത്താവളം
airs	0.583	0.196	0.370	സംപ്രേഷണം ചെയ്യുന്നു
airship	0.542	0.472	0.529	ആകാശക്കപ്പൽ
airspace	0.562	0.510	0.640	വ്യോമാതിർത്തി
airspeed	0.583	0.780	0.544	വായുവേഗത
airstrip	0.550	0.690	0.649	എയർസ്ട്രിപ്പ്
airtight	0.479	0.381	0.570	വായു കടക്കാത്ത
airway	0.638	0.585	0.482	എയർവേ
aisle	0.438	0.222	0.283	ഇടനാഴി
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	അജർ
aka	0.459	0.358	0.351	അല്ലെങ്കിൽ
akin	0.639	0.343	0.523	സമാനമായ
alabaster	0.542	0.404	0.445	അലബസ്റ്റർ
alarm	0.241	0.882	0.698	അലാറം
alarm clock	0.542	0.727	0.642	അലാറം ക്ലോക്ക്
alarmed	0.188	0.822	0.492	പരിഭ്രാന്തരായി
alarming	0.204	0.890	0.585	ഭയപ്പെടുത്തുന്ന
alas	0.571	0.310	0.279	അയ്യോ
alb	0.521	0.380	0.427	ആൽബം
albatross	0.500	0.445	0.527	ആൽബട്രോസ്
albino	0.500	0.240	0.358	ആൽബിനോ
album	0.635	0.349	0.453	ആൽബം
alchemy	0.541	0.583	0.693	രസതന്ത്രം
alcohol	0.323	0.667	0.377	മദ്യം
alcoholic	0.153	0.688	0.361	മദ്യപാനി
alcoholism	0.061	0.779	0.407	മദ്യപാനം
alcove	0.490	0.340	0.356	ആൽക്കോട്ട്
alderman	0.550	0.459	0.691	ആൾഡർമാൻ
ale	0.530	0.450	0.358	ആലെ
alert	0.479	0.820	0.648	ജാഗ്രത
alertness	0.375	0.875	0.750	ജാഗ്രത
alerts	0.337	0.804	0.673	അലേർട്ടുകൾ
alfalfa	0.546	0.250	0.311	പയറുവർഗ്ഗങ്ങൾ
algebra	0.440	0.340	0.565	ബീജഗണിതം
algebraic	0.531	0.412	0.441	ബീജഗണിതം
algorithm	0.448	0.394	0.559	അൽഗോരിതം
alias	0.541	0.353	0.333	അപരനാമം
alibi	0.396	0.528	0.556	അലിബി
alien	0.410	0.615	0.491	അന്യൻ
alienate	0.247	0.500	0.523	അന്യമാക്കുക
alienated	0.410	0.423	0.559	അന്യവൽക്കരിക്കപ്പെട്ടു
