English Word	Valence	Arousal	Dominance	Slovenian Word
acknowledgement	0.819	0.539	0.830	priznanje
acknowledgment	0.796	0.528	0.777	priznanje
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	akne
acorn	0.448	0.198	0.192	želod
acoustic	0.542	0.462	0.536	akustični
acoustics	0.611	0.330	0.509	akustika
acquaint	0.646	0.491	0.639	seznaniti
acquaintance	0.656	0.290	0.670	poznanstvo
acquainted	0.906	0.358	0.632	seznanjen
acquiescence	0.542	0.480	0.554	privolitev
acquire	0.833	0.468	0.700	pridobiti
acquiring	0.735	0.510	0.817	pridobivanje
acquisition	0.698	0.509	0.736	pridobitev
acquisitions	0.773	0.660	0.790	pridobitve
acquit	0.583	0.571	0.611	oprostiti
acquittal	0.760	0.497	0.700	oprostilna sodba
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	površine
acres	0.510	0.363	0.500	hektarjev
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akril
act	0.656	0.704	0.735	dejanje
acting	0.698	0.643	0.500	igrati
action	0.760	0.898	0.802	ukrepanje
action figure	0.615	0.774	0.611	Akcijska figura
actionable	0.673	0.702	0.613	ukrepljiv
activate	0.764	0.650	0.806	aktivirati
activation	0.781	0.800	0.754	aktiviranje
active	0.847	0.730	0.731	aktivna
activist	0.531	0.653	0.877	aktivistka
activity	0.701	0.660	0.807	dejavnost
actor	0.653	0.561	0.629	igralec
actress	0.633	0.556	0.596	igralka
actual	0.729	0.400	0.716	dejansko
actuality	0.750	0.464	0.600	aktualnost
actuary	0.510	0.404	0.491	aktuar
acuity	0.469	0.378	0.741	ostrina
acumen	0.564	0.660	0.679	bistroumnost
acupuncture	0.531	0.324	0.549	akupunktura
acute	0.427	0.652	0.534	akutna
acutely	0.417	0.543	0.491	akutno
ad	0.521	0.705	0.558	oglas
adage	0.517	0.415	0.566	pregovor
adamant	0.344	0.529	0.575	neomajen
adapt	0.740	0.355	0.551	prilagoditi
adaptable	0.735	0.423	0.641	prilagodljiv
adaptation	0.663	0.365	0.609	prilagajanje
add	0.728	0.490	0.554	dodati
added	0.562	0.405	0.509	dodano
addendum	0.392	0.370	0.418	dodatek
adder	0.388	0.461	0.588	seštevalnik
addict	0.075	0.696	0.327	odvisnik
addicted	0.156	0.712	0.483	odvisen
addiction	0.180	0.806	0.420	zasvojenost
addictive	0.302	0.683	0.472	povzroča odvisnost
addition	0.562	0.373	0.471	dodatek
additional	0.673	0.462	0.526	dodatno
additive	0.561	0.633	0.691	aditiv
address	0.650	0.327	0.567	naslov
addressee	0.622	0.382	0.538	naslovnik
addresses	0.510	0.354	0.450	naslovi
adept	0.594	0.539	0.789	adept
adequacy	0.615	0.435	0.702	ustreznost
adequate	0.854	0.264	0.705	ustrezno
adhere	0.633	0.339	0.554	držati se
adherence	0.760	0.307	0.630	spoštovanje
adherent	0.561	0.385	0.555	privrženec
adhering	0.612	0.561	0.537	spoštovanje
adhesion	0.521	0.445	0.586	adhezija
adhesive	0.604	0.350	0.413	lepilo
adieu	0.250	0.471	0.342	adijo
adipose	0.333	0.350	0.391	maščobni
adjacency	0.365	0.417	0.375	sosedstvo
adjacent	0.645	0.276	0.536	sosednji
adjective	0.570	0.316	0.569	pridevnik
adjoining	0.520	0.400	0.393	sosednji
adjourn	0.385	0.456	0.475	odložiti
adjournment	0.438	0.510	0.370	odložitev
adjudicate	0.559	0.520	0.683	razsojati
adjudication	0.551	0.462	0.691	razsojanje
adjunct	0.459	0.440	0.426	dodatek
adjust	0.647	0.327	0.638	prilagoditi
adjuster	0.510	0.540	0.760	regulator
adjustment	0.590	0.520	0.661	prilagajanje
adjuvant	0.510	0.500	0.456	adjuvans
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	upravljati
administration	0.625	0.404	0.786	administracija
administrative	0.542	0.415	0.579	upravni
administrator	0.538	0.480	0.902	skrbnik
admirable	0.929	0.600	0.870	občudovanja vredno
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiraliteta
admiration	0.969	0.583	0.726	občudovanje
admire	0.867	0.692	0.704	občudovati
admired	0.917	0.560	0.815	občudovali
admirer	0.796	0.720	0.650	občudovalec
admiring	0.867	0.578	0.629	občudovanje
admissibility	0.802	0.580	0.602	sprejemljivost
admissible	0.780	0.528	0.642	dopustno
admission	0.802	0.415	0.732	sprejem
admit	0.538	0.423	0.667	priznati
admittance	0.690	0.451	0.598	sprejem
admitted	0.720	0.490	0.767	priznal
admitting	0.620	0.500	0.546	priznati
admixture	0.450	0.375	0.438	primes
admonition	0.357	0.606	0.455	opomin
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescenca
adolescent	0.781	0.680	0.509	mladostnik
adopt	0.694	0.612	0.701	posvojiti
adoption	0.625	0.566	0.589	posvojitev
adoptive	0.531	0.469	0.520	posvojitelj
adorable	0.969	0.519	0.457	čudovito
adoration	0.885	0.699	0.708	oboževanje
adore	0.854	0.438	0.657	obožujem
adoring	0.885	0.620	0.717	oboževanje
adorn	0.910	0.424	0.482	okrasiti
adornment	0.918	0.373	0.377	okrasje
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	naplavljen
adult	0.815	0.491	0.787	odrasli
adulterated	0.188	0.865	0.370	ponarejen
adulterer	0.229	0.814	0.407	prešuštnik
adultery	0.120	0.922	0.510	prešuštvo
adulthood	0.541	0.454	0.652	polnoletnost
advance	0.673	0.472	0.858	vnaprej
advanced	0.844	0.623	0.797	napredno
advancement	0.776	0.650	0.839	napredovanje
advancing	0.929	0.608	0.812	napreduje
advantage	0.917	0.548	0.859	prednost
advantageous	0.837	0.640	0.789	ugodno
advent	0.665	0.560	0.627	advent
adventure	0.917	0.857	0.710	pustolovščina
adventurer	0.781	0.839	0.868	pustolovec
adventures	0.812	0.764	0.749	pustolovščine
adventurous	0.969	0.898	0.722	pustolovski
adversary	0.349	0.777	0.457	nasprotnik
adverse	0.323	0.610	0.385	neugoden
adversity	0.276	0.760	0.538	stiska
advertise	0.500	0.529	0.580	oglaševati
advertisement	0.600	0.566	0.539	oglas
advertising	0.622	0.608	0.632	oglaševanje
adverts	0.551	0.500	0.595	oglasi
advice	0.698	0.408	0.688	nasvet
advisable	0.867	0.480	0.510	priporočljivo
advise	0.760	0.393	0.705	svetovati
advised	0.823	0.330	0.509	svetoval
advisement	0.698	0.235	0.655	nasvet
adviser	0.745	0.362	0.705	svetovalec
advisor	0.646	0.350	0.689	svetovalec
advisory	0.656	0.429	0.633	svetovalni
advocacy	0.500	0.646	0.731	zagovorništvo
advocate	0.551	0.530	0.818	zagovornik
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	prezračevanje
aerial	0.615	0.461	0.463	zračni
aerobics	0.708	0.771	0.627	aerobika
aerodrome	0.541	0.740	0.678	letališče
aerodynamic	0.561	0.724	0.728	aerodinamičen
aerodynamics	0.590	0.663	0.722	aerodinamika
aeronautics	0.551	0.633	0.688	aeronavtika
aeroplane	0.714	0.642	0.644	letalo
aerospace	0.643	0.520	0.779	letalstvo
aesthetic	0.708	0.442	0.526	estetski
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologija
afar	0.396	0.373	0.358	daleč
affable	0.704	0.380	0.452	prijazen
affair	0.520	0.459	0.657	afera
affect	0.458	0.569	0.578	vplivati
affecting	0.350	0.574	0.394	vpliva
affection	0.898	0.559	0.696	naklonjenost
affectionate	0.949	0.422	0.550	ljubeč
affections	0.760	0.547	0.655	naklonjenosti
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	zaprisežena izjava
affiliated	0.673	0.519	0.535	pridružen
affiliation	0.615	0.594	0.500	pripadnost
affinity	0.800	0.500	0.537	afiniteta
affirm	0.745	0.509	0.731	potrditi
affirmation	0.750	0.500	0.689	potrditev
affirmative	0.854	0.589	0.816	pritrdilno
affirmatively	0.908	0.500	0.811	pritrdilno
affix	0.438	0.335	0.411	pritrditi
afflict	0.302	0.555	0.293	prizadeti
afflicted	0.271	0.500	0.167	prizadeti
affliction	0.294	0.635	0.392	nadloga
affluence	0.663	0.618	0.722	bogastvo
affluent	0.756	0.388	0.477	premožen
afford	0.571	0.580	0.575	privoščiti
affordable	0.840	0.398	0.493	cenovno dostopne
affront	0.327	0.740	0.547	žalitev
affronted	0.385	0.750	0.527	užaljen
afield	0.594	0.370	0.373	afield
afire	0.367	0.904	0.675	Požar
afloat	0.602	0.427	0.444	na površju
afore	0.500	0.337	0.382	prej
aforementioned	0.490	0.316	0.408	zgoraj omenjeno
aforesaid	0.531	0.358	0.478	prej omenjeno
afraid	0.010	0.775	0.245	strah
afresh	0.643	0.521	0.480	na novo
aft	0.480	0.417	0.518	zadaj
afterlife	0.571	0.567	0.568	posmrtno življenje
aftermath	0.312	0.449	0.444	posledice
afternoon	0.533	0.388	0.339	popoldne
aftershave	0.406	0.384	0.415	vodica po britju
aftertaste	0.354	0.362	0.455	pookus
afterthought	0.396	0.392	0.349	naknadna misel
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	ahat
age	0.561	0.226	0.498	starost
aged	0.135	0.365	0.236	ostarel
agency	0.460	0.296	0.583	agencija
agenda	0.531	0.296	0.553	dnevni red
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomeracija
aggravate	0.224	0.770	0.464	Oteževati
aggravated	0.079	0.760	0.430	poslabšalo
aggravates	0.108	0.778	0.357	poslabša
aggravating	0.257	0.794	0.640	oteževalno
aggravation	0.071	0.784	0.613	poslabšanje
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	združevanje
aggresive	0.059	0.971	0.639	agresiven
aggression	0.094	0.929	0.533	agresija
aggressive	0.125	0.949	0.648	agresiven
aggressively	0.250	0.926	0.688	agresivno
aggressiveness	0.077	0.913	0.648	agresivnost
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	zgrožen
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	agilen
agility	0.720	0.702	0.815	okretnost
aging	0.214	0.255	0.284	staranje
agitate	0.300	0.796	0.593	vznemirjati
agitated	0.444	0.882	0.491	vznemirjen
agitation	0.240	0.931	0.447	vznemirjenost
aglow	0.780	0.510	0.797	žareti
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	nazaj
agonizing	0.083	0.800	0.340	mučen
agony	0.083	0.775	0.393	agonija
agoraphobia	0.127	0.712	0.438	agorafobija
agree	0.906	0.260	0.545	strinjam se
agreeable	0.906	0.500	0.696	prijetno
agreed	0.797	0.449	0.574	dogovorjeno
agreeing	0.854	0.480	0.557	strinjanje
agreement	0.760	0.440	0.736	sporazum
agressive	0.083	0.918	0.751	agresiven
agricultural	0.686	0.321	0.473	kmetijski
agriculture	0.640	0.357	0.465	kmetijstvo
aground	0.333	0.340	0.445	nasedla
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	naprej
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ajoj
aid	0.796	0.491	0.541	pomoč
aide	0.724	0.342	0.434	pomočnik
aiding	0.643	0.533	0.569	pomoč
aids	0.561	0.480	0.500	pripomočki
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	bolan
ailment	0.146	0.734	0.277	bolezen
aim	0.481	0.569	0.567	meriti
aimless	0.150	0.267	0.183	brez cilja
air	0.708	0.163	0.427	zrak
airbag	0.510	0.402	0.433	zračna blazina
airborne	0.542	0.519	0.385	v zraku
aircraft	0.646	0.644	0.691	letalo
aircraft carrier	0.490	0.740	0.727	letalonosilka
airfield	0.601	0.650	0.645	letališče
airhead	0.271	0.481	0.276	zračna glava
airlift	0.573	0.622	0.642	zračni dvig
airline	0.650	0.482	0.688	letalska družba
airliner	0.667	0.777	0.647	potniško letalo
airlock	0.398	0.520	0.447	zračna zapora
airman	0.587	0.716	0.721	letalec
airplane	0.719	0.702	0.708	letalo
airport	0.729	0.684	0.682	letališče
airs	0.583	0.196	0.370	zrači
airship	0.542	0.472	0.529	cepelin
airspace	0.562	0.510	0.640	zračni prostor
airspeed	0.583	0.780	0.544	zračna hitrost
airstrip	0.550	0.690	0.649	vzletišče
airtight	0.479	0.381	0.570	nepredušna
airway	0.638	0.585	0.482	dihalne poti
aisle	0.438	0.222	0.283	prehod
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	priprt
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	soroden
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	budilka
alarmed	0.188	0.822	0.492	vznemirjen
alarming	0.204	0.890	0.585	alarmantno
alas	0.571	0.310	0.279	žal
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkimija
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholik
alcoholism	0.061	0.779	0.407	alkoholizem
alcove	0.490	0.340	0.356	nišo
alderman	0.550	0.459	0.691	odbornik
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	opozorilo
alertness	0.375	0.875	0.750	budnost
alerts	0.337	0.804	0.673	opozorila
alfalfa	0.546	0.250	0.311	lucerna
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebrski
algorithm	0.448	0.394	0.559	algoritem
alias	0.541	0.353	0.333	vzdevek
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	tujec
alienate	0.247	0.500	0.523	odtujiti
alienated	0.410	0.423	0.559	odtujen
alienation	0.378	0.530	0.462	odtujenost
alight	0.667	0.657	0.605	zasvetiti
align	0.656	0.364	0.627	poravnati
aligned	0.583	0.275	0.553	poravnano
alignment	0.643	0.412	0.683	poravnava
alike	0.653	0.173	0.444	enako
alimentation	0.781	0.551	0.602	prehranjevanje
alimony	0.612	0.477	0.464	preživnina
aliquot	0.440	0.310	0.404	alikvot
alive	0.816	0.637	0.731	živ
alkali	0.490	0.350	0.408	alkalija
alkaloids	0.433	0.562	0.402	alkaloidi
allay	0.417	0.406	0.398	pomiriti
allegation	0.578	0.578	0.608	obtožba
allege	0.418	0.482	0.587	trditi
alleged	0.365	0.522	0.520	domnevno
allegiance	0.917	0.398	0.750	zvestoba
allegorical	0.517	0.558	0.598	alegoričen
allegory	0.615	0.580	0.509	alegorija
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergičen
allergy	0.296	0.606	0.389	alergija
alleviate	0.869	0.270	0.528	ublažiti
alleviation	0.735	0.200	0.491	ublažitev
alley	0.347	0.500	0.355	uličica
alleyway	0.357	0.471	0.382	uličica
alliance	0.696	0.473	0.769	zavezništvo
allied	0.714	0.245	0.642	zavezniški
alligator	0.354	0.704	0.645	aligator
allocate	0.673	0.462	0.672	dodeliti
allocation	0.604	0.388	0.679	dodelitev
allot	0.622	0.481	0.616	dodeliti
allotment	0.600	0.390	0.640	dodelitev
allow	0.698	0.429	0.538	dovoli
allowable	0.698	0.500	0.561	dopustno
allowance	0.673	0.382	0.591	dodatek
allowed	0.730	0.360	0.655	dovoljeno
alloy	0.583	0.443	0.593	zlitina
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	privlačnost
alluring	0.837	0.745	0.843	mikavna
allusion	0.440	0.308	0.462	aluzija
alluvial	0.323	0.490	0.491	aluvialni
ally	0.792	0.320	0.688	zaveznik
almanac	0.688	0.190	0.412	almanah
almighty	0.938	0.874	0.958	vsemogočen
almond	0.698	0.183	0.314	mandelj
aloft	0.771	0.373	0.700	navzgor
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sam
alongside	0.458	0.333	0.347	zraven
aloof	0.189	0.423	0.302	odmaknjen
aloud	0.458	0.713	0.750	glasno
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	abeceda
alphabetical	0.537	0.296	0.535	abecedno
alpine	0.594	0.337	0.474	alpsko
alreadyyyyy	0.592	0.717	0.351	žeyyyy
altar	0.724	0.387	0.635	oltar
altar boy	0.434	0.206	0.350	oltarnik
alter	0.333	0.694	0.654	spreminjati
alteration	0.167	0.798	0.609	sprememba
altercation	0.170	0.806	0.500	prepir
altered	0.255	0.765	0.500	spremenjen
alternate	0.625	0.363	0.589	nadomestni
alternating	0.480	0.494	0.542	izmenično
alternative	0.628	0.373	0.631	alternativa
altimeter	0.615	0.510	0.580	višinomer
altitude	0.708	0.482	0.736	nadmorska višina
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	skupaj
aluminum	0.449	0.280	0.434	aluminij
alumnus	0.633	0.368	0.422	alumnus
alveolar	0.469	0.481	0.367	alveolarni
alzheimers	0.194	0.518	0.319	Alzheimerjeva bolezen
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	združevanje
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	kopičiti
amateur	0.469	0.500	0.409	amaterski
amaze	0.896	0.843	0.783	presenetiti
amazed	0.796	0.779	0.533	presenečen
amazedness	0.827	0.872	0.510	začudenje
amazement	0.750	0.800	0.639	začudenje
amazing	0.906	0.837	0.849	neverjetno
amazingly	0.918	0.765	0.920	neverjetno
ambassador	0.651	0.529	0.917	veleposlanik
amber	0.635	0.308	0.369	jantar
ambience	0.735	0.356	0.426	ambient
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	dvoumnost
ambiguous	0.265	0.462	0.358	dvoumen
ambit	0.479	0.380	0.386	obseg
ambition	0.510	0.804	0.661	ambicija
ambitious	0.484	0.821	0.717	ambiciozen
ambivalent	0.510	0.404	0.482	ambivalenten
ambrosia	0.571	0.452	0.480	ambrozija
ambulance	0.500	0.750	0.609	reševalno vozilo
ambush	0.281	0.830	0.500	zaseda
ameliorate	0.770	0.548	0.747	izboljšati
amen	0.781	0.182	0.542	amen
amenable	0.448	0.410	0.406	sprejemljiv
amend	0.688	0.406	0.658	spremeniti
amendment	0.531	0.459	0.606	sprememba
amends	0.640	0.366	0.517	popravi
amenity	0.750	0.327	0.574	udobje
amethyst	0.622	0.406	0.517	ametist
amiable	0.847	0.290	0.483	prijazen
amicable	0.875	0.330	0.507	prijateljski
amid	0.510	0.340	0.256	sredi
amidst	0.480	0.330	0.316	sredi
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	strelivo
ammonia	0.292	0.587	0.409	amoniak
ammonium	0.354	0.396	0.368	amonij
ammunition	0.338	0.635	0.667	strelivo
amnesia	0.296	0.330	0.308	amnezija
amnesty	0.551	0.451	0.814	amnestija
amorous	0.844	0.670	0.636	ljubezenski
amorphous	0.327	0.402	0.349	amorfen
amortization	0.592	0.491	0.522	amortizacija
amount	0.562	0.422	0.649	znesek
amour	0.865	0.480	0.652	ljubezen
amp	0.439	0.393	0.375	ojačevalnik
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamini
amphibian	0.427	0.357	0.474	dvoživka
amphibious	0.479	0.346	0.445	dvoživka
amphitheater	0.653	0.480	0.545	amfiteater
ample	0.744	0.349	0.719	dovolj
amplification	0.690	0.677	0.810	ojačanje
amplify	0.677	0.735	0.827	povečati
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	izdatno
amputate	0.092	0.660	0.509	amputirati
amputation	0.100	0.755	0.483	amputacija
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	zabavati
amused	0.942	0.847	0.596	zabaval
amusement	0.929	0.837	0.803	zabava
amusing	0.960	0.829	0.632	zabavno
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	anestezija
anaesthetic	0.449	0.268	0.509	anestetik
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	analni
analgesic	0.417	0.321	0.441	analgetik
analogous	0.531	0.270	0.500	analogno
analogue	0.570	0.320	0.446	analogni
analogy	0.510	0.367	0.509	analogija
analysis	0.729	0.448	0.705	analizo
analyst	0.604	0.415	0.755	analitik
analytic	0.665	0.521	0.634	analitično
analytical	0.625	0.324	0.800	analitično
analyze	0.667	0.462	0.710	analizirati
analyzer	0.625	0.556	0.854	analizator
anaphylactic	0.378	0.588	0.500	anafilaktični
anarchism	0.125	0.804	0.623	anarhizem
anarchist	0.204	0.700	0.759	anarhist
anarchy	0.146	0.755	0.620	anarhija
anastomosis	0.375	0.470	0.490	anastomoza
anathema	0.286	0.490	0.519	anatema
