English Word	Valence	Arousal	Dominance	Finnish Word
acid	0.265	0.642	0.566	happoa
acidity	0.156	0.663	0.360	happamuus
acknowledge	0.786	0.370	0.661	tunnustaa
acknowledged	0.714	0.443	0.765	tunnustettu
acknowledgement	0.819	0.539	0.830	tunnustus
acknowledgment	0.796	0.528	0.777	tunnustus
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	akne
acorn	0.448	0.198	0.192	tammenterho
acoustic	0.542	0.462	0.536	akustinen
acoustics	0.611	0.330	0.509	akustiikka
acquaint	0.646	0.491	0.639	tutustua
acquaintance	0.656	0.290	0.670	tuttavuus
acquainted	0.906	0.358	0.632	tuttu
acquiescence	0.542	0.480	0.554	suostumus
acquire	0.833	0.468	0.700	hankkia
acquiring	0.735	0.510	0.817	hankkiminen
acquisition	0.698	0.509	0.736	hankinta
acquisitions	0.773	0.660	0.790	hankinnat
acquit	0.583	0.571	0.611	vapauttaa syytteet
acquittal	0.760	0.497	0.700	vapauttava tuomio
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	pinta-ala
acres	0.510	0.363	0.500	eekkeriä
acrobat	0.708	0.828	0.602	akrobaatti
acrylic	0.582	0.279	0.420	akryyli-
act	0.656	0.704	0.735	toimia
acting	0.698	0.643	0.500	näytteleminen
action	0.760	0.898	0.802	toiminta
action figure	0.615	0.774	0.611	toimintahahmo
actionable	0.673	0.702	0.613	toimintakelpoinen
activate	0.764	0.650	0.806	aktivoida
activation	0.781	0.800	0.754	aktivointi
active	0.847	0.730	0.731	aktiivinen
activist	0.531	0.653	0.877	aktivisti
activity	0.701	0.660	0.807	toiminta
actor	0.653	0.561	0.629	näyttelijä
actress	0.633	0.556	0.596	näyttelijä
actual	0.729	0.400	0.716	todellinen
actuality	0.750	0.464	0.600	todellisuus
actuary	0.510	0.404	0.491	aktuaari
acuity	0.469	0.378	0.741	terävyys
acumen	0.564	0.660	0.679	älykkyyttä
acupuncture	0.531	0.324	0.549	akupunktio
acute	0.427	0.652	0.534	akuutti
acutely	0.417	0.543	0.491	akuutisti
ad	0.521	0.705	0.558	ilmoitus
adage	0.517	0.415	0.566	Sanonta
adamant	0.344	0.529	0.575	järkkymätön
adapt	0.740	0.355	0.551	sopeutua
adaptable	0.735	0.423	0.641	mukautuva
adaptation	0.663	0.365	0.609	sopeutumista
add	0.728	0.490	0.554	lisätä
added	0.562	0.405	0.509	lisätty
addendum	0.392	0.370	0.418	lisäys
adder	0.388	0.461	0.588	lisäin
addict	0.075	0.696	0.327	addikti
addicted	0.156	0.712	0.483	riippuvainen
addiction	0.180	0.806	0.420	riippuvuus
addictive	0.302	0.683	0.472	riippuvuutta aiheuttava
addition	0.562	0.373	0.471	lisäys
additional	0.673	0.462	0.526	lisää
additive	0.561	0.633	0.691	lisäaine
address	0.650	0.327	0.567	osoite
addressee	0.622	0.382	0.538	vastaanottaja
addresses	0.510	0.354	0.450	osoitteita
adept	0.594	0.539	0.789	taitava
adequacy	0.615	0.435	0.702	riittävyyttä
adequate	0.854	0.264	0.705	riittävä
adhere	0.633	0.339	0.554	kiinni
adherence	0.760	0.307	0.630	sitoutuminen
adherent	0.561	0.385	0.555	noudattava
adhering	0.612	0.561	0.537	kiinni
adhesion	0.521	0.445	0.586	adheesiota
adhesive	0.604	0.350	0.413	liima
adieu	0.250	0.471	0.342	hyvästi
adipose	0.333	0.350	0.391	rasvainen
adjacency	0.365	0.417	0.375	läheisyys
adjacent	0.645	0.276	0.536	vieressä
adjective	0.570	0.316	0.569	adjektiivi
adjoining	0.520	0.400	0.393	viereinen
adjourn	0.385	0.456	0.475	lykätä
adjournment	0.438	0.510	0.370	lykkäys
adjudicate	0.559	0.520	0.683	tuomitsemaan
adjudication	0.551	0.462	0.691	tuomio
adjunct	0.459	0.440	0.426	lisäaine
adjust	0.647	0.327	0.638	säätää
adjuster	0.510	0.540	0.760	säädin
adjustment	0.590	0.520	0.661	säätö
adjuvant	0.510	0.500	0.456	adjuvantti
admin	0.688	0.420	0.854	järjestelmänvalvoja
administer	0.635	0.425	0.860	hallinnoida
administration	0.625	0.404	0.786	hallinto
administrative	0.542	0.415	0.579	hallinnollinen
administrator	0.538	0.480	0.902	järjestelmänvalvoja
admirable	0.929	0.600	0.870	ihailtavaa
admiral	0.844	0.490	0.847	amiraali
admiralty	0.594	0.547	0.733	amiraliteetti
admiration	0.969	0.583	0.726	ihailua
admire	0.867	0.692	0.704	ihailla
admired	0.917	0.560	0.815	ihailtu
admirer	0.796	0.720	0.650	ihailija
admiring	0.867	0.578	0.629	ihaillen
admissibility	0.802	0.580	0.602	tutkittavaksi ottamisen edellytykset
admissible	0.780	0.528	0.642	hyväksyttäväksi
admission	0.802	0.415	0.732	sisäänpääsy
admit	0.538	0.423	0.667	myöntää
admittance	0.690	0.451	0.598	pääsy
admitted	0.720	0.490	0.767	hyväksytty
admitting	0.620	0.500	0.546	myöntää
admixture	0.450	0.375	0.438	sekoitusta
admonition	0.357	0.606	0.455	kehotus
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	Adobe
adolescence	0.487	0.694	0.444	teini-iässä
adolescent	0.781	0.680	0.509	teini-ikäinen
adopt	0.694	0.612	0.701	adoptoida
adoption	0.625	0.566	0.589	hyväksyminen
adoptive	0.531	0.469	0.520	adoptio
adorable	0.969	0.519	0.457	ihana
adoration	0.885	0.699	0.708	palvonta
adore	0.854	0.438	0.657	jumaloida
adoring	0.885	0.620	0.717	ihaileva
adorn	0.910	0.424	0.482	koristaa
adornment	0.918	0.373	0.377	koristelu
adrenalin	0.865	0.920	0.786	adrenaliini
adrenaline	0.765	0.965	0.825	adrenaliini
adrift	0.398	0.486	0.230	tuuliajolla
adult	0.815	0.491	0.787	aikuinen
adulterated	0.188	0.865	0.370	väärennetty
adulterer	0.229	0.814	0.407	avionrikkoja
adultery	0.120	0.922	0.510	aviorikos
adulthood	0.541	0.454	0.652	aikuisuus
advance	0.673	0.472	0.858	etukäteen
advanced	0.844	0.623	0.797	pitkälle kehittynyt
advancement	0.776	0.650	0.839	edistymistä
advancing	0.929	0.608	0.812	etenee
advantage	0.917	0.548	0.859	etu
advantageous	0.837	0.640	0.789	edullinen
advent	0.665	0.560	0.627	adventti
adventure	0.917	0.857	0.710	seikkailu
adventurer	0.781	0.839	0.868	seikkailija
adventures	0.812	0.764	0.749	seikkailuja
adventurous	0.969	0.898	0.722	seikkailunhaluinen
adversary	0.349	0.777	0.457	vastustaja
adverse	0.323	0.610	0.385	haitallisia
adversity	0.276	0.760	0.538	vastoinkäymisiä
advertise	0.500	0.529	0.580	mainostaa
advertisement	0.600	0.566	0.539	mainos
advertising	0.622	0.608	0.632	mainonta
adverts	0.551	0.500	0.595	mainoksia
advice	0.698	0.408	0.688	neuvoja
advisable	0.867	0.480	0.510	suositeltavaa
advise	0.760	0.393	0.705	neuvoa
advised	0.823	0.330	0.509	neuvoi
advisement	0.698	0.235	0.655	neuvoja
adviser	0.745	0.362	0.705	neuvonantaja
advisor	0.646	0.350	0.689	neuvonantaja
advisory	0.656	0.429	0.633	neuvoa-antava
advocacy	0.500	0.646	0.731	edunvalvonta
advocate	0.551	0.530	0.818	edustaa
aegis	0.490	0.439	0.462	egis
aeration	0.550	0.500	0.433	ilmastus
aerial	0.615	0.461	0.463	antenni
aerobics	0.708	0.771	0.627	aerobic
aerodrome	0.541	0.740	0.678	lentopaikka
aerodynamic	0.561	0.724	0.728	aerodynaaminen
aerodynamics	0.590	0.663	0.722	aerodynamiikka
aeronautics	0.551	0.633	0.688	ilmailu
aeroplane	0.714	0.642	0.644	lentokone
aerospace	0.643	0.520	0.779	ilmailu
aesthetic	0.708	0.442	0.526	esteettinen
aesthetics	0.847	0.327	0.549	estetiikka
aetiology	0.480	0.398	0.615	etiologia
afar	0.396	0.373	0.358	kaukaa
affable	0.704	0.380	0.452	ystävällinen
affair	0.520	0.459	0.657	asia
affect	0.458	0.569	0.578	vaikuttaa
affecting	0.350	0.574	0.394	vaikuttavat
affection	0.898	0.559	0.696	kiintymystä
affectionate	0.949	0.422	0.550	hellä
affections	0.760	0.547	0.655	kiintymyksiä
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	valaehtoinen todistus
affiliated	0.673	0.519	0.535	sidoksissa
affiliation	0.615	0.594	0.500	kuuluminen
affinity	0.800	0.500	0.537	affiniteetti
affirm	0.745	0.509	0.731	vahvistaa
affirmation	0.750	0.500	0.689	vahvistusta
affirmative	0.854	0.589	0.816	myöntävä
affirmatively	0.908	0.500	0.811	myöntävästi
affix	0.438	0.335	0.411	kiinnittää
afflict	0.302	0.555	0.293	vaivata
afflicted	0.271	0.500	0.167	kärsinyt
affliction	0.294	0.635	0.392	vaivaa
affluence	0.663	0.618	0.722	vaurautta
affluent	0.756	0.388	0.477	varakkaita
afford	0.571	0.580	0.575	olla varaa
affordable	0.840	0.398	0.493	edullinen
affront	0.327	0.740	0.547	loukkaus
affronted	0.385	0.750	0.527	loukattu
afield	0.594	0.370	0.373	ulkopuolella
afire	0.367	0.904	0.675	tulipalo
afloat	0.602	0.427	0.444	Pinnalle
afore	0.500	0.337	0.382	edellä
aforementioned	0.490	0.316	0.408	yllä mainitut
aforesaid	0.531	0.358	0.478	edellä mainittu
afraid	0.010	0.775	0.245	peloissaan
afresh	0.643	0.521	0.480	uudelleen
aft	0.480	0.417	0.518	perä
afterlife	0.571	0.567	0.568	kuolemanjälkeinen elämä
aftermath	0.312	0.449	0.444	jälkimainingeissa
afternoon	0.533	0.388	0.339	iltapäivällä
aftershave	0.406	0.384	0.415	partavesi
aftertaste	0.354	0.362	0.455	jälkimaku
afterthought	0.396	0.392	0.349	jälkikäteen
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	akaatti
age	0.561	0.226	0.498	ikä
aged	0.135	0.365	0.236	ikääntynyt
agency	0.460	0.296	0.583	virasto
agenda	0.531	0.296	0.553	asialista
agent	0.480	0.439	0.755	agentti
agglomeration	0.450	0.765	0.509	taajama
aggravate	0.224	0.770	0.464	pahentaa
aggravated	0.079	0.760	0.430	pahentunut
aggravates	0.108	0.778	0.357	pahentaa
aggravating	0.257	0.794	0.640	raskauttava
aggravation	0.071	0.784	0.613	paheneminen
aggregate	0.730	0.378	0.556	aggregaatti
aggregation	0.583	0.517	0.694	yhdistäminen
aggresive	0.059	0.971	0.639	aggressiivinen
aggression	0.094	0.929	0.533	aggressiota
aggressive	0.125	0.949	0.648	aggressiivinen
aggressively	0.250	0.926	0.688	aggressiivisesti
aggressiveness	0.077	0.913	0.648	aggressiivisuus
aggressor	0.146	0.948	0.823	hyökkääjä
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	kauhistuneena
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	ketterä
agility	0.720	0.702	0.815	ketteryyttä
aging	0.214	0.255	0.284	ikääntyminen
agitate	0.300	0.796	0.593	kiihottaa
agitated	0.444	0.882	0.491	kiihtynyt
agitation	0.240	0.931	0.447	agitaatiota
aglow	0.780	0.510	0.797	hehkuen
agnostic	0.306	0.396	0.574	agnostikko
ago	0.317	0.280	0.404	sitten
agonizing	0.083	0.800	0.340	tuskallinen
agony	0.083	0.775	0.393	tuska
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	olla samaa mieltä
agreeable	0.906	0.500	0.696	miellyttävä
agreed	0.797	0.449	0.574	sovittu
agreeing	0.854	0.480	0.557	samaa mieltä
agreement	0.760	0.440	0.736	sopimus
agressive	0.083	0.918	0.751	aggressiivinen
agricultural	0.686	0.321	0.473	maatalous
agriculture	0.640	0.357	0.465	maataloudessa
aground	0.333	0.340	0.445	karille
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	eteenpäin
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoi
aid	0.796	0.491	0.541	apu
aide	0.724	0.342	0.434	avustaja
aiding	0.643	0.533	0.569	auttamassa
aids	0.561	0.480	0.500	aids
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	sairaana
ailment	0.146	0.734	0.277	sairaus
aim	0.481	0.569	0.567	tavoite
aimless	0.150	0.267	0.183	päämäärätön
air	0.708	0.163	0.427	ilmaa
airbag	0.510	0.402	0.433	turvatyyny
airborne	0.542	0.519	0.385	ilmassa
aircraft	0.646	0.644	0.691	ilma-alus
aircraft carrier	0.490	0.740	0.727	lentotukialus
airfield	0.601	0.650	0.645	lentokenttä
airhead	0.271	0.481	0.276	ilmapää
airlift	0.573	0.622	0.642	ilmakuljetus
airline	0.650	0.482	0.688	lentoyhtiö
airliner	0.667	0.777	0.647	matkustajakone
airlock	0.398	0.520	0.447	ilmalukko
airman	0.587	0.716	0.721	lentäjä
airplane	0.719	0.702	0.708	lentokone
airport	0.729	0.684	0.682	lentokenttä
airs	0.583	0.196	0.370	ilmaistaan
airship	0.542	0.472	0.529	ilmalaiva
airspace	0.562	0.510	0.640	ilmatila
airspeed	0.583	0.780	0.544	ilmanopeus
airstrip	0.550	0.690	0.649	kiitorata
airtight	0.479	0.381	0.570	ilmatiivis
airway	0.638	0.585	0.482	hengitystie
aisle	0.438	0.222	0.283	käytävä
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	raollaan
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	samanlainen
alabaster	0.542	0.404	0.445	alabasteri
alarm	0.241	0.882	0.698	hälytys
alarm clock	0.542	0.727	0.642	herätyskello
alarmed	0.188	0.822	0.492	huolestuneena
alarming	0.204	0.890	0.585	hälyttävä
alas	0.571	0.310	0.279	Valitettavasti
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatrossi
albino	0.500	0.240	0.358	albiino
album	0.635	0.349	0.453	albumi
alchemy	0.541	0.583	0.693	alkemia
alcohol	0.323	0.667	0.377	alkoholia
alcoholic	0.153	0.688	0.361	alkoholisti
alcoholism	0.061	0.779	0.407	alkoholismi
alcove	0.490	0.340	0.356	alkovi
alderman	0.550	0.459	0.691	raatimies
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	hälytys
alertness	0.375	0.875	0.750	valppautta
alerts	0.337	0.804	0.673	hälytyksiä
alfalfa	0.546	0.250	0.311	sinimailanen
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebrallinen
algorithm	0.448	0.394	0.559	algoritmi
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	ulkomaalainen
alienate	0.247	0.500	0.523	vieraannuttaa
alienated	0.410	0.423	0.559	vieraantunut
alienation	0.378	0.530	0.462	vieraantuminen
alight	0.667	0.657	0.605	palamaan
align	0.656	0.364	0.627	kohdistaa
aligned	0.583	0.275	0.553	kohdistettu
alignment	0.643	0.412	0.683	linjaus
alike	0.653	0.173	0.444	yhtä lailla
alimentation	0.781	0.551	0.602	ravintoa
alimony	0.612	0.477	0.464	elatusapu
aliquot	0.440	0.310	0.404	alikvootti
alive	0.816	0.637	0.731	elossa
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloidit
allay	0.417	0.406	0.398	lievittää
allegation	0.578	0.578	0.608	väite
allege	0.418	0.482	0.587	väittää
alleged	0.365	0.522	0.520	väitetty
allegiance	0.917	0.398	0.750	uskollisuutta
allegorical	0.517	0.558	0.598	allegorinen
allegory	0.615	0.580	0.509	allegoria
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	allerginen
allergy	0.296	0.606	0.389	allergia
alleviate	0.869	0.270	0.528	lievittää
alleviation	0.735	0.200	0.491	lievitystä
alley	0.347	0.500	0.355	kuja
alleyway	0.357	0.471	0.382	kuja
alliance	0.696	0.473	0.769	liittouma
allied	0.714	0.245	0.642	liittolainen
alligator	0.354	0.704	0.645	alligaattori
allocate	0.673	0.462	0.672	jakaa
allocation	0.604	0.388	0.679	jakaminen
allot	0.622	0.481	0.616	jakaa
allotment	0.600	0.390	0.640	siirtolapuutarha
allow	0.698	0.429	0.538	sallia
allowable	0.698	0.500	0.561	sallittu
allowance	0.673	0.382	0.591	korvaus
allowed	0.730	0.360	0.655	sallittu
alloy	0.583	0.443	0.593	metalliseos
allsmiles	0.786	0.528	0.430	kaikki hymyt
allure	0.804	0.585	0.686	viehätys
alluring	0.837	0.745	0.843	houkutteleva
allusion	0.440	0.308	0.462	viittaus
alluvial	0.323	0.490	0.491	tulva-
ally	0.792	0.320	0.688	liittolainen
almanac	0.688	0.190	0.412	kalenteri
almighty	0.938	0.874	0.958	kaikkivaltias
almond	0.698	0.183	0.314	manteli
aloft	0.771	0.373	0.700	korkealla
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	yksin
alongside	0.458	0.333	0.347	rinnalla
aloof	0.189	0.423	0.302	syrjässä
aloud	0.458	0.713	0.750	ääneen
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	aakkoset
alphabetical	0.537	0.296	0.535	aakkosjärjestyksessä
alpine	0.594	0.337	0.474	alppi
alreadyyyyy	0.592	0.717	0.351	joyyyy
altar	0.724	0.387	0.635	alttari
altar boy	0.434	0.206	0.350	alttaripoika
alter	0.333	0.694	0.654	muuttaa
alteration	0.167	0.798	0.609	muutosta
altercation	0.170	0.806	0.500	kiista
altered	0.255	0.765	0.500	muutettu
alternate	0.625	0.363	0.589	vaihtoehtoinen
alternating	0.480	0.494	0.542	vuorotellen
alternative	0.628	0.373	0.631	vaihtoehto
altimeter	0.615	0.510	0.580	korkeusmittari
altitude	0.708	0.482	0.736	korkeus
alto	0.656	0.404	0.730	altto
altogether	0.833	0.324	0.644	yhteensä
aluminum	0.449	0.280	0.434	alumiini
alumnus	0.633	0.368	0.422	alumni
alveolar	0.469	0.481	0.367	alveolaarinen
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgaami
amalgamation	0.406	0.470	0.531	yhdistäminen
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	koota
amateur	0.469	0.500	0.409	amatööri
amaze	0.896	0.843	0.783	hämmästyttää
amazed	0.796	0.779	0.533	hämmästynyt
amazedness	0.827	0.872	0.510	hämmästys
amazement	0.750	0.800	0.639	hämmästys
amazing	0.906	0.837	0.849	hämmästyttävä
amazingly	0.918	0.765	0.920	mahtavasti
ambassador	0.651	0.529	0.917	suurlähettiläs
amber	0.635	0.308	0.369	keltainen
ambience	0.735	0.356	0.426	tunnelma
ambient	0.625	0.360	0.582	ambient
ambiguity	0.164	0.460	0.370	epäselvyyttä
ambiguous	0.265	0.462	0.358	epäselvä
ambit	0.479	0.380	0.386	laajuus
ambition	0.510	0.804	0.661	kunnianhimoa
ambitious	0.484	0.821	0.717	kunnianhimoinen
ambivalent	0.510	0.404	0.482	ambivalenttinen
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulanssi
ambush	0.281	0.830	0.500	väijytys
ameliorate	0.770	0.548	0.747	parantaa
amen	0.781	0.182	0.542	aamen
amenable	0.448	0.410	0.406	sovittavissa
amend	0.688	0.406	0.658	muuttaa
amendment	0.531	0.459	0.606	muutos
amends	0.640	0.366	0.517	muuttaa
amenity	0.750	0.327	0.574	viihtyisyyttä
amethyst	0.622	0.406	0.517	ametisti
amiable	0.847	0.290	0.483	rakastettava
amicable	0.875	0.330	0.507	ystävällinen
amid	0.510	0.340	0.256	keskellä
amidst	0.480	0.330	0.316	keskellä
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammus
ammonia	0.292	0.587	0.409	ammoniakkia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	ammukset
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	armahdus
amorous	0.844	0.670	0.636	rakastunut
amorphous	0.327	0.402	0.349	amorfinen
amortization	0.592	0.491	0.522	poistot
amount	0.562	0.422	0.649	määrä
amour	0.865	0.480	0.652	rakkaus
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	et-merkki
amphetamines	0.133	0.667	0.526	amfetamiinit
amphibian	0.427	0.357	0.474	sammakkoeläin
amphibious	0.479	0.346	0.445	amfibinen
amphitheater	0.653	0.480	0.545	amfiteatteri
ample	0.744	0.349	0.719	runsaasti
amplification	0.690	0.677	0.810	vahvistusta
amplify	0.677	0.735	0.827	vahvistaa
amplitude	0.694	0.439	0.692	amplitudi
amply	0.781	0.431	0.766	runsaasti
amputate	0.092	0.660	0.509	amputoida
amputation	0.100	0.755	0.483	amputaatio
amuck	0.385	0.602	0.321	hillitön raivo
amulet	0.781	0.260	0.630	amuletti
amuse	0.812	0.684	0.664	huvittaa
amused	0.942	0.847	0.596	huvittunut
amusement	0.929	0.837	0.803	huvi
