English Word	Valence	Arousal	Dominance	Arabic Word
acidity	0.156	0.663	0.360	حموضة
acknowledge	0.786	0.370	0.661	يُقرّ
acknowledged	0.714	0.443	0.765	اعترف
acknowledgement	0.819	0.539	0.830	إعتراف
acknowledgment	0.796	0.528	0.777	إعتراف
acme	0.408	0.435	0.375	ذروة
acne	0.167	0.474	0.308	حَبُّ الشّبَاب
acorn	0.448	0.198	0.192	بلوط
acoustic	0.542	0.462	0.536	صوتي
acoustics	0.611	0.330	0.509	الصوتيات
acquaint	0.646	0.491	0.639	إطلاع الشخص علي
acquaintance	0.656	0.290	0.670	التعارف
acquainted	0.906	0.358	0.632	تعرف
acquiescence	0.542	0.480	0.554	إذعان على مضض
acquire	0.833	0.468	0.700	يستحوذ على
acquiring	0.735	0.510	0.817	الحصول
acquisition	0.698	0.509	0.736	استحواذ
acquisitions	0.773	0.660	0.790	المقتنيات
acquit	0.583	0.571	0.611	تبرئ
acquittal	0.760	0.497	0.700	تبرئة
acre	0.583	0.387	0.423	فدان
acreage	0.741	0.450	0.528	مساحة
acres	0.510	0.363	0.500	فدان
acrobat	0.708	0.828	0.602	بهلوان
acrylic	0.582	0.279	0.420	أكريليك
act	0.656	0.704	0.735	فعل
acting	0.698	0.643	0.500	التمثيل
action	0.760	0.898	0.802	عمل
action figure	0.615	0.774	0.611	شخصية العمل
actionable	0.673	0.702	0.613	فعالة
activate	0.764	0.650	0.806	تفعيل
activation	0.781	0.800	0.754	التنشيط
active	0.847	0.730	0.731	نشيط
activist	0.531	0.653	0.877	ناشط
activity	0.701	0.660	0.807	نشاط
actor	0.653	0.561	0.629	الممثل
actress	0.633	0.556	0.596	ممثلة
actual	0.729	0.400	0.716	فِعلي
actuality	0.750	0.464	0.600	حقيقة
actuary	0.510	0.404	0.491	الخبير الاكتواري
acuity	0.469	0.378	0.741	حدة
acumen	0.564	0.660	0.679	الفطنة
acupuncture	0.531	0.324	0.549	العلاج بالإبر
acute	0.427	0.652	0.534	بَصِير
acutely	0.417	0.543	0.491	بشكل حاد
ad	0.521	0.705	0.558	ميلادي
adage	0.517	0.415	0.566	القول المأثور
adamant	0.344	0.529	0.575	مصر على رأيه
adapt	0.740	0.355	0.551	يتكيف
adaptable	0.735	0.423	0.641	قابل للتكيف
adaptation	0.663	0.365	0.609	التكيف
add	0.728	0.490	0.554	يضيف
added	0.562	0.405	0.509	مضاف
addendum	0.392	0.370	0.418	إضافة
adder	0.388	0.461	0.588	الأفعى
addict	0.075	0.696	0.327	مدمن
addicted	0.156	0.712	0.483	شغوف
addiction	0.180	0.806	0.420	مدمن
addictive	0.302	0.683	0.472	الادمان
addition	0.562	0.373	0.471	إضافة
additional	0.673	0.462	0.526	إضافي
additive	0.561	0.633	0.691	مادة مضافة
address	0.650	0.327	0.567	تبوك
addressee	0.622	0.382	0.538	المرسل إليه
addresses	0.510	0.354	0.450	عناوين
adept	0.594	0.539	0.789	بارع
adequacy	0.615	0.435	0.702	قدرة
adequate	0.854	0.264	0.705	مناسب
adhere	0.633	0.339	0.554	يتمسك
adherence	0.760	0.307	0.630	التقيد
adherent	0.561	0.385	0.555	نصير
adhering	0.612	0.561	0.537	الانضمام
adhesion	0.521	0.445	0.586	التصاق
adhesive	0.604	0.350	0.413	لاصق
adieu	0.250	0.471	0.342	وداعا
adipose	0.333	0.350	0.391	دهني
adjacency	0.365	0.417	0.375	الملاصقة
adjacent	0.645	0.276	0.536	متاخم
adjective	0.570	0.316	0.569	صفة
adjoining	0.520	0.400	0.393	المجاورة
adjourn	0.385	0.456	0.475	رفع
adjournment	0.438	0.510	0.370	تأجيل
adjudicate	0.559	0.520	0.683	يحكم
adjudication	0.551	0.462	0.691	التحكيم
adjunct	0.459	0.440	0.426	مساعد
adjust	0.647	0.327	0.638	يُعدِّل
adjuster	0.510	0.540	0.760	الضابط
adjustment	0.590	0.520	0.661	تعديل
adjuvant	0.510	0.500	0.456	مساعد
admin	0.688	0.420	0.854	مشرف
administer	0.635	0.425	0.860	إدارة
administration	0.625	0.404	0.786	الادارة
administrative	0.542	0.415	0.579	إداري
administrator	0.538	0.480	0.902	مدير
admirable	0.929	0.600	0.870	رائع
admiral	0.844	0.490	0.847	أميرال
admiralty	0.594	0.547	0.733	أميرالية
admiration	0.969	0.583	0.726	إعجاب
admire	0.867	0.692	0.704	معجب
admired	0.917	0.560	0.815	معجب
admirer	0.796	0.720	0.650	معجب
admiring	0.867	0.578	0.629	الإعجاب
admissibility	0.802	0.580	0.602	المقبولية
admissible	0.780	0.528	0.642	مقبول
admission	0.802	0.415	0.732	سماح بالدخول
admit	0.538	0.423	0.667	يعترف
admittance	0.690	0.451	0.598	القبول
admitted	0.720	0.490	0.767	اعترف
admitting	0.620	0.500	0.546	الاعتراف
admixture	0.450	0.375	0.438	خليط
admonition	0.357	0.606	0.455	عتاب
ado	0.520	0.423	0.385	اللغط
adobe	0.500	0.319	0.328	أدوبي
adolescence	0.487	0.694	0.444	مرحلة المراهقة
adolescent	0.781	0.680	0.509	مراهق
adopt	0.694	0.612	0.701	يتبنى
adoption	0.625	0.566	0.589	تبني
adoptive	0.531	0.469	0.520	بالتبني
adorable	0.969	0.519	0.457	بديع
adoration	0.885	0.699	0.708	هيام
adore	0.854	0.438	0.657	أعشق
adoring	0.885	0.620	0.717	العشق
adorn	0.910	0.424	0.482	تزين
adornment	0.918	0.373	0.377	زينة
adrenalin	0.865	0.920	0.786	الأدرينالين
adrenaline	0.765	0.965	0.825	الأدرينالين
adrift	0.398	0.486	0.230	على غير هدى
adult	0.815	0.491	0.787	بالغ
adulterated	0.188	0.865	0.370	مغشوشة
adulterer	0.229	0.814	0.407	زانية
adultery	0.120	0.922	0.510	الزنا
adulthood	0.541	0.454	0.652	مرحلة البلوغ
advance	0.673	0.472	0.858	يتقدم
advanced	0.844	0.623	0.797	المتقدمة
advancement	0.776	0.650	0.839	تقدم
advancing	0.929	0.608	0.812	تتقدم
advantage	0.917	0.548	0.859	مميزات
advantageous	0.837	0.640	0.789	مفيد
advent	0.665	0.560	0.627	القدوم
adventure	0.917	0.857	0.710	مفامرة
adventurer	0.781	0.839	0.868	مغامر
adventures	0.812	0.764	0.749	مغامرات
adventurous	0.969	0.898	0.722	مغامر
adversary	0.349	0.777	0.457	الخصم
adverse	0.323	0.610	0.385	سلبي
adversity	0.276	0.760	0.538	محنة
advertise	0.500	0.529	0.580	يعلن
advertisement	0.600	0.566	0.539	الإعلانات
advertising	0.622	0.608	0.632	إعلان
adverts	0.551	0.500	0.595	الإعلانات
advice	0.698	0.408	0.688	النصيحة
advisable	0.867	0.480	0.510	المستحسن
advise	0.760	0.393	0.705	نصيحة
advised	0.823	0.330	0.509	نصح
advisement	0.698	0.235	0.655	نصيحة
adviser	0.745	0.362	0.705	مستشار
advisor	0.646	0.350	0.689	مستشار
advisory	0.656	0.429	0.633	استشاري
advocacy	0.500	0.646	0.731	المناصرة
advocate	0.551	0.530	0.818	المؤيد
aegis	0.490	0.439	0.462	ايجيس
aeration	0.550	0.500	0.433	تهوية
aerial	0.615	0.461	0.463	الجوي
aerobics	0.708	0.771	0.627	التمارين الرياضية
aerodrome	0.541	0.740	0.678	المطار
aerodynamic	0.561	0.724	0.728	الديناميكية الهوائية
aerodynamics	0.590	0.663	0.722	الديناميكا الهوائية
aeronautics	0.551	0.633	0.688	الطيران
aeroplane	0.714	0.642	0.644	طائرة
aerospace	0.643	0.520	0.779	الفضاء
aesthetic	0.708	0.442	0.526	جمالي
aesthetics	0.847	0.327	0.549	جماليات
aetiology	0.480	0.398	0.615	المسببات المرضية
afar	0.396	0.373	0.358	بعيد
affable	0.704	0.380	0.452	لطيف
affair	0.520	0.459	0.657	قضية
affect	0.458	0.569	0.578	تؤثر
affecting	0.350	0.574	0.394	تؤثر
affection	0.898	0.559	0.696	تاثير
affectionate	0.949	0.422	0.550	حنونة
affections	0.760	0.547	0.655	عواطف
affiche	0.479	0.265	0.402	شبق
affidavit	0.469	0.584	0.526	إفادة خطية
affiliated	0.673	0.519	0.535	التابعة
affiliation	0.615	0.594	0.500	الانتماء
affinity	0.800	0.500	0.537	التقارب
affirm	0.745	0.509	0.731	يؤكد
affirmation	0.750	0.500	0.689	تأكيد
affirmative	0.854	0.589	0.816	اثبات
affirmatively	0.908	0.500	0.811	بالإيجاب
affix	0.438	0.335	0.411	اللاحق
afflict	0.302	0.555	0.293	بلاء
afflicted	0.271	0.500	0.167	منكوبة
affliction	0.294	0.635	0.392	بلاء
affluence	0.663	0.618	0.722	ترف
affluent	0.756	0.388	0.477	ثري
afford	0.571	0.580	0.575	يمنح
affordable	0.840	0.398	0.493	بأسعار معقولة، ميسور، متناول اليد
affront	0.327	0.740	0.547	إهانة
affronted	0.385	0.750	0.527	مهان
afield	0.594	0.370	0.373	خارج
afire	0.367	0.904	0.675	حريق
afloat	0.602	0.427	0.444	طافيا
afore	0.500	0.337	0.382	قبل ذلك
aforementioned	0.490	0.316	0.408	مذكور أعلاه
aforesaid	0.531	0.358	0.478	سالف الذكر
afraid	0.010	0.775	0.245	خائف
afresh	0.643	0.521	0.480	من جديد
aft	0.480	0.417	0.518	في الخلف
afterlife	0.571	0.567	0.568	الآخرة
aftermath	0.312	0.449	0.444	ما بعد الكارثة
afternoon	0.533	0.388	0.339	بعد الظهر
aftershave	0.406	0.384	0.415	بعد الحلاقة
aftertaste	0.354	0.362	0.455	طعم
afterthought	0.396	0.392	0.349	بعد التفكير
aga	0.542	0.327	0.398	الآغا
agape	0.612	0.529	0.464	أغابي
agate	0.540	0.377	0.483	العقيق
age	0.561	0.226	0.498	سن
aged	0.135	0.365	0.236	مسن
agency	0.460	0.296	0.583	وكالة
agenda	0.531	0.296	0.553	جدول أعمال
agent	0.480	0.439	0.755	وكيل
agglomeration	0.450	0.765	0.509	تكتل
aggravate	0.224	0.770	0.464	تزيد من حدة
aggravated	0.079	0.760	0.430	تفاقم
aggravates	0.108	0.778	0.357	تفاقم
aggravating	0.257	0.794	0.640	المشددة
aggravation	0.071	0.784	0.613	التفاقم
aggregate	0.730	0.378	0.556	مجموع
aggregation	0.583	0.517	0.694	تجميع
aggresive	0.059	0.971	0.639	قذر
aggression	0.094	0.929	0.533	عدوان
aggressive	0.125	0.949	0.648	عنيف
aggressively	0.250	0.926	0.688	بقوة
aggressiveness	0.077	0.913	0.648	عدوانية
aggressor	0.146	0.948	0.823	المعتدي
agh	0.260	0.500	0.400	آغ
aghast	0.133	0.865	0.464	مذعور
aghhh	0.281	0.635	0.243	آغه
agile	0.800	0.657	0.775	رشيق
agility	0.720	0.702	0.815	رشاقة
aging	0.214	0.255	0.284	شيخوخة
agitate	0.300	0.796	0.593	أثار
agitated	0.444	0.882	0.491	مضطرب
agitation	0.240	0.931	0.447	الإثارة
aglow	0.780	0.510	0.797	متوهج
agnostic	0.306	0.396	0.574	محايد دينيا
ago	0.317	0.280	0.404	منذ
agonizing	0.083	0.800	0.340	مبرح
agony	0.083	0.775	0.393	سكرة
agoraphobia	0.127	0.712	0.438	رهاب الخلاء
agree	0.906	0.260	0.545	يوافق على
agreeable	0.906	0.500	0.696	مقبول
agreed	0.797	0.449	0.574	متفق عليه
agreeing	0.854	0.480	0.557	الموافقة
agreement	0.760	0.440	0.736	اتفاق
agressive	0.083	0.918	0.751	عدواني
agricultural	0.686	0.321	0.473	زراعي
agriculture	0.640	0.357	0.465	الزراعة
aground	0.333	0.340	0.445	جنحت
agua	0.598	0.180	0.436	أغوا
ahead	0.708	0.520	0.673	امام
ahhh	0.562	0.517	0.241	أهه
ahhhhhhhh	0.552	0.649	0.288	أهههههههههه
ahoy	0.500	0.497	0.380	أهوي
aid	0.796	0.491	0.541	يساعد
aide	0.724	0.342	0.434	مساعد
aiding	0.643	0.533	0.569	مساعدة
aids	0.561	0.480	0.500	المعينات
ail	0.375	0.434	0.385	يزعج
ailing	0.094	0.518	0.153	مريض
ailment	0.146	0.734	0.277	وعكة
aim	0.481	0.569	0.567	هدف، تصويب
aimless	0.150	0.267	0.183	بلا هدف
air	0.708	0.163	0.427	هواء
airbag	0.510	0.402	0.433	وسادة هوائية
airborne	0.542	0.519	0.385	المحمولة جوا
aircraft	0.646	0.644	0.691	الطائرات
aircraft carrier	0.490	0.740	0.727	حاملة طائرات
airfield	0.601	0.650	0.645	مطار
airhead	0.271	0.481	0.276	الهواء
airlift	0.573	0.622	0.642	الجسر الجوي
airline	0.650	0.482	0.688	شركة طيران
airliner	0.667	0.777	0.647	طائرة
airlock	0.398	0.520	0.447	غرفة معادلة الضغط
airman	0.587	0.716	0.721	طيار
airplane	0.719	0.702	0.708	مطار
airport	0.729	0.684	0.682	مطار
airs	0.583	0.196	0.370	اجواء
airship	0.542	0.472	0.529	منطاد
airspace	0.562	0.510	0.640	المجال الجوي
airspeed	0.583	0.780	0.544	السرعة الجوية
airstrip	0.550	0.690	0.649	مهبط الطائرات
airtight	0.479	0.381	0.570	محكم
airway	0.638	0.585	0.482	قناة هوائية
aisle	0.438	0.222	0.283	ممر
ait	0.385	0.390	0.402	بعد
ajar	0.460	0.413	0.446	مفتوح جزئيا
aka	0.459	0.358	0.351	الملقب ب
akin	0.639	0.343	0.523	قريب
alabaster	0.542	0.404	0.445	المرمر
alarm	0.241	0.882	0.698	إنذار
alarm clock	0.542	0.727	0.642	منبه
alarmed	0.188	0.822	0.492	منزعج
alarming	0.204	0.890	0.585	ينذر بالخطر
alas	0.571	0.310	0.279	واحسرتاه
alb	0.521	0.380	0.427	ألب
albatross	0.500	0.445	0.527	القطرس
albino	0.500	0.240	0.358	ألبينو
album	0.635	0.349	0.453	الألبوم
alchemy	0.541	0.583	0.693	كيمياء
alcohol	0.323	0.667	0.377	كحول
alcoholic	0.153	0.688	0.361	مدمن على الكحول
alcoholism	0.061	0.779	0.407	إدمان الكحول
alcove	0.490	0.340	0.356	الكوة
alderman	0.550	0.459	0.691	عضو مجلس محلي
ale	0.530	0.450	0.358	مزر
alert	0.479	0.820	0.648	إنذار
alertness	0.375	0.875	0.750	اليقظة
alerts	0.337	0.804	0.673	تنبيهات
alfalfa	0.546	0.250	0.311	البرسيم
algebra	0.440	0.340	0.565	الجبر
algebraic	0.531	0.412	0.441	جبري
algorithm	0.448	0.394	0.559	الخوارزمية
alias	0.541	0.353	0.333	الاسم المستعار
alibi	0.396	0.528	0.556	ذريعة
alien	0.410	0.615	0.491	كائن فضائي
alienate	0.247	0.500	0.523	ينفر
alienated	0.410	0.423	0.559	منبوذ
alienation	0.378	0.530	0.462	نقل ملكية
alight	0.667	0.657	0.605	مشتعل
align	0.656	0.364	0.627	محاذاة
aligned	0.583	0.275	0.553	محاذاة
alignment	0.643	0.412	0.683	محاذاة
alike	0.653	0.173	0.444	على حد سواء
alimentation	0.781	0.551	0.602	التغذية
alimony	0.612	0.477	0.464	النفقة
aliquot	0.440	0.310	0.404	قسامة
alive	0.816	0.637	0.731	على قيد الحياة
alkali	0.490	0.350	0.408	قلوي
alkaloids	0.433	0.562	0.402	قلويدات
allay	0.417	0.406	0.398	تهدئة
allegation	0.578	0.578	0.608	ادعاء
allege	0.418	0.482	0.587	زعم
alleged	0.365	0.522	0.520	مزعوم
allegiance	0.917	0.398	0.750	الولاء
allegorical	0.517	0.558	0.598	استعاري
allegory	0.615	0.580	0.509	فن رمزي
allegro	0.635	0.627	0.453	اليجرو
allergic	0.135	0.549	0.273	الحساسية
allergy	0.296	0.606	0.389	حساسية
alleviate	0.869	0.270	0.528	خفف
alleviation	0.735	0.200	0.491	التخفيف
alley	0.347	0.500	0.355	زقاق
alleyway	0.357	0.471	0.382	حارة
alliance	0.696	0.473	0.769	تحالف
allied	0.714	0.245	0.642	متحالف
alligator	0.354	0.704	0.645	التمساح
allocate	0.673	0.462	0.672	تخصيص
allocation	0.604	0.388	0.679	توزيع
allot	0.622	0.481	0.616	تخصيص
allotment	0.600	0.390	0.640	التخصيص
allow	0.698	0.429	0.538	السماح
allowable	0.698	0.500	0.561	المسموح به
allowance	0.673	0.382	0.591	مخصص
allowed	0.730	0.360	0.655	مسموح
alloy	0.583	0.443	0.593	سبيكة
allsmiles	0.786	0.528	0.430	كل الابتسامات
allure	0.804	0.585	0.686	إغراء
alluring	0.837	0.745	0.843	مغرية
allusion	0.440	0.308	0.462	إشارة
alluvial	0.323	0.490	0.491	الغريني
ally	0.792	0.320	0.688	حليف
almanac	0.688	0.190	0.412	تقويم
almighty	0.938	0.874	0.958	عز وجل
almond	0.698	0.183	0.314	لوز
aloft	0.771	0.373	0.700	عاليا
aloha	0.698	0.440	0.441	الوها
alone	0.333	0.167	0.216	وحده
alongside	0.458	0.333	0.347	جنبا إلى جنب
aloof	0.189	0.423	0.302	منعزل
aloud	0.458	0.713	0.750	بصوت عال
alpha	0.708	0.340	0.755	ألفا
alphabet	0.562	0.204	0.672	الأبجدية
alphabetical	0.537	0.296	0.535	مرتب حسب الحروف الأبجدية
alpine	0.594	0.337	0.474	جبال الألب
alreadyyyyy	0.592	0.717	0.351	بالفعل
altar	0.724	0.387	0.635	مذبح
altar boy	0.434	0.206	0.350	فتى المذبح
alter	0.333	0.694	0.654	تبديل
alteration	0.167	0.798	0.609	تغيير
altercation	0.170	0.806	0.500	مشادة
altered	0.255	0.765	0.500	تغيير
alternate	0.625	0.363	0.589	البديل
alternating	0.480	0.494	0.542	بالتناوب
alternative	0.628	0.373	0.631	لبديل
altimeter	0.615	0.510	0.580	مقياس الارتفاع
altitude	0.708	0.482	0.736	ارتفاع
alto	0.656	0.404	0.730	ألتو
altogether	0.833	0.324	0.644	كليا
aluminum	0.449	0.280	0.434	الألومنيوم
alumnus	0.633	0.368	0.422	خريج الجامعه
alveolar	0.469	0.481	0.367	اللسان وسقف الفم
alzheimers	0.194	0.518	0.319	الزهايمر
amalgam	0.438	0.333	0.510	ملغم
amalgamation	0.406	0.470	0.531	الدمج
amaretto	0.543	0.551	0.375	أماريتو
amass	0.552	0.465	0.465	جمع
amateur	0.469	0.500	0.409	هواة
amaze	0.896	0.843	0.783	تدهش
amazed	0.796	0.779	0.533	مندهش
amazedness	0.827	0.872	0.510	الدهشة
amazement	0.750	0.800	0.639	دهشة
amazing	0.906	0.837	0.849	رائعة حقا
amazingly	0.918	0.765	0.920	مثير للدهشة
ambassador	0.651	0.529	0.917	سفير
amber	0.635	0.308	0.369	العنبر
ambience	0.735	0.356	0.426	الجو المحيط
ambient	0.625	0.360	0.582	محيط ب
ambiguity	0.164	0.460	0.370	التباس
ambiguous	0.265	0.462	0.358	غامض
ambit	0.479	0.380	0.386	نطاق
ambition	0.510	0.804	0.661	طموح
ambitious	0.484	0.821	0.717	طموح
ambivalent	0.510	0.404	0.482	مشاعر متناقضة
ambrosia	0.571	0.452	0.480	الطعام الشهي
ambulance	0.500	0.750	0.609	سياره اسعاف
ambush	0.281	0.830	0.500	كمين
ameliorate	0.770	0.548	0.747	تحسين
amen	0.781	0.182	0.542	آمين
amenable	0.448	0.410	0.406	قابل
amend	0.688	0.406	0.658	يعدل
amendment	0.531	0.459	0.606	تعديل
amends	0.640	0.366	0.517	يعدل
amenity	0.750	0.327	0.574	الراحة
amethyst	0.622	0.406	0.517	جمشت
amiable	0.847	0.290	0.483	ودي
amicable	0.875	0.330	0.507	ظريف
amid	0.510	0.340	0.256	وسط
amidst	0.480	0.330	0.316	وسط
amino	0.551	0.402	0.433	امينو
ammo	0.323	0.765	0.621	ذخيرة
ammonia	0.292	0.587	0.409	الأمونيا
ammonium	0.354	0.396	0.368	الأمونيوم
ammunition	0.338	0.635	0.667	ذخيرة
amnesia	0.296	0.330	0.308	فقدان الذاكرة
amnesty	0.551	0.451	0.814	عفو
amorous	0.844	0.670	0.636	غرامي
amorphous	0.327	0.402	0.349	عديم الشكل
amortization	0.592	0.491	0.522	الإطفاء
amount	0.562	0.422	0.649	مقدار
amour	0.865	0.480	0.652	amour
amp	0.439	0.393	0.375	أمبير
ampersand	0.480	0.448	0.483	علامة العطف
amphetamines	0.133	0.667	0.526	الأمفيتامينات
amphibian	0.427	0.357	0.474	البرمائيات
amphibious	0.479	0.346	0.445	برمائي
amphitheater	0.653	0.480	0.545	المدرج
ample	0.744	0.349	0.719	وافرة
amplification	0.690	0.677	0.810	تضخيم
amplify	0.677	0.735	0.827	يضخم، يوسع، يبالغ
amplitude	0.694	0.439	0.692	السعة
amply	0.781	0.431	0.766	بإسهاب
amputate	0.092	0.660	0.509	بتر
amputation	0.100	0.755	0.483	بتر
amuck	0.385	0.602	0.321	amuck
amulet	0.781	0.260	0.630	تميمة
amuse	0.812	0.684	0.664	سلى
amused	0.942	0.847	0.596	مسليا
amusement	0.929	0.837	0.803	تسلية
amusing	0.960	0.829	0.632	مسلية
ana	0.541	0.300	0.314	آنا
anaconda	0.146	0.830	0.540	اناكوندا
anaesthesia	0.350	0.217	0.473	تخدير
anaesthetic	0.449	0.268	0.509	مخدر
anagram	0.552	0.327	0.449	الجناس الناقص
anal	0.333	0.798	0.334	شرجي
