English Word	Valence	Arousal	Dominance	Pashto Word
abortive	0.090	0.776	0.280	سقط
abound	0.704	0.490	0.681	ډیر
abovementioned	0.541	0.298	0.509	پورته یاد شوي دي
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	خارښ
abrasive	0.392	0.610	0.593	خړوبونکی
abreast	0.635	0.380	0.519	نږدې
abroad	0.677	0.596	0.561	بهر
abrogate	0.327	0.510	0.594	لغوه کول
abrupt	0.271	0.819	0.545	ناڅاپه
abruptly	0.250	0.808	0.556	ناڅاپه
abscess	0.154	0.451	0.349	غدود
absence	0.153	0.235	0.266	نشتوالی
absent	0.177	0.221	0.116	غیر حاضر
absentee	0.235	0.330	0.279	غیر حاضری
absenteeism	0.404	0.273	0.357	غیر حاضری
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	مطلق
absolution	0.715	0.500	0.664	خلاصون
absolve	0.684	0.449	0.660	خلاصول
absorb	0.469	0.558	0.670	جذب
absorbed	0.490	0.471	0.519	جذب شوی
absorbent	0.552	0.394	0.718	جذب کونکی
absorbing	0.490	0.490	0.578	جذب
absorption	0.609	0.422	0.446	جذب
abstain	0.385	0.385	0.427	ډډه کول
abstention	0.271	0.264	0.509	ډډه کول
abstinence	0.260	0.392	0.429	پرهیزګاري
abstract	0.438	0.292	0.444	خلاص
abstraction	0.469	0.439	0.525	خلاصون
absurd	0.188	0.656	0.284	بې بنسټه
absurdity	0.115	0.528	0.227	بې عقلي
abundance	0.812	0.690	0.852	کثرت
abundant	0.958	0.590	0.760	ډیر
abuse	0.071	0.873	0.469	ناوړه ګټه اخیستنه
abused	0.021	0.874	0.235	ناوړه ګټه اخیستنه
abusive	0.125	0.903	0.567	ناوړه
abutment	0.500	0.265	0.616	تخریب
aby	0.385	0.452	0.368	ابی
abysmal	0.250	0.710	0.598	بې رحمه
abyss	0.353	0.725	0.296	خټک
academic	0.781	0.420	0.812	علمي
academy	0.704	0.473	0.792	اکاډمي
accede	0.698	0.510	0.537	منل
accelerant	0.643	0.844	0.802	ګړندی
accelerate	0.615	0.902	0.759	ګړندی کول
accelerated	0.610	0.812	0.682	ګړندی شوی
acceleration	0.704	0.905	0.843	سرعت
accelerator	0.593	0.830	0.812	سرعت کوونکی
accent	0.598	0.357	0.509	تلفظ
accentuate	0.673	0.556	0.667	ټینګار
accept	0.847	0.286	0.565	منل
acceptable	0.812	0.286	0.583	د منلو وړ
acceptance	0.833	0.287	0.755	منل
acceptances	0.847	0.413	0.648	منلو
access	0.714	0.472	0.567	لاسرسی
accessible	0.796	0.410	0.645	د لاسرسي وړ
accession	0.612	0.383	0.636	الحاق
accessory	0.562	0.292	0.445	لوازم
accident	0.125	0.908	0.336	حادثه
accidental	0.319	0.784	0.307	ناڅاپي
accidentally	0.333	0.741	0.333	په ناڅاپي توګه
acclaim	0.562	0.809	0.718	ستاینه
accolade	0.688	0.591	0.775	ستاینه
accommodate	0.844	0.375	0.566	ځای ورکول
accommodation	0.817	0.415	0.587	استوګنځی
accompaniment	0.740	0.479	0.695	ملګرتيا
accompany	0.833	0.406	0.585	سره
accompanying	0.787	0.460	0.582	سره
accomplice	0.408	0.580	0.510	ملګری
accomplish	0.929	0.673	0.816	سرته رسول
accomplished	0.870	0.520	0.798	بشپړ شوی
accomplishment	0.917	0.694	0.888	لاسته راوړنه
accord	0.898	0.264	0.382	موافقه
accordance	0.659	0.349	0.600	مطابق
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	حساب
accountability	0.755	0.537	0.833	حساب ورکول
accountable	0.709	0.282	0.777	حساب ورکوونکی
accountant	0.625	0.450	0.639	محاسب
accounting	0.552	0.390	0.677	محاسبه
accounts	0.592	0.340	0.471	حسابونه
accredited	0.669	0.479	0.768	تصدیق شوی
accretion	0.448	0.519	0.672	زیاتوالی
accrue	0.520	0.481	0.602	جمع کول
accueil	0.450	0.451	0.470	accuil
accumulate	0.573	0.536	0.607	جمع کول
accumulation	0.479	0.527	0.600	جمع کول
accuracy	0.604	0.481	0.802	دقت
accurate	0.743	0.360	0.737	دقیق
accursed	0.135	0.745	0.345	ملعون
accusation	0.073	0.718	0.564	تور
accusative	0.198	0.755	0.482	تورن
accuse	0.133	0.752	0.500	تورول
accused	0.130	0.670	0.420	تورن
accuser	0.122	0.779	0.615	تورن
accusing	0.156	0.745	0.324	تورنول
accustomed	0.542	0.365	0.441	عادی
ace	0.643	0.481	0.546	اکا
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	درد
achieve	0.816	0.545	0.843	لاسته راوړل
achieved	0.896	0.519	0.775	لاسته راوړل
achievement	0.896	0.808	0.759	لاسته راوړنه
aching	0.053	0.880	0.348	درد
achy	0.167	0.840	0.373	درد
acid	0.265	0.642	0.566	تیزاب
acidity	0.156	0.663	0.360	تیزابیت
acknowledge	0.786	0.370	0.661	اعتراف
acknowledged	0.714	0.443	0.765	ومنل شو
acknowledgement	0.819	0.539	0.830	اعتراف
acknowledgment	0.796	0.528	0.777	اعتراف
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	دانه
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	اکوسټیک
acoustics	0.611	0.330	0.509	صوتي
acquaint	0.646	0.491	0.639	آشنا
acquaintance	0.656	0.290	0.670	آشنا
acquainted	0.906	0.358	0.632	آشنا
acquiescence	0.542	0.480	0.554	اعتراف
acquire	0.833	0.468	0.700	ترلاسه کول
acquiring	0.735	0.510	0.817	ترلاسه کول
acquisition	0.698	0.509	0.736	استملاک
acquisitions	0.773	0.660	0.790	استملاک
acquit	0.583	0.571	0.611	برائت
acquittal	0.760	0.497	0.700	برائت
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	جریبه
acres	0.510	0.363	0.500	جریبه
acrobat	0.708	0.828	0.602	اکروبایټ
acrylic	0.582	0.279	0.420	اکریلیک
act	0.656	0.704	0.735	عمل
acting	0.698	0.643	0.500	عمل کول
action	0.760	0.898	0.802	عمل
action figure	0.615	0.774	0.611	د عمل شکل
actionable	0.673	0.702	0.613	د عمل وړ
activate	0.764	0.650	0.806	فعالول
activation	0.781	0.800	0.754	فعالول
active	0.847	0.730	0.731	فعال
activist	0.531	0.653	0.877	فعال
activity	0.701	0.660	0.807	فعالیت
actor	0.653	0.561	0.629	لوبغاړی
actress	0.633	0.556	0.596	اداکاره
actual	0.729	0.400	0.716	واقعي
actuality	0.750	0.464	0.600	حقیقت
actuary	0.510	0.404	0.491	عمل
acuity	0.469	0.378	0.741	ګړندیتوب
acumen	0.564	0.660	0.679	هوښیارتیا
acupuncture	0.531	0.324	0.549	اکوپنکچر
acute	0.427	0.652	0.534	حاد
acutely	0.417	0.543	0.491	په شدت سره
ad	0.521	0.705	0.558	اعلان
adage	0.517	0.415	0.566	متل
adamant	0.344	0.529	0.575	ثابت
adapt	0.740	0.355	0.551	تطابق
adaptable	0.735	0.423	0.641	د تطبیق وړ
adaptation	0.663	0.365	0.609	تطابق
add	0.728	0.490	0.554	اضافه کول
added	0.562	0.405	0.509	زیاته کړه
addendum	0.392	0.370	0.418	ضمیمه
adder	0.388	0.461	0.588	اضافه کونکی
addict	0.075	0.696	0.327	روږدي
addicted	0.156	0.712	0.483	روږدي
addiction	0.180	0.806	0.420	روږديتوب
addictive	0.302	0.683	0.472	روږدي
addition	0.562	0.373	0.471	اضافه
additional	0.673	0.462	0.526	اضافي
additive	0.561	0.633	0.691	اضافه کوونکی
address	0.650	0.327	0.567	پته
addressee	0.622	0.382	0.538	ادرس
addresses	0.510	0.354	0.450	پته
adept	0.594	0.539	0.789	ماهر
adequacy	0.615	0.435	0.702	کفایت
adequate	0.854	0.264	0.705	کافي
adhere	0.633	0.339	0.554	پیروي
adherence	0.760	0.307	0.630	اطاعت
adherent	0.561	0.385	0.555	منونکی
adhering	0.612	0.561	0.537	تعقیب
adhesion	0.521	0.445	0.586	چپک
adhesive	0.604	0.350	0.413	چپکونکی
adieu	0.250	0.471	0.342	الوداع
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	نږدېوالی
adjacent	0.645	0.276	0.536	څنګ ته
adjective	0.570	0.316	0.569	صفت
adjoining	0.520	0.400	0.393	نږدې
adjourn	0.385	0.456	0.475	ځنډول
adjournment	0.438	0.510	0.370	ځنډول
adjudicate	0.559	0.520	0.683	قضاوت
adjudication	0.551	0.462	0.691	قضاوت
adjunct	0.459	0.440	0.426	ملحقه
adjust	0.647	0.327	0.638	سمون
adjuster	0.510	0.540	0.760	تنظیم کونکی
adjustment	0.590	0.520	0.661	سمون
adjuvant	0.510	0.500	0.456	ملاتړ کوونکی
admin	0.688	0.420	0.854	اډمین
administer	0.635	0.425	0.860	اداره کول
administration	0.625	0.404	0.786	اداره
administrative	0.542	0.415	0.579	اداري
administrator	0.538	0.480	0.902	مدیر
admirable	0.929	0.600	0.870	د ستاینې وړ
admiral	0.844	0.490	0.847	اډمیرل
admiralty	0.594	0.547	0.733	اډمیرلټي
admiration	0.969	0.583	0.726	ستاینه
admire	0.867	0.692	0.704	ستاینه
admired	0.917	0.560	0.815	ستایل شوی
admirer	0.796	0.720	0.650	مینه وال
admiring	0.867	0.578	0.629	ستاینه کول
admissibility	0.802	0.580	0.602	د منلو وړ
admissible	0.780	0.528	0.642	د منلو وړ
admission	0.802	0.415	0.732	داخله
admit	0.538	0.423	0.667	اعتراف
admittance	0.690	0.451	0.598	اعتراف
admitted	0.720	0.490	0.767	اعتراف وکړ
admitting	0.620	0.500	0.546	اعتراف کول
admixture	0.450	0.375	0.438	مخلوط
admonition	0.357	0.606	0.455	نصیحت
ado	0.520	0.423	0.385	اډو
adobe	0.500	0.319	0.328	اډوب
adolescence	0.487	0.694	0.444	ځوانۍ
adolescent	0.781	0.680	0.509	ځوان
adopt	0.694	0.612	0.701	اخستل
adoption	0.625	0.566	0.589	اخستل
adoptive	0.531	0.469	0.520	د منلو وړ
adorable	0.969	0.519	0.457	په زړه پورې
adoration	0.885	0.699	0.708	عبادت
adore	0.854	0.438	0.657	مینه کول
adoring	0.885	0.620	0.717	مینه کول
adorn	0.910	0.424	0.482	سينګار
adornment	0.918	0.373	0.377	زینت
adrenalin	0.865	0.920	0.786	اډرینالین
adrenaline	0.765	0.965	0.825	اډرینالین
adrift	0.398	0.486	0.230	تیریدل
adult	0.815	0.491	0.787	بالغ
adulterated	0.188	0.865	0.370	زنا شوی
adulterer	0.229	0.814	0.407	زناکار
adultery	0.120	0.922	0.510	زنا
adulthood	0.541	0.454	0.652	بلوغت
advance	0.673	0.472	0.858	پرمختگ
advanced	0.844	0.623	0.797	پرمختللی
advancement	0.776	0.650	0.839	پرمختګ
advancing	0.929	0.608	0.812	پرمختګ
advantage	0.917	0.548	0.859	ګټه
advantageous	0.837	0.640	0.789	ګټور
advent	0.665	0.560	0.627	راتګ
adventure	0.917	0.857	0.710	ساہسک
adventurer	0.781	0.839	0.868	اتل
adventures	0.812	0.764	0.749	adventures
adventurous	0.969	0.898	0.722	زړور
adversary	0.349	0.777	0.457	مخالف
adverse	0.323	0.610	0.385	منفي
adversity	0.276	0.760	0.538	مصیبت
advertise	0.500	0.529	0.580	اعلان
advertisement	0.600	0.566	0.539	اعلان
advertising	0.622	0.608	0.632	اعلانونه
adverts	0.551	0.500	0.595	اعلانونه
advice	0.698	0.408	0.688	مشوره
advisable	0.867	0.480	0.510	د مشورې وړ
advise	0.760	0.393	0.705	مشوره
advised	0.823	0.330	0.509	مشوره ورکول
advisement	0.698	0.235	0.655	مشوره
adviser	0.745	0.362	0.705	مشاور
advisor	0.646	0.350	0.689	مشاور
advisory	0.656	0.429	0.633	مشورتي
advocacy	0.500	0.646	0.731	وکالت
advocate	0.551	0.530	0.818	مدافع
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	هوا ورکول
aerial	0.615	0.461	0.463	هوايي
aerobics	0.708	0.771	0.627	ایروبیک
aerodrome	0.541	0.740	0.678	هوايي ډرامه
aerodynamic	0.561	0.724	0.728	ایروډینامیک
aerodynamics	0.590	0.663	0.722	ایروډینامیک
aeronautics	0.551	0.633	0.688	هوايي چلند
aeroplane	0.714	0.642	0.644	الوتکه
aerospace	0.643	0.520	0.779	فضا
aesthetic	0.708	0.442	0.526	جمالیاتی
aesthetics	0.847	0.327	0.549	جمالیات
aetiology	0.480	0.398	0.615	ایټیولوژي
afar	0.396	0.373	0.358	لرې
affable	0.704	0.380	0.452	وړ
affair	0.520	0.459	0.657	معامله
affect	0.458	0.569	0.578	اغیزه
affecting	0.350	0.574	0.394	اغیزه کوي
affection	0.898	0.559	0.696	مینه
affectionate	0.949	0.422	0.550	مینه ناک
affections	0.760	0.547	0.655	مینه
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	اثبات
affiliated	0.673	0.519	0.535	وابسته
affiliation	0.615	0.594	0.500	تړاو
affinity	0.800	0.500	0.537	تړاو
affirm	0.745	0.509	0.731	تایید
affirmation	0.750	0.500	0.689	تایید
affirmative	0.854	0.589	0.816	مثبت
affirmatively	0.908	0.500	0.811	په مثبت ډول
affix	0.438	0.335	0.411	نښلول
afflict	0.302	0.555	0.293	مصیبت
afflicted	0.271	0.500	0.167	اخته
affliction	0.294	0.635	0.392	رنځ
affluence	0.663	0.618	0.722	بډایه
affluent	0.756	0.388	0.477	بډایه
afford	0.571	0.580	0.575	توان لري
affordable	0.840	0.398	0.493	ارزانه
affront	0.327	0.740	0.547	سپکاوی
affronted	0.385	0.750	0.527	سپکاوی شوی
afield	0.594	0.370	0.373	لرې
afire	0.367	0.904	0.675	یو اور
afloat	0.602	0.427	0.444	بېړۍ
afore	0.500	0.337	0.382	مخکې
aforementioned	0.490	0.316	0.408	پورته ذکر شوی
aforesaid	0.531	0.358	0.478	پورته
afraid	0.010	0.775	0.245	ډار
afresh	0.643	0.521	0.480	تازه
aft	0.480	0.417	0.518	شاته
afterlife	0.571	0.567	0.568	وروسته ژوند
aftermath	0.312	0.449	0.444	وروسته
afternoon	0.533	0.388	0.339	ماسپښین
aftershave	0.406	0.384	0.415	وروسته شیف
aftertaste	0.354	0.362	0.455	وروسته خوند
afterthought	0.396	0.392	0.349	وروسته فکر
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	عقیق
age	0.561	0.226	0.498	عمر
aged	0.135	0.365	0.236	زوړ
agency	0.460	0.296	0.583	اداره
agenda	0.531	0.296	0.553	اجنډا
agent	0.480	0.439	0.755	اجنټ
agglomeration	0.450	0.765	0.509	جمع
aggravate	0.224	0.770	0.464	زیاتول
aggravated	0.079	0.760	0.430	زیات شوی
aggravates	0.108	0.778	0.357	زیاتیږي
aggravating	0.257	0.794	0.640	ځورونکي
aggravation	0.071	0.784	0.613	اضطراب
aggregate	0.730	0.378	0.556	مجموعي
aggregation	0.583	0.517	0.694	مجموعه
aggresive	0.059	0.971	0.639	تیریدونکی
aggression	0.094	0.929	0.533	یرغل
aggressive	0.125	0.949	0.648	تیریدونکی
aggressively	0.250	0.926	0.688	په زوره
aggressiveness	0.077	0.913	0.648	تیریدنه
aggressor	0.146	0.948	0.823	یرغلګر
agh	0.260	0.500	0.400	اغ
aghast	0.133	0.865	0.464	حیران
aghhh	0.281	0.635	0.243	اژه
agile	0.800	0.657	0.775	چټک
agility	0.720	0.702	0.815	چټکتیا
aging	0.214	0.255	0.284	زړښت
agitate	0.300	0.796	0.593	تحرک
agitated	0.444	0.882	0.491	قهرجن
agitation	0.240	0.931	0.447	خوځښت
aglow	0.780	0.510	0.797	ځلانده
agnostic	0.306	0.396	0.574	اګنوسټیک
ago	0.317	0.280	0.404	مخکې
agonizing	0.083	0.800	0.340	دردناک
agony	0.083	0.775	0.393	درد
agoraphobia	0.127	0.712	0.438	اراورفوبیا
agree	0.906	0.260	0.545	موافق
agreeable	0.906	0.500	0.696	د منلو وړ
agreed	0.797	0.449	0.574	موافقه وکړه
agreeing	0.854	0.480	0.557	موافقه
agreement	0.760	0.440	0.736	تړون
agressive	0.083	0.918	0.751	تیریدونکی
agricultural	0.686	0.321	0.473	زراعتي
agriculture	0.640	0.357	0.465	کرنه
aground	0.333	0.340	0.445	په ځمکه
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	مخکې
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	مرسته
aide	0.724	0.342	0.434	مرستندویه
aiding	0.643	0.533	0.569	مرسته کول
aids	0.561	0.480	0.500	مرستې
ail	0.375	0.434	0.385	ناروغ
ailing	0.094	0.518	0.153	ناروغ
ailment	0.146	0.734	0.277	ناروغي
aim	0.481	0.569	0.567	هدف
aimless	0.150	0.267	0.183	بې هدفه
air	0.708	0.163	0.427	هوا
airbag	0.510	0.402	0.433	هوايي کڅوړه
airborne	0.542	0.519	0.385	هوایی
aircraft	0.646	0.644	0.691	الوتکې
aircraft carrier	0.490	0.740	0.727	الوتکه وړونکې
airfield	0.601	0.650	0.645	هوايي ډګر
airhead	0.271	0.481	0.276	هوايي سر
airlift	0.573	0.622	0.642	هوايي پورته کول
airline	0.650	0.482	0.688	هوايي کرښه
airliner	0.667	0.777	0.647	الوتکه
airlock	0.398	0.520	0.447	هوايي بند
airman	0.587	0.716	0.721	هوايي ډګروال
airplane	0.719	0.702	0.708	الوتکه
airport	0.729	0.684	0.682	هوايي ډګر
airs	0.583	0.196	0.370	هوا
airship	0.542	0.472	0.529	هوايي بېړۍ
airspace	0.562	0.510	0.640	هوایی ډګر
airspeed	0.583	0.780	0.544	د هوا سرعت
airstrip	0.550	0.690	0.649	هوايي ډنډه
airtight	0.479	0.381	0.570	هوا بنده
airway	0.638	0.585	0.482	هوایی لاره
aisle	0.438	0.222	0.283	لياره
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ازار
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	یو شان
alabaster	0.542	0.404	0.445	الابستر
alarm	0.241	0.882	0.698	الارم
alarm clock	0.542	0.727	0.642	د الارم ساعت
alarmed	0.188	0.822	0.492	وېرېدلی
alarming	0.204	0.890	0.585	خطرناک
alas	0.571	0.310	0.279	افسوس
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	البینو
album	0.635	0.349	0.453	البوم
alchemy	0.541	0.583	0.693	کیمیا
alcohol	0.323	0.667	0.377	الکول
alcoholic	0.153	0.688	0.361	الکولي
alcoholism	0.061	0.779	0.407	الکوليزم
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	خبرتیا
alertness	0.375	0.875	0.750	خبرتیا
alerts	0.337	0.804	0.673	خبرتیاوې
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	الجبرا
algebraic	0.531	0.412	0.441	الجبریک
algorithm	0.448	0.394	0.559	الګوریتم
alias	0.541	0.353	0.333	عرف
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	اجنبی
alienate	0.247	0.500	0.523	بې ځایه کول
alienated	0.410	0.423	0.559	بې ځایه
alienation	0.378	0.530	0.462	بیځایه کیدل
alight	0.667	0.657	0.605	ښکته
align	0.656	0.364	0.627	سمون
aligned	0.583	0.275	0.553	ترتیب شوی
alignment	0.643	0.412	0.683	سمون
alike	0.653	0.173	0.444	یو شان
alimentation	0.781	0.551	0.602	تغذیه
alimony	0.612	0.477	0.464	تاوان
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	ژوندی
alkali	0.490	0.350	0.408	الکلي
alkaloids	0.433	0.562	0.402	الکلایډونه
allay	0.417	0.406	0.398	لرې کول
allegation	0.578	0.578	0.608	تور
allege	0.418	0.482	0.587	ادعا
alleged	0.365	0.522	0.520	تور
allegiance	0.917	0.398	0.750	وفاداري
allegorical	0.517	0.558	0.598	تمثيل
allegory	0.615	0.580	0.509	تمثیل
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	الرجی
allergy	0.296	0.606	0.389	الرجی
alleviate	0.869	0.270	0.528	کمول
alleviation	0.735	0.200	0.491	تخفیف
alley	0.347	0.500	0.355	کوڅه
alleyway	0.357	0.471	0.382	کوڅه
alliance	0.696	0.473	0.769	اتحاد
allied	0.714	0.245	0.642	متحد
alligator	0.354	0.704	0.645	الیګیټر
allocate	0.673	0.462	0.672	تخصیص
allocation	0.604	0.388	0.679	تخصیص
allot	0.622	0.481	0.616	تخصیص
allotment	0.600	0.390	0.640	تخصیص
allow	0.698	0.429	0.538	اجازه
allowable	0.698	0.500	0.561	د منلو وړ
allowance	0.673	0.382	0.591	تخصیص
allowed	0.730	0.360	0.655	اجازه
alloy	0.583	0.443	0.593	مصر
allsmiles	0.786	0.528	0.430	موسکا
allure	0.804	0.585	0.686	جذب
alluring	0.837	0.745	0.843	زړه راښکونکی
allusion	0.440	0.308	0.462	اشاره
alluvial	0.323	0.490	0.491	جغل
ally	0.792	0.320	0.688	ملګری
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	قادر مطلق
almond	0.698	0.183	0.314	بادام
aloft	0.771	0.373	0.700	لوړ
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	یوازې
alongside	0.458	0.333	0.347	تر څنګ
aloof	0.189	0.423	0.302	لرې
aloud	0.458	0.713	0.750	په لوړ غږ
alpha	0.708	0.340	0.755	الفا
alphabet	0.562	0.204	0.672	الفبا
alphabetical	0.537	0.296	0.535	الفبا
alpine	0.594	0.337	0.474	الپین
alreadyyyyy	0.592	0.717	0.351	دمخه
altar	0.724	0.387	0.635	قربانګاه
altar boy	0.434	0.206	0.350	د قربانۍ هلک
alter	0.333	0.694	0.654	بدلون
alteration	0.167	0.798	0.609	بدلون
altercation	0.170	0.806	0.500	شخړه
altered	0.255	0.765	0.500	بدل شوی
alternate	0.625	0.363	0.589	بدیل
alternating	0.480	0.494	0.542	بدیل
alternative	0.628	0.373	0.631	بدیل
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	لوړوالی
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	په ټولیز ډول
aluminum	0.449	0.280	0.434	المونیم
alumnus	0.633	0.368	0.422	مخکنی
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	الزایمر
amalgam	0.438	0.333	0.510	املګام
amalgamation	0.406	0.470	0.531	یوځای کیدل
amaretto	0.543	0.551	0.375	امیرټو
amass	0.552	0.465	0.465	راټولول
amateur	0.469	0.500	0.409	شوقي
amaze	0.896	0.843	0.783	حیران
amazed	0.796	0.779	0.533	حیران
amazedness	0.827	0.872	0.510	حیرانتیا
amazement	0.750	0.800	0.639	حیرانتیا
amazing	0.906	0.837	0.849	حیرانوونکی
amazingly	0.918	0.765	0.920	په حیرانتیا سره
ambassador	0.651	0.529	0.917	سفیر
amber	0.635	0.308	0.369	امبر
ambience	0.735	0.356	0.426	فضا
ambient	0.625	0.360	0.582	محیط
ambiguity	0.164	0.460	0.370	ابهام
ambiguous	0.265	0.462	0.358	مبهم
ambit	0.479	0.380	0.386	حد
ambition	0.510	0.804	0.661	ارمان
ambitious	0.484	0.821	0.717	هوښیار
ambivalent	0.510	0.404	0.482	دوه اړخیز
ambrosia	0.571	0.452	0.480	امبروزیا
ambulance	0.500	0.750	0.609	امبولانس
ambush	0.281	0.830	0.500	برید
ameliorate	0.770	0.548	0.747	ښه کول
amen	0.781	0.182	0.542	آمین
amenable	0.448	0.410	0.406	د منلو وړ
amend	0.688	0.406	0.658	تعدیل
amendment	0.531	0.459	0.606	تعدیل
amends	0.640	0.366	0.517	تعدیل
amenity	0.750	0.327	0.574	اسانتیا
amethyst	0.622	0.406	0.517	نیلم
amiable	0.847	0.290	0.483	دوستانه
amicable	0.875	0.330	0.507	دوستانه
amid	0.510	0.340	0.256	په منځ کې
amidst	0.480	0.330	0.316	په منځ کې
amino	0.551	0.402	0.433	امینو
ammo	0.323	0.765	0.621	مهمات
ammonia	0.292	0.587	0.409	امونیا
ammonium	0.354	0.396	0.368	امونیم
ammunition	0.338	0.635	0.667	مهمات
amnesia	0.296	0.330	0.308	امینیزیا
amnesty	0.551	0.451	0.814	بخښنه
amorous	0.844	0.670	0.636	مینه ناک
amorphous	0.327	0.402	0.349	بې شکله
amortization	0.592	0.491	0.522	معافیت
amount	0.562	0.422	0.649	مقدار
amour	0.865	0.480	0.652	مینه
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	امپرسینډ
amphetamines	0.133	0.667	0.526	امفیتامین
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	امفیبیو
amphitheater	0.653	0.480	0.545	امفیتیټر
ample	0.744	0.349	0.719	کافي
amplification	0.690	0.677	0.810	پراخوالی
amplify	0.677	0.735	0.827	پراخول
amplitude	0.694	0.439	0.692	طول البلد
amply	0.781	0.431	0.766	په پراخه توګه
amputate	0.092	0.660	0.509	قطع کول
amputation	0.100	0.755	0.483	قطع کول
amuck	0.385	0.602	0.321	خندا
amulet	0.781	0.260	0.630	تعویذ
amuse	0.812	0.684	0.664	تفریح
amused	0.942	0.847	0.596	خوشاله
amusement	0.929	0.837	0.803	تفریح
amusing	0.960	0.829	0.632	په زړه پورې
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	اناکونډا
anaesthesia	0.350	0.217	0.473	انستیزیا
anaesthetic	0.449	0.268	0.509	انستیکیا
