English Word	Valence	Arousal	Dominance	Belarusian Word
accident	0.125	0.908	0.336	няшчасны выпадак
accidental	0.319	0.784	0.307	выпадковая
accidentally	0.333	0.741	0.333	выпадкова
acclaim	0.562	0.809	0.718	прызнанне
accolade	0.688	0.591	0.775	пахвала
accommodate	0.844	0.375	0.566	размяшчаць
accommodation	0.817	0.415	0.587	пражыванне
accompaniment	0.740	0.479	0.695	суправаджэнне
accompany	0.833	0.406	0.585	суправаджаць
accompanying	0.787	0.460	0.582	суправаджальны
accomplice	0.408	0.580	0.510	саўдзельнік
accomplish	0.929	0.673	0.816	выканаць
accomplished	0.870	0.520	0.798	выканана
accomplishment	0.917	0.694	0.888	дасягненне
accord	0.898	0.264	0.382	згода
accordance	0.659	0.349	0.600	адпаведнасці
accordion	0.604	0.490	0.361	акардэон
account	0.531	0.347	0.472	рахунак
accountability	0.755	0.537	0.833	падсправаздачнасць
accountable	0.709	0.282	0.777	падсправаздачны
accountant	0.625	0.450	0.639	бухгалтар
accounting	0.552	0.390	0.677	бухгалтэрыя
accounts	0.592	0.340	0.471	рахункі
accredited	0.669	0.479	0.768	акрэдытаваны
accretion	0.448	0.519	0.672	нарастанне
accrue	0.520	0.481	0.602	налічаць
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	назапашваць
accumulation	0.479	0.527	0.600	назапашванне
accuracy	0.604	0.481	0.802	дакладнасць
accurate	0.743	0.360	0.737	дакладны
accursed	0.135	0.745	0.345	пракляты
accusation	0.073	0.718	0.564	абвінавачванне
accusative	0.198	0.755	0.482	вінавальны склон
accuse	0.133	0.752	0.500	абвінавачваць
accused	0.130	0.670	0.420	абвінавачаны
accuser	0.122	0.779	0.615	абвінаваўца
accusing	0.156	0.745	0.324	абвінавачваючы
accustomed	0.542	0.365	0.441	прызвычаіліся
ace	0.643	0.481	0.546	туз
acetic	0.333	0.420	0.519	воцатная
acetylene	0.306	0.469	0.509	ацэтылен
ache	0.146	0.760	0.312	балець
achieve	0.816	0.545	0.843	дасягнуць
achieved	0.896	0.519	0.775	дасягнуты
achievement	0.896	0.808	0.759	дасягненне
aching	0.053	0.880	0.348	ныючы
achy	0.167	0.840	0.373	балючы
acid	0.265	0.642	0.566	кіслата
acidity	0.156	0.663	0.360	кіслотнасць
acknowledge	0.786	0.370	0.661	прызнаць
acknowledged	0.714	0.443	0.765	прызнаў
acknowledgement	0.819	0.539	0.830	прызнанне
acknowledgment	0.796	0.528	0.777	прызнанне
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	вугры
acorn	0.448	0.198	0.192	жолуд
acoustic	0.542	0.462	0.536	акустычны
acoustics	0.611	0.330	0.509	акустыка
acquaint	0.646	0.491	0.639	знаёміць
acquaintance	0.656	0.290	0.670	знаёмства
acquainted	0.906	0.358	0.632	знаёмыя
acquiescence	0.542	0.480	0.554	пагадлівасць
acquire	0.833	0.468	0.700	набываць
acquiring	0.735	0.510	0.817	набыццё
acquisition	0.698	0.509	0.736	набыццё
acquisitions	0.773	0.660	0.790	набыткі
acquit	0.583	0.571	0.611	апраўдаць
acquittal	0.760	0.497	0.700	апраўдальны прысуд
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	пасяўная плошча
acres	0.510	0.363	0.500	акраў
acrobat	0.708	0.828	0.602	акрабат
acrylic	0.582	0.279	0.420	акрылавыя
act	0.656	0.704	0.735	дзейнічаць
acting	0.698	0.643	0.500	акцёрскі
action	0.760	0.898	0.802	дзеянне
action figure	0.615	0.774	0.611	фігурка
actionable	0.673	0.702	0.613	дзейсныя
activate	0.764	0.650	0.806	актываваць
activation	0.781	0.800	0.754	актывацыя
active	0.847	0.730	0.731	актыўны
activist	0.531	0.653	0.877	дзеяч
activity	0.701	0.660	0.807	дзейнасць
actor	0.653	0.561	0.629	акцёр
actress	0.633	0.556	0.596	актрыса
actual	0.729	0.400	0.716	фактычны
actuality	0.750	0.464	0.600	актуальнасць
actuary	0.510	0.404	0.491	актуарый
acuity	0.469	0.378	0.741	вастрыня
acumen	0.564	0.660	0.679	праніклівасць
acupuncture	0.531	0.324	0.549	іглаўколванне
acute	0.427	0.652	0.534	востры
acutely	0.417	0.543	0.491	востра
ad	0.521	0.705	0.558	рэклама
adage	0.517	0.415	0.566	прыказка
adamant	0.344	0.529	0.575	непахісны
adapt	0.740	0.355	0.551	адаптаваць
adaptable	0.735	0.423	0.641	адаптыўны
adaptation	0.663	0.365	0.609	адаптацыя
add	0.728	0.490	0.554	дадаць
added	0.562	0.405	0.509	дададзены
addendum	0.392	0.370	0.418	дадатак
adder	0.388	0.461	0.588	суматар
addict	0.075	0.696	0.327	наркаман
addicted	0.156	0.712	0.483	залежны
addiction	0.180	0.806	0.420	наркаманія
addictive	0.302	0.683	0.472	выклікае залежнасць
addition	0.562	0.373	0.471	дадатак
additional	0.673	0.462	0.526	дадатковыя
additive	0.561	0.633	0.691	дабаўка
address	0.650	0.327	0.567	адрас
addressee	0.622	0.382	0.538	адрасат
addresses	0.510	0.354	0.450	адрасы
adept	0.594	0.539	0.789	адэпт
adequacy	0.615	0.435	0.702	адэкватнасць
adequate	0.854	0.264	0.705	адэкватны
adhere	0.633	0.339	0.554	прытрымлівацца
adherence	0.760	0.307	0.630	прыхільнасць
adherent	0.561	0.385	0.555	адэпт
adhering	0.612	0.561	0.537	прытрымліваючыся
adhesion	0.521	0.445	0.586	адгезія
adhesive	0.604	0.350	0.413	клейкі
adieu	0.250	0.471	0.342	развітанне
adipose	0.333	0.350	0.391	тлушчавай
adjacency	0.365	0.417	0.375	сумежнасць
adjacent	0.645	0.276	0.536	сумежныя
adjective	0.570	0.316	0.569	прыметнік
adjoining	0.520	0.400	0.393	прылеглыя
adjourn	0.385	0.456	0.475	адкласці
adjournment	0.438	0.510	0.370	адтэрміноўка
adjudicate	0.559	0.520	0.683	вынесці прысуд
adjudication	0.551	0.462	0.691	вынясенне судовага рашэння
adjunct	0.459	0.440	0.426	дапаўненне
adjust	0.647	0.327	0.638	наладзіць
adjuster	0.510	0.540	0.760	наладчык
adjustment	0.590	0.520	0.661	карэкціроўка
adjuvant	0.510	0.500	0.456	ад'ювант
admin	0.688	0.420	0.854	адмін
administer	0.635	0.425	0.860	адміністраваць
administration	0.625	0.404	0.786	адміністрацыі
administrative	0.542	0.415	0.579	адміністрацыйны
administrator	0.538	0.480	0.902	адміністратар
admirable	0.929	0.600	0.870	варты захаплення
admiral	0.844	0.490	0.847	адмірал
admiralty	0.594	0.547	0.733	адміралцейства
admiration	0.969	0.583	0.726	захапленне
admire	0.867	0.692	0.704	захапляцца
admired	0.917	0.560	0.815	захапляўся
admirer	0.796	0.720	0.650	прыхільнік
admiring	0.867	0.578	0.629	захапляючыся
admissibility	0.802	0.580	0.602	дапушчальнасць
admissible	0.780	0.528	0.642	дапушчальны
admission	0.802	0.415	0.732	допуск
admit	0.538	0.423	0.667	прызнаць
admittance	0.690	0.451	0.598	допуск
admitted	0.720	0.490	0.767	прызнаўся
admitting	0.620	0.500	0.546	дапускаючы
admixture	0.450	0.375	0.438	прымешка
admonition	0.357	0.606	0.455	папярэджанне
ado	0.520	0.423	0.385	шумна
adobe	0.500	0.319	0.328	глінабітны
adolescence	0.487	0.694	0.444	падлеткавы ўзрост
adolescent	0.781	0.680	0.509	падлеткавы
adopt	0.694	0.612	0.701	прыняць
adoption	0.625	0.566	0.589	усынаўленне
adoptive	0.531	0.469	0.520	прыёмны
adorable	0.969	0.519	0.457	чароўная
adoration	0.885	0.699	0.708	пакланенне
adore	0.854	0.438	0.657	абажаць
adoring	0.885	0.620	0.717	пакланяючыся
adorn	0.910	0.424	0.482	упрыгожваць
adornment	0.918	0.373	0.377	ўпрыгожванне
adrenalin	0.865	0.920	0.786	адрэналін
adrenaline	0.765	0.965	0.825	адрэналін
adrift	0.398	0.486	0.230	па плыні
adult	0.815	0.491	0.787	дарослы
adulterated	0.188	0.865	0.370	фальсіфікаваны
adulterer	0.229	0.814	0.407	пералюбнік
adultery	0.120	0.922	0.510	пералюб
adulthood	0.541	0.454	0.652	паўналецце
advance	0.673	0.472	0.858	загадзя
advanced	0.844	0.623	0.797	прасунуты
advancement	0.776	0.650	0.839	прасоўванне
advancing	0.929	0.608	0.812	прасоўванне наперад
advantage	0.917	0.548	0.859	перавага
advantageous	0.837	0.640	0.789	выгадна
advent	0.665	0.560	0.627	адвэнт
adventure	0.917	0.857	0.710	прыгодніцкі
adventurer	0.781	0.839	0.868	авантурыст
adventures	0.812	0.764	0.749	прыгоды
adventurous	0.969	0.898	0.722	авантурны
adversary	0.349	0.777	0.457	праціўнік
adverse	0.323	0.610	0.385	неспрыяльны
adversity	0.276	0.760	0.538	нягоды
advertise	0.500	0.529	0.580	рэкламаваць
advertisement	0.600	0.566	0.539	рэклама
advertising	0.622	0.608	0.632	рэклама
adverts	0.551	0.500	0.595	аб'явы
advice	0.698	0.408	0.688	парады
advisable	0.867	0.480	0.510	мэтазгодна
advise	0.760	0.393	0.705	параіць
advised	0.823	0.330	0.509	параілі
advisement	0.698	0.235	0.655	парады
adviser	0.745	0.362	0.705	дарадца
advisor	0.646	0.350	0.689	дарадца
advisory	0.656	0.429	0.633	кансультацыйны
advocacy	0.500	0.646	0.731	прапаганда
advocate	0.551	0.530	0.818	адвакат
aegis	0.490	0.439	0.462	эгіда
aeration	0.550	0.500	0.433	аэрацыя
aerial	0.615	0.461	0.463	паветраны
aerobics	0.708	0.771	0.627	аэробіка
aerodrome	0.541	0.740	0.678	аэрадром
aerodynamic	0.561	0.724	0.728	аэрадынамічны
aerodynamics	0.590	0.663	0.722	аэрадынаміка
aeronautics	0.551	0.633	0.688	паветраплаванне
aeroplane	0.714	0.642	0.644	самалёт
aerospace	0.643	0.520	0.779	аэракасмічны
aesthetic	0.708	0.442	0.526	эстэтычны
aesthetics	0.847	0.327	0.549	эстэтыка
aetiology	0.480	0.398	0.615	этыялогія
afar	0.396	0.373	0.358	здалёк
affable	0.704	0.380	0.452	прыветлівы
affair	0.520	0.459	0.657	справа
affect	0.458	0.569	0.578	паўплываць
affecting	0.350	0.574	0.394	якія ўплываюць
affection	0.898	0.559	0.696	прыхільнасць
affectionate	0.949	0.422	0.550	ласкавы
affections	0.760	0.547	0.655	прыхільнасці
affiche	0.479	0.265	0.402	афіча
affidavit	0.469	0.584	0.526	афідэвіт
affiliated	0.673	0.519	0.535	афіляваныя
affiliation	0.615	0.594	0.500	прыналежнасць
affinity	0.800	0.500	0.537	сваяцтва
affirm	0.745	0.509	0.731	пацвердзіць
affirmation	0.750	0.500	0.689	зацвярджэнне
affirmative	0.854	0.589	0.816	сцвярджальны
affirmatively	0.908	0.500	0.811	сцвярджальна
affix	0.438	0.335	0.411	афікс
afflict	0.302	0.555	0.293	пакутаваць
afflicted	0.271	0.500	0.167	пакутуе
affliction	0.294	0.635	0.392	пакута
affluence	0.663	0.618	0.722	заможнасць
affluent	0.756	0.388	0.477	заможны
afford	0.571	0.580	0.575	дазволіць сабе
affordable	0.840	0.398	0.493	даступны па цане
affront	0.327	0.740	0.547	абражаць
affronted	0.385	0.750	0.527	абражаны
afield	0.594	0.370	0.373	за мяжой
afire	0.367	0.904	0.675	агонь
afloat	0.602	0.427	0.444	на плаву
afore	0.500	0.337	0.382	раней
aforementioned	0.490	0.316	0.408	вышэйзгаданы
aforesaid	0.531	0.358	0.478	вышэйсказанае
afraid	0.010	0.775	0.245	баяцца
afresh	0.643	0.521	0.480	нанова
aft	0.480	0.417	0.518	кармавой
afterlife	0.571	0.567	0.568	замагільнае жыццё
aftermath	0.312	0.449	0.444	наступствы
afternoon	0.533	0.388	0.339	днём
aftershave	0.406	0.384	0.415	сродак пасля галення
aftertaste	0.354	0.362	0.455	послевкусіе
afterthought	0.396	0.392	0.349	запозненая думка
aga	0.542	0.327	0.398	ага
agape	0.612	0.529	0.464	агапе
agate	0.540	0.377	0.483	агат
age	0.561	0.226	0.498	ўзрост
aged	0.135	0.365	0.236	ва ўзросце
agency	0.460	0.296	0.583	агенцтва
agenda	0.531	0.296	0.553	парадак дня
agent	0.480	0.439	0.755	агент
agglomeration	0.450	0.765	0.509	агламерацыя
aggravate	0.224	0.770	0.464	пагоршыць
aggravated	0.079	0.760	0.430	абвастрылася
aggravates	0.108	0.778	0.357	пагаршае
aggravating	0.257	0.794	0.640	абцяжарваючы
aggravation	0.071	0.784	0.613	абвастрэнне
aggregate	0.730	0.378	0.556	агрэгат
aggregation	0.583	0.517	0.694	агрэгацыя
aggresive	0.059	0.971	0.639	агрэсіўны
aggression	0.094	0.929	0.533	агрэсія
aggressive	0.125	0.949	0.648	агрэсіўны
aggressively	0.250	0.926	0.688	агрэсіўна
aggressiveness	0.077	0.913	0.648	агрэсіўнасць
aggressor	0.146	0.948	0.823	агрэсар
agh	0.260	0.500	0.400	ага
aghast	0.133	0.865	0.464	у жаху
aghhh	0.281	0.635	0.243	агахх
agile	0.800	0.657	0.775	спрытны
agility	0.720	0.702	0.815	спрыт
aging	0.214	0.255	0.284	старэнне
agitate	0.300	0.796	0.593	агітаваць
agitated	0.444	0.882	0.491	усхваляваны
agitation	0.240	0.931	0.447	агітацыя
aglow	0.780	0.510	0.797	свяціцца
agnostic	0.306	0.396	0.574	агностык
ago	0.317	0.280	0.404	таму
agonizing	0.083	0.800	0.340	пакутлівы
agony	0.083	0.775	0.393	агонія
agoraphobia	0.127	0.712	0.438	агарафобія
agree	0.906	0.260	0.545	згодны
agreeable	0.906	0.500	0.696	згодны
agreed	0.797	0.449	0.574	пагадзіўся
agreeing	0.854	0.480	0.557	згаджаючыся
agreement	0.760	0.440	0.736	пагадненне
agressive	0.083	0.918	0.751	агрэсіўны
agricultural	0.686	0.321	0.473	сельскагаспадарчы
agriculture	0.640	0.357	0.465	сельская гаспадарка
aground	0.333	0.340	0.445	на мель
agua	0.598	0.180	0.436	агуа
ahead	0.708	0.520	0.673	наперадзе
ahhh	0.562	0.517	0.241	аххх
ahhhhhhhh	0.552	0.649	0.288	ахххххххх
ahoy	0.500	0.497	0.380	эй
aid	0.796	0.491	0.541	дапамога
aide	0.724	0.342	0.434	памочнік
aiding	0.643	0.533	0.569	аказанне дапамогі
aids	0.561	0.480	0.500	дапаможнікі
ail	0.375	0.434	0.385	хворы
ailing	0.094	0.518	0.153	хворы
ailment	0.146	0.734	0.277	недамаганне
aim	0.481	0.569	0.567	мэта
aimless	0.150	0.267	0.183	бязмэтны
air	0.708	0.163	0.427	паветра
airbag	0.510	0.402	0.433	падушка бяспекі
airborne	0.542	0.519	0.385	паветрана-дэсантны
aircraft	0.646	0.644	0.691	самалёт
aircraft carrier	0.490	0.740	0.727	авіяносец
airfield	0.601	0.650	0.645	аэрадром
airhead	0.271	0.481	0.276	паветраная галоўка
airlift	0.573	0.622	0.642	паветраны транспарт
airline	0.650	0.482	0.688	авіякампанія
airliner	0.667	0.777	0.647	авіялайнер
airlock	0.398	0.520	0.447	шлюз
airman	0.587	0.716	0.721	лётчык
airplane	0.719	0.702	0.708	самалёт
airport	0.729	0.684	0.682	аэрапорт
airs	0.583	0.196	0.370	эфіры
airship	0.542	0.472	0.529	дырыжабль
airspace	0.562	0.510	0.640	паветраная прастора
airspeed	0.583	0.780	0.544	хуткасць паветра
airstrip	0.550	0.690	0.649	узлётна-пасадачная паласа
airtight	0.479	0.381	0.570	герметычны
airway	0.638	0.585	0.482	дыхальныя шляхі
aisle	0.438	0.222	0.283	праход
ait	0.385	0.390	0.402	аіт
ajar	0.460	0.413	0.446	прыадчынены
aka	0.459	0.358	0.351	ака
akin	0.639	0.343	0.523	падобны
alabaster	0.542	0.404	0.445	алебастр
alarm	0.241	0.882	0.698	сігналізацыя
alarm clock	0.542	0.727	0.642	будзільнік
alarmed	0.188	0.822	0.492	устрывожаны
alarming	0.204	0.890	0.585	трывожны
alas	0.571	0.310	0.279	нажаль
alb	0.521	0.380	0.427	альб
albatross	0.500	0.445	0.527	альбатрос
albino	0.500	0.240	0.358	альбіносы
album	0.635	0.349	0.453	альбом
alchemy	0.541	0.583	0.693	алхімія
alcohol	0.323	0.667	0.377	алкаголь
alcoholic	0.153	0.688	0.361	алкаголік
alcoholism	0.061	0.779	0.407	алкагалізм
alcove	0.490	0.340	0.356	алькоў
alderman	0.550	0.459	0.691	альдэрман
ale	0.530	0.450	0.358	эль
alert	0.479	0.820	0.648	абвестка
alertness	0.375	0.875	0.750	насцярожанасць
alerts	0.337	0.804	0.673	абвесткі
alfalfa	0.546	0.250	0.311	люцэрна
algebra	0.440	0.340	0.565	алгебры
algebraic	0.531	0.412	0.441	алгебраічны
algorithm	0.448	0.394	0.559	алгарытм
alias	0.541	0.353	0.333	псеўданім
alibi	0.396	0.528	0.556	алібі
alien	0.410	0.615	0.491	іншапланецянін
alienate	0.247	0.500	0.523	адчужаць
alienated	0.410	0.423	0.559	адчужана
alienation	0.378	0.530	0.462	адчужэнне
alight	0.667	0.657	0.605	гарыць
align	0.656	0.364	0.627	выраўнаваць
aligned	0.583	0.275	0.553	выраўнаваны
alignment	0.643	0.412	0.683	выраўноўванне
alike	0.653	0.173	0.444	падобныя
alimentation	0.781	0.551	0.602	харчаванне
alimony	0.612	0.477	0.464	аліменты
aliquot	0.440	0.310	0.404	аліквота
alive	0.816	0.637	0.731	жывы
alkali	0.490	0.350	0.408	шчолач
alkaloids	0.433	0.562	0.402	алкалоідаў
allay	0.417	0.406	0.398	развеяць
allegation	0.578	0.578	0.608	зацвярджэнне
allege	0.418	0.482	0.587	сцвярджаць
alleged	0.365	0.522	0.520	нібыта
allegiance	0.917	0.398	0.750	вернасць
allegorical	0.517	0.558	0.598	алегарычны
allegory	0.615	0.580	0.509	алегорыя
allegro	0.635	0.627	0.453	алегра
allergic	0.135	0.549	0.273	алергічныя
allergy	0.296	0.606	0.389	алергія
alleviate	0.869	0.270	0.528	палегчыць
alleviation	0.735	0.200	0.491	палягчэнне
alley	0.347	0.500	0.355	алея
alleyway	0.357	0.471	0.382	алея
alliance	0.696	0.473	0.769	альянс
allied	0.714	0.245	0.642	саюзныя
alligator	0.354	0.704	0.645	алігатар
allocate	0.673	0.462	0.672	вылучаць
allocation	0.604	0.388	0.679	вылучэнне
allot	0.622	0.481	0.616	надзяляць
allotment	0.600	0.390	0.640	надзел
allow	0.698	0.429	0.538	дазволіць
allowable	0.698	0.500	0.561	дапушчальна
allowance	0.673	0.382	0.591	дапаможнік
allowed	0.730	0.360	0.655	дазволены
alloy	0.583	0.443	0.593	сплаў
allsmiles	0.786	0.528	0.430	усе ўсміхаюцца
allure	0.804	0.585	0.686	прывабнасць
alluring	0.837	0.745	0.843	вабны
allusion	0.440	0.308	0.462	алюзія
alluvial	0.323	0.490	0.491	алювіяльны
ally	0.792	0.320	0.688	саюзнік
almanac	0.688	0.190	0.412	альманах
almighty	0.938	0.874	0.958	усемагутны
almond	0.698	0.183	0.314	міндаль
aloft	0.771	0.373	0.700	на вышыні
aloha	0.698	0.440	0.441	прывітанне
alone	0.333	0.167	0.216	адна
alongside	0.458	0.333	0.347	побач
aloof	0.189	0.423	0.302	у баку
aloud	0.458	0.713	0.750	услых
alpha	0.708	0.340	0.755	альфа
alphabet	0.562	0.204	0.672	алфавіт
alphabetical	0.537	0.296	0.535	алфавітны
alpine	0.594	0.337	0.474	альпійская
alreadyyyyy	0.592	0.717	0.351	ужо ыыыы
altar	0.724	0.387	0.635	алтар
altar boy	0.434	0.206	0.350	алтарнік
alter	0.333	0.694	0.654	змяніць
alteration	0.167	0.798	0.609	пераробка
altercation	0.170	0.806	0.500	сварка
altered	0.255	0.765	0.500	зменены
alternate	0.625	0.363	0.589	чаргаваць
alternating	0.480	0.494	0.542	якія чаргуюцца
alternative	0.628	0.373	0.631	альтэрнатыва
altimeter	0.615	0.510	0.580	вышынямер
altitude	0.708	0.482	0.736	вышыня над узроўнем мора
alto	0.656	0.404	0.730	альт
altogether	0.833	0.324	0.644	увогуле
aluminum	0.449	0.280	0.434	алюміній
alumnus	0.633	0.368	0.422	выпускнік
alveolar	0.469	0.481	0.367	альвеалярны
alzheimers	0.194	0.518	0.319	хваробы Альцгеймера
amalgam	0.438	0.333	0.510	амальгама
amalgamation	0.406	0.470	0.531	аб'яднанне
amaretto	0.543	0.551	0.375	амарэта
amass	0.552	0.465	0.465	назапашваць
amateur	0.469	0.500	0.409	аматарскі
amaze	0.896	0.843	0.783	здзівіць
amazed	0.796	0.779	0.533	уражаны
amazedness	0.827	0.872	0.510	здзіўленне
amazement	0.750	0.800	0.639	здзіўленне
amazing	0.906	0.837	0.849	дзіўна
amazingly	0.918	0.765	0.920	дзіўна
ambassador	0.651	0.529	0.917	паслом
amber	0.635	0.308	0.369	бурштынавы
ambience	0.735	0.356	0.426	атмасфера
ambient	0.625	0.360	0.582	эмбіент
ambiguity	0.164	0.460	0.370	неадназначнасць
ambiguous	0.265	0.462	0.358	неадназначны
ambit	0.479	0.380	0.386	амбіт
ambition	0.510	0.804	0.661	славалюбства
ambitious	0.484	0.821	0.717	амбіцыйны
ambivalent	0.510	0.404	0.482	амбівалентны
ambrosia	0.571	0.452	0.480	амброзія
ambulance	0.500	0.750	0.609	хуткая дапамога
ambush	0.281	0.830	0.500	засада
ameliorate	0.770	0.548	0.747	паляпшаць
amen	0.781	0.182	0.542	амін
amenable	0.448	0.410	0.406	паддаюцца
amend	0.688	0.406	0.658	паправіць
amendment	0.531	0.459	0.606	папраўка
amends	0.640	0.366	0.517	папраўкі
amenity	0.750	0.327	0.574	зручнасць
amethyst	0.622	0.406	0.517	аметыст
amiable	0.847	0.290	0.483	прыязны
amicable	0.875	0.330	0.507	дружны
amid	0.510	0.340	0.256	сярод
amidst	0.480	0.330	0.316	сярод
amino	0.551	0.402	0.433	амінакіс
ammo	0.323	0.765	0.621	патроны
ammonia	0.292	0.587	0.409	нашатырны спірт
ammonium	0.354	0.396	0.368	амоній
ammunition	0.338	0.635	0.667	боепрыпасаў
amnesia	0.296	0.330	0.308	амнезія
amnesty	0.551	0.451	0.814	амністыя
amorous	0.844	0.670	0.636	любоўны
amorphous	0.327	0.402	0.349	аморфны
amortization	0.592	0.491	0.522	амартызацыя
amount	0.562	0.422	0.649	колькасць
amour	0.865	0.480	0.652	любоў
amp	0.439	0.393	0.375	узмацняльнік
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетаміны
amphibian	0.427	0.357	0.474	амфібія
amphibious	0.479	0.346	0.445	амфібія
amphitheater	0.653	0.480	0.545	амфітэатр
ample	0.744	0.349	0.719	дастаткова
amplification	0.690	0.677	0.810	узмацненне
amplify	0.677	0.735	0.827	узмацніць
amplitude	0.694	0.439	0.692	амплітуда
amply	0.781	0.431	0.766	багата
amputate	0.092	0.660	0.509	ампутаваць
amputation	0.100	0.755	0.483	ампутацыя
amuck	0.385	0.602	0.321	шалёны
amulet	0.781	0.260	0.630	кудмень
amuse	0.812	0.684	0.664	забаўляць
amused	0.942	0.847	0.596	пацешыўся
amusement	0.929	0.837	0.803	забаўка
amusing	0.960	0.829	0.632	пацешна
ana	0.541	0.300	0.314	ана
