English Word	Valence	Arousal	Dominance	Urdu Word
achieved	0.896	0.519	0.775	حاصل کیا
achievement	0.896	0.808	0.759	کامیابی
aching	0.053	0.880	0.348	درد
achy	0.167	0.840	0.373	درد
acid	0.265	0.642	0.566	تیزاب
acidity	0.156	0.663	0.360	تیزابیت
acknowledge	0.786	0.370	0.661	تسلیم کرنا
acknowledged	0.714	0.443	0.765	تسلیم کیا
acknowledgement	0.819	0.539	0.830	اعتراف
acknowledgment	0.796	0.528	0.777	اعتراف
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	مہاسے
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	صوتی
acoustics	0.611	0.330	0.509	صوتی
acquaint	0.646	0.491	0.639	واقف
acquaintance	0.656	0.290	0.670	واقفیت
acquainted	0.906	0.358	0.632	واقف
acquiescence	0.542	0.480	0.554	رضامندی
acquire	0.833	0.468	0.700	حاصل
acquiring	0.735	0.510	0.817	حاصل کرنا
acquisition	0.698	0.509	0.736	حصول
acquisitions	0.773	0.660	0.790	حصول
acquit	0.583	0.571	0.611	بری کرنا
acquittal	0.760	0.497	0.700	بریت
acre	0.583	0.387	0.423	ایکڑ
acreage	0.741	0.450	0.528	ایکڑ
acres	0.510	0.363	0.500	ایکڑ
acrobat	0.708	0.828	0.602	ایکروبیٹ
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	عمل
acting	0.698	0.643	0.500	اداکاری
action	0.760	0.898	0.802	عمل
action figure	0.615	0.774	0.611	کارروائی کی شکل
actionable	0.673	0.702	0.613	قابل عمل
activate	0.764	0.650	0.806	محرک کریں
activation	0.781	0.800	0.754	ایکٹیویشن
active	0.847	0.730	0.731	فعال
activist	0.531	0.653	0.877	کارکن
activity	0.701	0.660	0.807	سرگرمی
actor	0.653	0.561	0.629	اداکار
actress	0.633	0.556	0.596	اداکارہ
actual	0.729	0.400	0.716	حقیقی
actuality	0.750	0.464	0.600	حقیقت
actuary	0.510	0.404	0.491	ایکچوری
acuity	0.469	0.378	0.741	تیکشنتا
acumen	0.564	0.660	0.679	ذہانت
acupuncture	0.531	0.324	0.549	ایکیوپنکچر
acute	0.427	0.652	0.534	شدید
acutely	0.417	0.543	0.491	شدت سے
ad	0.521	0.705	0.558	اشتہار
adage	0.517	0.415	0.566	کہاوت
adamant	0.344	0.529	0.575	اٹل
adapt	0.740	0.355	0.551	موافقت
adaptable	0.735	0.423	0.641	موافقت پذیر
adaptation	0.663	0.365	0.609	موافقت
add	0.728	0.490	0.554	شامل کریں
added	0.562	0.405	0.509	شامل کیا
addendum	0.392	0.370	0.418	ضمیمہ
adder	0.388	0.461	0.588	جوڑنے والا
addict	0.075	0.696	0.327	عادی
addicted	0.156	0.712	0.483	عادی
addiction	0.180	0.806	0.420	لت
addictive	0.302	0.683	0.472	نشہ آور
addition	0.562	0.373	0.471	اضافہ
additional	0.673	0.462	0.526	اضافی
additive	0.561	0.633	0.691	اضافی
address	0.650	0.327	0.567	پتہ
addressee	0.622	0.382	0.538	ایڈریس
addresses	0.510	0.354	0.450	پتے
adept	0.594	0.539	0.789	ماہر
adequacy	0.615	0.435	0.702	مناسبیت
adequate	0.854	0.264	0.705	کافی
adhere	0.633	0.339	0.554	ماننا
adherence	0.760	0.307	0.630	پابندی
adherent	0.561	0.385	0.555	ماننے والا
adhering	0.612	0.561	0.537	ماننا
adhesion	0.521	0.445	0.586	آسنجن
adhesive	0.604	0.350	0.413	چپکنے والی
adieu	0.250	0.471	0.342	الوداع
adipose	0.333	0.350	0.391	ایڈیپوز
adjacency	0.365	0.417	0.375	ملحقہ
adjacent	0.645	0.276	0.536	ملحقہ
adjective	0.570	0.316	0.569	صفت
adjoining	0.520	0.400	0.393	ملحقہ
adjourn	0.385	0.456	0.475	ملتوی
adjournment	0.438	0.510	0.370	ملتوی
adjudicate	0.559	0.520	0.683	فیصلہ کرنا
adjudication	0.551	0.462	0.691	فیصلہ
adjunct	0.459	0.440	0.426	ملحق
adjust	0.647	0.327	0.638	ایڈجسٹ کریں
adjuster	0.510	0.540	0.760	ایڈجسٹر
adjustment	0.590	0.520	0.661	ایڈجسٹمنٹ
adjuvant	0.510	0.500	0.456	معاون
admin	0.688	0.420	0.854	منتظم
administer	0.635	0.425	0.860	انتظام
administration	0.625	0.404	0.786	انتظامیہ
administrative	0.542	0.415	0.579	انتظامی
administrator	0.538	0.480	0.902	منتظم
admirable	0.929	0.600	0.870	قابل تعریف
admiral	0.844	0.490	0.847	ایڈمرل
admiralty	0.594	0.547	0.733	ایڈمرلٹی
admiration	0.969	0.583	0.726	تعریف
admire	0.867	0.692	0.704	تعریف کرنا
admired	0.917	0.560	0.815	شخصیات
admirer	0.796	0.720	0.650	مداح
admiring	0.867	0.578	0.629	تعریف کرنے والا
admissibility	0.802	0.580	0.602	قابل قبولیت
admissible	0.780	0.528	0.642	قابل قبول
admission	0.802	0.415	0.732	داخلہ
admit	0.538	0.423	0.667	تسلیم
admittance	0.690	0.451	0.598	داخلہ
admitted	0.720	0.490	0.767	تسلیم کیا
admitting	0.620	0.500	0.546	تسلیم کرنا
admixture	0.450	0.375	0.438	مرکب
admonition	0.357	0.606	0.455	نصیحت
ado	0.520	0.423	0.385	ایڈو
adobe	0.500	0.319	0.328	ایڈوب
adolescence	0.487	0.694	0.444	جوانی
adolescent	0.781	0.680	0.509	نوعمر
adopt	0.694	0.612	0.701	اپنانے
adoption	0.625	0.566	0.589	گود لینے
adoptive	0.531	0.469	0.520	اپنانے والا
adorable	0.969	0.519	0.457	دلکش
adoration	0.885	0.699	0.708	عبادت
adore	0.854	0.438	0.657	پسند کرنا
adoring	0.885	0.620	0.717	پیار کرنے والا
adorn	0.910	0.424	0.482	سجانا
adornment	0.918	0.373	0.377	سجاوٹ
adrenalin	0.865	0.920	0.786	ایڈرینالین
adrenaline	0.765	0.965	0.825	ایڈرینالائن
adrift	0.398	0.486	0.230	پیچھے ہٹنا
adult	0.815	0.491	0.787	بالغ
adulterated	0.188	0.865	0.370	ملاوٹ شدہ
adulterer	0.229	0.814	0.407	زنا کرنے والا
adultery	0.120	0.922	0.510	زنا
adulthood	0.541	0.454	0.652	جوانی
advance	0.673	0.472	0.858	پیشگی
advanced	0.844	0.623	0.797	ترقی یافتہ
advancement	0.776	0.650	0.839	ترقی
advancing	0.929	0.608	0.812	پیش قدمی
advantage	0.917	0.548	0.859	فائدہ
advantageous	0.837	0.640	0.789	فائدہ مند
advent	0.665	0.560	0.627	آمد
adventure	0.917	0.857	0.710	مہم جوئی
adventurer	0.781	0.839	0.868	مہم جوئی
adventures	0.812	0.764	0.749	مہم جوئی
adventurous	0.969	0.898	0.722	مہم جوئی
adversary	0.349	0.777	0.457	مخالف
adverse	0.323	0.610	0.385	منفی
adversity	0.276	0.760	0.538	مصیبت
advertise	0.500	0.529	0.580	تشہیر
advertisement	0.600	0.566	0.539	اشتہار
advertising	0.622	0.608	0.632	اشتہار
adverts	0.551	0.500	0.595	اشتہارات
advice	0.698	0.408	0.688	مشورہ
advisable	0.867	0.480	0.510	مشورہ دینے والا
advise	0.760	0.393	0.705	مشورہ
advised	0.823	0.330	0.509	مشورہ
advisement	0.698	0.235	0.655	مشورہ
adviser	0.745	0.362	0.705	مشیر
advisor	0.646	0.350	0.689	مشیر
advisory	0.656	0.429	0.633	ایڈوائزری
advocacy	0.500	0.646	0.731	وکالت
advocate	0.551	0.530	0.818	وکیل
aegis	0.490	0.439	0.462	ایجس
aeration	0.550	0.500	0.433	ہوا بازی
aerial	0.615	0.461	0.463	ہوائی
aerobics	0.708	0.771	0.627	ایروبکس
aerodrome	0.541	0.740	0.678	ایروڈوم
aerodynamic	0.561	0.724	0.728	ایروڈینامک
aerodynamics	0.590	0.663	0.722	ایروڈینامکس
aeronautics	0.551	0.633	0.688	ایروناٹکس
aeroplane	0.714	0.642	0.644	ہوائی جہاز
aerospace	0.643	0.520	0.779	ایرو اسپیس
aesthetic	0.708	0.442	0.526	جمالیاتی
aesthetics	0.847	0.327	0.549	جمالیات
aetiology	0.480	0.398	0.615	ایٹولوجی
afar	0.396	0.373	0.358	دور
affable	0.704	0.380	0.452	ملنسار
affair	0.520	0.459	0.657	معاملہ
affect	0.458	0.569	0.578	اثر انداز
affecting	0.350	0.574	0.394	کو متاثر
affection	0.898	0.559	0.696	پیار
affectionate	0.949	0.422	0.550	پیار کرنے والا
affections	0.760	0.547	0.655	پیار
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	افسوس
affiliated	0.673	0.519	0.535	وابستہ
affiliation	0.615	0.594	0.500	وابستگی
affinity	0.800	0.500	0.537	تعلق
affirm	0.745	0.509	0.731	تصدیق
affirmation	0.750	0.500	0.689	تصدیق
affirmative	0.854	0.589	0.816	اثبات
affirmatively	0.908	0.500	0.811	اثبات میں
affix	0.438	0.335	0.411	لگانا
afflict	0.302	0.555	0.293	مصیبت
afflicted	0.271	0.500	0.167	مصیبت زدہ
affliction	0.294	0.635	0.392	مصیبت
affluence	0.663	0.618	0.722	دولت
affluent	0.756	0.388	0.477	امیر
afford	0.571	0.580	0.575	برداشت کرنا
affordable	0.840	0.398	0.493	سستی
affront	0.327	0.740	0.547	توہین
affronted	0.385	0.750	0.527	توہین آمیز
afield	0.594	0.370	0.373	دور
afire	0.367	0.904	0.675	ایک آگ
afloat	0.602	0.427	0.444	تیرتے ہوئے
afore	0.500	0.337	0.382	پہلے
aforementioned	0.490	0.316	0.408	مذکورہ بالا
aforesaid	0.531	0.358	0.478	مذکورہ
afraid	0.010	0.775	0.245	ڈرنا
afresh	0.643	0.521	0.480	نئے سرے سے
aft	0.480	0.417	0.518	پیچھے
afterlife	0.571	0.567	0.568	زندگی کے بعد
aftermath	0.312	0.449	0.444	نتیجہ
afternoon	0.533	0.388	0.339	دوپہر
aftershave	0.406	0.384	0.415	داڑھی مونڈھنے کے بعد
aftertaste	0.354	0.362	0.455	بعد کا ذائقہ
afterthought	0.396	0.392	0.349	بعد کی سوچ
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	عقیق
age	0.561	0.226	0.498	عمر
aged	0.135	0.365	0.236	بوڑھا
agency	0.460	0.296	0.583	ایجنسی
agenda	0.531	0.296	0.553	ایجنڈا
agent	0.480	0.439	0.755	ایجنٹ
agglomeration	0.450	0.765	0.509	جمع
aggravate	0.224	0.770	0.464	بڑھانا
aggravated	0.079	0.760	0.430	بڑھا ہوا
aggravates	0.108	0.778	0.357	بڑھاتا ہے
aggravating	0.257	0.794	0.640	پریشان کن
aggravation	0.071	0.784	0.613	اضطراب
aggregate	0.730	0.378	0.556	مجموعی
aggregation	0.583	0.517	0.694	جمع
aggresive	0.059	0.971	0.639	جارحانہ
aggression	0.094	0.929	0.533	جارحیت
aggressive	0.125	0.949	0.648	جارحانہ
aggressively	0.250	0.926	0.688	جارحانہ طور پر
aggressiveness	0.077	0.913	0.648	جارحیت
aggressor	0.146	0.948	0.823	حملہ آور
agh	0.260	0.500	0.400	آہ
aghast	0.133	0.865	0.464	پریشان
aghhh	0.281	0.635	0.243	آہ
agile	0.800	0.657	0.775	پھرتیلی
agility	0.720	0.702	0.815	چپلتا
aging	0.214	0.255	0.284	عمر بڑھنے
agitate	0.300	0.796	0.593	مشتعل
agitated	0.444	0.882	0.491	مشتعل
agitation	0.240	0.931	0.447	تحریک
aglow	0.780	0.510	0.797	چمک
agnostic	0.306	0.396	0.574	اگنوسٹک
ago	0.317	0.280	0.404	پہلے
agonizing	0.083	0.800	0.340	اذیت ناک
agony	0.083	0.775	0.393	اذیت
agoraphobia	0.127	0.712	0.438	ایگوروفوبیا
agree	0.906	0.260	0.545	متفق
agreeable	0.906	0.500	0.696	قابل قبول
agreed	0.797	0.449	0.574	اتفاق کیا
agreeing	0.854	0.480	0.557	متفق
agreement	0.760	0.440	0.736	معاہدہ
agressive	0.083	0.918	0.751	جارحانہ
agricultural	0.686	0.321	0.473	زرعی
agriculture	0.640	0.357	0.465	زراعت
aground	0.333	0.340	0.445	گراؤنڈ
agua	0.598	0.180	0.436	اگوا
ahead	0.708	0.520	0.673	آگے
ahhh	0.562	0.517	0.241	آہ
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	آہو
aid	0.796	0.491	0.541	امداد
aide	0.724	0.342	0.434	معاون
aiding	0.643	0.533	0.569	مدد کرنے والا
aids	0.561	0.480	0.500	ایڈز
ail	0.375	0.434	0.385	بیماری
ailing	0.094	0.518	0.153	بیمار
ailment	0.146	0.734	0.277	بیماری
aim	0.481	0.569	0.567	مقصد
aimless	0.150	0.267	0.183	بےمقصد
air	0.708	0.163	0.427	ہوا
airbag	0.510	0.402	0.433	ایئر بیگ
airborne	0.542	0.519	0.385	ہوائی
aircraft	0.646	0.644	0.691	ہوائی جہاز
aircraft carrier	0.490	0.740	0.727	طیارہ بردار جہاز
airfield	0.601	0.650	0.645	ہوائی میدان
airhead	0.271	0.481	0.276	ایئر ہیڈ
airlift	0.573	0.622	0.642	ہوائی جہاز
airline	0.650	0.482	0.688	ایئر لائن
airliner	0.667	0.777	0.647	ہوائی جہاز
airlock	0.398	0.520	0.447	ایئر لاک
airman	0.587	0.716	0.721	ایئر مین
airplane	0.719	0.702	0.708	ہوائی جہاز
airport	0.729	0.684	0.682	ہوائی اڈہ
airs	0.583	0.196	0.370	ہوا
airship	0.542	0.472	0.529	ہوائی جہاز
airspace	0.562	0.510	0.640	فضائی حدود
airspeed	0.583	0.780	0.544	ہوا کی رفتار
airstrip	0.550	0.690	0.649	ہوائی پٹی
airtight	0.479	0.381	0.570	ہوا بند
airway	0.638	0.585	0.482	ائروے
aisle	0.438	0.222	0.283	گلیارے
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	اجار
aka	0.459	0.358	0.351	عرف
akin	0.639	0.343	0.523	مشابہ
alabaster	0.542	0.404	0.445	الابسٹر
alarm	0.241	0.882	0.698	الارم
alarm clock	0.542	0.727	0.642	الارم گھڑی
alarmed	0.188	0.822	0.492	گھبراہٹ
alarming	0.204	0.890	0.585	خطرناک
alas	0.571	0.310	0.279	افسوس
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	البینو
album	0.635	0.349	0.453	البم
alchemy	0.541	0.583	0.693	کیمیا
alcohol	0.323	0.667	0.377	شراب
alcoholic	0.153	0.688	0.361	شرابی
alcoholism	0.061	0.779	0.407	شراب نوشی
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	ایلڈرمین
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	الرٹ
alertness	0.375	0.875	0.750	چوکسی
alerts	0.337	0.804	0.673	انتباہات
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	الجبرا
algebraic	0.531	0.412	0.441	الجبری
algorithm	0.448	0.394	0.559	الگورتھم
alias	0.541	0.353	0.333	عرف
alibi	0.396	0.528	0.556	علیبی
alien	0.410	0.615	0.491	اجنبی
alienate	0.247	0.500	0.523	اجنبی
alienated	0.410	0.423	0.559	اجنبی
alienation	0.378	0.530	0.462	بیگانگی
alight	0.667	0.657	0.605	اترنا
align	0.656	0.364	0.627	سیدھ میں لانا
aligned	0.583	0.275	0.553	منسلک
alignment	0.643	0.412	0.683	سیدھ
alike	0.653	0.173	0.444	ایک جیسے
alimentation	0.781	0.551	0.602	غذائیت
alimony	0.612	0.477	0.464	بھتہ
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	زندہ
alkali	0.490	0.350	0.408	الکلی
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	حل
allegation	0.578	0.578	0.608	الزام
allege	0.418	0.482	0.587	الزام لگانا
alleged	0.365	0.522	0.520	الزام لگایا
allegiance	0.917	0.398	0.750	بیعت
allegorical	0.517	0.558	0.598	تمثیلی
allegory	0.615	0.580	0.509	تمثیل
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	الرجی
allergy	0.296	0.606	0.389	الرجی
alleviate	0.869	0.270	0.528	کم کرنا
alleviation	0.735	0.200	0.491	خاتمے
alley	0.347	0.500	0.355	گلی
alleyway	0.357	0.471	0.382	گلی کا راستہ
alliance	0.696	0.473	0.769	اتحاد
allied	0.714	0.245	0.642	اتحادی
alligator	0.354	0.704	0.645	مگرمچھ
allocate	0.673	0.462	0.672	مختص
allocation	0.604	0.388	0.679	مختص کرنے
allot	0.622	0.481	0.616	الاٹ
allotment	0.600	0.390	0.640	الاٹمنٹ
allow	0.698	0.429	0.538	اجازت دیں
allowable	0.698	0.500	0.561	قابل اجازت
allowance	0.673	0.382	0.591	الاؤنس
allowed	0.730	0.360	0.655	اجازت دی
alloy	0.583	0.443	0.593	کھوٹ
allsmiles	0.786	0.528	0.430	تمام مسکراہٹیں
allure	0.804	0.585	0.686	رغبت
alluring	0.837	0.745	0.843	دلکش
allusion	0.440	0.308	0.462	اشارہ
alluvial	0.323	0.490	0.491	جلو
ally	0.792	0.320	0.688	اتحادی
almanac	0.688	0.190	0.412	تقویم
almighty	0.938	0.874	0.958	قادر مطلق
almond	0.698	0.183	0.314	بادام
aloft	0.771	0.373	0.700	اوپر
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	اکیلے
alongside	0.458	0.333	0.347	ساتھ ساتھ
aloof	0.189	0.423	0.302	دور
aloud	0.458	0.713	0.750	بلند آواز سے
alpha	0.708	0.340	0.755	الفا
alphabet	0.562	0.204	0.672	حروف تہجی
alphabetical	0.537	0.296	0.535	حروف تہجی کے مطابق
alpine	0.594	0.337	0.474	الپائن
alreadyyyyy	0.592	0.717	0.351	پہلے سے ہی
altar	0.724	0.387	0.635	قربان گاہ
altar boy	0.434	0.206	0.350	قربان گاہ لڑکا
alter	0.333	0.694	0.654	تبدیل
alteration	0.167	0.798	0.609	تبدیلی
altercation	0.170	0.806	0.500	جھگڑا
altered	0.255	0.765	0.500	تبدیل کر دیا
alternate	0.625	0.363	0.589	متبادل
alternating	0.480	0.494	0.542	متبادل
alternative	0.628	0.373	0.631	متبادل
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	اونچائی
alto	0.656	0.404	0.730	آلٹو
altogether	0.833	0.324	0.644	ایک ساتھ
aluminum	0.449	0.280	0.434	ایلومینیم
alumnus	0.633	0.368	0.422	سابق طالب علم
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	الزائمر
amalgam	0.438	0.333	0.510	امتزاج
amalgamation	0.406	0.470	0.531	انضمام
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	جمع کرنا
amateur	0.469	0.500	0.409	شوقیہ
amaze	0.896	0.843	0.783	حیران
amazed	0.796	0.779	0.533	حیران
amazedness	0.827	0.872	0.510	حیرت
amazement	0.750	0.800	0.639	حیرت
amazing	0.906	0.837	0.849	حیرت انگیز
amazingly	0.918	0.765	0.920	حیرت انگیز طور پر
ambassador	0.651	0.529	0.917	سفیر
amber	0.635	0.308	0.369	امبر
ambience	0.735	0.356	0.426	ماحول
ambient	0.625	0.360	0.582	محیط
ambiguity	0.164	0.460	0.370	ابہام
ambiguous	0.265	0.462	0.358	مبہم
ambit	0.479	0.380	0.386	دائرہ کار
ambition	0.510	0.804	0.661	خواہش
ambitious	0.484	0.821	0.717	بلند نظر
ambivalent	0.510	0.404	0.482	مبہم
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ایمبولینس
ambush	0.281	0.830	0.500	گھات لگا کر حملہ
ameliorate	0.770	0.548	0.747	بہتر کرنا
amen	0.781	0.182	0.542	آمین
amenable	0.448	0.410	0.406	تیار
amend	0.688	0.406	0.658	ترمیم
amendment	0.531	0.459	0.606	ترمیم
amends	0.640	0.366	0.517	ترمیم کرتا ہے
amenity	0.750	0.327	0.574	سہولت
amethyst	0.622	0.406	0.517	نیلم
amiable	0.847	0.290	0.483	ملنسار
amicable	0.875	0.330	0.507	دوستانہ
amid	0.510	0.340	0.256	درمیان
amidst	0.480	0.330	0.316	کے درمیان
amino	0.551	0.402	0.433	امینو
ammo	0.323	0.765	0.621	بارود
ammonia	0.292	0.587	0.409	امونیا
ammonium	0.354	0.396	0.368	امونیم
ammunition	0.338	0.635	0.667	گولہ بارود
amnesia	0.296	0.330	0.308	بھولنے کی بیماری
amnesty	0.551	0.451	0.814	معافی
amorous	0.844	0.670	0.636	دلکش
amorphous	0.327	0.402	0.349	بے ترتیب
amortization	0.592	0.491	0.522	معافی
amount	0.562	0.422	0.649	رقم
amour	0.865	0.480	0.652	محبت
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ایمپرسینڈ
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	amphibious
amphitheater	0.653	0.480	0.545	ایمفی تھیٹر
