English Word	Valence	Arousal	Dominance	Swahili Word
absent	0.177	0.221	0.116	kutokuwepo
absentee	0.235	0.330	0.279	hayupo
absenteeism	0.404	0.273	0.357	utoro
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	kabisa
absolution	0.715	0.500	0.664	msamaha
absolve	0.684	0.449	0.660	samehe
absorb	0.469	0.558	0.670	kunyonya
absorbed	0.490	0.471	0.519	kufyonzwa
absorbent	0.552	0.394	0.718	kinyozi
absorbing	0.490	0.490	0.578	kunyonya
absorption	0.609	0.422	0.446	kunyonya
abstain	0.385	0.385	0.427	jizuie
abstention	0.271	0.264	0.509	kujizuia
abstinence	0.260	0.392	0.429	kujizuia
abstract	0.438	0.292	0.444	dhahania
abstraction	0.469	0.439	0.525	uondoaji
absurd	0.188	0.656	0.284	upuuzi
absurdity	0.115	0.528	0.227	upuuzi
abundance	0.812	0.690	0.852	wingi
abundant	0.958	0.590	0.760	tele
abuse	0.071	0.873	0.469	unyanyasaji
abused	0.021	0.874	0.235	kudhalilishwa
abusive	0.125	0.903	0.567	mwenye matusi
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	kuzimu
abyss	0.353	0.725	0.296	shimo
academic	0.781	0.420	0.812	kitaaluma
academy	0.704	0.473	0.792	chuo kikuu
accede	0.698	0.510	0.537	kubali
accelerant	0.643	0.844	0.802	kuongeza kasi
accelerate	0.615	0.902	0.759	kuongeza kasi
accelerated	0.610	0.812	0.682	iliharakishwa
acceleration	0.704	0.905	0.843	kuongeza kasi
accelerator	0.593	0.830	0.812	kiongeza kasi
accent	0.598	0.357	0.509	lafudhi
accentuate	0.673	0.556	0.667	sisitiza
accept	0.847	0.286	0.565	kukubali
acceptable	0.812	0.286	0.583	kukubalika
acceptance	0.833	0.287	0.755	kukubalika
acceptances	0.847	0.413	0.648	kukubalika
access	0.714	0.472	0.567	ufikiaji
accessible	0.796	0.410	0.645	kupatikana
accession	0.612	0.383	0.636	kujiunga
accessory	0.562	0.292	0.445	nyongeza
accident	0.125	0.908	0.336	ajali
accidental	0.319	0.784	0.307	bahati mbaya
accidentally	0.333	0.741	0.333	bahati mbaya
acclaim	0.562	0.809	0.718	pongezi
accolade	0.688	0.591	0.775	sifa
accommodate	0.844	0.375	0.566	malazi
accommodation	0.817	0.415	0.587	malazi
accompaniment	0.740	0.479	0.695	kusindikiza
accompany	0.833	0.406	0.585	ongozana
accompanying	0.787	0.460	0.582	kuandamana
accomplice	0.408	0.580	0.510	mshiriki
accomplish	0.929	0.673	0.816	kamilisha
accomplished	0.870	0.520	0.798	imekamilika
accomplishment	0.917	0.694	0.888	mafanikio
accord	0.898	0.264	0.382	makubaliano
accordance	0.659	0.349	0.600	kwa mujibu
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	akaunti
accountability	0.755	0.537	0.833	uwajibikaji
accountable	0.709	0.282	0.777	kuwajibika
accountant	0.625	0.450	0.639	mhasibu
accounting	0.552	0.390	0.677	uhasibu
accounts	0.592	0.340	0.471	akaunti
accredited	0.669	0.479	0.768	iliyoidhinishwa
accretion	0.448	0.519	0.672	kuongezeka
accrue	0.520	0.481	0.602	kuongezeka
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	kujilimbikiza
accumulation	0.479	0.527	0.600	mkusanyiko
accuracy	0.604	0.481	0.802	usahihi
accurate	0.743	0.360	0.737	sahihi
accursed	0.135	0.745	0.345	kulaaniwa
accusation	0.073	0.718	0.564	mashtaka
accusative	0.198	0.755	0.482	mwenye mashtaka
accuse	0.133	0.752	0.500	kushtaki
accused	0.130	0.670	0.420	mtuhumiwa
accuser	0.122	0.779	0.615	mshitaki
accusing	0.156	0.745	0.324	kushutumu
accustomed	0.542	0.365	0.441	mazoea
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	asetiki
acetylene	0.306	0.469	0.509	asetilini
ache	0.146	0.760	0.312	maumivu
achieve	0.816	0.545	0.843	kufikia
achieved	0.896	0.519	0.775	kufikiwa
achievement	0.896	0.808	0.759	mafanikio
aching	0.053	0.880	0.348	kuuma
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	asidi
acidity	0.156	0.663	0.360	asidi
acknowledge	0.786	0.370	0.661	Tambua
acknowledged	0.714	0.443	0.765	alikubali
acknowledgement	0.819	0.539	0.830	kukiri
acknowledgment	0.796	0.528	0.777	kukiri
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	chunusi
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	akustika
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	kufahamu
acquaintance	0.656	0.290	0.670	kujuana
acquainted	0.906	0.358	0.632	kufahamiana
acquiescence	0.542	0.480	0.554	kuafiki
acquire	0.833	0.468	0.700	kupata
acquiring	0.735	0.510	0.817	kupata
acquisition	0.698	0.509	0.736	upatikanaji
acquisitions	0.773	0.660	0.790	upatikanaji
acquit	0.583	0.571	0.611	kuachilia huru
acquittal	0.760	0.497	0.700	kuachiliwa
acre	0.583	0.387	0.423	ekari
acreage	0.741	0.450	0.528	ekari
acres	0.510	0.363	0.500	ekari
acrobat	0.708	0.828	0.602	sarakasi
acrylic	0.582	0.279	0.420	akriliki
act	0.656	0.704	0.735	kitendo
acting	0.698	0.643	0.500	kuigiza
action	0.760	0.898	0.802	kitendo
action figure	0.615	0.774	0.611	kielelezo cha hatua
actionable	0.673	0.702	0.613	inayoweza kutekelezwa
activate	0.764	0.650	0.806	amilisha
activation	0.781	0.800	0.754	uanzishaji
active	0.847	0.730	0.731	hai
activist	0.531	0.653	0.877	mwanaharakati
activity	0.701	0.660	0.807	shughuli
actor	0.653	0.561	0.629	mwigizaji
actress	0.633	0.556	0.596	mwigizaji
actual	0.729	0.400	0.716	halisi
actuality	0.750	0.464	0.600	ukweli
actuary	0.510	0.404	0.491	mtaalamu
acuity	0.469	0.378	0.741	ukali
acumen	0.564	0.660	0.679	acumeni
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	papo hapo
acutely	0.417	0.543	0.491	kwa ukali
ad	0.521	0.705	0.558	tangazo
adage	0.517	0.415	0.566	msemo
adamant	0.344	0.529	0.575	mgumu
adapt	0.740	0.355	0.551	kukabiliana
adaptable	0.735	0.423	0.641	inayoweza kubadilika
adaptation	0.663	0.365	0.609	kukabiliana na hali
add	0.728	0.490	0.554	ongeza
added	0.562	0.405	0.509	aliongeza
addendum	0.392	0.370	0.418	nyongeza
adder	0.388	0.461	0.588	fira
addict	0.075	0.696	0.327	mraibu
addicted	0.156	0.712	0.483	mraibu
addiction	0.180	0.806	0.420	uraibu
addictive	0.302	0.683	0.472	mraibu
addition	0.562	0.373	0.471	nyongeza
additional	0.673	0.462	0.526	ziada
additive	0.561	0.633	0.691	nyongeza
address	0.650	0.327	0.567	anwani
addressee	0.622	0.382	0.538	mwajiriwa
addresses	0.510	0.354	0.450	anwani
adept	0.594	0.539	0.789	mahiri
adequacy	0.615	0.435	0.702	utoshelevu
adequate	0.854	0.264	0.705	ya kutosha
adhere	0.633	0.339	0.554	kuambatana
adherence	0.760	0.307	0.630	ufuasi
adherent	0.561	0.385	0.555	mfuasi
adhering	0.612	0.561	0.537	kuambatana
adhesion	0.521	0.445	0.586	kujitoa
adhesive	0.604	0.350	0.413	wambiso
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	mafuta
adjacency	0.365	0.417	0.375	ukaribu
adjacent	0.645	0.276	0.536	karibu
adjective	0.570	0.316	0.569	kivumishi
adjoining	0.520	0.400	0.393	inayopakana
adjourn	0.385	0.456	0.475	kuahirisha
adjournment	0.438	0.510	0.370	kuahirisha
adjudicate	0.559	0.520	0.683	kuhukumu
adjudication	0.551	0.462	0.691	uamuzi
adjunct	0.459	0.440	0.426	kiambatanisho
adjust	0.647	0.327	0.638	rekebisha
adjuster	0.510	0.540	0.760	kirekebishaji
adjustment	0.590	0.520	0.661	marekebisho
adjuvant	0.510	0.500	0.456	msaidizi
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	simamia
administration	0.625	0.404	0.786	utawala
administrative	0.542	0.415	0.579	kiutawala
administrator	0.538	0.480	0.902	msimamizi
admirable	0.929	0.600	0.870	ya kupendeza
admiral	0.844	0.490	0.847	admirali
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	pongezi
admire	0.867	0.692	0.704	admire
admired	0.917	0.560	0.815	admired
admirer	0.796	0.720	0.650	admirer
admiring	0.867	0.578	0.629	admiring
admissibility	0.802	0.580	0.602	kukubalika
admissible	0.780	0.528	0.642	inayokubalika
admission	0.802	0.415	0.732	kiingilio
admit	0.538	0.423	0.667	kubali
admittance	0.690	0.451	0.598	kiingilio
admitted	0.720	0.490	0.767	alikubali
admitting	0.620	0.500	0.546	kukiri
admixture	0.450	0.375	0.438	mchanganyiko
admonition	0.357	0.606	0.455	mawaidha
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ujana
adolescent	0.781	0.680	0.509	kijana
adopt	0.694	0.612	0.701	kupitisha
adoption	0.625	0.566	0.589	kupitishwa
adoptive	0.531	0.469	0.520	kuasili
adorable	0.969	0.519	0.457	ya kupendeza
adoration	0.885	0.699	0.708	kuabudu
adore	0.854	0.438	0.657	kuabudu
adoring	0.885	0.620	0.717	kuabudu
adorn	0.910	0.424	0.482	kupamba
adornment	0.918	0.373	0.377	pambo
adrenalin	0.865	0.920	0.786	adrenalini
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	adrift
adult	0.815	0.491	0.787	mtu mzima
adulterated	0.188	0.865	0.370	iliyoziniwa
adulterer	0.229	0.814	0.407	mzinzi
adultery	0.120	0.922	0.510	uzinzi
adulthood	0.541	0.454	0.652	utu uzima
advance	0.673	0.472	0.858	mapema
advanced	0.844	0.623	0.797	ya juu
advancement	0.776	0.650	0.839	maendeleo
advancing	0.929	0.608	0.812	kusonga mbele
advantage	0.917	0.548	0.859	faida
advantageous	0.837	0.640	0.789	yenye faida
advent	0.665	0.560	0.627	ujio
adventure	0.917	0.857	0.710	tukio
adventurer	0.781	0.839	0.868	mzinduzi
adventures	0.812	0.764	0.749	matukio
adventurous	0.969	0.898	0.722	wajasiri
adversary	0.349	0.777	0.457	adui
adverse	0.323	0.610	0.385	mbaya
adversity	0.276	0.760	0.538	shida
advertise	0.500	0.529	0.580	tangaza
advertisement	0.600	0.566	0.539	tangazo
advertising	0.622	0.608	0.632	matangazo
adverts	0.551	0.500	0.595	matangazo
advice	0.698	0.408	0.688	ushauri
advisable	0.867	0.480	0.510	inashauriwa
advise	0.760	0.393	0.705	ushauri
advised	0.823	0.330	0.509	alishauri
advisement	0.698	0.235	0.655	ushauri
adviser	0.745	0.362	0.705	mshauri
advisor	0.646	0.350	0.689	mshauri
advisory	0.656	0.429	0.633	ushauri
advocacy	0.500	0.646	0.731	utetezi
advocate	0.551	0.530	0.818	mtetezi
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	uingizaji hewa
aerial	0.615	0.461	0.463	angani
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	uwanja wa ndege
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	angani
aeroplane	0.714	0.642	0.644	ndege
aerospace	0.643	0.520	0.779	anga
aesthetic	0.708	0.442	0.526	uzuri
aesthetics	0.847	0.327	0.549	uzuri
aetiology	0.480	0.398	0.615	etiolojia
afar	0.396	0.373	0.358	mbali
affable	0.704	0.380	0.452	mwenye urafiki
affair	0.520	0.459	0.657	jambo
affect	0.458	0.569	0.578	kuathiri
affecting	0.350	0.574	0.394	kuathiri
affection	0.898	0.559	0.696	mapenzi
affectionate	0.949	0.422	0.550	mwenye mapenzi
affections	0.760	0.547	0.655	mapenzi
affiche	0.479	0.265	0.402	afiche
affidavit	0.469	0.584	0.526	hati ya kiapo
affiliated	0.673	0.519	0.535	inayohusishwa
affiliation	0.615	0.594	0.500	ushirika
affinity	0.800	0.500	0.537	mshikamano
affirm	0.745	0.509	0.731	thibitisha
affirmation	0.750	0.500	0.689	uthibitisho
affirmative	0.854	0.589	0.816	uthibitisho
affirmatively	0.908	0.500	0.811	kwa uthibitisho
affix	0.438	0.335	0.411	weka
afflict	0.302	0.555	0.293	sumbua
afflicted	0.271	0.500	0.167	kuteswa
affliction	0.294	0.635	0.392	mateso
affluence	0.663	0.618	0.722	utajiri
affluent	0.756	0.388	0.477	tajiri
afford	0.571	0.580	0.575	kumudu
affordable	0.840	0.398	0.493	nafuu
affront	0.327	0.740	0.547	dharau
affronted	0.385	0.750	0.527	kuchukizwa
afield	0.594	0.370	0.373	pembeni
afire	0.367	0.904	0.675	moto
afloat	0.602	0.427	0.444	kuelea
afore	0.500	0.337	0.382	mbele
aforementioned	0.490	0.316	0.408	zilizotajwa hapo awali
aforesaid	0.531	0.358	0.478	zilizotajwa hapo juu
afraid	0.010	0.775	0.245	hofu
afresh	0.643	0.521	0.480	upya
aft	0.480	0.417	0.518	nyuma
afterlife	0.571	0.567	0.568	baada ya maisha
aftermath	0.312	0.449	0.444	matokeo
afternoon	0.533	0.388	0.339	mchana
aftershave	0.406	0.384	0.415	baada ya kunyoa
aftertaste	0.354	0.362	0.455	ladha ya baadae
afterthought	0.396	0.392	0.349	mawazo ya baadaye
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	umri
aged	0.135	0.365	0.236	mzee
agency	0.460	0.296	0.583	wakala
agenda	0.531	0.296	0.553	ajenda
agent	0.480	0.439	0.755	wakala
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	zidisha
aggravated	0.079	0.760	0.430	kuchochewa
aggravates	0.108	0.778	0.357	inazidisha
aggravating	0.257	0.794	0.640	kuzidisha
aggravation	0.071	0.784	0.613	kuzidisha
aggregate	0.730	0.378	0.556	jumla ya mabao
aggregation	0.583	0.517	0.694	mkusanyiko
aggresive	0.059	0.971	0.639	mwenye fujo
aggression	0.094	0.929	0.533	uchokozi
aggressive	0.125	0.949	0.648	mwenye fujo
aggressively	0.250	0.926	0.688	kwa ukali
aggressiveness	0.077	0.913	0.648	uchokozi
aggressor	0.146	0.948	0.823	mchokozi
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	mshtuko
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	mwepesi
agility	0.720	0.702	0.815	wepesi
aging	0.214	0.255	0.284	kuzeeka
agitate	0.300	0.796	0.593	sumbua
agitated	0.444	0.882	0.491	kuchafuka
agitation	0.240	0.931	0.447	fadhaa
aglow	0.780	0.510	0.797	kuwaka
agnostic	0.306	0.396	0.574	asiyeaminika
ago	0.317	0.280	0.404	iliyopita
agonizing	0.083	0.800	0.340	yenye uchungu
agony	0.083	0.775	0.393	uchungu
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	kubali
agreeable	0.906	0.500	0.696	yanayokubalika
agreed	0.797	0.449	0.574	alikubali
agreeing	0.854	0.480	0.557	kukubaliana
agreement	0.760	0.440	0.736	makubaliano
agressive	0.083	0.918	0.751	mwenye fujo
agricultural	0.686	0.321	0.473	kilimo
agriculture	0.640	0.357	0.465	kilimo
aground	0.333	0.340	0.445	ardhini
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	mbele
ahhh	0.562	0.517	0.241	ahh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	haya
aid	0.796	0.491	0.541	msaada
aide	0.724	0.342	0.434	msaidizi
aiding	0.643	0.533	0.569	kusaidia
aids	0.561	0.480	0.500	misaada
ail	0.375	0.434	0.385	ugonjwa
ailing	0.094	0.518	0.153	mgonjwa
ailment	0.146	0.734	0.277	maradhi
aim	0.481	0.569	0.567	lengo
aimless	0.150	0.267	0.183	bila malengo
air	0.708	0.163	0.427	hewa
airbag	0.510	0.402	0.433	mfuko wa hewa
airborne	0.542	0.519	0.385	angani
aircraft	0.646	0.644	0.691	Ndege
aircraft carrier	0.490	0.740	0.727	mbeba ndege
airfield	0.601	0.650	0.645	uwanja wa ndege
airhead	0.271	0.481	0.276	kichwa cha hewa
airlift	0.573	0.622	0.642	kusafirisha ndege
airline	0.650	0.482	0.688	shirika la ndege
airliner	0.667	0.777	0.647	ndege
airlock	0.398	0.520	0.447	kifunga hewa
airman	0.587	0.716	0.721	mfanyakazi wa ndege
airplane	0.719	0.702	0.708	ndege
airport	0.729	0.684	0.682	uwanja wa ndege
airs	0.583	0.196	0.370	hewa
airship	0.542	0.472	0.529	ndege
airspace	0.562	0.510	0.640	anga
airspeed	0.583	0.780	0.544	kasi ya anga
airstrip	0.550	0.690	0.649	uwanja wa ndege
airtight	0.479	0.381	0.570	isiyopitisha hewa
airway	0.638	0.585	0.482	njia ya hewa
aisle	0.438	0.222	0.283	njia
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajari
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	inayofanana
alabaster	0.542	0.404	0.445	alabasta
alarm	0.241	0.882	0.698	kengele
alarm clock	0.542	0.727	0.642	Saa ya Kengele
alarmed	0.188	0.822	0.492	kutishwa
alarming	0.204	0.890	0.585	ya kutisha
alas	0.571	0.310	0.279	ole!
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatrosi
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	albamu
alchemy	0.541	0.583	0.693	alkemia
alcohol	0.323	0.667	0.377	pombe
alcoholic	0.153	0.688	0.361	kileo
alcoholism	0.061	0.779	0.407	ulevi
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	tahadhari
alertness	0.375	0.875	0.750	tahadhari
alerts	0.337	0.804	0.673	arifa
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebra
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	pak
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	mgeni
alienate	0.247	0.500	0.523	kuwatenganisha
alienated	0.410	0.423	0.559	kutengwa
alienation	0.378	0.530	0.462	kutengwa
alight	0.667	0.657	0.605	kushuka
align	0.656	0.364	0.627	panga
aligned	0.583	0.275	0.553	iliyokaa
alignment	0.643	0.412	0.683	alignment
alike	0.653	0.173	0.444	sawa
alimentation	0.781	0.551	0.602	lishe
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	hai
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	allay
allegation	0.578	0.578	0.608	madai
allege	0.418	0.482	0.587	kudai
alleged	0.365	0.522	0.520	inadaiwa
allegiance	0.917	0.398	0.750	utii
allegorical	0.517	0.558	0.598	ya mafumbo
allegory	0.615	0.580	0.509	mafumbo
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	mzio
allergy	0.296	0.606	0.389	mzio
alleviate	0.869	0.270	0.528	kupunguza
alleviation	0.735	0.200	0.491	kupunguza
alley	0.347	0.500	0.355	uchochoro
alleyway	0.357	0.471	0.382	njia ya uchochoro
alliance	0.696	0.473	0.769	Muungano
allied	0.714	0.245	0.642	washirika
alligator	0.354	0.704	0.645	mamba
allocate	0.673	0.462	0.672	kutenga
allocation	0.604	0.388	0.679	ugawaji
allot	0.622	0.481	0.616	gawa
allotment	0.600	0.390	0.640	mgao
allow	0.698	0.429	0.538	kuruhusu
allowable	0.698	0.500	0.561	kuruhusiwa
allowance	0.673	0.382	0.591	posho
allowed	0.730	0.360	0.655	ruhusiwa
alloy	0.583	0.443	0.593	aloi
allsmiles	0.786	0.528	0.430	tabasamu
allure	0.804	0.585	0.686	kuvutia
alluring	0.837	0.745	0.843	kuvutia
allusion	0.440	0.308	0.462	dokezo
alluvial	0.323	0.490	0.491	alluvial
ally	0.792	0.320	0.688	mshirika
almanac	0.688	0.190	0.412	almanaka
almighty	0.938	0.874	0.958	mwenyezi
almond	0.698	0.183	0.314	mlozi
aloft	0.771	0.373	0.700	juu
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	peke yake
alongside	0.458	0.333	0.347	kando
aloof	0.189	0.423	0.302	mbali
aloud	0.458	0.713	0.750	kwa sauti kubwa
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabeti
alphabetical	0.537	0.296	0.535	kialfabeti
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	tayariyyyy
altar	0.724	0.387	0.635	madhabahu
altar boy	0.434	0.206	0.350	kijana wa madhabahuni
alter	0.333	0.694	0.654	badilisha
alteration	0.167	0.798	0.609	mabadiliko
altercation	0.170	0.806	0.500	ugomvi
altered	0.255	0.765	0.500	imebadilishwa
alternate	0.625	0.363	0.589	mbadala
alternating	0.480	0.494	0.542	kubadilishana
alternative	0.628	0.373	0.631	mbadala
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	urefu
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	kabisa
aluminum	0.449	0.280	0.434	alumini
alumnus	0.633	0.368	0.422	mhitimu
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	Alzheimers
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	muunganisho
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	kukusanya
amateur	0.469	0.500	0.409	amateur
amaze	0.896	0.843	0.783	shangaa
amazed	0.796	0.779	0.533	kushangaa
amazedness	0.827	0.872	0.510	mshangao
amazement	0.750	0.800	0.639	mshangao
amazing	0.906	0.837	0.849	ajabu
amazingly	0.918	0.765	0.920	ajabu
ambassador	0.651	0.529	0.917	balozi
amber	0.635	0.308	0.369	kahawia
ambience	0.735	0.356	0.426	mazingira
ambient	0.625	0.360	0.582	mazingira
ambiguity	0.164	0.460	0.370	utata
ambiguous	0.265	0.462	0.358	utata
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	tamaa
ambitious	0.484	0.821	0.717	mwenye tamaa
ambivalent	0.510	0.404	0.482	isiyoeleweka
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	gari la wagonjwa
ambush	0.281	0.830	0.500	kuvizia
ameliorate	0.770	0.548	0.747	boresha
amen	0.781	0.182	0.542	amina
amenable	0.448	0.410	0.406	inakubalika
amend	0.688	0.406	0.658	rekebisha
amendment	0.531	0.459	0.606	marekebisho
amends	0.640	0.366	0.517	hurekebisha
amenity	0.750	0.327	0.574	huduma
amethyst	0.622	0.406	0.517	amethisto
amiable	0.847	0.290	0.483	mwenye kupendeza
amicable	0.875	0.330	0.507	mwenye urafiki
amid	0.510	0.340	0.256	kati
amidst	0.480	0.330	0.316	kati
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	risasi
ammonia	0.292	0.587	0.409	amonia
ammonium	0.354	0.396	0.368	amonia
ammunition	0.338	0.635	0.667	risasi
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	msamaha
amorous	0.844	0.670	0.636	mwenye mapenzi
amorphous	0.327	0.402	0.349	amofasi
amortization	0.592	0.491	0.522	upunguzaji wa madeni
amount	0.562	0.422	0.649	kiasi
amour	0.865	0.480	0.652	upendo
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamini
amphibian	0.427	0.357	0.474	amfibia
amphibious	0.479	0.346	0.445	amfibia
amphitheater	0.653	0.480	0.545	ukumbi wa michezo
ample	0.744	0.349	0.719	ya kutosha
amplification	0.690	0.677	0.810	ukuzaji
amplify	0.677	0.735	0.827	kukuza
amplitude	0.694	0.439	0.692	amplitude
amply	0.781	0.431	0.766	kwa kiasi kikubwa
amputate	0.092	0.660	0.509	kukatwa
amputation	0.100	0.755	0.483	kukatwa
amuck	0.385	0.602	0.321	furahisha
amulet	0.781	0.260	0.630	hirizi
amuse	0.812	0.684	0.664	furahisha
amused	0.942	0.847	0.596	kufurahishwa
amusement	0.929	0.837	0.803	pumbao
amusing	0.960	0.829	0.632	kufurahisha
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	ganzi
anaesthetic	0.449	0.268	0.509	ganzi
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	mkundu
analgesic	0.417	0.321	0.441	dawa ya kutuliza maumivu
analogous	0.531	0.270	0.500	kufanana
analogue	0.570	0.320	0.446	analogi
analogy	0.510	0.367	0.509	mlinganisho
