English Word	Valence	Arousal	Dominance	Malay Word
absentee	0.235	0.330	0.279	tidak hadir
absenteeism	0.404	0.273	0.357	ketidakhadiran
absinthe	0.481	0.510	0.462	absinth
absolute	0.526	0.510	0.827	mutlak
absolution	0.715	0.500	0.664	pengampunan
absolve	0.684	0.449	0.660	membebaskan
absorb	0.469	0.558	0.670	menyerap
absorbed	0.490	0.471	0.519	diserap
absorbent	0.552	0.394	0.718	penyerap
absorbing	0.490	0.490	0.578	menyerap
absorption	0.609	0.422	0.446	penyerapan
abstain	0.385	0.385	0.427	berpantang
abstention	0.271	0.264	0.509	berpantang
abstinence	0.260	0.392	0.429	berpantang
abstract	0.438	0.292	0.444	abstrak
abstraction	0.469	0.439	0.525	abstraksi
absurd	0.188	0.656	0.284	tak masuk akal
absurdity	0.115	0.528	0.227	tidak masuk akal
abundance	0.812	0.690	0.852	banyak
abundant	0.958	0.590	0.760	melimpah ruah
abuse	0.071	0.873	0.469	penderaan
abused	0.021	0.874	0.235	didera
abusive	0.125	0.903	0.567	kesat
abutment	0.500	0.265	0.616	penyangga
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	teruk
abyss	0.353	0.725	0.296	jurang
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	Akademi
accede	0.698	0.510	0.537	akur
accelerant	0.643	0.844	0.802	memecut
accelerate	0.615	0.902	0.759	memecut
accelerated	0.610	0.812	0.682	dipercepatkan
acceleration	0.704	0.905	0.843	pecutan
accelerator	0.593	0.830	0.812	pemecut
accent	0.598	0.357	0.509	loghat
accentuate	0.673	0.556	0.667	menyerlahkan
accept	0.847	0.286	0.565	terima
acceptable	0.812	0.286	0.583	boleh diterima
acceptance	0.833	0.287	0.755	penerimaan
acceptances	0.847	0.413	0.648	penerimaan
access	0.714	0.472	0.567	akses
accessible	0.796	0.410	0.645	boleh diakses
accession	0.612	0.383	0.636	penyertaan
accessory	0.562	0.292	0.445	aksesori
accident	0.125	0.908	0.336	kemalangan
accidental	0.319	0.784	0.307	tidak sengaja
accidentally	0.333	0.741	0.333	secara tidak sengaja
acclaim	0.562	0.809	0.718	pujian
accolade	0.688	0.591	0.775	pujian
accommodate	0.844	0.375	0.566	menampung
accommodation	0.817	0.415	0.587	penginapan
accompaniment	0.740	0.479	0.695	iringan
accompany	0.833	0.406	0.585	menemani
accompanying	0.787	0.460	0.582	mengiringi
accomplice	0.408	0.580	0.510	rakan sejenayah
accomplish	0.929	0.673	0.816	capai
accomplished	0.870	0.520	0.798	dicapai
accomplishment	0.917	0.694	0.888	pencapaian
accord	0.898	0.264	0.382	sepakat
accordance	0.659	0.349	0.600	sesuai
accordion	0.604	0.490	0.361	akordion
account	0.531	0.347	0.472	akaun
accountability	0.755	0.537	0.833	akauntabiliti
accountable	0.709	0.282	0.777	bertanggungjawab
accountant	0.625	0.450	0.639	akauntan
accounting	0.552	0.390	0.677	perakaunan
accounts	0.592	0.340	0.471	akaun
accredited	0.669	0.479	0.768	bertauliah
accretion	0.448	0.519	0.672	pertambahan
accrue	0.520	0.481	0.602	terakru
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	terkumpul
accumulation	0.479	0.527	0.600	pengumpulan
accuracy	0.604	0.481	0.802	ketepatan
accurate	0.743	0.360	0.737	tepat
accursed	0.135	0.745	0.345	terkutuk
accusation	0.073	0.718	0.564	tuduhan
accusative	0.198	0.755	0.482	akusatif
accuse	0.133	0.752	0.500	menuduh
accused	0.130	0.670	0.420	tertuduh
accuser	0.122	0.779	0.615	penuduh
accusing	0.156	0.745	0.324	menuduh
accustomed	0.542	0.365	0.441	terbiasa
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	asetik
acetylene	0.306	0.469	0.509	asetilena
ache	0.146	0.760	0.312	sakit hati
achieve	0.816	0.545	0.843	capai
achieved	0.896	0.519	0.775	dicapai
achievement	0.896	0.808	0.759	pencapaian
aching	0.053	0.880	0.348	sakit hati
achy	0.167	0.840	0.373	sakit hati
acid	0.265	0.642	0.566	asid
acidity	0.156	0.663	0.360	keasidan
acknowledge	0.786	0.370	0.661	mengakui
acknowledged	0.714	0.443	0.765	diakui
acknowledgement	0.819	0.539	0.830	pengakuan
acknowledgment	0.796	0.528	0.777	pengakuan
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	jerawat
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	akustik
acoustics	0.611	0.330	0.509	akustik
acquaint	0.646	0.491	0.639	berkenalan
acquaintance	0.656	0.290	0.670	perkenalan
acquainted	0.906	0.358	0.632	berkenalan
acquiescence	0.542	0.480	0.554	akur
acquire	0.833	0.468	0.700	memperoleh
acquiring	0.735	0.510	0.817	memperoleh
acquisition	0.698	0.509	0.736	pemerolehan
acquisitions	0.773	0.660	0.790	pemerolehan
acquit	0.583	0.571	0.611	membebaskan diri
acquittal	0.760	0.497	0.700	pembebasan
acre	0.583	0.387	0.423	ekar
acreage	0.741	0.450	0.528	keluasan
acres	0.510	0.363	0.500	ekar
acrobat	0.708	0.828	0.602	akrobat
acrylic	0.582	0.279	0.420	akrilik
act	0.656	0.704	0.735	bertindak
acting	0.698	0.643	0.500	berlakon
action	0.760	0.898	0.802	tindakan
action figure	0.615	0.774	0.611	figura aksi
actionable	0.673	0.702	0.613	boleh diambil tindakan
activate	0.764	0.650	0.806	aktifkan
activation	0.781	0.800	0.754	pengaktifan
active	0.847	0.730	0.731	aktif
activist	0.531	0.653	0.877	aktivis
activity	0.701	0.660	0.807	aktiviti
actor	0.653	0.561	0.629	pelakon
actress	0.633	0.556	0.596	pelakon
actual	0.729	0.400	0.716	sebenar
actuality	0.750	0.464	0.600	realiti
actuary	0.510	0.404	0.491	aktuari
acuity	0.469	0.378	0.741	ketajaman
acumen	0.564	0.660	0.679	ketajaman
acupuncture	0.531	0.324	0.549	akupunktur
acute	0.427	0.652	0.534	akut
acutely	0.417	0.543	0.491	secara akut
ad	0.521	0.705	0.558	iklan
adage	0.517	0.415	0.566	pepatah
adamant	0.344	0.529	0.575	bertegas
adapt	0.740	0.355	0.551	menyesuaikan diri
adaptable	0.735	0.423	0.641	boleh menyesuaikan diri
adaptation	0.663	0.365	0.609	adaptasi
add	0.728	0.490	0.554	Tambah
added	0.562	0.405	0.509	tambah
addendum	0.392	0.370	0.418	tambahan
adder	0.388	0.461	0.588	penambah
addict	0.075	0.696	0.327	penagih
addicted	0.156	0.712	0.483	ketagih
addiction	0.180	0.806	0.420	ketagihan
addictive	0.302	0.683	0.472	ketagihan
addition	0.562	0.373	0.471	tambahan
additional	0.673	0.462	0.526	tambahan
additive	0.561	0.633	0.691	bahan tambahan
address	0.650	0.327	0.567	alamat
addressee	0.622	0.382	0.538	penerima
addresses	0.510	0.354	0.450	alamat
adept	0.594	0.539	0.789	mahir
adequacy	0.615	0.435	0.702	kecukupan
adequate	0.854	0.264	0.705	mencukupi
adhere	0.633	0.339	0.554	mematuhi
adherence	0.760	0.307	0.630	kepatuhan
adherent	0.561	0.385	0.555	berpegang teguh
adhering	0.612	0.561	0.537	mematuhi
adhesion	0.521	0.445	0.586	lekatan
adhesive	0.604	0.350	0.413	pelekat
adieu	0.250	0.471	0.342	perpisahan
adipose	0.333	0.350	0.391	adiposa
adjacency	0.365	0.417	0.375	bersebelahan
adjacent	0.645	0.276	0.536	bersebelahan
adjective	0.570	0.316	0.569	kata sifat
adjoining	0.520	0.400	0.393	bersebelahan
adjourn	0.385	0.456	0.475	menangguhkan
adjournment	0.438	0.510	0.370	penangguhan
adjudicate	0.559	0.520	0.683	mengadili
adjudication	0.551	0.462	0.691	penghakiman
adjunct	0.459	0.440	0.426	tambahan
adjust	0.647	0.327	0.638	melaraskan
adjuster	0.510	0.540	0.760	pelaras
adjustment	0.590	0.520	0.661	pelarasan
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	mentadbir
administration	0.625	0.404	0.786	pentadbiran
administrative	0.542	0.415	0.579	pentadbiran
administrator	0.538	0.480	0.902	pentadbir
admirable	0.929	0.600	0.870	terpuji
admiral	0.844	0.490	0.847	laksamana
admiralty	0.594	0.547	0.733	kekaguman
admiration	0.969	0.583	0.726	kekaguman
admire	0.867	0.692	0.704	mengagumi
admired	0.917	0.560	0.815	dikagumi
admirer	0.796	0.720	0.650	peminat
admiring	0.867	0.578	0.629	mengagumi
admissibility	0.802	0.580	0.602	kebolehterimaan
admissible	0.780	0.528	0.642	boleh diterima
admission	0.802	0.415	0.732	kemasukan
admit	0.538	0.423	0.667	mengaku
admittance	0.690	0.451	0.598	kemasukan
admitted	0.720	0.490	0.767	mengaku
admitting	0.620	0.500	0.546	mengaku
admixture	0.450	0.375	0.438	bahan campuran
admonition	0.357	0.606	0.455	teguran
ado	0.520	0.423	0.385	mengarut
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	zaman remaja
adolescent	0.781	0.680	0.509	remaja
adopt	0.694	0.612	0.701	menerima pakai
adoption	0.625	0.566	0.589	pengangkatan
adoptive	0.531	0.469	0.520	anak angkat
adorable	0.969	0.519	0.457	comel
adoration	0.885	0.699	0.708	pemujaan
adore	0.854	0.438	0.657	memuja
adoring	0.885	0.620	0.717	memuja
adorn	0.910	0.424	0.482	berhias
adornment	0.918	0.373	0.377	perhiasan
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenalin
adrift	0.398	0.486	0.230	hanyut
adult	0.815	0.491	0.787	dewasa
adulterated	0.188	0.865	0.370	dipalsukan
adulterer	0.229	0.814	0.407	penzina
adultery	0.120	0.922	0.510	zina
adulthood	0.541	0.454	0.652	dewasa
advance	0.673	0.472	0.858	terlebih dahulu
advanced	0.844	0.623	0.797	maju
advancement	0.776	0.650	0.839	kemajuan
advancing	0.929	0.608	0.812	memajukan
advantage	0.917	0.548	0.859	kelebihan
advantageous	0.837	0.640	0.789	berfaedah
advent	0.665	0.560	0.627	kedatangan
adventure	0.917	0.857	0.710	pengembaraan
adventurer	0.781	0.839	0.868	pengembara
adventures	0.812	0.764	0.749	pengembaraan
adventurous	0.969	0.898	0.722	petualang
adversary	0.349	0.777	0.457	musuh
adverse	0.323	0.610	0.385	buruk
adversity	0.276	0.760	0.538	kesusahan
advertise	0.500	0.529	0.580	mengiklankan
advertisement	0.600	0.566	0.539	iklan
advertising	0.622	0.608	0.632	mengiklankan
adverts	0.551	0.500	0.595	iklan
advice	0.698	0.408	0.688	nasihat
advisable	0.867	0.480	0.510	dinasihatkan
advise	0.760	0.393	0.705	menasihati
advised	0.823	0.330	0.509	dinasihatkan
advisement	0.698	0.235	0.655	nasihat
adviser	0.745	0.362	0.705	penasihat
advisor	0.646	0.350	0.689	penasihat
advisory	0.656	0.429	0.633	nasihat
advocacy	0.500	0.646	0.731	advokasi
advocate	0.551	0.530	0.818	peguambela
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	pengudaraan
aerial	0.615	0.461	0.463	udara
aerobics	0.708	0.771	0.627	senamrobik
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodinamik
aerodynamics	0.590	0.663	0.722	aerodinamik
aeronautics	0.551	0.633	0.688	aeronautik
aeroplane	0.714	0.642	0.644	kapal terbang
aerospace	0.643	0.520	0.779	aeroangkasa
aesthetic	0.708	0.442	0.526	estetik
aesthetics	0.847	0.327	0.549	estetika
aetiology	0.480	0.398	0.615	etiologi
afar	0.396	0.373	0.358	jauh
affable	0.704	0.380	0.452	mesra
affair	0.520	0.459	0.657	urusan
affect	0.458	0.569	0.578	mempengaruhi
affecting	0.350	0.574	0.394	mempengaruhi
affection	0.898	0.559	0.696	kasih sayang
affectionate	0.949	0.422	0.550	penyayang
affections	0.760	0.547	0.655	kasih sayang
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	afidavit
affiliated	0.673	0.519	0.535	bergabung
affiliation	0.615	0.594	0.500	pertalian
affinity	0.800	0.500	0.537	pertalian
affirm	0.745	0.509	0.731	mengesahkan
affirmation	0.750	0.500	0.689	peneguhan
affirmative	0.854	0.589	0.816	afirmatif
affirmatively	0.908	0.500	0.811	secara afirmatif
affix	0.438	0.335	0.411	imbuhan
afflict	0.302	0.555	0.293	menyusahkan
afflicted	0.271	0.500	0.167	ditimpa musibah
affliction	0.294	0.635	0.392	penderitaan
affluence	0.663	0.618	0.722	kemewahan
affluent	0.756	0.388	0.477	kaya raya
afford	0.571	0.580	0.575	mampu
affordable	0.840	0.398	0.493	mampu milik
affront	0.327	0.740	0.547	menghina
affronted	0.385	0.750	0.527	dihina
afield	0.594	0.370	0.373	jauh
afire	0.367	0.904	0.675	api
afloat	0.602	0.427	0.444	terapung
afore	0.500	0.337	0.382	dahulu
aforementioned	0.490	0.316	0.408	tersebut di atas
aforesaid	0.531	0.358	0.478	tersebut di atas
afraid	0.010	0.775	0.245	takut
afresh	0.643	0.521	0.480	semula
aft	0.480	0.417	0.518	belakang
afterlife	0.571	0.567	0.568	akhirat
aftermath	0.312	0.449	0.444	akibatnya
afternoon	0.533	0.388	0.339	tengahari
aftershave	0.406	0.384	0.415	selepas bercukur
aftertaste	0.354	0.362	0.455	rasa selepas
afterthought	0.396	0.392	0.349	renungan
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	batu akik
age	0.561	0.226	0.498	umur
aged	0.135	0.365	0.236	berumur
agency	0.460	0.296	0.583	agensi
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	ejen
agglomeration	0.450	0.765	0.509	penggumpalan
aggravate	0.224	0.770	0.464	memburukkan lagi
aggravated	0.079	0.760	0.430	bertambah teruk
aggravates	0.108	0.778	0.357	memburukkan lagi
aggravating	0.257	0.794	0.640	memburukkan
aggravation	0.071	0.784	0.613	keterukan
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	pengagregatan
aggresive	0.059	0.971	0.639	agresif
aggression	0.094	0.929	0.533	pencerobohan
aggressive	0.125	0.949	0.648	agresif
aggressively	0.250	0.926	0.688	secara agresif
aggressiveness	0.077	0.913	0.648	keagresifan
aggressor	0.146	0.948	0.823	penceroboh
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	terkejut
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	tangkas
agility	0.720	0.702	0.815	ketangkasan
aging	0.214	0.255	0.284	penuaan
agitate	0.300	0.796	0.593	gelisah
agitated	0.444	0.882	0.491	gelisah
agitation	0.240	0.931	0.447	pergolakan
aglow	0.780	0.510	0.797	bercahaya
agnostic	0.306	0.396	0.574	agnostik
ago	0.317	0.280	0.404	lalu
agonizing	0.083	0.800	0.340	menyeksakan
agony	0.083	0.775	0.393	keperitan
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	setuju
agreeable	0.906	0.500	0.696	berkenan
agreed	0.797	0.449	0.574	bersetuju
agreeing	0.854	0.480	0.557	bersetuju
agreement	0.760	0.440	0.736	perjanjian
agressive	0.083	0.918	0.751	agresif
agricultural	0.686	0.321	0.473	pertanian
agriculture	0.640	0.357	0.465	pertanian
aground	0.333	0.340	0.445	kandas
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	di hadapan
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	bantuan
aide	0.724	0.342	0.434	pembantu
aiding	0.643	0.533	0.569	membantu
aids	0.561	0.480	0.500	bantuan
ail	0.375	0.434	0.385	sakit
ailing	0.094	0.518	0.153	sakit
ailment	0.146	0.734	0.277	penyakit
aim	0.481	0.569	0.567	matlamat
aimless	0.150	0.267	0.183	tiada tujuan
air	0.708	0.163	0.427	udara
airbag	0.510	0.402	0.433	beg udara
airborne	0.542	0.519	0.385	bawaan udara
aircraft	0.646	0.644	0.691	kapal terbang
aircraft carrier	0.490	0.740	0.727	kapal pengangkut pesawat
airfield	0.601	0.650	0.645	lapangan terbang
airhead	0.271	0.481	0.276	kepala udara
airlift	0.573	0.622	0.642	pengangkutan udara
airline	0.650	0.482	0.688	syarikat penerbangan
airliner	0.667	0.777	0.647	kapal terbang
airlock	0.398	0.520	0.447	kunci udara
airman	0.587	0.716	0.721	juruterbang
airplane	0.719	0.702	0.708	kapal terbang
airport	0.729	0.684	0.682	lapangan terbang
airs	0.583	0.196	0.370	ditayangkan
airship	0.542	0.472	0.529	kapal udara
airspace	0.562	0.510	0.640	ruang udara
airspeed	0.583	0.780	0.544	kelajuan udara
airstrip	0.550	0.690	0.649	landasan terbang
airtight	0.479	0.381	0.570	kedap udara
airway	0.638	0.585	0.482	saluran pernafasan
aisle	0.438	0.222	0.283	lorong
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	terbuka
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	serupa
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	penggera
alarm clock	0.542	0.727	0.642	jam loceng
alarmed	0.188	0.822	0.492	cemas
alarming	0.204	0.890	0.585	membimbangkan
alas	0.571	0.310	0.279	Malangnya
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alkimia
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	beralkohol
alcoholism	0.061	0.779	0.407	alkoholisme
alcove	0.490	0.340	0.356	ceruk
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	amaran
alertness	0.375	0.875	0.750	kewaspadaan
alerts	0.337	0.804	0.673	makluman
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebra
algorithm	0.448	0.394	0.559	algoritma
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	makhluk asing
alienate	0.247	0.500	0.523	mengasingkan diri
alienated	0.410	0.423	0.559	terasing
alienation	0.378	0.530	0.462	pengasingan
alight	0.667	0.657	0.605	turun
align	0.656	0.364	0.627	selaraskan
aligned	0.583	0.275	0.553	sejajar
alignment	0.643	0.412	0.683	penjajaran
alike	0.653	0.173	0.444	serupa
alimentation	0.781	0.551	0.602	pemakanan
alimony	0.612	0.477	0.464	nafkah
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	hidup
alkali	0.490	0.350	0.408	alkali
alkaloids	0.433	0.562	0.402	alkaloid
allay	0.417	0.406	0.398	meredakan
allegation	0.578	0.578	0.608	dakwaan
allege	0.418	0.482	0.587	dakwa
alleged	0.365	0.522	0.520	didakwa
allegiance	0.917	0.398	0.750	kesetiaan
allegorical	0.517	0.558	0.598	berkias
allegory	0.615	0.580	0.509	kiasan
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	alergik
allergy	0.296	0.606	0.389	alahan
alleviate	0.869	0.270	0.528	meringankan
alleviation	0.735	0.200	0.491	pengurangan
alley	0.347	0.500	0.355	lorong
alleyway	0.357	0.471	0.382	lorong
alliance	0.696	0.473	0.769	pakatan
allied	0.714	0.245	0.642	bersekutu
alligator	0.354	0.704	0.645	buaya
allocate	0.673	0.462	0.672	memperuntukkan
allocation	0.604	0.388	0.679	peruntukan
allot	0.622	0.481	0.616	memperuntukkan
allotment	0.600	0.390	0.640	peruntukan
allow	0.698	0.429	0.538	benarkan
allowable	0.698	0.500	0.561	dibenarkan
allowance	0.673	0.382	0.591	elaun
allowed	0.730	0.360	0.655	dibenarkan
alloy	0.583	0.443	0.593	aloi
allsmiles	0.786	0.528	0.430	allsmiles
allure	0.804	0.585	0.686	memikat
alluring	0.837	0.745	0.843	memikat
allusion	0.440	0.308	0.462	kiasan
alluvial	0.323	0.490	0.491	aluvium
ally	0.792	0.320	0.688	sekutu
almanac	0.688	0.190	0.412	almanak
almighty	0.938	0.874	0.958	maha kuasa
almond	0.698	0.183	0.314	badam
aloft	0.771	0.373	0.700	tinggi-tinggi
aloha	0.698	0.440	0.441	sayang
alone	0.333	0.167	0.216	bersendirian
alongside	0.458	0.333	0.347	bersama
aloof	0.189	0.423	0.302	menyendiri
aloud	0.458	0.713	0.750	dengan lantang
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	abjad
alphabetical	0.537	0.296	0.535	mengikut abjad
alpine	0.594	0.337	0.474	alpine
alreadyyyyy	0.592	0.717	0.351	sudahyyyy
altar	0.724	0.387	0.635	mezbah
altar boy	0.434	0.206	0.350	budak altar
alter	0.333	0.694	0.654	mengubah
alteration	0.167	0.798	0.609	pemindaan
altercation	0.170	0.806	0.500	pertengkaran
altered	0.255	0.765	0.500	diubah
alternate	0.625	0.363	0.589	alternatif
alternating	0.480	0.494	0.542	berselang seli
alternative	0.628	0.373	0.631	alternatif
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	ketinggian
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	kesemuanya
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	alumni
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	pesakit alzheimer
amalgam	0.438	0.333	0.510	amalgam
amalgamation	0.406	0.470	0.531	percantuman
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	mengumpul
amateur	0.469	0.500	0.409	amatur
amaze	0.896	0.843	0.783	memukau
amazed	0.796	0.779	0.533	kagum
amazedness	0.827	0.872	0.510	kehairanan
amazement	0.750	0.800	0.639	kehairanan
amazing	0.906	0.837	0.849	menakjubkan
amazingly	0.918	0.765	0.920	luar biasa
ambassador	0.651	0.529	0.917	duta
amber	0.635	0.308	0.369	ambar
ambience	0.735	0.356	0.426	suasana
ambient	0.625	0.360	0.582	ambien
ambiguity	0.164	0.460	0.370	kekaburan
ambiguous	0.265	0.462	0.358	samar-samar
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	cita-cita
ambitious	0.484	0.821	0.717	bercita-cita tinggi
ambivalent	0.510	0.404	0.482	ambivalen
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	ambulans
ambush	0.281	0.830	0.500	serang hendap
ameliorate	0.770	0.548	0.747	membaiki
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	boleh diterima akal
amend	0.688	0.406	0.658	meminda
amendment	0.531	0.459	0.606	pindaan
amends	0.640	0.366	0.517	meminda
amenity	0.750	0.327	0.574	kemudahan
amethyst	0.622	0.406	0.517	kecubung
amiable	0.847	0.290	0.483	mesra
amicable	0.875	0.330	0.507	mesra
amid	0.510	0.340	0.256	tengah-tengah
amidst	0.480	0.330	0.316	di tengah-tengah
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	peluru
ammonia	0.292	0.587	0.409	ammonia
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	peluru
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	pengampunan
amorous	0.844	0.670	0.636	bercinta
amorphous	0.327	0.402	0.349	amorfus
amortization	0.592	0.491	0.522	pelunasan
amount	0.562	0.422	0.649	jumlah
amour	0.865	0.480	0.652	percintaan
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetamin
amphibian	0.427	0.357	0.474	amfibia
amphibious	0.479	0.346	0.445	amfibia
amphitheater	0.653	0.480	0.545	amfiteater
ample	0.744	0.349	0.719	mencukupi
amplification	0.690	0.677	0.810	penguatan
amplify	0.677	0.735	0.827	menguatkan
amplitude	0.694	0.439	0.692	amplitud
amply	0.781	0.431	0.766	melimpah ruah
amputate	0.092	0.660	0.509	amputasi
amputation	0.100	0.755	0.483	amputasi
amuck	0.385	0.602	0.321	amuk
amulet	0.781	0.260	0.630	azimat
amuse	0.812	0.684	0.664	menggembirakan
amused	0.942	0.847	0.596	terhibur
amusement	0.929	0.837	0.803	keseronokan
amusing	0.960	0.829	0.632	menggelikan hati
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	bius
anaesthetic	0.449	0.268	0.509	ubat bius
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	dubur
analgesic	0.417	0.321	0.441	analgesik
analogous	0.531	0.270	0.500	analogi
analogue	0.570	0.320	0.446	analog
analogy	0.510	0.367	0.509	analogi
analysis	0.729	0.448	0.705	analisis
analyst	0.604	0.415	0.755	penganalisis
analytic	0.665	0.521	0.634	analitik
analytical	0.625	0.324	0.800	analitikal
analyze	0.667	0.462	0.710	menganalisis
analyzer	0.625	0.556	0.854	penganalisis
anaphylactic	0.378	0.588	0.500	anafilaksis
anarchism	0.125	0.804	0.623	anarkisme
