English Word	Valence	Arousal	Dominance	Polish Word
adoptive	0.531	0.469	0.520	przybrany
adorable	0.969	0.519	0.457	uroczy
adoration	0.885	0.699	0.708	adoracja
adore	0.854	0.438	0.657	adorować
adoring	0.885	0.620	0.717	adorujący
adorn	0.910	0.424	0.482	zdobić
adornment	0.918	0.373	0.377	ozdoba
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	dryfujący
adult	0.815	0.491	0.787	dorosły
adulterated	0.188	0.865	0.370	zafałszowane
adulterer	0.229	0.814	0.407	cudzołożnik
adultery	0.120	0.922	0.510	cudzołóstwo
adulthood	0.541	0.454	0.652	wiek dojrzały
advance	0.673	0.472	0.858	osiągnięcie
advanced	0.844	0.623	0.797	zaawansowane
advancement	0.776	0.650	0.839	postęp
advancing	0.929	0.608	0.812	posuwać się naprzód
advantage	0.917	0.548	0.859	korzyść
advantageous	0.837	0.640	0.789	korzystny
advent	0.665	0.560	0.627	Adwent
adventure	0.917	0.857	0.710	przygoda
adventurer	0.781	0.839	0.868	poszukiwacz przygód
adventures	0.812	0.764	0.749	przygody
adventurous	0.969	0.898	0.722	ryzykowny
adversary	0.349	0.777	0.457	przeciwnik
adverse	0.323	0.610	0.385	niekorzystny
adversity	0.276	0.760	0.538	nieszczęście
advertise	0.500	0.529	0.580	reklamować
advertisement	0.600	0.566	0.539	Reklama
advertising	0.622	0.608	0.632	reklama
adverts	0.551	0.500	0.595	reklamy
advice	0.698	0.408	0.688	Rada
advisable	0.867	0.480	0.510	wskazany
advise	0.760	0.393	0.705	radzić
advised	0.823	0.330	0.509	rozmyślny
advisement	0.698	0.235	0.655	doradztwo
adviser	0.745	0.362	0.705	doradca
advisor	0.646	0.350	0.689	doradca
advisory	0.656	0.429	0.633	doradczy
advocacy	0.500	0.646	0.731	rzecznictwo
advocate	0.551	0.530	0.818	rzecznik
aegis	0.490	0.439	0.462	egida
aeration	0.550	0.500	0.433	napowietrzanie
aerial	0.615	0.461	0.463	antenowy
aerobics	0.708	0.771	0.627	aerobik
aerodrome	0.541	0.740	0.678	lotnisko
aerodynamic	0.561	0.724	0.728	aerodynamiczny
aerodynamics	0.590	0.663	0.722	aerodynamika
aeronautics	0.551	0.633	0.688	aeronautyka
aeroplane	0.714	0.642	0.644	samolot
aerospace	0.643	0.520	0.779	lotnictwo
aesthetic	0.708	0.442	0.526	estetyka
aesthetics	0.847	0.327	0.549	estetyka
aetiology	0.480	0.398	0.615	etiologia
afar	0.396	0.373	0.358	daleko
affable	0.704	0.380	0.452	uprzejmy
affair	0.520	0.459	0.657	romans
affect	0.458	0.569	0.578	wpłynąć
affecting	0.350	0.574	0.394	wpływający
affection	0.898	0.559	0.696	sympatia
affectionate	0.949	0.422	0.550	czuły
affections	0.760	0.547	0.655	uczucia
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	oświadczenie pod przysięgą
affiliated	0.673	0.519	0.535	stowarzyszony
affiliation	0.615	0.594	0.500	przynależność
affinity	0.800	0.500	0.537	podobieństwo
affirm	0.745	0.509	0.731	potwierdzać
affirmation	0.750	0.500	0.689	afirmacja
affirmative	0.854	0.589	0.816	twierdzący
affirmatively	0.908	0.500	0.811	afirmatywnie
affix	0.438	0.335	0.411	afiks
afflict	0.302	0.555	0.293	dotknąć
afflicted	0.271	0.500	0.167	cierpiący
affliction	0.294	0.635	0.392	cierpienie
affluence	0.663	0.618	0.722	zamożność
affluent	0.756	0.388	0.477	zamożny
afford	0.571	0.580	0.575	pozwalać
affordable	0.840	0.398	0.493	niedrogie
affront	0.327	0.740	0.547	afront
affronted	0.385	0.750	0.527	obrażony
afield	0.594	0.370	0.373	w polu
afire	0.367	0.904	0.675	ogień
afloat	0.602	0.427	0.444	na morzu
afore	0.500	0.337	0.382	przedtem
aforementioned	0.490	0.316	0.408	wyżej wymieniony
aforesaid	0.531	0.358	0.478	wyżej wymieniony
afraid	0.010	0.775	0.245	przestraszony
afresh	0.643	0.521	0.480	na nowo
aft	0.480	0.417	0.518	na rufie
afterlife	0.571	0.567	0.568	życie pozagrobowe
aftermath	0.312	0.449	0.444	następstwa
afternoon	0.533	0.388	0.339	wieczór
aftershave	0.406	0.384	0.415	płyn po goleniu
aftertaste	0.354	0.362	0.455	posmak
afterthought	0.396	0.392	0.349	refleksja
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agapa
agate	0.540	0.377	0.483	agat
age	0.561	0.226	0.498	wiek
aged	0.135	0.365	0.236	w wieku
agency	0.460	0.296	0.583	agencja
agenda	0.531	0.296	0.553	porządek obrad
agent	0.480	0.439	0.755	agent
agglomeration	0.450	0.765	0.509	aglomeracja
aggravate	0.224	0.770	0.464	pogarszać
aggravated	0.079	0.760	0.430	pogorszony
aggravates	0.108	0.778	0.357	pogarsza
aggravating	0.257	0.794	0.640	obciążający
aggravation	0.071	0.784	0.613	pogorszenie
aggregate	0.730	0.378	0.556	agregat
aggregation	0.583	0.517	0.694	zbiór
aggresive	0.059	0.971	0.639	agresywny
aggression	0.094	0.929	0.533	agresja
aggressive	0.125	0.949	0.648	agresywny
aggressively	0.250	0.926	0.688	agresywnie
aggressiveness	0.077	0.913	0.648	agresywność
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	Agh
aghast	0.133	0.865	0.464	przerażony
aghhh	0.281	0.635	0.243	Achhhh
agile	0.800	0.657	0.775	zręczny
agility	0.720	0.702	0.815	zwinność
aging	0.214	0.255	0.284	starzenie się
agitate	0.300	0.796	0.593	mieszać
agitated	0.444	0.882	0.491	wstrząśnięty
agitation	0.240	0.931	0.447	podniecenie
aglow	0.780	0.510	0.797	płonący
agnostic	0.306	0.396	0.574	agnostyk
ago	0.317	0.280	0.404	temu
agonizing	0.083	0.800	0.340	bolesny
agony	0.083	0.775	0.393	agonia
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	Zgodzić się
agreeable	0.906	0.500	0.696	przyjemny
agreed	0.797	0.449	0.574	Zgoda
agreeing	0.854	0.480	0.557	zgadzając się
agreement	0.760	0.440	0.736	umowa
agressive	0.083	0.918	0.751	agresywny
agricultural	0.686	0.321	0.473	rolniczy
agriculture	0.640	0.357	0.465	rolnictwo
aground	0.333	0.340	0.445	na mieliźnie
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	dalej
ahhh	0.562	0.517	0.241	ach...
ahhhhhhhh	0.552	0.649	0.288	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa była
ahoy	0.500	0.497	0.380	ahoj
aid	0.796	0.491	0.541	pomoc
aide	0.724	0.342	0.434	adiutant
aiding	0.643	0.533	0.569	pomoc
aids	0.561	0.480	0.500	AIDS
ail	0.375	0.434	0.385	chorować
ailing	0.094	0.518	0.153	schorowany
ailment	0.146	0.734	0.277	dolegliwość
aim	0.481	0.569	0.567	cel
aimless	0.150	0.267	0.183	bezcelowy
air	0.708	0.163	0.427	powietrze
airbag	0.510	0.402	0.433	poduszka powietrzna
airborne	0.542	0.519	0.385	samolotowy
aircraft	0.646	0.644	0.691	samolot
aircraft carrier	0.490	0.740	0.727	lotniskowiec
airfield	0.601	0.650	0.645	lotnisko
airhead	0.271	0.481	0.276	głowica powietrzna
airlift	0.573	0.622	0.642	most lotniczy
airline	0.650	0.482	0.688	linia lotnicza
airliner	0.667	0.777	0.647	samolot pasażerski
airlock	0.398	0.520	0.447	śluza powietrzna
airman	0.587	0.716	0.721	lotnik
airplane	0.719	0.702	0.708	samolot
airport	0.729	0.684	0.682	Lotnisko
airs	0.583	0.196	0.370	wietrzy
airship	0.542	0.472	0.529	sterowiec
airspace	0.562	0.510	0.640	kubatura
airspeed	0.583	0.780	0.544	prędkość lotu
airstrip	0.550	0.690	0.649	lądowisko
airtight	0.479	0.381	0.570	hermetyczny
airway	0.638	0.585	0.482	drogi oddechowe
aisle	0.438	0.222	0.283	nawa
ait	0.385	0.390	0.402	wysepka
ajar	0.460	0.413	0.446	uchylony
aka	0.459	0.358	0.351	znany jako
akin	0.639	0.343	0.523	pokrewny
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	alarm
alarm clock	0.542	0.727	0.642	budzik
alarmed	0.188	0.822	0.492	zaniepokojony
alarming	0.204	0.890	0.585	niepokojące
alas	0.571	0.310	0.279	Niestety
alb	0.521	0.380	0.427	alba
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albinos
album	0.635	0.349	0.453	album
alchemy	0.541	0.583	0.693	alchemia
alcohol	0.323	0.667	0.377	alkohol
alcoholic	0.153	0.688	0.361	alkoholowy
alcoholism	0.061	0.779	0.407	alkoholizm
alcove	0.490	0.340	0.356	alkierz
alderman	0.550	0.459	0.691	radny miejski
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	alarm
alertness	0.375	0.875	0.750	czujność
alerts	0.337	0.804	0.673	alerty
alfalfa	0.546	0.250	0.311	lucerna
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraiczny
algorithm	0.448	0.394	0.559	algorytm
alias	0.541	0.353	0.333	Alias
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	obcy
alienate	0.247	0.500	0.523	zrazić
alienated	0.410	0.423	0.559	wyobcowany
alienation	0.378	0.530	0.462	alienacja
alight	0.667	0.657	0.605	wysiadać
align	0.656	0.364	0.627	wyrównywać
aligned	0.583	0.275	0.553	wyrównany
alignment	0.643	0.412	0.683	wyrównanie
alike	0.653	0.173	0.444	zarówno
alimentation	0.781	0.551	0.602	wyżywienie
alimony	0.612	0.477	0.464	alimenty
aliquot	0.440	0.310	0.404	podwielokrotność
alive	0.816	0.637	0.731	żywy
alkali	0.490	0.350	0.408	alkalia
alkaloids	0.433	0.562	0.402	alkaloidy
allay	0.417	0.406	0.398	uspokajać
allegation	0.578	0.578	0.608	zarzut
allege	0.418	0.482	0.587	twierdzić
alleged	0.365	0.522	0.520	rzekomy
allegiance	0.917	0.398	0.750	wierność
allegorical	0.517	0.558	0.598	alegoryczny
allegory	0.615	0.580	0.509	alegoria
allegro	0.635	0.627	0.453	Allegro
allergic	0.135	0.549	0.273	uczulony
allergy	0.296	0.606	0.389	alergia
alleviate	0.869	0.270	0.528	łagodzić
alleviation	0.735	0.200	0.491	ulga
alley	0.347	0.500	0.355	aleja
alleyway	0.357	0.471	0.382	boczna uliczka
alliance	0.696	0.473	0.769	Sojusz
allied	0.714	0.245	0.642	sprzymierzony
alligator	0.354	0.704	0.645	aligator
allocate	0.673	0.462	0.672	przeznaczyć
allocation	0.604	0.388	0.679	przydział
allot	0.622	0.481	0.616	przydzielać
allotment	0.600	0.390	0.640	przydział
allow	0.698	0.429	0.538	umożliwić
allowable	0.698	0.500	0.561	dopuszczalne
allowance	0.673	0.382	0.591	dodatek
allowed	0.730	0.360	0.655	dozwolony
alloy	0.583	0.443	0.593	stop
allsmiles	0.786	0.528	0.430	wszystkie uśmiechy
allure	0.804	0.585	0.686	wabić
alluring	0.837	0.745	0.843	pociągający
allusion	0.440	0.308	0.462	aluzja
alluvial	0.323	0.490	0.491	aluwialny
ally	0.792	0.320	0.688	sprzymierzyć
almanac	0.688	0.190	0.412	almanach
almighty	0.938	0.874	0.958	wszechmocny
almond	0.698	0.183	0.314	migdałowy
aloft	0.771	0.373	0.700	wysoko
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	sam
alongside	0.458	0.333	0.347	wzdłuż
aloof	0.189	0.423	0.302	z dala
aloud	0.458	0.713	0.750	głośno
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabet
alphabetical	0.537	0.296	0.535	alfabetyczny
alpine	0.594	0.337	0.474	alpejski
alreadyyyyy	0.592	0.717	0.351	jużyyyy
altar	0.724	0.387	0.635	ołtarz
altar boy	0.434	0.206	0.350	ministrant
alter	0.333	0.694	0.654	zmieniać
alteration	0.167	0.798	0.609	zmiana
altercation	0.170	0.806	0.500	sprzeczka
altered	0.255	0.765	0.500	zmieniony
alternate	0.625	0.363	0.589	alternatywny
alternating	0.480	0.494	0.542	zmienny
alternative	0.628	0.373	0.631	alternatywny
altimeter	0.615	0.510	0.580	wysokościomierz
altitude	0.708	0.482	0.736	Wysokość
alto	0.656	0.404	0.730	alt
altogether	0.833	0.324	0.644	całkowicie
aluminum	0.449	0.280	0.434	aluminium
alumnus	0.633	0.368	0.422	absolwent
alveolar	0.469	0.481	0.367	pęcherzykowy
alzheimers	0.194	0.518	0.319	alzheimerowie
amalgam	0.438	0.333	0.510	amalgamat
amalgamation	0.406	0.470	0.531	połączenie
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	zgromadzić
amateur	0.469	0.500	0.409	amator
amaze	0.896	0.843	0.783	zadziwiać
amazed	0.796	0.779	0.533	zdziwiony
amazedness	0.827	0.872	0.510	zdumienie
amazement	0.750	0.800	0.639	zdumienie
amazing	0.906	0.837	0.849	zdumiewający
amazingly	0.918	0.765	0.920	zadziwiająco
ambassador	0.651	0.529	0.917	ambasador
amber	0.635	0.308	0.369	bursztyn
ambience	0.735	0.356	0.426	atmosfera
ambient	0.625	0.360	0.582	otoczenia
ambiguity	0.164	0.460	0.370	niejasność
ambiguous	0.265	0.462	0.358	dwuznaczny
ambit	0.479	0.380	0.386	obwód
ambition	0.510	0.804	0.661	ambicja
ambitious	0.484	0.821	0.717	ambitny
ambivalent	0.510	0.404	0.482	ambiwalentny
ambrosia	0.571	0.452	0.480	Ambrozja
ambulance	0.500	0.750	0.609	karetka
ambush	0.281	0.830	0.500	zasadzka
ameliorate	0.770	0.548	0.747	polepszyć
amen	0.781	0.182	0.542	Amen
amenable	0.448	0.410	0.406	odpowiedzialny
amend	0.688	0.406	0.658	poprawiać
amendment	0.531	0.459	0.606	poprawka
amends	0.640	0.366	0.517	odszkodowanie
amenity	0.750	0.327	0.574	uprzejmość
amethyst	0.622	0.406	0.517	ametyst
amiable	0.847	0.290	0.483	sympatyczny
amicable	0.875	0.330	0.507	przyjazny
amid	0.510	0.340	0.256	pośród
amidst	0.480	0.330	0.316	wśród
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	amunicja
ammonia	0.292	0.587	0.409	amoniak
ammonium	0.354	0.396	0.368	amon
ammunition	0.338	0.635	0.667	amunicja
amnesia	0.296	0.330	0.308	amnezja
amnesty	0.551	0.451	0.814	amnestia
amorous	0.844	0.670	0.636	kochliwy
amorphous	0.327	0.402	0.349	amorficzny
amortization	0.592	0.491	0.522	amortyzacja
amount	0.562	0.422	0.649	ilość
amour	0.865	0.480	0.652	romans
amp	0.439	0.393	0.375	wzmacniacz
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amfetaminy
amphibian	0.427	0.357	0.474	płaz
amphibious	0.479	0.346	0.445	ziemnowodny
amphitheater	0.653	0.480	0.545	amfiteatr
ample	0.744	0.349	0.719	obszerny
amplification	0.690	0.677	0.810	wzmocnienie
amplify	0.677	0.735	0.827	wzmacniać
amplitude	0.694	0.439	0.692	amplituda
amply	0.781	0.431	0.766	obficie
amputate	0.092	0.660	0.509	odciąć
amputation	0.100	0.755	0.483	amputacja
amuck	0.385	0.602	0.321	szał
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	bawić
amused	0.942	0.847	0.596	rozbawiony
amusement	0.929	0.837	0.803	rozrywka
amusing	0.960	0.829	0.632	zabawny
ana	0.541	0.300	0.314	anana
anaconda	0.146	0.830	0.540	anakonda
anaesthesia	0.350	0.217	0.473	znieczulenie
anaesthetic	0.449	0.268	0.509	znieczulający
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	analny
analgesic	0.417	0.321	0.441	przeciwbólowy
analogous	0.531	0.270	0.500	analogiczny
