English Word	Valence	Arousal	Dominance	Spanish Word
absenteeism	0.404	0.273	0.357	absentismo
absinthe	0.481	0.510	0.462	Ajenjo
absolute	0.526	0.510	0.827	absoluto
absolution	0.715	0.500	0.664	absolución
absolve	0.684	0.449	0.660	absolver
absorb	0.469	0.558	0.670	absorber
absorbed	0.490	0.471	0.519	absorbido
absorbent	0.552	0.394	0.718	absorbente
absorbing	0.490	0.490	0.578	absorbente
absorption	0.609	0.422	0.446	absorción
abstain	0.385	0.385	0.427	abstenerse
abstention	0.271	0.264	0.509	abstención
abstinence	0.260	0.392	0.429	abstinencia
abstract	0.438	0.292	0.444	resumen
abstraction	0.469	0.439	0.525	abstracción
absurd	0.188	0.656	0.284	absurdo
absurdity	0.115	0.528	0.227	absurdo
abundance	0.812	0.690	0.852	abundancia
abundant	0.958	0.590	0.760	abundante
abuse	0.071	0.873	0.469	abuso
abused	0.021	0.874	0.235	abusado
abusive	0.125	0.903	0.567	abusivo
abutment	0.500	0.265	0.616	contrafuerte
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abismal
abyss	0.353	0.725	0.296	abismo
academic	0.781	0.420	0.812	académico
academy	0.704	0.473	0.792	academia
accede	0.698	0.510	0.537	acceder a
accelerant	0.643	0.844	0.802	acelerante
accelerate	0.615	0.902	0.759	acelerar
accelerated	0.610	0.812	0.682	acelerado
acceleration	0.704	0.905	0.843	aceleración
accelerator	0.593	0.830	0.812	acelerador
accent	0.598	0.357	0.509	acento
accentuate	0.673	0.556	0.667	acentuar
accept	0.847	0.286	0.565	aceptar
acceptable	0.812	0.286	0.583	aceptable
acceptance	0.833	0.287	0.755	aceptación
acceptances	0.847	0.413	0.648	aceptaciones
access	0.714	0.472	0.567	acceso
accessible	0.796	0.410	0.645	accesible
accession	0.612	0.383	0.636	adhesión
accessory	0.562	0.292	0.445	accesorio
accident	0.125	0.908	0.336	accidente
accidental	0.319	0.784	0.307	accidental
accidentally	0.333	0.741	0.333	accidentalmente
acclaim	0.562	0.809	0.718	aclamación
accolade	0.688	0.591	0.775	espaldarazo
accommodate	0.844	0.375	0.566	acomodar
accommodation	0.817	0.415	0.587	alojamiento
accompaniment	0.740	0.479	0.695	acompañamiento
accompany	0.833	0.406	0.585	acompañar
accompanying	0.787	0.460	0.582	acompañamiento
accomplice	0.408	0.580	0.510	cómplice
accomplish	0.929	0.673	0.816	realizar
accomplished	0.870	0.520	0.798	logrado
accomplishment	0.917	0.694	0.888	logro
accord	0.898	0.264	0.382	acuerdo
accordance	0.659	0.349	0.600	conformidad
accordion	0.604	0.490	0.361	acordeón
account	0.531	0.347	0.472	cuenta
accountability	0.755	0.537	0.833	responsabilidad
accountable	0.709	0.282	0.777	responsable
accountant	0.625	0.450	0.639	contador
accounting	0.552	0.390	0.677	contabilidad
accounts	0.592	0.340	0.471	cuentas
accredited	0.669	0.479	0.768	autorizado
accretion	0.448	0.519	0.672	acreción
accrue	0.520	0.481	0.602	acumularse
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	acumular
accumulation	0.479	0.527	0.600	acumulación
accuracy	0.604	0.481	0.802	precisión
accurate	0.743	0.360	0.737	preciso
accursed	0.135	0.745	0.345	maldito
accusation	0.073	0.718	0.564	acusación
accusative	0.198	0.755	0.482	acusativo
accuse	0.133	0.752	0.500	acusar
accused	0.130	0.670	0.420	acusado
accuser	0.122	0.779	0.615	acusador
accusing	0.156	0.745	0.324	acusando
accustomed	0.542	0.365	0.441	acostumbrado
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	acético
acetylene	0.306	0.469	0.509	acetileno
ache	0.146	0.760	0.312	dolor
achieve	0.816	0.545	0.843	lograr
achieved	0.896	0.519	0.775	logrado
achievement	0.896	0.808	0.759	logro
aching	0.053	0.880	0.348	dolor
achy	0.167	0.840	0.373	adolorido
acid	0.265	0.642	0.566	ácido
acidity	0.156	0.663	0.360	acidez
acknowledge	0.786	0.370	0.661	reconocer
acknowledged	0.714	0.443	0.765	admitido
acknowledgement	0.819	0.539	0.830	Reconocimiento
acknowledgment	0.796	0.528	0.777	Reconocimiento
acme	0.408	0.435	0.375	cumbre
acne	0.167	0.474	0.308	acné
acorn	0.448	0.198	0.192	bellota
acoustic	0.542	0.462	0.536	acústico
acoustics	0.611	0.330	0.509	acústica
acquaint	0.646	0.491	0.639	familiarizar
acquaintance	0.656	0.290	0.670	conocido
acquainted	0.906	0.358	0.632	familiarizado
acquiescence	0.542	0.480	0.554	aquiescencia
acquire	0.833	0.468	0.700	adquirir
acquiring	0.735	0.510	0.817	adquisidor
acquisition	0.698	0.509	0.736	adquisición
acquisitions	0.773	0.660	0.790	adquisiciones
acquit	0.583	0.571	0.611	absolver
acquittal	0.760	0.497	0.700	absolución
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	superficie en acres
acres	0.510	0.363	0.500	hectáreas
acrobat	0.708	0.828	0.602	acróbata
acrylic	0.582	0.279	0.420	acrílico
act	0.656	0.704	0.735	Actuar
acting	0.698	0.643	0.500	interino
action	0.760	0.898	0.802	acción
action figure	0.615	0.774	0.611	Figura de acción
actionable	0.673	0.702	0.613	procesable
activate	0.764	0.650	0.806	activar
activation	0.781	0.800	0.754	activación
active	0.847	0.730	0.731	activo
activist	0.531	0.653	0.877	activista
activity	0.701	0.660	0.807	actividad
actor	0.653	0.561	0.629	actor
actress	0.633	0.556	0.596	Actriz
actual	0.729	0.400	0.716	actual
actuality	0.750	0.464	0.600	realidad
actuary	0.510	0.404	0.491	actuario
acuity	0.469	0.378	0.741	agudeza
acumen	0.564	0.660	0.679	perspicacia
acupuncture	0.531	0.324	0.549	acupuntura
acute	0.427	0.652	0.534	agudo
acutely	0.417	0.543	0.491	extremadamente
ad	0.521	0.705	0.558	anuncio
adage	0.517	0.415	0.566	adagio
adamant	0.344	0.529	0.575	firme
adapt	0.740	0.355	0.551	adaptar
adaptable	0.735	0.423	0.641	adaptable
adaptation	0.663	0.365	0.609	adaptación
add	0.728	0.490	0.554	agregar
added	0.562	0.405	0.509	adicional
addendum	0.392	0.370	0.418	apéndice
adder	0.388	0.461	0.588	sumador
addict	0.075	0.696	0.327	adicto
addicted	0.156	0.712	0.483	adicto
addiction	0.180	0.806	0.420	adiccion
addictive	0.302	0.683	0.472	adictivo
addition	0.562	0.373	0.471	suma
additional	0.673	0.462	0.526	adicional
additive	0.561	0.633	0.691	aditivo
address	0.650	0.327	0.567	Dirección
addressee	0.622	0.382	0.538	destinatario
addresses	0.510	0.354	0.450	direcciones
adept	0.594	0.539	0.789	adepto
adequacy	0.615	0.435	0.702	adecuación
adequate	0.854	0.264	0.705	adecuado
adhere	0.633	0.339	0.554	adherirse
adherence	0.760	0.307	0.630	adherencia
adherent	0.561	0.385	0.555	adherente
adhering	0.612	0.561	0.537	adherido
adhesion	0.521	0.445	0.586	adhesión
adhesive	0.604	0.350	0.413	adhesivo
adieu	0.250	0.471	0.342	adiós
adipose	0.333	0.350	0.391	adiposo
adjacency	0.365	0.417	0.375	proximidad
adjacent	0.645	0.276	0.536	adyacente
adjective	0.570	0.316	0.569	adjetivo
adjoining	0.520	0.400	0.393	contiguo
adjourn	0.385	0.456	0.475	aplazar
adjournment	0.438	0.510	0.370	aplazamiento
adjudicate	0.559	0.520	0.683	juzgar
adjudication	0.551	0.462	0.691	adjudicación
adjunct	0.459	0.440	0.426	adjunto
adjust	0.647	0.327	0.638	ajustar
adjuster	0.510	0.540	0.760	ajustador
adjustment	0.590	0.520	0.661	ajustamiento
adjuvant	0.510	0.500	0.456	auxiliar
admin	0.688	0.420	0.854	administración
administer	0.635	0.425	0.860	administrar
administration	0.625	0.404	0.786	administración
administrative	0.542	0.415	0.579	administrativo
administrator	0.538	0.480	0.902	administrador
admirable	0.929	0.600	0.870	admirable
admiral	0.844	0.490	0.847	almirante
admiralty	0.594	0.547	0.733	almirantazgo
admiration	0.969	0.583	0.726	admiración
admire	0.867	0.692	0.704	admirar
admired	0.917	0.560	0.815	estimado
admirer	0.796	0.720	0.650	admirador
admiring	0.867	0.578	0.629	admirativo
admissibility	0.802	0.580	0.602	admisibilidad
admissible	0.780	0.528	0.642	admisible
admission	0.802	0.415	0.732	admisión
admit	0.538	0.423	0.667	admitir
admittance	0.690	0.451	0.598	entrada
admitted	0.720	0.490	0.767	aceptado
admitting	0.620	0.500	0.546	admitiendo
admixture	0.450	0.375	0.438	mezcla
admonition	0.357	0.606	0.455	amonestación
ado	0.520	0.423	0.385	alharaca
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	adolescencia
adolescent	0.781	0.680	0.509	adolescente
adopt	0.694	0.612	0.701	adoptar
adoption	0.625	0.566	0.589	adopción
adoptive	0.531	0.469	0.520	adoptivo
adorable	0.969	0.519	0.457	adorable
adoration	0.885	0.699	0.708	adoración
adore	0.854	0.438	0.657	adorar
adoring	0.885	0.620	0.717	cariñoso
adorn	0.910	0.424	0.482	adornar
adornment	0.918	0.373	0.377	adorno
adrenalin	0.865	0.920	0.786	adrenalina
adrenaline	0.765	0.965	0.825	adrenalina
adrift	0.398	0.486	0.230	a la deriva
adult	0.815	0.491	0.787	adulto
adulterated	0.188	0.865	0.370	espurio
adulterer	0.229	0.814	0.407	adúltero
adultery	0.120	0.922	0.510	adulterio
adulthood	0.541	0.454	0.652	edad adulta
advance	0.673	0.472	0.858	ventaja
advanced	0.844	0.623	0.797	avanzado
advancement	0.776	0.650	0.839	avance
advancing	0.929	0.608	0.812	avanzando
advantage	0.917	0.548	0.859	ventaja
advantageous	0.837	0.640	0.789	ventajoso
advent	0.665	0.560	0.627	adviento
adventure	0.917	0.857	0.710	aventura
adventurer	0.781	0.839	0.868	aventurero
adventures	0.812	0.764	0.749	aventuras
adventurous	0.969	0.898	0.722	aventurero
adversary	0.349	0.777	0.457	adversario
adverse	0.323	0.610	0.385	adverso
adversity	0.276	0.760	0.538	adversidad
advertise	0.500	0.529	0.580	anunciar
advertisement	0.600	0.566	0.539	anuncio publicitario
advertising	0.622	0.608	0.632	publicidad
adverts	0.551	0.500	0.595	anuncios
advice	0.698	0.408	0.688	consejo
advisable	0.867	0.480	0.510	aconsejable
advise	0.760	0.393	0.705	consejo
advised	0.823	0.330	0.509	aconsejado
advisement	0.698	0.235	0.655	asesoramiento
adviser	0.745	0.362	0.705	asesor
advisor	0.646	0.350	0.689	tutor
advisory	0.656	0.429	0.633	consultivo
advocacy	0.500	0.646	0.731	Abogacía
advocate	0.551	0.530	0.818	defensor
aegis	0.490	0.439	0.462	égida
aeration	0.550	0.500	0.433	aireación
aerial	0.615	0.461	0.463	aéreo
aerobics	0.708	0.771	0.627	aeróbicos
aerodrome	0.541	0.740	0.678	aeródromo
aerodynamic	0.561	0.724	0.728	aerodinámico
aerodynamics	0.590	0.663	0.722	aerodinámica
aeronautics	0.551	0.633	0.688	aeronáutica
aeroplane	0.714	0.642	0.644	avión
aerospace	0.643	0.520	0.779	aeroespacial
aesthetic	0.708	0.442	0.526	estético
aesthetics	0.847	0.327	0.549	estética
aetiology	0.480	0.398	0.615	etiología
afar	0.396	0.373	0.358	lejos
affable	0.704	0.380	0.452	afable
affair	0.520	0.459	0.657	asunto
affect	0.458	0.569	0.578	afectar
affecting	0.350	0.574	0.394	conmovedor
affection	0.898	0.559	0.696	cariño
affectionate	0.949	0.422	0.550	cariñoso
affections	0.760	0.547	0.655	afectos
affiche	0.479	0.265	0.402	afiche
affidavit	0.469	0.584	0.526	declaración jurada
affiliated	0.673	0.519	0.535	asociado
affiliation	0.615	0.594	0.500	afiliación
affinity	0.800	0.500	0.537	afinidad
affirm	0.745	0.509	0.731	afirmar
affirmation	0.750	0.500	0.689	afirmación
affirmative	0.854	0.589	0.816	afirmativo
affirmatively	0.908	0.500	0.811	afirmativamente
affix	0.438	0.335	0.411	afijo
afflict	0.302	0.555	0.293	afligir
afflicted	0.271	0.500	0.167	afligido
affliction	0.294	0.635	0.392	aflicción
affluence	0.663	0.618	0.722	afluencia
affluent	0.756	0.388	0.477	afluente
afford	0.571	0.580	0.575	solventar
affordable	0.840	0.398	0.493	asequible
affront	0.327	0.740	0.547	afrenta
affronted	0.385	0.750	0.527	ofendido
afield	0.594	0.370	0.373	al campo
afire	0.367	0.904	0.675	un incendio
afloat	0.602	0.427	0.444	a flote
afore	0.500	0.337	0.382	a proa
aforementioned	0.490	0.316	0.408	citado
aforesaid	0.531	0.358	0.478	antedicho
afraid	0.010	0.775	0.245	atemorizado
afresh	0.643	0.521	0.480	de nuevo
aft	0.480	0.417	0.518	en popa
afterlife	0.571	0.567	0.568	vida futura
aftermath	0.312	0.449	0.444	secuelas
afternoon	0.533	0.388	0.339	tarde
aftershave	0.406	0.384	0.415	aftershave
aftertaste	0.354	0.362	0.455	regusto
afterthought	0.396	0.392	0.349	idea tardía
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	ágape
agate	0.540	0.377	0.483	ágata
age	0.561	0.226	0.498	años
aged	0.135	0.365	0.236	Envejecido
agency	0.460	0.296	0.583	agencia
agenda	0.531	0.296	0.553	agenda
agent	0.480	0.439	0.755	agente
agglomeration	0.450	0.765	0.509	aglomeración
aggravate	0.224	0.770	0.464	agravar
aggravated	0.079	0.760	0.430	agravado
aggravates	0.108	0.778	0.357	agrava
aggravating	0.257	0.794	0.640	agravante
aggravation	0.071	0.784	0.613	agravación
aggregate	0.730	0.378	0.556	agregar
aggregation	0.583	0.517	0.694	agregación
aggresive	0.059	0.971	0.639	agresivo
aggression	0.094	0.929	0.533	agresión
aggressive	0.125	0.949	0.648	agresivo
aggressively	0.250	0.926	0.688	agresivamente
aggressiveness	0.077	0.913	0.648	agresividad
aggressor	0.146	0.948	0.823	agresor
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	espantado
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	ágil
agility	0.720	0.702	0.815	agilidad
aging	0.214	0.255	0.284	envejecimiento
agitate	0.300	0.796	0.593	agitar
agitated	0.444	0.882	0.491	agitado
agitation	0.240	0.931	0.447	agitación
aglow	0.780	0.510	0.797	radiante
agnostic	0.306	0.396	0.574	agnóstico
ago	0.317	0.280	0.404	atrás
agonizing	0.083	0.800	0.340	agonizante
agony	0.083	0.775	0.393	agonía
agoraphobia	0.127	0.712	0.438	agorafobia
agree	0.906	0.260	0.545	aceptar
agreeable	0.906	0.500	0.696	agradable
agreed	0.797	0.449	0.574	acordado
agreeing	0.854	0.480	0.557	estar de acuerdo
agreement	0.760	0.440	0.736	convenio
agressive	0.083	0.918	0.751	agresivo
agricultural	0.686	0.321	0.473	agrícola
agriculture	0.640	0.357	0.465	agricultura
aground	0.333	0.340	0.445	encallado
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	adelante
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	ayuda
aide	0.724	0.342	0.434	ayudante
aiding	0.643	0.533	0.569	ayudando
aids	0.561	0.480	0.500	SIDA
ail	0.375	0.434	0.385	afligir
ailing	0.094	0.518	0.153	enfermo
ailment	0.146	0.734	0.277	enfermedad
aim	0.481	0.569	0.567	apuntar
aimless	0.150	0.267	0.183	sin objetivo
air	0.708	0.163	0.427	aire
airbag	0.510	0.402	0.433	bolsa de aire
airborne	0.542	0.519	0.385	aerotransportado
aircraft	0.646	0.644	0.691	aeronave
aircraft carrier	0.490	0.740	0.727	portaaviones
airfield	0.601	0.650	0.645	aeródromo
airhead	0.271	0.481	0.276	cabeza hueca
airlift	0.573	0.622	0.642	puente aéreo
airline	0.650	0.482	0.688	aerolínea
airliner	0.667	0.777	0.647	avión de línea
airlock	0.398	0.520	0.447	burbuja de aire
airman	0.587	0.716	0.721	aviador
airplane	0.719	0.702	0.708	avión
airport	0.729	0.684	0.682	aeropuerto
airs	0.583	0.196	0.370	aires
airship	0.542	0.472	0.529	dirigible
airspace	0.562	0.510	0.640	espacio aéreo
airspeed	0.583	0.780	0.544	velocidad aerodinámica
airstrip	0.550	0.690	0.649	pista de aterrizaje
airtight	0.479	0.381	0.570	hermético
airway	0.638	0.585	0.482	vías respiratorias
aisle	0.438	0.222	0.283	pasillo
ait	0.385	0.390	0.402	espera
ajar	0.460	0.413	0.446	un frasco
aka	0.459	0.358	0.351	alias
akin	0.639	0.343	0.523	parecido
alabaster	0.542	0.404	0.445	alabastro
alarm	0.241	0.882	0.698	alarma
alarm clock	0.542	0.727	0.642	despertador
alarmed	0.188	0.822	0.492	alarmado
alarming	0.204	0.890	0.585	alarmante
alas	0.571	0.310	0.279	Pobre de mí
alb	0.521	0.380	0.427	alba
albatross	0.500	0.445	0.527	albatros
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	álbum
alchemy	0.541	0.583	0.693	alquimia
alcohol	0.323	0.667	0.377	alcohol
alcoholic	0.153	0.688	0.361	alcohólico
alcoholism	0.061	0.779	0.407	alcoholismo
alcove	0.490	0.340	0.356	hueco
alderman	0.550	0.459	0.691	concejal
ale	0.530	0.450	0.358	cerveza inglesa
alert	0.479	0.820	0.648	alerta
alertness	0.375	0.875	0.750	vigilancia
alerts	0.337	0.804	0.673	alertas
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	álgebra
algebraic	0.531	0.412	0.441	algebraico
algorithm	0.448	0.394	0.559	algoritmo
alias	0.541	0.353	0.333	alias
alibi	0.396	0.528	0.556	coartada
alien	0.410	0.615	0.491	extraterrestre
alienate	0.247	0.500	0.523	enajenar
alienated	0.410	0.423	0.559	alienado
alienation	0.378	0.530	0.462	alienación
alight	0.667	0.657	0.605	posarse
align	0.656	0.364	0.627	alinear
aligned	0.583	0.275	0.553	alineado
alignment	0.643	0.412	0.683	alineación
alike	0.653	0.173	0.444	similar
alimentation	0.781	0.551	0.602	alimentación
alimony	0.612	0.477	0.464	pensión alimenticia
aliquot	0.440	0.310	0.404	alícuota
alive	0.816	0.637	0.731	viva
alkali	0.490	0.350	0.408	álcali
alkaloids	0.433	0.562	0.402	alcaloides
allay	0.417	0.406	0.398	aliviar
allegation	0.578	0.578	0.608	alegación
allege	0.418	0.482	0.587	alegar
alleged	0.365	0.522	0.520	presunto
allegiance	0.917	0.398	0.750	lealtad
allegorical	0.517	0.558	0.598	alegórico
allegory	0.615	0.580	0.509	alegoría
allegro	0.635	0.627	0.453	alegro
allergic	0.135	0.549	0.273	alérgico
allergy	0.296	0.606	0.389	alergia
alleviate	0.869	0.270	0.528	aliviar
alleviation	0.735	0.200	0.491	alivio
alley	0.347	0.500	0.355	callejón
alleyway	0.357	0.471	0.382	callejón
alliance	0.696	0.473	0.769	Alianza
allied	0.714	0.245	0.642	aliado
alligator	0.354	0.704	0.645	caimán
allocate	0.673	0.462	0.672	asignar
allocation	0.604	0.388	0.679	asignación
allot	0.622	0.481	0.616	asignar
allotment	0.600	0.390	0.640	asignación
allow	0.698	0.429	0.538	permitir
allowable	0.698	0.500	0.561	admisible
allowance	0.673	0.382	0.591	tolerancia
allowed	0.730	0.360	0.655	permitió
alloy	0.583	0.443	0.593	aleación
allsmiles	0.786	0.528	0.430	todo sonrisas
allure	0.804	0.585	0.686	seducir
alluring	0.837	0.745	0.843	seductor
allusion	0.440	0.308	0.462	alusión
alluvial	0.323	0.490	0.491	aluvial
ally	0.792	0.320	0.688	aliado
almanac	0.688	0.190	0.412	almanaque
almighty	0.938	0.874	0.958	todopoderoso
almond	0.698	0.183	0.314	almendra
aloft	0.771	0.373	0.700	en alto
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	solo
alongside	0.458	0.333	0.347	junto a
aloof	0.189	0.423	0.302	a distancia
aloud	0.458	0.713	0.750	en voz alta
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	alfabeto
alphabetical	0.537	0.296	0.535	alfabético
alpine	0.594	0.337	0.474	alpino
alreadyyyyy	0.592	0.717	0.351	yayyyy
altar	0.724	0.387	0.635	altar
altar boy	0.434	0.206	0.350	monaguillo
alter	0.333	0.694	0.654	alterar
alteration	0.167	0.798	0.609	modificación
altercation	0.170	0.806	0.500	altercado
altered	0.255	0.765	0.500	alterado
alternate	0.625	0.363	0.589	alterno
alternating	0.480	0.494	0.542	alterno
alternative	0.628	0.373	0.631	alternativa
altimeter	0.615	0.510	0.580	altímetro
altitude	0.708	0.482	0.736	altitud
alto	0.656	0.404	0.730	Alto
altogether	0.833	0.324	0.644	en total
aluminum	0.449	0.280	0.434	aluminio
alumnus	0.633	0.368	0.422	antiguo alumno
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	alzheimers
amalgam	0.438	0.333	0.510	amalgama
amalgamation	0.406	0.470	0.531	amalgamación
amaretto	0.543	0.551	0.375	Amaretto
amass	0.552	0.465	0.465	acumular
amateur	0.469	0.500	0.409	aficionado
amaze	0.896	0.843	0.783	asombro
amazed	0.796	0.779	0.533	asombrado
amazedness	0.827	0.872	0.510	asombro
amazement	0.750	0.800	0.639	asombro
amazing	0.906	0.837	0.849	increíble
amazingly	0.918	0.765	0.920	Asombrosamente
ambassador	0.651	0.529	0.917	embajador
amber	0.635	0.308	0.369	ámbar
ambience	0.735	0.356	0.426	ambiente
ambient	0.625	0.360	0.582	ambiente
ambiguity	0.164	0.460	0.370	ambigüedad
ambiguous	0.265	0.462	0.358	ambiguo
ambit	0.479	0.380	0.386	ámbito
ambition	0.510	0.804	0.661	ambición
ambitious	0.484	0.821	0.717	ambicioso
ambivalent	0.510	0.404	0.482	ambivalente
ambrosia	0.571	0.452	0.480	Ambrosía
ambulance	0.500	0.750	0.609	ambulancia
ambush	0.281	0.830	0.500	emboscada
ameliorate	0.770	0.548	0.747	mejorar
amen	0.781	0.182	0.542	amén
amenable	0.448	0.410	0.406	dócil
amend	0.688	0.406	0.658	enmendar
amendment	0.531	0.459	0.606	enmienda
amends	0.640	0.366	0.517	compensación
amenity	0.750	0.327	0.574	amenidad
amethyst	0.622	0.406	0.517	amatista
amiable	0.847	0.290	0.483	amable
amicable	0.875	0.330	0.507	amistoso
amid	0.510	0.340	0.256	entre
amidst	0.480	0.330	0.316	en medio de
amino	0.551	0.402	0.433	aminado
ammo	0.323	0.765	0.621	munición
ammonia	0.292	0.587	0.409	amoníaco
ammonium	0.354	0.396	0.368	amonio
ammunition	0.338	0.635	0.667	munición
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	amnistía
amorous	0.844	0.670	0.636	amoroso
amorphous	0.327	0.402	0.349	amorfo
amortization	0.592	0.491	0.522	amortización
amount	0.562	0.422	0.649	Monto
amour	0.865	0.480	0.652	aventura amorosa
amp	0.439	0.393	0.375	amperio
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	anfetaminas
amphibian	0.427	0.357	0.474	anfibio
amphibious	0.479	0.346	0.445	anfibio
amphitheater	0.653	0.480	0.545	anfiteatro
ample	0.744	0.349	0.719	amplio
amplification	0.690	0.677	0.810	amplificación
amplify	0.677	0.735	0.827	amplificar
amplitude	0.694	0.439	0.692	amplitud
amply	0.781	0.431	0.766	ampliamente
amputate	0.092	0.660	0.509	amputar
amputation	0.100	0.755	0.483	amputación
amuck	0.385	0.602	0.321	loco
amulet	0.781	0.260	0.630	amuleto
amuse	0.812	0.684	0.664	entretener
amused	0.942	0.847	0.596	divertido
amusement	0.929	0.837	0.803	diversión
amusing	0.960	0.829	0.632	entretenido
ana	0.541	0.300	0.314	Ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	anestesia
anaesthetic	0.449	0.268	0.509	anestésico
anagram	0.552	0.327	0.449	anagrama
anal	0.333	0.798	0.334	anal
analgesic	0.417	0.321	0.441	analgésico
analogous	0.531	0.270	0.500	análogo
analogue	0.570	0.320	0.446	término análogo
analogy	0.510	0.367	0.509	analogía
analysis	0.729	0.448	0.705	análisis
analyst	0.604	0.415	0.755	analista
analytic	0.665	0.521	0.634	analítico
analytical	0.625	0.324	0.800	analítico
analyze	0.667	0.462	0.710	analizar
analyzer	0.625	0.556	0.854	analizador
anaphylactic	0.378	0.588	0.500	anafiláctico
anarchism	0.125	0.804	0.623	anarquismo
anarchist	0.204	0.700	0.759	anarquista
anarchy	0.146	0.755	0.620	anarquía
anastomosis	0.375	0.470	0.490	anastomosis
anathema	0.286	0.490	0.519	anatema
anatomic	0.562	0.442	0.546	anatómico
anatomy	0.562	0.390	0.571	anatomía
ancestor	0.592	0.388	0.594	antepasado
ancestral	0.640	0.481	0.750	ancestral
ancestry	0.708	0.519	0.717	ascendencia
anchor	0.520	0.284	0.564	ancla
anchorage	0.500	0.325	0.639	anclaje
ancient	0.420	0.217	0.439	antiguo
ancillary	0.449	0.442	0.278	auxiliar
androgen	0.255	0.523	0.527	andrógino
android	0.663	0.436	0.500	androide
anecdote	0.583	0.529	0.500	anécdota
anemia	0.188	0.327	0.310	anemia
anemic	0.167	0.279	0.155	anémico
anemone	0.552	0.538	0.327	anémona
