English Word	Valence	Arousal	Dominance	Lao Word
abutment	0.500	0.265	0.616	ຄວາມຫຼົງໄຫຼ
aby	0.385	0.452	0.368	ອາບີ
abysmal	0.250	0.710	0.598	ຂີ້ຮ້າຍ
abyss	0.353	0.725	0.296	ເຫວ
academic	0.781	0.420	0.812	ວິຊາການ
academy	0.704	0.473	0.792	ສະຖາບັນການສຶກສາ
accede	0.698	0.510	0.537	ຮັບຮອງ
accelerant	0.643	0.844	0.802	ເລັ່ງ
accelerate	0.615	0.902	0.759	ເລັ່ງ
accelerated	0.610	0.812	0.682	ເລັ່ງ
acceleration	0.704	0.905	0.843	ການເລັ່ງ
accelerator	0.593	0.830	0.812	ເລັ່ງ
accent	0.598	0.357	0.509	ສຳນຽງ
accentuate	0.673	0.556	0.667	ເນັ້ນສຽງ
accept	0.847	0.286	0.565	ຍອມ​ຮັບ
acceptable	0.812	0.286	0.583	ຍອມຮັບໄດ້
acceptance	0.833	0.287	0.755	ການຍອມຮັບ
acceptances	0.847	0.413	0.648	ການຍອມຮັບ
access	0.714	0.472	0.567	ການເຂົ້າເຖິງ
accessible	0.796	0.410	0.645	ເຂົ້າເຖິງໄດ້
accession	0.612	0.383	0.636	ການເຂົ້າເປັນສະມາຊິກ
accessory	0.562	0.292	0.445	ອຸປະກອນເສີມ
accident	0.125	0.908	0.336	ອຸບັດເຫດ
accidental	0.319	0.784	0.307	ອຸບັດເຫດ
accidentally	0.333	0.741	0.333	ບັງເອີນ
acclaim	0.562	0.809	0.718	ຊົມເຊີຍ
accolade	0.688	0.591	0.775	ລາງວັນ
accommodate	0.844	0.375	0.566	ຮອງຮັບ
accommodation	0.817	0.415	0.587	ທີ່ພັກ
accompaniment	0.740	0.479	0.695	ພ້ອມກັບ
accompany	0.833	0.406	0.585	ໄປກັບ
accompanying	0.787	0.460	0.582	ມາພ້ອມກັບ
accomplice	0.408	0.580	0.510	ສົມຮູ້ຮ່ວມຄິດ
accomplish	0.929	0.673	0.816	ສໍາເລັດ
accomplished	0.870	0.520	0.798	ສໍາ​ເລັດ
accomplishment	0.917	0.694	0.888	ຄວາມສຳເລັດ
accord	0.898	0.264	0.382	ຕົກລົງ
accordance	0.659	0.349	0.600	ສອດຄ່ອງ
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	ບັນຊີ
accountability	0.755	0.537	0.833	ຄວາມຮັບຜິດຊອບ
accountable	0.709	0.282	0.777	ຮັບຜິດຊອບ
accountant	0.625	0.450	0.639	ບັນຊີ
accounting	0.552	0.390	0.677	ການບັນຊີ
accounts	0.592	0.340	0.471	ບັນຊີ
accredited	0.669	0.479	0.768	ໄດ້ຮັບການຮັບຮອງ
accretion	0.448	0.519	0.672	ເພີ່ມ​ເຕີມ
accrue	0.520	0.481	0.602	ເພີ່ມຂຶ້ນ
accueil	0.450	0.451	0.470	ຊົມເຊີຍ
accumulate	0.573	0.536	0.607	ສະສົມ
accumulation	0.479	0.527	0.600	ການສະສົມ
accuracy	0.604	0.481	0.802	ຄວາມຖືກຕ້ອງ
accurate	0.743	0.360	0.737	ຖືກຕ້ອງ
accursed	0.135	0.745	0.345	ຖືກສາບແຊ່ງ
accusation	0.073	0.718	0.564	ການກ່າວຫາ
accusative	0.198	0.755	0.482	ກ່າວຫາ
accuse	0.133	0.752	0.500	ກ່າວຫາ
accused	0.130	0.670	0.420	ຖືກກ່າວຫາ
accuser	0.122	0.779	0.615	ຜູ້​ກ່າວ​ຫາ
accusing	0.156	0.745	0.324	ກ່າວຫາ
accustomed	0.542	0.365	0.441	ຄຸ້ນເຄີຍ
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	ເຈັບ
achieve	0.816	0.545	0.843	ບັນລຸ
achieved	0.896	0.519	0.775	ບັນລຸໄດ້
achievement	0.896	0.808	0.759	ຜົນສໍາເລັດ
aching	0.053	0.880	0.348	ເຈັບ
achy	0.167	0.840	0.373	ເຈັບ
acid	0.265	0.642	0.566	ອາຊິດ
acidity	0.156	0.663	0.360	ຄວາມສົ້ມ
acknowledge	0.786	0.370	0.661	ຮັບ​ຮູ້
acknowledged	0.714	0.443	0.765	ຮັບ​ຮູ້
acknowledgement	0.819	0.539	0.830	ການ​ຮັບ​ຮູ້​
acknowledgment	0.796	0.528	0.777	ການ​ຮັບ​ຮູ້​
acme	0.408	0.435	0.375	ອາມ
acne	0.167	0.474	0.308	ສິວ
acorn	0.448	0.198	0.192	ໝາກ
acoustic	0.542	0.462	0.536	ສຽງ
acoustics	0.611	0.330	0.509	ສຽງແຄນ
acquaint	0.646	0.491	0.639	ຄົນຮູ້ຈັກ
acquaintance	0.656	0.290	0.670	ຄົນຮູ້ຈັກ
acquainted	0.906	0.358	0.632	ຄົນຮູ້ຈັກ
acquiescence	0.542	0.480	0.554	ຄວາມ​ເປັນ​ມາ
acquire	0.833	0.468	0.700	ໄດ້ມາ
acquiring	0.735	0.510	0.817	ໄດ້ມາ
acquisition	0.698	0.509	0.736	ການໄດ້ມາ
acquisitions	0.773	0.660	0.790	ການຊື້ກິດຈະການ
acquit	0.583	0.571	0.611	ຍອມແພ້
acquittal	0.760	0.497	0.700	ພົ້ນໂທດ
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	ສວນ
acres	0.510	0.363	0.500	ເຮັກຕາ
acrobat	0.708	0.828	0.602	ນັກກາຍຍະກັມ
acrylic	0.582	0.279	0.420	ອະຄິລິກ
act	0.656	0.704	0.735	ປະຕິບັດ
acting	0.698	0.643	0.500	ການສະແດງ
action	0.760	0.898	0.802	ການກະທຳ
action figure	0.615	0.774	0.611	ຕົວ​ເລກ​ການ​ປະ​ຕິ​ບັດ​
actionable	0.673	0.702	0.613	ສາມາດປະຕິບັດໄດ້
activate	0.764	0.650	0.806	ເປີດໃຊ້
activation	0.781	0.800	0.754	ການເປີດໃຊ້ງານ
active	0.847	0.730	0.731	ເຄື່ອນໄຫວ
activist	0.531	0.653	0.877	ນັກ​ເຄື່ອນ​ໄຫວ
activity	0.701	0.660	0.807	ກິດ​ຈະ​ກໍາ​
actor	0.653	0.561	0.629	ນັກສະແດງ
actress	0.633	0.556	0.596	ລະຄອນຜູ້ຍິງ
actual	0.729	0.400	0.716	ຕົວຈິງ
actuality	0.750	0.464	0.600	ຄວາມເປັນຈິງ
actuary	0.510	0.404	0.491	ນັກວິຊາການ
acuity	0.469	0.378	0.741	ຄວາມ​ໄວ
acumen	0.564	0.660	0.679	ສະຕິປັນຍາ
acupuncture	0.531	0.324	0.549	ການຝັງເຂັມ
acute	0.427	0.652	0.534	ຮຸນ​ແຮງ
acutely	0.417	0.543	0.491	ສ້ວຍແຫຼມ
ad	0.521	0.705	0.558	ໂຄສະນາ
adage	0.517	0.415	0.566	ຄຳສຸພາສິດ
adamant	0.344	0.529	0.575	ແຂງແກ່ນ
adapt	0.740	0.355	0.551	ປັບຕົວ
adaptable	0.735	0.423	0.641	ສາມາດປັບຕົວໄດ້
adaptation	0.663	0.365	0.609	ການປັບຕົວ
add	0.728	0.490	0.554	ເພີ່ມ
added	0.562	0.405	0.509	ເພີ່ມ
addendum	0.392	0.370	0.418	ເອກະສານຊ້ອນທ້າຍ
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	ຄົນຕິດ
addicted	0.156	0.712	0.483	ຕິດ
addiction	0.180	0.806	0.420	ສິ່ງເສບຕິດ
addictive	0.302	0.683	0.472	ເສບຕິດ
addition	0.562	0.373	0.471	ນອກຈາກນັ້ນ
additional	0.673	0.462	0.526	ເພີ່ມເຕີມ
additive	0.561	0.633	0.691	ສານເຕີມແຕ່ງ
address	0.650	0.327	0.567	ທີ່ຢູ່
addressee	0.622	0.382	0.538	ທີ່ຢູ່
addresses	0.510	0.354	0.450	ທີ່ຢູ່
adept	0.594	0.539	0.789	ຊ່ຽວຊານ
adequacy	0.615	0.435	0.702	ຄວາມພຽງພໍ
adequate	0.854	0.264	0.705	ພຽງພໍ
adhere	0.633	0.339	0.554	ຍຶດຫມັ້ນ
adherence	0.760	0.307	0.630	ການຍຶດຫມັ້ນ
adherent	0.561	0.385	0.555	ຍຶດໝັ້ນ
adhering	0.612	0.561	0.537	ຍຶດໝັ້ນ
adhesion	0.521	0.445	0.586	ການຍຶດຕິດ
adhesive	0.604	0.350	0.413	ກາວ
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	ໄຂມັນ
adjacency	0.365	0.417	0.375	ທີ່ຢູ່ຕິດກັນ
adjacent	0.645	0.276	0.536	ຕິດກັບ
adjective	0.570	0.316	0.569	ຄຳຄຸນນາມ
adjoining	0.520	0.400	0.393	ຕິດກັນ
adjourn	0.385	0.456	0.475	ເລື່ອນ
adjournment	0.438	0.510	0.370	ເລື່ອນ
adjudicate	0.559	0.520	0.683	ຕັດສິນ
adjudication	0.551	0.462	0.691	ການ​ພິ​ພາກ​ສາ
adjunct	0.459	0.440	0.426	ສົມທົບ
adjust	0.647	0.327	0.638	ປັບ
adjuster	0.510	0.540	0.760	ຕົວປັບ
adjustment	0.590	0.520	0.661	ການປັບຕົວ
adjuvant	0.510	0.500	0.456	ເສີມ
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	ບໍລິຫານ
administration	0.625	0.404	0.786	ການບໍລິຫານ
administrative	0.542	0.415	0.579	ບໍລິຫານ
administrator	0.538	0.480	0.902	ຜູ້​ບໍ​ລິ​ຫານ
admirable	0.929	0.600	0.870	ຊົມເຊີຍ
admiral	0.844	0.490	0.847	ນາຍພົນເຮືອເອກ
admiralty	0.594	0.547	0.733	ນາຍພົນເຮືອເອກ
admiration	0.969	0.583	0.726	ຊົມເຊີຍ
admire	0.867	0.692	0.704	ຊົມເຊີຍ
admired	0.917	0.560	0.815	ຊົມເຊີຍ
admirer	0.796	0.720	0.650	ຊົມເຊີຍ
admiring	0.867	0.578	0.629	ຊົມເຊີຍ
admissibility	0.802	0.580	0.602	ການ​ເຂົ້າ​ມາ
admissible	0.780	0.528	0.642	ຍອມຮັບໄດ້
admission	0.802	0.415	0.732	ການເຂົ້າຮຽນ
admit	0.538	0.423	0.667	ຍອມຮັບ
admittance	0.690	0.451	0.598	ເສັງເຂົ້າ
admitted	0.720	0.490	0.767	ຍອມຮັບ
admitting	0.620	0.500	0.546	ຍອມຮັບ
admixture	0.450	0.375	0.438	ທາດປະສົມ
admonition	0.357	0.606	0.455	ຕັກເຕືອນ
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	ໄວລຸ້ນ
adolescent	0.781	0.680	0.509	ໄວລຸ້ນ
adopt	0.694	0.612	0.701	ຮັບຮອງເອົາ
adoption	0.625	0.566	0.589	ການຮັບຮອງເອົາ
adoptive	0.531	0.469	0.520	ເປັນລູກລ້ຽງ
adorable	0.969	0.519	0.457	ໜ້າຮັກ
adoration	0.885	0.699	0.708	ຄວາມເຄົາລົບ
adore	0.854	0.438	0.657	ຮັກແພງ
adoring	0.885	0.620	0.717	ໜ້າຮັກ
adorn	0.910	0.424	0.482	ປະດັບ
adornment	0.918	0.373	0.377	ເຄື່ອງປະດັບ
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	ລອຍ
adult	0.815	0.491	0.787	ຜູ້ໃຫຍ່
adulterated	0.188	0.865	0.370	ປອມຕົວ
adulterer	0.229	0.814	0.407	ຄົນຫລິ້ນຊູ້
adultery	0.120	0.922	0.510	ການຫລິ້ນຊູ້
adulthood	0.541	0.454	0.652	ຜູ້ໃຫຍ່
advance	0.673	0.472	0.858	ລ່ວງໜ້າ
advanced	0.844	0.623	0.797	ຂັ້ນສູງ
advancement	0.776	0.650	0.839	ຄວາມກ້າວຫນ້າ
advancing	0.929	0.608	0.812	ກ້າວຫນ້າ
advantage	0.917	0.548	0.859	ປະໂຫຍດ
advantageous	0.837	0.640	0.789	ປະໂຫຍດ
advent	0.665	0.560	0.627	ມາເຖິງ
adventure	0.917	0.857	0.710	ຜະຈົນໄພ
adventurer	0.781	0.839	0.868	ນັກຜະຈົນໄພ
adventures	0.812	0.764	0.749	ຜະຈົນໄພ
adventurous	0.969	0.898	0.722	ຜະຈົນໄພ
adversary	0.349	0.777	0.457	ສັດຕູ
adverse	0.323	0.610	0.385	ທາງລົບ
adversity	0.276	0.760	0.538	ຄວາມທຸກທໍລະມານ
advertise	0.500	0.529	0.580	ໂຄສະນາ
advertisement	0.600	0.566	0.539	ການ​ໂຄ​ສະ​ນາ​
advertising	0.622	0.608	0.632	ການໂຄສະນາ
adverts	0.551	0.500	0.595	ໂຄສະນາ
advice	0.698	0.408	0.688	ຄໍາແນະນໍາ
advisable	0.867	0.480	0.510	ແນະນຳ
advise	0.760	0.393	0.705	ແນະນຳ
advised	0.823	0.330	0.509	ແນະນໍາ
advisement	0.698	0.235	0.655	ຄໍາ​ແນະ​ນໍາ​
adviser	0.745	0.362	0.705	ທີ່ປຶກສາ
advisor	0.646	0.350	0.689	ທີ່ປຶກສາ
advisory	0.656	0.429	0.633	ທີ່ປຶກສາ
advocacy	0.500	0.646	0.731	ສົ່ງເສີມ
advocate	0.551	0.530	0.818	ສະໜັບສະໜູນ
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	ການລະບາຍອາກາດ
aerial	0.615	0.461	0.463	ທາງອາກາດ
aerobics	0.708	0.771	0.627	ແອໂຣບິກ
aerodrome	0.541	0.740	0.678	ສະໜາມບິນ
aerodynamic	0.561	0.724	0.728	ອາວະກາດ
aerodynamics	0.590	0.663	0.722	ຍານອາວະກາດ
aeronautics	0.551	0.633	0.688	ການບິນ
aeroplane	0.714	0.642	0.644	ຍົນ
aerospace	0.643	0.520	0.779	ຍານອາວະກາດ
aesthetic	0.708	0.442	0.526	ຄວາມງາມ
aesthetics	0.847	0.327	0.549	ຄວາມງາມ
aetiology	0.480	0.398	0.615	ຊີວະວິທະຍາ
afar	0.396	0.373	0.358	ໄກ
affable	0.704	0.380	0.452	ເປັນໄປໄດ້
affair	0.520	0.459	0.657	ເລື່ອງ
affect	0.458	0.569	0.578	ກະທົບ
affecting	0.350	0.574	0.394	ຜົນກະທົບຕໍ່
affection	0.898	0.559	0.696	ຮັກແພງ
affectionate	0.949	0.422	0.550	ຮັກແພງ
affections	0.760	0.547	0.655	ຄວາມຮັກແພງ
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	ໃບຮັບຮອງ
affiliated	0.673	0.519	0.535	ທີ່ກ່ຽວຂ້ອງ
affiliation	0.615	0.594	0.500	ຄວາມຜູກພັນ
affinity	0.800	0.500	0.537	ຄວາມສຳພັນ
affirm	0.745	0.509	0.731	ຢືນຢັນ
affirmation	0.750	0.500	0.689	ຢືນຢັນ
affirmative	0.854	0.589	0.816	ຢືນຢັນ
affirmatively	0.908	0.500	0.811	ຢືນຢັນ
affix	0.438	0.335	0.411	ຕິດ
afflict	0.302	0.555	0.293	ຂົ່ມເຫັງ
afflicted	0.271	0.500	0.167	ທົນທຸກ
affliction	0.294	0.635	0.392	ຄວາມທຸກ
affluence	0.663	0.618	0.722	ຄວາມຮັ່ງມີ
affluent	0.756	0.388	0.477	ຮັ່ງມີ
afford	0.571	0.580	0.575	ຈ່າຍ
affordable	0.840	0.398	0.493	ລາຄາບໍ່ແພງ
affront	0.327	0.740	0.547	ຕໍ່ໜ້າ
affronted	0.385	0.750	0.527	ປະເຊີນໜ້າ
afield	0.594	0.370	0.373	ໄກ
afire	0.367	0.904	0.675	ໄຟ
afloat	0.602	0.427	0.444	ລອຍ
afore	0.500	0.337	0.382	ກ່ອນ
aforementioned	0.490	0.316	0.408	ດັ່ງກ່າວ
aforesaid	0.531	0.358	0.478	ກ່າວໄວ້ກ່ອນ
afraid	0.010	0.775	0.245	ຢ້ານ
afresh	0.643	0.521	0.480	ໃໝ່
aft	0.480	0.417	0.518	ຫລັງ
afterlife	0.571	0.567	0.568	ຊີວິດຫຼັງ
aftermath	0.312	0.449	0.444	ຫລັງ
afternoon	0.533	0.388	0.339	ຕອນບ່າຍ
aftershave	0.406	0.384	0.415	ໂກນຫຼັງ
aftertaste	0.354	0.362	0.455	ລົດຊາດຫຼັງ
afterthought	0.396	0.392	0.349	ພາຍຫຼັງ
aga	0.542	0.327	0.398	ອາກາ
agape	0.612	0.529	0.464	ຕົກໃຈ
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	ອາຍຸ
aged	0.135	0.365	0.236	ອາຍຸ
agency	0.460	0.296	0.583	ອົງການ
agenda	0.531	0.296	0.553	ວາລະ
agent	0.480	0.439	0.755	ຕົວແທນ
agglomeration	0.450	0.765	0.509	ການລວມຕົວ
aggravate	0.224	0.770	0.464	ຮຸນແຮງຂຶ້ນ
aggravated	0.079	0.760	0.430	ຮ້າຍແຮງຂຶ້ນ
aggravates	0.108	0.778	0.357	ຮ້າຍແຮງຂຶ້ນ
aggravating	0.257	0.794	0.640	ຮ້າຍແຮງຂຶ້ນ
aggravation	0.071	0.784	0.613	ຮ້າຍແຮງຂຶ້ນ
aggregate	0.730	0.378	0.556	ລວມ
aggregation	0.583	0.517	0.694	ການລວບລວມ
aggresive	0.059	0.971	0.639	ຮຸກຮານ
aggression	0.094	0.929	0.533	ການຮຸກຮານ
aggressive	0.125	0.949	0.648	ຮຸກຮານ
aggressively	0.250	0.926	0.688	ຮຸກຮານ
aggressiveness	0.077	0.913	0.648	ຄວາມຮຸກຮານ
aggressor	0.146	0.948	0.823	ຜູ້ຮຸກຮານ
agh	0.260	0.500	0.400	ອ່າ
aghast	0.133	0.865	0.464	ໃຈ​ຮ້າຍ
aghhh	0.281	0.635	0.243	ອ້າວ
agile	0.800	0.657	0.775	ວ່ອງໄວ
agility	0.720	0.702	0.815	ວ່ອງໄວ
aging	0.214	0.255	0.284	ແກ່
agitate	0.300	0.796	0.593	ປັ່ນປ່ວນ
agitated	0.444	0.882	0.491	ວຸ້ນວາຍ
agitation	0.240	0.931	0.447	ວຸ້ນວາຍ
aglow	0.780	0.510	0.797	ສະຫວ່າງ
agnostic	0.306	0.396	0.574	ອະນິຈາ
ago	0.317	0.280	0.404	ກ່ອນຫນ້ານີ້
agonizing	0.083	0.800	0.340	ເຈັບ​ປວດ
agony	0.083	0.775	0.393	ຄວາມ​ເຈັບ​ປວດ
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	ຕົກລົງ
agreeable	0.906	0.500	0.696	ຕົກລົງ
agreed	0.797	0.449	0.574	ຕົກລົງ
agreeing	0.854	0.480	0.557	ຕົກລົງ
agreement	0.760	0.440	0.736	ຂໍ້ຕົກລົງ
agressive	0.083	0.918	0.751	ຮຸກຮານ
agricultural	0.686	0.321	0.473	ກະສິກຳ
agriculture	0.640	0.357	0.465	ກະສິກຳ
aground	0.333	0.340	0.445	ພື້ນດິນ
agua	0.598	0.180	0.436	ອາກວາ
ahead	0.708	0.520	0.673	ລ່ວງໜ້າ
ahhh	0.562	0.517	0.241	ອ້າວ
ahhhhhhhh	0.552	0.649	0.288	ອ້າວ
ahoy	0.500	0.497	0.380	ໂອ້ຍ
aid	0.796	0.491	0.541	ການຊ່ວຍເຫຼືອ
aide	0.724	0.342	0.434	ຜູ້ຊ່ວຍ
aiding	0.643	0.533	0.569	ການ​ຊ່ວຍ​ເຫຼືອ
aids	0.561	0.480	0.500	ການຊ່ວຍເຫຼືອ
ail	0.375	0.434	0.385	ພະຍາດ
ailing	0.094	0.518	0.153	ເຈັບປ່ວຍ
ailment	0.146	0.734	0.277	ພະຍາດ
aim	0.481	0.569	0.567	ເປົ້າໝາຍ
aimless	0.150	0.267	0.183	ບໍ່ມີເປົ້າໝາຍ
air	0.708	0.163	0.427	ອາກາດ
airbag	0.510	0.402	0.433	ຖົງລົມນິລະໄພ
airborne	0.542	0.519	0.385	ບິນ
aircraft	0.646	0.644	0.691	ເຮືອບິນ
aircraft carrier	0.490	0.740	0.727	ເຮືອ​ບິນ
airfield	0.601	0.650	0.645	ສະຫນາມບິນ
airhead	0.271	0.481	0.276	ຫົວອາກາດ
airlift	0.573	0.622	0.642	ເຮືອບິນ
airline	0.650	0.482	0.688	ສາຍການບິນ
airliner	0.667	0.777	0.647	ສາຍການບິນ
airlock	0.398	0.520	0.447	airlock
airman	0.587	0.716	0.721	ນັກ​ບິນ
airplane	0.719	0.702	0.708	ຍົນ
airport	0.729	0.684	0.682	ສະ​ຫນາມ​ບິນ
airs	0.583	0.196	0.370	ອອກອາກາດ
airship	0.542	0.472	0.529	ເຮືອ​ບິນ
airspace	0.562	0.510	0.640	ຊ່ອງອາກາດ
airspeed	0.583	0.780	0.544	ຄວາມໄວອາກາດ
airstrip	0.550	0.690	0.649	ຍົນ
airtight	0.479	0.381	0.570	ຮັດອາກາດ
airway	0.638	0.585	0.482	ເສັ້ນທາງເດີນອາກາດ
aisle	0.438	0.222	0.283	ແຄມທາງ
ait	0.385	0.390	0.402	ມັນ
ajar	0.460	0.413	0.446	ດັງ
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	ຄ້າຍຄືກັນ
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	ປຸກ
alarm clock	0.542	0.727	0.642	ໂມງ​ປຸກ
alarmed	0.188	0.822	0.492	ຕົກໃຈ
alarming	0.204	0.890	0.585	ເປັນຕາຕົກໃຈ
alas	0.571	0.310	0.279	ອະນິຈາ
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	ອັນລະບັ້ມ
alchemy	0.541	0.583	0.693	ການຜັນແປ
alcohol	0.323	0.667	0.377	ເຫຼົ້າ
alcoholic	0.153	0.688	0.361	ເຫຼົ້າ
alcoholism	0.061	0.779	0.407	ເຫຼົ້າ
alcove	0.490	0.340	0.356	ປະຕູ
alderman	0.550	0.459	0.691	ເທດສະບານ
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	ເຕືອນ
alertness	0.375	0.875	0.750	ຄວາມ​ຕື່ນ​ຕົວ
alerts	0.337	0.804	0.673	ແຈ້ງເຕືອນ
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	ພຶດຊະຄະນິດ
algebraic	0.531	0.412	0.441	ພຶດຊະຄະນິດ
algorithm	0.448	0.394	0.559	ສູດການຄິດໄລ່
alias	0.541	0.353	0.333	ນາມແຝງ
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	ມະນຸດຕ່າງດາວ
alienate	0.247	0.500	0.523	ແປກປະຫຼາດ
alienated	0.410	0.423	0.559	ແປກປະຫຼາດ
alienation	0.378	0.530	0.462	ຄວາມແປກປະຫຼາດ
alight	0.667	0.657	0.605	ສະຫວ່າງ
align	0.656	0.364	0.627	ຈັດຮຽງ
aligned	0.583	0.275	0.553	ສອດຄ່ອງ
