English Word	Valence	Arousal	Dominance	Korean Word
acne	0.167	0.474	0.308	좌창
acorn	0.448	0.198	0.192	도토리
acoustic	0.542	0.462	0.536	음향학
acoustics	0.611	0.330	0.509	음향학
acquaint	0.646	0.491	0.639	의히 알게 하다
acquaintance	0.656	0.290	0.670	아는 사람
acquainted	0.906	0.358	0.632	정통한
acquiescence	0.542	0.480	0.554	묵종
acquire	0.833	0.468	0.700	습득하다
acquiring	0.735	0.510	0.817	획득
acquisition	0.698	0.509	0.736	인수
acquisitions	0.773	0.660	0.790	인수
acquit	0.583	0.571	0.611	무죄
acquittal	0.760	0.497	0.700	무죄 방면
acre	0.583	0.387	0.423	에이커
acreage	0.741	0.450	0.528	토지
acres	0.510	0.363	0.500	에이커
acrobat	0.708	0.828	0.602	곡예사
acrylic	0.582	0.279	0.420	아크릴
act	0.656	0.704	0.735	행동
acting	0.698	0.643	0.500	연기
action	0.760	0.898	0.802	동작
action figure	0.615	0.774	0.611	액션 피규어
actionable	0.673	0.702	0.613	실행 가능한
activate	0.764	0.650	0.806	활성화
activation	0.781	0.800	0.754	활성화
active	0.847	0.730	0.731	활동적인
activist	0.531	0.653	0.877	활동가
activity	0.701	0.660	0.807	활동
actor	0.653	0.561	0.629	배우
actress	0.633	0.556	0.596	여배우
actual	0.729	0.400	0.716	실제
actuality	0.750	0.464	0.600	현실
actuary	0.510	0.404	0.491	보험 수리사
acuity	0.469	0.378	0.741	날카로움
acumen	0.564	0.660	0.679	예리함
acupuncture	0.531	0.324	0.549	침 요법
acute	0.427	0.652	0.534	심각한
acutely	0.417	0.543	0.491	급하게
ad	0.521	0.705	0.558	기원 후
adage	0.517	0.415	0.566	금언
adamant	0.344	0.529	0.575	단호한
adapt	0.740	0.355	0.551	적응하다
adaptable	0.735	0.423	0.641	적응할 수 있는
adaptation	0.663	0.365	0.609	적응
add	0.728	0.490	0.554	추가하다
added	0.562	0.405	0.509	추가
addendum	0.392	0.370	0.418	부록
adder	0.388	0.461	0.588	가산기
addict	0.075	0.696	0.327	중독자
addicted	0.156	0.712	0.483	중독
addiction	0.180	0.806	0.420	탐닉
addictive	0.302	0.683	0.472	중독성
addition	0.562	0.373	0.471	덧셈
additional	0.673	0.462	0.526	추가의
additive	0.561	0.633	0.691	첨가물
address	0.650	0.327	0.567	주소
addressee	0.622	0.382	0.538	수신인
addresses	0.510	0.354	0.450	구애
adept	0.594	0.539	0.789	정통한
adequacy	0.615	0.435	0.702	적절
adequate	0.854	0.264	0.705	적절한
adhere	0.633	0.339	0.554	준수하다
adherence	0.760	0.307	0.630	부착
adherent	0.561	0.385	0.555	자기편
adhering	0.612	0.561	0.537	고착
adhesion	0.521	0.445	0.586	부착
adhesive	0.604	0.350	0.413	점착제
adieu	0.250	0.471	0.342	안녕
adipose	0.333	0.350	0.391	지방
adjacency	0.365	0.417	0.375	인접
adjacent	0.645	0.276	0.536	인접한
adjective	0.570	0.316	0.569	형용사
adjoining	0.520	0.400	0.393	인접한
adjourn	0.385	0.456	0.475	연기하다
adjournment	0.438	0.510	0.370	연기
adjudicate	0.559	0.520	0.683	판결하다
adjudication	0.551	0.462	0.691	판결
adjunct	0.459	0.440	0.426	부가어
adjust	0.647	0.327	0.638	조정하다
adjuster	0.510	0.540	0.760	조정자
adjustment	0.590	0.520	0.661	조정
adjuvant	0.510	0.500	0.456	보조제
admin	0.688	0.420	0.854	관리자
administer	0.635	0.425	0.860	관리하다
administration	0.625	0.404	0.786	관리
administrative	0.542	0.415	0.579	행정
administrator	0.538	0.480	0.902	관리자
admirable	0.929	0.600	0.870	훌륭한
admiral	0.844	0.490	0.847	해군 대장
admiralty	0.594	0.547	0.733	해군 대장
admiration	0.969	0.583	0.726	감탄
admire	0.867	0.692	0.704	존경하다
admired	0.917	0.560	0.815	감탄
admirer	0.796	0.720	0.650	숭배자
admiring	0.867	0.578	0.629	감탄
admissibility	0.802	0.580	0.602	허용 성
admissible	0.780	0.528	0.642	허용
admission	0.802	0.415	0.732	가입
admit	0.538	0.423	0.667	인정하다
admittance	0.690	0.451	0.598	입장
admitted	0.720	0.490	0.767	인정
admitting	0.620	0.500	0.546	인정
admixture	0.450	0.375	0.438	혼합
admonition	0.357	0.606	0.455	훈계
ado	0.520	0.423	0.385	야단법석
adobe	0.500	0.319	0.328	어도비 벽돌
adolescence	0.487	0.694	0.444	청년기
adolescent	0.781	0.680	0.509	한창 젊은
adopt	0.694	0.612	0.701	입양하다
adoption	0.625	0.566	0.589	양자
adoptive	0.531	0.469	0.520	입양
adorable	0.969	0.519	0.457	사랑스러운
adoration	0.885	0.699	0.708	동경
adore	0.854	0.438	0.657	숭배하다
adoring	0.885	0.620	0.717	동경
adorn	0.910	0.424	0.482	꾸미다
adornment	0.918	0.373	0.377	장식품
adrenalin	0.865	0.920	0.786	아드레날린
adrenaline	0.765	0.965	0.825	아드레날린
adrift	0.398	0.486	0.230	떠돌아
adult	0.815	0.491	0.787	성인
adulterated	0.188	0.865	0.370	불순물
adulterer	0.229	0.814	0.407	간부
adultery	0.120	0.922	0.510	간통
adulthood	0.541	0.454	0.652	성인 임
advance	0.673	0.472	0.858	전진
advanced	0.844	0.623	0.797	고급의
advancement	0.776	0.650	0.839	진보
advancing	0.929	0.608	0.812	전진
advantage	0.917	0.548	0.859	이점
advantageous	0.837	0.640	0.789	유리한
advent	0.665	0.560	0.627	출현
adventure	0.917	0.857	0.710	모험
adventurer	0.781	0.839	0.868	모험가
adventures	0.812	0.764	0.749	모험
adventurous	0.969	0.898	0.722	모험적인
adversary	0.349	0.777	0.457	적
adverse	0.323	0.610	0.385	불리한
adversity	0.276	0.760	0.538	역경
advertise	0.500	0.529	0.580	공시 하다
advertisement	0.600	0.566	0.539	광고
advertising	0.622	0.608	0.632	광고하는
adverts	0.551	0.500	0.595	광고
advice	0.698	0.408	0.688	조언
advisable	0.867	0.480	0.510	타당한
advise	0.760	0.393	0.705	권하다
advised	0.823	0.330	0.509	조언
advisement	0.698	0.235	0.655	조언
adviser	0.745	0.362	0.705	고문
advisor	0.646	0.350	0.689	조언자
advisory	0.656	0.429	0.633	자문
advocacy	0.500	0.646	0.731	옹호
advocate	0.551	0.530	0.818	지지하다
aegis	0.490	0.439	0.462	보호
aeration	0.550	0.500	0.433	폭기
aerial	0.615	0.461	0.463	공중선
aerobics	0.708	0.771	0.627	에어로빅
aerodrome	0.541	0.740	0.678	비행장
aerodynamic	0.561	0.724	0.728	공기역학적
aerodynamics	0.590	0.663	0.722	공기역학
aeronautics	0.551	0.633	0.688	항공학
aeroplane	0.714	0.642	0.644	비행기
aerospace	0.643	0.520	0.779	항공 우주
aesthetic	0.708	0.442	0.526	미적인
aesthetics	0.847	0.327	0.549	미학
aetiology	0.480	0.398	0.615	병인학
afar	0.396	0.373	0.358	멀리
affable	0.704	0.380	0.452	상냥한
affair	0.520	0.459	0.657	일
affect	0.458	0.569	0.578	영향을 미치다
affecting	0.350	0.574	0.394	영향을 미치는
affection	0.898	0.559	0.696	애정
affectionate	0.949	0.422	0.550	애정 어린
affections	0.760	0.547	0.655	애정
affiche	0.479	0.265	0.402	어피치
affidavit	0.469	0.584	0.526	진술서
affiliated	0.673	0.519	0.535	제휴
affiliation	0.615	0.594	0.500	입회
affinity	0.800	0.500	0.537	유연
affirm	0.745	0.509	0.731	확인하다
affirmation	0.750	0.500	0.689	확언
affirmative	0.854	0.589	0.816	긍정적
affirmatively	0.908	0.500	0.811	긍정적으로
affix	0.438	0.335	0.411	부착
afflict	0.302	0.555	0.293	괴롭히다
afflicted	0.271	0.500	0.167	고통받는
affliction	0.294	0.635	0.392	고통
affluence	0.663	0.618	0.722	풍부
affluent	0.756	0.388	0.477	풍족한
afford	0.571	0.580	0.575	형편이되다
affordable	0.840	0.398	0.493	입수 가능한
affront	0.327	0.740	0.547	모욕
affronted	0.385	0.750	0.527	모욕
afield	0.594	0.370	0.373	멀리
afire	0.367	0.904	0.675	화재
afloat	0.602	0.427	0.444	떠서
afore	0.500	0.337	0.382	전에
aforementioned	0.490	0.316	0.408	앞서 말한
aforesaid	0.531	0.358	0.478	앞서 말한
afraid	0.010	0.775	0.245	두려워하는
afresh	0.643	0.521	0.480	새로이
aft	0.480	0.417	0.518	후미
afterlife	0.571	0.567	0.568	내세
aftermath	0.312	0.449	0.444	여파
afternoon	0.533	0.388	0.339	오후
aftershave	0.406	0.384	0.415	애프터쉐이브
aftertaste	0.354	0.362	0.455	뒷맛
afterthought	0.396	0.392	0.349	보적
aga	0.542	0.327	0.398	아가
agape	0.612	0.529	0.464	입을 딱 벌리고
agate	0.540	0.377	0.483	마노
age	0.561	0.226	0.498	나이
aged	0.135	0.365	0.236	늙은
agency	0.460	0.296	0.583	대행사
agenda	0.531	0.296	0.553	안건
agent	0.480	0.439	0.755	에이전트
agglomeration	0.450	0.765	0.509	덩어리
aggravate	0.224	0.770	0.464	화나게 하다
aggravated	0.079	0.760	0.430	악화
aggravates	0.108	0.778	0.357	악화
aggravating	0.257	0.794	0.640	악화
aggravation	0.071	0.784	0.613	악화
aggregate	0.730	0.378	0.556	골재
aggregation	0.583	0.517	0.694	집합
aggresive	0.059	0.971	0.639	공격적인
aggression	0.094	0.929	0.533	침략
aggressive	0.125	0.949	0.648	적극적인
aggressively	0.250	0.926	0.688	공격적으로
aggressiveness	0.077	0.913	0.648	공격
aggressor	0.146	0.948	0.823	침략자
agh	0.260	0.500	0.400	아아
aghast	0.133	0.865	0.464	깜짝 놀라
aghhh	0.281	0.635	0.243	아아아아
agile	0.800	0.657	0.775	기민한
agility	0.720	0.702	0.815	민첩
aging	0.214	0.255	0.284	노화
agitate	0.300	0.796	0.593	흔들다
agitated	0.444	0.882	0.491	흥분한
agitation	0.240	0.931	0.447	동요
aglow	0.780	0.510	0.797	불타서
agnostic	0.306	0.396	0.574	불가지론자
ago	0.317	0.280	0.404	~ 전에
agonizing	0.083	0.800	0.340	고뇌하는
agony	0.083	0.775	0.393	고뇌
agoraphobia	0.127	0.712	0.438	광장 공포증
agree	0.906	0.260	0.545	동의하다
agreeable	0.906	0.500	0.696	기분 좋은
agreed	0.797	0.449	0.574	동의
agreeing	0.854	0.480	0.557	동의
agreement	0.760	0.440	0.736	합의
agressive	0.083	0.918	0.751	공격적인
agricultural	0.686	0.321	0.473	농업
agriculture	0.640	0.357	0.465	농업
aground	0.333	0.340	0.445	좌초
agua	0.598	0.180	0.436	아구아
ahead	0.708	0.520	0.673	앞으로
ahhh	0.562	0.517	0.241	아아
ahhhhhhhh	0.552	0.649	0.288	아아아아아아
ahoy	0.500	0.497	0.380	어이
aid	0.796	0.491	0.541	지원
aide	0.724	0.342	0.434	보좌관
aiding	0.643	0.533	0.569	원조
aids	0.561	0.480	0.500	보조기구
ail	0.375	0.434	0.385	괴롭히다
ailing	0.094	0.518	0.153	병든
ailment	0.146	0.734	0.277	병
aim	0.481	0.569	0.567	겨냥하다
aimless	0.150	0.267	0.183	목적 없는
air	0.708	0.163	0.427	공기
airbag	0.510	0.402	0.433	에어백
airborne	0.542	0.519	0.385	공수
aircraft	0.646	0.644	0.691	항공기
aircraft carrier	0.490	0.740	0.727	항공모함
airfield	0.601	0.650	0.645	비행장
airhead	0.271	0.481	0.276	에어헤드
airlift	0.573	0.622	0.642	공수
airline	0.650	0.482	0.688	공기 호스
airliner	0.667	0.777	0.647	여객기
airlock	0.398	0.520	0.447	에어록
airman	0.587	0.716	0.721	비행사
airplane	0.719	0.702	0.708	비행기
airport	0.729	0.684	0.682	공항
airs	0.583	0.196	0.370	공기
airship	0.542	0.472	0.529	비행선
airspace	0.562	0.510	0.640	공적
airspeed	0.583	0.780	0.544	속도
airstrip	0.550	0.690	0.649	활주로
airtight	0.479	0.381	0.570	기밀
airway	0.638	0.585	0.482	기도
aisle	0.438	0.222	0.283	통로
ait	0.385	0.390	0.402	아이
ajar	0.460	0.413	0.446	조금 열려져
aka	0.459	0.358	0.351	일명
akin	0.639	0.343	0.523	유사
alabaster	0.542	0.404	0.445	설화 석고
alarm	0.241	0.882	0.698	경보
alarm clock	0.542	0.727	0.642	알람 시계
alarmed	0.188	0.822	0.492	놀란
alarming	0.204	0.890	0.585	놀라운
alas	0.571	0.310	0.279	아아
alb	0.521	0.380	0.427	장백의
albatross	0.500	0.445	0.527	신천옹
albino	0.500	0.240	0.358	알비노
album	0.635	0.349	0.453	앨범
alchemy	0.541	0.583	0.693	연금술
alcohol	0.323	0.667	0.377	술
alcoholic	0.153	0.688	0.361	알콜 중독자
alcoholism	0.061	0.779	0.407	대주
alcove	0.490	0.340	0.356	반침
alderman	0.550	0.459	0.691	구청장
ale	0.530	0.450	0.358	에일
alert	0.479	0.820	0.648	알리다
alertness	0.375	0.875	0.750	경보
alerts	0.337	0.804	0.673	경고
alfalfa	0.546	0.250	0.311	자주개자리
algebra	0.440	0.340	0.565	대수학
algebraic	0.531	0.412	0.441	대수적
algorithm	0.448	0.394	0.559	연산
alias	0.541	0.353	0.333	별명
alibi	0.396	0.528	0.556	구실
alien	0.410	0.615	0.491	외계인
alienate	0.247	0.500	0.523	소외시키다
alienated	0.410	0.423	0.559	소외감을 느끼게하다
alienation	0.378	0.530	0.462	이질성
alight	0.667	0.657	0.605	불타고
align	0.656	0.364	0.627	맞추다
aligned	0.583	0.275	0.553	정렬
alignment	0.643	0.412	0.683	조정
alike	0.653	0.173	0.444	서로 같은
alimentation	0.781	0.551	0.602	영양
alimony	0.612	0.477	0.464	별거 수당
aliquot	0.440	0.310	0.404	분취
alive	0.816	0.637	0.731	살아 있는
alkali	0.490	0.350	0.408	알칼리
alkaloids	0.433	0.562	0.402	알칼로이드
allay	0.417	0.406	0.398	완화
allegation	0.578	0.578	0.608	진술
allege	0.418	0.482	0.587	주장하다
alleged	0.365	0.522	0.520	주장
allegiance	0.917	0.398	0.750	충성
allegorical	0.517	0.558	0.598	우화적인
allegory	0.615	0.580	0.509	우화
allegro	0.635	0.627	0.453	알레그로
allergic	0.135	0.549	0.273	알레르기
allergy	0.296	0.606	0.389	알레르기
alleviate	0.869	0.270	0.528	덜다
alleviation	0.735	0.200	0.491	경감
alley	0.347	0.500	0.355	골목
alleyway	0.357	0.471	0.382	골목
alliance	0.696	0.473	0.769	동맹
allied	0.714	0.245	0.642	결연한
alligator	0.354	0.704	0.645	악어
allocate	0.673	0.462	0.672	할당하다
allocation	0.604	0.388	0.679	배당
allot	0.622	0.481	0.616	할당
allotment	0.600	0.390	0.640	할당
allow	0.698	0.429	0.538	허용하다
allowable	0.698	0.500	0.561	허용
allowance	0.673	0.382	0.591	용돈
allowed	0.730	0.360	0.655	허용된
alloy	0.583	0.443	0.593	합금
allsmiles	0.786	0.528	0.430	올스마일
allure	0.804	0.585	0.686	매력
alluring	0.837	0.745	0.843	매혹적인
allusion	0.440	0.308	0.462	암시
alluvial	0.323	0.490	0.491	충적
ally	0.792	0.320	0.688	동맹국
almanac	0.688	0.190	0.412	달력
almighty	0.938	0.874	0.958	전능자
almond	0.698	0.183	0.314	아몬드
aloft	0.771	0.373	0.700	위에
aloha	0.698	0.440	0.441	알로하
alone	0.333	0.167	0.216	홀로
alongside	0.458	0.333	0.347	나란히
aloof	0.189	0.423	0.302	쌀쌀한
aloud	0.458	0.713	0.750	소리 내어
alpha	0.708	0.340	0.755	알파
alphabet	0.562	0.204	0.672	알파벳
alphabetical	0.537	0.296	0.535	알파벳순
alpine	0.594	0.337	0.474	알파인
alreadyyyyy	0.592	0.717	0.351	벌써
altar	0.724	0.387	0.635	제단
altar boy	0.434	0.206	0.350	제단 소년
alter	0.333	0.694	0.654	바꾸다
alteration	0.167	0.798	0.609	변경
altercation	0.170	0.806	0.500	언쟁
altered	0.255	0.765	0.500	변경된
alternate	0.625	0.363	0.589	번갈아 하는
alternating	0.480	0.494	0.542	교대로
alternative	0.628	0.373	0.631	대안
altimeter	0.615	0.510	0.580	고도계
altitude	0.708	0.482	0.736	고도
alto	0.656	0.404	0.730	알토
altogether	0.833	0.324	0.644	전부
aluminum	0.449	0.280	0.434	알류미늄
alumnus	0.633	0.368	0.422	학생
alveolar	0.469	0.481	0.367	폐포
alzheimers	0.194	0.518	0.319	알츠하이머
amalgam	0.438	0.333	0.510	아말감
amalgamation	0.406	0.470	0.531	융합
amaretto	0.543	0.551	0.375	아마레또
amass	0.552	0.465	0.465	쌓다
amateur	0.469	0.500	0.409	아마추어
amaze	0.896	0.843	0.783	몹시 놀라게 하다
amazed	0.796	0.779	0.533	놀란
amazedness	0.827	0.872	0.510	놀라움
amazement	0.750	0.800	0.639	놀람
amazing	0.906	0.837	0.849	놀라운
amazingly	0.918	0.765	0.920	놀랍게도
ambassador	0.651	0.529	0.917	대사
amber	0.635	0.308	0.369	호박색
ambience	0.735	0.356	0.426	분위기
ambient	0.625	0.360	0.582	주변
ambiguity	0.164	0.460	0.370	모호
ambiguous	0.265	0.462	0.358	모호한
ambit	0.479	0.380	0.386	범위
ambition	0.510	0.804	0.661	큰 뜻
ambitious	0.484	0.821	0.717	거창한
ambivalent	0.510	0.404	0.482	양가적
ambrosia	0.571	0.452	0.480	디저트
ambulance	0.500	0.750	0.609	구급차
ambush	0.281	0.830	0.500	매복
ameliorate	0.770	0.548	0.747	개선하다
amen	0.781	0.182	0.542	아멘
amenable	0.448	0.410	0.406	받을 수 있는
amend	0.688	0.406	0.658	개정하다
amendment	0.531	0.459	0.606	개정
amends	0.640	0.366	0.517	보상
amenity	0.750	0.327	0.574	예의
amethyst	0.622	0.406	0.517	자수정
amiable	0.847	0.290	0.483	붙임성 있는
amicable	0.875	0.330	0.507	우호적
amid	0.510	0.340	0.256	가운데에
amidst	0.480	0.330	0.316	한가운데
amino	0.551	0.402	0.433	아미노
ammo	0.323	0.765	0.621	탄약
ammonia	0.292	0.587	0.409	암모니아
ammonium	0.354	0.396	0.368	암모늄
ammunition	0.338	0.635	0.667	탄약
amnesia	0.296	0.330	0.308	기억력 상실
amnesty	0.551	0.451	0.814	특사
amorous	0.844	0.670	0.636	요염한
amorphous	0.327	0.402	0.349	무정형
amortization	0.592	0.491	0.522	상각
amount	0.562	0.422	0.649	양
amour	0.865	0.480	0.652	정사
amp	0.439	0.393	0.375	앰프
ampersand	0.480	0.448	0.483	앰퍼샌드
amphetamines	0.133	0.667	0.526	암페타민
amphibian	0.427	0.357	0.474	수륙 양용 비행기
amphibious	0.479	0.346	0.445	수륙 양용
amphitheater	0.653	0.480	0.545	원형 극장
ample	0.744	0.349	0.719	앰플
amplification	0.690	0.677	0.810	확대
amplify	0.677	0.735	0.827	더욱 상세히하다
amplitude	0.694	0.439	0.692	진폭
amply	0.781	0.431	0.766	충분히
amputate	0.092	0.660	0.509	절단하다
amputation	0.100	0.755	0.483	절단
amuck	0.385	0.602	0.321	아묵
amulet	0.781	0.260	0.630	부적
amuse	0.812	0.684	0.664	기쁘게하다
amused	0.942	0.847	0.596	즐기는
amusement	0.929	0.837	0.803	즐거움
amusing	0.960	0.829	0.632	즐거움
ana	0.541	0.300	0.314	어록
anaconda	0.146	0.830	0.540	아나콘다
anaesthesia	0.350	0.217	0.473	마취
anaesthetic	0.449	0.268	0.509	마취제
anagram	0.552	0.327	0.449	철자 바꾸기
anal	0.333	0.798	0.334	항문
analgesic	0.417	0.321	0.441	진통제
analogous	0.531	0.270	0.500	유사한
analogue	0.570	0.320	0.446	비슷한 물건
analogy	0.510	0.367	0.509	유추
analysis	0.729	0.448	0.705	분석
analyst	0.604	0.415	0.755	분석자
analytic	0.665	0.521	0.634	분석적
analytical	0.625	0.324	0.800	분석적
analyze	0.667	0.462	0.710	분석하다
analyzer	0.625	0.556	0.854	분석기
anaphylactic	0.378	0.588	0.500	아나필락시스
anarchism	0.125	0.804	0.623	무정부주의
anarchist	0.204	0.700	0.759	무정부주의자
anarchy	0.146	0.755	0.620	무정부 상태
anastomosis	0.375	0.470	0.490	문합
anathema	0.286	0.490	0.519	저주
anatomic	0.562	0.442	0.546	해부학적
anatomy	0.562	0.390	0.571	해부
ancestor	0.592	0.388	0.594	선조
ancestral	0.640	0.481	0.750	조상의
ancestry	0.708	0.519	0.717	가계
anchor	0.520	0.284	0.564	닻
anchorage	0.500	0.325	0.639	앵커리지
ancient	0.420	0.217	0.439	고대의
ancillary	0.449	0.442	0.278	보조
androgen	0.255	0.523	0.527	안드로겐
android	0.663	0.436	0.500	기계적 인조 인간
anecdote	0.583	0.529	0.500	일화
anemia	0.188	0.327	0.310	빈혈증
anemic	0.167	0.279	0.155	빈혈
anemone	0.552	0.538	0.327	아네모네
anesthesia	0.365	0.216	0.394	마취
anesthesiologist	0.419	0.224	0.526	마취과 의사
anesthetic	0.350	0.264	0.482	마취제
aneurysm	0.115	0.690	0.536	동맥류
anew	0.771	0.358	0.385	다시 한번
angel	0.906	0.158	0.704	천사
angelic	0.927	0.298	0.668	천사의
anger	0.167	0.865	0.657	화
angered	0.010	0.860	0.547	화난
angermanagement	0.260	0.632	0.482	분노 조절
angina	0.230	0.630	0.464	협심증
angiogram	0.347	0.520	0.465	혈관 조영술
angiography	0.378	0.536	0.520	혈관 조영술
angle	0.541	0.330	0.455	각도
angling	0.625	0.408	0.500	낚시
angora	0.529	0.425	0.405	앙고라
