English Word	Valence	Arousal	Dominance	Ukrainian Word
aloud	0.458	0.713	0.750	вголос
alpha	0.708	0.340	0.755	альфа
alphabet	0.562	0.204	0.672	алфавіт
alphabetical	0.537	0.296	0.535	алфавітний
alpine	0.594	0.337	0.474	альпійський
alreadyyyyy	0.592	0.717	0.351	ужеррррр
altar	0.724	0.387	0.635	вівтар
altar boy	0.434	0.206	0.350	вівтарник
alter	0.333	0.694	0.654	змінювати
alteration	0.167	0.798	0.609	зміна
altercation	0.170	0.806	0.500	сварка
altered	0.255	0.765	0.500	змінено
alternate	0.625	0.363	0.589	чергувати
alternating	0.480	0.494	0.542	чергуються
alternative	0.628	0.373	0.631	альтернатива
altimeter	0.615	0.510	0.580	висотомір
altitude	0.708	0.482	0.736	висота
alto	0.656	0.404	0.730	альт
altogether	0.833	0.324	0.644	взагалі
aluminum	0.449	0.280	0.434	алюміній
alumnus	0.633	0.368	0.422	випускник
alveolar	0.469	0.481	0.367	альвеолярний
alzheimers	0.194	0.518	0.319	хвороба Альцгеймера
amalgam	0.438	0.333	0.510	амальгама
amalgamation	0.406	0.470	0.531	об'єднання
amaretto	0.543	0.551	0.375	амаретто
amass	0.552	0.465	0.465	накопичувати
amateur	0.469	0.500	0.409	аматорський
amaze	0.896	0.843	0.783	вражати
amazed	0.796	0.779	0.533	вражений
amazedness	0.827	0.872	0.510	здивування
amazement	0.750	0.800	0.639	здивування
amazing	0.906	0.837	0.849	дивовижний
amazingly	0.918	0.765	0.920	дивно
ambassador	0.651	0.529	0.917	посол
amber	0.635	0.308	0.369	бурштиновий
ambience	0.735	0.356	0.426	атмосфера
ambient	0.625	0.360	0.582	навколишній
ambiguity	0.164	0.460	0.370	двозначність
ambiguous	0.265	0.462	0.358	неоднозначний
ambit	0.479	0.380	0.386	амбіт
ambition	0.510	0.804	0.661	честолюбство
ambitious	0.484	0.821	0.717	амбітний
ambivalent	0.510	0.404	0.482	амбівалентний
ambrosia	0.571	0.452	0.480	амброзія
ambulance	0.500	0.750	0.609	швидка допомога
ambush	0.281	0.830	0.500	засідка
ameliorate	0.770	0.548	0.747	поліпшити
amen	0.781	0.182	0.542	амінь
amenable	0.448	0.410	0.406	піддається
amend	0.688	0.406	0.658	змінити
amendment	0.531	0.459	0.606	поправка
amends	0.640	0.366	0.517	вносить поправки
amenity	0.750	0.327	0.574	зручності
amethyst	0.622	0.406	0.517	аметистовий
amiable	0.847	0.290	0.483	привітний
amicable	0.875	0.330	0.507	дружній
amid	0.510	0.340	0.256	посеред
amidst	0.480	0.330	0.316	посеред
amino	0.551	0.402	0.433	аміно
ammo	0.323	0.765	0.621	боєприпаси
ammonia	0.292	0.587	0.409	аміак
ammonium	0.354	0.396	0.368	амоній
ammunition	0.338	0.635	0.667	боєприпаси
amnesia	0.296	0.330	0.308	амнезія
amnesty	0.551	0.451	0.814	амністія
amorous	0.844	0.670	0.636	любовний
amorphous	0.327	0.402	0.349	аморфний
amortization	0.592	0.491	0.522	амортизація
amount	0.562	0.422	0.649	сума
amour	0.865	0.480	0.652	любов
amp	0.439	0.393	0.375	підсилювач
ampersand	0.480	0.448	0.483	амперсанд
amphetamines	0.133	0.667	0.526	амфетаміни
amphibian	0.427	0.357	0.474	амфібія
amphibious	0.479	0.346	0.445	амфібія
amphitheater	0.653	0.480	0.545	амфітеатр
ample	0.744	0.349	0.719	достатньо
amplification	0.690	0.677	0.810	посилення
amplify	0.677	0.735	0.827	посилювати
amplitude	0.694	0.439	0.692	амплітуда
amply	0.781	0.431	0.766	достатньо
amputate	0.092	0.660	0.509	ампутувати
amputation	0.100	0.755	0.483	ампутація
amuck	0.385	0.602	0.321	шалений
amulet	0.781	0.260	0.630	амулет
amuse	0.812	0.684	0.664	розважати
amused	0.942	0.847	0.596	потішив
amusement	0.929	0.837	0.803	розвага
amusing	0.960	0.829	0.632	забавний
ana	0.541	0.300	0.314	ана
anaconda	0.146	0.830	0.540	анаконда
anaesthesia	0.350	0.217	0.473	анестезія
anaesthetic	0.449	0.268	0.509	анестетик
anagram	0.552	0.327	0.449	анаграма
anal	0.333	0.798	0.334	анальний
analgesic	0.417	0.321	0.441	болезаспокійливий
analogous	0.531	0.270	0.500	аналогічний
analogue	0.570	0.320	0.446	аналоговий
analogy	0.510	0.367	0.509	аналогія
analysis	0.729	0.448	0.705	аналіз
analyst	0.604	0.415	0.755	аналітик
analytic	0.665	0.521	0.634	аналітичний
analytical	0.625	0.324	0.800	аналітичний
analyze	0.667	0.462	0.710	аналізувати
analyzer	0.625	0.556	0.854	аналізатор
anaphylactic	0.378	0.588	0.500	анафілактичний
anarchism	0.125	0.804	0.623	анархізм
anarchist	0.204	0.700	0.759	анархіст
anarchy	0.146	0.755	0.620	анархія
anastomosis	0.375	0.470	0.490	анастомоз
anathema	0.286	0.490	0.519	анафема
anatomic	0.562	0.442	0.546	анатомічний
anatomy	0.562	0.390	0.571	анатомія
ancestor	0.592	0.388	0.594	предок
ancestral	0.640	0.481	0.750	родовий
ancestry	0.708	0.519	0.717	походження
anchor	0.520	0.284	0.564	якір
anchorage	0.500	0.325	0.639	якірна стоянка
ancient	0.420	0.217	0.439	давній
ancillary	0.449	0.442	0.278	допоміжний
androgen	0.255	0.523	0.527	андроген
