English Word	Valence	Arousal	Dominance	Hausa Word
access	0.714	0.472	0.567	shiga
accessible	0.796	0.410	0.645	m
accession	0.612	0.383	0.636	shiga
accessory	0.562	0.292	0.445	kayan haɗi
accident	0.125	0.908	0.336	hadari
accidental	0.319	0.784	0.307	na bazata
accidentally	0.333	0.741	0.333	bazata
acclaim	0.562	0.809	0.718	yabo
accolade	0.688	0.591	0.775	yabawa
accommodate	0.844	0.375	0.566	saukar da
accommodation	0.817	0.415	0.587	masauki
accompaniment	0.740	0.479	0.695	rakiyar
accompany	0.833	0.406	0.585	rakiyar
accompanying	0.787	0.460	0.582	rakiyar
accomplice	0.408	0.580	0.510	abokin tarayya
accomplish	0.929	0.673	0.816	cim ma
accomplished	0.870	0.520	0.798	cika
accomplishment	0.917	0.694	0.888	nasara
accord	0.898	0.264	0.382	yarda
accordance	0.659	0.349	0.600	daidai
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	asusu
accountability	0.755	0.537	0.833	lissafi
accountable	0.709	0.282	0.777	m
accountant	0.625	0.450	0.639	akawu
accounting	0.552	0.390	0.677	lissafin kudi
accounts	0.592	0.340	0.471	asusun
accredited	0.669	0.479	0.768	yarda
accretion	0.448	0.519	0.672	karuwa
accrue	0.520	0.481	0.602	tarawa
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	tara
accumulation	0.479	0.527	0.600	tarawa
accuracy	0.604	0.481	0.802	daidaito
accurate	0.743	0.360	0.737	m
accursed	0.135	0.745	0.345	la'ananne
accusation	0.073	0.718	0.564	zargi
accusative	0.198	0.755	0.482	m
accuse	0.133	0.752	0.500	zargi
accused	0.130	0.670	0.420	zargi
accuser	0.122	0.779	0.615	mai zargi
accusing	0.156	0.745	0.324	zargi
accustomed	0.542	0.365	0.441	saba
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	ciwo
achieve	0.816	0.545	0.843	cimma
achieved	0.896	0.519	0.775	samu
achievement	0.896	0.808	0.759	nasara
aching	0.053	0.880	0.348	ciwo
achy	0.167	0.840	0.373	aci
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	yarda
acknowledged	0.714	0.443	0.765	yarda
acknowledgement	0.819	0.539	0.830	yarda
acknowledgment	0.796	0.528	0.777	yarda
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	kuraje
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	m
acoustics	0.611	0.330	0.509	wasan kwaikwayo
acquaint	0.646	0.491	0.639	saba
acquaintance	0.656	0.290	0.670	sani
acquainted	0.906	0.358	0.632	saba
acquiescence	0.542	0.480	0.554	yarda
acquire	0.833	0.468	0.700	samu
acquiring	0.735	0.510	0.817	samu
acquisition	0.698	0.509	0.736	samu
acquisitions	0.773	0.660	0.790	saye
acquit	0.583	0.571	0.611	sallama
acquittal	0.760	0.497	0.700	wankewa
acre	0.583	0.387	0.423	kadada
acreage	0.741	0.450	0.528	kadada
acres	0.510	0.363	0.500	kadada
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	aiki
acting	0.698	0.643	0.500	yin aiki
action	0.760	0.898	0.802	aiki
action figure	0.615	0.774	0.611	adadi mataki
actionable	0.673	0.702	0.613	m
activate	0.764	0.650	0.806	kunna
activation	0.781	0.800	0.754	kunnawa
active	0.847	0.730	0.731	aiki
activist	0.531	0.653	0.877	mai fafutuka
activity	0.701	0.660	0.807	aiki
actor	0.653	0.561	0.629	ɗan wasan kwaikwayo
actress	0.633	0.556	0.596	'yar wasan kwaikwayo
actual	0.729	0.400	0.716	ainihin
actuality	0.750	0.464	0.600	gaskiya
actuary	0.510	0.404	0.491	aiki
acuity	0.469	0.378	0.741	m
acumen	0.564	0.660	0.679	fahimta
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	m
acutely	0.417	0.543	0.491	sosai
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	magana
adamant	0.344	0.529	0.575	m
adapt	0.740	0.355	0.551	daidaita
adaptable	0.735	0.423	0.641	daidaitacce
adaptation	0.663	0.365	0.609	daidaitawa
add	0.728	0.490	0.554	ƙara
added	0.562	0.405	0.509	kara da cewa
addendum	0.392	0.370	0.418	ƙari
adder	0.388	0.461	0.588	ƙara
addict	0.075	0.696	0.327	jaraba
addicted	0.156	0.712	0.483	kamu
addiction	0.180	0.806	0.420	jaraba
addictive	0.302	0.683	0.472	jaraba
addition	0.562	0.373	0.471	kari
additional	0.673	0.462	0.526	ƙari
additive	0.561	0.633	0.691	ƙari
address	0.650	0.327	0.567	adireshin
addressee	0.622	0.382	0.538	addressee
addresses	0.510	0.354	0.450	adireshi
adept	0.594	0.539	0.789	m
adequacy	0.615	0.435	0.702	dacewa
adequate	0.854	0.264	0.705	isasshe
adhere	0.633	0.339	0.554	bi
adherence	0.760	0.307	0.630	riko
adherent	0.561	0.385	0.555	m
adhering	0.612	0.561	0.537	jingina
adhesion	0.521	0.445	0.586	mannewa
adhesive	0.604	0.350	0.413	m
adieu	0.250	0.471	0.342	adiyu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	kusanci
adjacent	0.645	0.276	0.536	m
adjective	0.570	0.316	0.569	siffa
adjoining	0.520	0.400	0.393	m
adjourn	0.385	0.456	0.475	dage zaman
adjournment	0.438	0.510	0.370	dage zaman
adjudicate	0.559	0.520	0.683	yanke hukunci
adjudication	0.551	0.462	0.691	hukunci
adjunct	0.459	0.440	0.426	hadewa
adjust	0.647	0.327	0.638	daidaita
adjuster	0.510	0.540	0.760	mai daidaitawa
adjustment	0.590	0.520	0.661	daidaitawa
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	gudanarwa
administration	0.625	0.404	0.786	gudanarwa
administrative	0.542	0.415	0.579	gudanarwa
administrator	0.538	0.480	0.902	shugaba
admirable	0.929	0.600	0.870	abin sha'awa
admiral	0.844	0.490	0.847	admiral
admiralty	0.594	0.547	0.733	admiralty
admiration	0.969	0.583	0.726	sha'awa
admire	0.867	0.692	0.704	sha'awa
admired	0.917	0.560	0.815	sha'awa
admirer	0.796	0.720	0.650	mai sha'awa
admiring	0.867	0.578	0.629	sha'awa
admissibility	0.802	0.580	0.602	yarda
admissible	0.780	0.528	0.642	m
admission	0.802	0.415	0.732	shiga
admit	0.538	0.423	0.667	shigar
admittance	0.690	0.451	0.598	shigar
admitted	0.720	0.490	0.767	shigar
admitting	0.620	0.500	0.546	shigar
admixture	0.450	0.375	0.438	admixture
admonition	0.357	0.606	0.455	nasiha
ado	0.520	0.423	0.385	ado
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	samartaka
adolescent	0.781	0.680	0.509	matashi
adopt	0.694	0.612	0.701	dauko
adoption	0.625	0.566	0.589	tallafi
adoptive	0.531	0.469	0.520	m
adorable	0.969	0.519	0.457	kyakkyawa
adoration	0.885	0.699	0.708	ado
adore	0.854	0.438	0.657	kauna
adoring	0.885	0.620	0.717	ado
adorn	0.910	0.424	0.482	ƙawata
adornment	0.918	0.373	0.377	ado
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	gangara
adult	0.815	0.491	0.787	babba
adulterated	0.188	0.865	0.370	lalata
adulterer	0.229	0.814	0.407	mazinata
adultery	0.120	0.922	0.510	zina
adulthood	0.541	0.454	0.652	girma
advance	0.673	0.472	0.858	gaba
advanced	0.844	0.623	0.797	ci gaba
advancement	0.776	0.650	0.839	ci gaba
advancing	0.929	0.608	0.812	ci gaba
advantage	0.917	0.548	0.859	amfani
advantageous	0.837	0.640	0.789	m
advent	0.665	0.560	0.627	zuwan
adventure	0.917	0.857	0.710	kasada
adventurer	0.781	0.839	0.868	dan kasada
adventures	0.812	0.764	0.749	kasada
adventurous	0.969	0.898	0.722	m
adversary	0.349	0.777	0.457	abokin gaba
adverse	0.323	0.610	0.385	m
adversity	0.276	0.760	0.538	wahala
advertise	0.500	0.529	0.580	talla
advertisement	0.600	0.566	0.539	talla
advertising	0.622	0.608	0.632	talla
adverts	0.551	0.500	0.595	talla
advice	0.698	0.408	0.688	shawara
advisable	0.867	0.480	0.510	nasiha
advise	0.760	0.393	0.705	shawara
advised	0.823	0.330	0.509	nasiha
advisement	0.698	0.235	0.655	shawara
adviser	0.745	0.362	0.705	mai ba da shawara
advisor	0.646	0.350	0.689	mai ba da shawara
advisory	0.656	0.429	0.633	shawara
advocacy	0.500	0.646	0.731	shawara
advocate	0.551	0.530	0.818	lauya
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	iska
aerial	0.615	0.461	0.463	na iska
aerobics	0.708	0.771	0.627	wasan motsa jiki
aerodrome	0.541	0.740	0.678	aerodrome
aerodynamic	0.561	0.724	0.728	aerodynamic
aerodynamics	0.590	0.663	0.722	aerodynamics
aeronautics	0.551	0.633	0.688	aeronautics
aeroplane	0.714	0.642	0.644	jirgin sama
aerospace	0.643	0.520	0.779	sararin samaniya
aesthetic	0.708	0.442	0.526	ado
aesthetics	0.847	0.327	0.549	kayan ado
aetiology	0.480	0.398	0.615	ilimin motsa jiki
afar	0.396	0.373	0.358	nesa
affable	0.704	0.380	0.452	m
affair	0.520	0.459	0.657	al'amari
affect	0.458	0.569	0.578	tasiri
affecting	0.350	0.574	0.394	tasiri
affection	0.898	0.559	0.696	soyayya
affectionate	0.949	0.422	0.550	m
affections	0.760	0.547	0.655	soyayya
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	rantsuwa
affiliated	0.673	0.519	0.535	mai alaƙa
affiliation	0.615	0.594	0.500	alaƙa
affinity	0.800	0.500	0.537	kusanci
affirm	0.745	0.509	0.731	tabbatar
affirmation	0.750	0.500	0.689	tabbatarwa
affirmative	0.854	0.589	0.816	m
affirmatively	0.908	0.500	0.811	tabbas
affix	0.438	0.335	0.411	saka
afflict	0.302	0.555	0.293	wahala
afflicted	0.271	0.500	0.167	wahala
affliction	0.294	0.635	0.392	wahala
affluence	0.663	0.618	0.722	wadata
affluent	0.756	0.388	0.477	wadata
afford	0.571	0.580	0.575	iyawa
affordable	0.840	0.398	0.493	mai araha
affront	0.327	0.740	0.547	cin zarafi
affronted	0.385	0.750	0.527	cin zarafi
afield	0.594	0.370	0.373	waje
afire	0.367	0.904	0.675	wuta
afloat	0.602	0.427	0.444	ruwa
afore	0.500	0.337	0.382	a baya
aforementioned	0.490	0.316	0.408	da aka ambata
aforesaid	0.531	0.358	0.478	a baya
afraid	0.010	0.775	0.245	tsoro
afresh	0.643	0.521	0.480	sabo
aft	0.480	0.417	0.518	bayan
afterlife	0.571	0.567	0.568	lahira
aftermath	0.312	0.449	0.444	bayan
afternoon	0.533	0.388	0.339	rana
aftershave	0.406	0.384	0.415	bayan askewa
aftertaste	0.354	0.362	0.455	bayan dandano
afterthought	0.396	0.392	0.349	bayan tunani
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	shekaru
aged	0.135	0.365	0.236	shekaru
agency	0.460	0.296	0.583	hukumar
agenda	0.531	0.296	0.553	ajanda
agent	0.480	0.439	0.755	wakili
agglomeration	0.450	0.765	0.509	agglomeration
aggravate	0.224	0.770	0.464	kara tsananta
aggravated	0.079	0.760	0.430	ya tsananta
aggravates	0.108	0.778	0.357	yana kara tsananta
aggravating	0.257	0.794	0.640	kara tsananta
aggravation	0.071	0.784	0.613	kara tsananta
aggregate	0.730	0.378	0.556	tara
aggregation	0.583	0.517	0.694	tarawa
aggresive	0.059	0.971	0.639	m
aggression	0.094	0.929	0.533	zalunci
aggressive	0.125	0.949	0.648	m
aggressively	0.250	0.926	0.688	m
aggressiveness	0.077	0.913	0.648	tashin hankali
aggressor	0.146	0.948	0.823	mai zalunci
agh	0.260	0.500	0.400	agh
aghast	0.133	0.865	0.464	firgita
aghhh	0.281	0.635	0.243	ahhh
agile	0.800	0.657	0.775	agile
agility	0.720	0.702	0.815	karfin hali
aging	0.214	0.255	0.284	tsufa
agitate	0.300	0.796	0.593	tada hankali
agitated	0.444	0.882	0.491	tada hankali
agitation	0.240	0.931	0.447	tashin hankali
aglow	0.780	0.510	0.797	girma
agnostic	0.306	0.396	0.574	agnostic
ago	0.317	0.280	0.404	da suka wuce
agonizing	0.083	0.800	0.340	azaba
agony	0.083	0.775	0.393	azaba
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	yarda
agreeable	0.906	0.500	0.696	m
agreed	0.797	0.449	0.574	amince
agreeing	0.854	0.480	0.557	yarda
agreement	0.760	0.440	0.736	yarjejeniya
agressive	0.083	0.918	0.751	m
agricultural	0.686	0.321	0.473	noma
agriculture	0.640	0.357	0.465	noma
aground	0.333	0.340	0.445	kasa
agua	0.598	0.180	0.436	aguwa
ahead	0.708	0.520	0.673	gaba
ahhh	0.562	0.517	0.241	ahhhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahyi
aid	0.796	0.491	0.541	taimako
aide	0.724	0.342	0.434	mataimaki
aiding	0.643	0.533	0.569	taimako
aids	0.561	0.480	0.500	taimako
ail	0.375	0.434	0.385	ai
ailing	0.094	0.518	0.153	rashin lafiya
ailment	0.146	0.734	0.277	rashin lafiya
aim	0.481	0.569	0.567	manufa
aimless	0.150	0.267	0.183	marar manufa
air	0.708	0.163	0.427	iska
airbag	0.510	0.402	0.433	jakar iska
airborne	0.542	0.519	0.385	iska
aircraft	0.646	0.644	0.691	jirgin sama
aircraft carrier	0.490	0.740	0.727	jirgin dakon kaya
airfield	0.601	0.650	0.645	filin jirgin sama
airhead	0.271	0.481	0.276	iska
airlift	0.573	0.622	0.642	tashin jirgi
airline	0.650	0.482	0.688	jirgin sama
airliner	0.667	0.777	0.647	jirgin sama
airlock	0.398	0.520	0.447	kulle iska
airman	0.587	0.716	0.721	jirgin sama
airplane	0.719	0.702	0.708	jirgin sama
airport	0.729	0.684	0.682	filin jirgin sama
airs	0.583	0.196	0.370	iska
airship	0.542	0.472	0.529	jirgin sama
airspace	0.562	0.510	0.640	sararin samaniya
airspeed	0.583	0.780	0.544	saurin iska
airstrip	0.550	0.690	0.649	filin jirgin sama
airtight	0.479	0.381	0.570	iska
airway	0.638	0.585	0.482	hanyar iska
aisle	0.438	0.222	0.283	hanya
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ajar
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	akin
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	ƙararrawa
alarm clock	0.542	0.727	0.642	agogon ƙararrawa
alarmed	0.188	0.822	0.492	firgita
alarming	0.204	0.890	0.585	mai ban tsoro
alas	0.571	0.310	0.279	kash
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	zabiya
album	0.635	0.349	0.453	kundin
alchemy	0.541	0.583	0.693	alchemy
alcohol	0.323	0.667	0.377	barasa
alcoholic	0.153	0.688	0.361	barasa
alcoholism	0.061	0.779	0.407	shaye-shaye
alcove	0.490	0.340	0.356	alkwari
alderman	0.550	0.459	0.691	alderman
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	faɗakarwa
alertness	0.375	0.875	0.750	faɗakarwa
alerts	0.337	0.804	0.673	faɗakarwa
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	algebra
algebraic	0.531	0.412	0.441	algebraic
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	laƙabi
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	baƙo
alienate	0.247	0.500	0.523	nisantar da kai
alienated	0.410	0.423	0.559	m
alienation	0.378	0.530	0.462	ware
alight	0.667	0.657	0.605	sauka
align	0.656	0.364	0.627	daidaita
aligned	0.583	0.275	0.553	daidaitacce
alignment	0.643	0.412	0.683	daidaitawa
alike	0.653	0.173	0.444	daidai
alimentation	0.781	0.551	0.602	alimentation
alimony	0.612	0.477	0.464	alimony
aliquot	0.440	0.310	0.404	aliyu
alive	0.816	0.637	0.731	mai rai
alkali	0.490	0.350	0.408	Alkali
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	sallama
allegation	0.578	0.578	0.608	zargi
allege	0.418	0.482	0.587	zargin
alleged	0.365	0.522	0.520	zargin
allegiance	0.917	0.398	0.750	biyayya
allegorical	0.517	0.558	0.598	misali
allegory	0.615	0.580	0.509	misali
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	rashin lafiyan
allergy	0.296	0.606	0.389	rashin lafiyar jiki
alleviate	0.869	0.270	0.528	ragewa
alleviation	0.735	0.200	0.491	ragewa
alley	0.347	0.500	0.355	layi
alleyway	0.357	0.471	0.382	hanya
alliance	0.696	0.473	0.769	kawance
allied	0.714	0.245	0.642	kawance
alligator	0.354	0.704	0.645	alligator
allocate	0.673	0.462	0.672	kasaftawa
allocation	0.604	0.388	0.679	kasafi
allot	0.622	0.481	0.616	raba
allotment	0.600	0.390	0.640	rabo
allow	0.698	0.429	0.538	yarda
allowable	0.698	0.500	0.561	halatta
allowance	0.673	0.382	0.591	alawus
allowed	0.730	0.360	0.655	yarda
alloy	0.583	0.443	0.593	gami
allsmiles	0.786	0.528	0.430	murmushi
allure	0.804	0.585	0.686	lallashi
alluring	0.837	0.745	0.843	m
allusion	0.440	0.308	0.462	ambato
alluvial	0.323	0.490	0.491	m
ally	0.792	0.320	0.688	abokin tarayya
almanac	0.688	0.190	0.412	almanac
almighty	0.938	0.874	0.958	madaukaki
almond	0.698	0.183	0.314	almond
aloft	0.771	0.373	0.700	a sama
aloha	0.698	0.440	0.441	alhamdulillah
alone	0.333	0.167	0.216	kadai
alongside	0.458	0.333	0.347	tare
aloof	0.189	0.423	0.302	a hankali
aloud	0.458	0.713	0.750	babbar murya
alpha	0.708	0.340	0.755	alfa
alphabet	0.562	0.204	0.672	haruffa
alphabetical	0.537	0.296	0.535	haruffa
alpine	0.594	0.337	0.474	mai tsayi
alreadyyyyy	0.592	0.717	0.351	rigayyyy
altar	0.724	0.387	0.635	bagadi
altar boy	0.434	0.206	0.350	yaron bagade
alter	0.333	0.694	0.654	canza
alteration	0.167	0.798	0.609	canji
altercation	0.170	0.806	0.500	sabani
altered	0.255	0.765	0.500	canza
alternate	0.625	0.363	0.589	madadin
alternating	0.480	0.494	0.542	m
alternative	0.628	0.373	0.631	madadin
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	tsawo
alto	0.656	0.404	0.730	alto
altogether	0.833	0.324	0.644	gaba daya
aluminum	0.449	0.280	0.434	aluminum
alumnus	0.633	0.368	0.422	tsohon dalibi
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	masu cutar Alzheimer
amalgam	0.438	0.333	0.510	al'umma
amalgamation	0.406	0.470	0.531	haduwa
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	tara
amateur	0.469	0.500	0.409	mai son
amaze	0.896	0.843	0.783	mamaki
amazed	0.796	0.779	0.533	mamaki
amazedness	0.827	0.872	0.510	mamaki
amazement	0.750	0.800	0.639	mamaki
amazing	0.906	0.837	0.849	ban mamaki
amazingly	0.918	0.765	0.920	abin mamaki
ambassador	0.651	0.529	0.917	jakada
amber	0.635	0.308	0.369	amber
ambience	0.735	0.356	0.426	yanayi
ambient	0.625	0.360	0.582	yanayi
ambiguity	0.164	0.460	0.370	rashin fahimta
ambiguous	0.265	0.462	0.358	m
ambit	0.479	0.380	0.386	ambit
ambition	0.510	0.804	0.661	buri
ambitious	0.484	0.821	0.717	m
ambivalent	0.510	0.404	0.482	ambivalent
ambrosia	0.571	0.452	0.480	ambrosia
ambulance	0.500	0.750	0.609	motar asibiti
ambush	0.281	0.830	0.500	kwanto
ameliorate	0.770	0.548	0.747	inganta
amen	0.781	0.182	0.542	amin
amenable	0.448	0.410	0.406	abin yarda
amend	0.688	0.406	0.658	gyara
amendment	0.531	0.459	0.606	gyara
amends	0.640	0.366	0.517	gyara
amenity	0.750	0.327	0.574	abin jin daɗi
amethyst	0.622	0.406	0.517	amethyst
amiable	0.847	0.290	0.483	abin yarda
amicable	0.875	0.330	0.507	m
amid	0.510	0.340	0.256	tsakani
amidst	0.480	0.330	0.316	tsakani
amino	0.551	0.402	0.433	amino
ammo	0.323	0.765	0.621	ammo
ammonia	0.292	0.587	0.409	ammoniya
ammonium	0.354	0.396	0.368	ammonium
ammunition	0.338	0.635	0.667	harsashi
amnesia	0.296	0.330	0.308	amnesia
amnesty	0.551	0.451	0.814	afuwa
amorous	0.844	0.670	0.636	m
amorphous	0.327	0.402	0.349	amorphous
amortization	0.592	0.491	0.522	amortization
amount	0.562	0.422	0.649	adadin
amour	0.865	0.480	0.652	almubazzaranci
amp	0.439	0.393	0.375	amp
ampersand	0.480	0.448	0.483	ampersand
amphetamines	0.133	0.667	0.526	amphetamines
amphibian	0.427	0.357	0.474	amphibian
amphibious	0.479	0.346	0.445	m
amphitheater	0.653	0.480	0.545	amphitheater
ample	0.744	0.349	0.719	wadatacce
amplification	0.690	0.677	0.810	ƙarawa
amplify	0.677	0.735	0.827	fadada
amplitude	0.694	0.439	0.692	girma
amply	0.781	0.431	0.766	yalwatacce
amputate	0.092	0.660	0.509	yanke jiki
amputation	0.100	0.755	0.483	yankewa
amuck	0.385	0.602	0.321	abin mamaki
amulet	0.781	0.260	0.630	amulet
amuse	0.812	0.684	0.664	nishadi
amused	0.942	0.847	0.596	nishadi
amusement	0.929	0.837	0.803	nishadi
amusing	0.960	0.829	0.632	m
ana	0.541	0.300	0.314	ana
anaconda	0.146	0.830	0.540	anaconda
anaesthesia	0.350	0.217	0.473	maganin sa barci
anaesthetic	0.449	0.268	0.509	maganin sa barci
anagram	0.552	0.327	0.449	anagram
anal	0.333	0.798	0.334	tsuliya
analgesic	0.417	0.321	0.441	analgesic
analogous	0.531	0.270	0.500	m
analogue	0.570	0.320	0.446	analogues
analogy	0.510	0.367	0.509	kwatance
analysis	0.729	0.448	0.705	bincike
analyst	0.604	0.415	0.755	manazarci
analytic	0.665	0.521	0.634	nazari
analytical	0.625	0.324	0.800	nazari
analyze	0.667	0.462	0.710	nazari
analyzer	0.625	0.556	0.854	nazari
anaphylactic	0.378	0.588	0.500	anaphylactic
anarchism	0.125	0.804	0.623	anarchism
anarchist	0.204	0.700	0.759	anarchist
anarchy	0.146	0.755	0.620	rashin zaman lafiya
anastomosis	0.375	0.470	0.490	anastomosis
anathema	0.286	0.490	0.519	rashin lafiya
anatomic	0.562	0.442	0.546	anatomic
anatomy	0.562	0.390	0.571	jiki
ancestor	0.592	0.388	0.594	kakanni
ancestral	0.640	0.481	0.750	kakanni
ancestry	0.708	0.519	0.717	zuriyarsu
anchor	0.520	0.284	0.564	anga
anchorage	0.500	0.325	0.639	anga
ancient	0.420	0.217	0.439	tsoho
ancillary	0.449	0.442	0.278	m
androgen	0.255	0.523	0.527	androgen
android	0.663	0.436	0.500	android
anecdote	0.583	0.529	0.500	labari
