English Word	Valence	Arousal	Dominance	Nepali Word
adjunct	0.459	0.440	0.426	सहायक
adjust	0.647	0.327	0.638	समायोजन गर्नुहोस्
adjuster	0.510	0.540	0.760	समायोजक
adjustment	0.590	0.520	0.661	समायोजन
adjuvant	0.510	0.500	0.456	सहायक
admin	0.688	0.420	0.854	व्यवस्थापक
administer	0.635	0.425	0.860	प्रशासन
administration	0.625	0.404	0.786	प्रशासन
administrative	0.542	0.415	0.579	प्रशासनिक
administrator	0.538	0.480	0.902	प्रशासक
admirable	0.929	0.600	0.870	प्रशंसनीय
admiral	0.844	0.490	0.847	एडमिरल
admiralty	0.594	0.547	0.733	एडमिरल्टी
admiration	0.969	0.583	0.726	प्रशंसा
admire	0.867	0.692	0.704	प्रशंसा
admired	0.917	0.560	0.815	प्रशंसा गरियो
admirer	0.796	0.720	0.650	प्रशंसक
admiring	0.867	0.578	0.629	प्रशंसा गर्दै
admissibility	0.802	0.580	0.602	स्वीकार्यता
admissible	0.780	0.528	0.642	स्वीकार्य
admission	0.802	0.415	0.732	भर्ना
admit	0.538	0.423	0.667	स्वीकार
admittance	0.690	0.451	0.598	प्रवेश
admitted	0.720	0.490	0.767	दाखिल भएको
admitting	0.620	0.500	0.546	स्वीकार गर्दै
admixture	0.450	0.375	0.438	मिश्रण
admonition	0.357	0.606	0.455	चेतावनी
ado	0.520	0.423	0.385	अडान
adobe	0.500	0.319	0.328	एडोब
adolescence	0.487	0.694	0.444	किशोरावस्था
adolescent	0.781	0.680	0.509	किशोर
adopt	0.694	0.612	0.701	अपनाउने
adoption	0.625	0.566	0.589	ग्रहण
adoptive	0.531	0.469	0.520	दत्तक
adorable	0.969	0.519	0.457	मनमोहक
adoration	0.885	0.699	0.708	आराधना
adore	0.854	0.438	0.657	पूजा
adoring	0.885	0.620	0.717	आराधना गर्दै
adorn	0.910	0.424	0.482	सजाउनु
adornment	0.918	0.373	0.377	सजावट
adrenalin	0.865	0.920	0.786	एड्रेनालिन
adrenaline	0.765	0.965	0.825	एड्रेनालाईन
adrift	0.398	0.486	0.230	बग्ने
adult	0.815	0.491	0.787	वयस्क
adulterated	0.188	0.865	0.370	मिसावट
adulterer	0.229	0.814	0.407	व्यभिचारी
adultery	0.120	0.922	0.510	व्यभिचार
adulthood	0.541	0.454	0.652	वयस्कता
advance	0.673	0.472	0.858	अग्रिम
advanced	0.844	0.623	0.797	उन्नत
advancement	0.776	0.650	0.839	प्रगति
advancing	0.929	0.608	0.812	अगाडि बढ्दै
advantage	0.917	0.548	0.859	फाइदा
advantageous	0.837	0.640	0.789	फाइदाजनक
advent	0.665	0.560	0.627	आगमन
adventure	0.917	0.857	0.710	साहसिक
adventurer	0.781	0.839	0.868	साहसी
adventures	0.812	0.764	0.749	साहसिक कार्यहरू
adventurous	0.969	0.898	0.722	साहसिक
adversary	0.349	0.777	0.457	विरोधी
adverse	0.323	0.610	0.385	प्रतिकूल
adversity	0.276	0.760	0.538	प्रतिकूलता
advertise	0.500	0.529	0.580	विज्ञापन
advertisement	0.600	0.566	0.539	विज्ञापन
advertising	0.622	0.608	0.632	विज्ञापन
adverts	0.551	0.500	0.595	विज्ञापनहरू
advice	0.698	0.408	0.688	सल्लाह
advisable	0.867	0.480	0.510	उचित
advise	0.760	0.393	0.705	सल्लाह
advised	0.823	0.330	0.509	सल्लाह दिए
advisement	0.698	0.235	0.655	सल्लाह
adviser	0.745	0.362	0.705	सल्लाहकार
advisor	0.646	0.350	0.689	सल्लाहकार
advisory	0.656	0.429	0.633	सल्लाहकार
advocacy	0.500	0.646	0.731	वकालत
advocate	0.551	0.530	0.818	अधिवक्ता
aegis	0.490	0.439	0.462	एजिस
aeration	0.550	0.500	0.433	वातन
aerial	0.615	0.461	0.463	हवाई
aerobics	0.708	0.771	0.627	एरोबिक्स
aerodrome	0.541	0.740	0.678	एयरोड्रोम
aerodynamic	0.561	0.724	0.728	वायुगतिकीय
aerodynamics	0.590	0.663	0.722	वायुगतिकी
aeronautics	0.551	0.633	0.688	वैमानिकी
aeroplane	0.714	0.642	0.644	हवाईजहाज
aerospace	0.643	0.520	0.779	एयरोस्पेस
aesthetic	0.708	0.442	0.526	सौन्दर्य
aesthetics	0.847	0.327	0.549	सौन्दर्यशास्त्र
aetiology	0.480	0.398	0.615	एटियोलोजी
afar	0.396	0.373	0.358	टाढा
affable	0.704	0.380	0.452	मिलनसार
affair	0.520	0.459	0.657	सम्बन्ध
affect	0.458	0.569	0.578	असर गर्छ
affecting	0.350	0.574	0.394	असर गर्ने
affection	0.898	0.559	0.696	स्नेह
affectionate	0.949	0.422	0.550	मायालु
affections	0.760	0.547	0.655	स्नेह
affiche	0.479	0.265	0.402	अफिस
affidavit	0.469	0.584	0.526	शपथ पत्र
affiliated	0.673	0.519	0.535	सम्बद्ध
affiliation	0.615	0.594	0.500	सम्बद्धता
affinity	0.800	0.500	0.537	आत्मीयता
affirm	0.745	0.509	0.731	पुष्टि
affirmation	0.750	0.500	0.689	पुष्टि
affirmative	0.854	0.589	0.816	सकारात्मक
affirmatively	0.908	0.500	0.811	सकारात्मक रूपमा
affix	0.438	0.335	0.411	जोड्नु
afflict	0.302	0.555	0.293	पीडा
afflicted	0.271	0.500	0.167	पीडित
affliction	0.294	0.635	0.392	दु:ख
affluence	0.663	0.618	0.722	समृद्धि
affluent	0.756	0.388	0.477	धनी
afford	0.571	0.580	0.575	किन्न
affordable	0.840	0.398	0.493	किफायती
affront	0.327	0.740	0.547	अपमान
affronted	0.385	0.750	0.527	अपमानित
afield	0.594	0.370	0.373	टाढा
afire	0.367	0.904	0.675	आगो
afloat	0.602	0.427	0.444	तैरिरहेको
afore	0.500	0.337	0.382	अगाडि
aforementioned	0.490	0.316	0.408	माथि उल्लेख गरिएको
aforesaid	0.531	0.358	0.478	माथि उल्लेख गरिएको
afraid	0.010	0.775	0.245	डराउनु
afresh	0.643	0.521	0.480	नयाँ
aft	0.480	0.417	0.518	पछाडि
afterlife	0.571	0.567	0.568	पछिको जीवन
aftermath	0.312	0.449	0.444	पछिको
afternoon	0.533	0.388	0.339	दिउँसो
aftershave	0.406	0.384	0.415	आफ्टर सेभ
aftertaste	0.354	0.362	0.455	पछिको स्वाद
afterthought	0.396	0.392	0.349	पछिको विचार
aga	0.542	0.327	0.398	अगा
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	उमेर
aged	0.135	0.365	0.236	वृद्ध
agency	0.460	0.296	0.583	एजेन्सी
agenda	0.531	0.296	0.553	एजेन्डा
agent	0.480	0.439	0.755	एजेन्ट
agglomeration	0.450	0.765	0.509	जमघट
aggravate	0.224	0.770	0.464	बढाउनु
aggravated	0.079	0.760	0.430	बढेको
aggravates	0.108	0.778	0.357	बढाउँछ
aggravating	0.257	0.794	0.640	उत्तेजक
aggravation	0.071	0.784	0.613	उत्तेजना
aggregate	0.730	0.378	0.556	कुल
aggregation	0.583	0.517	0.694	एकत्रीकरण
aggresive	0.059	0.971	0.639	आक्रामक
aggression	0.094	0.929	0.533	आक्रामकता
aggressive	0.125	0.949	0.648	आक्रामक
aggressively	0.250	0.926	0.688	आक्रामक रूपमा
aggressiveness	0.077	0.913	0.648	आक्रामकता
aggressor	0.146	0.948	0.823	आक्रमणकारी
agh	0.260	0.500	0.400	आह
aghast	0.133	0.865	0.464	स्तब्ध
aghhh	0.281	0.635	0.243	आह
agile	0.800	0.657	0.775	फुर्तिलो
agility	0.720	0.702	0.815	चपलता
aging	0.214	0.255	0.284	बुढ्यौली
agitate	0.300	0.796	0.593	आन्दोलन गर्नु
agitated	0.444	0.882	0.491	उत्तेजित
agitation	0.240	0.931	0.447	आन्दोलन
aglow	0.780	0.510	0.797	चम्किलो
agnostic	0.306	0.396	0.574	अज्ञेयवादी
ago	0.317	0.280	0.404	पहिले
agonizing	0.083	0.800	0.340	पीडादायी
agony	0.083	0.775	0.393	पीडा
agoraphobia	0.127	0.712	0.438	एगोराफोबिया
agree	0.906	0.260	0.545	सहमत
agreeable	0.906	0.500	0.696	सहमत
agreed	0.797	0.449	0.574	सहमत
agreeing	0.854	0.480	0.557	सहमत
agreement	0.760	0.440	0.736	सम्झौता
agressive	0.083	0.918	0.751	आक्रामक
agricultural	0.686	0.321	0.473	कृषि
agriculture	0.640	0.357	0.465	कृषि
aground	0.333	0.340	0.445	जमिनमा
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	अगाडि
ahhh	0.562	0.517	0.241	आह
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	ahoy
aid	0.796	0.491	0.541	सहायता
aide	0.724	0.342	0.434	सहयोगी
aiding	0.643	0.533	0.569	सहायता गर्दै
aids	0.561	0.480	0.500	एड्स
ail	0.375	0.434	0.385	रोग
ailing	0.094	0.518	0.153	बिरामी
ailment	0.146	0.734	0.277	रोग
aim	0.481	0.569	0.567	लक्ष्य
aimless	0.150	0.267	0.183	लक्ष्यविहीन
air	0.708	0.163	0.427	हावा
airbag	0.510	0.402	0.433	एयरब्याग
airborne	0.542	0.519	0.385	वायुजनित
aircraft	0.646	0.644	0.691	विमान
aircraft carrier	0.490	0.740	0.727	विमान वाहक
airfield	0.601	0.650	0.645	एयरफिल्ड
airhead	0.271	0.481	0.276	एयरहेड
airlift	0.573	0.622	0.642	एयरलिफ्ट
airline	0.650	0.482	0.688	एयरलाइन
airliner	0.667	0.777	0.647	एयरलाइनर
airlock	0.398	0.520	0.447	एयरलक
airman	0.587	0.716	0.721	एयरम्यान
airplane	0.719	0.702	0.708	हवाईजहाज
airport	0.729	0.684	0.682	विमानस्थल
airs	0.583	0.196	0.370	हावा
airship	0.542	0.472	0.529	हवाई जहाज
airspace	0.562	0.510	0.640	हवाई क्षेत्र
airspeed	0.583	0.780	0.544	वायु गति
airstrip	0.550	0.690	0.649	हवाई पट्टी
airtight	0.479	0.381	0.570	वायुरोधी
airway	0.638	0.585	0.482	वायुमार्ग
aisle	0.438	0.222	0.283	गलियारे
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	अजर
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	समान
alabaster	0.542	0.404	0.445	अलाबास्टर
alarm	0.241	0.882	0.698	अलार्म
alarm clock	0.542	0.727	0.642	अलार्म घडी
alarmed	0.188	0.822	0.492	सचेत
alarming	0.204	0.890	0.585	डरलाग्दो
alas	0.571	0.310	0.279	अफसोस
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	अल्बाट्रोस
albino	0.500	0.240	0.358	अल्बिनो
album	0.635	0.349	0.453	एल्बम
alchemy	0.541	0.583	0.693	कीमिया
alcohol	0.323	0.667	0.377	रक्सी
alcoholic	0.153	0.688	0.361	मादक
alcoholism	0.061	0.779	0.407	रक्सी
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	एल्डरम्यान
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	अलर्ट
alertness	0.375	0.875	0.750	सतर्कता
alerts	0.337	0.804	0.673	अलर्टहरू
alfalfa	0.546	0.250	0.311	अल्फाल्फा
algebra	0.440	0.340	0.565	बीजगणित
algebraic	0.531	0.412	0.441	बीजगणितीय
algorithm	0.448	0.394	0.559	एल्गोरिथ्म
alias	0.541	0.353	0.333	उपनाम
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	विदेशी
alienate	0.247	0.500	0.523	अलग गर्नु
alienated	0.410	0.423	0.559	अलग गरिएको
alienation	0.378	0.530	0.462	अलगाव
alight	0.667	0.657	0.605	उकालो
align	0.656	0.364	0.627	पङ्क्तिबद्ध
aligned	0.583	0.275	0.553	पङ्क्तिबद्ध
alignment	0.643	0.412	0.683	पङ्क्तिबद्धता
alike	0.653	0.173	0.444	समान
alimentation	0.781	0.551	0.602	खानपान
alimony	0.612	0.477	0.464	भत्ता
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	जीवित
alkali	0.490	0.350	0.408	क्षार
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	अल्ला
allegation	0.578	0.578	0.608	आरोप
allege	0.418	0.482	0.587	आरोप
alleged	0.365	0.522	0.520	आरोप
allegiance	0.917	0.398	0.750	निष्ठा
allegorical	0.517	0.558	0.598	रूपकात्मक
allegory	0.615	0.580	0.509	रूपक
allegro	0.635	0.627	0.453	allegro
allergic	0.135	0.549	0.273	एलर्जी
allergy	0.296	0.606	0.389	एलर्जी
alleviate	0.869	0.270	0.528	कम गर्ने
alleviation	0.735	0.200	0.491	उन्मूलन
alley	0.347	0.500	0.355	गल्ली
alleyway	0.357	0.471	0.382	गल्ली मार्ग
alliance	0.696	0.473	0.769	गठबन्धन
allied	0.714	0.245	0.642	सहयोगी
alligator	0.354	0.704	0.645	मगर
allocate	0.673	0.462	0.672	आवंटन
allocation	0.604	0.388	0.679	विनियोजन
allot	0.622	0.481	0.616	आवंटन
allotment	0.600	0.390	0.640	आवंटन
allow	0.698	0.429	0.538	अनुमति दिनुहोस्
allowable	0.698	0.500	0.561	स्वीकार्य
allowance	0.673	0.382	0.591	भत्ता
allowed	0.730	0.360	0.655	अनुमति छ
alloy	0.583	0.443	0.593	मिश्र धातु
allsmiles	0.786	0.528	0.430	सबै मुस्कान
allure	0.804	0.585	0.686	आकर्षण
alluring	0.837	0.745	0.843	आकर्षक
allusion	0.440	0.308	0.462	संकेत
alluvial	0.323	0.490	0.491	जलोढ़
ally	0.792	0.320	0.688	सहयोगी
almanac	0.688	0.190	0.412	पंचांग
almighty	0.938	0.874	0.958	सर्वशक्तिमान
almond	0.698	0.183	0.314	बदाम
aloft	0.771	0.373	0.700	माथि
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	एक्लै
alongside	0.458	0.333	0.347	साथमा
aloof	0.189	0.423	0.302	टाढा
aloud	0.458	0.713	0.750	ठूलो स्वरमा
alpha	0.708	0.340	0.755	अल्फा
alphabet	0.562	0.204	0.672	वर्णमाला
alphabetical	0.537	0.296	0.535	वर्णमाला
alpine	0.594	0.337	0.474	अल्पाइन
alreadyyyyy	0.592	0.717	0.351	पहिले नै
altar	0.724	0.387	0.635	वेदी
altar boy	0.434	0.206	0.350	वेदी केटा
alter	0.333	0.694	0.654	परिवर्तन
alteration	0.167	0.798	0.609	परिवर्तन
altercation	0.170	0.806	0.500	झगडा
altered	0.255	0.765	0.500	परिवर्तन गरियो
alternate	0.625	0.363	0.589	वैकल्पिक
alternating	0.480	0.494	0.542	वैकल्पिक
alternative	0.628	0.373	0.631	वैकल्पिक
altimeter	0.615	0.510	0.580	altimeter
altitude	0.708	0.482	0.736	उचाइ
alto	0.656	0.404	0.730	अल्टो
altogether	0.833	0.324	0.644	पूरै
aluminum	0.449	0.280	0.434	एल्युमिनियम
alumnus	0.633	0.368	0.422	पूर्व छात्र
alveolar	0.469	0.481	0.367	वायुकोशीय
alzheimers	0.194	0.518	0.319	अल्जाइमर
amalgam	0.438	0.333	0.510	मिश्रण
amalgamation	0.406	0.470	0.531	एकीकरण
amaretto	0.543	0.551	0.375	amaretto
amass	0.552	0.465	0.465	जम्मा गर्नु
amateur	0.469	0.500	0.409	शौकिया
amaze	0.896	0.843	0.783	अचम्म
amazed	0.796	0.779	0.533	चकित
amazedness	0.827	0.872	0.510	अचम्म
amazement	0.750	0.800	0.639	अचम्म
amazing	0.906	0.837	0.849	आश्चर्यजनक
amazingly	0.918	0.765	0.920	आश्चर्यजनक रूपमा
ambassador	0.651	0.529	0.917	राजदूत
amber	0.635	0.308	0.369	एम्बर
ambience	0.735	0.356	0.426	वातावरण
ambient	0.625	0.360	0.582	परिवेश
ambiguity	0.164	0.460	0.370	अस्पष्टता
ambiguous	0.265	0.462	0.358	अस्पष्ट
ambit	0.479	0.380	0.386	दायरा
ambition	0.510	0.804	0.661	महत्वाकांक्षा
ambitious	0.484	0.821	0.717	महत्वाकांक्षी
ambivalent	0.510	0.404	0.482	द्विपक्षीय
ambrosia	0.571	0.452	0.480	अमृत
ambulance	0.500	0.750	0.609	यम्बुलेन्स
ambush	0.281	0.830	0.500	एम्बुस
ameliorate	0.770	0.548	0.747	सुधार गर्ने
amen	0.781	0.182	0.542	आमेन
amenable	0.448	0.410	0.406	अनुकुल
amend	0.688	0.406	0.658	परिमार्जन
amendment	0.531	0.459	0.606	संशोधन
amends	0.640	0.366	0.517	परिमार्जन गर्दछ
amenity	0.750	0.327	0.574	सुविधा
amethyst	0.622	0.406	0.517	नीलम
amiable	0.847	0.290	0.483	मिलनसार
amicable	0.875	0.330	0.507	मिलनसार
amid	0.510	0.340	0.256	बीचमा
