English Word	Valence	Arousal	Dominance	Myanmar-Burmese Word
accord	0.898	0.264	0.382	အညီ
accordance	0.659	0.349	0.600	အညီ
accordion	0.604	0.490	0.361	ဘာဂျာ
account	0.531	0.347	0.472	အကောင့်
accountability	0.755	0.537	0.833	တာဝန်ခံမှု
accountable	0.709	0.282	0.777	တာဝန်ခံ
accountant	0.625	0.450	0.639	စာရင်းကိုင်
accounting	0.552	0.390	0.677	စာရင်းကိုင်
accounts	0.592	0.340	0.471	အကောင့်များ
accredited	0.669	0.479	0.768	အသိအမှတ်ပြု
accretion	0.448	0.519	0.672	ချဲ့ထွင်ခြင်း။
accrue	0.520	0.481	0.602	အမြတ်ထွက်
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	စုပြုံ
accumulation	0.479	0.527	0.600	စုဆောင်းခြင်း။
accuracy	0.604	0.481	0.802	တိကျမှု
accurate	0.743	0.360	0.737	တိကျသည်။
accursed	0.135	0.745	0.345	ကျိန်ဆဲ
accusation	0.073	0.718	0.564	စွပ်စွဲချက်
accusative	0.198	0.755	0.482	အစွပ်စွဲ
accuse	0.133	0.752	0.500	စွပ်စွဲသည်။
accused	0.130	0.670	0.420	စွပ်စွဲသည်။
accuser	0.122	0.779	0.615	စွပ်စွဲသူ
accusing	0.156	0.745	0.324	စွပ်စွဲသည်။
accustomed	0.542	0.365	0.441	နေသားတကျ
ace	0.643	0.481	0.546	အေ့
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	နာကျင်ခြင်း။
achieve	0.816	0.545	0.843	အောင်မြင်ရန်
achieved	0.896	0.519	0.775	အောင်မြင်သည်။
achievement	0.896	0.808	0.759	အောင်မြင်မှု
aching	0.053	0.880	0.348	နာကျင်ခြင်း။
achy	0.167	0.840	0.373	ကိုက်ခဲခြင်း။
acid	0.265	0.642	0.566	အက်ဆစ်
acidity	0.156	0.663	0.360	အချဉ်ဓာတ်
acknowledge	0.786	0.370	0.661	အသိအမှတ်ပြုပါ။
acknowledged	0.714	0.443	0.765	အသိအမှတ်ပြု
acknowledgement	0.819	0.539	0.830	အသိအမှတ်ပြုမှု
acknowledgment	0.796	0.528	0.777	အသိအမှတ်ပြုမှု
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	ဝက်ခြံ
acorn	0.448	0.198	0.192	သစ်သီး
acoustic	0.542	0.462	0.536	အသံပိုင်း
acoustics	0.611	0.330	0.509	အသံပိုင်းဆိုင်ရာ
acquaint	0.646	0.491	0.639	အသိမိတ်ဆွေ
acquaintance	0.656	0.290	0.670	အသိမိတ်ဆွေ
acquainted	0.906	0.358	0.632	သိကျွမ်းသည်။
acquiescence	0.542	0.480	0.554	တတ်မြောက်မှု
acquire	0.833	0.468	0.700	ဆည်းပူး
acquiring	0.735	0.510	0.817	ကလေးလည်းရှိတယ်။
acquisition	0.698	0.509	0.736	မှီး
acquisitions	0.773	0.660	0.790	ဝယ်ယူမှုများ
acquit	0.583	0.571	0.611	တရားသေလွှတ်သည်။
acquittal	0.760	0.497	0.700	တရားသေလွှတ်သည်။
acre	0.583	0.387	0.423	ဧက
acreage	0.741	0.450	0.528	စိုက်ဧက
acres	0.510	0.363	0.500	ဧက
acrobat	0.708	0.828	0.602	ကာယဗလ
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	လုပ်ရပ်
acting	0.698	0.643	0.500	သရုပ်ဆောင်
action	0.760	0.898	0.802	လုပ်ဆောင်ချက်
action figure	0.615	0.774	0.611	လှုပ်ရှားမှုပုံ
actionable	0.673	0.702	0.613	အရေးယူနိုင်သော
activate	0.764	0.650	0.806	အသက်သွင်းပါ။
activation	0.781	0.800	0.754	အသက်သွင်းခြင်း။
active	0.847	0.730	0.731	တက်ကြွသော
activist	0.531	0.653	0.877	တက်ကြွလှုပ်ရှားသူ
activity	0.701	0.660	0.807	လှုပ်ရှားမှု
actor	0.653	0.561	0.629	သရုပ်ဆောင်
actress	0.633	0.556	0.596	မင်းသမီး
actual	0.729	0.400	0.716	အမှန်တကယ်
actuality	0.750	0.464	0.600	လက်တွေ့ဘဝ
actuary	0.510	0.404	0.491	Actuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	ပါးရည်နပ်ရည်
acupuncture	0.531	0.324	0.549	အပ်စိုက်ကုထုံး
acute	0.427	0.652	0.534	စူးရှသည်။
acutely	0.417	0.543	0.491	ပြင်းပြင်းထန်ထန်
ad	0.521	0.705	0.558	ကြော်ငြာ
adage	0.517	0.415	0.566	ဆိုရိုးစကား
adamant	0.344	0.529	0.575	သန်မာသော
adapt	0.740	0.355	0.551	လိုက်လျောညီထွေဖြစ်အောင်
adaptable	0.735	0.423	0.641	အချက်နဲ့
adaptation	0.663	0.365	0.609	လိုက်လျောညီထွေ
add	0.728	0.490	0.554	ထည့်ပါ။
added	0.562	0.405	0.509	ထပ်ပြောသည်။
addendum	0.392	0.370	0.418	နောက်ဆက်တွဲ
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	စှဲလမျးသူ
addicted	0.156	0.712	0.483	စွဲ
addiction	0.180	0.806	0.420	စွဲလမ်းခြင်း။
addictive	0.302	0.683	0.472	စွဲလမ်းစေ
addition	0.562	0.373	0.471	ထပ်လောင်း
additional	0.673	0.462	0.526	အပိုဆောင်း
additive	0.561	0.633	0.691	ထပ်လောင်း
address	0.650	0.327	0.567	လိပ်စာ
addressee	0.622	0.382	0.538	လိပ်စာပေးသူ
addresses	0.510	0.354	0.450	လိပ်စာများ
adept	0.594	0.539	0.789	ကျွမ်းကျင်
adequacy	0.615	0.435	0.702	လုံလောက်မှု
adequate	0.854	0.264	0.705	လုံလောက်ပါတယ်။
adhere	0.633	0.339	0.554	လိုက်နာ
adherence	0.760	0.307	0.630	လိုက်နာမှု
adherent	0.561	0.385	0.555	မှီဝဲ
adhering	0.612	0.561	0.537	စွဲစွဲမြဲမြဲ
adhesion	0.521	0.445	0.586	adhesion
adhesive	0.604	0.350	0.413	ကော်
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	ကပ်လျက်
adjacent	0.645	0.276	0.536	ကပ်လျက်
adjective	0.570	0.316	0.569	နာမဝိသေသန
adjoining	0.520	0.400	0.393	ကပ်လျှက်
adjourn	0.385	0.456	0.475	ခေတ္တရပ်နား
adjournment	0.438	0.510	0.370	ခေတ္တရပ်နားခြင်း။
adjudicate	0.559	0.520	0.683	တရားစီရင်သည်။
adjudication	0.551	0.462	0.691	တရားစီရင်ရေး
adjunct	0.459	0.440	0.426	နောက်ဆက်တွဲ
adjust	0.647	0.327	0.638	ညှိ
adjuster	0.510	0.540	0.760	ချိန်ညှိကိရိယာ
adjustment	0.590	0.520	0.661	ညှိနှိုင်းမှု
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	admin
administer	0.635	0.425	0.860	စီမံပါ။
administration	0.625	0.404	0.786	အုပ်ချုပ်ရေး
administrative	0.542	0.415	0.579	အုပ်ချုပ်ရေး
administrator	0.538	0.480	0.902	စီမံခန့်ခွဲသူ
admirable	0.929	0.600	0.870	လေးစားဖွယ်
admiral	0.844	0.490	0.847	ရေတပ်ဗိုလ်ချုပ်
admiralty	0.594	0.547	0.733	ဗိုလ်ချုပ်မှူးကြီး
admiration	0.969	0.583	0.726	လေးစားမှု
admire	0.867	0.692	0.704	မြတ်နိုး
admired	0.917	0.560	0.815	သဘောကျတယ်။
admirer	0.796	0.720	0.650	အထင်ကြီးသူ
admiring	0.867	0.578	0.629	လေးစားစရာ
admissibility	0.802	0.580	0.602	ဝင်ခွင့်
admissible	0.780	0.528	0.642	ဘောင်ဝင်သည်။
admission	0.802	0.415	0.732	ဝင်ခွင့်
admit	0.538	0.423	0.667	ဝန်ခံပါ။
admittance	0.690	0.451	0.598	ဝင်ခွင့်
admitted	0.720	0.490	0.767	ဝန်ခံခဲ့သည်။
admitting	0.620	0.500	0.546	ဝန်ခံသည်။
admixture	0.450	0.375	0.438	အရောအနှော
admonition	0.357	0.606	0.455	သတိပေးချက်
ado	0.520	0.423	0.385	သဲသဲ
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	မြီးကောင်ပေါက်အရွယ်
adolescent	0.781	0.680	0.509	ဆယ်ကျော်သက်
adopt	0.694	0.612	0.701	လက်ခံသည်။
adoption	0.625	0.566	0.589	မွေးစားခြင်း။
adoptive	0.531	0.469	0.520	မွေးစား
adorable	0.969	0.519	0.457	ချစ်စရာကောင်းသော
adoration	0.885	0.699	0.708	မြတ်နိုးခြင်း
adore	0.854	0.438	0.657	ချစ်သည်။
adoring	0.885	0.620	0.717	မြတ်နိုးသည်။
adorn	0.910	0.424	0.482	ပန်ဆင်သည်။
adornment	0.918	0.373	0.377	အလှဆင်ခြင်း။
adrenalin	0.865	0.920	0.786	adrenalin
adrenaline	0.765	0.965	0.825	adrenaline
adrift	0.398	0.486	0.230	မျောပါ
adult	0.815	0.491	0.787	လူကြီး
adulterated	0.188	0.865	0.370	မသမာသော
adulterer	0.229	0.814	0.407	အိမ်ထောင်ရေးဖောက်ပြန်သူ
adultery	0.120	0.922	0.510	အိမ်ထောင်ရေးဖောက်ပြန်မှု
adulthood	0.541	0.454	0.652	အရွယ်ရောက်ခြင်း
advance	0.673	0.472	0.858	ကြိုတင်
advanced	0.844	0.623	0.797	အဆင့်မြင့်
advancement	0.776	0.650	0.839	တိုးတက်မှု
advancing	0.929	0.608	0.812	တိုးတက်မှု
advantage	0.917	0.548	0.859	အားသာချက်
advantageous	0.837	0.640	0.789	အားသာချက်
advent	0.665	0.560	0.627	ထွန်းကားသည်။
adventure	0.917	0.857	0.710	စွန့်စားမှု
adventurer	0.781	0.839	0.868	စွန့်စားသူ
adventures	0.812	0.764	0.749	စွန့်စားခန်း
adventurous	0.969	0.898	0.722	စွန့်စားခန်း
adversary	0.349	0.777	0.457	ရန်သူ
adverse	0.323	0.610	0.385	ဆိုးရွားသော
adversity	0.276	0.760	0.538	ဒုက္ခ
advertise	0.500	0.529	0.580	ကြော်ငြာပါ။
advertisement	0.600	0.566	0.539	ကြော်ငြာ
advertising	0.622	0.608	0.632	ကြော်ငြာ
adverts	0.551	0.500	0.595	ကြော်ငြာများ
advice	0.698	0.408	0.688	အကြံဉာဏ်
advisable	0.867	0.480	0.510	အကြံပြုလိုပါတယ်။
advise	0.760	0.393	0.705	အကြံပေး
advised	0.823	0.330	0.509	အကြံပြုထားသည်။
advisement	0.698	0.235	0.655	အကြံပေးချက်
adviser	0.745	0.362	0.705	အကြံပေး
advisor	0.646	0.350	0.689	အကြံပေး
advisory	0.656	0.429	0.633	အကြံပေး
advocacy	0.500	0.646	0.731	စည်းရုံးရေး
advocate	0.551	0.530	0.818	ထောက်ခံသူ
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	လေဝင်လေထွက်
aerial	0.615	0.461	0.463	ဝေဟင်
aerobics	0.708	0.771	0.627	အေရိုးဗစ်
aerodrome	0.541	0.740	0.678	လေယဉ်ကွင်း
aerodynamic	0.561	0.724	0.728	လေခွင်းအား
aerodynamics	0.590	0.663	0.722	လေခွင်းအား
aeronautics	0.551	0.633	0.688	လေကြောင်းပညာ
aeroplane	0.714	0.642	0.644	လေယာဉ်
aerospace	0.643	0.520	0.779	အာကာသယာဉ်
aesthetic	0.708	0.442	0.526	ဗေဒ
aesthetics	0.847	0.327	0.549	ဗေဒ
aetiology	0.480	0.398	0.615	ဇီဝဗေဒပညာ
afar	0.396	0.373	0.358	အဝေး
affable	0.704	0.380	0.452	တတ်နိုင်သော
affair	0.520	0.459	0.657	အရေး
affect	0.458	0.569	0.578	ထိခိုက်သည်။
affecting	0.350	0.574	0.394	ထိခိုက်သည်။
affection	0.898	0.559	0.696	ချစ်ခင်မှု
affectionate	0.949	0.422	0.550	ချစ်ခင်သော
affections	0.760	0.547	0.655	ချစ်ခင်မှု
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	ကျမ်းကျိန်လွှာ
affiliated	0.673	0.519	0.535	တွဲဖက်
affiliation	0.615	0.594	0.500	ဆက်နွယ်မှု
affinity	0.800	0.500	0.537	ရင်းနှီးမှု
affirm	0.745	0.509	0.731	အတည်ပြုပါ။
affirmation	0.750	0.500	0.689	ကတိသစ္စာပြုခြင်း။
affirmative	0.854	0.589	0.816	အခိုင်အမာ
affirmatively	0.908	0.500	0.811	အခိုင်အမာ
affix	0.438	0.335	0.411	affix
afflict	0.302	0.555	0.293	ညှဉ်းဆဲခြင်း။
afflicted	0.271	0.500	0.167	ငြိုငြင်
affliction	0.294	0.635	0.392	ဒုက္ခ
affluence	0.663	0.618	0.722	စည်းစိမ်ဥစ္စာ
affluent	0.756	0.388	0.477	ချမ်းသာသည်။
afford	0.571	0.580	0.575	တတ်နိုင်ပါတယ်။
affordable	0.840	0.398	0.493	တတ်နိုင်ပါတယ်။
affront	0.327	0.740	0.547	မထီမဲ့မြင်ပြုခြင်း။
affronted	0.385	0.750	0.527	ရန်စ
afield	0.594	0.370	0.373	လယ်ကွင်း
afire	0.367	0.904	0.675	မီး
afloat	0.602	0.427	0.444	ရေပေါ်
afore	0.500	0.337	0.382	ရှေ့မှာ
aforementioned	0.490	0.316	0.408	အထက်ဖော်ပြပါ
aforesaid	0.531	0.358	0.478	ကြိုပြောထားသည်။
afraid	0.010	0.775	0.245	ကြောက်တယ်။
afresh	0.643	0.521	0.480	အသစ်
aft	0.480	0.417	0.518	အနောက်
afterlife	0.571	0.567	0.568	ဘဝနောက်သို့
aftermath	0.312	0.449	0.444	နောက်ဆက်တွဲ
afternoon	0.533	0.388	0.339	နေ့လည်
aftershave	0.406	0.384	0.415	မုတ်ဆိတ်ရိတ်ခြင်း
aftertaste	0.354	0.362	0.455	အရသာ
afterthought	0.396	0.392	0.349	ရူပါ
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	အဟောင်းသား
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	အသက်
aged	0.135	0.365	0.236	အသက်ကြီးပြီ။
agency	0.460	0.296	0.583	အေဂျင်စီ
agenda	0.531	0.296	0.553	အစီအစဉ်
agent	0.480	0.439	0.755	အေးဂျင့်
agglomeration	0.450	0.765	0.509	စုစည်းမှု
aggravate	0.224	0.770	0.464	ပိုဆိုးသည်။
aggravated	0.079	0.760	0.430	ပိုဆိုးလာသည်။
aggravates	0.108	0.778	0.357	ပိုမိုဆိုးရွားစေသည်။
aggravating	0.257	0.794	0.640	ပိုဆိုးသည်။
aggravation	0.071	0.784	0.613	ပိုဆိုးသည်။
aggregate	0.730	0.378	0.556	ဒီလောက်ဆိုရင်
aggregation	0.583	0.517	0.694	စုစည်းမှု
aggresive	0.059	0.971	0.639	ပြင်းထန်သော
aggression	0.094	0.929	0.533	ရန်လိုခြင်း။
aggressive	0.125	0.949	0.648	ပြင်းထန်သော
aggressively	0.250	0.926	0.688	ပြင်းပြင်းထန်ထန်
aggressiveness	0.077	0.913	0.648	ရန်လိုခြင်း။
aggressor	0.146	0.948	0.823	ရန်လိုသူ
agh	0.260	0.500	0.400	ရယ်
aghast	0.133	0.865	0.464	စိတ်ဆိုး
aghhh	0.281	0.635	0.243	ဟင့်အင်း
agile	0.800	0.657	0.775	သွက်လက်
agility	0.720	0.702	0.815	သွက်လက်
aging	0.214	0.255	0.284	အိုမင်းခြင်း။
agitate	0.300	0.796	0.593	စိတ်လှုပ်ရှား
agitated	0.444	0.882	0.491	တုန်လှုပ်သွားသည်။
agitation	0.240	0.931	0.447	စိတ်လှုပ်ရှားမှု
aglow	0.780	0.510	0.797	တောက်ပ
agnostic	0.306	0.396	0.574	ဘာသာမဲ့
ago	0.317	0.280	0.404	လွန်ခဲ့သော
agonizing	0.083	0.800	0.340	နာကျင်ခြင်း။
agony	0.083	0.775	0.393	ဝေဒနာကို
agoraphobia	0.127	0.712	0.438	agoraphobia
agree	0.906	0.260	0.545	သဘောတူသည်။
agreeable	0.906	0.500	0.696	နှစ်သက်ဖွယ်
agreed	0.797	0.449	0.574	သဘောတူသည်။
agreeing	0.854	0.480	0.557	သဘောတူသည်။
agreement	0.760	0.440	0.736	သဘောတူညီချက်
agressive	0.083	0.918	0.751	ပြင်းထန်သော
agricultural	0.686	0.321	0.473	စိုက်ပျိုးရေး
agriculture	0.640	0.357	0.465	စိုက်ပျိုးရေး
aground	0.333	0.340	0.445	သောင်
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ရှေ့သို့
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	ဟေး
aid	0.796	0.491	0.541	အကူအညီ
aide	0.724	0.342	0.434	လက်ထောက်
aiding	0.643	0.533	0.569	ကူညီဆောင်ရွက်ပေးခြင်း။
aids	0.561	0.480	0.500	အကူအညီများ
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	နာမကျန်း
ailment	0.146	0.734	0.277	ဝေဒနာ
aim	0.481	0.569	0.567	ရည်မှန်းချက်
aimless	0.150	0.267	0.183	ရည်ရွယ်ချက်မဲ့
air	0.708	0.163	0.427	လေ
airbag	0.510	0.402	0.433	လေအိတ်
airborne	0.542	0.519	0.385	ဝေဟင်မှ
aircraft	0.646	0.644	0.691	လေယာဉ်ပျံ
aircraft carrier	0.490	0.740	0.727	လေယာဉ်တင်သင်္ဘော
airfield	0.601	0.650	0.645	လေယာဉ်ကွင်း
airhead	0.271	0.481	0.276	လေခေါင်း
airlift	0.573	0.622	0.642	လေယာဉ်ပျံ
airline	0.650	0.482	0.688	လေကြောင်းလိုင်း
airliner	0.667	0.777	0.647	လေကြောင်းလိုင်း
airlock	0.398	0.520	0.447	လော့ခ်
airman	0.587	0.716	0.721	လေယာဉ်မှူး
airplane	0.719	0.702	0.708	လေယာဉ်
airport	0.729	0.684	0.682	လေဆိပ်
airs	0.583	0.196	0.370	လေ
airship	0.542	0.472	0.529	လေယာဉ်
airspace	0.562	0.510	0.640	လေပိုင်နက်
airspeed	0.583	0.780	0.544	လေအမြန်နှုန်း
airstrip	0.550	0.690	0.649	လေယာဉ်ကွင်း
airtight	0.479	0.381	0.570	လေလုံ
airway	0.638	0.585	0.482	လေလမ်းကြောင်း
aisle	0.438	0.222	0.283	အတန်း
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	ဟွာ
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	ဆင်ဆင်တူသော
alabaster	0.542	0.404	0.445	ကျောက်ဖြူ
alarm	0.241	0.882	0.698	နှိုးစက်
alarm clock	0.542	0.727	0.642	နှိုးစက်နာရီ
alarmed	0.188	0.822	0.492	ထိတ်လန့်
alarming	0.204	0.890	0.585	ထိတ်လန့်စရာ
alas	0.571	0.310	0.279	ဖြစ်ချင်တော့
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	albatross
albino	0.500	0.240	0.358	albino
album	0.635	0.349	0.453	အခွေ
alchemy	0.541	0.583	0.693	အဂ္ဂိရတ်ပညာ
alcohol	0.323	0.667	0.377	အရက်
alcoholic	0.153	0.688	0.361	အရက်သမား
alcoholism	0.061	0.779	0.407	အရက်စွဲခြင်း။
alcove	0.490	0.340	0.356	ခြံ
alderman	0.550	0.459	0.691	တိုင်းမှူး
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	သတိပေးချက်
alertness	0.375	0.875	0.750	နိုးကြားမှု
alerts	0.337	0.804	0.673	သတိပေးချက်များ
alfalfa	0.546	0.250	0.311	alfalfa
algebra	0.440	0.340	0.565	အက္ခရာသင်္ချာ
algebraic	0.531	0.412	0.441	အက္ခရာသင်္ချာ
algorithm	0.448	0.394	0.559	algorithm
alias	0.541	0.353	0.333	နာမည်များ
alibi	0.396	0.528	0.556	အလီဘီ
alien	0.410	0.615	0.491	ဂြိုလ်သား
alienate	0.247	0.500	0.523	ကင်းကွာ
alienated	0.410	0.423	0.559	ကင်းကွာ
alienation	0.378	0.530	0.462	ဖယ်ကြဉ်ခြင်း
alight	0.667	0.657	0.605	အလင်း
align	0.656	0.364	0.627	ညှိပါ။
aligned	0.583	0.275	0.553	ညှိထားသည်။
alignment	0.643	0.412	0.683	alignment
alike	0.653	0.173	0.444	အတူတူပါပဲ။
alimentation	0.781	0.551	0.602	အရသာခံခြင်း။
alimony	0.612	0.477	0.464	စားစရိတ်
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	အသက်ရှင်လျက်
alkali	0.490	0.350	0.408	အယ်ကာလီ
alkaloids	0.433	0.562	0.402	alkaloids
allay	0.417	0.406	0.398	သက်သာ
allegation	0.578	0.578	0.608	စွပ်စွဲချက်
allege	0.418	0.482	0.587	စွတ်စွဲသည်။
alleged	0.365	0.522	0.520	စွပ်စွဲသည်။
